0.4634090921158601-0.21663194987267934*I	0.07561653204704871-0.306329070776606*I	-0.07326594553022835-0.21659149646989*I
0.07561653204704882-0.306329070776606*I	0.390143146585632-0.4332234463425695*I	0.07561653204704881-0.3063290707766059*I
-0.07326594553022824-0.21659149646988998*I	0.0756165320470488-0.3063290707766059*I	0.4634090921158602-0.2166319498726793*I
