0.5078685802671612-0.2039334023273291*I	0.16125782694266605-0.26069787659629956*I	-0.060993679433763895-0.1572635857425886*I	-0.11366597927092428-0.010776348839587531*I	-0.041827012729914084+0.058342464999437654*I	0.039098199479660874+0.03354140868635792*I	0.04787735579586748-0.0143651670269337*I	-0.0010186246823954137-0.02432990817785035*I	-0.03712383740210089-0.0023085854296166558*I	-0.020610326260277333+0.01186910281399447*I	0.019877059326518967+0.004581124048616915*I	0.030728790747045317-0.004036374992172649*I
0.16125782694266624-0.2606978765962997*I	0.44687490083339765-0.3611969880699175*I	0.047591847671741315-0.27147422543588606*I	-0.10282069216367874-0.09892112074314996*I	-0.07456777979126426+0.022765059846770352*I	0.006050343065952776+0.04397729797250244*I	0.038079574797264995+0.009211500508505359*I	0.01075351839376613-0.016673752456552175*I	-0.02162895094267334-0.012460805363856919*I	-0.017246778075582447+0.002272538618999561*I	0.010118464486767637+0.007832727821821078*I	0.019877059326518818+0.004581124048616325*I
-0.06099367943376365-0.1572635857425887*I	0.04759184767174161-0.2714742254358862*I	0.4050478881034824-0.3028545230704776*I	0.08669004715140072-0.23793281674952693*I	-0.05494333636781248-0.11328628777008488*I	-0.07558640447366038-0.0015648483310835254*I	-0.031073494336148595+0.041668712542882076*I	0.017469248536987038+0.02108060332249752*I	0.03063057772028427-0.012092628407936427*I	0.009099839804371204-0.01649718035603075*I	-0.017246778075582978+0.0022725386189980656*I	-0.02061032626027789+0.011869102813992864*I
-0.11366597927092434-0.010776348839587589*I	-0.1028206921636785-0.09892112074315004*I	0.08669004715140112-0.23793281674952688*I	0.4529252438993484-0.3172196900974116*I	0.0856714224690047-0.26226272492737973*I	-0.09206717376991323-0.11559487319970475*I	-0.09619673073393746+0.010304254482909113*I	-0.01119643500962966+0.046249836591498804*I	0.048198039284032004+0.017044228330324852*I	0.03063057772028376-0.01209262840793743*I	-0.021628950942674488-0.012460805363859465*I	-0.03712383740210193-0.002308585429618991*I
-0.04182701272991436+0.058342464999437696*I	-0.07456777979126421+0.022765059846770446*I	-0.054943336367811874-0.1132862877700846*I	0.08567142246900536-0.2622627249273793*I	0.4158014064972483-0.31952827552703045*I	0.06506109620872846-0.2503936221133854*I	-0.07219011444339322-0.11101374915108583*I	-0.06546793998689153+0.006267879490738741*I	-0.011196435009629514+0.046249836591499664*I	0.017469248536986535+0.021080603322496987*I	0.010753518393764813-0.01667375245655464*I	-0.0010186246823966323-0.02432990817785277*I
0.03909819947966061+0.03354140868635746*I	0.006050343065952858+0.04397729797250238*I	-0.07558640447365958-0.0015648483310825435*I	-0.09206717376991208-0.11559487319970317*I	0.06506109620872917-0.25039362211338445*I	0.4356784658237684-0.3149471514784104*I	0.09578988695577459-0.2544299971055547*I	-0.07219011444339307-0.11101374915108411*I	-0.09619673073393714+0.010304254482911463*I	-0.031073494336148578+0.041668712542882506*I	0.038079574797264454+0.009211500508503341*I	0.04787735579586687-0.01436516702693599*I
0.04787735579586751-0.014365167026935377*I	0.03807957479726546+0.009211500508504441*I	-0.031073494336147568+0.041668712542883644*I	-0.09619673073393613+0.010304254482912157*I	-0.07219011444339231-0.11101374915108395*I	0.09578988695577494-0.2544299971055546*I	0.435678465823768-0.31494715147840996*I	0.06506109620872821-0.25039362211338323*I	-0.09206717376991307-0.11559487319970241*I	-0.0755864044736597-0.001564848331083132*I	0.006050343065953569+0.04397729797250045*I	0.03909819947966136+0.03354140868635573*I
-0.0010186246823950913-0.024329908177853243*I	0.010753518393766886-0.016673752456554263*I	0.017469248536988082+0.02108060332249914*I	-0.01119643500962869+0.046249836591502815*I	-0.06546793998689103+0.006267879490741303*I	-0.07219011444339304-0.11101374915108471*I	0.0650610962087281-0.250393622113385*I	0.4158014064972472-0.31952827552702995*I	0.08567142246900475-0.2622627249273791*I	-0.05494333636781119-0.11328628777008543*I	-0.07456777979126239+0.022765059846768416*I	-0.04182701272991278+0.05834246499943589*I
-0.037123837402100686-0.002308585429619694*I	-0.02162895094267281-0.01246080536385949*I	0.030630577720285018-0.012092628407935565*I	0.04819803928403254+0.017044228330328193*I	-0.011196435009629484+0.04624983659150192*I	-0.09619673073393736+0.010304254482910525*I	-0.09206717376991329-0.11559487319970516*I	0.08567142246900483-0.262262724927381*I	0.45292524389934924-0.3172196900974129*I	0.0866900471514023-0.23793281674952763*I	-0.10282069216367692-0.09892112074315038*I	-0.11366597927092313-0.010776348839587738*I
-0.020610326260277704+0.011869102813992598*I	-0.017246778075582704+0.002272538618997655*I	0.00909983980437136-0.016497180356030983*I	0.03063057772028411-0.012092628407936155*I	0.017469248536986674+0.021080603322498087*I	-0.03107349433614863+0.041668712542882146*I	-0.07558640447365951-0.0015648483310846159*I	-0.0549433363678106-0.11328628777008681*I	0.08669004715140297-0.23793281674952818*I	0.4050478881034839-0.30285452307047694*I	0.0475918476717421-0.2714742254358838*I	-0.06099367943376369-0.1572635857425866*I
0.01987705932651808+0.004581124048616557*I	0.010118464486766657+0.007832727821820328*I	-0.017246778075583315+0.0022725386189971133*I	-0.021628950942674165-0.012460805363860163*I	0.010753518393765309-0.016673752456554697*I	0.03807957479726485+0.009211500508503957*I	0.006050343065954227+0.0439772979725013*I	-0.0745677797912613+0.0227650598467691*I	-0.10282069216367568-0.09892112074315011*I	0.04759184767174295-0.2714742254358838*I	0.44687490083339737-0.36119698806991307*I	0.16125782694266544-0.2606978765962962*I
0.03072879074704456-0.004036374992172324*I	0.01987705932651793+0.004581124048616297*I	-0.02061032626027827+0.011869102813992036*I	-0.03712383740210167-0.0023085854296201083*I	-0.0010186246823961293-0.024329908177853184*I	0.04787735579586734-0.01436516702693516*I	0.03909819947966199+0.033541408686357306*I	-0.04182701272991185+0.058342464999437335*I	-0.1136659792709221-0.010776348839587052*I	-0.060993679433762826-0.15726358574258653*I	0.16125782694266577-0.2606978765962962*I	0.5078685802671606-0.20393340232732646*I
