0.4609822895536727-0.11130070652825795*I	0.19158527321414417-0.16582486046687328*I	0.025361367995710773-0.14312844826778304*I	-0.056925752736661187-0.06927075542092251*I	-0.063060563057081+0.004952568438833591*I	-0.024356635805837867+0.039874312975428323*I	0.016214812757465166+0.030086080714675754*I	0.029667621061659512+0.00014197248736952327*I	0.015027307886755189-0.019744101624862887*I	-0.007858530501906663-0.01670800918748046*I	-0.018290453441904476-0.000031002096773524956*I	-0.010669039498142517+0.01223049080069913*I	0.004595093709135738+0.010423952963199805*I	0.012914114873723967-0.00046612008994724886*I	0.008369898174500724-0.008470937270175153*I	-0.0029047493154168427-0.006815228676125027*I	-0.009942775284900809+0.0009634632179810237*I	-0.007087750249248777+0.0062648240745357365*I	0.001858725894632742+0.004440998025811661*I	0.008161877932521485-0.001439156949588605*I	0.006393056513910362-0.004828024369590992*I	-0.0011178520489520864-0.002697368605552314*I	-0.0070653884234411855+0.0019198051002825506*I	-0.0060932294726980946+0.0038156552016586458*I	0.0005274841372667343+0.0012785720086849652*I	0.006417687311295136-0.0024428187764985506*I	0.00610692014611729-0.003053690060779329*I
0.19158527321414437-0.16582486046687328*I	0.4863436575493838-0.2544291547960409*I	0.13465952047748322-0.2350956158877955*I	-0.03769919506137007-0.13817587982894908*I	-0.08128238854249872-0.02939644244549374*I	-0.04684575029961542+0.035038649153509765*I	0.0053109852558220995+0.04001628546279825*I	0.031242120644220658+0.010341979089813267*I	0.021809090559752945-0.01656603670011044*I	-0.003263145555149381-0.019775103721635785*I	-0.018527570000049332-0.004477518386780703*I	-0.01369535973276881+0.01039295086642686*I	0.0022450753755815125+0.01176437071075232*I	0.012964991883636628+0.0019530156930249903*I	0.010009365558307271-0.007281348766071964*I	-0.001572877110400022-0.007507474052193829*I	-0.00999249956466565-0.0005504046015890677*I	-0.008084049390268126+0.005404461243792732*I	0.0010741276832726832+0.004825667124946954*I	0.00825178240854311-0.000387026343779657*I	0.007044025883569385-0.004136525555141257*I	-0.0006723319095309088-0.0029082192693086857*I	-0.007211081521650329+0.001118286596106188*I	-0.006537904286174608+0.0031983771089673933*I	0.00032445783859693674+0.0013728364251599282*I	0.006634404283383983-0.0017751180520945648*I	0.006417687311295138-0.0024428187764986937*I
0.025361367995710662-0.1431284482677827*I	0.134659520477483-0.23509561588779512*I	0.42328309449230245-0.2494765863572062*I	0.11030288467164576-0.19522130291236592*I	-0.021484382303904016-0.10808979911427202*I	-0.05161476748083812-0.029254469958123225*I	-0.03181844241285931+0.015294547528647787*I	-0.0025475452460841518+0.023308276275318753*I	0.012951667202316082+0.010310976993040986*I	0.01114005106161002-0.0043355458994098805*I	0.0013319481539860096-0.009351150758434578*I	-0.005613455126325415-0.004943638476726782*I	-0.0053254615582678105+0.0019220135962525829*I	-0.0006596739398349201+0.004949142034628035*I	0.0030222165987361135+0.002916478911006745*I	0.0029216153090585685-0.0010165246915355528*I	0.0002858487842326376-0.003066476026381772*I	-0.0018306216321442522-0.0019895615511777752*I	-0.0016909928763577725+0.0005764368742011414*I	-0.000043724365679383384+0.002128298519393816*I	0.0011863939851018634+0.0015327787565021789*I	0.0009507964108710904-0.0003208703534830467*I	-0.0001448477722644698-0.001629647260623971*I	-0.0007933942103554693-0.001324532180392645*I	-0.0004309841400574952+0.0001446870481876371*I	0.00032445783859686583+0.0013728364251594744*I	0.0005274841372666747+0.0012785720086845326*I
-0.056925752736661325-0.06927075542092194*I	-0.037699195061370275-0.1381758798289481*I	0.11030288467164566-0.1952213029123654*I	0.4394979072497688-0.21939050564252882*I	0.13997050573330666-0.195079330424995*I	-0.006457074417147515-0.12783390073913362*I	-0.059473297982744054-0.045962479145602385*I	-0.050108895854763816+0.015263545431875782*I	-0.013216584744227218+0.035538767076019655*I	0.01754676091145114+0.020734929956242598*I	0.024054165935333632-0.004801665989355552*I	0.009701846328486866-0.01782208802860852*I	-0.008518204441741756-0.011758867152850839*I	-0.015268236843168052+0.0028854768142345644*I	-0.0077474241890833385+0.011213966109164746*I	0.0048809424933689526+0.007357476936819166*I	0.01108349324158-0.0024556816411239898*I	0.006678905298142953-0.007894500395973354*I	-0.0029484736810963287-0.0046869301567312*I	-0.008756381299798941+0.002496241974482554*I	-0.006136953838377543+0.005943953721051695*I	0.001713878122368425+0.0028113507651867874*I	0.007368483722166001-0.0027636891299818262*I	0.005962072373852609-0.0046833373214037076*I	-0.0007933942103556294-0.0013245321803932576*I	-0.006537904286174895+0.0031983771089664405*I	-0.006093229472698327+0.0038156552016579337*I
-0.06306056305708121+0.004952568438834319*I	-0.081282388542499-0.02939644244549264*I	-0.02148438230390432-0.10808979911427118*I	0.1399705057333065-0.19507933042499453*I	0.45452521513652544-0.23913460726739036*I	0.13211197523140086-0.21178733961247406*I	-0.02474752785905196-0.12786490283590565*I	-0.07014233748088727-0.03373198834490163*I	-0.04551380214562898+0.025687498395077148*I	-0.00030246987050392413+0.035072646986073694*I	0.025916659085951737+0.012263992686068401*I	0.021149416619917153-0.011616894665479872*I	-0.00024092895641334477-0.016858624810626777*I	-0.015605954690989993-0.005494043078314245*I	-0.01340951094853496+0.0073264748400469985*I	0.00041445374343831667+0.009774809159576422*I	0.011273999007279373+0.0025294525672276635*I	0.009965641192627911-0.005153050246677489*I	-0.0003864831252982739-0.005974695295692166*I	-0.009041703153794456-0.000871274955073552*I	-0.008228897162532186+0.003774813983167101*I	0.0002807334729176916+0.0035011349445530885*I	0.00782079826848582-0.00024233929559265715*I	0.007368483722166009-0.0027636891299822387*I	-0.00014484777226483393-0.0016296472606249337*I	-0.007211081521650995+0.001118286596104996*I	-0.0070653884234417215+0.0019198051002817203*I
-0.024356635805837967+0.039874312975428934*I	-0.04684575029961567+0.03503864915351065*I	-0.051614767480838576-0.029254469958122406*I	-0.006457074417147996-0.1278339007391331*I	0.13211197523140053-0.21178733961247373*I	0.4362347616946209-0.23916560936416248*I	0.12144293573325757-0.19955684881177357*I	-0.020152434149917364-0.11744094987270479*I	-0.05722822260716411-0.034198108434848266*I	-0.03714390397112849+0.01721656112490219*I	-0.0032072191859205085+0.02825741830994866*I	0.01597388380105143+0.013227455904049501*I	0.01406166637066884-0.00535207059094378*I	0.0016177969382197752-0.012417626784814667*I	-0.007444076758468159-0.00693320002790276*I	-0.007016454434624294+0.0024984504704553792*I	-0.000703398305513613+0.007077440554022791*I	0.004208610583838102+0.004449257667508664*I	0.0038724117199295865-0.0013373950450200197*I	0.00014100101196835047-0.00469612328700767*I	-0.0026240158424990757-0.003314093731571992*I	-0.0021219770164143353+0.0007211239223880153*I	0.00028073347291824186+0.003501134944553086*I	0.0017138781223687018+0.0028113507651863967*I	0.0009507964108705747-0.00032087035348393034*I	-0.0006723319095320001-0.0029082192693097664*I	-0.001117852048952972-0.0026973686055530603*I
0.016214812757465225+0.030086080714675955*I	0.00531098525582204+0.04001628546279853*I	-0.03181844241285968+0.01529454752864807*I	-0.05947329798274467-0.04596247914560217*I	-0.024747527859052595-0.12786490283590551*I	0.12144293573325707-0.19955684881177352*I	0.44082985540375536-0.22874165640096203*I	0.1343570506069806-0.20002296890172078*I	-0.011782535975416772-0.12591188714288049*I	-0.060132971922580526-0.041013337110974095*I	-0.04708667925602877+0.01818002434288259*I	-0.010294969435168935+0.03452224238448421*I	0.017832609695684305+0.01766845392986125*I	0.022223544303190505-0.006791227540532543*I	0.008010853452130496-0.017245651154406495*I	-0.00856192880741985-0.009630568633456621*I	-0.014081842858065383+0.0044182555707361236*I	-0.006796627778212049+0.010893095755680019*I	0.004736094721104344+0.005727829676193016*I	0.010290099031224603-0.0037802138215184363*I	0.006247921158086183-0.007749813347786542*I	-0.0026240158424981003-0.0033140937315716584*I	-0.008228897162530861+0.003774813983167407*I	-0.006136953838376866+0.005943953721051609*I	0.0011863939851013416+0.0015327787565016075*I	0.007044025883568042-0.004136525555142062*I	0.006393056513909254-0.004828024369591571*I
0.029667621061659773+0.00014197248736932426*I	0.031242120644220894+0.010341979089812926*I	-0.0025475452460842402+0.023308276275318406*I	-0.05010889585476427+0.015263545431875468*I	-0.0701423374808879-0.0337319883449019*I	-0.020152434149917922-0.11744094987270495*I	0.1343570506069804-0.2000229689017208*I	0.4491997535782563-0.23721259367113806*I	0.1314523012915646-0.20683819757784705*I	-0.02172531126031659-0.12494842392490055*I	-0.06722072217182877-0.03474851303643886*I	-0.045227953361396046+0.02262102236869423*I	-0.0021330915026476875+0.0330830854348955*I	0.02422566620959466+0.01284042956026947*I	0.021105692254238733-0.009488596146086423*I	0.0009454650286896205-0.015325846054125878*I	-0.01465515828011809-0.0058149134317995906*I	-0.013554358720799275+0.005696827579420273*I	-0.0003789404669175282+0.008450276979181472*I	0.010843014867221635+0.0026741396154141336*I	0.010290099031225387-0.003780213821517986*I	0.00014100101196996265-0.004696123287006967*I	-0.009041703153792695-0.0008712749550729704*I	-0.00875638129979799+0.0024962419744826905*I	-0.00004372436567973496+0.002128298519393442*I	0.008251782408541877-0.0003870263437802929*I	0.008161877932520437-0.0014391569495890804*I
0.015027307886755591-0.019744101624863213*I	0.02180909055975343-0.016566036700111038*I	0.012951667202316346+0.010310976993040259*I	-0.013216584744227369+0.03553876707601891*I	-0.045513802145629445+0.02568749839507651*I	-0.05722822260716459-0.03419810843484869*I	-0.01178253597541702-0.12591188714288068*I	0.13145230129156454-0.20683819757784702*I	0.43925697829335664-0.23624913045315804*I	0.12436455104231672-0.20057337350331175*I	-0.01986658536568374-0.1205074258990887*I	-0.05905884423930778-0.03618766998602719*I	-0.03883489684748622+0.017792997999102878*I	-0.0032509435515999537+0.03038571682934196*I	0.0171602777861536+0.014760234660550283*I	0.01501246278154067-0.005672940944429331*I	0.0014729491659559494-0.014047274045441767*I	-0.008237470968823645-0.008257732208298233*I	-0.007447438574682425+0.0026431375186412864*I	-0.00037894046691727126+0.008450276979181845*I	0.0047360947211051736+0.005727829676193692*I	0.0038724117199309964-0.0013373950450192662*I	-0.0003864831252967702-0.005974695295691649*I	-0.002948473681095426-0.004686930156731157*I	-0.001690992876357845+0.0005764368742006934*I	0.0010741276832719232+0.004825667124946288*I	0.001858725894632044+0.004440998025811179*I
-0.007858530501906219-0.01670800918748061*I	-0.003263145555148737-0.01977510372163614*I	0.011140051061610553-0.004335545899410523*I	0.01754676091145134+0.020734929956241703*I	-0.0003024698705040292+0.03507264698607278*I	-0.03714390397112869+0.017216561124901456*I	-0.06013297192258059-0.04101333711097444*I	-0.02172531126031651-0.12494842392490052*I	0.12436455104231683-0.20057337350331167*I	0.4411157041879897-0.23180813242734613*I	0.13252642897483774-0.2020125304528999*I	-0.0134735288517743-0.12533545026867965*I	-0.06017669628826068-0.03888503859158027*I	-0.045900285270927835+0.01971280309938415*I	-0.009344173024298226+0.03420137203099937*I	0.017687761923420108+0.01603880666923465*I	0.021430150092835405-0.00811575972092784*I	0.007579869312072885-0.017100964106220723*I	-0.008237470968823626-0.008257732208297917*I	-0.013554358720799246+0.00569682757942076*I	-0.006796627778211836+0.010893095755680518*I	0.004208610583838601+0.0044492576675090245*I	0.00996564119262858-0.005153050246677417*I	0.0066789052981434905-0.007894500395973659*I	-0.0018306216321440684-0.00198956155117841*I	-0.008084049390268256+0.005404461243792017*I	-0.007087750249248971+0.006264824074535259*I
