0.-0.8487783096106203*I	-0.4999575065185385+0.*I	0.+0.16975999373145054*I	0.00001517584242777282+0.*I	0.+0.024239167209102293*I	0.000015627360323346956+0.*I	0.+0.00807761281045232*I	-3.6959154540609025*^-6+0.*I	0.+0.003640901244627572*I	0.000023058063660302543+0.*I	0.+0.001973433855797016*I	-0.00001557132888177673+0.*I	0.+0.001137265512237211*I	0.000020881901205263104+0.*I	0.+0.0007450244783734736*I	-8.426989585492032*^-6+0.*I	0.+0.00047162162164374763*I	7.298667116989726*^-6+0.*I	0.+0.0003222934284795786*I	8.833316415054072*^-8+0.*I	0.+0.00020829867574114177*I	1.3023214399197615*^-6+0.*I	0.+0.00012676320389815997*I	6.840660342651554*^-7+0.*I	0.+0.00005998157328627228*I	2.1272990958205273*^-7+0.*I
-0.4999575065185455+0.*I	0.-0.6790183158792003*I	-0.4999423306760826+0.*I	0.+0.19399916094054853*I	0.00003080320276240985+0.*I	0.+0.032316780019564964*I	0.000011931444826888131+0.*I	0.+0.01171851405509315*I	0.000019362148202464012+0.*I	0.+0.005614335100419679*I	7.486734774646264*^-6+0.*I	0.+0.0031106993680433603*I	5.310572326094367*^-6+0.*I	0.+0.0018822899905759272*I	0.000012454911614748952+0.*I	0.+0.0012166461000442602*I	-1.1283224567386945*^-6+0.*I	0.+0.0007939150501591*I	7.387000260342937*^-6+0.*I	0.+0.0005305921042309054*I	1.3906545933158497*^-6+0.*I	0.+0.0003350618796442678*I	1.986387462267742*^-6+0.*I	0.+0.00018674477721156835*I	8.967959626949526*^-7+0.*I	0.+0.000059981573282327704*I
0.+0.1697599937314188*I	-0.49994233067605603+0.*I	0.-0.6547791486700513*I	-0.49992670331580796+0.*I	0.+0.20207677375099126*I	0.000027107287331108772+0.*I	0.+0.03595768126420991*I	0.000034989508494232845+0.*I	0.+0.013691947910871473*I	3.7908193512373596*^-6+0.*I	0.+0.0067516006126713286*I	0.000028368635955042083+0.*I	0.+0.003855723846406458*I	-3.116417231891169*^-6+0.*I	0.+0.0023539116122777847*I	0.000019753578683855824+0.*I	0.+0.0015389395285071335*I	-1.0399892765270856*^-6+0.*I	0.+0.0010022137258792632*I	8.689321695333645*^-6+0.*I	0.+0.0006573553081530994*I	2.0747206436774437*^-6+0.*I	0.+0.0003950434529363821*I	2.1991173547075595*^-6+0.*I	0.+0.0001867447771861022*I	6.840660559462037*^-7+0.*I
0.000015175842455873592+0.*I	0.+0.19399916094054334*I	-0.4999267033157941+0.*I	0.-0.6467015358596266*I	-0.4999303992312419+0.*I	0.+0.20571767499563368*I	0.00005016535098406164+0.*I	0.+0.037931115119988236*I	0.000019418179619687067+0.*I	0.+0.014829213423119504*I	0.00002467272051201737+0.*I	0.+0.0074966250910334245*I	0.000019941646403041063+0.*I	0.+0.004327345468039121*I	4.182249854068039*^-6+0.*I	0.+0.002676205040764788*I	0.000019841911893501097+0.*I	0.+0.0017472382042580349*I	2.623321270503592*^-7+0.*I	0.+0.00112897692980571*I	9.373387740308843*^-6+0.*I	0.+0.0007173368814303557*I	2.2874505574143882*^-6+0.*I	0.+0.0003950434529516578*I	1.9863874724111435*^-6+0.*I	0.+0.00012676320388864073*I
0.+0.02423916720912127*I	0.000030803202767670076+0.*I	0.+0.20207677375098934*I	-0.49993039923122273+0.*I	0.-0.6430606346149835*I	-0.49990734116758734+0.*I	0.+0.20769110885144693*I	0.00003459402208618064+0.*I	0.+0.039068380632214975*I	0.00004030008082825388+0.*I	0.+0.015574237901483604*I	0.00001624573094524871+0.*I	0.+0.007968246712698955*I	0.00002724031350612849+0.*I	0.+0.004649638896549189*I	4.270583010597005*^-6+0.*I	0.+0.0028845037165163186*I	0.000021144233318693155+0.*I	0.+0.0018740014081722266*I	9.463981728611518*^-7+0.*I	0.+0.0011889585030848565*I	9.586117645890045*^-6+0.*I	0.+0.0007173368814368194*I	2.0747206358418197*^-6+0.*I	0.+0.0003350618796518267*I	1.3023214324791395*^-6+0.*I
0.000015627360313276643+0.*I	0.+0.03231678001956848*I	0.000027107287296534703+0.*I	0.+0.205717674995605*I	-0.49990734116758023+0.*I	0.-0.6410872007591653*I	-0.49992291249643794+0.*I	0.+0.2088283743636427*I	0.00005547592331210856+0.*I	0.+0.03981340511059*I	0.000031873091216249795+0.*I	0.+0.016045859523153492*I	0.00002354439805753998+0.*I	0.+0.008290540141174557*I	0.00002732864666627437+0.*I	0.+0.004857937572296321*I	5.57290446236461*^-6+0.*I	0.+0.003011266920401325*I	0.000021828299351724715+0.*I	0.+0.0019339829814594715*I	1.1591280775275153*^-6+0.*I	0.+0.0011889585030786466*I	9.37338772623612*^-6+0.*I	0.+0.0006573553081618166*I	1.3906546048706*^-6+0.*I	0.+0.00020829867574509808*I
0.+0.008077612810470113*I	0.000011931444845567986+0.*I	0.+0.03595768126418529*I	0.00005016535097015389+0.*I	0.+0.20769110885143086*I	-0.4999229124964454+0.*I	0.-0.6399499352469535*I	-0.4999020305952746+0.*I	0.+0.20957339884201134*I	0.00004704893370458029+0.*I	0.+0.040285026732260074*I	0.00003917175836783929+0.*I	0.+0.016368152951633897*I	0.00002363273121543028+0.*I	0.+0.008498838816916555*I	0.000028630968101050173+0.*I	0.+0.00498470077620451*I	6.25697048619808*^-6+0.*I	0.+0.003071248493700424*I	0.00002204102927270419+0.*I	0.+0.0019339829814454138*I	9.463981693729617*^-7+0.*I	0.+0.0011289769298068594*I	8.68932170248885*^-6+0.*I	0.+0.0005305921042331791*I	8.83331762104603*^-8+0.*I
-3.6959154712948517*^-6+0.*I	0.+0.0117185140550999*I	0.000034989508519913244+0.*I	0.+0.037931115119972846*I	0.0000345940221022385+0.*I	0.+0.20882837436368257*I	-0.4999020305952525+0.*I	0.-0.6392049107686231*I	-0.4999104575848328+0.*I	0.+0.21004502046371867*I	0.00005434760081025185+0.*I	0.+0.0406073201607315*I	0.000039260091514787895+0.*I	0.+0.016576451627373506*I	0.000024935052647914177+0.*I	0.+0.008625602020834391*I	0.00002931503413593581+0.*I	0.+0.005044682349463388*I	6.469700375708781*^-6+0.*I	0.+0.003071248493720956*I	0.000021828299379024543+0.*I	0.+0.0018740014081410944*I	2.623320969355321*^-7+0.*I	0.+0.0010022137259259275*I	7.387000280893142*^-6+0.*I	0.+0.00032229342848157794*I
0.+0.0036409012446705783*I	0.000019362148206706194+0.*I	0.+0.013691947910867305*I	0.000019418179644631076+0.*I	0.+0.03906838063222142*I	0.00005547592328751031+0.*I	0.+0.2095733988419923*I	-0.4999104575848577+0.*I	0.-0.638733289146904*I	-0.4999031589177221+0.*I	0.+0.2103673138921569*I	0.00005443593399491239+0.*I	0.+0.04081561883648682*I	0.000040562412940876916+0.*I	0.+0.016703214831288907*I	0.00002561911869771645+0.*I	0.+0.008685583594122701*I	0.00002952776404466223+0.*I	0.+0.005044682349493993*I	6.256970479270882*^-6+0.*I	0.+0.0030112669203981785*I	0.00002114423333136653+0.*I	0.+0.001747238204273832*I	-1.0399893075641888*^-6+0.*I	0.+0.0007939150501572299*I	7.2986670926508234*^-6+0.*I
0.00002305806364834573+0.*I	0.+0.00561433510041282*I	3.7908193376242797*^-6+0.*I	0.+0.014829213423117283*I	0.00004030008082480803+0.*I	0.+0.03981340511058296*I	0.000047048933712778184+0.*I	0.+0.21004502046369802*I	-0.4999031589177278+0.*I	0.-0.6384109957184397*I	-0.4999030705845563+0.*I	0.+0.21057561256791538*I	0.00005573825539616007+0.*I	0.+0.04094238204039593*I	0.000041246478985231135+0.*I	0.+0.016763196404562742*I	0.0000258318485769444+0.*I	0.+0.008685583594122215*I	0.00002931503415021761+0.*I	0.+0.004984700776194866*I	5.572904443159182*^-6+0.*I	0.+0.0028845037165285197*I	0.000019841911887161022+0.*I	0.+0.0015389395285028101*I	-1.1283224883092635*^-6+0.*I	0.+0.0004716216216714117*I
0.+0.0019734338558175923*I	7.486734776729854*^-6+0.*I	0.+0.006751600612658157*I	0.000024672720525687766+0.*I	0.+0.01557423790148871*I	0.000031873091257278004+0.*I	0.+0.04028502673222785*I	0.000054347600821530054+0.*I	0.+0.21036731389218638*I	-0.4999030705845676+0.*I	0.-0.6382026970426877*I	-0.49990176826314336+0.*I	0.+0.2107023757718153*I	0.0000564223214674078+0.*I	0.+0.04100236361369537*I	0.00004145920889911856+0.*I	0.+0.016763196404556358*I	0.000025619118686321675+0.*I	0.+0.008625602020844345*I	0.00002863096808057797+0.*I	0.+0.004857937572293767*I	4.270583025348579*^-6+0.*I	0.+0.0026762050407701334*I	0.000019753578729245176+0.*I	0.+0.0012166461000203237*I	-8.426989580756291*^-6+0.*I
