0.-0.8487783096106203*I	-0.4999575065185385+0.*I	0.+0.16975999373145054*I	0.00001517584242777282+0.*I	0.+0.024239167209102293*I	0.000015627360323346956+0.*I	0.+0.00807761281045232*I	-3.6959154540609025*^-6+0.*I	0.+0.003640901244627572*I	0.000023058063660302543+0.*I	0.+0.001973433855797016*I	-0.00001557132888177673+0.*I	0.+0.001137265512237211*I	0.000020881901205263104+0.*I	0.+0.0007450244783734736*I	-8.426989585492032*^-6+0.*I	0.+0.00047162162164374763*I	7.298667116989726*^-6+0.*I	0.+0.0003222934284795786*I	8.833316415054072*^-8+0.*I	0.+0.00020829867574114177*I	1.3023214399197615*^-6+0.*I	0.+0.00012676320389815997*I	6.840660342651554*^-7+0.*I	0.+0.00005998157328627228*I	2.1272990958205273*^-7+0.*I
-0.000015571328865366245+0.*I	0.+0.003110699368041833*I	0.000028368635974368122+0.*I	0.+0.007496625091031093*I	0.00001624573095430635+0.*I	0.+0.016045859523122583*I	0.00003917175835049744+0.*I	0.+0.04060732016075085*I	0.00005443593397600919+0.*I	0.+0.21057561256791127*I	-0.49990176826312843+0.*I	0.-0.6380759338387914*I	-0.4999010841970928+0.*I	0.+0.21076235734513046*I	0.00005663505136041654+0.*I	0.+0.04100236361367702*I	0.00004124647897934465+0.*I	0.+0.016703214831305515*I	0.000024935052654668234+0.*I	0.+0.008498838816928141*I	0.000027328646648497593+0.*I	0.+0.00464963889656357*I	4.1822498715864176*^-6+0.*I	0.+0.002353911612259077*I	0.000012454911601083897+0.*I	0.+0.0007450244783653296*I
0.+0.0011372655122618078*I	5.310572331262001*^-6+0.*I	0.+0.0038557238463881043*I	0.000019941646410824293+0.*I	0.+0.007968246712717392*I	0.000023544398043126238+0.*I	0.+0.016368152951619027*I	0.00003926009153813952+0.*I	0.+0.04081561883650859*I	0.00005573825539538023+0.*I	0.+0.21070237577181866*I	-0.4999010841970969+0.*I	0.-0.6380159522654753*I	-0.49990087146718826+0.*I	0.+0.21076235734510185*I	0.00005642232145857448+0.*I	0.+0.040942382040406254*I	0.000040562412932968386+0.*I	0.+0.016576451627385226*I	0.000023632731219161697+0.*I	0.+0.00829054014119984*I	0.000027240313478618026+0.*I	0.+0.0043273454680576705*I	-3.1164172279812244*^-6+0.*I	0.+0.0018822899906032172*I	0.00002088190117778251+0.*I
0.00002088190120298327+0.*I	0.+0.0018822899906197912*I	-3.116417247385394*^-6+0.*I	0.+0.004327345468059847*I	0.000027240313492288894+0.*I	0.+0.008290540141189772*I	0.000023632731209253215+0.*I	0.+0.01657645162737423*I	0.000040562412937591235+0.*I	0.+0.04094238204040143*I	0.00005642232146728126+0.*I	0.+0.2107623573451016*I	-0.4999008714671704+0.*I	0.-0.6380159522654648*I	-0.499901084197088+0.*I	0.+0.21070237577181586*I	0.00005573825538933482+0.*I	0.+0.04081561883649973*I	0.000039260091524092226+0.*I	0.+0.016368152951613795*I	0.00002354439803830842+0.*I	0.+0.007968246712709974*I	0.000019941646403137333+0.*I	0.+0.0038557238463696668*I	5.310572319797846*^-6+0.*I	0.+0.0011372655122510093*I
0.+0.0007450244783547251*I	0.000012454911628845187+0.*I	0.+0.002353911612276176*I	4.182249852846261*^-6+0.*I	0.+0.004649638896559845*I	0.000027328646664606374+0.*I	0.+0.00849883881693724*I	0.00002493505265206855+0.*I	0.+0.016703214831286055*I	0.000041246478978660694+0.*I	0.+0.04100236361368542*I	0.00005663505135276326+0.*I	0.+0.21076235734513257*I	-0.49990108419709983+0.*I	0.-0.6380759338387949*I	-0.4999017682631363+0.*I	0.+0.21057561256793333*I	0.00005443593398855402+0.*I	0.+0.04060732016076366*I	0.00003917175836811946+0.*I	0.+0.016045859523140773*I	0.00001624573092282326+0.*I	0.+0.007496625091043205*I	0.000028368635999602047+0.*I	0.+0.0031106993680288936*I	-0.000015571328883747388+0.*I
-8.42698958461288*^-6+0.*I	0.+0.0012166461000074928*I	0.00001975357871981396+0.*I	0.+0.002676205040754227*I	4.270583008169517*^-6+0.*I	0.+0.004857937572311147*I	0.00002863096811919152+0.*I	0.+0.008625602020843474*I	0.000025619118677011225+0.*I	0.+0.016763196404563564*I	0.000041459208898848026+0.*I	0.+0.0410023636136848*I	0.00005642232145528532+0.*I	0.+0.2107023757718183*I	-0.4999017682631237+0.*I	0.-0.6382026970426707*I	-0.4999030705845787+0.*I	0.+0.2103673138921713*I	0.000054347600829637616+0.*I	0.+0.040285026732243844*I	0.00003187309123469315+0.*I	0.+0.01557423790148514*I	0.000024672720520034258+0.*I	0.+0.0067516006126651295*I	7.486734774264932*^-6+0.*I	0.+0.0019734338557910536*I
0.+0.00047162162165005633*I	-1.128322487960408*^-6+0.*I	0.+0.0015389395285299982*I	0.00001984191188342678+0.*I	0.+0.0028845037164914327*I	5.5729044426321765*^-6+0.*I	0.+0.004984700776211311*I	0.000029315034151577562+0.*I	0.+0.008685583594127175*I	0.00002583184859534051+0.*I	0.+0.016763196404577824*I	0.00004124647899663799+0.*I	0.+0.04094238204039491*I	0.000055738255402917064+0.*I	0.+0.21057561256794344*I	-0.4999030705845714+0.*I	0.-0.6384109957184427*I	-0.499903158917731+0.*I	0.+0.21004502046371085*I	0.00004704893370395438+0.*I	0.+0.039813405110597604*I	0.0000403000808058235+0.*I	0.+0.014829213423105968*I	3.7908193531931654*^-6+0.*I	0.+0.005614335100411538*I	0.00002305806365374858+0.*I
7.2986670798156044*^-6+0.*I	0.+0.0007939150501444248*I	-1.0399892960530788*^-6+0.*I	0.+0.001747238204252592*I	0.00002114423330111508+0.*I	0.+0.0030112669204243937*I	6.256970503258394*^-6+0.*I	0.+0.005044682349481018*I	0.000029527764033587174+0.*I	0.+0.008685583594130557*I	0.00002561911870148591+0.*I	0.+0.016703214831309227*I	0.000040562412936319404+0.*I	0.+0.04081561883648308*I	0.00005443593398622277+0.*I	0.+0.21036731389217106*I	-0.4999031589177349+0.*I	0.-0.6387332891469171*I	-0.49991045758484415+0.*I	0.+0.20957339884202664*I	0.00005547592328789184+0.*I	0.+0.03906838063222075*I	0.000019418179629472283+0.*I	0.+0.013691947910894136*I	0.00001936214820830842+0.*I	0.+0.003640901244629265*I
0.+0.0003222934284819063*I	7.387000259253391*^-6+0.*I	0.+0.0010022137259025781*I	2.6233211072248186*^-7+0.*I	0.+0.0018740014081452643*I	0.000021828299361061495+0.*I	0.+0.003071248493706824*I	6.469700398799726*^-6+0.*I	0.+0.005044682349481972*I	0.000029315034144079596+0.*I	0.+0.008625602020849442*I	0.000024935052648642527+0.*I	0.+0.016576451627372684*I	0.0000392600915143746+0.*I	0.+0.040607320160738127*I	0.000054347600811962234+0.*I	0.+0.2100450204637307*I	-0.49991045758484454+0.*I	0.-0.639204910768613*I	-0.49990203059526084+0.*I	0.+0.20882837436367307*I	0.000034594022082710444+0.*I	0.+0.037931115119962486*I	0.00003498950851297396+0.*I	0.+0.011718514055096926*I	-3.695915454490694*^-6+0.*I
8.833318013376783*^-8+0.*I	0.+0.0005305921042409843*I	8.689321680406322*^-6+0.*I	0.+0.0011289769298113285*I	9.463981792379275*^-7+0.*I	0.+0.0019339829814481423*I	0.000022041029257468723+0.*I	0.+0.003071248493697841*I	6.256970503299824*^-6+0.*I	0.+0.004984700776201976*I	0.000028630968080640013+0.*I	0.+0.008498838816933137*I	0.00002363273123352792+0.*I	0.+0.016368152951624124*I	0.000039171758342510046+0.*I	0.+0.040285026732264376*I	0.000047048933709835226+0.*I	0.+0.20957339884202053*I	-0.4999020305952784+0.*I	0.-0.6399499352469398*I	-0.4999229124964339+0.*I	0.+0.2076911088514304*I	0.000050165350963051635+0.*I	0.+0.035957681264192375*I	0.000011931444859613702+0.*I	0.+0.008077612810441292*I
0.+0.00020829867572761234*I	1.3906546026803137*^-6+0.*I	0.+0.0006573553081437209*I	9.373387728749037*^-6+0.*I	0.+0.0011889585030859474*I	1.1591280808421456*^-6+0.*I	0.+0.0019339829814609627*I	0.0000218282993441763+0.*I	0.+0.003011266920403017*I	5.572904448692791*^-6+0.*I	0.+0.00485793757229538*I	0.000027328646666905167+0.*I	0.+0.008290540141191493*I	0.00002354439804998236+0.*I	0.+0.01604585952314698*I	0.00003187309123812483+0.*I	0.+0.039813405110598596*I	0.00005547592329324193+0.*I	0.+0.20882837436365553*I	-0.4999229124964483+0.*I	0.-0.6410872007592012*I	-0.4999073411675826+0.*I	0.+0.20571767499561897*I	0.00002710728729620989+0.*I	0.+0.03231678001955888*I	0.000015627360316080904+0.*I
1.3023214268927336*^-6+0.*I	0.+0.0003350618796601329*I	2.074720637632461*^-6+0.*I	0.+0.0007173368814388472*I	9.58611766361068*^-6+0.*I	0.+0.0011889585030695567*I	9.463981714269963*^-7+0.*I	0.+0.0018740014081701179*I	0.00002114423332377435+0.*I	0.+0.002884503716495025*I	4.270582992499082*^-6+0.*I	0.+0.004649638896552813*I	0.00002724031351282577+0.*I	0.+0.007968246712677996*I	0.000016245730924978493+0.*I	0.+0.015574237901486456*I	0.000040300080832289054+0.*I	0.+0.03906838063222097*I	0.000034594022082162624+0.*I	0.+0.20769110885142883*I	-0.49990734116758573+0.*I	0.-0.6430606346150051*I	-0.4999303992312244+0.*I	0.+0.20207677375100183*I	0.00003080320276789242+0.*I	0.+0.02423916720912102*I
0.+0.00012676320392061616*I	1.986387478856273*^-6+0.*I	0.+0.00039504345292459126*I	2.287450547016264*^-6+0.*I	0.+0.0007173368814317437*I	9.373387749287268*^-6+0.*I	0.+0.001128976929793458*I	2.623321194196587*^-7+0.*I	0.+0.0017472382042683654*I	0.000019841911882357037+0.*I	0.+0.0026762050407529692*I	4.182249844510045*^-6+0.*I	0.+0.00432734546807524*I	0.000019941646404732595+0.*I	0.+0.007496625091032425*I	0.00002467272051073021+0.*I	0.+0.014829213423117297*I	0.000019418179645920765+0.*I	0.+0.037931115119970424*I	0.00005016535096253627+0.*I	0.+0.20571767499564256*I	-0.4999303992312241+0.*I	0.-0.6467015358596191*I	-0.4999267033157944+0.*I	0.+0.19399916094056266*I	0.00001517584246048427+0.*I
6.840660137114605*^-7+0.*I	0.+0.00018674477718951272*I	2.1991174036167056*^-6+0.*I	0.+0.00039504345293736153*I	2.074720627096306*^-6+0.*I	0.+0.0006573553081344156*I	8.689321702540472*^-6+0.*I	0.+0.0010022137258844212*I	-1.0399893255776387*^-6+0.*I	0.+0.0015389395285215707*I	0.000019753578734142463+0.*I	0.+0.0023539116122877094*I	-3.116417276162925*^-6+0.*I	0.+0.0038557238463781717*I	0.00002836863599004898+0.*I	0.+0.006751600612665015*I	3.790819315731934*^-6+0.*I	0.+0.013691947910866926*I	0.000034989508506911614+0.*I	0.+0.03595768126420195*I	0.000027107287295175425+0.*I	0.+0.20207677375097766*I	-0.4999267033157763+0.*I	0.-0.6547791486700797*I	-0.49994233067608324+0.*I	0.+0.1697599937314669*I
0.+0.000059981573280615315*I	8.967959471260813*^-7+0.*I	0.+0.00018674477720139604*I	1.986387471684958*^-6+0.*I	0.+0.00033506187964800173*I	1.390654592832403*^-6+0.*I	0.+0.0005305921042380341*I	7.387000272613013*^-6+0.*I	0.+0.0007939150501441532*I	-1.1283224732494192*^-6+0.*I	0.+0.0012166461000519791*I	0.000012454911594582878+0.*I	0.+0.0018822899905955764*I	5.310572329086428*^-6+0.*I	0.+0.003110699368047659*I	7.486734801192463*^-6+0.*I	0.+0.005614335100394269*I	0.00001936214819555969+0.*I	0.+0.011718514055080606*I	0.000011931444848446565+0.*I	0.+0.0323167800195437*I	0.00003080320275723173+0.*I	0.+0.19399916094056818*I	-0.49994233067608196+0.*I	0.-0.679018315879168*I	-0.4999575065185629+0.*I
2.1272990785986534*^-7+0.*I	0.+0.000059981573278087735*I	6.84066041138306*^-7+0.*I	0.+0.00012676320390362706*I	1.3023214305786686*^-6+0.*I	0.+0.00020829867576039652*I	8.833314633407681*^-8+0.*I	0.+0.0003222934284629436*I	7.29866711729875*^-6+0.*I	0.+0.0004716216216779657*I	-8.426989588932246*^-6+0.*I	0.+0.0007450244783641707*I	0.000020881901197172773+0.*I	0.+0.0011372655122402762*I	-0.000015571328877298554+0.*I	0.+0.0019734338557929683*I	0.000023058063664844252+0.*I	0.+0.003640901244637743*I	-3.6959154773085688*^-6+0.*I	0.+0.008077612810447405*I	0.000015627360317597622+0.*I	0.+0.024239167209098245*I	0.000015175842459886143+0.*I	0.+0.16975999373143938*I	-0.4999575065185606+0.*I	0.-0.8487783096106001*I
