0.-0.8520071121353782*I	-0.49726818882449947+0.*I	0.+0.17293439435037586*I	-0.0037956892679699653+0.*I	0.+0.019611766475997314*I	0.003073934724964642+0.*I	0.+0.008344108554592057*I	-0.0018512773156405286+0.*I
-0.4972681888245019+0.*I	0.-0.6790727177850017*I	-0.5010638780924321+0.*I	0.+0.19254616082636136*I	-0.0007217545429937556+0.*I	0.+0.0279558750305926*I	0.0012226574093290423+0.*I	0.+0.008344108554587644*I
0.+0.17293439435039354*I	-0.501063878092457+0.*I	0.-0.6594609513090376*I	-0.4979899433674621+0.*I	0.+0.20089026938098029*I	-0.0025730318586485337+0.*I	0.+0.027955875030590785*I	0.003073934724979584+0.*I
-0.0037956892679503217+0.*I	0.+0.19254616082636394*I	-0.49798994336749697+0.*I	0.-0.6511168427543987*I	-0.4998412206830861+0.*I	0.+0.2008902693809622*I	-0.0007217545430002804+0.*I	0.+0.019611766475993476*I
0.+0.019611766475995024*I	-0.0007217545430073264+0.*I	0.+0.20089026938096488*I	-0.4998412206831007+0.*I	0.-0.651116842754424*I	-0.49798994336747304+0.*I	0.+0.1925461608263805*I	-0.0037956892679743537+0.*I
0.00307393472497286+0.*I	0.+0.027955875030594785*I	-0.0025730318586278944+0.*I	0.+0.20089026938096996*I	-0.4979899433674828+0.*I	0.-0.6594609513090093*I	-0.5010638780924399+0.*I	0.+0.17293439435039232*I
0.+0.008344108554595886*I	0.0012226574093209422+0.*I	0.+0.0279558750305966*I	-0.0007217545429898924+0.*I	0.+0.19254616082635412*I	-0.5010638780924364+0.*I	0.-0.6790727177849866*I	-0.497268188824487+0.*I
-0.0018512773156284523+0.*I	0.+0.008344108554601092*I	0.00307393472496309+0.*I	0.+0.019611766475981993*I	-0.0037956892679598675+0.*I	0.+0.17293439435037972*I	-0.4972681888244874+0.*I	0.-0.8520071121353795*I
