0.-0.8429451785065246*I	0.5022780294409572+0.*I	0.+0.16538377189998832*I	-0.002679612620807902+0.*I	0.+0.026584808354639528*I	0.0014455406250732904+0.*I	0.+0.007306243471089419*I	-0.0003575406681573781+0.*I	0.+0.003752408224217012*I	-0.000017833986172023725+0.*I	0.+0.0019884440797344792*I	8.396492243642202*^-6+0.*I	0.+0.0011685031095637168*I	-7.826836533084911*^-7+0.*I	0.+0.0007460332222143484*I	-2.958862801128294*^-6+0.*I	0.+0.0005006966734614986*I	-2.750753637079689*^-6+0.*I	0.+0.00034634107463838814*I	-2.1597682078058845*^-6+0.*I	0.+0.0002430097577900361*I	-1.6329022520358204*^-6+0.*I	0.+0.0001698646283307073*I	-1.2033783048859205*^-6+0.*I	0.+0.00011508916109408178*I	-8.328398651335703*^-7+0.*I	0.+0.00007147706317477825*I	-4.913330005482303*^-7+0.*I	0.+0.000034273571718008346*I	-1.6257994869562373*^-7+0.*I
0.5022780294409719+0.*I	0.-0.6775614066065492*I	0.49959841682017336+0.*I	0.+0.1919685802546088*I	-0.0012340719957240791+0.*I	0.+0.03389105182573975*I	0.0010879999569085356+0.*I	0.+0.011058651695303366*I	-0.0003753746543329962+0.*I	0.+0.005740852303947437*I	-9.437493953728348*^-6+0.*I	0.+0.003156947189292639*I	7.613808589208828*^-6+0.*I	0.+0.0019145363317987186*I	-3.7415464726448683*^-6+0.*I	0.+0.0012467298956480987*I	-5.709616428529629*^-6+0.*I	0.+0.0008470377480883019*I	-4.9105218492060964*^-6+0.*I	0.+0.0005893508324222046*I	-3.7926704469925526*^-6+0.*I	0.+0.00041287438612580286*I	-2.836280555329528*^-6+0.*I	0.+0.0002849537894078515*I	-2.0362182050189117*^-6+0.*I	0.+0.00018656622427225844*I	-1.3241728782190049*^-6+0.*I	0.+0.00010575063488114215*I	-6.539129432170788*^-7+0.*I	0.+0.0000342735717199528*I
0.+0.16538377189992884*I	0.49959841682015815+0.*I	0.-0.6509765982518685*I	0.5010439574452191+0.*I	0.+0.199274823725674*I	-0.0015916126638988821+0.*I	0.+0.037643460049966694*I	0.0010701659707498803+0.*I	0.+0.013047095775017812*I	-0.0003669781620977134+0.*I	0.+0.006909355413555479*I	-0.000010220177593734525+0.*I	0.+0.003902980411491064*I	4.654945777297285*^-6+0.*I	0.+0.0024152330052539966*I	-6.492300080749967*^-6+0.*I	0.+0.0015930709702957771*I	-7.869384645654292*^-6+0.*I	0.+0.0010900475058887936*I	-6.543424093653812*^-6+0.*I	0.+0.0007592154607468787*I	-4.9960487525743425*^-6+0.*I	0.+0.0005279635472141763*I	-3.6691204499429426*^-6+0.*I	0.+0.00035643085258535467*I	-2.527551163513319*^-6+0.*I	0.+0.00022083979598448044*I	-1.4867528135146027*^-6+0.*I	0.+0.00010575063488089923*I	-4.913329922356929*^-7+0.*I
-0.002679612620796452+0.*I	0.+0.19196858025461025*I	0.5010439574452363+0.*I	0.-0.6436703547808121*I	0.5006864167771096+0.*I	0.+0.20302723194991848*I	-0.0016094466500806185+0.*I	0.+0.03963190412968404*I	0.0010785624629862307+0.*I	0.+0.014215598884594815*I	-0.0003677608457532831+0.*I	0.+0.007655388635737971*I	-0.000013179040397716516+0.*I	0.+0.004403677084955095*I	1.904192136424484*^-6+0.*I	0.+0.002761574079876739*I	-8.652068292279165*^-6+0.*I	0.+0.0018360807280795408*I	-9.502286912181847*^-6+0.*I	0.+0.001259912134204882*I	-7.746802381554933*^-6+0.*I	0.+0.0008743046218469763*I	-5.828888637793529*^-6+0.*I	0.+0.0005994406103741164*I	-4.160453439336868*^-6+0.*I	0.+0.0003907044242943387*I	-2.69013110391457*^-6+0.*I	0.+0.00022083979597784596*I	-1.3241728776260227*^-6+0.*I	0.+0.00007147706318638463*I
0.+0.026584808354659043*I	-0.0012340719957361517+0.*I	0.+0.19927482372567779*I	0.5006864167770803+0.*I	0.-0.6399179465565827*I	0.5006685827909211+0.*I	0.+0.2050156760296324*I	-0.0016010501578441467+0.*I	0.+0.040800407239263196*I	0.00107777977932027+0.*I	0.+0.014961632106814282*I	-0.00037071970857083285+0.*I	0.+0.008156085309178805*I	-0.000015929794019709306+0.*I	0.+0.004750018159602137*I	-2.5557606745360334*^-7+0.*I	0.+0.0030045838376639446*I	-0.000010284970547935394+0.*I	0.+0.002005945356438115*I	-0.000010705665195750845+0.*I	0.+0.0013750012952742235*I	-8.579642265221001*^-6+0.*I	0.+0.0009457816850352269*I	-6.320221652966767*^-6+0.*I	0.+0.0006337141820725455*I	-4.323033352633947*^-6+0.*I	0.+0.0003907044243128422*I	-2.527551190829969*^-6+0.*I	0.+0.00018656622425681528*I	-8.328398766306534*^-7+0.*I
0.0014455406250710485+0.*I	0.+0.03389105182574241*I	-0.001591612663875983+0.*I	0.+0.2030272319499118*I	0.5006685827909192+0.*I	0.-0.6379295024768625*I	0.5006769792831197+0.*I	0.+0.20618417913921333*I	-0.0016018328414685585+0.*I	0.+0.04154644046145847*I	0.0010748209165097001+0.*I	0.+0.015462328780275363*I	-0.00037347046217714566+0.*I	0.+0.008502426383821458*I	-0.000018089562241880815+0.*I	0.+0.004993027917388061*I	-1.8884782959682463*^-6+0.*I	0.+0.003174448466004111*I	-0.000011488348870219123+0.*I	0.+0.0021210345174973166*I	-0.000011538505066649587+0.*I	0.+0.0014464783584579226*I	-9.070975274354312*^-6+0.*I	0.+0.0009800552567360776*I	-6.482801572739937*^-6+0.*I	0.+0.0006337141820795582*I	-4.1604534268683964*^-6+0.*I	0.+0.0003564308526069502*I	-2.036218169763965*^-6+0.*I	0.+0.00011508916107988128*I
0.+0.007306243471108814*I	0.001087999956904875+0.*I	0.+0.03764346004993456*I	-0.0016094466500709982+0.*I	0.+0.20501567602964338*I	0.5006769792831417+0.*I	0.-0.6367609993672941*I	0.5006761965994988+0.*I	0.+0.20693021236142636*I	-0.001604791704292934+0.*I	0.+0.0420471371349127*I	0.0010720701628929518+0.*I	0.+0.01580866985488878*I	-0.0003756302303962784+0.*I	0.+0.008745436141609437*I	-0.00001972246450856063+0.*I	0.+0.00516289254571399*I	-3.091856619587033*^-6+0.*I	0.+0.003289537627067791*I	-0.000012321188738713643+0.*I	0.+0.0021925115806820314*I	-0.00001202983807802243+0.*I	0.+0.0014807519301836332*I	-9.233555185898581*^-6+0.*I	0.+0.0009800552567354073*I	-6.320221652320596*^-6+0.*I	0.+0.0005994406103664809*I	-3.6691204295136734*^-6+0.*I	0.+0.0002849537894330211*I	-1.2033782945363027*^-6+0.*I
-0.000357540668147032+0.*I	0.+0.01105865169530728*I	0.001070165970728694+0.*I	0.+0.03963190412966863*I	-0.0016010501578166603+0.*I	0.+0.20618417913921014*I	0.5006761965994887+0.*I	0.-0.6360149661450802*I	0.5006732377366847+0.*I	0.+0.20743090903488917*I	-0.0016075424579152316+0.*I	0.+0.04239347820954302*I	0.0010699103946816457+0.*I	0.+0.016051679612714854*I	-0.00037726313263443113+0.*I	0.+0.008915300769912135*I	-0.000020925842807060348+0.*I	0.+0.005277981706824896*I	-3.9246964641834095*^-6+0.*I	0.+0.0033610146902389973*I	-0.000012812521739632905+0.*I	0.+0.002226785152413832*I	-0.000012192418003252384+0.*I	0.+0.001480751930159061*I	-9.070975268918648*^-6+0.*I	0.+0.0009457816850533062*I	-5.8288886423713785*^-6+0.*I	0.+0.000527963547185964*I	-2.8362805439465522*^-6+0.*I	0.+0.00016986462836793105*I
0.+0.0037524082242202197*I	-0.0003753746543538484+0.*I	0.+0.013047095775048024*I	0.0010785624629868307+0.*I	0.+0.04080040723922859*I	-0.0016018328414909167+0.*I	0.+0.20693021236144796*I	0.5006732377366924+0.*I	0.-0.6355142694716481*I	0.5006704869830589+0.*I	0.+0.20777725010950107*I	-0.001609702226122302+0.*I	0.+0.04263648796732105*I	0.001068277492407018+0.*I	0.+0.016221544241030998*I	-0.00037846651094844153+0.*I	0.+0.009030389931014677*I	-0.00002175868266694976+0.*I	0.+0.005349458769989315*I	-4.416029506235217*^-6+0.*I	0.+0.0033952882619728178*I	-0.000012975101654011384+0.*I	0.+0.00222678515239358*I	-0.000012029838073640816+0.*I	0.+0.0014464783584571617*I	-8.579642269375637*^-6+0.*I	0.+0.0008743046218241527*I	-4.996048767851822*^-6+0.*I	0.+0.00041287438611986685*I	-1.6329022499153784*^-6+0.*I
-0.000017833986198575782+0.*I	0.+0.0057408523039580665*I	-0.0003669781620828083+0.*I	0.+0.014215598884588426*I	0.0010777797793175962+0.*I	0.+0.04154644046146129*I	-0.0016047917042694303+0.*I	0.+0.20743090903486647*I	0.500670486983043+0.*I	0.-0.6351679283969947*I	0.5006683272148562+0.*I	0.+0.2080202598673167*I	-0.0016113351283849756+0.*I	0.+0.0428063525956562*I	0.0010670741141202652+0.*I	0.+0.01633663340212189*I	-0.0003792993508271082+0.*I	0.+0.009101866994178327*I	-0.000022250015644792748+0.*I	0.+0.005383732341724909*I	-4.578609423182068*^-6+0.*I	0.+0.003395288261967027*I	-0.000012812521738661974+0.*I	0.+0.002192511580676882*I	-0.000011538505089027149+0.*I	0.+0.0013750012952860392*I	-7.746802399462426*^-6+0.*I	0.+0.000759215460778958*I	-3.792670461560627*^-6+0.*I	0.+0.00024300975778172854*I
0.+0.0019884440797207042*I	-9.437493940053763*^-6+0.*I	0.+0.006909355413521792*I	-0.00036776084574484017+0.*I	0.+0.014961632106802658*I	0.0010748209165224866+0.*I	0.+0.04204713713491621*I	-0.001607542457924089+0.*I	0.+0.20777725010951972*I	0.5006683272148428+0.*I	0.-0.6349249186392204*I	0.5006666943125836+0.*I	0.+0.20819012449562566*I	-0.0016125385066821988+0.*I	0.+0.042921441756759784*I	0.001066241274261928+0.*I	0.+0.016408110465272397*I	-0.0003797906838294026+0.*I	0.+0.009136140565908068*I	-0.000022412595606408325+0.*I	0.+0.005383732341707309*I	-4.4160294936992645*^-6+0.*I	0.+0.003361014690252616*I	-0.000012321188722372154+0.*I	0.+0.002121034517486809*I	-0.000010705665202010215+0.*I	0.+0.0012599121342028788*I	-6.543424090215387*^-6+0.*I	0.+0.0005893508324270654*I	-2.159768215319338*^-6+0.*I
