0.-0.8429451785065246*I	0.5022780294409572+0.*I	0.+0.16538377189998832*I	-0.002679612620807902+0.*I	0.+0.026584808354639528*I	0.0014455406250732904+0.*I	0.+0.007306243471089419*I	-0.0003575406681573781+0.*I	0.+0.003752408224217012*I	-0.000017833986172023725+0.*I	0.+0.0019884440797344792*I	8.396492243642202*^-6+0.*I	0.+0.0011685031095637168*I	-7.826836533084911*^-7+0.*I	0.+0.0007460332222143484*I	-2.958862801128294*^-6+0.*I	0.+0.0005006966734614986*I	-2.750753637079689*^-6+0.*I	0.+0.00034634107463838814*I	-2.1597682078058845*^-6+0.*I	0.+0.0002430097577900361*I	-1.6329022520358204*^-6+0.*I	0.+0.0001698646283307073*I	-1.2033783048859205*^-6+0.*I	0.+0.00011508916109408178*I	-8.328398651335703*^-7+0.*I	0.+0.00007147706317477825*I	-4.913330005482303*^-7+0.*I	0.+0.000034273571718008346*I	-1.6257994869562373*^-7+0.*I
8.396492228904885*^-6+0.*I	0.+0.003156947189316705*I	-0.000010220177597748689+0.*I	0.+0.00765538863573595*I	-0.0003707197085484103+0.*I	0.+0.015462328780262227*I	0.0010720701628876745+0.*I	0.+0.04239347820953954*I	-0.0016097022261289333+0.*I	0.+0.20802025986729755*I	0.5006666943125924+0.*I	0.-0.6347550540108777*I	0.5006654909343006+0.*I	0.+0.20830521365671675*I	-0.001613371346556423+0.*I	0.+0.04299291881993599*I	0.0010657499412493805+0.*I	0.+0.0164423840369949*I	-0.0003799532637535782+0.*I	0.+0.009136140565918384*I	-0.000022250015689247748+0.*I	0.+0.005349458769980374*I	-3.924696483376769*^-6+0.*I	0.+0.0032895376270751548*I	-0.000011488348858648972+0.*I	0.+0.0020059453564176344*I	-9.502286898271253*^-6+0.*I	0.+0.0010900475058593598*I	-4.910521838222412*^-6+0.*I	0.+0.00034634107465281747*I
0.+0.0011685031095474891*I	7.613808594801272*^-6+0.*I	0.+0.0039029804115181515*I	-0.000013179040402758913+0.*I	0.+0.008156085309166127*I	-0.0003734704622016784+0.*I	0.+0.015808669854929496*I	0.0010699103946920907+0.*I	0.+0.042636487967325346*I	-0.0016113351284071265+0.*I	0.+0.20819012449562382*I	0.5006654909343072+0.*I	0.-0.6346399648497906*I	0.5006646580943979+0.*I	0.+0.20837669071989234*I	-0.0016138626795345829+0.*I	0.+0.04302719239162854*I	0.0010655873613039022+0.*I	0.+0.016442384037003266*I	-0.0003797906838078522+0.*I	0.+0.009101866994190352*I	-0.000021758682687783736+0.*I	0.+0.005277981706807444*I	-3.091856579220614*^-6+0.*I	0.+0.003174448465996594*I	-0.000010284970576081228+0.*I	0.+0.0018360807280910886*I	-7.869384627290848*^-6+0.*I	0.+0.0008470377480925881*I	-2.750753650737533*^-6+0.*I
-7.82683666396153*^-7+0.*I	0.+0.001914536331775099*I	4.654945776261642*^-6+0.*I	0.+0.004403677084979106*I	-0.0000159297940355973+0.*I	0.+0.008502426383827292*I	-0.0003756302303776968+0.*I	0.+0.016051679612690373*I	0.001068277492421415+0.*I	0.+0.04280635259563897*I	-0.0016125385066664305+0.*I	0.+0.20830521365673532*I	0.5006646580944076+0.*I	0.-0.634568487786617*I	0.5006641667614188+0.*I	0.+0.20841096429161418*I	-0.0016140252594865295+0.*I	0.+0.043027192391611374*I	0.0010657499412252297+0.*I	0.+0.016408110465290542*I	-0.00037929935082355027+0.*I	0.+0.009030389931004882*I	-0.000020925842790276834+0.*I	0.+0.005162892545765211*I	-1.8884783105710888*^-6+0.*I	0.+0.0030045838376317902*I	-8.652068291268241*^-6+0.*I	0.+0.001593070970314064*I	-5.7096164378561095*^-6+0.*I	0.+0.0005006966734251418*I
0.+0.0007460332221948003*I	-3.7415464335782028*^-6+0.*I	0.+0.0024152330052197176*I	1.9041921361760435*^-6+0.*I	0.+0.004750018159617688*I	-0.000018089562228518674+0.*I	0.+0.008745436141607513*I	-0.00037726313264085736+0.*I	0.+0.016221544241018286*I	0.001067074114116414+0.*I	0.+0.0429214417567371*I	-0.001613371346567485+0.*I	0.+0.20837669071990395*I	0.5006641667614333+0.*I	0.-0.6345342142148955*I	0.5006640041814536+0.*I	0.+0.20841096429160752*I	-0.001613862679533596+0.*I	0.+0.04299291881993007*I	0.001066241274240577+0.*I	0.+0.016336633402101612*I	-0.0003784665109425805+0.*I	0.+0.008915300769941221*I	-0.000019722464512759568+0.*I	0.+0.004993027917402607*I	-2.555760512076605*^-7+0.*I	0.+0.0027615740798778367*I	-6.4923000867397505*^-6+0.*I	0.+0.0012467298956524036*I	-2.958862793722231*^-6+0.*I
-2.9588627695639703*^-6+0.*I	0.+0.0012467298956473115*I	-6.492300129524211*^-6+0.*I	0.+0.002761574079868577*I	-2.5557602432299737*^-7+0.*I	0.+0.004993027917390828*I	-0.000019722464509827492+0.*I	0.+0.00891530076994345*I	-0.0003784665109174745+0.*I	0.+0.01633663340210351*I	0.0010662412742372342+0.*I	0.+0.04299291881992259*I	-0.0016138626795579503+0.*I	0.+0.20841096429162145*I	0.500664004181472+0.*I	0.-0.6345342142148956*I	0.5006641667614383+0.*I	0.+0.20837669071987053*I	-0.0016133713465813395+0.*I	0.+0.04292144175675341*I	0.0010670741141447784+0.*I	0.+0.016221544241028986*I	-0.00037726313267300336+0.*I	0.+0.008745436141613529*I	-0.00001808956223322651+0.*I	0.+0.0047500181596243545*I	1.9041921474637655*^-6+0.*I	0.+0.002415233005222343*I	-3.7415464586909797*^-6+0.*I	0.+0.0007460332222131631*I
0.+0.0005006966734675061*I	-5.709616413626414*^-6+0.*I	0.+0.0015930709702806868*I	-8.652068299332164*^-6+0.*I	0.+0.003004583837691*I	-1.8884783194060172*^-6+0.*I	0.+0.00516289254569223*I	-0.00002092584279205853+0.*I	0.+0.009030389931049617*I	-0.0003792993508284649+0.*I	0.+0.016408110465253204*I	0.0010657499412354643+0.*I	0.+0.04302719239166419*I	-0.0016140252594842404+0.*I	0.+0.2084109642916001*I	0.5006641667614152+0.*I	0.-0.6345684877866054*I	0.5006646580944104+0.*I	0.+0.20830521365670673*I	-0.0016125385066633137+0.*I	0.+0.042806352595669304*I	0.001068277492413941+0.*I	0.+0.016051679612705212*I	-0.0003756302304126749+0.*I	0.+0.008502426383823477*I	-0.00001592979402404518+0.*I	0.+0.004403677084964959*I	4.654945794182054*^-6+0.*I	0.+0.0019145363317781888*I	-7.826836609453944*^-7+0.*I
-2.750753633963245*^-6+0.*I	0.+0.0008470377480936026*I	-7.869384617379722*^-6+0.*I	0.+0.0018360807280732715*I	-0.00001028497057515418+0.*I	0.+0.0031744484659982225*I	-3.091856595280535*^-6+0.*I	0.+0.005277981706784372*I	-0.000021758682695487846+0.*I	0.+0.00910186699421597*I	-0.00037979068382893474+0.*I	0.+0.01644238403698423*I	0.0010655873612922897+0.*I	0.+0.04302719239163026*I	-0.0016138626795321246+0.*I	0.+0.20837669071988796*I	0.500664658094406+0.*I	0.-0.6346399648497594*I	0.5006654909342882+0.*I	0.+0.2081901244956134*I	-0.0016113351283835093+0.*I	0.+0.04263648796735423*I	0.0010699103946661243+0.*I	0.+0.015808669854877763*I	-0.0003734704621761674+0.*I	0.+0.008156085309206099*I	-0.000013179040398017558+0.*I	0.+0.0039029804115172065*I	7.613808589912378*^-6+0.*I	0.+0.0011685031095828322*I
0.+0.0003463410746618554*I	-4.910521837585566*^-6+0.*I	0.+0.001090047505872412*I	-9.502286893908957*^-6+0.*I	0.+0.0020059453564357315*I	-0.000011488348836387326+0.*I	0.+0.0032895376270610905*I	-3.92469650972847*^-6+0.*I	0.+0.005349458769982246*I	-0.000022250015655707052+0.*I	0.+0.009136140565928243*I	-0.0003799532637684569+0.*I	0.+0.016442384037010035*I	0.0010657499412644264+0.*I	0.+0.042992918819932294*I	-0.0016133713465725462+0.*I	0.+0.208305213656715*I	0.5006654909342836+0.*I	0.-0.6347550540108733*I	0.5006666943126036+0.*I	0.+0.20802025986727704*I	-0.0016097022261340748+0.*I	0.+0.04239347820955844*I	0.0010720701628778378+0.*I	0.+0.015462328780260524*I	-0.00037071970853574075+0.*I	0.+0.007655388635736693*I	-0.000010220177596145818+0.*I	0.+0.0031569471893112397*I	8.396492239503612*^-6+0.*I
-2.1597681734514886*^-6+0.*I	0.+0.0005893508324260374*I	-6.543424108013568*^-6+0.*I	0.+0.0012599121342051958*I	-0.00001070566517960698+0.*I	0.+0.0021210345175012874*I	-0.000012321188747698426+0.*I	0.+0.0033610146902359876*I	-4.416029491900831*^-6+0.*I	0.+0.005383732341688496*I	-0.00002241259563488827+0.*I	0.+0.009136140565902114*I	-0.0003797906838171472+0.*I	0.+0.016408110465296135*I	0.0010662412742314291+0.*I	0.+0.042921441756734666*I	-0.0016125385066748214+0.*I	0.+0.20819012449566315*I	0.5006666943125858+0.*I	0.-0.634924918639237*I	0.5006683272148643+0.*I	0.+0.2077772501095216*I	-0.0016075424579288676+0.*I	0.+0.04204713713489355*I	0.001074820916542256+0.*I	0.+0.014961632106830283*I	-0.0003677608457671227+0.*I	0.+0.006909355413518546*I	-9.437493936573488*^-6+0.*I	0.+0.0019884440797629083*I
0.+0.00024300975776806404*I	-3.7926704881531455*^-6+0.*I	0.+0.0007592154607873277*I	-7.746802389261101*^-6+0.*I	0.+0.0013750012952621076*I	-0.000011538505054690614+0.*I	0.+0.0021925115807122503*I	-0.000012812521755674327+0.*I	0.+0.0033952882619323645*I	-4.578609432960084*^-6+0.*I	0.+0.005383732341741814*I	-0.00002225001565051373+0.*I	0.+0.009101866994197882*I	-0.0003792993508482687+0.*I	0.+0.016336633402116975*I	0.0010670741141423946+0.*I	0.+0.04280635259566079*I	-0.0016113351283995945+0.*I	0.+0.20802025986728814*I	0.5006683272148533+0.*I	0.-0.6351679283970048*I	0.5006704869830529+0.*I	0.+0.2074309090348785*I	-0.0016047917042767727+0.*I	0.+0.04154644046145293*I	0.0010777797793188463+0.*I	0.+0.014215598884610655*I	-0.000366978162082296+0.*I	0.+0.005740852303955174*I	-0.00001783398620104493+0.*I
-1.6329022565279952*^-6+0.*I	0.+0.00041287438611226605*I	-4.996048763326999*^-6+0.*I	0.+0.0008743046218438619*I	-8.579642288863778*^-6+0.*I	0.+0.0014464783584528925*I	-0.000012029838049516884+0.*I	0.+0.0022267851524001*I	-0.000012975101690737526+0.*I	0.+0.0033952882619649283*I	-4.416029474571675*^-6+0.*I	0.+0.005349458769983377*I	-0.00002175868268519611+0.*I	0.+0.009030389931016132*I	-0.00037846651094514415+0.*I	0.+0.01622154424102293*I	0.0010682774924006234+0.*I	0.+0.04263648796731612*I	-0.0016097022261050461+0.*I	0.+0.20777725010953163*I	0.50067048698307+0.*I	0.-0.6355142694716587*I	0.5006732377366885+0.*I	0.+0.2069302123614323*I	-0.0016018328414840592+0.*I	0.+0.04080040723924113*I	0.0010785624629732953+0.*I	0.+0.013047095775043137*I	-0.00037537465433655764+0.*I	0.+0.0037524082242044645*I
0.+0.00016986462833987274*I	-2.836280560628071*^-6+0.*I	0.+0.0005279635471864367*I	-5.828888637675357*^-6+0.*I	0.+0.0009457816850259381*I	-9.070975266793439*^-6+0.*I	0.+0.001480751930198875*I	-0.00001219241800387745+0.*I	0.+0.002226785152392385*I	-0.000012812521738068117+0.*I	0.+0.0033610146902563246*I	-3.924696494072075*^-6+0.*I	0.+0.0052779817068183054*I	-0.000020925842788902635+0.*I	0.+0.008915300769927912*I	-0.00037726313265600014+0.*I	0.+0.016051679612685135*I	0.001069910394682643+0.*I	0.+0.04239347820954185*I	-0.0016075424579129072+0.*I	0.+0.20743090903487213*I	0.500673237736691+0.*I	0.-0.6360149661450836*I	0.5006761965994939+0.*I	0.+0.20618417913920709*I	-0.0016010501578200373+0.*I	0.+0.03963190412969773*I	0.001070165970728579+0.*I	0.+0.011058651695287674*I	-0.0003575406681501428+0.*I
-1.2033782889722585*^-6+0.*I	0.+0.0002849537894076932*I	-3.669120439822498*^-6+0.*I	0.+0.0005994406103805601*I	-6.3202216505397536*^-6+0.*I	0.+0.0009800552567412822*I	-9.233555216368335*^-6+0.*I	0.+0.001480751930192187*I	-0.000012029838053857243+0.*I	0.+0.0021925115806843668*I	-0.000012321188735590557+0.*I	0.+0.0032895376270550797*I	-3.0918565932211607*^-6+0.*I	0.+0.005162892545724851*I	-0.000019722464511987562+0.*I	0.+0.008745436141588906*I	-0.0003756302303949314+0.*I	0.+0.01580866985491449*I	0.0010720701629050625+0.*I	0.+0.042047137134900055*I	-0.001604791704275812+0.*I	0.+0.2069302123614397*I	0.5006761965994744+0.*I	0.-0.6367609993672981*I	0.5006769792831269+0.*I	0.+0.2050156760296551*I	-0.0016094466500596728+0.*I	0.+0.03764346004991779*I	0.0010879999569210744+0.*I	0.+0.007306243471111148*I
0.+0.00011508916106689932*I	-2.036218175946505*^-6+0.*I	0.+0.00035643085260555254*I	-4.1604534523454865*^-6+0.*I	0.+0.0006337141820963074*I	-6.482801571710401*^-6+0.*I	0.+0.0009800552567361777*I	-9.070975262069532*^-6+0.*I	0.+0.0014464783584680618*I	-0.000011538505075469235+0.*I	0.+0.00212103451748974*I	-0.000011488348854794474+0.*I	0.+0.0031744484659987004*I	-1.8884783056985332*^-6+0.*I	0.+0.004993027917378037*I	-0.000018089562240071763+0.*I	0.+0.008502426383835391*I	-0.0003734704621744104+0.*I	0.+0.015462328780250922*I	0.00107482091651787+0.*I	0.+0.041546440461472135*I	-0.0016018328414748085+0.*I	0.+0.20618417913922185*I	0.5006769792831332+0.*I	0.-0.6379295024768489*I	0.5006685827909082+0.*I	0.+0.2030272319499135*I	-0.0015916126638828105+0.*I	0.+0.03389105182572825*I	0.00144554062508617+0.*I
-8.328398924260832*^-7+0.*I	0.+0.00018656622424823512*I	-2.5275511599046063*^-6+0.*I	0.+0.00039070442430877395*I	-4.323033371335405*^-6+0.*I	0.+0.000633714182100716*I	-6.3202216521275406*^-6+0.*I	0.+0.0009457816850174145*I	-8.579642290502834*^-6+0.*I	0.+0.0013750012952822624*I	-0.0000107056651798984+0.*I	0.+0.0020059453564326237*I	-0.000010284970558366164+0.*I	0.+0.0030045838376373817*I	-2.555760583310856*^-7+0.*I	0.+0.00475001815960555*I	-0.000015929794038621194+0.*I	0.+0.008156085309192027*I	-0.0003707197085315568+0.*I	0.+0.014961632106817637*I	0.0010777797793132561+0.*I	0.+0.040800407239255175*I	-0.0016010501578145374+0.*I	0.+0.20501567602965323*I	0.5006685827908876+0.*I	0.-0.6399179465566041*I	0.5006864167770965+0.*I	0.+0.1992748237256881*I	-0.001234071995739777+0.*I	0.+0.02658480835465829*I
0.+0.00007147706319168281*I	-1.3241728738374428*^-6+0.*I	0.+0.00022083979597552892*I	-2.6901311334522415*^-6+0.*I	0.+0.00039070442431943567*I	-4.1604534211975956*^-6+0.*I	0.+0.0005994406103585182*I	-5.828888648442351*^-6+0.*I	0.+0.0008743046218442327*I	-7.74680236776944*^-6+0.*I	0.+0.00125991213421294*I	-9.50228690908025*^-6+0.*I	0.+0.0018360807280781767*I	-8.652068282369325*^-6+0.*I	0.+0.002761574079865864*I	1.9041921375085275*^-6+0.*I	0.+0.004403677084980443*I	-0.000013179040381055623+0.*I	0.+0.007655388635734714*I	-0.00036776084576281613+0.*I	0.+0.014215598884607937*I	0.0010785624630117682+0.*I	0.+0.03963190412968248*I	-0.0016094466500768425+0.*I	0.+0.20302723194990488*I	0.5006864167771007+0.*I	0.-0.643670354780823*I	0.5010439574452098+0.*I	0.+0.1919685802545975*I	-0.002679612620774284+0.*I
-4.913329977416239*^-7+0.*I	0.+0.00010575063490128928*I	-1.4867528215389185*^-6+0.*I	0.+0.00022083979596954594*I	-2.5275511580888523*^-6+0.*I	0.+0.000356430852597672*I	-3.6691204475297796*^-6+0.*I	0.+0.0005279635471741437*I	-4.996048768723019*^-6+0.*I	0.+0.0007592154607639258*I	-6.5434240975405954*^-6+0.*I	0.+0.0010900475058830239*I	-7.869384640061936*^-6+0.*I	0.+0.0015930709703148905*I	-6.4923001009822774*^-6+0.*I	0.+0.002415233005219395*I	4.654945804705239*^-6+0.*I	0.+0.0039029804115134374*I	-0.000010220177597738918+0.*I	0.+0.006909355413525486*I	-0.00036697816209190273+0.*I	0.+0.01304709577501989*I	0.0010701659707125562+0.*I	0.+0.03764346004996584*I	-0.001591612663862632+0.*I	0.+0.19927482372566555*I	0.5010439574452212+0.*I	0.-0.6509765982518797*I	0.4995984168201816+0.*I	0.+0.16538377189995482*I
0.+0.00003427357172948565*I	-6.5391292981714*^-7+0.*I	0.+0.0001057506348846662*I	-1.3241728799903257*^-6+0.*I	0.+0.00018656622427241728*I	-2.036218184836737*^-6+0.*I	0.+0.0002849537893915164*I	-2.8362805477407317*^-6+0.*I	0.+0.0004128743861233238*I	-3.792670469764404*^-6+0.*I	0.+0.0005893508324085309*I	-4.910521840321395*^-6+0.*I	0.+0.0008470377480955251*I	-5.7096164479502375*^-6+0.*I	0.+0.0012467298956645979*I	-3.741546448442546*^-6+0.*I	0.+0.0019145363317855729*I	7.613808599390518*^-6+0.*I	0.+0.0031569471893059297*I	-9.437493950429732*^-6+0.*I	0.+0.005740852303954091*I	-0.00037537465431570143+0.*I	0.+0.011058651695296103*I	0.001087999956916514+0.*I	0.+0.03389105182574433*I	-0.0012340719957296194+0.*I	0.+0.19196858025460214*I	0.499598416820172+0.*I	0.-0.6775614066065456*I	0.5022780294409814+0.*I
