0.17054516777790377-0.8107958687763794*I	0.467423555599604+0.15103174187116583*I	-0.04158678121228066+0.19252505326774477*I	-0.040356269100732575+0.036571605656071635*I	-0.036293729248899294+0.016735360780143132*I	-0.026746422058186323-0.008444208348866103*I	-0.01436038948491047-0.014356590096725668*I	-0.0046426908280528985-0.017919116088392126*I	0.003975010110582595-0.014743718312763316*I	0.009714713005540023-0.007784577110554347*I	0.010484946739183364+0.000746381275840497*I	0.006169303200195042+0.007023977622270046*I	0.0009140143267459059+0.008175375805049907*I	0.0003958014449138842+0.007543483552476195*I	-0.0022545090741714394+0.005798741039252798*I	-0.007085370003341303+0.0004457097858787365*I	-0.004181576246621892-0.004979029898548616*I	0.00013455687405003269-0.006648006719504251*I	-0.0002322719036874578-0.004687117888852687*I	0.00023646440602161821-0.0030758360434351645*I	0.002920877490269397-0.0012929594463750942*I	0.003300660592657173+0.0035164421572690644*I	0.0011286794034155276+0.005224730295806237*I	-0.000010390931690100179+0.003679762139835072*I	-0.0008604978491329959+0.0036619937183351614*I	-0.0007611630866781933+0.0014158222789982804*I	-0.00021557098554732918-0.003838710827842819*I	-0.002209918217224873-0.005853133765644908*I	-0.0016861539681571407-0.0035533724371565605*I	0.0016610967113133705-0.0014376879749549293*I
0.46742355559959287+0.1510317418711753*I	0.1289583865656179-0.618270815508637*I	0.4270672864988736+0.18760334752721253*I	-0.07788051046117543+0.2092604140479081*I	-0.06710269115891344+0.02812739730722565*I	-0.050654118733805785+0.0023787706834074002*I	-0.03138911288625435-0.026363324437282735*I	-0.010385379374325175-0.029100308409463285*I	0.0050720221774938025-0.025703693198972914*I	0.014459956849755035-0.013997337036923966*I	0.01588401620574158-0.0007605994882657324*I	0.011398961065931877+0.00892175708091561*I	0.0065651046451103215+0.014567461174714264*I	-0.0013404947474250466+0.01397411684430408*I	-0.00668956855843553+0.007989193338357395*I	-0.00643608532078743+0.0008197111407029118*I	-0.006950813129294523-0.006202296933625779*I	-0.00441384815031974-0.00966614778740051*I	0.00037102128009151896-0.009723842762951925*I	0.002688605586580659-0.0059800773352059605*I	0.0035371249986696136+0.0004406061138265043*I	0.004049556893685064+0.00393177084944751*I	0.0032902696609725976+0.00719620429708627*I	0.00026818155427709215+0.008886724014139613*I	-0.0007715540183613174+0.005095584418814677*I	-0.001076068834693633-0.0001767171094742772*I	-0.0029710813038830563-0.00443731148665458*I	-0.0019017249537208853-0.007392083265014556*I	-0.0005488215059131452-0.007290821740589822*I	-0.0016861539681412758-0.003553372437148608*I
-0.041586781212277206+0.19252505326772482*I	0.4270672864988642+0.18760334752725238*I	0.09266465731674269-0.6015354547284723*I	0.4003208644406862+0.17915913917834736*I	-0.09224089994608184+0.1949038239511682*I	-0.07174538198699833+0.010208281218815899*I	-0.046679108623236036-0.012364947629335696*I	-0.021674399880694747-0.03414790154785654*I	0.00009956736486394971-0.028353927133613847*I	0.011241325377685293-0.01867971557666973*I	0.015373971176509208-0.00582196123188272*I	0.01627981765066892+0.006782884064172333*I	0.00914445199175185+0.014720498120177*I	-0.0005202653582526262+0.015013170960629804*I	-0.0055220709940587785+0.00899508694572718*I	-0.006555011684363403+0.0013411866188406424*I	-0.006668357224471665-0.0038674067481245023*I	-0.006714348723267012-0.0092781329770721*I	-0.0014929706600471811-0.010959107233776392*I	0.003671681872723212-0.006207400605667178*I	0.0038172849900091543-0.000755347039403173*I	0.0035267340669854516+0.00412036825364531*I	0.0031890590445515336+0.007593764567773394*I	0.0025291065742811454+0.008612026576110312*I	0.00005261056873515669+0.005048013186301488*I	-0.0029814722355802877-0.0007575493468373919*I	-0.0027622228028457434-0.003730089546670626*I	-0.0013099845925971143-0.005874999461580562*I	-0.0019017249536995024-0.007392083264988368*I	-0.0022099182172108977-0.005853133765649228*I
-0.040356269100746585+0.03657160565608382*I	-0.07788051046116576+0.20926041404788123*I	0.40032086444069087+0.17915913917835835*I	0.07830426783180935-0.6158920448251958*I	0.39567817361261165+0.16124002308996804*I	-0.08826588983549558+0.18016010563840215*I	-0.06203066898142018+0.0024237041082472858*I	-0.03619416188404883-0.011618566353473539*I	-0.015505096680511745-0.027123923925577952*I	0.0010135816916026384-0.020178551328589606*I	0.011637126822592466-0.011136232024198604*I	0.013119462102335949-0.000023220192600238192*I	0.009194447647326165+0.007228593850052929*I	0.004962875745130508+0.009741468221588636*I	-0.00038570848418099577+0.008365164241124661*I	-0.0057543428977440084+0.0043079690569091415*I	-0.0063185472783671435-0.0017346494245949508*I	-0.003747479734189932-0.005160366194511952*I	-0.003413688130620793-0.005761690819792774*I	-0.00036429125662266484-0.005734376937976348*I	0.003661290941042624-0.0025276384658476244*I	0.0029567871408660786+0.0029066466789426505*I	0.0027655709803001225+0.005536190532654239*I	0.002973488059005379+0.0037550537399267006*I	0.0003191883570707399+0.002758892810440723*I	-0.0016335433994232207+0.0014946407491565337*I	-0.001320375524282752-0.0021952373217684175*I	-0.0027622228028398995-0.00373008954666639*I	-0.002971081303891583-0.00443731148664916*I	-0.00021557098555528208-0.00383871082783358*I
-0.036293729248894534+0.01673536078014482*I	-0.06710269115891183+0.02812739730720796*I	-0.0922408999460978+0.194903823951172*I	0.39567817361262503+0.16124002308996355*I	0.08227927794239903-0.6306357631379704*I	0.4053928866181736+0.15345544597940552*I	-0.07778094309631693+0.18090648691426509*I	-0.05586136578124567+0.009447681730505851*I	-0.03528014755730189-0.0034431905484219685*I	-0.015109295235580633-0.019580440373103653*I	-0.0012409273825579913-0.014379810289323404*I	0.004551756819230648-0.010690522238330613*I	0.008937885855701218-0.005002250091158997*I	0.009329004521389348+0.0005805871305464455*I	0.004730603841450075+0.005054350332766872*I	-0.0001492440781731478+0.005289328197674878*I	-0.0028334654074578095+0.0030150096105190953*I	-0.0030178866857017562+0.0017817927326736931*I	-0.002618800330798355+0.00006436410131380531*I	-0.0034240790623011586-0.0020819286799568645*I	-0.0012247891057600075-0.0020723832196439572*I	0.002900127854363614-0.001111816186864497*I	0.0027412161553081876-0.0009320641488934584*I	0.0005556527631025884-0.00031694323300224204*I	0.0012873340908488803+0.00020168130278219417*I	0.001980285068364226+0.0013212048354959611*I	-0.0016335433994352755+0.0014946407491631774*I	-0.002981472235555137-0.0007575493468311024*I	-0.0010760688346986126-0.00017671710951517135*I	-0.0007611630866891173+0.0014158222790079248*I
-0.026746422058164864-0.008444208348869754*I	-0.0506541187338091+0.002378770683421563*I	-0.07174538198700418+0.010208281218808825*I	-0.08826588983550757+0.1801601056384187*I	0.4053928866181759+0.1534554459793837*I	0.09276422468159874-0.6298893818621151*I	0.41156218981836923+0.16047942360168257*I	-0.07686692876957889+0.18908186271932084*I	-0.055465564336329+0.016991165282972863*I	-0.03753465663147242+0.002355550490835795*I	-0.02219466523893911-0.019134730587211553*I	-0.005422503629206626-0.01935884018790254*I	0.004686313693319573-0.017338528957851203*I	0.00870561395203333-0.009689367979980825*I	0.009565468927394566-0.0024952489128776795*I	0.007651481331721439+0.0037613908863780455*I	0.0031514165144859423+0.008805770354939176*I	-0.0017047860040690322+0.008239739906357565*I	-0.003028277617390823+0.005461554872497652*I	-0.0034792981799022576+0.00372635781960156*I	-0.004185242148991467-0.000666106400946482*I	-0.0014403600913249247-0.005911094047456803*I	0.0006902096371740273-0.006964949952513549*I	0.0010550621871584728-0.004485436586063662*I	0.0022167494743677648-0.0017546312079261578*I	0.0012873340908526724+0.00020168130275643277*I	0.0003191883570816662+0.002758892810445683*I	0.00005261056873050232+0.005048013186322569*I	-0.0007715540183648707+0.0050955844188244415*I	-0.0008604978491458522+0.003661993718317329*I
-0.01436038948491296-0.0143565900967129*I	-0.031389112886248856-0.02636332443727477*I	-0.04667910862322105-0.012364947629327596*I	-0.062030668981428845+0.0024237041082330493*I	-0.07778094309632377+0.18090648691426064*I	0.41156218981836384+0.16047942360167664*I	0.09367823900831677-0.6217140060570665*I	0.41195799126329175+0.16802290715414744*I	-0.07912143784374516+0.1948806037585768*I	-0.06255093433967968+0.017436875068855197*I	-0.04171623287809321-0.0026234794077453663*I	-0.022060108364855165-0.0257827373067119*I	-0.005654775532895408-0.02404595807670233*I	0.004922778099310395-0.020414365001295655*I	0.011626491442304885-0.010982327426386322*I	0.012866129520047353+0.0010211932443924118*I	0.008780160735138558+0.008986121182194835*I	0.0031410255827989965+0.012485532494770643*I	-0.002565283853171186+0.011901733624680472*I	-0.0037894407040834684+0.0068773771515139625*I	-0.0036948691654867883-0.00011235300822602158*I	-0.00639516036618051-0.006519240166618059*I	-0.0031265140594704615-0.00946446648462291*I	0.0023513063484438155-0.008402637927446147*I	0.001055062187159526-0.00448543658606147*I	0.0005556527630993731-0.0003169432329899054*I	0.0029734880590086043+0.0037550537399333563*I	0.0025291065742766784+0.008612026576090165*I	0.0002681815542724488+0.008886724014144733*I	-0.00001039093167809966+0.003679762139820587*I
-0.004642690828057064-0.017919116088405792*I	-0.01038537937434446-0.029100308409486682*I	-0.021674399880691378-0.03414790154782906*I	-0.03619416188403411-0.011618566353494156*I	-0.055861365781230056+0.009447681730529615*I	-0.07686692876960319+0.18908186271932412*I	0.41195799126328875+0.16802290715412124*I	0.09142372993416385-0.6159152650178173*I	0.4048726212599314+0.16846861694005072*I	-0.0833030140903701+0.18990157386001205*I	-0.06241637746561564+0.010788868349332422*I	-0.041948504781779125-0.007310597296560764*I	-0.021823643958859003-0.02885857335015479*I	-0.002733898042609173-0.02533891752310675*I	0.008223438691980353-0.016897922844009226*I	0.012755170845711884-0.005757597130548233*I	0.01285573858835455+0.004700955384206717*I	0.007919662886008608+0.012648114900513489*I	0.002379862496119751+0.013901354773766708*I	-0.0027808548387549697+0.00806302279684932*I	-0.005999358921264798+0.0010242433858639092*I	-0.005381023133619654-0.0036657254453844306*I	-0.004734063654916243-0.00795692814155059*I	-0.003126514059476832-0.009464466484624472*I	0.0006902096371734672-0.006964949952510253*I	0.0027412161553131845-0.0009320641489057902*I	0.002765570980291898+0.005536190532664053*I	0.003189059044549037+0.007593764567766027*I	0.0032902696609832475+0.0071962042970890655*I	0.0011286794034094444+0.005224730295819281*I
0.0039750101105755385-0.014743718312763717*I	0.005072022177491033-0.025703693198949773*I	0.00009956736486615386-0.02835392713363083*I	-0.015505096680502612-0.02712392392557316*I	-0.03528014755731104-0.003443190548433625*I	-0.055465564336319204+0.016991165282977255*I	-0.07912143784374959+0.19488060375858948*I	0.40487262125992474+0.16846861694002876*I	0.0872421536875367-0.620894294916391*I	0.4050071781340056+0.16182061022052416*I	-0.08353528599407047+0.1852144559711847*I	-0.06217991305958494+0.0077130323059068145*I	-0.03902762729151331-0.008603556742955877*I	-0.01852298336620066-0.025342131192871365*I	-0.0016052186391988929-0.020114187227290276*I	0.008213047760280682-0.013218160704199271*I	0.011894672996581711-0.0020956034122179305*I	0.012094575501688423+0.006116777663217016*I	0.007704091900446893+0.008809404072677654*I	0.00016994427891385032+0.008048221008121645*I	-0.004467008806885806+0.004509650359678809*I	-0.004338262210001835-0.0004134445890827424*I	-0.005381023133638239-0.0036657254453686602*I	-0.006395160366183912-0.006519240166619654*I	-0.0014403600913116877-0.00591109404747056*I	0.0029001278543686645-0.0011118161868359892*I	0.0029567871408640017+0.002906646678916228*I	0.003526734066978879+0.004120368253652007*I	0.004049556893689916+0.003931770849443793*I	0.003300660592653026+0.0035164421572730243*I
0.009714713005547783-0.007784577110563234*I	0.014459956849771347-0.013997337036917286*I	0.011241325377676468-0.018679715576695708*I	0.0010135816915909008-0.020178551328564134*I	-0.015109295235577731-0.019580440373098695*I	-0.03753465663146535+0.002355550490828463*I	-0.06255093433967883+0.017436875068873623*I	-0.08330301409037416+0.18990157385999548*I	0.40500717813400117+0.16182061022050315*I	0.08700988178383602-0.6255814128051917*I	0.40524364254001405+0.15874477417709892*I	-0.08061440850379013+0.18392149652477502*I	-0.05887925246692694+0.011229474463185563*I	-0.037898947888098146-0.003378826447125717*I	-0.018533374297899495-0.021662369053059474*I	-0.0024657164883219096-0.01645219350896457*I	0.007451884673606463-0.01180233842518691*I	0.011679102011018-0.005934314240058628*I	0.009884657284483178+0.00026364389755353197*I	0.0060179379322916615+0.005256031635521479*I	0.0018310409902024753+0.006610533033193214*I	-0.004467008806896724+0.0045096503596904845*I	-0.0059993589212735616+0.0010242433858371333*I	-0.0036948691654782834-0.00011235300820337326*I	-0.004185242148986964-0.0006661064009558206*I	-0.0012247891057631402-0.0020723832196549827*I	0.0036612909410557288-0.002527638465859777*I	0.003817284989991959-0.0007553470393770677*I	0.0035371249986601828+0.00044060611384143407*I	0.0029208774902974247-0.0012929594463964942*I
