0.-0.8596857974071099*I	-0.4999649166249964+0.*I	0.+0.1538287821654194*I
-0.499964916519275+0.*I	0.-0.705857015221177*I	-0.49996491651609176+0.*I
0.+0.15382878211903517*I	-0.4999649166303049+0.*I	0.-0.8596857972870566*I
