0.30232214778285654-0.00001348028142901548*I	0.10464346324731007-0.000011841953652800602*I	0.041985603129564154-9.027457097053749*^-6*I	0.0194151961124961-6.847945793887622*^-6*I	0.010129635958501011-5.266138265073129*^-6*I	0.005796158932870405-4.081012352315006*^-6*I	0.003532999404914147-3.1475522763422503*^-6*I	0.002227766817036922-2.375204450751689*^-6*I	0.0014024408260281866-1.7070561166098006*^-6*I	0.0008291049830952883-1.1054289522626315*^-6*I	0.00038642984234726245-5.434395263585872*^-7*I
0.10464346324731005-0.000011841953652800604*I	0.3443077509124204-0.000022507738526069214*I	0.12405865935980617-0.00001868989944668822*I	0.052115239088065174-0.000014293595362126881*I	0.025211355045366493-0.000010928958146202622*I	0.013662635363415155-8.413690541415376*^-6*I	0.008023925749907328-6.456216803066692*^-6*I	0.004935440230942336-4.854608392952051*^-6*I	0.0030568718001322114-3.4806334030143207*^-6*I	0.0017888706683754502-2.250495642968389*^-6*I	0.0008291049830952888-1.1054289522626321*^-6*I
0.04198560312956415-9.027457097053743*^-6*I	0.12405865935980613-0.000018689899446688218*I	0.35443738687092163-0.000027773876791142355*I	0.1298548182926766-0.000022770911799003237*I	0.05564823849297932-0.000017441147638469133*I	0.027439121862403413-0.00001330416259695431*I	0.015065076189443336-0.000010120746658025176*I	0.008853030733002613-7.561645755329325*^-6*I	0.005321870073289597-5.398047919310639*^-6*I	0.003056871800132212-3.480633403014323*^-6*I	0.0014024408260281875-1.707056116609802*^-6*I
0.019415196112496095-6.847945793887619*^-6*I	0.05211523908806518-0.000014293595362126883*I	0.12985481829267662-0.000022770911799003234*I	0.3579703862758359-0.000030921429067484624*I	0.13208258510971352-0.00002514611624975492*I	0.0570506793190075-0.000019148203755078924*I	0.028268226845498696-0.000014409591549216936*I	0.015451506031790605-0.000010664186184383764*I	0.008853030733002618-7.561645755329327*^-6*I	0.0049354402309423374-4.854608392952056*^-6*I	0.002227766817036924-2.3752044507516917*^-6*I
0.01012963595850101-5.26613826507313*^-6*I	0.025211355045366483-0.000010928958146202627*I	0.05564823849297932-0.000017441147638469133*I	0.1320825851097135-0.000025146116249754915*I	0.35937282710186386-0.00003262848518409439*I	0.1329116900928087-0.000026251545202017528*I	0.05743710916135471-0.000019691643281437492*I	0.028268226845498682-0.000014409591549216934*I	0.015065076189443338-0.000010120746658025176*I	0.008023925749907327-6.456216803066696*^-6*I	0.0035329994049141484-3.1475522763422524*^-6*I
0.0057961589328704025-4.081012352315005*^-6*I	0.013662635363415148-8.413690541415377*^-6*I	0.02743912186240341-0.00001330416259695431*I	0.057050679319007466-0.00001914820375507892*I	0.13291169009280865-0.000026251545202017525*I	0.35975925694421096-0.00003317192471045295*I	0.13291169009280862-0.000026251545202017504*I	0.057050679319007425-0.0000191482037550789*I	0.027439121862403385-0.000013304162596954294*I	0.013662635363415146-8.413690541415372*^-6*I	0.0057961589328704025-4.081012352315004*^-6*I
0.0035329994049141463-3.14755227634225*^-6*I	0.008023925749907323-6.456216803066693*^-6*I	0.015065076189443336-0.000010120746658025177*I	0.028268226845498685-0.000014409591549216936*I	0.05743710916135471-0.00001969164328143749*I	0.1329116900928087-0.000026251545202017515*I	0.35937282710186375-0.00003262848518409437*I	0.1320825851097134-0.000025146116249754898*I	0.05564823849297928-0.000017441147638469112*I	0.025211355045366483-0.00001092895814620262*I	0.01012963595850101-5.266138265073128*^-6*I
0.002227766817036923-2.3752044507516888*^-6*I	0.004935440230942332-4.854608392952051*^-6*I	0.008853030733002615-7.561645755329326*^-6*I	0.0154515060317906-0.000010664186184383765*I	0.028268226845498682-0.000014409591549216933*I	0.05705067931900746-0.00001914820375507891*I	0.1320825851097134-0.000025146116249754898*I	0.3579703862758357-0.00003092142906748459*I	0.12985481829267653-0.00002277091179900322*I	0.05211523908806516-0.000014293595362126876*I	0.01941519611249609-6.847945793887619*^-6*I
0.0014024408260281864-1.7070561166098008*^-6*I	0.00305687180013221-3.480633403014321*^-6*I	0.005321870073289598-5.39804791931064*^-6*I	0.008853030733002611-7.561645755329328*^-6*I	0.015065076189443333-0.000010120746658025177*I	0.0274391218624034-0.000013304162596954304*I	0.05564823849297928-0.000017441147638469116*I	0.12985481829267653-0.00002277091179900322*I	0.3544373868709215-0.00002777387679114235*I	0.12405865935980614-0.00001868989944668822*I	0.041985603129564154-9.027457097053747*^-6*I
0.0008291049830952883-1.105428952262632*^-6*I	0.00178887066837545-2.2504956429683894*^-6*I	0.003056871800132213-3.4806334030143237*^-6*I	0.004935440230942338-4.854608392952056*^-6*I	0.008023925749907327-6.456216803066697*^-6*I	0.013662635363415153-8.413690541415379*^-6*I	0.025211355045366497-0.000010928958146202625*I	0.05211523908806518-0.000014293595362126881*I	0.12405865935980619-0.00001868989944668823*I	0.3443077509124207-0.000022507738526069238*I	0.10464346324731011-0.000011841953652800612*I
0.0003864298423472624-5.434395263585874*^-7*I	0.0008291049830952887-1.105428952262632*^-6*I	0.001402440826028188-1.7070561166098025*^-6*I	0.0022277668170369246-2.3752044507516926*^-6*I	0.0035329994049141493-3.1475522763422532*^-6*I	0.005796158932870408-4.081012352315007*^-6*I	0.01012963595850101-5.26613826507313*^-6*I	0.0194151961124961-6.847945793887622*^-6*I	0.041985603129564175-9.027457097053752*^-6*I	0.1046434632473101-0.000011841953652800612*I	0.30232214778285654-0.000013480281429015484*I
