0.-0.8487765644110435*I	-0.49995760419644836+0.*I	0.+0.16976467362257153*I	0.000016885411155891938+0.*I	0.+0.024251182355804354*I	0.000010776621494693538+0.*I	0.+0.008082653854470677*I	7.901221943781012*^-6+0.*I	0.+0.0036727482643450562*I	6.201375795742388*^-6+0.*I	0.+0.001976358963927484*I	5.066409215212221*^-6+0.*I	0.+0.0011844612067262866*I	4.247602443534188*^-6+0.*I	0.+0.0007649860503345374*I	3.6233058503903318*^-6+0.*I	0.+0.0005219042992262446*I	3.128750536762176*^-6+0.*I	0.+0.00037120202436931315*I	2.724562256191634*^-6+0.*I	0.+0.0002726880870910428*I	2.389046606694978*^-6+0.*I	0.+0.0002054502508982009*I	2.057026136190967*^-6+0.*I	0.+0.00015791890811377163*I	1.6420092446865954*^-6+0.*I	0.+0.00012389055866851573*I	3.1156354423582372*^-6+0.*I	0.+0.00009427227147034561*I	-3.7560777085757693*^-6+0.*I	0.+0.00008524301604351942*I	0.000012402773992483455+0.*I	0.+0.000047069516858976035*I	-0.000016336513769319654+0.*I	0.+0.00006823097788365845*I	0.000020885388255336983+0.*I	0.+0.000019144255916418718*I	-0.00001665524549797466+0.*I	0.+0.00004414300328939996*I	0.000011755183571274899+0.*I	0.+0.000014045521054981136*I	-4.73394244240455*^-6+0.*I	0.+0.00001816548052824274*I	1.7866292049103652*^-6+0.*I	0.+8.26237794179091*^-6*I	-5.938945791827434*^-8+0.*I	0.+2.921867035418635*^-6*I
5.066399579989859*^-6+0.*I	0.+0.0031608201676990855*I	0.00001551538335784369+0.*I	0.+0.007598554488125447*I	0.000027039911145566232+0.*I	0.+0.01620311263707584*I	0.00004094529774660059+0.*I	0.+0.04082549701820996*I	0.00006055526057892644+0.*I	0.+0.21086285872214577*I	-0.4998946598862803+0.*I	0.-0.6377082554269262*I	-0.49989260287021825+0.*I	0.+0.2112262278922959*I	0.00006664335266641115+0.*I	0.+0.041585444830383705*I	0.00005287355692225378+0.*I	0.+0.017428534740713438*I	0.0000383408713811789+0.*I	0.+0.009431123908973351*I	0.000042842416057540126+0.*I	0.+0.005805445156654138*I	0.000020304527515496848+0.*I	0.+0.0038973171736354137*I	0.00003612351570012395+0.*I	0.+0.002732000220606302*I	0.000015220663110678143+0.*I	0.+0.002011157169068154*I	0.000023352536677294875+0.*I	0.+0.001503298392095643*I	0.000015489849161433722+0.*I	0.+0.0011502618496590509*I	0.000014551908340155735+0.*I	0.+0.0008858361410325872*I	0.00001210348071774552+0.*I	0.+0.0006833077523131906*I	0.000010046441984941103+0.*I	0.+0.0005224669821378512*I	8.463834168571555*^-6+0.*I	0.+0.0003903140432160021*I	3.5615615344322497*^-6+0.*I	0.+0.0002778762888060924*I	0.00001205159141788735+0.*I	0.+0.00017858774915434895*I	-0.000012106374170658625+0.*I	0.+0.00008737523480941605*I	0.000020885382812252384+0.*I
0.+0.0011844612059888002*I	9.314009760145968*^-6+0.*I	0.+0.0039258062300757054*I	0.00001913869349033885+0.*I	0.+0.008120458789024912*I	0.0000301686718961182+0.*I	0.+0.01657431466117665*I	0.00004366984861296415+0.*I	0.+0.041098185098010456*I	0.00006294430688001992+0.*I	0.+0.21106830898370177*I	-0.49989260286288695+0.*I	0.-0.6375503365248215*I	-0.49989096085116685+0.*I	0.+0.21135011845613869*I	0.00006975897878922405+0.*I	0.+0.04167971709180699*I	0.00004911749254095443+0.*I	0.+0.017513777756521114*I	0.00005074364073743977+0.*I	0.+0.009478193424771235*I	0.000026505907412198364+0.*I	0.+0.005873676136673077*I	0.00004118991770867685+0.*I	0.+0.003916461427501121*I	0.000019468267461714008+0.*I	0.+0.0027761432222020294*I	0.000026975847777438744+0.*I	0.+0.002025202687246812*I	0.000018618595493778142+0.*I	0.+0.00152146387814215*I	0.000017276476395425592+0.*I	0.+0.0011585242283494515*I	0.00001449251872532336+0.*I	0.+0.0008887580110677196*I	0.00001210347554306012+0.*I	0.+0.0006803858840228119*I	0.00001010583703775078+0.*I	0.+0.0005142046043733264*I	6.677207205433056*^-6+0.*I	0.+0.000372148556893985*I	8.295505164572433*^-6+0.*I	0.+0.0002638307708996909*I	2.9639825145399604*^-7+0.*I	0.+0.00013444474923920285*I	4.548873805954368*^-6+0.*I	0.+0.00006823098309467757*I
4.247601737630252*^-6+0.*I	0.+0.001949447261154448*I	0.000012937310034469372+0.*I	0.+0.004447710512887697*I	0.000022267455724045024+0.*I	0.+0.008491660813687782*I	0.000032893225768839074+0.*I	0.+0.01684700274648838*I	0.00004605889466557709+0.*I	0.+0.04130363535995793*I	0.00006500133758224845+0.*I	0.+0.2112262278930473*I	-0.4998909608481651+0.*I	0.-0.6374264459602581*I	-0.49988784522269936+0.*I	0.+0.21144439071459195*I	0.00006600290222455842+0.*I	0.+0.041764960116328916*I	0.00006152025936345006+0.*I	0.+0.017560847274761003*I	0.000034407127200734915+0.*I	0.+0.00954642439965396*I	0.0000473912917568286+0.*I	0.+0.005892820392210437*I	0.000024534673713929628+0.*I	0.+0.003960604430767991*I	0.00003122345016836237+0.*I	0.+0.0027901887453861667*I	0.000022241906412547808+0.*I	0.+0.0020433681702857033*I	0.000020405228358802403+0.*I	0.+0.0015297262495202232*I	0.000017217086658899777+0.*I	0.+0.0011614460938661017*I	0.000014492519569691219+0.*I	0.+0.0008858361450843277*I	0.00001216286599243918+0.*I	0.+0.0006721235073938636*I	8.319207269679924*^-6+0.*I	0.+0.0004960391196224852*I	0.000011411143099822224+0.*I	0.+0.00035810303624742186*I	-3.4596771544378373*^-6+0.*I	0.+0.00021968777072437499*I	0.00001695164619799356+0.*I	0.+0.00011530049407292194*I	-0.00001633651839372252+0.*I
0.+0.0007649860567405103*I	7.870909048423024*^-6+0.*I	0.+0.0024713515551551477*I	0.00001606607303948289+0.*I	0.+0.00481891255018535*I	0.000024992008901565873+0.*I	0.+0.008764348892918397*I	0.00003528227695840843+0.*I	0.+0.017052453005903814*I	0.00004811592145565177+0.*I	0.+0.041461554266530705*I	0.0000666433451639237+0.*I	0.+0.21135011845447849*I	-0.49988784521986107+0.*I	0.-0.6373321736977882*I	-0.4998916012984944+0.*I	0.+0.2115296337395306*I	0.00007840567681716272+0.*I	0.+0.041812029622659744*I	0.00004518374893116243+0.*I	0.+0.017629078255857727*I	0.00005529251679191721+0.*I	0.+0.009565568661379788*I	0.00003073604414667885+0.*I	0.+0.005936963392369175*I	0.000036289859091305016+0.*I	0.+0.003974649946850171*I	0.000026489509693734128+0.*I	0.+0.0028083542285487137*I	0.00002402853927128339+0.*I	0.+0.002051630545752227*I	0.000020345834684182116+0.*I	0.+0.0015326481247726134*I	0.000017217088019433845+0.*I	0.+0.0011585242271354504*I	0.000014551908766423418+0.*I	0.+0.0008775737651692192*I	0.000010376234900167165+0.*I	0.+0.0006539580212192447*I	0.000013053153958669173+0.*I	0.+0.000481993601452034*I	-3.4404559922605397*^-7+0.*I	0.+0.00031396003340824347*I	0.000013195573810448758+0.*I	0.+0.00020054351619017835*I	-3.933742232951026*^-6+0.*I	0.+0.000047069508437108665*I
3.623306741150359*^-6+0.*I	0.+0.0012868903489672325*I	0.000010999660918939464+0.*I	0.+0.002842553579972142*I	0.000018790635787450873+0.*I	0.+0.0050916006290102*I	0.000027381051483870086+0.*I	0.+0.00896979915332445*I	0.00003733930193795355+0.*I	0.+0.017210371914316486*I	0.00004975793228379409+0.*I	0.+0.04158544482912251*I	0.00006975898453017066+0.*I	0.+0.21144439071998014*I	-0.49989160129809024+0.*I	0.-0.6372469306811478*I	-0.49987919852207147+0.*I	0.+0.21157670325376654*I	0.00006206915540402772+0.*I	0.+0.04188026061144823*I	0.00006606913319356465+0.*I	0.+0.017648222507769165*I	0.000038637271784998684+0.*I	0.+0.009609711656199678*I	0.000042491235911767115+0.*I	0.+0.005951008911719572*I	0.00003155591633955098+0.*I	0.+0.003992815434239025*I	0.000028276135815840818+0.*I	0.+0.002816616603763429*I	0.000023969147613933433+0.*I	0.+0.0020545524125014764*I	0.000020345837712935494+0.*I	0.+0.0015297262539731393*I	0.000017276470699440093+0.*I	0.+0.0011502618536536682*I	0.000012765288455967094+0.*I	0.+0.0008594082831257709*I	0.000015110177230633722+0.*I	0.+0.000639912500149478*I	1.2979635446918743*^-6+0.*I	0.+0.0004378505974876833*I	0.00001631119984178647+0.*I	0.+0.00029481578197427936*I	-7.689819289901879*^-6+0.*I	0.+0.00013231253643675782*I	0.000012402774064612654+0.*I
0.+0.0005219042906025456*I	6.752061231910912*^-6+0.*I	0.+0.001658092375432893*I	0.000013724227799615338+0.*I	0.+0.00311524166459496*I	0.000021179677467104586+0.*I	0.+0.005297050890032608*I	0.000029438083526303406+0.*I	0.+0.009127718062443294*I	0.00003898131389084325+0.*I	0.+0.017334262476068018*I	0.00005287356716620742+0.*I	0.+0.04167971709178577*I	0.00006600290015040984+0.*I	0.+0.21152963373826061*I	-0.49987919853101226+0.*I	0.-0.6371998611554855*I	-0.4998955350378686+0.*I	0.+0.2116449342333796*I	0.00008295454975665167+0.*I	0.+0.04189940486063637*I	0.00004941388983885957+0.*I	0.+0.017692365508176856*I	0.000050392453965569097+0.*I	0.+0.009623757178699045*I	0.00003775729218642855+0.*I	0.+0.005969174396631326*I	0.0000333425430006501+0.*I	0.+0.0040010778087091955*I	0.000028216753008132352+0.*I	0.+0.002819538469054618*I	0.000023969140538714293+0.*I	0.+0.002051630548491272*I	0.000020405229791749507+0.*I	0.+0.0015214638774391984*I	0.000015489842531862572+0.*I	0.+0.001132096367031217*I	0.000017499220237374717+0.*I	0.+0.0008453627590237697*I	3.3549915766415512*^-6+0.*I	0.+0.0005957695039729358*I	0.00001795321451140395+0.*I	0.+0.00041870634211553515*I	-4.574188164668607*^-6+0.*I	0.+0.00022658480087635324*I	8.646697092090559*^-6+0.*I	0.+0.00008524301790899247*I
3.128755652058004*^-6+0.*I	0.+0.0008931063199197036*I	9.476628033542898*^-6+0.*I	0.+0.0019307804598195902*I	0.00001611326683828326+0.*I	0.+0.0033206919233311994*I	0.000023236706748034085+0.*I	0.+0.0054549697942281525*I	0.00003108009023442531+0.*I	0.+0.009251608624715846*I	0.00004209693860906177+0.*I	0.+0.017428534739631723*I	0.00004911749156081523+0.*I	0.+0.04176496010775911*I	0.00007840567224169439+0.*I	0.+0.2115767032489496*I	-0.49989553503861395+0.*I	0.-0.6371316301762413*I	-0.4998746496477473+0.*I	0.+0.21166407848969684*I	0.0000662992955643267+0.*I	0.+0.041943547864033336*I	0.00006116907982715023+0.*I	0.+0.01770641102984614*I	0.00004565850858314721+0.*I	0.+0.00964192265858352*I	0.00003954392672754451+0.*I	0.+0.005977436774080099*I	0.000033283152839937415+0.*I	0.+0.004003999678581866*I	0.000028216751352809487+0.*I	0.+0.002816616602811559*I	0.000024028531821084642+0.*I	0.+0.002043368169551381*I	0.000018618597621863394+0.*I	0.+0.0015032983914033704*I	0.000020223790651868893+0.*I	0.+0.0011180508430464137*I	5.744041508010067*^-6+0.*I	0.+0.0008012197665464164*I	0.000020010237108541846+0.*I	0.+0.000576625243188796*I	-2.932180142568924*^-6+0.*I	0.+0.00035047536330497*I	0.000011762325367584316+0.*I	0.+0.0001795152893031586*I	-3.7560724937546475*^-6+0.*I
0.+0.00037120203081234676*I	5.853319244371605*^-6+0.*I	0.+0.0011657944066421969*I	0.000011865671236085172+0.*I	0.+0.002136230714224044*I	0.00001817029238061806+0.*I	0.+0.0034786108303451607*I	0.000024878716299952957+0.*I	0.+0.005578860354762537*I	0.00003419572566353116+0.*I	0.+0.009345880890259194*I	0.0000383408705396823+0.*I	0.+0.017513777757698933*I	0.00006152025562747278+0.*I	0.+0.04181202962797531*I	0.00006206915976693898+0.*I	0.+0.21164493423323308*I	-0.499874649647048+0.*I	0.-0.6371124859252649*I	-0.49989130489681355+0.*I	0.+0.2117082214904671*I	0.00007805448562619611+0.*I	0.+0.0419575933838829*I	0.00005643513628505435+0.*I	0.+0.017724576514739056*I	0.00004744514483765928+0.*I	0.+0.0096501850378517*I	0.00003948452889787701+0.*I	0.+0.005980358642476258*I	0.000033283154965810806+0.*I	0.+0.00400107780757334*I	0.00002827613886889884+0.*I	0.+0.002808354227796836*I	0.00002224190577879267+0.*I	0.+0.002025202688259571*I	0.000023352536582684172+0.*I	0.+0.0014892528686562267*I	8.46859955113418*^-6+0.*I	0.+0.001073907844059141*I	0.000022399283632973533+0.*I	0.+0.0007820755061291526*I	-8.751502250944618*^-7+0.*I	0.+0.000508394268371952*I	0.000013404337202351964+0.*I	0.+0.0003034058474222015*I	-6.404456425826393*^-7+0.*I	0.+0.00009427226977958697*I
2.724566261220622*^-6+0.*I	0.+0.0006438901103572058*I	8.242365975421551*^-6+0.*I	0.+0.001371244666191152*I	0.000013922695137866099+0.*I	0.+0.0022941496235295033*I	0.00001981230768070966+0.*I	0.+0.0036025013922949844*I	0.000027994345880829976+0.*I	0.+0.005673132622370701*I	0.0000304396514742422+0.*I	0.+0.009431123908443351*I	0.000050743635775638934+0.*I	0.+0.017560847268523066*I	0.0000451837445350565+0.*I	0.+0.04188026060656187*I	0.00008295455022704082+0.*I	0.+0.21166407848854385*I	-0.4998913048973401+0.*I	0.-0.6370683429234443*I	-0.4998795497131081+0.*I	0.+0.21172226700739738*I	0.00007332054677536233+0.*I	0.+0.04197575886860477*I	0.00005822175867754353+0.*I	0.+0.017732838887017502*I	0.00004738574963255042+0.*I	0.+0.009653106906189559*I	0.00003948453516525925+0.*I	0.+0.005977436772393537*I	0.00003334254652272564+0.*I	0.+0.0039928154343705285*I	0.000026489507959015843+0.*I	0.+0.002790188739983632*I	0.000026975846713442678+0.*I	0.+0.002011157164009773*I	0.00001159735179356418+0.*I	0.+0.0014451098708467445*I	0.000025123849885514066+0.*I	0.+0.0010547635991827906*I	1.5138983225940095*^-6+0.*I	0.+0.0007138445259293697*I	0.00001546136357200193+0.*I	0.+0.0004613247532341845*I	1.0015703041047624*^-6+0.*I	0.+0.00021816282874723017*I	3.1156338621829427*^-6+0.*I
0.+0.00027268808647019915*I	5.113610590571923*^-6+0.*I	0.+0.0008493403718817169*I	0.000010299390763575675+0.*I	0.+0.0015291635688257782*I	0.00001556470070976+0.*I	0.+0.0024180401847450073*I	0.000022927943005227873+0.*I	0.+0.0036967736572828674*I	0.00002423827205728666+0.*I	0.+0.005758375641790409*I	0.000042842421213067214+0.*I	0.+0.009478193424380714*I	0.00003440712413731282+0.*I	0.+0.017629078252678964*I	0.0000660691394040259+0.*I	0.+0.04189940485712315*I	0.00006629930199721567+0.*I	0.+0.21170822149100926*I	-0.4998795497128734+0.*I	0.-0.6370542974063891*I	-0.4998842836507047+0.*I	0.+0.21174043249554475*I	0.00007510717498679548+0.*I	0.+0.041984021246656435*I	0.00005816237316704264+0.*I	0.+0.01773576076153306*I	0.00004738575018761931+0.*I	0.+0.009650185036924393*I	0.00003954391754154587+0.*I	0.+0.005969174397611375*I	0.000031555913099438784+0.*I	0.+0.003974649952338906*I	0.00003122345030875515+0.*I	0.+0.0027761432251260307*I	0.000015220659005979096+0.*I	0.+0.0019670141622065776*I	0.000028252600261829574+0.*I	0.+0.0014259656201464424*I	4.238458713976365*^-6+0.*I	0.+0.0009865326070975788*I	0.00001785040645173837+0.*I	0.+0.000666775012665953*I	3.0585916381407127*^-6+0.*I	0.+0.00037608173116712024*I	4.757641012510279*^-6+0.*I	0.+0.00012389055982951758*I
2.389043234685167*^-6+0.*I	0.+0.00047813834411827237*I	7.1706349966918666*^-6+0.*I	0.+0.0010072592776835462*I	0.000011941403010677002+0.*I	0.+0.001653054128340129*I	0.00001868033729344597+0.*I	0.+0.0025123124533830777*I	0.000019171865462022296+0.*I	0.+0.003782016678947668*I	0.0000366410451635537+0.*I	0.+0.005805445151616789*I	0.000026505901864115253+0.*I	0.+0.009546424402245651*I	0.0000552925089607039+0.*I	0.+0.017648222514162055*I	0.000049413894058434636+0.*I	0.+0.041943547858978414*I	0.00007805448286478606+0.*I	0.+0.2117222670080947*I	-0.499884283650486+0.*I	0.-0.6370361319192516*I	-0.4998824970211493+0.*I	0.+0.21174869486898015*I	0.00007504778815276239+0.*I	0.+0.04198694310821087*I	0.00005816236821253184+0.*I	0.+0.017732838888795767*I	0.00004744514109099715+0.*I	0.+0.009641922660836752*I	0.000037757287131052094+0.*I	0.+0.005951008917046532*I	0.000036289862882724235+0.*I	0.+0.003960604427064959*I	0.00001946826224455895+0.*I	0.+0.0027320002176103282*I	0.000031875906087813777+0.*I	0.+0.0019478699136634985*I	7.367211188346222*^-6+0.*I	0.+0.001357734635930798*I	0.00002057497635513271+0.*I	0.+0.0009394630983866728*I	5.447640726628089*^-6+0.*I	0.+0.0005815319928313962*I	6.8146671798777775*^-6+0.*I	0.+0.00028180946402743486*I	1.6420082267765146*^-6+0.*I
0.+0.00020545025972936587*I	4.446069442144207*^-6+0.*I	0.+0.0006360572445857082*I	8.81264233517387*^-6+0.*I	0.+0.0011311498410253862*I	0.000015057028889286842+0.*I	0.+0.0017473263971556213*I	0.000014924261150360615+0.*I	0.+0.002597555474376602*I	0.00003157463475199026+0.*I	0.+0.003829086190775148*I	0.000020304531046561296+0.*I	0.+0.005873676139042175*I	0.000047391293737649676+0.*I	0.+0.009565568657426984*I	0.00003863726938091934+0.*I	0.+0.017692365506444062*I	0.00006116906944099066+0.*I	0.+0.041957593385969966*I	0.00007332054647267458+0.*I	0.+0.21174043249419813*I	-0.49988249702463305+0.*I	0.-0.6370278695452789*I	-0.49988255641864704+0.*I	0.+0.21175161673677192*I	0.00007504778608424722+0.*I	0.+0.04198402124704047*I	0.00005822176474602546+0.*I	0.+0.01772457650982421*I	0.000045658509438317203+0.*I	0.+0.00962375717988797*I	0.00004249123068934139+0.*I	0.+0.005936963389247665*I	0.00002453466886702713+0.*I	0.+0.003916461423380438*I	0.00003612350990525455+0.*I	0.+0.0027128559690921678*I	0.000010990519750381028+0.*I	0.+0.0018796389317488546*I	0.00002370372617790739+0.*I	0.+0.0013106651217995938*I	8.172198920575574*^-6+0.*I	0.+0.0008542200774889416*I	9.20370920687867*^-6+0.*I	0.+0.00048725972490090697*I	3.6990423699784276*^-6+0.*I	0.+0.00015791890599766573*I
2.05702459486225*^-6+0.*I	0.+0.0003633691646689091*I	6.08808606347825*^-6+0.*I	0.+0.00075994781421515*I	0.000011928276536156684+0.*I	0.+0.0012254221016927513*I	0.000011300957391069082+0.*I	0.+0.0018325694180466908*I	0.00002732703534840708+0.*I	0.+0.0026446249843256517*I	0.00001523812422865413+0.*I	0.+0.003897317175383257*I	0.00004118991407445102+0.*I	0.+0.005892820387456329*I	0.00003073604591409507+0.*I	0.+0.0096097116637253*I	0.00005039245158915705+0.*I	0.+0.017706411028162696*I	0.00005643513376922401+0.*I	0.+0.041975758865364345*I	0.00007510717254272206+0.*I	0.+0.21174869487220319*I	-0.49988255641137314+0.*I	0.-0.6370249476769325*I	-0.4998825564151951+0.*I	0.+0.2117486948720225*I	0.00007510718303864849+0.*I	0.+0.04197575886625033*I	0.000056435129079464684+0.*I	0.+0.01770641102688745*I	0.000050392453993449864+0.*I	0.+0.009609711657340985*I	0.000030736045451735256+0.*I	0.+0.005892820390597476*I	0.00004118991926832687+0.*I	0.+0.0038973171725214147*I	0.000015238119320682633+0.*I	0.+0.0026446249861157485*I	0.000027327030994925665+0.*I	0.+0.001832569412614569*I	0.000011300954384471412+0.*I	0.+0.0012254221061095323*I	0.000011928281848431717+0.*I	0.+0.0007599478099225395*I	6.0880803098298244*^-6+0.*I	0.+0.000363369161645634*I	2.0570278215226168*^-6+0.*I
0.+0.00015791891239663736*I	3.699035924183685*^-6+0.*I	0.+0.00048725972110214705*I	9.203713166179186*^-6+0.*I	0.+0.0008542200808142955*I	8.17220239762523*^-6+0.*I	0.+0.0013106651198810382*I	0.000023703722080905404+0.*I	0.+0.00187963893926172*I	0.000010990520112109961+0.*I	0.+0.00271285596214612*I	0.000036123507218267224+0.*I	0.+0.003916461425980927*I	0.000024534670589549153+0.*I	0.+0.0059369633899796145*I	0.00004249123329057003+0.*I	0.+0.009623757181385063*I	0.00004565851138001351+0.*I	0.+0.01772457651375276*I	0.000058221765000601234+0.*I	0.+0.041984021248501*I	0.00007504778059938391+0.*I	0.+0.21175161673460646*I	-0.4998825564142465+0.*I	0.-0.6370278695429401*I	-0.49988249702423987+0.*I	0.+0.211740432489419*I	0.00007332054791898416+0.*I	0.+0.041957593386405916*I	0.00006116907119934653+0.*I	0.+0.01769236550368012*I	0.00003863726998611891+0.*I	0.+0.009565568658963929*I	0.000047391294638269356+0.*I	0.+0.005873676128413309*I	0.00002030453099065083+0.*I	0.+0.0038290861955103048*I	0.0000315746314122292+0.*I	0.+0.002597555470837336*I	0.000014924264201452231+0.*I	0.+0.0017473264063572677*I	0.000015057027702531378+0.*I	0.+0.0011311498328192005*I	8.812646461315863*^-6+0.*I	0.+0.0006360572539451242*I	4.446071809621213*^-6+0.*I	0.+0.000205450259324301*I
1.6420156539427846*^-6+0.*I	0.+0.0002818094686184896*I	6.814662127615621*^-6+0.*I	0.+0.0005815319900267159*I	5.447641345196891*^-6+0.*I	0.+0.0009394630984504852*I	0.00002057497161543452+0.*I	0.+0.0013577346353408893*I	7.367213607483236*^-6+0.*I	0.+0.001947869912513466*I	0.000031875908471989614+0.*I	0.+0.0027320002211192367*I	0.000019468262915553854+0.*I	0.+0.003960604432965071*I	0.00003628985623575872+0.*I	0.+0.005951008914908909*I	0.000037757288704311805+0.*I	0.+0.009641922661688644*I	0.000047445136576392574+0.*I	0.+0.017732838890229922*I	0.00005816237255794728+0.*I	0.+0.0419869431093611*I	0.00007504778339657541+0.*I	0.+0.2117486948687048*I	-0.49988249702380166+0.*I	0.-0.6370361319217125*I	-0.49988428365480897+0.*I	0.+0.21172226701255734*I	0.0000780544923668431+0.*I	0.+0.041943547864717205*I	0.00004941388820853875+0.*I	0.+0.017648222502809105*I	0.00005529251608977718+0.*I	0.+0.009546424401717666*I	0.000026505903186158233+0.*I	0.+0.005805445155179431*I	0.00003664104372974842+0.*I	0.+0.003782016676656837*I	0.00001917186296580981+0.*I	0.+0.0025123124526651172*I	0.00001868033872496136+0.*I	0.+0.0016530541349169317*I	0.000011941398045903021+0.*I	0.+0.0010072592721022658*I	7.1706377301130085*^-6+0.*I	0.+0.00047813834665392363*I	2.3890475479015905*^-6+0.*I
0.+0.00012389055889684697*I	4.757641051235523*^-6+0.*I	0.+0.00037608174264867206*I	3.0585962696488753*^-6+0.*I	0.+0.0006667750051750493*I	0.000017850407030232473+0.*I	0.+0.000986532613146164*I	4.238455547917357*^-6+0.*I	0.+0.0014259656168506274*I	0.000028252603822654823+0.*I	0.+0.0019670141693387544*I	0.000015220662503418546+0.*I	0.+0.002776143220202719*I	0.00003122344818724671+0.*I	0.+0.003974649950053623*I	0.00003155591341238999+0.*I	0.+0.005969174393312841*I	0.00003954392175533953+0.*I	0.+0.009650185044754497*I	0.000047385750572127984+0.*I	0.+0.01773576075179204*I	0.000058162375627176976+0.*I	0.+0.041984021246675864*I	0.00007510718024602927+0.*I	0.+0.21174043249130217*I	-0.4998842836545974+0.*I	0.-0.6370542973999387*I	-0.4998795497098937+0.*I	0.+0.211708221485745*I	0.00006629930209715737+0.*I	0.+0.04189940486573021*I	0.000066069138103459+0.*I	0.+0.017629078248529877*I	0.00003440712550618435+0.*I	0.+0.009478193424446252*I	0.00004284242455767958+0.*I	0.+0.005758375637532551*I	0.00002423826936971933+0.*I	0.+0.0036967736632014525*I	0.00002292794012525372+0.*I	0.+0.0024180401855574685*I	0.000015564704643366763+0.*I	0.+0.0015291635735803707*I	0.000010299386401544819+0.*I	0.+0.0008493403665715896*I	5.113603986736779*^-6+0.*I	0.+0.000272688083167022*I
3.1156292460002692*^-6+0.*I	0.+0.00021816283465138912*I	1.0015652570845334*^-6+0.*I	0.+0.0004613247500814959*I	0.00001546136075172233+0.*I	0.+0.0007138445264536727*I	1.5139002107459164*^-6+0.*I	0.+0.001054763590664822*I	0.000025123843399757988+0.*I	0.+0.001445109872007444*I	0.000011597352923499985+0.*I	0.+0.0020111571614369146*I	0.00002697584625656346+0.*I	0.+0.00279018874937001*I	0.000026489509424914067+0.*I	0.+0.00399281543345397*I	0.00003334254133760352+0.*I	0.+0.0059774367707871555*I	0.00003948453138514259+0.*I	0.+0.0096531069064153*I	0.00004738575356764686+0.*I	0.+0.017732838890411582*I	0.000058221761671507363+0.*I	0.+0.04197575886707946*I	0.00007332054238054191+0.*I	0.+0.21172226700920346*I	-0.4998795497117804+0.*I	0.-0.6370683429216868*I	-0.49989130489553063+0.*I	0.+0.21166407848985538*I	0.00008295455459698159+0.*I	0.+0.04188026060689063*I	0.000045183742909005903+0.*I	0.+0.017560847274001517*I	0.00005074364285828711+0.*I	0.+0.00943112390685002*I	0.000030439650836074746+0.*I	0.+0.005673132620517127*I	0.000027994345714938614+0.*I	0.+0.0036025013923819417*I	0.000019812306561049033+0.*I	0.+0.0022941496236421016*I	0.000013922696383701714+0.*I	0.+0.0013712446656155423*I	8.242361334054108*^-6+0.*I	0.+0.0006438901124073979*I	2.7245674967257827*^-6+0.*I
0.+0.00009427226374941061*I	-6.404442894513371*^-7+0.*I	0.+0.0003034058502367834*I	0.00001340433788953248+0.*I	0.+0.0005083942657224394*I	-8.751482000584595*^-7+0.*I	0.+0.0007820755042930241*I	0.00002239928150325836+0.*I	0.+0.0010739078453515238*I	8.468598649018894*^-6+0.*I	0.+0.0014892528725303361*I	0.0000233525406665852+0.*I	0.+0.0020252026891407066*I	0.000022241903651634806+0.*I	0.+0.0028083542276957293*I	0.000028276138388442414+0.*I	0.+0.004001077809512359*I	0.00003328315761576976+0.*I	0.+0.0059803586406544235*I	0.00003948453015156974+0.*I	0.+0.009650185034403583*I	0.00004744514077874002+0.*I	0.+0.017724576516334113*I	0.000056435134933695996+0.*I	0.+0.04195759338926064*I	0.00007805448543337637+0.*I	0.+0.2117082214872814*I	-0.49989130489614075+0.*I	0.-0.6371124859312699*I	-0.49987464965124934+0.*I	0.+0.21164493423540798*I	0.00006206916133235792+0.*I	0.+0.04181202962596312*I	0.00006152026153881221+0.*I	0.+0.017513777760280774*I	0.00003834086885981495+0.*I	0.+0.00934588088979272*I	0.000034195727761897614+0.*I	0.+0.005578860355899204*I	0.000024878716152648107+0.*I	0.+0.003478610829954022*I	0.000018170299925655804+0.*I	0.+0.002136230720161912*I	0.000011865663444476137+0.*I	0.+0.0011657944030411954*I	5.853316735849853*^-6+0.*I	0.+0.0003712020245447284*I
