0.-0.8488130744251441*I	-0.49995834669401296+0.*I	0.+0.16965155588412373*I	0.000017415274044701267+0.*I	0.+0.02404401243892027*I	2.3141701243112167*^-6+0.*I	0.+0.007764392972090251*I	0.000021773839523254937+0.*I	0.+0.0031749776324748215*I	-0.000025594841219072763+0.*I	0.+0.0012311662658849698*I	0.00003833286325247103+0.*I
-0.4999583466940277+0.*I	0.-0.6791615185410216*I	-0.49994093141997453+0.*I	0.+0.19369556832304322*I	0.000019729444175702756+0.*I	0.+0.031808405411017315*I	0.00002408800964553493+0.*I	0.+0.01093937060456304*I	-3.821001683804676*^-6+0.*I	0.+0.00440614389838324*I	0.000012738022033712983+0.*I	0.+0.0012311662658889431*I
0.+0.1696515558841097*I	-0.4999409314199576+0.*I	0.-0.6551175061020988*I	-0.49993861724987315+0.*I	0.+0.20145996129513072*I	0.00004150328370980689+0.*I	0.+0.0349833830434999*I	-1.5068315710117543*^-6+0.*I	0.+0.012170536870455644*I	0.00003451186157029971+0.*I	0.+0.0044061438983563905*I	-0.000025594841215544857+0.*I
0.000017415274054573535+0.*I	0.+0.1936955683230455*I	-0.4999386172498583+0.*I	0.-0.6473531131300012*I	-0.4999168434103306+0.*I	0.+0.20463493892762039*I	0.000015908442482160285+0.*I	0.+0.036214549309397916*I	0.00003682603168831678+0.*I	0.+0.012170536870489967*I	-3.821001677054888*^-6+0.*I	0.+0.003174977632452438*I
0.+0.024044012438931364*I	0.00001972944418337879+0.*I	0.+0.20145996129511598*I	-0.49991684341033343+0.*I	0.-0.644178135497524*I	-0.4999424382515394+0.*I	0.+0.20586610519351678*I	0.00005424130573666041+0.*I	0.+0.036214549309412536*I	-1.5068315684161073*^-6+0.*I	0.+0.010939370604560643*I	0.00002177383953435718+0.*I
2.314170135116609*^-6+0.*I	0.+0.03180840541103722*I	0.00004150328368355075+0.*I	0.+0.20463493892761062*I	-0.4999424382515368+0.*I	0.-0.6429469692316108*I	-0.4999041053882877+0.*I	0.+0.2058661051935035*I	0.0000159084424771061+0.*I	0.+0.034983383043511854*I	0.000024088009656061792+0.*I	0.+0.007764392972078796*I
0.+0.007764392972083076*I	0.00002408800964392685+0.*I	0.+0.03498338304350175*I	0.000015908442488788904+0.*I	0.+0.2058661051935137*I	-0.49990410538829666+0.*I	0.-0.6429469692316306*I	-0.4999424382515531+0.*I	0.+0.20463493892761447*I	0.00004150328369733369+0.*I	0.+0.03180840541102805*I	2.314170116276482*^-6+0.*I
0.000021773839535013245+0.*I	0.+0.010939370604568243*I	-1.5068315798051235*^-6+0.*I	0.+0.03621454930942123*I	0.00005424130572636356+0.*I	0.+0.20586610519351356*I	-0.4999424382515401+0.*I	0.-0.6441781354975167*I	-0.4999168434103242+0.*I	0.+0.201459961295118*I	0.00001972944417568118+0.*I	0.+0.024044012438939187*I
0.+0.003174977632493442*I	-3.8210016901487495*^-6+0.*I	0.+0.012170536870448473*I	0.000036826031689323735+0.*I	0.+0.036214549309417116*I	0.000015908442471492196+0.*I	0.+0.20463493892760914*I	-0.49991684341031684+0.*I	0.-0.6473531131300013*I	-0.49993861724985783+0.*I	0.+0.19369556832305754*I	0.000017415274052652623+0.*I
-0.000025594841188525397+0.*I	0.+0.00440614389836802*I	0.00003451186155067898+0.*I	0.+0.012170536870469909*I	-1.5068315441513214*^-6+0.*I	0.+0.03498338304350658*I	0.00004150328367391598+0.*I	0.+0.20145996129514535*I	-0.499938617249838+0.*I	0.-0.655117506102099*I	-0.49994093141998536+0.*I	0.+0.16965155588410988*I
0.+0.0012311662659016953*I	0.00001273802203866649+0.*I	0.+0.0044061438983648005*I	-3.821001678445133*^-6+0.*I	0.+0.010939370604577836*I	0.000024088009630824205+0.*I	0.+0.031808405411011376*I	0.00001972944417512085+0.*I	0.+0.19369556832306423*I	-0.4999409314199684+0.*I	0.-0.6791615185410236*I	-0.49995834669401806+0.*I
0.00003833286323973173+0.*I	0.+0.001231166265898326*I	-0.00002559484118669353+0.*I	0.+0.0031749776324778217*I	0.000021773839504635184+0.*I	0.+0.007764392972103288*I	2.3141701342987986*^-6+0.*I	0.+0.024044012438931943*I	0.00001741527403120724+0.*I	0.+0.16965155588411457*I	-0.49995834669401495+0.*I	0.-0.84881307442514*I
