0.-0.8487992270493772*I	-0.49996983924127236+0.*I	0.+0.1697863584708242*I	0.00003535229011418636+0.*I	0.+0.024230161639198868*I	-6.458717140309388*^-6+0.*I	0.+0.008095650971771118*I	0.000019047056696017654+0.*I	0.+0.0036628344630498244*I	9.429464614717827*^-7+0.*I	0.+0.0019768664913267925*I	6.455960151795952*^-6+0.*I	0.+0.0011807994942928668*I	3.9135898721447696*^-6+0.*I	0.+0.0007613778141229641*I	3.426818929241935*^-6+0.*I	0.+0.0005176490319254295*I	2.944924127131045*^-6+0.*I	0.+0.0003661897447307244*I	2.5100045974991406*^-6+0.*I	0.+0.0002668477034060632*I	2.1406610594046344*^-6+0.*I	0.+0.0001986862696607694*I	1.820272799688085*^-6+0.*I	0.+0.00015006073401828413*I	1.5350612712752084*^-6+0.*I	0.+0.00011412580503666198*I	1.2761691582528307*^-6+0.*I	0.+0.00008666038386935526*I	1.037310648478526*^-6+0.*I	0.+0.00006494697166373187*I	8.136034810616152*^-7+0.*I	0.+0.00004716125892091638*I	6.011096418233793*^-7+0.*I	0.+0.00003202244780842883*I	3.965396096904652*^-7+0.*I	0.+0.000018582638505085236*I	1.970353577541018*^-7+0.*I	0.+6.092379032839046*^-6*I
2.1406670846990945*^-6+0.*I	0.+0.00046553397381760345*I	6.4709339128425584*^-6+0.*I	0.+0.0009817844569709826*I	0.00001095092282092905+0.*I	0.+0.001613559284266175*I	0.000015653916447605914+0.*I	0.+0.002461597479712253*I	0.000020604807686853734+0.*I	0.+0.0037073439465616087*I	0.00002787437131766093+0.*I	0.+0.005731371702533021*I	0.000029418433258414377+0.*I	0.+0.009426228615060999*I	0.0000488620256746063+0.*I	0.+0.017540462224673894*I	0.000042600339782270596+0.*I	0.+0.04177671624420458*I	0.0000779526292683044+0.*I	0.+0.21155698233391604*I	-0.4998920836456774+0.*I	0.-0.6372608273588639*I	-0.4998924801839873+0.*I	0.+0.2115063772459889*I	0.00007675794472482254+0.*I	0.+0.041672857517047024*I	0.00004059205907458238+0.*I	0.+0.017377748905341328*I	0.00004601345953250735+0.*I	0.+0.009195437550628878*I	0.000025690240830854177+0.*I	0.+0.0054184772822447585*I	0.00002321222918431998+0.*I	0.+0.003291550055597044*I	0.000014935997238274114+0.*I	0.+0.0019120642927587693*I	8.881743705357347*^-6+0.*I	0.+0.00088383877291531*I	2.9449266545356068*^-6+0.*I
0.+0.00019868627032412073*I	3.960934445112598*^-6+0.*I	0.+0.0006155947096483996*I	8.005999743331352*^-6+0.*I	0.+0.0010959102584027214*I	0.000012227091037119551+0.*I	0.+0.001700219663507689*I	0.000016691220839908792+0.*I	0.+0.002526544457167955*I	0.000021418412711499833+0.*I	0.+0.0037545052120075487*I	0.00002847548457962806+0.*I	0.+0.0057633941484968865*I	0.000029814969681368722+0.*I	0.+0.009444811253764424*I	0.000049059060255743645+0.*I	0.+0.017546554608448617*I	0.000042600346523457456+0.*I	0.+0.04177062386092123*I	0.00007775559111918609+0.*I	0.+0.21153839969289034*I	-0.4998924801812034+0.*I	0.-0.6372928497929556*I	-0.49989308129315113+0.*I	0.+0.21145921598556755*I	0.00007594434102552712+0.*I	0.+0.041607910544238944*I	0.000039554751676502944+0.*I	0.+0.017291088521313697*I	0.00004473729208342117+0.*I	0.+0.009081311752065252*I	0.00002415517495747068+0.*I	0.+0.005268416544002182*I	0.000021391956313725666+0.*I	0.+0.0030928637875047293*I	0.000012795334151658954+0.*I	0.+0.0016452165890937787*I	6.371743791366758*^-6+0.*I	0.+0.000517649022997009*I
1.8202716163980942*^-6+0.*I	0.+0.0003487470031551967*I	5.496002441739136*^-6+0.*I	0.+0.0007297205155051611*I	9.282164221562737*^-6+0.*I	0.+0.0011825706428710769*I	0.000013264401743591265+0.*I	0.+0.0017651666404344295*I	0.000017504819905206473+0.*I	0.+0.002573705716106575*I	0.00002201951866233311+0.*I	0.+0.0037865276572462566*I	0.000028872025967299143+0.*I	0.+0.005781976786696014*I	0.000030012006187215965+0.*I	0.+0.009450903635092265*I	0.000049059059541250774+0.*I	0.+0.017540462224251704*I	0.00004240330705253712+0.*I	0.+0.04175204122141013*I	0.00007735905420105771+0.*I	0.+0.2115063772496117*I	-0.4998930812953595+0.*I	0.-0.637340011064333*I	-0.49989389489970976+0.*I	0.+0.21139426901587163*I	0.00007490703772815893+0.*I	0.+0.04152125015667664*I	0.00003827857725423739+0.*I	0.+0.017176962718193536*I	0.000043202234037506874+0.*I	0.+0.008931251018290733*I	0.00002233489868047527+0.*I	0.+0.005069730280131731*I	0.0000192512945805761+0.*I	0.+0.0028260160817843564*I	0.000010285332062601544+0.*I	0.+0.0012790268403853795*I	3.426823394270251*^-6+0.*I
0.+0.00015006073095449185*I	3.3553341235263625*^-6+0.*I	0.+0.0004628728064826407*I	6.772165049678149*^-6+0.*I	0.+0.0008163808942180314*I	0.00001031947843666506+0.*I	0.+0.0012475176154877268*I	0.0000140780027381885+0.*I	0.+0.0018123279021001817*I	0.000018105932443308543+0.*I	0.+0.002605728158917714*I	0.000022416063591823634+0.*I	0.+0.0038051102951701873*I	0.00002906906128259452+0.*I	0.+0.005788069169784936*I	0.00003001200516829032+0.*I	0.+0.009444811257951331*I	0.00004886202817230318+0.*I	0.+0.017521879586199218*I	0.0000420067647190336+0.*I	0.+0.04172001877548999*I	0.00007675793947388494+0.*I	0.+0.21145921598871575*I	-0.499893894895644+0.*I	0.-0.637404958030984*I	-0.49989493220087844+0.*I	0.+0.21130760862913375*I	0.00007363086604295305+0.*I	0.+0.04140712435583699*I	0.00003674351414169961+0.*I	0.+0.017026901983897398*I	0.00004138195753804613+0.*I	0.+0.008732564741398025*I	0.00002019424532032565+0.*I	0.+0.004802882575205669*I	0.000016741292197156327+0.*I	0.+0.002459826337433184*I	7.340407180350979*^-6+0.*I	0.+0.0007613778112753183*I
1.5350561540062137*^-6+0.*I	0.+0.0002641865367302465*I	4.631513743120287*^-6+0.*I	0.+0.0005495331950109408*I	7.809473353823883*^-6+0.*I	0.+0.0008813278681524078*I	0.000011133075488960023+0.*I	0.+0.0012946788795292635*I	0.00001467911230751851+0.*I	0.+0.0018443503476531686*I	0.000018502474565944545+0.*I	0.+0.002624310801656647*I	0.000022613098565191167+0.*I	0.+0.003811202669801853*I	0.00002906905976223416+0.*I	0.+0.005781976788625118*I	0.000029814968334117127+0.*I	0.+0.009426228616851643*I	0.00004846548357311423+0.*I	0.+0.01748985714060911*I	0.000041405654585910494+0.*I	0.+0.04167285752345814*I	0.00007594434392629709+0.*I	0.+0.21139426900989058*I	-0.4998949322023321+0.*I	0.-0.6374916184174905*I	-0.4998962083747544+0.*I	0.+0.21119348282254694*I	0.00007209580264075323+0.*I	0.+0.041257063620295555*I	0.00003492324205469819+0.*I	0.+0.01682821572023688*I	0.000039241296194934884+0.*I	0.+0.008465717043133921*I	0.00001768424701072437+0.*I	0.+0.004436692831142474*I	0.000013796366225164332+0.*I	0.+0.001942177307484918*I	3.91358944917819*^-6+0.*I
0.+0.00011412580232886271*I	2.8112364288062664*^-6+0.*I	0.+0.0003508469203035991*I	5.6688081967200385*^-6+0.*I	0.+0.0006144801639851177*I	8.623082130935047*^-6+0.*I	0.+0.0009284891292832415*I	0.000011734187590273752+0.*I	0.+0.0013267013198242084*I	0.000015075652421278981+0.*I	0.+0.0018629329857492577*I	0.00001869950987100159+0.*I	0.+0.002630403184382922*I	0.000022613098320434217+0.*I	0.+0.0038051102958527594*I	0.000028872018182669418+0.*I	0.+0.0057633941495844054*I	0.000029418429028257773+0.*I	0.+0.009394206167361717*I	0.00004786437699231795+0.*I	0.+0.0174426958796514*I	0.00004059205273528148+0.*I	0.+0.04160791053687586*I	0.00007490703173895789+0.*I	0.+0.2113076086310775*I	-0.49989620836923804+0.*I	0.-0.6376057442237475*I	-0.49989774344168786+0.*I	0.+0.2110434220935989*I	0.0000702755335724336+0.*I	0.+0.04105837735259933*I	0.00003278258033224076+0.*I	0.+0.016561368013335014*I	0.0000367312952161241+0.*I	0.+0.008099527288771745*I	0.000014739317058128208+0.*I	0.+0.003919043802751897*I	0.000010369549203858311+0.*I	0.+0.0011807994907487157*I
1.2761662547095226*^-6+0.*I	0.+0.0002007861839563943*I	3.848543017561595*^-6+0.*I	0.+0.00041579389168757124*I	6.482415263972673*^-6+0.*I	0.+0.0006616414296498326*I	9.224180384702931*^-6+0.*I	0.+0.0009605115756542366*I	0.000012130728856329756+0.*I	0.+0.0013452839572312956*I	0.000015272694210324848+0.*I	0.+0.0018690253645613209*I	0.000018699508248547115+0.*I	0.+0.002624310800472007*I	0.00002241606635350799+0.*I	0.+0.003786527655536625*I	0.000028475480671210064+0.*I	0.+0.005731371704899622*I	0.000028817321540718756+0.*I	0.+0.009347044909688195*I	0.00004705077026859548+0.*I	0.+0.017377748906004235*I	0.000039554748101642416+0.*I	0.+0.04152125015758749*I	0.00007363086663054621+0.*I	0.+0.21119348282615777*I	-0.4998977434354607+0.*I	0.-0.6377558049529234*I	-0.4998995637105461+0.*I	0.+0.21084473582399899*I	0.0000681348723885554+0.*I	0.+0.04079152964636643*I	0.000030272581249723656+0.*I	0.+0.01619517826703739*I	0.000033786374614311934+0.*I	0.+0.007581878268920812*I	0.000011312492164381389+0.*I	0.+0.00315766599037212*I	6.455958562190389*^-6+0.*I
0.+0.00008666038352642819*I	2.31347936658388*^-6+0.*I	0.+0.00026573316411432346*I	4.662137935862024*^-6+0.*I	0.+0.0004629551546325092*I	7.083527190431939*^-6+0.*I	0.+0.0006936638725873051*I	9.62072824458827*^-6+0.*I	0.+0.0009790942122157656*I	0.000012327763336350539+0.*I	0.+0.0013513763431020134*I	0.00001527268850275884+0.*I	0.+0.0018629329878928833*I	0.000018502472295508482+0.*I	0.+0.0026057281626344422*I	0.00002201951988293167+0.*I	0.+0.0037545052082703784*I	0.00002787437046103929+0.*I	0.+0.005684210438281025*I	0.000028003722594290443+0.*I	0.+0.009282097933108732*I	0.00004601346231368716+0.*I	0.+0.017291088520267124*I	0.000038278575265596737+0.*I	0.+0.0414071243536757*I	0.00007209580767019806+0.*I	0.+0.21104342209204674*I	-0.4998995637123284+0.*I	0.-0.6379544912227301*I	-0.4999017043703792+0.*I	0.+0.21057788812271613*I	0.00006562486796482314+0.*I	0.+0.04042533990133306*I	0.000027327654315041918+0.*I	0.+0.015677529234249796*I	0.000030359549994223828+0.*I	0.+0.006820500455874436*I	7.398906301022767*^-6+0.*I	0.+0.00197686649479744*I
1.037301101730006*^-6+0.*I	0.+0.0001516073579798062*I	3.127081869296609*^-6+0.*I	0.+0.00031289441930050667*I	5.2632495777869584*^-6+0.*I	0.+0.0004949776023736251*I	7.480067199911166*^-6+0.*I	0.+0.0007122465050861095*I	9.8177619258871*^-6+0.*I	0.+0.0009851865907280135*I	0.000012327765224860452+0.*I	0.+0.0013452839600063618*I	0.000015075656187468017+0.*I	0.+0.0018443503516641527*I	0.000018105930158606182+0.*I	0.+0.0025737057166152605*I	0.000021418412590672423+0.*I	0.+0.003707343949402024*I	0.000027060771942723734+0.*I	0.+0.005619263468431147*I	0.000026966407318283972+0.*I	0.+0.009195437546160052*I	0.00004473729816273813+0.*I	0.+0.017176962721784133*I	0.00003674351831470726+0.*I	0.+0.041257063621298634*I	0.00007027552771125372+0.*I	0.+0.21084473582276853*I	-0.49990170437213033+0.*I	0.-0.6382213389227601*I	-0.499904214368508+0.*I	0.+0.21021169836821318*I	0.00006267993959012573+0.*I	0.+0.03990769087326933*I	0.00002390083423331608+0.*I	0.+0.014916151419128991*I	0.000026445958969956566+0.*I	0.+0.005639700963772364*I	9.429455359866168*^-7+0.*I
0.+0.00006494697400492161*I	1.8509068384521648*^-6+0.*I	0.+0.00019876861623219916*I	3.728191402631585*^-6+0.*I	0.+0.00034491686580515046*I	5.659792949520777*^-6+0.*I	0.+0.0005135602443273116*I	7.677103767585976*^-6+0.*I	0.+0.0007183388860237741*I	9.817760011269211*^-6+0.*I	0.+0.0009790942133960229*I	0.000012130724392774939+0.*I	0.+0.001326701324341116*I	0.000014679113413545563+0.*I	0.+0.0018123279011808893*I	0.000017504825455596827+0.*I	0.+0.002526544455740881*I	0.00002060480931481086+0.*I	0.+0.0036423969735135744*I	0.00002602346149528775+0.*I	0.+0.005532603083873822*I	0.000025690242117085214+0.*I	0.+0.009081311748050366*I	0.00004320223414603703+0.*I	0.+0.017026901986091206*I	0.00003492324105949422+0.*I	0.+0.04105837735303649*I	0.00006813487002725102+0.*I	0.+0.2105778881160977*I	-0.4999042143721301+0.*I	0.-0.6385875286751298*I	-0.49990715929832563+0.*I	0.+0.20969404934482871*I	0.00005925312502301578+0.*I	0.+0.039146313066317086*I	0.000019987247309487973+0.*I	0.+0.013735351933968909*I	0.000019989997718447503+0.*I	0.+0.003662834463878356*I
8.135996067964996*^-7+0.*I	0.+0.0001121082363520162*I	2.4520128139742024*^-6+0.*I	0.+0.00023079106330345256*I	4.124730235555556*^-6+0.*I	0.+0.000363499507394059*I	5.856827758467272*^-6+0.*I	0.+0.0005196526149010993*I	7.677102453582884*^-6+0.*I	0.+0.0007122465094035493*I	9.620722345542127*^-6+0.*I	0.+0.0009605115773198522*I	0.0000117341935127141+0.*I	0.+0.0012946788771121915*I	0.000014077998730420908+0.*I	0.+0.0017651666451745447*I	0.000016691226888992647+0.*I	0.+0.002461597481159937*I	0.000019567498631009852+0.*I	0.+0.003555736593295488*I	0.000024747297769757025+0.*I	0.+0.005418477280769998*I	0.000024155178586009894+0.*I	0.+0.008931251012936929*I	0.00004138196271133867+0.*I	0.+0.01682821571552831*I	0.00003278257217645597+0.*I	0.+0.0407915296460581*I	0.00006562487057707318+0.*I	0.+0.21021169837385195*I	-0.49990715930020685+0.*I	0.-0.6391051776987918*I	-0.4999105861157836+0.*I	0.+0.208932671526249*I	0.000055339528140395085+0.*I	0.+0.03796551356380082*I	0.000013531290330937341+0.*I	0.+0.011758485439424388*I	0.00001904705082311775+0.*I
0.+0.00004716125391556608*I	1.414711222133531*^-6+0.*I	0.+0.00014413068079133923*I	2.8485624719932106*^-6+0.*I	0.+0.00024937369793390923*I	4.321772255937485*^-6+0.*I	0.+0.0003695918927309541*I	5.856824629975361*^-6+0.*I	0.+0.0005135602344370147*I	7.480065677347248*^-6+0.*I	0.+0.0006936638723055236*I	9.224183672809646*^-6+0.*I	0.+0.000928489129055271*I	0.000011133076427734716+0.*I	0.+0.001247517614966935*I	0.000013264406503256817+0.*I	0.+0.0017002196662931554*I	0.000015653912866484966+0.*I	0.+0.002374937104694941*I	0.000018291332311186962+0.*I	0.+0.0034416107837543716*I	0.000023212231111915068+0.*I	0.+0.005268416552326245*I	0.000022334906637162054+0.*I	0.+0.008732564743036145*I	0.00003924129332360129+0.*I	0.+0.016561368014341958*I	0.00003027258387157626+0.*I	0.+0.04042533989704871*I	0.00006267994210352621+0.*I	0.+0.20969404934401598*I	-0.49991058611961037+0.*I	0.-0.6398665555143628*I	-0.4999144997055256+0.*I	0.+0.2077518720469879*I	0.00004888357481126685+0.*I	0.+0.03598864706841617*I	0.000012588341173224162+0.*I	0.+0.008095650969201645*I
6.011106615681792*^-7+0.*I	0.+0.00007918370694928011*I	1.8112534397851903*^-6+0.*I	0.+0.00016271331885843636*I	3.0455922983795664*^-6+0.*I	0.+0.0002554660786670755*I	4.321769198731295*^-6+0.*I	0.+0.0003634995080703769*I	5.6597916995753125*^-6+0.*I	0.+0.000494977603306676*I	7.083522793358371*^-6+0.*I	0.+0.000661641422088597*I	8.623080447124936*^-6+0.*I	0.+0.0008813278710149924*I	0.000010319480986337436+0.*I	0.+0.0011825706476285113*I	0.000012227096359353864+0.*I	0.+0.0016135592793923195*I	0.000014377741977870632+0.*I	0.+0.0022608112920530646*I	0.000016756274079919686+0.*I	0.+0.003291550053090463*I	0.00002139195562494699+0.*I	0.+0.005069730282600536*I	0.000020194236965681608+0.*I	0.+0.00846571704203321*I	0.00003673129401429838+0.*I	0.+0.016195178262610854*I	0.00002732765529461829+0.*I	0.+0.03990769087918798*I	0.00005925311951210144+0.*I	0.+0.20893267153124062*I	-0.4999144997045738+0.*I	0.-0.6410473550090335*I	-0.49992095566828787+0.*I	0.+0.20577500554531308*I	0.00004794062560287311+0.*I	0.+0.03232581260970933*I	-6.4587181743958055*^-6+0.*I
0.+0.000032022442126168615*I	9.976514031661173*^-7+0.*I	0.+0.0000977663461616124*I	2.0082935778317446*^-6+0.*I	0.+0.00016880569216637387*I	3.045596629218551*^-6+0.*I	0.+0.00024937370592687663*I	4.12472722747608*^-6+0.*I	0.+0.00034491686898651536*I	5.263253532292884*^-6+0.*I	0.+0.0004629551592127898*I	6.482418255470802*^-6+0.*I	0.+0.000614480160762293*I	7.80947143045833*^-6+0.*I	0.+0.0008163808950657908*I	9.282171195277217*^-6+0.*I	0.+0.0010959102619861466*I	0.000010950923133933006+0.*I	0.+0.0014994334797842554*I	0.000012842684162623605+0.*I	0.+0.0021107505609504057*I	0.000014935997137422631+0.*I	0.+0.0030928637888036348*I	0.000019251294574409776+0.*I	0.+0.00480288256914372*I	0.00001768423972708271+0.*I	0.+0.008099527295967968*I	0.00003378637527188771+0.*I	0.+0.01567752923737297*I	0.000023900832967410716+0.*I	0.+0.03914631305969188*I	0.00005533953458418151+0.*I	0.+0.20775187203786744*I	-0.49992095566540845+0.*I	0.-0.6430242215013995*I	-0.4999218986122857+0.*I	0.+0.20211217107679713*I	0.000028893573644458262+0.*I	0.+0.024230161632120606*I
3.9654494786434125*^-7+0.*I	0.+0.00005060508586035251*I	1.1946874012881692*^-6+0.*I	0.+0.00010385872661223492*I	2.008288852682616*^-6+0.*I	0.+0.00016271331769836413*I	2.8485583781039103*^-6+0.*I	0.+0.00023079106325806545*I	3.728194725671069*^-6+0.*I	0.+0.0003128944214620181*I	4.662139051963415*^-6+0.*I	0.+0.00041579389588264175*I	5.668815120485338*^-6+0.*I	0.+0.0005495331900434934*I	6.7721659055275385*^-6+0.*I	0.+0.0007297205078133518*I	8.005996005335664*^-6+0.*I	0.+0.0009817844549276848*I	9.415863472368724*^-6+0.*I	0.+0.0013493727436994507*I	0.000011022410272110844+0.*I	0.+0.0019120642923202633*I	0.000012795333312238394+0.*I	0.+0.0028260160829837525*I	0.000016741294705836796+0.*I	0.+0.004436692826130158*I	0.00001473931600694256+0.*I	0.+0.007581878267880982*I	0.000030359551168007703+0.*I	0.+0.01491615142904538*I	0.000019987242992337145+0.*I	0.+0.03796551356478673*I	0.00004888357471582658+0.*I	0.+0.2057750055474463*I	-0.4999218986157331+0.*I	0.-0.6466870559676056*I	-0.499940945668811+0.*I	0.+0.19401652010772477*I	0.000035352283870304646+0.*I
0.+0.000018582642489828327*I	5.935842935247617*^-7+0.*I	0.+0.0000566974610517329*I	1.1946910847546801*^-6+0.*I	0.+0.00009776634324957373*I	1.8112532638315715*^-6+0.*I	0.+0.00014413068041205235*I	2.4520189032808635*^-6+0.*I	0.+0.00019876862165735948*I	3.1270781547690867*^-6+0.*I	0.+0.0002657331620832676*I	3.848541600217461*^-6+0.*I	0.+0.0003508469201780884*I	4.631506280879623*^-6+0.*I	0.+0.0004628728059884596*I	5.495994516337908*^-6+0.*I	0.+0.000615594708335207*I	6.470936603220996*^-6+0.*I	0.+0.0008317237181810974*I	7.595591243142604*^-6+0.*I	0.+0.0011506864808639716*I	8.88175086485905*^-6+0.*I	0.+0.001645216586378201*I	0.000010285333710675257+0.*I	0.+0.002459826332701226*I	0.000013796365889209638+0.*I	0.+0.003919043799435931*I	0.000011312495767332382+0.*I	0.+0.00682050045519747*I	0.000026445968660447584+0.*I	0.+0.013735351930608208*I	0.00001353128171655082+0.*I	0.+0.035988647069233534*I	0.00004794062989122348+0.*I	0.+0.20211217107425317*I	-0.49994094566934416+0.*I	0.-0.6547827069350756*I	-0.4999344869549704+0.*I	0.+0.1697863584668411*I
1.9703743812937713*^-7+0.*I	0.+0.00002467501556734066*I	5.935772200080236*^-7+0.*I	0.+0.00005060508365979339*I	9.97648043711552*^-7+0.*I	0.+0.00007918370723171569*I	1.4147082368146102*^-6+0.*I	0.+0.00011210823782189911*I	1.850912238171576*^-6+0.*I	0.+0.00015160735543150828*I	2.3134800357579866*^-6+0.*I	0.+0.00020078618728316974*I	2.811227702743946*^-6+0.*I	0.+0.0002641865368641194*I	3.355334537394339*^-6+0.*I	0.+0.00034874699887092465*I	3.9609319723438174*^-6+0.*I	0.+0.00046553398096970604*I	4.6506665401860325*^-6+0.*I	0.+0.0006330374512081976*I	5.454927161988032*^-6+0.*I	0.+0.0008838387776954843*I	6.371748420969103*^-6+0.*I	0.+0.001279026842429523*I	7.340409043550544*^-6+0.*I	0.+0.0019421773022054764*I	0.000010369551931219134+0.*I	0.+0.0031576659875211578*I	7.398904760494429*^-6+0.*I	0.+0.005639700959632883*I	0.000019990003183360805+0.*I	0.+0.011758485434346275*I	0.000012588340629553219+0.*I	0.+0.03232581261105219*I	0.000028893567495399952+0.*I	0.+0.1940165201085741*I	-0.49993448695228143+0.*I	0.-0.6790128685805507*I	-0.49996983923867+0.*I
0.+6.0923839276111336*^-6*I	1.9704258602494436*^-7+0.*I	0.+0.000018582631334571054*I	3.965393792839815*^-7+0.*I	0.+0.000032022451617708114*I	6.011097147544611*^-7+0.*I	0.+0.00004716125650336411*I	8.136045283792976*^-7+0.*I	0.+0.00006494697995727827*I	1.0373059301606503*^-6+0.*I	0.+0.00008666037827032014*I	1.2761715301298616*^-6+0.*I	0.+0.0001141258104906534*I	1.5350635221858885*^-6+0.*I	0.+0.00015006072600932951*I	1.820275061266969*^-6+0.*I	0.+0.00019868627210244821*I	2.1406589935219725*^-6+0.*I	0.+0.00026684769933418145*I	2.510003859683028*^-6+0.*I	0.+0.0003661897535196662*I	2.9449275858909617*^-6+0.*I	0.+0.0005176490213878934*I	3.4268180548939438*^-6+0.*I	0.+0.000761377818283393*I	3.913588105775248*^-6+0.*I	0.+0.001180799487555305*I	6.455958985489575*^-6+0.*I	0.+0.00197686650134353*I	9.42951611752023*^-7+0.*I	0.+0.003662834459397128*I	0.00001904705320425179+0.*I	0.+0.008095650974655227*I	-6.458714751206041*^-6+0.*I	0.+0.0242301616308708*I	0.00003535228551537036+0.*I	0.+0.16978635847559956*I	-0.4999698392410221+0.*I	0.-0.8487992270490633*I
