0.-0.8487992270493772*I	-0.49996983924127236+0.*I	0.+0.1697863584708242*I	0.00003535229011418636+0.*I	0.+0.024230161639198868*I	-6.458717140309388*^-6+0.*I	0.+0.008095650971771118*I	0.000019047056696017654+0.*I	0.+0.0036628344630498244*I	9.429464614717827*^-7+0.*I	0.+0.0019768664913267925*I	6.455960151795952*^-6+0.*I	0.+0.0011807994942928668*I	3.9135898721447696*^-6+0.*I	0.+0.0007613778141229641*I	3.426818929241935*^-6+0.*I	0.+0.0005176490319254295*I	2.944924127131045*^-6+0.*I	0.+0.0003661897447307244*I	2.5100045974991406*^-6+0.*I	0.+0.0002668477034060632*I	2.1406610594046344*^-6+0.*I	0.+0.0001986862696607694*I	1.820272799688085*^-6+0.*I	0.+0.00015006073401828413*I	1.5350612712752084*^-6+0.*I	0.+0.00011412580503666198*I	1.2761691582528307*^-6+0.*I	0.+0.00008666038386935526*I	1.037310648478526*^-6+0.*I	0.+0.00006494697166373187*I	8.136034810616152*^-7+0.*I	0.+0.00004716125892091638*I	6.011096418233793*^-7+0.*I	0.+0.00003202244780842883*I	3.965396096904652*^-7+0.*I	0.+0.000018582638505085236*I	1.970353577541018*^-7+0.*I	0.+6.092379032839046*^-6*I
6.455960452117108*^-6+0.*I	0.+0.0031576659833650513*I	0.00001131249293525658+0.*I	0.+0.007581878269258457*I	0.000033786369734346985+0.*I	0.+0.01619517826474346*I	0.00003027257730478168+0.*I	0.+0.04079152964834545*I	0.00006813486364753114+0.*I	0.+0.21084473582315996*I	-0.49989956370670274+0.*I	0.-0.6377558049568952*I	-0.4998977434335584+0.*I	0.+0.21119348283154732*I	0.00007363086209646356+0.*I	0.+0.0415212501598313*I	0.00003955475166542542+0.*I	0.+0.017377748904543976*I	0.00004705077590144874+0.*I	0.+0.009347044909102693*I	0.000028817315834092304+0.*I	0.+0.005731371702002923*I	0.00002847547974232528+0.*I	0.+0.0037865276562264534*I	0.00002241606506702017+0.*I	0.+0.0026243107993960007*I	0.000018699506303653894+0.*I	0.+0.001869025367364631*I	0.000015272691574221127+0.*I	0.+0.0013452839564287301*I	0.000012130729947305848+0.*I	0.+0.0009605115771480482*I	9.224189374523036*^-6+0.*I	0.+0.0006616414171981567*I	6.482411997320696*^-6+0.*I	0.+0.0004157938922630336*I	3.848538118794246*^-6+0.*I	0.+0.000200786191562749*I	1.2761673512384775*^-6+0.*I
0.+0.0011807994939601954*I	0.000010369545465879506+0.*I	0.+0.003919043798208351*I	0.00001473931231132191+0.*I	0.+0.008099527300492383*I	0.00003673129743384567+0.*I	0.+0.016561368006408533*I	0.0000327825795007895+0.*I	0.+0.041058377358548184*I	0.00007027553289268468+0.*I	0.+0.2110434220874267*I	-0.4998977434308493+0.*I	0.-0.6376057442205488*I	-0.4998962083779104+0.*I	0.+0.2113076086199076*I	0.00007490703786070628+0.*I	0.+0.04160791054799378*I	0.00004059205393396276+0.*I	0.+0.017442695879412405*I	0.000047864373740207735+0.*I	0.+0.00939420617274827*I	0.00002941842485257119+0.*I	0.+0.005763394145293303*I	0.000028872020978610082+0.*I	0.+0.0038051102963788316*I	0.00002261310470972211+0.*I	0.+0.002630403180374122*I	0.0000186995112825972+0.*I	0.+0.0018629329881772391*I	0.000015075657188427786+0.*I	0.+0.0013267013183613646*I	0.000011734186332160516+0.*I	0.+0.0009284891300430018*I	8.623076071894068*^-6+0.*I	0.+0.0006144801632295416*I	5.668810871305101*^-6+0.*I	0.+0.000350846917992996*I	2.811231220508222*^-6+0.*I	0.+0.00011412580136569567*I
3.913584087447152*^-6+0.*I	0.+0.0019421773024035536*I	0.000013796372915352747+0.*I	0.+0.004436692827997306*I	0.000017684240667029324+0.*I	0.+0.008465717040423117*I	0.00003924129806591365+0.*I	0.+0.016828215715554064*I	0.00003492323701072844+0.*I	0.+0.04125706362284575*I	0.00007209581017654737+0.*I	0.+0.21119348282647563*I	-0.4998962083823238+0.*I	0.-0.6374916184140179*I	-0.49989493219617304+0.*I	0.+0.21139426900979935*I	0.00007594433868892776+0.*I	0.+0.04167285751916892*I	0.00004140566509797887+0.*I	0.+0.017489857138840582*I	0.000048465480218850366+0.*I	0.+0.009426228614854464*I	0.000029814975253814578+0.*I	0.+0.005781976787228642*I	0.00002906905509332243+0.*I	0.+0.00381120267283742*I	0.000022613096605658503+0.*I	0.+0.0026243107998723545*I	0.000018502467612867908+0.*I	0.+0.001844350345478815*I	0.000014679120156319437+0.*I	0.+0.0012946788766445096*I	0.000011133078106333301+0.*I	0.+0.0008813278661618005*I	7.80948167668841*^-6+0.*I	0.+0.0005495331905884536*I	4.63149930714289*^-6+0.*I	0.+0.00026418653573321617*I	1.5350636076716384*^-6+0.*I
0.+0.0007613778174768368*I	7.340404921155372*^-6+0.*I	0.+0.002459826328212192*I	0.000016741289822259522+0.*I	0.+0.0048028825768620526*I	0.00002019424227235876+0.*I	0.+0.008732564744990186*I	0.00004138195901642697+0.*I	0.+0.017026901984253016*I	0.00003674352124164907+0.*I	0.+0.041407124358784686*I	0.00007363086231153324+0.*I	0.+0.2113076086330939*I	-0.49989493220304543+0.*I	0.-0.6374049580397139*I	-0.4998938948933544+0.*I	0.+0.21145921598624573*I	0.00007675794559263858+0.*I	0.+0.041720018779832606*I	0.000042006768796525794+0.*I	0.+0.017521879587087535*I	0.000048862020827964733+0.*I	0.+0.00944481125304441*I	0.00003001200378224015+0.*I	0.+0.005788069167244329*I	0.00002906906060853434+0.*I	0.+0.0038051102935530642*I	0.00002241606430433491+0.*I	0.+0.002605728161554473*I	0.000018105935072227077+0.*I	0.+0.0018123279012041346*I	0.000014078002735254123+0.*I	0.+0.0012475176187299736*I	0.000010319474995678838+0.*I	0.+0.0008163808947620269*I	6.7721674601437*^-6+0.*I	0.+0.0004628728032116669*I	3.3553356118838158*^-6+0.*I	0.+0.00015006073366829326*I
3.4268211141582115*^-6+0.*I	0.+0.0012790268438218277*I	0.000010285332915402217+0.*I	0.+0.002826016081500254*I	0.00001925129816162943+0.*I	0.+0.005069730281406189*I	0.000022334904055912407+0.*I	0.+0.008931251014213487*I	0.00004320223733412486+0.*I	0.+0.017176962717996173*I	0.000038278573205033896+0.*I	0.+0.04152125015907526*I	0.0000749070333865972+0.*I	0.+0.21139426901284725*I	-0.499893894897915+0.*I	0.-0.6373400110593591*I	-0.4998930812941499+0.*I	0.+0.21150637725022436*I	0.00007735905335406473+0.*I	0.+0.04175204122607166*I	0.000042403312033972764+0.*I	0.+0.01754046221801892*I	0.000049059060003701286+0.*I	0.+0.009450903635422947*I	0.000030012005448459846+0.*I	0.+0.005781976791875831*I	0.000028872019587251137+0.*I	0.+0.003786527652865172*I	0.00002201952418276534+0.*I	0.+0.002573705714028045*I	0.000017504823970072592+0.*I	0.+0.0017651666423700776*I	0.00001326440197959499+0.*I	0.+0.0011825706456202731*I	9.282167586281702*^-6+0.*I	0.+0.0007297205070766424*I	5.4960007375312955*^-6+0.*I	0.+0.000348746999839889*I	1.8202743988227077*^-6+0.*I
0.+0.0005176490293477276*I	6.371746244876579*^-6+0.*I	0.+0.0016452165852101422*I	0.000012795335972235925+0.*I	0.+0.003092863786162317*I	0.00002139195592858616+0.*I	0.+0.0052684165433138225*I	0.00002415517721862913+0.*I	0.+0.009081311748558023*I	0.00004473729030527232+0.*I	0.+0.01729108852012956*I	0.00003955474477791696+0.*I	0.+0.04160791054921389*I	0.00007594434611220361+0.*I	0.+0.21145921598829537*I	-0.4998930812962344+0.*I	0.-0.637292849798692*I	-0.4998924801805317+0.*I	0.+0.21153839968777483*I	0.00007775559795234139+0.*I	0.+0.041770623863855605*I	0.000042600342820625775+0.*I	0.+0.017546554600951093*I	0.00004905905897870842+0.*I	0.+0.009444811258086043*I	0.00002981496585411909+0.*I	0.+0.005763394144894775*I	0.000028475482426181303+0.*I	0.+0.003754505211475731*I	0.000021418410155876938+0.*I	0.+0.002526544453646279*I	0.00001669122263102408+0.*I	0.+0.001700219672175457*I	0.000012227096045226863+0.*I	0.+0.0010959102540838914*I	8.005996244068488*^-6+0.*I	0.+0.000615594713819563*I	3.960938633530275*^-6+0.*I	0.+0.00019868626397227113*I
2.944922644741584*^-6+0.*I	0.+0.0008838387717425235*I	8.881751545703829*^-6+0.*I	0.+0.001912064291385029*I	0.000014935992881548814+0.*I	0.+0.0032915500522376667*I	0.000023212239052908796+0.*I	0.+0.005418477282290655*I	0.00002569023652241245+0.*I	0.+0.009195437552110658*I	0.000046013465428810016+0.*I	0.+0.017377748903676122*I	0.00004059204749036286+0.*I	0.+0.04167285751745407*I	0.00007675794841509057+0.*I	0.+0.2115063772489719*I	-0.4998924801888862+0.*I	0.-0.6372608273555805*I	-0.4998920836383336+0.*I	0.+0.2115569823355308*I	0.00007795262265889599+0.*I	0.+0.041776716243330014*I	0.000042600346432544475+0.*I	0.+0.017540462227083574*I	0.00004886202073299176+0.*I	0.+0.009426228614122989*I	0.000029418435459852884+0.*I	0.+0.005731371703021743*I	0.000027874371125809173+0.*I	0.+0.0037073439461633335*I	0.00002060480920742109+0.*I	0.+0.0024615974816341426*I	0.000015653908500950014+0.*I	0.+0.0016135592853197195*I	0.000010950929190482873+0.*I	0.+0.0009817844532990032*I	6.470935753402896*^-6+0.*I	0.+0.00046553397565769815*I	2.1406675903556938*^-6+0.*I
0.+0.00036618974158702383*I	5.454925876002624*^-6+0.*I	0.+0.0011506864865913485*I	0.00001102241233846245+0.*I	0.+0.002110750555525155*I	0.000016756267413317757+0.*I	0.+0.003441610789597295*I	0.000024747288058183144+0.*I	0.+0.005532603082314805*I	0.00002696640631565287+0.*I	0.+0.00928209793659663*I	0.00004705077282063135+0.*I	0.+0.017442695874694963*I	0.000041405656528540856+0.*I	0.+0.04172001878550512*I	0.00007735905654727586+0.*I	0.+0.21153839968837218*I	-0.49989208364622095+0.*I	0.-0.6372422447146628*I	-0.49989188660685513+0.*I	0.+0.21156307470626398*I	0.00007795263454133427+0.*I	0.+0.04177062386917793*I	0.000042403303017787905+0.*I	0.+0.01752187958580969*I	0.00004846547903433678+0.*I	0.+0.009394206171437186*I	0.000028817317993238822+0.*I	0.+0.005684210441675129*I	0.000027060774732002938+0.*I	0.+0.00364239698026856*I	0.000019567505047528166+0.*I	0.+0.002374937097105616*I	0.000014377744908998718+0.*I	0.+0.0014994334814638216*I	9.415860502026155*^-6+0.*I	0.+0.0008317237204900976*I	4.650662308474203*^-6+0.*I	0.+0.0002668477124176741*I
2.510013272448395*^-6+0.*I	0.+0.000633037452244257*I	7.595581202652606*^-6+0.*I	0.+0.001349372746113432*I	0.000012842693860976498+0.*I	0.+0.002260811291382351*I	0.00001829132536122256+0.*I	0.+0.003555736592206247*I	0.000026023466219942526+0.*I	0.+0.0056192634677290874*I	0.00002800371135582606+0.*I	0.+0.00934704490841118*I	0.00004786437874032601+0.*I	0.+0.017489857139288818*I	0.00004200675945114159+0.*I	0.+0.04175204122211388*I	0.00007775560335899616+0.*I	0.+0.21155698233478193*I	-0.4998918866169994+0.*I	0.-0.6372361523365133*I	-0.49989188660491957+0.*I	0.+0.2115569823367247*I	0.00007775558972308936+0.*I	0.+0.041752041223992196*I	0.00004200677412326742+0.*I	0.+0.017489857135088296*I	0.00004786437066917122+0.*I	0.+0.009347044907371583*I	0.00002800371980348742+0.*I	0.+0.00561926346806303*I	0.000026023449215423084+0.*I	0.+0.0035557365911769376*I	0.000018291338480521618+0.*I	0.+0.0022608112986132575*I	0.000012842681240938901+0.*I	0.+0.0013493727473215672*I	7.5955914693169284*^-6+0.*I	0.+0.0006330374576904152*I	2.509998720257034*^-6+0.*I
0.+0.0002668477088966434*I	4.650661310831427*^-6+0.*I	0.+0.0008317237222919549*I	9.415863344956817*^-6+0.*I	0.+0.0014994334823982894*I	0.000014377744137176239+0.*I	0.+0.0023749370959149987*I	0.00001956750087253436+0.*I	0.+0.003642396981260329*I	0.000027060771619756305+0.*I	0.+0.005684210440332162*I	0.00002881731382301831+0.*I	0.+0.009394206172610185*I	0.00004846548314150433+0.*I	0.+0.017521879580532536*I	0.000042403312025853486+0.*I	0.+0.04177062386343615*I	0.00007795263121205837+0.*I	0.+0.21156307470886182*I	-0.49989188661068396+0.*I	0.-0.6372422447093661*I	-0.49989208364173804+0.*I	0.+0.21153839969327018*I	0.00007735905420372841+0.*I	0.+0.04172001878047401*I	0.00004140565218238987+0.*I	0.+0.01744269587748571*I	0.00004705076987198731+0.*I	0.+0.009282097939772388*I	0.000026966413033311606+0.*I	0.+0.005532603084620835*I	0.00002474729484843203+0.*I	0.+0.003441610794382606*I	0.000016756266743541782+0.*I	0.+0.0021107505574503513*I	0.000011022413954127157+0.*I	0.+0.0011506864825134716*I	5.454926322935081*^-6+0.*I	0.+0.00036618974677777444*I
