0.5007880343387836-0.23231099342314263*I	0.0230594052670213-0.32847434143366216*I	-0.1632309517112277-0.2322321277541402*I
0.02305940526702139-0.3284743414336622*I	0.33755708262755596-0.4645431211772827*I	0.023059405267021327-0.32847434143366216*I
-0.16323095171122765-0.2322321277541402*I	0.02305940526702127-0.3284743414336622*I	0.5007880343387836-0.23231099342314265*I
