0.-0.848777648179403*I	-0.49995767520453205+0.*I	0.+0.16976139738752374*I	0.000016742578584544218+0.*I	0.+0.0242456362518787*I	0.000010562098443060207+0.*I	0.+0.008074706631892518*I	7.614697278635478*^-6+0.*I	0.+0.0036622001468007426*I	5.845266464168068*^-6+0.*I	0.+0.00196292545388356*I	4.5940352421189735*^-6+0.*I	0.+0.001167816662114074*I	3.5365954988895537*^-6+0.*I	0.+0.0007453075334022674*I	4.531030258333702*^-6+0.*I	0.+0.00049432285025304*I	-2.718029041125282*^-6+0.*I	0.+0.00034951910748397264*I	0.000013127558829396045+0.*I	0.+0.00022250581482347043*I	-0.00001588335045306931+0.*I	0.+0.0001817385418157874*I	0.000021137641687568784+0.*I	0.+0.00008649339041624793*I	-0.000016463848790706064+0.*I	0.+0.00007492605280291775*I	0.000010033006783791408+0.*I	0.+8.406697671964336*^-6*I
4.594037585871065*^-6+0.*I	0.+0.0031307421246559853*I	0.000013975896401290422+0.*I	0.+0.0075382497999473864*I	0.00002612163353076889+0.*I	0.+0.016107279275274985*I	0.000033965698322679065+0.*I	0.+0.040702434646777565*I	0.00006383584071347829+0.*I	0.+0.21068633784597954*I	-0.49990972271392553+0.*I	0.-0.6379095717909603*I	-0.49988858507396+0.*I	0.+0.21095456977194063*I	0.000052626281013940234+0.*I	0.+0.04126809843293075*I	0.00004591670497600972+0.*I	0.+0.01703086888739065*I	0.00003535460761444452+0.*I	0.+0.008947755550153612*I	0.000017706906690859982+0.*I	0.+0.005210629363084658*I	0.000028325485253588475+0.*I	0.+0.0031612105096145205*I	2.5937937746623604*^-6+0.*I	0.+0.0018116553083873932*I	0.00001494057086885262+0.*I	0.+0.000843841966233536*I	-2.718032142134952*^-6+0.*I
0.+0.001167816658703455*I	8.130628190820482*^-6+0.*I	0.+0.0038760496519021637*I	0.000018506939020267395+0.*I	0.+0.008032572643967034*I	0.000023403604252858957+0.*I	0.+0.016456798395437663*I	0.00004709326424079932+0.*I	0.+0.04092494045395888*I	0.00004795247793337832+0.*I	0.+0.21086807638741942*I	-0.4998885850710251+0.*I	0.-0.6378230783947415*I	-0.49990504891965515+0.*I	0.+0.21102949582313046*I	0.00006265928350022296+0.*I	0.+0.041276505127755436*I	0.00004591670456040117+0.*I	0.+0.017022462191648047*I	0.00002532160728314241+0.*I	0.+0.008872829497839546*I	0.00003417075440783805+0.*I	0.+0.0051241359641939*I	7.187832800925271*^-6+0.*I	0.+0.0029794719739606873*I	0.000018477159710679492+0.*I	0.+0.001589149493805564*I	1.8130098966451754*^-6+0.*I	0.+0.0004943228477637535*I
3.536591366129373*^-6+0.*I	0.+0.0019131241956807275*I	0.000012661666608057063+0.*I	0.+0.004370372501634484*I	0.000015788904714818624+0.*I	0.+0.008382091759035929*I	0.00003653116291986081+0.*I	0.+0.016679304208521883*I	0.00003120989968653852+0.*I	0.+0.041106678994288645*I	0.00006909013390541844+0.*I	0.+0.21095456977792063*I	-0.4999050489196812+0.*I	0.-0.6377481523564981*I	-0.49989501591564894+0.*I	0.+0.211037902514694*I	0.0000626592848733212+0.*I	0.+0.041268098436729586*I	0.00003588370127719801+0.*I	0.+0.01694753613938257*I	0.000041785453812357194+0.*I	0.+0.00878633611169641*I	0.000013033096184220746+0.*I	0.+0.004942397433959256*I	0.000023071203325060547+0.*I	0.+0.0027569661504865508*I	5.349605041193117*^-6+0.*I	0.+0.0012396303817741607*I	4.5310311025392735*^-6+0.*I
0.+0.0007453075293956113*I	8.067621934344115*^-6+0.*I	0.+0.002407447038993857*I	9.943646248669542*^-6+0.*I	0.+0.0047198916145426775*I	0.000028916470535643668+0.*I	0.+0.008604597574015299*I	0.00002064780598973609+0.*I	0.+0.01686104274751958*I	0.00005234754635935568+0.*I	0.+0.0411931723870234*I	0.00005262628412056004+0.*I	0.+0.2110294958243271*I	-0.4998950159145708+0.*I	0.-0.6377397456515702*I	-0.49989501592110064+0.*I	0.+0.21102949582056962*I	0.000052626280511459554+0.*I	0.+0.041193172395673494*I	0.00005234755224865476+0.*I	0.+0.01686104274563712*I	0.000020647803690523418+0.*I	0.+0.008604597570006992*I	0.000028916456664553868+0.*I	0.+0.004719891614148139*I	9.943641555544061*^-6+0.*I	0.+0.002407447041192126*I	8.067632171484305*^-6+0.*I	0.+0.0007453075342822718*I
4.5310230215725035*^-6+0.*I	0.+0.0012396303789746306*I	5.349620187240199*^-6+0.*I	0.+0.0027569661575380425*I	0.000023071189652449815+0.*I	0.+0.004942397434169311*I	0.000013033108238863973+0.*I	0.+0.00878633611384852*I	0.000041785462498120416+0.*I	0.+0.016947536137563498*I	0.00003588369778388049+0.*I	0.+0.04126809844263735*I	0.00006265928374499282+0.*I	0.+0.21103790251584834*I	-0.49989501592127294+0.*I	0.-0.6377481523553543*I	-0.4999050489181234+0.*I	0.+0.21095456977915908*I	0.00006909013161282088+0.*I	0.+0.04110667899600979*I	0.00003120989116357847+0.*I	0.+0.016679304209212615*I	0.0000365311661041273+0.*I	0.+0.00838209175873946*I	0.000015788910379426343+0.*I	0.+0.004370372501607619*I	0.000012661667642788907+0.*I	0.+0.0019131241888613304*I	3.5365983773738563*^-6+0.*I
0.+0.0004943228441323944*I	1.8130045940517772*^-6+0.*I	0.+0.0015891494976907894*I	0.00001847715951316084+0.*I	0.+0.002979471966898878*I	7.187838483155863*^-6+0.*I	0.+0.005124135971936047*I	0.000034170762603061056+0.*I	0.+0.00887282950178149*I	0.00002532159792793544+0.*I	0.+0.017022462185328817*I	0.00004591670984132384+0.*I	0.+0.04127650512738616*I	0.00006265928096919586+0.*I	0.+0.2110294958315119*I	-0.49990504892340704+0.*I	0.-0.6378230784030667*I	-0.4998885850643764+0.*I	0.+0.21086807638810484*I	0.00004795248091998973+0.*I	0.+0.04092494045743174*I	0.000047093260557476275+0.*I	0.+0.016456798405236263*I	0.000023403596499606974+0.*I	0.+0.00803257263754685*I	0.000018506932104520364+0.*I	0.+0.003876049648871352*I	8.130645821759591*^-6+0.*I	0.+0.001167816652938622*I
-2.7180162271999664*^-6+0.*I	0.+0.0008438419554155098*I	0.000014940564841094418+0.*I	0.+0.0018116553164821733*I	2.593800506064763*^-6+0.*I	0.+0.003161210511061095*I	0.000028325483601004264+0.*I	0.+0.005210629364262685*I	0.000017706911165391953+0.*I	0.+0.008947755552646331*I	0.00003535459837440359+0.*I	0.+0.017030868885622608*I	0.00004591671178200375+0.*I	0.+0.04126809843556975*I	0.000052626264706003625+0.*I	0.+0.21095456977079005*I	-0.49988858506718153+0.*I	0.-0.6379095717858834*I	-0.4999097227291986+0.*I	0.+0.21068633784042134*I	0.00006383584464949389+0.*I	0.+0.04070243464246531*I	0.0000339656962449846+0.*I	0.+0.016107279278560677*I	0.000026121639178631873+0.*I	0.+0.007538249791124579*I	0.000013975899800423618+0.*I	0.+0.0031307421228348726*I	4.594040044492154*^-6+0.*I
0.+0.00034951911724731555*I	0.000010409535811979625+0.*I	0.+0.001066347771506257*I	-9.427991253858462*^-7+0.*I	0.+0.001993393851836542*I	0.0000237314443551831+0.*I	0.+0.003247703896088111*I	0.00001186164177278181+0.*I	0.+0.005285555411534942*I	0.000027739905614246944+0.*I	0.+0.008956162243239335*I	0.00003535460526219771+0.*I	0.+0.01702246218644274*I	0.000035883693710144784+0.*I	0.+0.041193172382211374*I	0.00006909013114030318+0.*I	0.+0.21086807639493477*I	-0.4999097227233777+0.*I	0.-0.6380913103361294*I	-0.4998938393563013+0.*I	0.+0.21046383202595628*I	0.00005070827947979123+0.*I	0.+0.0403529155312351*I	0.0000366837323629873+0.*I	0.+0.01561295643881564*I	0.000021590597925452865+0.*I	0.+0.0067929422589311506*I	0.000010439300786596779+0.*I	0.+0.0019629254624470016*I
0.000013127555080630486+0.*I	0.+0.000572024922971033*I	-5.473824342772008*^-6+0.*I	0.+0.0012480863199485668*I	0.00002019484997439705+0.*I	0.+0.0020798872418008748*I	7.267601258169138*^-6+0.*I	0.+0.003322629943573229*I	0.000021894641059095467+0.*I	0.+0.005293962115147953*I	0.00002773991264219165+0.*I	0.+0.008947755547273898*I	0.00002532159039989145+0.*I	0.+0.016947536132242685*I	0.000052347560673147224+0.*I	0.+0.04110667900075408*I	0.00004795246608647637+0.*I	0.+0.21068633783648136*I	-0.4998938393565071+0.*I	0.-0.6383138161451776*I	-0.49990696691916214+0.*I	0.+0.21011431291440927*I	0.00005342630542878448+0.*I	0.+0.039858592684276294*I	0.00003215270152157223+0.*I	0.+0.014867648894635857*I	0.00001805400692058986+0.*I	0.+0.005625125606594837*I	5.845258652770191*^-6+0.*I
0.+0.00022250581509009049*I	-2.75580452694255*^-6+0.*I	0.+0.000753763467809393*I	0.000015663824940613462+0.*I	0.+0.0013345797047132762*I	3.7310002717325117*^-6+0.*I	0.+0.0021548132923816105*I	0.00001730060850357392+0.*I	0.+0.0033310366424121607*I	0.000021894638011495954+0.*I	0.+0.0052855554052334205*I	0.000017706900048149593+0.*I	0.+0.008872829501309354*I	0.00004178544612627835+0.*I	0.+0.016861042759520037*I	0.000031209897722408474+0.*I	0.+0.04092494045417136*I	0.00006383583336235233+0.*I	0.+0.21046383202554653*I	-0.4999069669190529+0.*I	0.-0.6386633352670904*I	-0.49990424888741836+0.*I	0.+0.2096199900736866*I	0.000048895290496745906+0.*I	0.+0.039113285151359034*I	0.000028616100464916393+0.*I	0.+0.013699832244750187*I	0.000013459954565238097+0.*I	0.+0.0036622001385388514*I
-0.000015883366677031285+0.*I	0.+0.0004042443532993588*I	0.00001838184834970487+0.*I	0.+0.000840256856428961*I	-8.000222324086961*^-7+0.*I	0.+0.0014095057600056996*I	0.000013763998062596054+0.*I	0.+0.0021632199831100544*I	0.00001730060201597329+0.*I	0.+0.00332262994726038*I	0.000011861639723926034+0.*I	0.+0.005210629361306508*I	0.00003417075422852522+0.*I	0.+0.008786336114629926*I	0.000020647805658151806+0.*I	0.+0.016679304213945943*I	0.00004709326726507112+0.*I	0.+0.040702434634223024*I	0.00005070828000245258+0.*I	0.+0.21011431291492805*I	-0.4999042488892311+0.*I	0.-0.6391576581069309*I	-0.499908779925228+0.*I	0.+0.20887468253109664*I	0.000045358682952468756+0.*I	0.+0.03794546848937781*I	0.00002402205514982383+0.*I	0.+0.01173690677961849*I	7.614703700253855*^-6+0.*I
0.+0.00018173853913780458*I	5.254279349073801*^-6+0.*I	0.+0.0004907377480348751*I	1.91799284517491*^-6+0.*I	0.+0.0009151829070840056*I	9.232982821806736*^-6+0.*I	0.+0.0014179124630418344*I	0.00001376400731938281+0.*I	0.+0.0021548132808378306*I	7.26759981283232*^-6+0.*I	0.+0.003247703906664373*I	0.00002832549368411341+0.*I	0.+0.005124135968640343*I	0.000013033097694273273+0.*I	0.+0.00860459758068581*I	0.00003653116457914564+0.*I	0.+0.016456798386050048*I	0.000033965694992923445+0.*I	0.+0.040352915533303696*I	0.000053426303886175175+0.*I	0.+0.20961999005967408*I	-0.4999087799197172+0.*I	0.-0.6399029656340414*I	-0.49991231651985524+0.*I	0.+0.20770686586839127*I	0.00004076463934746918+0.*I	0.+0.035982543023600114*I	0.00001817679921237843+0.*I	0.+0.008074706628285591*I
0.000021137652402598183+0.*I	0.+0.00026823193228212044*I	-0.000011209570210961775+0.*I	0.+0.0005656637913970066*I	0.000011951008448278475+0.*I	0.+0.0009235896058889338*I	9.232968163192763*^-6+0.*I	0.+0.0014095057546520547*I	3.7310013824158547*^-6+0.*I	0.+0.0020798872465612344*I	0.000023731456781521692+0.*I	0.+0.0031612105050448274*I	7.1878408217758125*^-6+0.*I	0.+0.004942397433025283*I	0.000028916466174603598+0.*I	0.+0.008382091758982918*I	0.000023403609746258536+0.*I	0.+0.016107279277817695*I	0.000036683731957838295+0.*I	0.+0.03985859268633405*I	0.00004889527380426054+0.*I	0.+0.20887468253282584*I	-0.4999123165177778+0.*I	0.-0.6410707823075209*I	-0.4999169105673106+0.*I	0.+0.20574394041330982*I	0.000034919376119803795+0.*I	0.+0.03232034288045427*I	0.000010562103735956008+0.*I
0.+0.00008649339470921669*I	4.673796448917325*^-6+0.*I	0.+0.00034315797698879213*I	-1.176569803185067*^-6+0.*I	0.+0.0005740704938943519*I	0.000011951006000288836+0.*I	0.+0.0009151829091267188*I	-8.000295086187362*^-7+0.*I	0.+0.0013345797086665584*I	0.000020194851824117668+0.*I	0.+0.0019933938529898138*I	2.59380184585147*^-6+0.*I	0.+0.0029794719739821424*I	0.000023071201518414006+0.*I	0.+0.004719891611948343*I	0.000015788908880407444+0.*I	0.+0.008032572648432379*I	0.00002612162605469637+0.*I	0.+0.01561295643204736*I	0.00003215270314291415+0.*I	0.+0.03911328514861526*I	0.0000453586781237147+0.*I	0.+0.20770686586509454*I	-0.4999169105588886+0.*I	0.-0.6430337077653704*I	-0.4999227558231592+0.*I	0.+0.2020817402560582*I	0.000027304677898896487+0.*I	0.+0.024245636255586345*I
-0.00001646385224800956+0.*I	0.+0.0001614194390441653*I	0.000014706802984550127+0.*I	0.+0.00035156467820914044*I	-1.1765554630560615*^-6+0.*I	0.+0.0005656637897972055*I	1.9179948749920017*^-6+0.*I	0.+0.0008402568617064616*I	0.000015663835096553502+0.*I	0.+0.0012480863197148156*I	-9.428033465597174*^-7+0.*I	0.+0.0018116553101658953*I	0.000018477163854696554+0.*I	0.+0.00275696615296648*I	9.943642351475934*^-6+0.*I	0.+0.004370372496099794*I	0.000018506933638584577+0.*I	0.+0.007538249801263645*I	0.000021590597442382176+0.*I	0.+0.01486764890099189*I	0.00002861610342224513+0.*I	0.+0.0379454684845352*I	0.000040764639793029744+0.*I	0.+0.20574394041307462*I	-0.4999227558311904+0.*I	0.-0.6466959079080425*I	-0.4999303705202479+0.*I	0.+0.1940070336334989*I	0.00001674258641248816+0.*I
0.+0.00007492604813510995*I	-6.430838862300616*^-6+0.*I	0.+0.00016982613373615896*I	0.000014706794956487053+0.*I	0.+0.00034315797467671105*I	-0.000011209560481910152+0.*I	0.+0.0004907377490677017*I	0.000018381852334086782+0.*I	0.+0.0007537634706618335*I	-5.47383397552947*^-6+0.*I	0.+0.0010663477758830475*I	0.000014940569140328835+0.*I	0.+0.0015891494934473782*I	5.349601715907663*^-6+0.*I	0.+0.0024074470420062666*I	0.000012661666219103356+0.*I	0.+0.0038760496563829544*I	0.000013975905664493854+0.*I	0.+0.006792942253946721*I	0.000018054000937418275+0.*I	0.+0.013699832237203023*I	0.000024022068200213958+0.*I	0.+0.03598254302702936*I	0.000034919370259461256+0.*I	0.+0.20208174027140235*I	-0.49993037051998307+0.*I	0.-0.6547706145401202*I	-0.49994093261671146+0.*I	0.+0.16976139738347581*I
0.000010032997347697581+0.*I	0.+0.0000833327382699077*I	-6.43083646639786*^-6+0.*I	0.+0.00016141943480696926*I	4.673795605383835*^-6+0.*I	0.+0.0002682319321033705*I	5.254300484466845*^-6+0.*I	0.+0.00040424434817659536*I	-2.7558024454643615*^-6+0.*I	0.+0.0005720249319010018*I	0.000010409534294694711+0.*I	0.+0.0008438419596953211*I	1.8130015281697665*^-6+0.*I	0.+0.0012396303845441715*I	8.067629653094044*^-6+0.*I	0.+0.0019131241945052318*I	8.130635309647194*^-6+0.*I	0.+0.003130742113801863*I	0.000010439297767630973+0.*I	0.+0.005625125598936256*I	0.000013459963989062573+0.*I	0.+0.011736906778285988*I	0.000018176799233146634+0.*I	0.+0.03232034289082777*I	0.00002730467283687532+0.*I	0.+0.19400703363093263*I	-0.4999409326233546+0.*I	0.-0.6790162507953605*I	-0.4999576752008723+0.*I
0.+8.406703815064254*^-6*I	0.000010033013036532014+0.*I	0.+0.00007492603995318259*I	-0.00001646385381719072+0.*I	0.+0.00008649339467774186*I	0.000021137654891454113+0.*I	0.+0.00018173853667068085*I	-0.000015883363299812966+0.*I	0.+0.00022250581911571754*I	0.000013127560458231526+0.*I	0.+0.00034951911148381476*I	-2.71802138372534*^-6+0.*I	0.+0.0004943228534843302*I	4.53103238849434*^-6+0.*I	0.+0.0007453075308148371*I	3.5365946671823734*^-6+0.*I	0.+0.0011678166608077023*I	4.594037733713361*^-6+0.*I	0.+0.0019629254546621733*I	5.845265929398737*^-6+0.*I	0.+0.0036622001448390062*I	7.614694458932687*^-6+0.*I	0.+0.008074706631386541*I	0.000010562095204452298+0.*I	0.+0.024245636262400866*I	0.000016742577375513255+0.*I	0.+0.16976139738145424*I	-0.4999576751932813+0.*I	0.-0.8487776481721432*I
