0.-0.8521140930236797*I	-0.5026520936069606+0.*I	0.+0.1725788644143389*I	0.0038222480857059435+0.*I	0.+0.018750082257931844*I	-0.0026871770351821044+0.*I	0.+0.0075717043005560924*I
-0.5026520935954011+0.*I	0.-0.6795352286258948*I	-0.49882984550312415+0.*I	0.+0.19132894667962808*I	0.0011350711050823747+0.*I	0.+0.0263217865628136*I	-0.002687177033422472+0.*I
0.+0.17257886440158066*I	-0.49882984550026893+0.*I	0.-0.6607851463757504*I	-0.5015170225444422+0.*I	0.+0.19890065100396903*I	0.0011350710799230362+0.*I	0.+0.01875008224975394*I
0.0038222481320531188+0.*I	0.+0.19132894666336606*I	-0.5015170225149745+0.*I	0.-0.653213442054352*I	-0.5015170225009342+0.*I	0.+0.1913289466721294*I	0.00382224811079368+0.*I
0.+0.018750082250335254*I	0.0011350710662748342+0.*I	0.+0.19890065096228682*I	-0.5015170225386159+0.*I	0.-0.6607851463677434*I	-0.49882984548765563+0.*I	0.+0.17257886442621384*I
-0.0026871770458001265+0.*I	0.+0.026321786561685573*I	0.001135071100861751+0.*I	0.+0.19132894667467812*I	-0.4988298454843516+0.*I	0.-0.6795352286345416*I	-0.5026520936166889+0.*I
0.+0.007571704304837112*I	-0.0026871770434858805+0.*I	0.+0.018750082266478785*I	0.0038222480789600333+0.*I	0.+0.17257886437573688*I	-0.502652093582931+0.*I	0.-0.8521140930295132*I
