0.-0.8487765225256327*I	-0.4999575990110733+0.*I	0.+0.16976479978158973*I	0.000016895809442847297+0.*I	0.+0.02425139424799907*I	0.000010792255432822301+0.*I	0.+0.00808295397330885*I	7.922143941440469*^-6+0.*I	0.+0.0036731401886707575*I	6.22765042483562*^-6+0.*I	0.+0.001976847408167326*I	5.098165310540265*^-6+0.*I	0.+0.0011850522594446555*I	4.2848800236785914*^-6+0.*I	0.+0.0007656868726284294*I	3.6666790154972462*^-6+0.*I	0.+0.000522724090109683*I	3.1773295563189343*^-6+0.*I	0.+0.00037215008415037446*I	2.777478047884309*^-6+0.*I	0.+0.00027378204778047194*I	2.4422299448513963*^-6+0.*I	0.+0.00020672250489214424*I	2.1550425640857828*^-6+0.*I	0.+0.0001593591395899084*I	1.9044729747279466*^-6+0.*I	0.+0.0001248818837478441*I	1.6823370028009926*^-6+0.*I	0.+0.00009911366915278253*I	1.4826092043482736*^-6+0.*I	0.+0.00007939282810203772*I	1.3007405694756888*^-6+0.*I	0.+0.00006396626279876249*I	1.1332153521945908*^-6+0.*I	0.+0.00005164487221272662*I	9.77258384486998*^-7+0.*I	0.+0.00004160014617170221*I	8.306319707214043*^-7+0.*I	0.+0.00003323990391989834*I	6.914953250379411*^-7+0.*I	0.+0.00002612997068227158*I	5.583001370923615*^-7+0.*I	0.+0.000019943335642025334*I	4.2971641124965175*^-7+0.*I	0.+0.000014426143773381976*I	3.0457246499834064*^-7+0.*I	0.+9.374190907386222*^-6*I	1.8181092574903995*^-7+0.*I	0.+4.616004502334932*^-6*I	6.044961100338554*^-8+0.*I
5.0981651791074366*^-6+0.*I	0.+0.0031618996676366687*I	0.000015610695888902242+0.*I	0.+0.0076007267289230455*I	0.000027199518581470634+0.*I	0.+0.01620640479235018*I	0.000041169103813101505+0.*I	0.+0.040829949124517484*I	0.00006084239109638085+0.*I	0.+0.21086853095388064*I	-0.4998943143898833+0.*I	0.-0.6377012690668203*I	-0.4998921593473874+0.*I	0.+0.21123461259840604*I	0.00006734413676761359+0.*I	0.+0.04159469470050082*I	0.00005213066419848781+0.*I	0.+0.017442414121712074*I	0.00004282101804412599+0.*I	0.+0.009438852976392083*I	0.000036199614677668204+0.*I	0.+0.005829679050652485*I	0.00003110517960145942+0.*I	0.+0.0039044765145770832*I	0.000026984272612723887+0.*I	0.+0.002761024401366148*I	0.00002353002465342382+0.*I	0.+0.002028577432615145*I	0.000020554840898678218+0.*I	0.+0.0015319833132184549*I	0.000017935811507573806+0.*I	0.+0.0011797765646215095*I	0.00001558804987687261+0.*I	0.+0.00092042066070108*I	0.000013450392393708787+0.*I	0.+0.0007230723467135112*I	0.000011477160726458674+0.*I	0.+0.0005683292116527072*I	9.633137344901723*^-6+0.*I	0.+0.0004434473278280769*I	7.890350821721061*^-6+0.*I	0.+0.0003397176542509925*I	6.2259306183389045*^-6+0.*I	0.+0.0002509506351582627*I	4.62061757399593*^-6+0.*I	0.+0.00017255822863939977*I	3.0576858493489045*^-6+0.*I	0.+0.00010097002077804266*I	1.522127306885162*^-6+0.*I	0.+0.000033239903962971586*I
0.+0.0011850522594800158*I	9.383045308431101*^-6+0.*I	0.+0.003927586540230697*I	0.00001927737478256286+0.*I	0.+0.008123450819065632*I	0.000030376848308044014+0.*I	0.+0.016578554876488485*I	0.000043946581728784+0.*I	0.+0.04110373117229382*I	0.00006328462117018206+0.*I	0.+0.21107525345878364*I	-0.4998921593473418+0.*I	0.-0.6375419099272074*I	-0.4998902548744237+0.*I	0.+0.21135949448208657*I	0.00006902647367956812+0.*I	0.+0.04169380836972881*I	0.0000536132734568613+0.*I	0.+0.017521806949653856*I	0.000044121758647137766+0.*I	0.+0.00950281923938214*I	0.000037332829976490585+0.*I	0.+0.005881323922733454*I	0.000032082437987825176+0.*I	0.+0.0039460766608872145*I	0.000027814904622681914+0.*I	0.+0.002794264305199923*I	0.00002422151998687887+0.*I	0.+0.0020547074033636713*I	0.000021113141010679993+0.*I	0.+0.001551926648742416*I	0.000018365527958932938+0.*I	0.+0.00119420270849762*I	0.000015892622291753978+0.*I	0.+0.000929794851596717*I	0.000013632203361523185+0.*I	0.+0.000727688351213403*I	0.000011537610275063823+0.*I	0.+0.0005683292116260189*I	9.572687838722214*^-6+0.*I	0.+0.0004388313233876444*I	7.70853981091041*^-6+0.*I	0.+0.0003303434632903729*I	5.92135822047165*^-6+0.*I	0.+0.0002365244914537908*I	4.19090111950818*^-6+0.*I	0.+0.00015261489296297475*I	2.4993857442925916*^-6+0.*I	0.+0.00007484005010909073*I	8.306319143181579*^-7+0.*I
4.2848800755910995*^-6+0.*I	0.+0.0019507391320975744*I	0.000013049724278126531+0.*I	0.+0.004450310630376345*I	0.000022454704403057732+0.*I	0.+0.008495600903227206*I	0.0000331543262383788+0.*I	0.+0.016852336924236117*I	0.000046388811765047736+0.*I	0.+0.04131045367722812*I	0.00006543966363912104+0.*I	0.+0.21123461259834134*I	-0.49989025487436534+0.*I	0.-0.6374170280434543*I	-0.4998885725374104+0.*I	0.+0.2114586081513163*I	0.00007050908294747015+0.*I	0.+0.04177320119772691*I	0.00005491401399155588+0.*I	0.+0.017585773212603108*I	0.00004525497399837316+0.*I	0.+0.009554464111397383*I	0.00003831008838542216+0.*I	0.+0.005922924068999635*I	0.00003291306997357941+0.*I	0.+0.003979316564696115*I	0.000028506399920868378+0.*I	0.+0.002820394275991801*I	0.000024779820154776773+0.*I	0.+0.0020746507389167116*I	0.000021542857433656365+0.*I	0.+0.0015663527926264825*I	0.000018670100428662927+0.*I	0.+0.00120357689935*I	0.0000160744332350552+0.*I	0.+0.000934410856154405*I	0.000013692652922601682+0.*I	0.+0.0007276883511381203*I	0.000011477160731191891+0.*I	0.+0.0005637132072003353*I	9.39087683561969*^-6+0.*I	0.+0.0004294571323750774*I	7.403967390358462*^-6+0.*I	0.+0.00031591731956553276*I	5.491641766427827*^-6+0.*I	0.+0.00021658115574807042*I	3.6326010268187296*^-6+0.*I	0.+0.00012648492232787833*I	1.8078903374966521*^-6+0.*I	0.+0.000041600146150071606*I
0.+0.0007656868726191304*I	7.951559053061215*^-6+0.*I	0.+0.0024734632222136073*I	0.000016227053875011774+0.*I	0.+0.004822460714561886*I	0.000025232182389601176+0.*I	0.+0.008769382950959775*I	0.000035596556309423674+0.*I	0.+0.0170590594291955*I	0.00004854385427551698+0.*I	0.+0.04146981281670617*I	0.0000673441367220544+0.*I	0.+0.21135949448213473*I	-0.499888572537387+0.*I	0.-0.6373179143742873*I	-0.4998870899282166+0.*I	0.+0.21153800097933673*I	0.00007180982351676295+0.*I	0.+0.041837167460599185*I	0.00005604722939227744+0.*I	0.+0.0176374180847393*I	0.00004623223231253806+0.*I	0.+0.009596064257668912*I	0.00003914072039618997+0.*I	0.+0.005956163972858282*I	0.000033604565225691865+0.*I	0.+0.004005446535470642*I	0.0000290647001318545+0.*I	0.+0.002840337611531953*I	0.00002520953649304943+0.*I	0.+0.002089076882770947*I	0.000021847429945008303+0.*I	0.+0.001575726983488219*I	0.00001885191131305689+0.*I	0.+0.0012081929039008342*I	0.000016134882872539553+0.*I	0.+0.0009344108560880357*I	0.000013632203321560835+0.*I	0.+0.0007230723467555665*I	0.00001129534982630469+0.*I	0.+0.0005543390161943451*I	9.08630436654915*^-6+0.*I	0.+0.00041503098867286936*I	6.97425099064147*^-6+0.*I	0.+0.0002959739838737095*I	4.933341601042539*^-6+0.*I	0.+0.00019045118511179418*I	2.9411057026602997*^-6+0.*I	0.+0.00009324501836565491*I	9.772583623790721*^-7+0.*I
3.6666790486604157*^-6+0.*I	0.+0.0012884109627583316*I	0.000011128888602512948+0.*I	0.+0.002845613306384963*I	0.000019004531925094923+0.*I	0.+0.005096242762306565*I	0.000027674412359203525+0.*I	0.+0.0089761054558987*I	0.00003775159885118412+0.*I	0.+0.017218418568721847*I	0.00005044832722930339+0.*I	0.+0.041594694700543784*I	0.00006902647367584917+0.*I	0.+0.21145860815128598*I	-0.4998870899282047+0.*I	0.-0.6372385215462475*I	-0.49988578918759663+0.*I	0.+0.21160196724225752*I	0.00007294303881102051+0.*I	0.+0.04188881233271848*I	0.000057024487748860216+0.*I	0.+0.017679018230986745*I	0.00004706286429077185+0.*I	0.+0.009629304161493425*I	0.00003983221573664441+0.*I	0.+0.005982293943644954*I	0.00003416286541406675+0.*I	0.+0.004025389870944859*I	0.00002949441650113661+0.*I	0.+0.002854763755443382*I	0.000025514109012332473+0.*I	0.+0.002098451073569385*I	0.00002202924084719195+0.*I	0.+0.001580342988129063*I	0.000018912360901689093+0.*I	0.+0.0012081929037689846*I	0.00001607443329871664+0.*I	0.+0.0009297948517360112*I	0.00001345039240140146+0.*I	0.+0.0007136981556742002*I	0.000010990777312600826+0.*I	0.+0.0005399128724871933*I	8.656587991526482*^-6+0.*I	0.+0.0003950876529564604*I	6.415950825704449*^-6+0.*I	0.+0.0002698440132791273*I	4.24184629895801*^-6+0.*I	0.+0.00015721128109981526*I	2.11047369876842*^-6+0.*I	0.+0.00005164487228537598*I
0.+0.0005227240901307454*I	6.84400858407176*^-6+0.*I	0.+0.0016605610468956636*I	0.000013906366630633656+0.*I	0.+0.003119395354106849*I	0.000021446761885007795+0.*I	0.+0.005302965267227068*I	0.00002982945494592683+0.*I	0.+0.009135464595421078*I	0.00003965607179548994+0.*I	0.+0.01734330045249728*I	0.00005213066427327115+0.*I	0.+0.04169380836967432*I	0.00007050908287058618+0.*I	0.+0.2115380009794038*I	-0.49988578918758564+0.*I	0.-0.6371745552833975*I	-0.4998846559722513+0.*I	0.+0.21165361211431707*I	0.00007392029719967178+0.*I	0.+0.0419304124789977*I	0.000057855119755824466+0.*I	0.+0.01771225813479619*I	0.000047754359623722325+0.*I	0.+0.009655434132299526*I	0.00004039051586124556+0.*I	0.+0.006002237279152918*I	0.00003459258179486296+0.*I	0.+0.004039816014877302*I	0.000029798989009801642+0.*I	0.+0.002864137946264886*I	0.000025695919902689725+0.*I	0.+0.0021030670781813634*I	0.00002208969045443211+0.*I	0.+0.0015803429879830961*I	0.00001885191132218334+0.*I	0.+0.001203576899438419*I	0.000015892622332180692+0.*I	0.+0.0009204206606797646*I	0.00001314581991380258+0.*I	0.+0.000699272011993483*I	0.000010561060963844944+0.*I	0.+0.0005199695367868395*I	8.098287835392473*^-6+0.*I	0.+0.00036895768235870545*I	5.7244555192033185*^-6+0.*I	0.+0.000236604109316879*I	3.4112142529565747*^-6+0.*I	0.+0.00011561113500327565*I	1.1332153740153928*^-6+0.*I
3.1773295676892335*^-6+0.*I	0.+0.0008948741742918893*I	9.621486600554021*^-6+0.*I	0.+0.0019343430946672075*I	0.000016348596613569204+0.*I	0.+0.0033261178590754483*I	0.000023601804464106217+0.*I	0.+0.0054623244067248805*I	0.000031733927930281255+0.*I	0.+0.009260346479241559*I	0.000041338408791713956+0.*I	0.+0.01744241412162127*I	0.00005361327345586321+0.*I	0.+0.041773201197788865*I	0.00007180982350456+0.*I	0.+0.211601967242199*I	-0.4998846559722799+0.*I	0.-0.6371229104112752*I	-0.4998836787138886+0.*I	0.+0.21169521226063068*I	0.00007475092915495427+0.*I	0.+0.04196365238286279*I	0.00005854661508390066+0.*I	0.+0.017738388105605078*I	0.00004831265976515892+0.*I	0.+0.009675377467801269*I	0.00004082023228707355+0.*I	0.+0.006016663423008496*I	0.00003489715429259025+0.*I	0.+0.004049190205703992*I	0.0000299807999238412+0.*I	0.+0.0028687539508319157*I	0.000025756369482686815+0.*I	0.+0.002103067078115287*I	0.000022029240880397733+0.*I	0.+0.0015757269836090414*I	0.00001867010037572446+0.*I	0.+0.0011942027083748632*I	0.000015588049901705337+0.*I	0.+0.0009059945169518942*I	0.000012716103487002013+0.*I	0.+0.0006793286763198185*I	0.000010002760789090617+0.*I	0.+0.000493839566167915*I	7.406792493740764*^-6+0.*I	0.+0.0003357177783297346*I	4.893823528386595*^-6+0.*I	0.+0.0001950039631648137*I	2.4339559011920553*^-6+0.*I	0.+0.00006396626274285333*I
0.+0.0003721500841835781*I	5.954807580976603*^-6+0.*I	0.+0.0011686562220362203*I	0.000012063716590042702+0.*I	0.+0.0021410655995700075*I	0.000018503639175919114+0.*I	0.+0.0034854769986096806*I	0.00002550627740018892+0.*I	0.+0.005587206290547267*I	0.000033416264911009016+0.*I	0.+0.009359460148351399*I	0.000042821017980795105+0.*I	0.+0.01752180694975478*I	0.00005491401408528297+0.*I	0.+0.041837167460559314*I	0.00007294303878446744+0.*I	0.+0.21165361211437717*I	-0.49988367871384537+0.*I	0.-0.6370813102649721*I	-0.499882848081958+0.*I	0.+0.21172845216443634*I	0.00007544242457000605+0.*I	0.+0.04198978235357392*I	0.0000591049151787998+0.*I	0.+0.017758331441117686*I	0.00004874237622362081+0.*I	0.+0.009689803611653*I	0.0000411248047009129+0.*I	0.+0.006026037613891829*I	0.00003507896528037868+0.*I	0.+0.00405380621030628*I	0.000030041249449525874+0.*I	0.+0.0028687539507645386*I	0.000025695919962024437+0.*I	0.+0.0020984510736532717*I	0.0000218474298800378+0.*I	0.+0.0015663527925864377*I	0.000018365527955765523+0.*I	0.+0.0011797765647089229*I	0.000015158333408435794+0.*I	0.+0.0008860511812466082*I	0.00001215780343579474+0.*I	0.+0.0006531987056871703*I	9.311265428582657*^-6+0.*I	0.+0.0004605996621815042*I	6.5761605269808675*^-6+0.*I	0.+0.00029411763224205265*I	3.916565095726636*^-6+0.*I	0.+0.00014335909089053077*I	1.3007406079642425*^-6+0.*I
2.7774779914696107*^-6+0.*I	0.+0.0006459321319142716*I	8.397037612908821*^-6+0.*I	0.+0.0013753787269508734*I	0.000014218759129017546+0.*I	0.+0.0023004247391261315*I	0.000020408112180366706+0.*I	0.+0.003610358882390566*I	0.000027188614379760565+0.*I	0.+0.005686319959695347*I	0.000034898874181076014+0.*I	0.+0.009438852976470593*I	0.00004412175855983675+0.*I	0.+0.017585773212517062*I	0.00005604722942044769+0.*I	0.+0.04188881233280384*I	0.00007392029717299197+0.*I	0.+0.21169521226055432*I	-0.49988284808187233+0.*I	0.-0.6370480703611334*I	-0.4998821565866277+0.*I	0.+0.21175458213518972*I	0.00007600072467510022+0.*I	0.+0.042009725689201007*I	0.00005953463161786377+0.*I	0.+0.017772757584908674*I	0.000049046948677724645+0.*I	0.+0.009699177802607336*I	0.000041306615701155784+0.*I	0.+0.0060306536184095184*I	0.00003513941477639698+0.*I	0.+0.004053806210268172*I	0.000029980799910780504+0.*I	0.+0.0028641379462601975*I	0.000025514108974492224+0.*I	0.+0.0020890768827722178*I	0.000021542857466921643+0.*I	0.+0.001551926648778873*I	0.000017935811497522056+0.*I	0.+0.0011598332290700974*I	0.000014600033338092389+0.*I	0.+0.0008599212105779234*I	0.000011466308042387012+0.*I	0.+0.0006199588017694802*I	8.480633490915133*^-6+0.*I	0.+0.00041899951600167604*I	5.598902104090202*^-6+0.*I	0.+0.00024247276004886684*I	2.7833498099716254*^-6+0.*I	0.+0.00007939282809533498*I
0.+0.00027378204788378226*I	5.219707997545704*^-6+0.*I	0.+0.0008526546367520997*I	0.000010552080124128935+0.*I	0.+0.0015347378666190378*I	0.000016123232154308152+0.*I	0.+0.002425306622849795*I	0.00002209044915586508+0.*I	0.+0.0037094725515889283*I	0.00002867122364017458+0.*I	0.+0.0057657127877538015*I	0.00003619961465566853+0.*I	0.+0.009502819239308496*I	0.00004525497394410857+0.*I	0.+0.017637418084657498*I	0.00005702448777236442+0.*I	0.+0.04193041247903339*I	0.00007475092918029586+0.*I	0.+0.21172845216442174*I	-0.4998821565866026+0.*I	0.-0.6370219403903578*I	-0.499881598286414+0.*I	0.+0.21177452547073794*I	0.00007643044109732366+0.*I	0.+0.04202415183302171*I	0.00005983920407280573+0.*I	0.+0.017782131775806415*I	0.00004922875962175212+0.*I	0.+0.009703793807124899*I	0.00004136706521106194+0.*I	0.+0.006030653618372062*I	0.000035078965249280426+0.*I	0.+0.004049190205810401*I	0.000029798988977647675+0.*I	0.+0.002854763755320104*I	0.000025209536524325695+0.*I	0.+0.0020746507389783554*I	0.0000211131409912731+0.*I	0.+0.0015319833131529296*I	0.000017377511426468957+0.*I	0.+0.0011337032583966548*I	0.000013908537912494254+0.*I	0.+0.0008266813066431418*I	0.000010635676090608529+0.*I	0.+0.0005783586555642902*I	7.5033750774041255*^-6+0.*I	0.+0.0003673546438014865*I	4.465686826477113*^-6+0.*I	0.+0.00017850649722639145*I	1.4826092014537113*^-6+0.*I
2.44222996629926*^-6+0.*I	0.+0.00048050455265405553*I	7.374750601197273*^-6+0.*I	0.+0.0010120137763711832*I	0.000012456553090610465+0.*I	0.+0.0016596197502949481*I	0.000017805569129636874+0.*I	0.+0.0025244202920320117*I	0.00002357305834475031+0.*I	0.+0.0037888653796601776*I	0.000029971964265471956+0.*I	0.+0.005829679050601237*I	0.000037332830008849277+0.*I	0.+0.009554464111433625*I	0.00004623223233337746+0.*I	0.+0.01767901823094936*I	0.00005785511974712508+0.*I	0.+0.041963652382886546*I	0.00007544242451017667+0.*I	0.+0.21175458213518883*I	-0.49988159828647055+0.*I	0.-0.6370019970548192*I	-0.4998811685699743+0.*I	0.+0.2117889516145646*I	0.00007673501351106065+0.*I	0.+0.04203352602387659*I	0.000060021015064234596+0.*I	0.+0.01778674778039842*I	0.00004928920913492299+0.*I	0.+0.009703793807050803*I	0.000041306615718866504+0.*I	0.+0.006026037613959211*I	0.00003489715424804089+0.*I	0.+0.004039816014792606*I	0.000029494416530450545+0.*I	0.+0.0028403376115668046*I	0.00002477982008468602+0.*I	0.+0.0020547074033484196*I	0.00002055484092358036+0.*I	0.+0.0015058533425233757*I	0.000016686016017595063+0.*I	0.+0.0011004633544285938*I	0.000013077906032819747+0.*I	0.+0.0007850811605077928*I	9.65841765560169*^-6+0.*I	0.+0.0005267137833882209*I	6.3701598066015904*^-6+0.*I	0.+0.000303388381030152*I	3.1649461956170143*^-6+0.*I	0.+0.0000991136691280343*I
0.+0.00020672250491530586*I	4.59727255061746*^-6+0.*I	0.+0.0006398636922564277*I	9.279223558912571*^-6+0.*I	0.+0.0011368956601776608*I	0.000014138890082948348+0.*I	0.+0.0017587334194268708*I	0.00001928817836378361+0.*I	0.+0.0026038131201709083*I	0.00002487379892872706+0.*I	0.+0.0038528316424135856*I	0.000031105179583195355+0.*I	0.+0.005881323922808328*I	0.000038310088423193054+0.*I	0.+0.009596064257626602*I	0.000047062864293215946+0.*I	0.+0.01771225813486737*I	0.000058546615069456634+0.*I	0.+0.041989782353568386*I	0.00007600072467602801+0.*I	0.+0.21177452547081665*I	-0.4998811685699975+0.*I	0.-0.6369875709110147*I	-0.4998808639975698+0.*I	0.+0.2117983258054915*I	0.00007691682448831332+0.*I	0.+0.0420381420283981*I	0.00006008146459173885+0.*I	0.+0.01778674778037091*I	0.000049228759551137274+0.*I	0.+0.009699177802570097*I	0.00004112480476302648+0.*I	0.+0.0060166634229882575*I	0.00003459258180626583+0.*I	0.+0.004025389871060641*I	0.000029064700085705273+0.*I	0.+0.002820394275961424*I	0.00002422151995361987+0.*I	0.+0.002028577432643986*I	0.0000198633455939129+0.*I	0.+0.001472613438566255*I	0.000015855384029058638+0.*I	0.+0.0010588632082625452*I	0.000012100647652257029+0.*I	0.+0.0007334362882845623*I	8.525202349950859*^-6+0.*I	0.+0.0004627475205777983*I	5.069419193863488*^-6+0.*I	0.+0.0002239955528970854*I	1.6823369917866912*^-6+0.*I
2.1550426784957833*^-6+0.*I	0.+0.0003660816444448872*I	6.50174540313708*^-6+0.*I	0.+0.0007647455760146673*I	0.000010961560636177516+0.*I	0.+0.0012360093292967216*I	0.000015621499214839583+0.*I	0.+0.0018381262475508774*I	0.000020588918998759036+0.*I	0.+0.0026677793829569226*I	0.000026007014214800625+0.*I	0.+0.003904476514658235*I	0.00003208243803146334+0.*I	0.+0.0059229240689590455*I	0.000039140720331864586+0.*I	0.+0.009629304161600082*I	0.00004775435969783851+0.*I	0.+0.01773838810550543*I	0.00005910491515600107+0.*I	0.+0.04200972568923978*I	0.00007643044114579818+0.*I	0.+0.21178895161452332*I	-0.49988086399762505+0.*I	0.-0.6369781967200775*I	-0.4998806821865655+0.*I	0.+0.21180294180998085*I	0.00007697727397540099+0.*I	0.+0.04203814202842125*I	0.00006002101508856835+0.*I	0.+0.01778213177585287*I	0.00004904694859995612+0.*I	0.+0.009689803611652765*I	0.00004082023230257556+0.*I	0.+0.00600223727922541*I	0.00003416286535976396+0.*I	0.+0.004005446535400119*I	0.000028506399992473782+0.*I	0.+0.0027942643052422727*I	0.00002353002460678249+0.*I	0.+0.001995337528746254*I	0.000019032713606491698+0.*I	0.+0.0014310132923725238*I	0.000014878125666220647+0.*I	0.+0.001007218336107406*I	0.000010967432346330322+0.*I	0.+0.0006694700254900765*I	7.224461767853253*^-6+0.*I	0.+0.00038335469247575233*I	3.586809975920857*^-6+0.*I	0.+0.0001248818837601677*I
0.+0.0001593591395858861*I	4.059515570257323*^-6+0.*I	0.+0.00049096352822215*I	8.184082504124714*^-6+0.*I	0.+0.0008638592451663657*I	0.000012444169719223696+0.*I	0.+0.0013154021573881822*I	0.000016922239878913088+0.*I	0.+0.0019020925103522019*I	0.00002172213428276026+0.*I	0.+0.002719424255144926*I	0.000026984272654336193+0.*I	0.+0.003946076660809064*I	0.00003291306993987026+0.*I	0.+0.0059561639729055005*I	0.000039832215730636846+0.*I	0.+0.009655434132249103*I	0.00004831265976841566+0.*I	0.+0.017758331441136477*I	0.00005953463164356534+0.*I	0.+0.042024151832990665*I	0.00007673501353929766+0.*I	0.+0.21179832580549954*I	-0.4998806821866104+0.*I	0.-0.6369735807155842*I	-0.4998806217370549+0.*I	0.+0.21180294180998938*I	0.0000769168244733894+0.*I	0.+0.04203352602391534*I	0.000059839204100469016+0.*I	0.+0.017772757584923065*I	0.00004874237617773469+0.*I	0.+0.009675377467895247*I	0.00004039051583928747+0.*I	0.+0.005982293943540581*I	0.00003360456527390097+0.*I	0.+0.003979316564764872*I	0.000027814904643582187+0.*I	0.+0.0027610244013112186*I	0.000022699392672089798+0.*I	0.+0.0019537373825332153*I	0.00001805545519451281+0.*I	0.+0.0013793684202162025*I	0.000013744910356297882+0.*I	0.+0.0009432520732401298*I	9.666691713145813*^-6+0.*I	0.+0.0005900771974123686*I	5.741852526211868*^-6+0.*I	0.+0.0002842410233450145*I	1.9044729721587398*^-6+0.*I
1.9044729133395794*^-6+0.*I	0.+0.00028424102334257914*I	5.74185257320218*^-6+0.*I	0.+0.0005900771973979638*I	9.666691679326321*^-6+0.*I	0.+0.0009432520732607308*I	0.000013744910365088675+0.*I	0.+0.001379368420219485*I	0.00001805545517403921+0.*I	0.+0.0019537373825299588*I	0.000022699392684876878+0.*I	0.+0.0027610244013259004*I	0.000027814904637768126+0.*I	0.+0.003979316564791361*I	0.0000336045652859551+0.*I	0.+0.005982293943543194*I	0.000040390515815585284+0.*I	0.+0.009675377467910418*I	0.000048742376241905864+0.*I	0.+0.01777275758488208*I	0.00005983920409902892+0.*I	0.+0.0420335260239658*I	0.00007691682447090724+0.*I	0.+0.21180294180992126*I	-0.4998806217370543+0.*I	0.-0.6369735807155514*I	-0.4998806821866291+0.*I	0.+0.21179832580546884*I	0.0000767350135048486+0.*I	0.+0.04202415183303798*I	0.00005953463164105332+0.*I	0.+0.01775833144107294*I	0.000048312659766268346+0.*I	0.+0.009655434132319255*I	0.00003983221571766644+0.*I	0.+0.005956163972830068*I	0.00003291306991007004+0.*I	0.+0.0039460766608388044*I	0.000026984272678971584+0.*I	0.+0.00271942425508703*I	0.00002172213424777773+0.*I	0.+0.001902092510428068*I	0.00001692223993054446+0.*I	0.+0.001315402157332954*I	0.00001244416973971594+0.*I	0.+0.0008638592452274583*I	8.18408249581516*^-6+0.*I	0.+0.0004909635281871579*I	4.059515563856683*^-6+0.*I	0.+0.00015935913961957993*I
0.+0.00012488188377104053*I	3.586809939493689*^-6+0.*I	0.+0.000383354692482811*I	7.224461767392647*^-6+0.*I	0.+0.0006694700254457243*I	0.000010967432269030536+0.*I	0.+0.00100721833610701*I	0.000014878125667782845+0.*I	0.+0.0014310132923689748*I	0.000019032713594059023+0.*I	0.+0.001995337528742649*I	0.00002353002463644076+0.*I	0.+0.002794264305259945*I	0.000028506399992447274+0.*I	0.+0.004005446535430045*I	0.000034162865400855695+0.*I	0.+0.006002237279196021*I	0.00004082023227843078+0.*I	0.+0.009689803611662006*I	0.00004904694864318432+0.*I	0.+0.017782131775857517*I	0.00006002101501814969+0.*I	0.+0.04203814202838575*I	0.00007697727404370238+0.*I	0.+0.2118029418099829*I	-0.4998806821866185+0.*I	0.-0.6369781967200339*I	-0.49988086399753384+0.*I	0.+0.21178895161452557*I	0.00007643044107940996+0.*I	0.+0.042009725689220914*I	0.00005910491519579897+0.*I	0.+0.017738388105526217*I	0.00004775435963353418+0.*I	0.+0.009629304161573508*I	0.00003914072038866588+0.*I	0.+0.0059229240689463265*I	0.00003208243797336325+0.*I	0.+0.003904476514636652*I	0.000026007014263486033+0.*I	0.+0.002667779382971978*I	0.000020588918974642152+0.*I	0.+0.0018381262475199544*I	0.000015621499280246844+0.*I	0.+0.0012360093293221537*I	0.00001096156055134783+0.*I	0.+0.0007647455760330606*I	6.501745516110662*^-6+0.*I	0.+0.00036608164451139817*I	2.1550425402178038*^-6+0.*I
1.6823369627021954*^-6+0.*I	0.+0.00022399555293979446*I	5.069419211458273*^-6+0.*I	0.+0.0004627475205933562*I	8.52520230912875*^-6+0.*I	0.+0.0007334362882861244*I	0.000012100647663175446+0.*I	0.+0.001058863208318282*I	0.000015855384027595507+0.*I	0.+0.001472613438548537*I	0.000019863345594805346+0.*I	0.+0.002028577432624554*I	0.00002422151997006601+0.*I	0.+0.0028203942759518937*I	0.000029064700125454524+0.*I	0.+0.004025389871066819*I	0.00003459258178435436+0.*I	0.+0.006016663422963231*I	0.00004112480477369512+0.*I	0.+0.009699177802606911*I	0.000049228759592410344+0.*I	0.+0.01778674778030404*I	0.00006008146462080566+0.*I	0.+0.04203814202844529*I	0.00007691682446823108+0.*I	0.+0.21179832580551666*I	-0.49988086399758225+0.*I	0.-0.6369875709110183*I	-0.4998811685700504+0.*I	0.+0.21177452547078318*I	0.00007600072465194285+0.*I	0.+0.041989782353570156*I	0.000058546615099128456+0.*I	0.+0.01771225813481586*I	0.00004706286431555119+0.*I	0.+0.009596064257646968*I	0.00003831008838747324+0.*I	0.+0.00588132392280275*I	0.000031105179565233675+0.*I	0.+0.003852831642451703*I	0.000024873798958517723+0.*I	0.+0.0026038131201472957*I	0.000019288178345122032+0.*I	0.+0.001758733419457371*I	0.000014138890096146378+0.*I	0.+0.0011368956601366758*I	9.279223508994303*^-6+0.*I	0.+0.0006398636922768342*I	4.597272554074601*^-6+0.*I	0.+0.0002067225048751046*I
