0.5352072202882878-0.3509086778708608*I	0.015055248451922115-0.3685656353737558*I	-0.2047535593157656-0.11005859711888677*I	-0.07047462718733191+0.09411125299637338*I	0.08034028499715323+0.07051326943332623*I	0.03475313593235316-0.04029947008813522*I	-0.05403677091009066-0.04994447236616142*I	-0.01981110053808003+0.022195960578203926*I	0.04349182108766528+0.04120241919122436*I	0.011227132061121005-0.012371294287328957*I	-0.03856643331535569-0.03698266392268173*I	-0.00514062979032065+0.00560848706736989*I	0.036532930661602916+0.03518609963782807*I
0.0150552484519195-0.3685656353737532*I	0.3304536609725172-0.46096727498974555*I	-0.05541937873541747-0.2744543823773804*I	-0.12441327431862596-0.03954532768555437*I	-0.03572149125499659+0.05381178290825005*I	0.026303514087042554+0.020568797067178866*I	0.014942035394255114-0.01810350950992053*I	-0.01054494982243942-0.008742053174931888*I	-0.008583968476970183+0.009824666290875089*I	0.004925387772302187+0.0042197552685392554*I	0.006086502270797131-0.0067628072199637495*I	-0.0020335026537523495-0.0017965642848574818*I	-0.00514062979031917+0.0056084870673680735*I
-0.2047535593157741-0.11005859711888283*I	-0.055419378735424456-0.2744543823773775*I	0.4107939459696515-0.3904540055564144*I	-0.02066624280309052-0.31475385246550214*I	-0.1784500452287488-0.0894898000516954*I	-0.055532591793107725+0.07600774348647153*I	0.06979533517468374+0.061771216258411386*I	0.026169167455359688-0.030474803797249077*I	-0.049111383137805234-0.04572471709761738*I	-0.01372459826729494+0.015433153358239193*I	0.041458318433906696+0.03940585490636054*I	0.0060865022708015-0.006762807219969247*I	-0.03856643331535282-0.03698266392268788*I
-0.07047462718734512+0.09411125299637377*I	-0.1244132743186364-0.039545327685556686*I	-0.020666242803088666-0.3147538524655063*I	0.35675717505954063-0.4403984779225632*I	-0.04047734334119217-0.292557891887289*I	-0.1349582241410984-0.048287380860474155*I	-0.044305459731991965+0.06363644919913032*I	0.031228901859330162+0.02478855233571724*I	0.02102853766504572-0.02486631672988645*I	-0.012578452476192294-0.010538617459793394*I	-0.013724598267284583+0.015433153358235842*I	0.004925387772309924+0.004219755268530415*I	0.011227132061122472-0.012371294287337842*I
0.08034028499714002+0.07051326943332453*I	-0.03572149125500277+0.05381178290824242*I	-0.17845004522873578-0.08948980005170884*I	-0.040477343341176-0.2925578918872992*I	0.4002489961472063-0.3991960587313519*I	-0.029250211280060653-0.30492918617464315*I	-0.17352465745643605-0.08527004478318004*I	-0.04944608952229269+0.06924493626648538*I	0.06776183252095108+0.05997465197353945*I	0.021028537665059466-0.024866316729888385*I	-0.04911138313778814-0.045724717097620576*I	-0.008583968476963133+0.009824666290870636*I	0.04349182108766335+0.04120241919122066*I
0.03475313593234518-0.04029947008813068*I	0.026303514087043338+0.020568797067173673*I	-0.055532591793088115+0.07600774348645147*I	-0.13495822414106995-0.04828738086049515*I	-0.029250211280043494-0.30492918617465115*I	0.36168256283186956-0.43617872265405444*I	-0.03439084107036132-0.29932069910728365*I	-0.13699172679481966-0.05008394514535565*I	-0.049446089522288336+0.06924493626648232*I	0.031228901859345383+0.024788552335708043*I	0.026169167455374707-0.030474803797256034*I	-0.010544949822436051-0.008742053174928363*I	-0.01981110053808446+0.02219596057821202*I
-0.05403677091009418-0.04994447236614988*I	0.014942035394257598-0.018103509509919014*I	0.06979533517469809+0.06177121625839275*I	-0.044305459731972224+0.06363644919910744*I	-0.1735246574564211-0.08527004478318762*I	-0.034390841070355-0.29932069910727915*I	0.39821549349347535-0.40099262301621574*I	-0.03439084107036943-0.2993206991072764*I	-0.17352465745643975-0.08527004478318481*I	-0.044305459731985346+0.06363644919910957*I	0.06979533517469187+0.061771216258394976*I	0.014942035394255412-0.0181035095099156*I	-0.05403677091009487-0.049944472366146964*I
-0.019811100538084592+0.022195960578211736*I	-0.010544949822440601-0.008742053174930707*I	0.02616916745536403-0.030474803797261408*I	0.03122890185933344+0.024788552335703366*I	-0.04944608952229482+0.06924493626648462*I	-0.13699172679482086-0.050083945145343395*I	-0.03439084107036661-0.2993206991072668*I	0.36168256283185346-0.43617872265404145*I	-0.02925021128006847-0.3049291861746467*I	-0.13495822414109215-0.04828738086049718*I	-0.05553259179310016+0.07600774348644965*I	0.02630351408703998+0.02056879706717528*I	0.03475313593234543-0.0402994700881282*I
0.0434918210876579+0.0412024191912191*I	-0.00858396847697344+0.009824666290867886*I	-0.049111383137801834-0.045724717097622866*I	0.021028537665044846-0.02486631672988757*I	0.0677618325209403+0.0599746519735439*I	-0.049446089522296496+0.06924493626649164*I	-0.17352465745643214-0.08527004478317583*I	-0.02925021128005395-0.3049291861746417*I	0.4002489961472113-0.39919605873135244*I	-0.04047734334117284-0.2925578918873006*I	-0.17845004522873575-0.08948980005171152*I	-0.03572149125500404+0.053811782908238376*I	0.08034028499713859+0.07051326943332119*I
0.011227132061114172-0.01237129428734298*I	0.004925387772302382+0.004219755268525596*I	-0.013724598267284338+0.015433153358236341*I	-0.012578452476185966-0.010538617459789262*I	0.02102853766505295-0.024866316729886623*I	0.031228901859338895+0.024788552335706246*I	-0.04430545973197479+0.06363644919910945*I	-0.13495822414106795-0.048287380860494*I	-0.04047734334115572-0.292557891887298*I	0.3567571750595701-0.44039847792256326*I	-0.02066624280307422-0.31475385246550824*I	-0.12441327431863489-0.03954532768556554*I	-0.07047462718734779+0.0941112529963641*I
-0.038566433315356016-0.0369826639226919*I	0.006086502270804366-0.006762807219975039*I	0.041458318433920865+0.03940585490635425*I	-0.013724598267275151+0.015433153358231352*I	-0.04911138313778926-0.04572471709762881*I	0.026169167455371956-0.030474803797265727*I	0.06979533517469988+0.061771216258390625*I	-0.055532591793084424+0.07600774348645153*I	-0.1784500452287238-0.08948980005170937*I	-0.020666242803072332-0.3147538524655089*I	0.410793945969662-0.39045400555642007*I	-0.05541937873541841-0.2744543823773859*I	-0.20475355931577044-0.1100585971188899*I
-0.005140629790313697+0.005608487067369557*I	-0.0020335026537412204-0.0017965642848618152*I	0.006086502270810534-0.006762807219980724*I	0.0049253877723117595+0.004219755268513092*I	-0.008583968476966478+0.009824666290853656*I	-0.010544949822438338-0.008742053174937925*I	0.014942035394255482-0.018103509509916044*I	0.026303514087037766+0.020568797067179012*I	-0.03572149125501192+0.05381178290823821*I	-0.12441327431864463-0.039545327685570925*I	-0.05541937873542424-0.2744543823773906*I	0.33045366097252793-0.4609672749897472*I	0.01505524845193379-0.36856563537375153*I
0.03653293066161014+0.03518609963783196*I	-0.005140629790310963+0.005608487067368044*I	-0.03856643331535037-0.03698266392269796*I	0.011227132061118472-0.012371294287354784*I	0.043491821087658256+0.04120241919120636*I	-0.01981110053808688+0.022195960578206997*I	-0.054036770910098286-0.0499444723661443*I	0.034753135932335644-0.04029947008812404*I	0.08034028499712309+0.07051326943332034*I	-0.07047462718736175+0.09411125299635806*I	-0.20475355931577777-0.11005859711889632*I	0.015055248451931513-0.36856563537375436*I	0.5352072202883021-0.35090867787085567*I
