0.-0.84880252716247*I	-0.4999455424234773+0.*I	0.+0.1697763139429344*I	-1.9292757038178907*^-6+0.*I	0.+0.024212983918204724*I	0.000027489185854518537+0.*I	0.+0.008070644435185481*I	-3.953948484468505*^-6+0.*I	0.+0.0036289317284844795*I	0.000010565613142531313+0.*I	0.+0.0019325561379762858*I	2.5831301692233807*^-6+0.*I	0.+0.001123948396293816*I	3.2796623281929895*^-6+0.*I	0.+0.0006890188110773522*I	2.295656004322008*^-6+0.*I	0.+0.0004256185853089408*I	1.5461194878093378*^-6+0.*I	0.+0.00024857073487951405*I	9.053933262297327*^-7+0.*I	0.+0.00011506581006267816*I	2.9866182001109633*^-7+0.*I
2.5831301615713935*^-6+0.*I	0.+0.0030565045342724863*I	0.000016428405658592017+0.*I	0.+0.007374455073834336*I	0.000014770113139485176+0.*I	0.+0.015870718094311006*I	0.00004380541854061669+0.*I	0.+0.040332272747419594*I	0.00004278153612297911+0.*I	0.+0.21022365250042468*I	-0.4999024622255062+0.*I	0.-0.6385788746621228*I	-0.4999027608873567+0.*I	0.+0.21010858669035526*I	0.00004187614283525563+0.*I	0.+0.04008370201251614*I	0.00004225929902198081+0.*I	0.+0.015445099509025272*I	0.000012474457159436276+0.*I	0.+0.0066854362627374745*I	0.000013148743305399909+0.*I	0.+0.001932556137983686*I
0.+0.0011239483962900106*I	5.862792503085459*^-6+0.*I	0.+0.0037455233453619467*I	0.000018724061635259724+0.*I	0.+0.00780007365913518*I	0.000016316232672910735+0.*I	0.+0.01611928882919298*I	0.00004471081183386335+0.*I	0.+0.04044733855744933*I	0.00004308019797799903+0.*I	0.+0.21022365250042593*I	-0.4999027608873564+0.*I	0.-0.6386939404721775*I	-0.4999036662806664+0.*I	0.+0.2098600159554874*I	0.000040330023327572975+0.*I	0.+0.03965808342721451*I	0.00003996364301621898+0.*I	0.+0.014756080697929962*I	9.194794829440702*^-6+0.*I	0.+0.005561487866481919*I	0.000010565613145812353+0.*I
3.2796623460092095*^-6+0.*I	0.+0.0018129672073501969*I	8.158448480535368*^-6+0.*I	0.+0.004171141930647195*I	0.000020270181163147927+0.*I	0.+0.008048644394021321*I	0.000017221625969262715+0.*I	0.+0.016234354639244882*I	0.00004500947366911257+0.*I	0.+0.04044733855746931*I	0.00004278153613623317+0.*I	0.+0.21010858669034768*I	-0.499903666280646+0.*I	0.-0.6389425112070592*I	-0.4999052124001661+0.*I	0.+0.20943439737017072*I	0.000038034367316736294+0.*I	0.+0.038969064616126044*I	0.0000366839806916489+0.*I	0.+0.0136321323016511*I	6.61166467838527*^-6+0.*I	0.+0.0036289317284681913*I
0.+0.0006890188110980764*I	5.575318353384317*^-6+0.*I	0.+0.0022385857926783674*I	9.704567994364686*^-6+0.*I	0.+0.0044197126655390615*I	0.0000211755744656091+0.*I	0.+0.00816371020406974*I	0.000017520287818179515+0.*I	0.+0.016234354639260436*I	0.000044710811831809064+0.*I	0.+0.04033227274738906*I	0.000041876142814931224+0.*I	0.+0.20986001595548234*I	-0.4999052124001562+0.*I	0.-0.6393681297923605*I	-0.49990750805616047+0.*I	0.+0.20874537855909808*I	0.00003475470497834348+0.*I	0.+0.037845116219856034*I	0.00003410085053432937+0.*I	0.+0.01169957616365568*I	-3.9539484907296095*^-6+0.*I
2.295655996456311*^-6+0.*I	0.+0.0011146373963720885*I	7.121437832301056*^-6+0.*I	0.+0.0024871565275443337*I	0.000010609961321321368+0.*I	0.+0.004534778475578179*I	0.000021474236292961304+0.*I	0.+0.00816371020408317*I	0.00001722162597373807+0.*I	0.+0.01611928882918273*I	0.00004380541852699591+0.*I	0.+0.04008370201252109*I	0.0000403300233145344+0.*I	0.+0.20943439737015898*I	-0.49990750805615625+0.*I	0.-0.6400571486034191*I	-0.49991078771849795+0.*I	0.+0.20762143016279086*I	0.000032171574826917905+0.*I	0.+0.03591256008189049*I	0.000023535237365343232+0.*I	0.+0.008070644435160307*I
0.+0.0004256185853154558*I	3.8417755054851735*^-6+0.*I	0.+0.0013632081312489502*I	8.026831164046098*^-6+0.*I	0.+0.002602222337612023*I	0.000010908623154851635+0.*I	0.+0.004534778475605167*I	0.000021175574456671508+0.*I	0.+0.008048644393993134*I	0.000016316232661366533+0.*I	0.+0.01587071809432504*I	0.00004225929900857052+0.*I	0.+0.03965808342721806*I	0.000038034367345187454+0.*I	0.+0.2087453785590802*I	-0.4999107877185272+0.*I	0.-0.6411810969996989*I	-0.4999133708486466+0.*I	0.+0.2056888740248395*I	0.00002160596168693669+0.*I	0.+0.032283628353383935*I	0.00002748918587480446+0.*I
1.5461195301088486*^-6+0.*I	0.+0.0006741893201758917*I	4.747168811905007*^-6+0.*I	0.+0.0014782739413029572*I	8.325492988614164*^-6+0.*I	0.+0.0026022223376188655*I	0.000010609961305962194+0.*I	0.+0.0044197126655163305*I	0.000020270181143416463+0.*I	0.+0.007800073659149968*I	0.00001477011315608835+0.*I	0.+0.015445099509015658*I	0.00003996364303326642+0.*I	0.+0.03896906461613483*I	0.000034754704974621146+0.*I	0.+0.2076214301628027*I	-0.49991337084865733+0.*I	0.-0.643113653137696*I	-0.49992393646181216+0.*I	0.+0.20205994229635166*I	0.000025559910160949944+0.*I	0.+0.024212983918186937*I
0.+0.00024857073485395046*I	2.451512813962427*^-6+0.*I	0.+0.0007892551302458828*I	5.045830675037238*^-6+0.*I	0.+0.0014782739413205094*I	8.026831147876727*^-6+0.*I	0.+0.0024871565275649565*I	9.70456800215988*^-6+0.*I	0.+0.00417114193063617*I	0.000018724061618788182+0.*I	0.+0.0073744550738330614*I	0.00001247445716687352+0.*I	0.+0.0147560806979241*I	0.000036683980689674034+0.*I	0.+0.03784511621986824*I	0.00003217157482697979+0.*I	0.+0.20568887402482505*I	-0.49992393646181144+0.*I	0.-0.6467425848661789*I	-0.49991998251332+0.*I	0.+0.19398929786117203*I	-1.929275683979837*^-6+0.*I
9.053933086853222*^-7+0.*I	0.+0.0003636365449325975*I	2.7501746599554837*^-6+0.*I	0.+0.0007892551302412659*I	4.747168805662591*^-6+0.*I	0.+0.001363208131256908*I	7.121437842348954*^-6+0.*I	0.+0.0022385857926589406*I	8.158448504513068*^-6+0.*I	0.+0.003745523345348269*I	0.0000164284056399759+0.*I	0.+0.006685436262761956*I	9.194794836673076*^-6+0.*I	0.+0.013632132301659468*I	0.00003410085050724612+0.*I	0.+0.03591256008185082*I	0.00002160596167541131+0.*I	0.+0.20205994229634683*I	-0.499919982513315+0.*I	0.-0.6548132293013625*I	-0.4999474716991828+0.*I	0.+0.169776313942957*I
0.+0.00011506581005180631*I	1.2040551471987341*^-6+0.*I	0.+0.00036363654493629316*I	2.4515128291635616*^-6+0.*I	0.+0.0006741893201924907*I	3.841775502974646*^-6+0.*I	0.+0.0011146373963890192*I	5.575318344288482*^-6+0.*I	0.+0.0018129672073751591*I	5.8627924918121665*^-6+0.*I	0.+0.003056504534256475*I	0.000013148743309903315+0.*I	0.+0.005561487866483859*I	6.61166466046311*^-6+0.*I	0.+0.01169957616365213*I	0.000023535237366143015+0.*I	0.+0.03228362835339474*I	0.00002555991016453773+0.*I	0.+0.19398929786113633*I	-0.49994747169920023+0.*I	0.-0.6790262132195426*I	-0.4999455424234825+0.*I
2.986618347504454*^-7+0.*I	0.+0.00011506581005869316*I	9.053933151865372*^-7+0.*I	0.+0.0002485707348707755*I	1.5461195111226525*^-6+0.*I	0.+0.0004256185853032627*I	2.295655994237315*^-6+0.*I	0.+0.0006890188110826462*I	3.2796623440319906*^-6+0.*I	0.+0.0011239483962755168*I	2.5831301554812944*^-6+0.*I	0.+0.00193255613799083*I	0.000010565613143786535+0.*I	0.+0.0036289317284803235*I	-3.9539484806276235*^-6+0.*I	0.+0.008070644435185226*I	0.000027489185855625575+0.*I	0.+0.02421298391821542*I	-1.9292757005809374*^-6+0.*I	0.+0.16977631394293177*I	-0.4999455424234805+0.*I	0.-0.8488025271625002*I
