0.-0.8487772423443933*I	-0.49995765503299583+0.*I	0.+0.16976262632471173*I	0.00001678339484907728+0.*I	0.+0.02424772476897704*I	0.000010623125940622998+0.*I	0.+0.008077715810170093*I	7.697881385105231*^-6+0.*I	0.+0.003666223915609399*I	5.949033704281099*^-6+0.*I	0.+0.0019680888058645047*I	4.7224717122942796*^-6+0.*I	0.+0.0011742946761394068*I	3.6868796246522154*^-6+0.*I	0.+0.0007533229379815185*I	4.7088642174793*^-6+0.*I	0.+0.0005041785658632488*I	-2.5148955058435613*^-6+0.*I	0.+0.0003616043347784903*I	0.000013364507125297894+0.*I	0.+0.00023734949101178435*I	-0.000015610631065810266+0.*I	0.+0.0002000559072971526*I	0.000021409594445976097+0.*I	0.+0.00010920081996374115*I	-0.000016314367579867552+0.*I	0.+0.00010268046884173881*I	0.000011925930109843276+0.*I	0.+0.00004726872598706095*I	-4.682343077742248*^-6+0.*I	0.+0.00002960130077867112*I	1.84801658257681*^-6+0.*I
-0.4999576550330085+0.*I	0.-0.6790146160196832*I	-0.49994087163815254+0.*I	0.+0.19401035109367193*I	0.000027406520796077746+0.*I	0.+0.032325440579121824*I	0.00001832100735278347+0.*I	0.+0.011743939725773103*I	0.000013646915088619214+0.*I	0.+0.005634312721479856*I	0.00001067150539250944+0.*I	0.+0.0031423834820015054*I	8.409351316367528*^-6+0.*I	0.+0.0019276176141194217*I	8.395743843376446*^-6+0.*I	0.+0.001257501503848297*I	2.1939687238331063*^-6+0.*I	0.+0.0008657829006642144*I	0.000010849611619538655+0.*I	0.+0.0005989538257912089*I	-2.246123936564239*^-6+0.*I	0.+0.0004374053983218001*I	5.798963379616515*^-6+0.*I	0.+0.0003092567272562445*I	5.095226870834739*^-6+0.*I	0.+0.00021188128878609755*I	-4.3884374695789695*^-6+0.*I	0.+0.00014994919486138638*I	7.2435870262277635*^-6+0.*I	0.+0.00007687002676436883*I	-2.8343265129845464*^-6+0.*I	0.+0.000029601300756712053*I
0.+0.16976262632473146*I	-0.49994087163816225+0.*I	0.-0.6547668912507058*I	-0.4999302485122041+0.*I	0.+0.20208806690385803*I	0.00003510440215864412+0.*I	0.+0.035991664494741636*I	0.000024270041045020108+0.*I	0.+0.013712028531640483*I	0.000018369386788883352+0.*I	0.+0.006808607397622022*I	0.000014358385035528797+0.*I	0.+0.00389570641997311*I	0.000013118215536173956+0.*I	0.+0.002431796179983529*I	5.880848342790633*^-6+0.*I	0.+0.0016191058386181363*I	0.00001555847584064929+0.*I	0.+0.0011031323916480176*I	-4.761019437978832*^-6+0.*I	0.+0.000799009733106308*I	0.000019163470488842174+0.*I	0.+0.0005466062182616075*I	-0.000010515404178069272+0.*I	0.+0.00041193719610553223*I	0.000017021156967751092+0.*I	0.+0.0002591500147873769*I	-9.070780528039967*^-6+0.*I	0.+0.00017955049560087493*I	9.091603601530708*^-6+0.*I	0.+0.00007687002677660627*I	-4.682343077076615*^-6+0.*I
0.000016783394814551757+0.*I	0.+0.1940103510936971*I	-0.49993024851219225+0.*I	0.-0.646689175440549*I	-0.49992255063082885+0.*I	0.+0.20575429081946442*I	0.000041053435900175914+0.*I	0.+0.037959753300631005*I	0.000028992512750242726+0.*I	0.+0.014886323207746185*I	0.000022056266385751823+0.*I	0.+0.007561930335612366*I	0.00001906724925888156+0.*I	0.+0.004399884985835188*I	0.000010603320026036805+0.*I	0.+0.0027934005147725554*I	0.000019245355456852567+0.*I	0.+0.0018564553296308633*I	-5.2155209936473826*^-8+0.*I	0.+0.0013031882989920868*I	0.000016648574985855695+0.*I	0.+0.0009082105530363613*I	2.849102932323419*^-6+0.*I	0.+0.0006492866871217322*I	1.4105259093246418*^-6+0.*I	0.+0.0004592059220671028*I	0.000012338813901500581+0.*I	0.+0.00028875131557337403*I	-7.2227639707318696*^-6+0.*I	0.+0.00017955049557540756*I	7.243587010677046*^-6+0.*I	0.+0.00004726872600934285*I
0.+0.024247724768993468*I	0.00002740652079052902+0.*I	0.+0.20208806690382844*I	-0.4999225506308292+0.*I	0.-0.6430229515249025*I	-0.4999166015971279+0.*I	0.+0.20772237962531917*I	0.000045775907570900744+0.*I	0.+0.03913404797674185*I	0.00003267939235254256+0.*I	0.+0.015639646145744413*I	0.000026765130645006022+0.*I	0.+0.008066108901478622*I	0.000016552353740831034+0.*I	0.+0.004761489320610661*I	0.00002396782716684859+0.*I	0.+0.0030307500057819613*I	3.63472438732962*^-6+0.*I	0.+0.0020565112369463194*I	0.0000213574392185873+0.*I	0.+0.0014123891189312347*I	3.3420743290951346*^-7+0.*I	0.+0.001010891021890702*I	0.000014775033030524544+0.*I	0.+0.0006965554131036995*I	-3.271817155998835*^-6+0.*I	0.+0.0004888072228528976*I	0.000014186830471378423+0.*I	0.+0.0002887513155513313*I	-9.070780526534186*^-6+0.*I	0.+0.00014994919482580802*I	0.000011925930115777467+0.*I
0.000010623125946643587+0.*I	0.+0.0323254405791357*I	0.00003510440219526465+0.*I	0.+0.20575429081947602*I	-0.49991660159713325+0.*I	0.-0.6410548627190547*I	-0.4999118791254393+0.*I	0.+0.20889667430146908*I	0.00004946278721446983+0.*I	0.+0.03988737091470974*I	0.0000373882566055039+0.*I	0.+0.01614382471161763*I	0.00002425023512350661+0.*I	0.+0.008427713236242175*I	0.000029916860867711107+0.*I	0.+0.004998838811639632*I	8.35719607261914*^-6+0.*I	0.+0.00323080591310144*I	0.000025044318823107132+0.*I	0.+0.0021657120569086984*I	5.043071662714257*^-6+0.*I	0.+0.001515069587758236*I	0.000012260137543998587+0.*I	0.+0.0010581597478716463*I	0.000010092689958019668+0.*I	0.+0.0007261567138782915*I	-1.4238006012691794*^-6+0.*I	0.+0.0004888072228442856*I	0.000012338813891759702+0.*I	0.+0.00025915001478705985*I	-4.3884374598322715*^-6+0.*I	0.+0.00010268046882480168*I
0.+0.008077715810141078*I	0.000018321007356258235+0.*I	0.+0.03599166449476078*I	0.000041053435871738376+0.*I	0.+0.20772237962533335*I	-0.4999118791254433+0.*I	0.-0.6398805680429186*I	-0.49990819224579813+0.*I	0.+0.20964999723942504*I	0.00005417165142092536+0.*I	0.+0.040391549480595576*I	0.000034873361103920653+0.*I	0.+0.016505429046402006*I	0.00003761474225316076+0.*I	0.+0.008665062727287952*I	0.00001430622982954699+0.*I	0.+0.005198894718930134*I	0.000029766790507815185+0.*I	0.+0.0033400067330530523*I	8.72995127649897*^-6+0.*I	0.+0.0022683925257164592*I	0.000016969001755854393+0.*I	0.+0.0015623383137788496*I	7.577794476038328*^-6+0.*I	0.+0.0010877610486439576*I	0.000011940706521637796+0.*I	0.+0.0007261567138637727*I	-3.2718171462890863*^-6+0.*I	0.+0.0004592059221010909*I	0.000017021156973054155+0.*I	0.+0.00021188128877206567*I	-0.00001631436756657167+0.*I
7.697881406703975*^-6+0.*I	0.+0.011743939725778937*I	0.00002427004104185127+0.*I	0.+0.03795975330062283*I	0.000045775907585077663+0.*I	0.+0.20889667430145087*I	-0.4999081922458376+0.*I	0.-0.6391272451049497*I	-0.4999034833815859+0.*I	0.+0.21015417580531556*I	0.00005165675593361451+0.*I	0.+0.04075315381537033*I	0.000048237868216304514+0.*I	0.+0.01674277853741881*I	0.000022004111175591816+0.*I	0.+0.008865118634559082*I	0.00003571582422837405+0.*I	0.+0.005308095538902078*I	0.000013452422953267476+0.*I	0.+0.0034426872018658134*I	0.00002065588137887217+0.*I	0.+0.002315661251732362*I	0.000012286658717093621+0.*I	0.+0.0015919396145158647*I	9.425811014698472*^-6+0.*I	0.+0.001087761048657542*I	0.000010092689946556355+0.*I	0.+0.0006965554130890461*I	1.4105258976170403*^-6+0.*I	0.+0.00041193719610056734*I	5.0952268793007676*^-6+0.*I	0.+0.00010920081993464958*I
0.+0.003666223915626085*I	0.000013646915107962575+0.*I	0.+0.013712028531662443*I	0.000028992512744054548+0.*I	0.+0.03913404797673743*I	0.00004946278718378746+0.*I	0.+0.20964999723945982*I	-0.49990348338157187+0.*I	0.-0.6386230665390599*I	-0.4999059982770996+0.*I	0.+0.2105157801400741*I	0.0000650212630447536+0.*I	0.+0.040990503306387906*I	0.00003262723715121826+0.*I	0.+0.01694283444472164*I	0.00004341370564594417+0.*I	0.+0.008974319454516991*I	0.00001940145666026971+0.*I	0.+0.005410776007743994*I	0.000025378353075374886+0.*I	0.+0.0034899559278621785*I	0.000015973538309101726+0.*I	0.+0.002345262552498719*I	0.000014134675243990575+0.*I	0.+0.0015919396145179813*I	7.577794481304975*^-6+0.*I	0.+0.0010581597478838355*I	0.000014775033036041655+0.*I	0.+0.0006492866871005977*I	-0.000010515404209523278+0.*I	0.+0.00030925672724688825*I	0.000021409594429168646+0.*I
5.949033721235609*^-6+0.*I	0.+0.005634312721476025*I	0.000018369386741285237+0.*I	0.+0.014886323207777013*I	0.00003267939240592598+0.*I	0.+0.039887370914713845*I	0.00005417165139702553+0.*I	0.+0.21015417580531673*I	-0.4999059982770752+0.*I	0.-0.6382614622043186*I	-0.49989263376998083+0.*I	0.+0.21075312963110832*I	0.00004941063199617117+0.*I	0.+0.04119055921369003*I	0.000054036831560485444+0.*I	0.+0.017052035264684986*I	0.00002709933808708408+0.*I	0.+0.009076999923351583*I	0.00003132738677670372+0.*I	0.+0.005458044733718615*I	0.000020696010011859343+0.*I	0.+0.003519557228639678*I	0.0000178215548603452+0.*I	0.+0.0023452625524876076*I	0.000012286658698347352+0.*I	0.+0.0015623383137660758*I	0.0000122601375253025+0.*I	0.+0.0010108910218775313*I	2.84910293693118*^-6+0.*I	0.+0.0005466062182615386*I	5.798963375985619*^-6+0.*I	0.+0.00020005590729667725*I
0.+0.001968088805863313*I	0.000010671505407599608+0.*I	0.+0.0068086073976358465*I	0.000022056266401175486+0.*I	0.+0.015639646145751685*I	0.00003738825658295958+0.*I	0.+0.040391549480612216*I	0.00005165675591219558+0.*I	0.+0.2105157801400825*I	-0.4998926337699673+0.*I	0.-0.6380241127132822*I	-0.4999082444010356+0.*I	0.+0.2109531855384241*I	0.00007082022641786397+0.*I	0.+0.04129976003364766*I	0.00003772246402292416+0.*I	0.+0.0171547157335046*I	0.000039025268162163577+0.*I	0.+0.009124268649355272*I	0.00002664504370718258+0.*I	0.+0.0054876460344954*I	0.000022544026556814114+0.*I	0.+0.0035195572286390933*I	0.000015973538296492685+0.*I	0.+0.002315661251721417*I	0.000016969001784641235+0.*I	0.+0.0015150695877565448*I	3.3420742416236007*^-7+0.*I	0.+0.0009082105530390075*I	0.000019163470491044595+0.*I	0.+0.0004374053983145891*I	-0.000015610631032953316+0.*I
