0.-0.8487772423443933*I	-0.49995765503299583+0.*I	0.+0.16976262632471173*I	0.00001678339484907728+0.*I	0.+0.02424772476897704*I	0.000010623125940622998+0.*I	0.+0.008077715810170093*I	7.697881385105231*^-6+0.*I	0.+0.003666223915609399*I	5.949033704281099*^-6+0.*I	0.+0.0019680888058645047*I	4.7224717122942796*^-6+0.*I	0.+0.0011742946761394068*I	3.6868796246522154*^-6+0.*I	0.+0.0007533229379815185*I	4.7088642174793*^-6+0.*I	0.+0.0005041785658632488*I	-2.5148955058435613*^-6+0.*I	0.+0.0003616043347784903*I	0.000013364507125297894+0.*I	0.+0.00023734949101178435*I	-0.000015610631065810266+0.*I	0.+0.0002000559072971526*I	0.000021409594445976097+0.*I	0.+0.00010920081996374115*I	-0.000016314367579867552+0.*I	0.+0.00010268046884173881*I	0.000011925930109843276+0.*I	0.+0.00004726872598706095*I	-4.682343077742248*^-6+0.*I	0.+0.00002960130077867112*I	1.84801658257681*^-6+0.*I
4.722471673128438*^-6+0.*I	0.+0.0031423834819994767*I	0.000014358385023262202+0.*I	0.+0.007561930335609018*I	0.000026765130627413012+0.*I	0.+0.016143824711610175*I	0.000034873361105046746+0.*I	0.+0.0407531538153832*I	0.00006502126304048941+0.*I	0.+0.21075312963109333*I	-0.49990824440102544+0.*I	0.-0.6378240568059812*I	-0.4998868348066214+0.*I	0.+0.21106238635836316*I	0.00005450585885181312+0.*I	0.+0.041402440502481604*I	0.00004964839414854568+0.*I	0.+0.017201984459533127*I	0.00003434292509640382+0.*I	0.+0.009153869950093232*I	0.00002849306026842677+0.*I	0.+0.005487646034522242*I	0.00002069600997482991+0.*I	0.+0.003489955927842317*I	0.00002065588138679839+0.*I	0.+0.0022683925257407527*I	5.043071648952668*^-6+0.*I	0.+0.0014123891189063164*I	0.000016648575021696248+0.*I	0.+0.0007990097331233838*I	-2.2461239325972336*^-6+0.*I	0.+0.00023734949102038397*I
0.+0.0011742946761107373*I	8.409351311406005*^-6+0.*I	0.+0.003895706419993489*I	0.000019067249235333796+0.*I	0.+0.008066108901436816*I	0.000024250235127970405+0.*I	0.+0.0165054290464316*I	0.00004823786820394136+0.*I	0.+0.04099050330636045*I	0.000049410631960269654+0.*I	0.+0.21095318553844472*I	-0.4998868348066005+0.*I	0.-0.6377148559860417*I	-0.499903149174155+0.*I	0.+0.21116506682720215*I	0.00006643178894904635+0.*I	0.+0.041449709228478605*I	0.00004496605105397565+0.*I	0.+0.017231585760261073*I	0.00003619094165259186+0.*I	0.+0.009153869950105148*I	0.00002664504371786944+0.*I	0.+0.005458044733747716*I	0.00002537835305473711+0.*I	0.+0.0034426872018603985*I	8.729951295497837*^-6+0.*I	0.+0.0021657120569050126*I	0.000021357439217016265+0.*I	0.+0.0013031882989567578*I	-4.761019424073546*^-6+0.*I	0.+0.0005989538258041065*I	0.000013364507127043866+0.*I
3.6868796210841873*^-6+0.*I	0.+0.0019276176141142425*I	0.000013118215549480627+0.*I	0.+0.004399884985853702*I	0.000016552353719655034+0.*I	0.+0.008427713236256879*I	0.000037614742272291615+0.*I	0.+0.016742778537423446*I	0.00003262723713719849+0.*I	0.+0.04119055921370908*I	0.00007082022639131931+0.*I	0.+0.21106238635834149*I	-0.49990314917412715+0.*I	0.-0.6376121755172*I	-0.49989122324406254+0.*I	0.+0.2112123355531921*I	0.00006174944588427996+0.*I	0.+0.04147931052922811*I	0.000046814067621350044+0.*I	0.+0.01723158576029684*I	0.00003434292507847929+0.*I	0.+0.00912426864934617*I	0.00003132738676177894+0.*I	0.+0.005410776007731343*I	0.00001345242296658304+0.*I	0.+0.003340006733025208*I	0.00002504431885158586+0.*I	0.+0.002056511236957283*I	-5.215520479560688*^-8+0.*I	0.+0.001103132391662179*I	0.000010849611638991005+0.*I	0.+0.00036160433480623814*I
0.+0.0007533229379722801*I	8.395743844048236*^-6+0.*I	0.+0.0024317961799813995*I	0.000010603320040231297+0.*I	0.+0.004761489320631941*I	0.00002991686084374727+0.*I	0.+0.008665062727255536*I	0.00002200411120236382+0.*I	0.+0.01694283444473884*I	0.000054036831572289234+0.*I	0.+0.04129976003364337*I	0.00005450585887012878+0.*I	0.+0.21116506682717726*I	-0.49989122324406315+0.*I	0.-0.6375649067912093*I	-0.499895905587122+0.*I	0.+0.21124193685396786*I	0.0000635974624256179+0.*I	0.+0.04147931052924594*I	0.00004496605106043959+0.*I	0.+0.017201984459512636*I	0.000039025268150361656+0.*I	0.+0.009076999923355186*I	0.00001940145669005112+0.*I	0.+0.005308095538905865*I	0.000029766790514148078+0.*I	0.+0.0032308059130904455*I	3.6347244150870253*^-6+0.*I	0.+0.0018564553296526605*I	0.000015558475842556183+0.*I	0.+0.0008657829006545941*I	-2.514895486222253*^-6+0.*I
4.708864253824102*^-6+0.*I	0.+0.0012575015038371385*I	5.88084832276733*^-6+0.*I	0.+0.0027934005147664314*I	0.000023967827157176028+0.*I	0.+0.004998838811655275*I	0.000014306229787979831+0.*I	0.+0.008865118634568092*I	0.000043413705644234884+0.*I	0.+0.017052035264681693*I	0.000037722464017045344+0.*I	0.+0.04140244050246083*I	0.00006643178896105576+0.*I	0.+0.21121233555319494*I	-0.4998959055871083+0.*I	0.-0.6375353054904314*I	-0.49989405757057764+0.*I	0.+0.21124193685396422*I	0.00006174944587619295+0.*I	0.+0.041449709228467434*I	0.00004964839412909234+0.*I	0.+0.017154715733525075*I	0.000027099338048216636+0.*I	0.+0.00897431945449847*I	0.000035715824259972606+0.*I	0.+0.005198894718953522*I	8.35719612318654*^-6+0.*I	0.+0.0030307500057819006*I	0.000019245355450043415+0.*I	0.+0.0016191058386157047*I	2.1939687156566117*^-6+0.*I	0.+0.000504178565869368*I
0.+0.0005041785658706485*I	2.1939687223937165*^-6+0.*I	0.+0.0016191058386261581*I	0.000019245355467474875+0.*I	0.+0.0030307500057826253*I	8.357196094122551*^-6+0.*I	0.+0.00519889471892856*I	0.000035715824249445714+0.*I	0.+0.008974319454524229*I	0.000027099338054376985+0.*I	0.+0.01715471573349622*I	0.0000496483941360131+0.*I	0.+0.04144970922848386*I	0.00006174944586309186+0.*I	0.+0.21124193685396175*I	-0.4998940575705589+0.*I	0.-0.6375353054904407*I	-0.49989590558711516+0.*I	0.+0.21121233555319638*I	0.00006643178894195169+0.*I	0.+0.04140244050247099*I	0.00003772246400998387+0.*I	0.+0.01705203526467346*I	0.000043413705623931084+0.*I	0.+0.008865118634582305*I	0.000014306229809011293+0.*I	0.+0.004998838811651581*I	0.000023967827155434054+0.*I	0.+0.002793400514755844*I	5.880848344376577*^-6+0.*I	0.+0.0012575015038499703*I	4.708864244741334*^-6+0.*I
-2.5148955265067607*^-6+0.*I	0.+0.0008657829006383556*I	0.000015558475851692986+0.*I	0.+0.001856455329645362*I	3.6347243993372*^-6+0.*I	0.+0.0032308059130773093*I	0.0000297667905331541+0.*I	0.+0.005308095538906426*I	0.000019401456667347898+0.*I	0.+0.009076999923347723*I	0.00003902526819516807+0.*I	0.+0.01720198445951093*I	0.000044966051029240176+0.*I	0.+0.04147931052924754*I	0.00006359746246802459+0.*I	0.+0.21124193685397932*I	-0.4998959055871606+0.*I	0.-0.6375649067911967*I	-0.499891223244057+0.*I	0.+0.21116506682716657*I	0.000054505858851628346+0.*I	0.+0.041299760033650254*I	0.00005403683159021015+0.*I	0.+0.016942834444736734*I	0.00002200411119500516+0.*I	0.+0.008665062727247923*I	0.000029916860871936053+0.*I	0.+0.00476148932063773*I	0.000010603320031321835+0.*I	0.+0.0024317961799887196*I	8.395743842095185*^-6+0.*I	0.+0.0007533229379692761*I
0.+0.0003616043347987474*I	0.000010849611613486706+0.*I	0.+0.0011031323916597553*I	-5.215519921291819*^-8+0.*I	0.+0.002056511236943744*I	0.000025044318843985054+0.*I	0.+0.003340006733019258*I	0.00001345242295992232+0.*I	0.+0.005410776007748515*I	0.0000313273867771007+0.*I	0.+0.009124268649313831*I	0.00003434292507679003+0.*I	0.+0.01723158576031677*I	0.00004681406761461471+0.*I	0.+0.041479310529241045*I	0.00006174944585319572+0.*I	0.+0.21121233555321275*I	-0.4998912232440452+0.*I	0.-0.6376121755172173*I	-0.49990314917412176+0.*I	0.+0.21106238635837177*I	0.00007082022639122387+0.*I	0.+0.04119055921368314*I	0.000032627237167335546+0.*I	0.+0.01674277853744315*I	0.000037614742252406466+0.*I	0.+0.008427713236243367*I	0.000016552353743621892+0.*I	0.+0.004399884985836124*I	0.000013118215537926976+0.*I	0.+0.0019276176141088414*I	3.6868796011912188*^-6+0.*I
0.000013364507112362522+0.*I	0.+0.0005989538257814588*I	-4.761019422550337*^-6+0.*I	0.+0.0013031882989674125*I	0.000021357439208787197+0.*I	0.+0.0021657120568831364*I	8.729951303568747*^-6+0.*I	0.+0.003442687201877539*I	0.000025378353038372313+0.*I	0.+0.00545804473374142*I	0.00002664504373688602+0.*I	0.+0.00915386995011737*I	0.00003619094165915105+0.*I	0.+0.01723158576027737*I	0.000044966051051696077+0.*I	0.+0.04144970922848687*I	0.000066431788928645+0.*I	0.+0.2111650668271826*I	-0.4999031491741243+0.*I	0.-0.6377148559860365*I	-0.4998868348066125+0.*I	0.+0.21095318553841252*I	0.00004941063199932457+0.*I	0.+0.04099050330640359*I	0.00004823786819452578+0.*I	0.+0.016505429046398956*I	0.000024250235117958414+0.*I	0.+0.008066108901476183*I	0.00001906724922277516+0.*I	0.+0.0038957064199699565*I	8.409351304489858*^-6+0.*I	0.+0.0011742946761444982*I
0.+0.0002373494910160971*I	-2.246123941359183*^-6+0.*I	0.+0.0007990097330923021*I	0.000016648574992637254+0.*I	0.+0.0014123891189121664*I	5.043071664674293*^-6+0.*I	0.+0.002268392525748756*I	0.00002065588136848613+0.*I	0.+0.003489955927862772*I	0.00002069601000834304+0.*I	0.+0.005487646034508317*I	0.000028493060260622128+0.*I	0.+0.009153869950102155*I	0.000034342925092842666+0.*I	0.+0.017201984459522365*I	0.00004964839411752415+0.*I	0.+0.04140244050249261*I	0.00005450585887421251+0.*I	0.+0.2110623863583632*I	-0.4998868348066156+0.*I	0.-0.6378240568059745*I	-0.49990824440101883+0.*I	0.+0.21075312963110485*I	0.0000650212630483974+0.*I	0.+0.04075315381536902*I	0.00003487336110065959+0.*I	0.+0.01614382471162533*I	0.000026765130614213244+0.*I	0.+0.007561930335609623*I	0.000014358385024874708+0.*I	0.+0.003142383482001465*I	4.722471668465393*^-6+0.*I
-0.00001561063105460181+0.*I	0.+0.0004374053982991401*I	0.000019163470493329456+0.*I	0.+0.0009082105530392859*I	3.342074300166859*^-7+0.*I	0.+0.001515069587759161*I	0.00001696900177751857+0.*I	0.+0.0023156612517380073*I	0.00001597353830180705+0.*I	0.+0.0035195572286448725*I	0.00002254402655944733+0.*I	0.+0.005487646034492599*I	0.000026645043698317927+0.*I	0.+0.009124268649344916*I	0.00003902526817494949+0.*I	0.+0.017154715733504217*I	0.000037722464004597226+0.*I	0.+0.04129976003366644*I	0.00007082022642754745+0.*I	0.+0.2109531855384046*I	-0.49990824440102494+0.*I	0.-0.6380241127132844*I	-0.4998926337699512+0.*I	0.+0.21051578014009814*I	0.00005165675592953592+0.*I	0.+0.040391549480615505*I	0.00003738825657285333+0.*I	0.+0.01563964614574402*I	0.00002205626639835233+0.*I	0.+0.006808607397628239*I	0.000010671505399172543+0.*I	0.+0.0019680888058459262*I
0.+0.00020005590730089276*I	5.79896337906776*^-6+0.*I	0.+0.0005466062182507755*I	2.849102934573174*^-6+0.*I	0.+0.0010108910218742308*I	0.00001226013753479033+0.*I	0.+0.0015623383137524183*I	0.000012286658696346539+0.*I	0.+0.002345262552506769*I	0.00001782155486276693+0.*I	0.+0.0035195572286365355*I	0.00002069601001068268+0.*I	0.+0.005458044733723291*I	0.00003132738677447361+0.*I	0.+0.009076999923343898*I	0.000027099338090749342+0.*I	0.+0.01705203526467366*I	0.000054036831579274105+0.*I	0.+0.04119055921369255*I	0.00004941063197151984+0.*I	0.+0.21075312963113305*I	-0.4998926337699555+0.*I	0.-0.6382614622043059*I	-0.49990599827709303+0.*I	0.+0.21015417580531087*I	0.000054171651418021365+0.*I	0.+0.03988737091471857*I	0.00003267939238796216+0.*I	0.+0.014886323207784772*I	0.000018369386771928314+0.*I	0.+0.00563431272147963*I	5.949033700270419*^-6+0.*I
0.000021409594449478165+0.*I	0.+0.0003092567272480437*I	-0.00001051540420138069+0.*I	0.+0.0006492866870966275*I	0.000014775033037110218+0.*I	0.+0.0010581597479049837*I	7.577794461032319*^-6+0.*I	0.+0.0015919396144981055*I	0.000014134675262468646+0.*I	0.+0.00234526255250302*I	0.000015973538276918716+0.*I	0.+0.003489955927857526*I	0.000025378353085324514+0.*I	0.+0.0054107760077365865*I	0.000019401456658534066+0.*I	0.+0.008974319454519021*I	0.000043413705638853934+0.*I	0.+0.016942834444730225*I	0.00003262723714467759+0.*I	0.+0.0409905033064002*I	0.00006502126305057412+0.*I	0.+0.21051578014006914*I	-0.4999059982770843+0.*I	0.-0.6386230665390831*I	-0.49990348338157425+0.*I	0.+0.2096499972394679*I	0.00004946278718374295+0.*I	0.+0.0391340479767313*I	0.000028992512763261386+0.*I	0.+0.013712028531658288*I	0.000013646915099528512+0.*I	0.+0.0036662239155828375*I
0.+0.0001092008199315542*I	5.095226887033831*^-6+0.*I	0.+0.00041193719609237*I	1.4105259028315731*^-6+0.*I	0.+0.0006965554130885682*I	0.000010092689953093948+0.*I	0.+0.0010877610486485212*I	9.425811018929171*^-6+0.*I	0.+0.0015919396145203128*I	0.000012286658703495285+0.*I	0.+0.0023156612517121786*I	0.00002065588137228926+0.*I	0.+0.0034426872018763722*I	0.000013452422976867166+0.*I	0.+0.00530809553890207*I	0.00003571582423419823+0.*I	0.+0.008865118634566089*I	0.00002200411119178994+0.*I	0.+0.01674277853741894*I	0.00004823786821616008+0.*I	0.+0.04075315381539049*I	0.00005165675594444327+0.*I	0.+0.2101541758052992*I	-0.4999034833815942+0.*I	0.-0.6391272451049302*I	-0.4999081922458271+0.*I	0.+0.2088966743014407*I	0.000045775907602742+0.*I	0.+0.03795975330062135*I	0.00002427004103583132+0.*I	0.+0.011743939725773362*I	7.697881409791905*^-6+0.*I
-0.000016314367539897653+0.*I	0.+0.0002118812887745039*I	0.000017021156969249947+0.*I	0.+0.0004592059221039777*I	-3.2718171464920896*^-6+0.*I	0.+0.0007261567138560663*I	0.000011940706503914207+0.*I	0.+0.001087761048638619*I	7.577794470839158*^-6+0.*I	0.+0.0015623383137611973*I	0.0000169690017215974+0.*I	0.+0.00226839252572771*I	8.72995127738399*^-6+0.*I	0.+0.003340006733033862*I	0.00002976679052697286+0.*I	0.+0.005198894718942364*I	0.000014306229816272195+0.*I	0.+0.008665062727246566*I	0.00003761474223848394+0.*I	0.+0.01650542904644099*I	0.00003487336109855979+0.*I	0.+0.040391549480574294*I	0.00005417165140313558+0.*I	0.+0.2096499972394437*I	-0.4999081922458073+0.*I	0.-0.639880568042929*I	-0.49991187912543894+0.*I	0.+0.2077223796253305*I	0.00004105343590955282+0.*I	0.+0.03599166449474998*I	0.00001832100734333112+0.*I	0.+0.008077715810152607*I
0.+0.00010268046882078543*I	-4.388437463727201*^-6+0.*I	0.+0.00025915001478512184*I	0.00001233881389411054+0.*I	0.+0.0004888072228486753*I	-1.4238006076307202*^-6+0.*I	0.+0.0007261567138881867*I	0.000010092689963230227+0.*I	0.+0.0010581597478548645*I	0.000012260137541927567+0.*I	0.+0.001515069587763869*I	5.0430716658861405*^-6+0.*I	0.+0.0021657120568802*I	0.000025044318835515413+0.*I	0.+0.003230805913109157*I	8.357196082062191*^-6+0.*I	0.+0.004998838811630888*I	0.000029916860864212197+0.*I	0.+0.008427713236262777*I	0.00002425023513546111+0.*I	0.+0.016143824711589583*I	0.00003738825660358738+0.*I	0.+0.03988737091474121*I	0.00004946278717539508+0.*I	0.+0.2088966743014508*I	-0.49991187912542995+0.*I	0.-0.6410548627190407*I	-0.49991660159708434+0.*I	0.+0.2057542908194504*I	0.000035104402167482606+0.*I	0.+0.03232544057914186*I	0.000010623125974431295+0.*I
0.000011925930095130015+0.*I	0.+0.00014994919482003063*I	-9.070780513383085*^-6+0.*I	0.+0.0002887513155464367*I	0.000014186830461807194+0.*I	0.+0.0004888072228436297*I	-3.271817148018104*^-6+0.*I	0.+0.000696555413106607*I	0.000014775033020985245+0.*I	0.+0.0010108910219022238*I	3.342074460529305*^-7+0.*I	0.+0.0014123891189068895*I	0.000021357439198460592+0.*I	0.+0.0020565112369399017*I	3.634724411073512*^-6+0.*I	0.+0.0030307500057589415*I	0.000023967827154328737+0.*I	0.+0.004761489320642035*I	0.000016552353744281263+0.*I	0.+0.008066108901453723*I	0.000026765130618749858+0.*I	0.+0.015639646145765435*I	0.000032679392362090954+0.*I	0.+0.03913404797675157*I	0.00004577590755873749+0.*I	0.+0.20772237962533802*I	-0.4999166015970936+0.*I	0.-0.6430229515249655*I	-0.4999225506308355+0.*I	0.+0.202088066903884*I	0.000027406520774656764+0.*I	0.+0.0242477247689739*I
