0.-0.8487780565621581*I	-0.4999576924645816+0.*I	0.+0.16976016316242012*I	0.000016708283837687285+0.*I	0.+0.024243529425918828*I	0.000010509406369008529+0.*I	0.+0.008071654886584706*I	7.54205370724719*^-6+0.*I	0.+0.0036580959579927824*I	5.747683436049037*^-6+0.*I	0.+0.001957632268511103*I	4.514892840514376*^-6+0.*I	0.+0.0011610867305819894*I	3.5939759730140326*^-6+0.*I	0.+0.0007361771148676893*I	2.8627591490224335*^-6+0.*I	0.+0.0004867405439976519*I	2.2538722019680528*^-6+0.*I	0.+0.0003296606483416953*I	1.7270925323977552*^-6+0.*I	0.+0.00021452060824637964*I	1.2525252722822547*^-6+0.*I	0.+0.00015751970428370954*I	8.20254892853422*^-7+0.*I	0.+0.00005029579558689379*I	4.017418930431844*^-7+0.*I	0.+0.00006419178776798096*I
4.51489020765365*^-6+0.*I	0.+0.0031187189948491743*I	0.000013856544221255074+0.*I	0.+0.007512992072409214*I	0.00002426136501846824+0.*I	0.+0.016071387505972128*I	0.00003702464459536515+0.*I	0.+0.04064457757274274*I	0.000055460005396048315+0.*I	0.+0.21061926134364306*I	-0.49990097991230975+0.*I	0.-0.6380012754949236*I	-0.49990015966891294+0.*I	0.+0.21082707684788804*I	0.000057934545547938575+0.*I	0.+0.04113110548114671*I	0.000041226254392261896+0.*I	0.+0.016823384257740263*I	0.000030315103152693578+0.*I	0.+0.008701433572168026*I	0.00002195278948605282+0.*I	0.+0.004885817910713986*I	0.00001495258502721778+0.*I	0.+0.0027136650367202845*I	8.710605133909314*^-6+0.*I	0.+0.0012229176532557793*I	2.8627704994899084*^-6+0.*I
0.+0.00116108672427008*I	8.108870890733865*^-6+0.*I	0.+0.003854896111266798*I	0.000016719308704477813+0.*I	0.+0.007999732612716068*I	0.00002651522747512559+0.*I	0.+0.016401048148486613*I	0.000038751726796530886+0.*I	0.+0.040859098183555626*I	0.000056712544270553074+0.*I	0.+0.210776781053263*I	-0.4999001596643884+0.*I	0.-0.6379509796988851*I	-0.49989975792745606+0.*I	0.+0.21089126863421867*I	0.00005793453957025318+0.*I	0.+0.041066913688265844*I	0.00004082451012939861+0.*I	0.+0.016773088465896743*I	0.00002949485216417242+0.*I	0.+0.008543913871305805*I	0.000020700269211380766+0.*I	0.+0.0046712972928801555*I	0.000013225500213154814+0.*I	0.+0.0023840043885988704*I	6.456734195705344*^-6+0.*I	0.+0.0007361771181684379*I
3.5939687164302845*^-6+0.*I	0.+0.0018972638423815588*I	0.000010971622484883139+0.*I	0.+0.004341636651400001*I	0.000018973185224696288+0.*I	0.+0.008329393260459448*I	0.00002824231854992574+0.*I	0.+0.016615568757447765*I	0.000040004258295186866+0.*I	0.+0.041016617888439404*I	0.00005753279978238228+0.*I	0.+0.21082707685851707*I	-0.4998997579154091+0.*I	0.-0.6378867879135797*I	-0.4998997579218957+0.*I	0.+0.21082707684793933*I	0.00005753280240328114+0.*I	0.+0.04101661789190243*I	0.00004000425569488358+0.*I	0.+0.016615568753878*I	0.000028242318796946542+0.*I	0.+0.008329393259596477*I	0.00001897317734754228+0.*I	0.+0.00434163665856558*I	0.00001097162707201633+0.*I	0.+0.0018972638425173007*I	3.593975848426023*^-6+0.*I
0.+0.0007361771025097136*I	6.456736758923541*^-6+0.*I	0.+0.00238400439596749*I	0.000013225500712153729+0.*I	0.+0.004671297291312798*I	0.00002070026289069422+0.*I	0.+0.00854391387668925*I	0.00002949485008518347+0.*I	0.+0.016773088457246753*I	0.0000408245102192806+0.*I	0.+0.04106691369378866*I	0.000057934538842558794+0.*I	0.+0.21089126864123778*I	-0.49989975792673336+0.*I	0.-0.6379509797028702*I	-0.4999001596661078+0.*I	0.+0.21077678104889905*I	0.000056712539901932584+0.*I	0.+0.04085909818737385*I	0.00003875173197446922+0.*I	0.+0.0164010481397507*I	0.000026515233345924224+0.*I	0.+0.007999732615885435*I	0.000016719315287588362+0.*I	0.+0.0038548961133282045*I	8.108861335913276*^-6+0.*I	0.+0.0011610867347276038*I
2.862753068802298*^-6+0.*I	0.+0.001222917655051739*I	8.71060459621685*^-6+0.*I	0.+0.002713665033421862*I	0.000014952586475013229+0.*I	0.+0.004885817907719396*I	0.000021952797631474263+0.*I	0.+0.008701433581815524*I	0.00003031510341150005+0.*I	0.+0.016823384265034408*I	0.0000412262649692294+0.*I	0.+0.04113110547175405*I	0.000057934541405583564+0.*I	0.+0.21082707685079027*I	-0.49990015967032486+0.*I	0.-0.6380012755017352*I	-0.49990097991890614+0.*I	0.+0.21061926134645748*I	0.00005546002199998613+0.*I	0.+0.04064457758148159*I	0.00003702464226210795+0.*I	0.+0.016071387501191362*I	0.000024261359316698794+0.*I	0.+0.007512992069107912*I	0.00001385654099275031+0.*I	0.+0.0031187189929844233*I	4.514887774087484*^-6+0.*I
0.+0.00048674054734132444*I	5.116637704670137*^-6+0.*I	0.+0.0015525783025793632*I	0.000010437700945180749+0.*I	0.+0.002928185649506712*I	0.000016205109895700485+0.*I	0.+0.005043337608602108*I	0.00002277304702793925+0.*I	0.+0.008751729368662406*I	0.00003071684982963406+0.*I	0.+0.01688757605091571*I	0.000041226250926040296+0.*I	0.+0.04106691368901583*I	0.00005753279874719563+0.*I	0.+0.2107767810557061*I	-0.49990097991510496+0.*I	0.-0.6381587952035792*I	-0.49990223244747073+0.*I	0.+0.21040474074007787*I	0.000053732920706919816+0.*I	0.+0.040314916930642264*I	0.00003477076989590422+0.*I	0.+0.015584646954975391*I	0.00002139860543469272+0.*I	0.+0.006776814958076277*I	0.000010262574876760376+0.*I	0.+0.001957632267243853*I
2.2538715016714612*^-6+0.*I	0.+0.0008164011779186693*I	6.843720158568381*^-6+0.*I	0.+0.0017670989161217327*I	0.000011690226387554754+0.*I	0.+0.003085705348972884*I	0.00001702537040983595+0.*I	0.+0.005093633413808971*I	0.000023174792408612955+0.*I	0.+0.008815921162218918*I	0.00003071684735821033+0.*I	0.+0.01682338425287058*I	0.000040824516762609206+0.*I	0.+0.04101661788955917*I	0.00005671254165964984+0.*I	0.+0.2106192613517333*I	-0.49990223245024357+0.*I	0.-0.6383733158103689*I	-0.499903959533118+0.*I	0.+0.21007508008927767*I	0.000051479047252904185+0.*I	0.+0.039828176392547925*I	0.00003190801524601257+0.*I	0.+0.014848469833833677*I	0.00001780462482816182+0.*I	0.+0.005615728230916348*I	5.747677345180335*^-6+0.*I
0.+0.00032966064236655823*I	3.980960107254102*^-6+0.*I	0.+0.0010309217907249618*I	8.096252912186177*^-6+0.*I	0.+0.0019246186229726348*I	0.00001251047619092701+0.*I	0.+0.0031360011485437045*I	0.000017427105548893774+0.*I	0.+0.00515782519592968*I	0.000023174794578453376+0.*I	0.+0.008751729376151082*I	0.000030315103643091136+0.*I	0.+0.016773088457906454*I	0.00004000425905961168+0.*I	0.+0.04085909818651025*I	0.00005546002033209078+0.*I	0.+0.21040474073601126*I	-0.49990395954146316+0.*I	0.-0.6387029764535239*I	-0.4999062134143622+0.*I	0.+0.20958833954795789*I	0.000048616304666858714+0.*I	0.+0.03909199926695993*I	0.000028314033059450445+0.*I	0.+0.01368738311377845*I	0.000013289730600089214+0.*I	0.+0.003658095964758315*I
1.7270898932831068*^-6+0.*I	0.+0.0005441812537393092*I	5.23348512324331*^-6+0.*I	0.+0.0011884415062598645*I	8.916499895303267*^-6+0.*I	0.+0.001974914418543064*I	0.00001291222391046652+0.*I	0.+0.003200192930082426*I	0.00001742711563220089+0.*I	0.+0.005093633407845064*I	0.000022773049112951614+0.*I	0.+0.00870143357931452*I	0.000029494850241850035+0.*I	0.+0.016615568757138554*I	0.00003875173280819436+0.*I	0.+0.040644577575977434*I	0.000053732928776037964+0.*I	0.+0.21007508009800505*I	-0.4999062134086411+0.*I	0.-0.6391897170070963*I	-0.49990907617802977+0.*I	0.+0.20885216243702404*I	0.00004502232336037907+0.*I	0.+0.037930912543680834*I	0.000023799144562638384+0.*I	0.+0.011729750849221876*I	7.542044314523544*^-6+0.*I
0.+0.00021452060935350792*I	2.979607656371723*^-6+0.*I	0.+0.0007017009556526954*I	6.053739726051319*^-6+0.*I	0.+0.0012387372988928724*I	9.31824662542489*^-6+0.*I	0.+0.00203910621438555*I	0.000012912220080949691+0.*I	0.+0.0031360011437356616*I	0.00001702536563950454+0.*I	0.+0.005043337615871044*I	0.000021952797982603494+0.*I	0.+0.008543913873991421*I	0.00002824232777490946+0.*I	0.+0.016401048143115902*I	0.00003702464429879799+0.*I	0.+0.040314916925674335*I	0.00005147904543971156+0.*I	0.+0.20958833955107237*I	-0.4999090761749064+0.*I	0.-0.6399258941209622*I	-0.4999126701364191+0.*I	0.+0.20769107571001602*I	0.000040507431673050465+0.*I	0.+0.03597328027991345*I	0.000018051459039462678+0.*I	0.+0.00807165488246736*I
1.252535584638455*^-6+0.*I	0.+0.0003720403189321136*I	3.7998683312632996*^-6+0.*I	0.+0.0007519967569097404*I	6.455475653087111*^-6+0.*I	0.+0.0013029290915800096*I	9.31824884259606*^-6+0.*I	0.+0.001974914418980797*I	0.000012510482632386825+0.*I	0.+0.003085705348860438*I	0.000016205111998281883+0.*I	0.+0.0048858179090403514*I	0.000020700268210112812+0.*I	0.+0.008329393261480404*I	0.000026515235990443942+0.*I	0.+0.01607138750170142*I	0.00003477076890666743+0.*I	0.+0.03982817638574537*I	0.00004861629539815061+0.*I	0.+0.2088521624313926*I	-0.4999126701489322+0.*I	0.-0.6410869808465015*I	-0.4999171850367553+0.*I	0.+0.20573344344386119*I	0.0000347597370323119+0.*I	0.+0.032315184317995876*I	0.000010509404510083975+0.*I
0.+0.0001575197096598674*I	2.072778949751338*^-6+0.*I	0.+0.0004223361090640865*I	4.201607467116293*^-6+0.*I	0.+0.0008161885542655872*I	6.455487721582837*^-6+0.*I	0.+0.0012387373058437012*I	8.916499731788723*^-6+0.*I	0.+0.0019246186212211885*I	0.000011690226691296687+0.*I	0.+0.002928185640612896*I	0.000014952590094671269+0.*I	0.+0.00467129730169992*I	0.000018973191075197842+0.*I	0.+0.00799973260990694*I	0.00002426135645018367+0.*I	0.+0.01558464696413063*I	0.00003190800282046387+0.*I	0.+0.03909199926717717*I	0.00004502231502898127+0.*I	0.+0.20769107571246745*I	-0.4999171850415073+0.*I	0.-0.6430446131145443*I	-0.4999229327163109+0.*I	0.+0.2020753474749113*I	0.000027217694934708317+0.*I	0.+0.02424352942993596*I
8.202527339851162*^-7+0.*I	0.+0.00020781550492488863*I	2.474526082159312*^-6+0.*I	0.+0.00048652790171110726*I	4.201609405653228*^-6+0.*I	0.+0.0007519967631223529*I	6.053739417422044*^-6+0.*I	0.+0.0011884415029309674*I	8.096248899365499*^-6+0.*I	0.+0.0017670989189872508*I	0.000010437694168051459+0.*I	0.+0.002713665030454062*I	0.000013225508554398635+0.*I	0.+0.004341636651623969*I	0.00001671930185871695+0.*I	0.+0.007512992067513869*I	0.00002139860509897673+0.*I	0.+0.014848469847448191*I	0.000028314034572686497+0.*I	0.+0.03793091254423378*I	0.000040507428192421147+0.*I	0.+0.20573344343708913*I	-0.4999229327252135+0.*I	0.-0.6467027090744545*I	-0.4999304747726117+0.*I	0.+0.1940036926009715*I	0.00001670828480371256+0.*I
0.+0.00005029580052848259*I	1.221994213641023*^-6+0.*I	0.+0.0002720072874321938*I	2.4745260027288548*^-6+0.*I	0.+0.00042233612551136057*I	3.799862662554599*^-6+0.*I	0.+0.0007017009623273007*I	5.233484433213279*^-6+0.*I	0.+0.0010309218015794042*I	6.843727874417628*^-6+0.*I	0.+0.001552578301799723*I	8.710601745646194*^-6+0.*I	0.+0.0023840043875592715*I	0.000010971624750081869+0.*I	0.+0.003854896109058495*I	0.000013856540974932003+0.*I	0.+0.006776814954762067*I	0.00001780463182344844+0.*I	0.+0.013687383105449112*I	0.000023799137380316914+0.*I	0.+0.0359732802876305*I	0.00003475974470010117+0.*I	0.+0.20207534748096287*I	-0.49993047477723335+0.*I	0.-0.6547743639699642*I	-0.49994098418128413+0.*I	0.+0.1697601631615403*I
4.017386131122125*^-7+0.*I	0.+0.00011448758268686477*I	1.2220070556845375*^-6+0.*I	0.+0.00020781550226665822*I	2.072774249878284*^-6+0.*I	0.+0.00037204032016554725*I	2.97962320480738*^-6+0.*I	0.+0.0005441812557592861*I	3.980953126175857*^-6+0.*I	0.+0.0008164011953978261*I	5.1166443305605824*^-6+0.*I	0.+0.0012229176477875044*I	6.4567395078457546*^-6+0.*I	0.+0.0018972638497525768*I	8.108866367678713*^-6+0.*I	0.+0.003118718983840474*I	0.000010262563265639457+0.*I	0.+0.005615728237993382*I	0.000013289741641192565+0.*I	0.+0.011729750856351624*I	0.000018051455564854768+0.*I	0.+0.03231518431952274*I	0.000027217694124351266+0.*I	0.+0.19400369258421474*I	-0.49994098418027+0.*I	0.-0.6790178933827903*I	-0.4999576924535405+0.*I
0.+0.00006419179195560343*I	4.017423726918708*^-7+0.*I	0.+0.00005029579901949521*I	8.202539817738318*^-7+0.*I	0.+0.00015751970756575084*I	1.2525273029986836*^-6+0.*I	0.+0.0002145206112528497*I	1.7270798639081898*^-6+0.*I	0.+0.00032966064762576797*I	2.253874976456991*^-6+0.*I	0.+0.0004867405432958938*I	2.8627600526089585*^-6+0.*I	0.+0.0007361771167232606*I	3.593967169426108*^-6+0.*I	0.+0.0011610867317419504*I	4.5148929459342535*^-6+0.*I	0.+0.0019576322646371602*I	5.747681355663741*^-6+0.*I	0.+0.003658095955873769*I	7.542051886121786*^-6+0.*I	0.+0.008071654890518698*I	0.000010509415093201528+0.*I	0.+0.02424352943867325*I	0.00001670827761665242+0.*I	0.+0.16976016315545756*I	-0.4999576924657828+0.*I	0.-0.8487780565531668*I
