0.-0.8487780565621581*I	-0.4999576924645816+0.*I	0.+0.16976016316242012*I	0.000016708283837687285+0.*I	0.+0.024243529425918828*I	0.000010509406369008529+0.*I	0.+0.008071654886584706*I	7.54205370724719*^-6+0.*I	0.+0.0036580959579927824*I	5.747683436049037*^-6+0.*I	0.+0.001957632268511103*I	4.514892840514376*^-6+0.*I	0.+0.0011610867305819894*I	3.5939759730140326*^-6+0.*I	0.+0.0007361771148676893*I	2.8627591490224335*^-6+0.*I	0.+0.0004867405439976519*I	2.2538722019680528*^-6+0.*I	0.+0.0003296606483416953*I	1.7270925323977552*^-6+0.*I	0.+0.00021452060824637964*I	1.2525252722822547*^-6+0.*I	0.+0.00015751970428370954*I	8.20254892853422*^-7+0.*I	0.+0.00005029579558689379*I	4.017418930431844*^-7+0.*I	0.+0.00006419178776798096*I
-0.4999576924517751+0.*I	0.-0.6790178933867186*I	-0.49994098418885563+0.*I	0.+0.19400369259450134*I	0.000027217690623730527+0.*I	0.+0.0323151843143932*I	0.0000180514644031007+0.*I	0.+0.011729750851891457*I	0.000013289742370801287+0.*I	0.+0.005615728219744955*I	0.000010262567624566817+0.*I	0.+0.0031187190023545725*I	8.108864653367349*^-6+0.*I	0.+0.001897263845646498*I	6.456733273254866*^-6+0.*I	0.+0.0012229176609007424*I	5.116647527941758*^-6+0.*I	0.+0.0008164011788471037*I	3.980953422071196*^-6+0.*I	0.+0.000544181251614068*I	2.9796149328027896*^-6+0.*I	0.+0.0003720403227149492*I	2.0727734145483338*^-6+0.*I	0.+0.00020781550366892097*I	1.2220043835240083*^-6+0.*I	0.+0.0001144875792466126*I	4.017434937775288*^-7+0.*I
0.+0.16976016315838724*I	-0.4999409841762022+0.*I	0.-0.6547743639723224*I	-0.499930474775648+0.*I	0.+0.20207534748366582*I	0.00003475974454167596+0.*I	0.+0.03597328026901897*I	0.000023799141618794783+0.*I	0.+0.0136873831224298*I	0.000017804628785128207+0.*I	0.+0.006776814954610799*I	0.000013856550328485186+0.*I	0.+0.003854896115307191*I	0.000010971627098600377+0.*I	0.+0.0023840043763571905*I	8.710609731247239*^-6+0.*I	0.+0.0015525783099610557*I	6.843716101448757*^-6+0.*I	0.+0.0010309217943584303*I	5.233495012670772*^-6+0.*I	0.+0.0007017009647775213*I	3.7998674974323434*^-6+0.*I	0.+0.000422336106886953*I	2.4745281491644092*^-6+0.*I	0.+0.00027200729688800496*I	1.2219947583687263*^-6+0.*I	0.+0.00005029579899284986*I
0.000016708276644065623+0.*I	0.+0.19400369259217945*I	-0.49993047476099506+0.*I	0.-0.6467027090782674*I	-0.49992293272486316+0.*I	0.+0.20573344344285163*I	0.00004050743773319884+0.*I	0.+0.03793091255107318*I	0.000028314036180534846+0.*I	0.+0.014848469834152516*I	0.000021398600114587717+0.*I	0.+0.007512992079271321*I	0.000016719309300567597+0.*I	0.+0.004341636652526414*I	0.00001322550447035197+0.*I	0.+0.0027136650303630255*I	0.000010437690394080355+0.*I	0.+0.0017670989036687134*I	8.096251086969818*^-6+0.*I	0.+0.0011884415138826649*I	6.053737613033372*^-6+0.*I	0.+0.0007519967565814002*I	4.201612349925458*^-6+0.*I	0.+0.0004865279054857843*I	2.4745266148195975*^-6+0.*I	0.+0.00020781549910578313*I	8.202589669437099*^-7+0.*I
0.+0.02424352942113374*I	0.00002721769584591929+0.*I	0.+0.20207534747619005*I	-0.49992293272378613+0.*I	0.-0.6430446131083969*I	-0.4999171850404336+0.*I	0.+0.20769107570392262*I	0.00004502232541816749+0.*I	0.+0.03909199927798364*I	0.00003190801395472723+0.*I	0.+0.01558464696750659*I	0.000024261365152048887+0.*I	0.+0.007999732611742139*I	0.00001897317806671961+0.*I	0.+0.0046712973002268204*I	0.00001495258821094042+0.*I	0.+0.002928185639861053*I	0.000011690216666197016+0.*I	0.+0.001924618617888521*I	8.91650452962467*^-6+0.*I	0.+0.0012387373022221815*I	6.455491144167472*^-6+0.*I	0.+0.000816188548423552*I	4.20161044540639*^-6+0.*I	0.+0.000422336109974622*I	2.072779038157389*^-6+0.*I	0.+0.00015751970611008193*I
0.000010509410669986356+0.*I	0.+0.03231518431567074*I	0.0000347597529603099+0.*I	0.+0.20573344344123465*I	-0.49991718503561655+0.*I	0.-0.6410869808499958*I	-0.49991267015513574+0.*I	0.+0.2088521624393532*I	0.00004861630147595031+0.*I	0.+0.03982817638604165*I	0.00003477076560379005+0.*I	0.+0.01607138750207076*I	0.000026515246686562615+0.*I	0.+0.008329393256305207*I	0.000020700259385481062+0.*I	0.+0.004885817910536074*I	0.000016205120936913416+0.*I	0.+0.003085705341364456*I	0.00001251046979659561+0.*I	0.+0.00197491442196162*I	9.318264934406723*^-6+0.*I	0.+0.0013029290921800349*I	6.455480983953885*^-6+0.*I	0.+0.0007519967611463237*I	3.799870096672238*^-6+0.*I	0.+0.00037204031387134945*I	1.252521430211706*^-6+0.*I
0.+0.008071654885614385*I	0.00001805145625560239+0.*I	0.+0.035973280279523706*I	0.00004050742725292222+0.*I	0.+0.20769107570741766*I	-0.49991267014812285+0.*I	0.-0.6399258941187513*I	-0.4999090761683152+0.*I	0.+0.20958833955150713*I	0.00005147906364908206+0.*I	0.+0.0403149169263753*I	0.000037024639544132743+0.*I	0.+0.016401048146285256*I	0.00002824232173743035+0.*I	0.+0.008543913879020995*I	0.00002195279605926907+0.*I	0.+0.005043337613826526*I	0.000017025365913663302+0.*I	0.+0.0031360011385471592*I	0.000012912219309211834+0.*I	0.+0.0020391062118392395*I	9.31824582533644*^-6+0.*I	0.+0.00123873730628625*I	6.053740821591266*^-6+0.*I	0.+0.0007017009632384608*I	2.9796121308025383*^-6+0.*I	0.+0.00021452060526611083*I
7.542066944094138*^-6+0.*I	0.+0.011729750855609152*I	0.000023799144785891643+0.*I	0.+0.03793091254541071*I	0.000045022314272450244+0.*I	0.+0.20885216242415033*I	-0.49990907617120717+0.*I	0.-0.6391897170036535*I	-0.49990621340533226+0.*I	0.+0.2100750800922486*I	0.00005373292610189761+0.*I	0.+0.04064457757844397*I	0.00003875173001629951+0.*I	0.+0.01661556875040883*I	0.000029494858531222133+0.*I	0.+0.008701433576341176*I	0.000022773046478197607+0.*I	0.+0.005093633413712664*I	0.00001742711683063609+0.*I	0.+0.0032001929339697667*I	0.000012912218190763394+0.*I	0.+0.0019749144157053767*I	8.916507729074103*^-6+0.*I	0.+0.0011884415040175934*I	5.233486996226869*^-6+0.*I	0.+0.0005441812563769398*I	1.7270916665146352*^-6+0.*I
0.+0.003658095964384586*I	0.000013289725447620591+0.*I	0.+0.013687383114096487*I	0.00002831403913160953+0.*I	0.+0.039091999261684635*I	0.000048616292787172406+0.*I	0.+0.2095883395579579*I	-0.49990621340603053+0.*I	0.-0.6387029764703975*I	-0.4999039595394876+0.*I	0.+0.21040474073719678*I	0.000055460016013093786+0.*I	0.+0.04085909817977029*I	0.00004000425214525771+0.*I	0.+0.016773088473025798*I	0.000030315098360521283+0.*I	0.+0.00875172936936118*I	0.000023174803760647742+0.*I	0.+0.005157825199057969*I	0.00001742711236885093+0.*I	0.+0.003136001143477715*I	0.000012510474525032006+0.*I	0.+0.00192461862983008*I	8.096245092840281*^-6+0.*I	0.+0.0010309217908083812*I	3.980960940780199*^-6+0.*I	0.+0.0003296606420070125*I
5.747685231092372*^-6+0.*I	0.+0.00561572822722766*I	0.0000178046240047913+0.*I	0.+0.014848469845240107*I	0.000031908009976637606+0.*I	0.+0.03982817638757182*I	0.00005147905495381846+0.*I	0.+0.21007508008829723*I	-0.49990395953578015+0.*I	0.-0.6383733158146513*I	-0.4999022324510813+0.*I	0.+0.21061926134814957*I	0.000056712537448931274+0.*I	0.+0.04101661788815437*I	0.000040824515636826715+0.*I	0.+0.016823384256624763*I	0.00003071684657512326+0.*I	0.+0.008815921167999223*I	0.000023174799686012863+0.*I	0.+0.005093633413794504*I	0.000017025365361312216+0.*I	0.+0.003085705347854627*I	0.000011690227036179748+0.*I	0.+0.0017670989153061626*I	6.84371764431137*^-6+0.*I	0.+0.0008164011882295768*I	2.253884335168266*^-6+0.*I
0.+0.001957632278001581*I	0.000010262572089351706+0.*I	0.+0.006776814939952164*I	0.000021398600003385342+0.*I	0.+0.015584646960675505*I	0.00003477076803202888+0.*I	0.+0.04031491692564222*I	0.00005373293072769631+0.*I	0.+0.210404740740891*I	-0.49990223245247384+0.*I	0.-0.6381587952113053*I	-0.4999009799228546+0.*I	0.+0.21077678105468*I	0.000057532795343693246+0.*I	0.+0.041066913686195514*I	0.00004122626123341498+0.*I	0.+0.01688757605645714*I	0.000030716853243728495+0.*I	0.+0.008751729365810368*I	0.00002277305493423421+0.*I	0.+0.005043337619469512*I	0.000016205111013285297+0.*I	0.+0.002928185636621339*I	0.000010437686504597447+0.*I	0.+0.00155257830663931*I	5.116642883765892*^-6+0.*I	0.+0.0004867405367241784*I
