0.4886341267322824-0.22989952738675673*I	0.03996466708467297-0.3250755134314941*I	-0.133187396163791-0.22983648514629357*I
0.039964667084673056-0.32507551343149405*I	0.35544673056849163-0.4597360125330503*I	0.03996466708467308-0.325075513431494*I
-0.13318739616379105-0.22983648514629362*I	0.039964667084673056-0.32507551343149405*I	0.48863412673228246-0.22989952738675667*I
