0.-0.8487768065259044*I	-0.4999578237074456+0.*I	0.+0.16976454829463444*I	0.000018351137170597866+0.*I	0.+0.02424691024511383*I	5.555707737025245*^-6+0.*I	0.+0.00808878883868513*I	0.000019005407590096682+0.*I	0.+0.003655860145612464*I	-0.000011282837586026691+0.*I	0.+0.0019926821388470033*I	0.00002494390570106949+0.*I	0.+0.00116147446341777*I	-0.000013285472146462707+0.*I	0.+0.0007750922124722259*I	0.000014623849829777783+0.*I	0.+0.0005087573513669987*I	-2.244268350959659*^-6+0.*I	0.+0.00036809624100556077*I	3.985428009561207*^-6+0.*I	0.+0.00026493959514797144*I	1.9096178310643833*^-6+0.*I	0.+0.0001972003513572982*I	1.74488168923413*^-6+0.*I	0.+0.00014831954351648442*I	1.4900864272515192*^-6+0.*I	0.+0.00011205164435649533*I	1.2218950909628095*^-6+0.*I	0.+0.00008420794085775301*I	9.737547236315106*^-7+0.*I	0.+0.00006204178897249703*I	7.438904017399316*^-7+0.*I	0.+0.0000437003744516429*I	5.241635789704886*^-7+0.*I	0.+0.00002787483822046599*I	3.118461992421376*^-7+0.*I	0.+0.000013576339503515689*I	1.0348539202110075*^-7+0.*I
0.000024943905693541562+0.*I	0.+0.003154156602288136*I	3.7559598542990776*^-7+0.*I	0.+0.007585108960385457*I	0.00003400485337528509+0.*I	0.+0.016182655150394645*I	0.00003731629282555713+0.*I	0.+0.04079766163651501*I	0.0000596528579556616+0.*I	0.+0.21082714952626466*I	-0.4998962612315993+0.*I	0.-0.637752456648343*I	-0.49989451634994375+0.*I	0.+0.21117266942112892*I	0.00006479744393327814+0.*I	0.+0.04152017277086302*I	0.00004766820183281114+0.*I	0.+0.017357470466631504*I	0.00004308624880690111+0.*I	0.+0.009330723416953594*I	0.00002482473163234944+0.*I	0.+0.005718563645783988*I	0.0000366317328056595+0.*I	0.+0.0037537563451524236*I	0.000011999673283223087+0.*I	0.+0.0026058582211849154*I	0.00002538863082862781+0.*I	0.+0.0018307660087356031*I	0.000010661295602627102+0.*I	0.+0.0013084323179018606*I	0.00001259371774815443+0.*I	0.+0.0009124612386679919*I	8.084126164781775*^-6+0.*I	0.+0.0006038212690472759*I	5.4306179446477625*^-6+0.*I	0.+0.0003445791287452855*I	2.711981516612207*^-6+0.*I	0.+0.0001120516443184987*I
0.+0.001161474463451821*I	0.00001165843358192272+0.*I	0.+0.0039292488147454055*I	0.000014999445825434753+0.*I	0.+0.008093866311742998*I	0.00003176058503520084+0.*I	0.+0.01655075139137853*I	0.000041301720807731594+0.*I	0.+0.04106260123165805*I	0.00006156247581437079+0.*I	0.+0.21102434987759236*I	-0.49989451634992743+0.*I	0.-0.637604137104786*I	-0.4998930262635023+0.*I	0.+0.21128472106547522*I	0.00006601933900346334+0.*I	0.+0.041604380711749676*I	0.00004864195655852872+0.*I	0.+0.017419512255616117*I	0.00004383013921255322+0.*I	0.+0.009374423791378027*I	0.00002534889523049812+0.*I	0.+0.00574643848400395*I	0.00003694357899466443+0.*I	0.+0.003767332684636546*I	0.000012103158677173129+0.*I	0.+0.0026058582212104384*I	0.000025285145435768598+0.*I	0.+0.0018171896692296854*I	0.000010349449389519851+0.*I	0.+0.0012805574796813468*I	0.00001206955414820006+0.*I	0.+0.0008687608642204449*I	7.340235782029257*^-6+0.*I	0.+0.000541779480105108*I	4.456863192025276*^-6+0.*I	0.+0.0002603711878673963*I	1.4900864256418449*^-6+0.*I
-0.000013285472124944343+0.*I	0.+0.0019365666758830926*I	0.000026282283378669966+0.*I	0.+0.004438006166150591*I	0.000012755177474790556+0.*I	0.+0.008461962552727364*I	0.000035746013037599286+0.*I	0.+0.016815690986546783*I	0.00004321133865055939+0.*I	0.+0.04125980158298857*I	0.00006330735749903296+0.*I	0.+0.21117266942117985*I	-0.49989302626347154+0.*I	0.-0.6374920854604883*I	-0.4998918043684172+0.*I	0.+0.21136892900637455*I	0.00006699309373198612+0.*I	0.+0.04166642250071158*I	0.000049385846919496836+0.*I	0.+0.017463212630084705*I	0.000044354302818719816+0.*I	0.+0.009402298629565433*I	0.000025660741413852775+0.*I	0.+0.005760014823505974*I	0.000037047064391889654+0.*I	0.+0.0037673326846197593*I	0.000011999673292378347+0.*I	0.+0.0025922818817071774*I	0.000024973299220517866+0.*I	0.+0.0017893148310122468*I	9.825285827834511*^-6+0.*I	0.+0.0012368571052472394*I	0.00001132566377841414+0.*I	0.+0.0008067190752294766*I	6.3664810311364785*^-6+0.*I	0.+0.0004575715392423837*I	3.23496813189286*^-6+0.*I	0.+0.00014831954351184076*I
0.+0.0007750922124702263*I	1.3383776877726764*^-6+0.*I	0.+0.0024453240272262837*I	0.00002403801503817809+0.*I	0.+0.004806102407141962*I	0.000016740605470440832+0.*I	0.+0.00872690214787492*I	0.000037655630895876534+0.*I	0.+0.01701289133791622*I	0.000044956220329936114+0.*I	0.+0.04140812112652312*I	0.00006479744392957528+0.*I	0.+0.21128472106549873*I	-0.49989180436842606+0.*I	0.-0.6374078775196066*I	-0.49989083061366973+0.*I	0.+0.21143097079533035*I	0.00006773698409059186+0.*I	0.+0.04171012287515188*I	0.00004991001056648236+0.*I	0.+0.017491087468233857*I	0.00004466614898068175+0.*I	0.+0.00941587496909778*I	0.00002576422681714328+0.*I	0.+0.00576001482350852*I	0.000036943578985910026+0.*I	0.+0.0037537563451337597*I	0.000011687827109133582+0.*I	0.+0.0025644070435060407*I	0.000024449135610378174+0.*I	0.+0.0017456144565641746*I	9.08139542023203*^-6+0.*I	0.+0.001174815316229736*I	0.000010351909065096159+0.*I	0.+0.0007225111343706974*I	5.144585973012819*^-6+0.*I	0.+0.00034551989490370775*I	1.7448816897500477*^-6+0.*I
0.00001462384982127593+0.*I	0.+0.0012838495638237476*I	-9.058906428874769*^-7+0.*I	0.+0.002813420268253422*I	0.00002802344305909126+0.*I	0.+0.005071042002267723*I	0.00001865022330425518+0.*I	0.+0.00892410249924305*I	0.00003940051256020155+0.*I	0.+0.017161210881439157*I	0.00004644630678150922+0.*I	0.+0.04152017277086156*I	0.00006601933900943361+0.*I	0.+0.21136892900633839*I	-0.4998908306136707+0.*I	0.-0.6373458357305986*I	-0.49989008672332297+0.*I	0.+0.21147467116976382*I	0.0000682611477179022+0.*I	0.+0.04173799771337076*I	0.000050221856730184814+0.*I	0.+0.017504663807755904*I	0.00004476963439899675+0.*I	0.+0.009415874969110697*I	0.000025660741415332284+0.*I	0.+0.00574643848401399*I	0.00003663173279529924+0.*I	0.+0.003725881506919471*I	0.00001116366348529071+0.*I	0.+0.0025207066690223707*I	0.000023705245262665775+0.*I	0.+0.0016835726676006004*I	8.107640720394143*^-6+0.*I	0.+0.001090607375362952*I	9.130013963087094*^-6+0.*I	0.+0.0006104594900541256*I	3.6544995496608567*^-6+0.*I	0.+0.00019720035136270092*I
0.+0.0005087573513827471*I	0.000012379581489297036+0.*I	0.+0.0016519458048176352*I	3.079537337563533*^-6+0.*I	0.+0.0030783598634179566*I	0.000029933060890436044+0.*I	0.+0.005268242353628209*I	0.00002039510500444685+0.*I	0.+0.009072422042769706*I	0.00004089059901091281+0.*I	0.+0.017273262525758924*I	0.000047668201870549416+0.*I	0.+0.041604380711764435*I	0.00006699309371197874+0.*I	0.+0.21143097079531026*I	-0.4998900867232928+0.*I	0.-0.6373021353561642*I	-0.49988956255973244+0.*I	0.+0.21150254600796722*I	0.0000685729939146985+0.*I	0.+0.04175157405288024*I	0.00005032534212515262+0.*I	0.+0.01750466380775306*I	0.00004466614901787642+0.*I	0.+0.009402298629611085*I	0.00002534889522421041+0.*I	0.+0.005718563645773882*I	0.000036107569185122495+0.*I	0.+0.0036821811324752483*I	0.000010419773113557205+0.*I	0.+0.0024586648800495096*I	0.000022731490554036177+0.*I	0.+0.001599364726733975*I	6.88574560988087*^-6+0.*I	0.+0.000978555731024716*I	7.639927547171109*^-6+0.*I	0.+0.0004621399465076418*I	1.909617835944418*^-6+0.*I
-2.244268325615024*^-6+0.*I	0.+0.0008768535923487437*I	0.000016365009460015138+0.*I	0.+0.001916885399954032*I	4.989155188827259*^-6+0.*I	0.+0.0032755602147898984*I	0.0000316779425893481+0.*I	0.+0.005416561897157176*I	0.000021885191453051585+0.*I	0.+0.009184473687134547*I	0.00004211249411208292+0.*I	0.+0.017357470466619875*I	0.000048641956544793+0.*I	0.+0.041666422500703584*I	0.0000677369840892434+0.*I	0.+0.21147467116977864*I	-0.4998895625596939+0.*I	0.-0.6372742605179901*I	-0.4998892507135071+0.*I	0.+0.21151612234747136*I	0.00006867647930754212+0.*I	0.+0.041751574052870256*I	0.00005022185672052845+0.*I	0.+0.01749108746825141*I	0.000044354302803940575+0.*I	0.+0.009374423791400414*I	0.000024824731604909234+0.*I	0.+0.005674863271338053*I	0.000035363678844686166+0.*I	0.+0.0036201393435101948*I	9.446018385814924*^-6+0.*I	0.+0.002374456939196839*I	0.000021509595451662428+0.*I	0.+0.0014873130823701527*I	5.395659180946206*^-6+0.*I	0.+0.0008302361875178058*I	5.895045856011619*^-6+0.*I	0.+0.00026493959516374327*I
0.+0.00036809624101201644*I	1.7411596617411202*^-6+0.*I	0.+0.0011417931875104175*I	0.00001827462731640054+0.*I	0.+0.002114085751351772*I	6.7340368748373335*^-6+0.*I	0.+0.003423879758291123*I	0.00003316802900965533+0.*I	0.+0.005528613541492272*I	0.000023107086528408195+0.*I	0.+0.009268681627984705*I	0.00004308624882708079+0.*I	0.+0.017419512255592975*I	0.00004938584696263377+0.*I	0.+0.04171012287515178*I	0.00006826114768682912+0.*I	0.+0.211502546007966*I	-0.4998892507135002+0.*I	0.-0.6372606841784639*I	-0.4998891472281334+0.*I	0.+0.21151612234750233*I	0.00006857299391660252+0.*I	0.+0.0417379977133657*I	0.00004991001054580573+0.*I	0.+0.017463212630067365*I	0.00004383013922853978+0.*I	0.+0.009330723416935242*I	0.000024080841220045228+0.*I	0.+0.005612821482362741*I	0.000034389924119989013+0.*I	0.+0.0035359314026204808*I	8.224123308674775*^-6+0.*I	0.+0.0022624052948638554*I	0.00002001950899675086+0.*I	0.+0.001338993538868214*I	3.650777514254715*^-6+0.*I	0.+0.0006330358361272764*I	3.985427978056054*^-6+0.*I
3.985427994381184*^-6+0.*I	0.+0.0006330358361408681*I	3.6507775180313028*^-6+0.*I	0.+0.0013389935388566834*I	0.000020019508976747697+0.*I	0.+0.0022624052948814993*I	8.224123344961233*^-6+0.*I	0.+0.0035359314026182035*I	0.00003438992408385536+0.*I	0.+0.005612821482386655*I	0.00002408084127294737+0.*I	0.+0.009330723416952869*I	0.00004383013916791079+0.*I	0.+0.017463212630053165*I	0.000049910010563188814+0.*I	0.+0.04173799771336459*I	0.00006857299389303483+0.*I	0.+0.21151612234749959*I	-0.4998891472281122+0.*I	0.-0.637260684178471*I	-0.49988925071350093+0.*I	0.+0.21150254600795745*I	0.00006826114770721312+0.*I	0.+0.041710122875141*I	0.00004938584692214912+0.*I	0.+0.017419512255596035*I	0.00004308624884409159+0.*I	0.+0.009268681627984532*I	0.000023107086501343368+0.*I	0.+0.0055286135415027375*I	0.0000331680290237334+0.*I	0.+0.003423879758296272*I	6.73403686831863*^-6+0.*I	0.+0.002114085751351447*I	0.000018274627295117+0.*I	0.+0.0011417931874896992*I	1.7411596602632705*^-6+0.*I	0.+0.0003680962410273484*I
0.+0.00026493959510254*I	5.8950458524027805*^-6+0.*I	0.+0.0008302361875332933*I	5.395659209776291*^-6+0.*I	0.+0.0014873130823805543*I	0.000021509595445421194+0.*I	0.+0.0023744569391862856*I	9.446018390353057*^-6+0.*I	0.+0.003620139343518613*I	0.00003536367883454293+0.*I	0.+0.005674863271337819*I	0.00002482473160463712+0.*I	0.+0.009374423791366998*I	0.000044354302797266647+0.*I	0.+0.017491087468296425*I	0.000050221856729240237+0.*I	0.+0.04175157405284055*I	0.00006867647930396058+0.*I	0.+0.21151612234746436*I	-0.4998892507135117+0.*I	0.-0.6372742605179864*I	-0.4998895625596977+0.*I	0.+0.21147467116976892*I	0.00006773698410598408+0.*I	0.+0.04166642250071001*I	0.00004864195655619548+0.*I	0.+0.017357470466638714*I	0.00004211249412087569+0.*I	0.+0.009184473687115228*I	0.000021885191440334923+0.*I	0.+0.005416561897181691*I	0.00003167794257987265+0.*I	0.+0.0032755602147646157*I	4.989155165809999*^-6+0.*I	0.+0.001916885399965253*I	0.000016365009497440022+0.*I	0.+0.0008768535923587735*I	-2.2442683652244664*^-6+0.*I
