0.-0.8487768065259044*I	-0.4999578237074456+0.*I	0.+0.16976454829463444*I	0.000018351137170597866+0.*I	0.+0.02424691024511383*I	5.555707737025245*^-6+0.*I	0.+0.00808878883868513*I	0.000019005407590096682+0.*I	0.+0.003655860145612464*I	-0.000011282837586026691+0.*I	0.+0.0019926821388470033*I	0.00002494390570106949+0.*I	0.+0.00116147446341777*I	-0.000013285472146462707+0.*I	0.+0.0007750922124722259*I	0.000014623849829777783+0.*I	0.+0.0005087573513669987*I	-2.244268350959659*^-6+0.*I	0.+0.00036809624100556077*I	3.985428009561207*^-6+0.*I	0.+0.00026493959514797144*I	1.9096178310643833*^-6+0.*I	0.+0.0001972003513572982*I	1.74488168923413*^-6+0.*I	0.+0.00014831954351648442*I	1.4900864272515192*^-6+0.*I	0.+0.00011205164435649533*I	1.2218950909628095*^-6+0.*I	0.+0.00008420794085775301*I	9.737547236315106*^-7+0.*I	0.+0.00006204178897249703*I	7.438904017399316*^-7+0.*I	0.+0.0000437003744516429*I	5.241635789704886*^-7+0.*I	0.+0.00002787483822046599*I	3.118461992421376*^-7+0.*I	0.+0.000013576339503515689*I	1.0348539202110075*^-7+0.*I
1.9096178378916044*^-6+0.*I	0.+0.0004621399465290562*I	7.639927529377088*^-6+0.*I	0.+0.0009785557310450603*I	6.885745630018502*^-6+0.*I	0.+0.0015993647267334248*I	0.0000227314905181982+0.*I	0.+0.0024586648800621787*I	0.000010419773114387108+0.*I	0.+0.0036821811324673987*I	0.000036107569171652584+0.*I	0.+0.005718563645803944*I	0.000025348895254549694+0.*I	0.+0.009402298629603525*I	0.00004466614900394957+0.*I	0.+0.017504663807747314*I	0.00005032534214079058+0.*I	0.+0.04175157405287562*I	0.0000685729938834127+0.*I	0.+0.21150254600797988*I	-0.499889562559672+0.*I	0.-0.6373021353561893*I	-0.49989008672332813+0.*I	0.+0.21143097079534773*I	0.00006699309375031993+0.*I	0.+0.041604380711717695*I	0.000047668201834028045+0.*I	0.+0.01727326252578458*I	0.000040890599000101415+0.*I	0.+0.009072422042756888*I	0.00002039510498801383+0.*I	0.+0.005268242353641927*I	0.00002993306090104063+0.*I	0.+0.0030783598633961724*I	3.0795373415679912*^-6+0.*I	0.+0.0016519458048342454*I	0.000012379581494609354+0.*I	0.+0.0005087573513161243*I
0.+0.00019720035138751698*I	3.6544995299956773*^-6+0.*I	0.+0.000610459490020654*I	9.130013991343215*^-6+0.*I	0.+0.0010906073753692816*I	8.10764070265688*^-6+0.*I	0.+0.0016835726676001157*I	0.000023705245254336016+0.*I	0.+0.002520706669051277*I	0.000011163663490609738+0.*I	0.+0.003725881506901512*I	0.00003663173279236794+0.*I	0.+0.005746438484000442*I	0.000025660741416218616+0.*I	0.+0.009415874969124587*I	0.00004476963441013521+0.*I	0.+0.017504663807771007*I	0.00005022185673313858+0.*I	0.+0.0417379977133507*I	0.00006826114771231191+0.*I	0.+0.21147467116976335*I	-0.4998900867233198+0.*I	0.-0.6373458357306336*I	-0.4998908306136995+0.*I	0.+0.21136892900634405*I	0.0000660193390286367+0.*I	0.+0.04152017277087074*I	0.000046446306762674625+0.*I	0.+0.017161210881465726*I	0.00003940051257798557+0.*I	0.+0.008924102499240543*I	0.000018650223321536223+0.*I	0.+0.0050710420022611795*I	0.000028023443062769063+0.*I	0.+0.002813420268246206*I	-9.058906548894323*^-7+0.*I	0.+0.0012838495638392677*I	0.0000146238498162548+0.*I
1.7448816636242583*^-6+0.*I	0.+0.00034551989491760825*I	5.144585984421851*^-6+0.*I	0.+0.000722511134371571*I	0.000010351909038489729+0.*I	0.+0.0011748153162419554*I	9.081395451015578*^-6+0.*I	0.+0.0017456144565697613*I	0.000024449135600795115+0.*I	0.+0.002564407043494221*I	0.00001168782711161589+0.*I	0.+0.0037537563450984832*I	0.00003694357898101912+0.*I	0.+0.005760014823519029*I	0.000025764226829355652+0.*I	0.+0.00941587496909652*I	0.00004466614897490085+0.*I	0.+0.017491087468278505*I	0.00004991001057089733+0.*I	0.+0.04171012287513417*I	0.00006773698410911241+0.*I	0.+0.21143097079534212*I	-0.49989083061367395+0.*I	0.-0.6374078775196111*I	-0.49989180436838915+0.*I	0.+0.21128472106550747*I	0.00006479744388470602+0.*I	0.+0.04140812112653195*I	0.000044956220325219096+0.*I	0.+0.017012891337917436*I	0.00003765563090455613+0.*I	0.+0.00872690214786203*I	0.00001674060546386662+0.*I	0.+0.004806102407161405*I	0.000024038015062479295+0.*I	0.+0.0024453240272126232*I	1.3383776769239462*^-6+0.*I	0.+0.0007750922124667899*I
0.+0.00014831954356290514*I	3.234968137145746*^-6+0.*I	0.+0.00045757153922089514*I	6.36648104835991*^-6+0.*I	0.+0.0008067190752284664*I	0.000011325663774119058+0.*I	0.+0.0012368571052290478*I	9.825285824399212*^-6+0.*I	0.+0.0017893148310184398*I	0.000024973299213433953+0.*I	0.+0.0025922818817014303*I	0.000011999673284424818+0.*I	0.+0.003767332684655177*I	0.000037047064411105626+0.*I	0.+0.005760014823486526*I	0.000025660741418145585+0.*I	0.+0.009402298629618517*I	0.000044354302831957105+0.*I	0.+0.017463212630049626*I	0.00004938584694263297+0.*I	0.+0.04166642250072002*I	0.00006699309371400552+0.*I	0.+0.21136892900633555*I	-0.4998918043684034+0.*I	0.-0.6374920854604541*I	-0.4998930262635282+0.*I	0.+0.21117266942117813*I	0.00006330735749992765+0.*I	0.+0.04125980158299251*I	0.000043211338638518895+0.*I	0.+0.016815690986520592*I	0.000035746013071180456+0.*I	0.+0.008461962552740804*I	0.000012755177502944806+0.*I	0.+0.004438006166130038*I	0.000026282283371660396+0.*I	0.+0.001936566675914192*I	-0.00001328547213158229+0.*I
1.4900864255840027*^-6+0.*I	0.+0.00026037118787700585*I	4.456863219473982*^-6+0.*I	0.+0.0005417794800835904*I	7.340235775073884*^-6+0.*I	0.+0.0008687608642219348*I	0.000012069554144665914+0.*I	0.+0.001280557479681355*I	0.000010349449407371484+0.*I	0.+0.0018171896691988095*I	0.000025285145431378623+0.*I	0.+0.002605858221205141*I	0.000012103158692611707+0.*I	0.+0.0037673326846384613*I	0.000036943578984171034+0.*I	0.+0.005746438484008881*I	0.000025348895208555683+0.*I	0.+0.009374423791377302*I	0.00004383013920867423+0.*I	0.+0.01741951225563872*I	0.00004864195656638623+0.*I	0.+0.04160438071172004*I	0.00006601933900262868+0.*I	0.+0.21128472106550533*I	-0.4998930262635035+0.*I	0.-0.637604137104791*I	-0.4998945163499325+0.*I	0.+0.2110243498776235*I	0.0000615624758280435+0.*I	0.+0.04106260123162284*I	0.000041301720814530795+0.*I	0.+0.016550751391416176*I	0.000031760585054373445+0.*I	0.+0.008093866311729685*I	0.000014999445808160885+0.*I	0.+0.00392924881478259*I	0.000011658433553886711+0.*I	0.+0.0011614744633994484*I
0.+0.00011205164433568351*I	2.7119815299880617*^-6+0.*I	0.+0.00034457912873513*I	5.430617930938661*^-6+0.*I	0.+0.0006038212690591807*I	8.084126163512045*^-6+0.*I	0.+0.0009124612386535103*I	0.000012593717743740655+0.*I	0.+0.0013084323178872183*I	0.000010661295613365848+0.*I	0.+0.0018307660087400566*I	0.000025388630817182962+0.*I	0.+0.002605858221203752*I	0.000011999673300863534+0.*I	0.+0.0037537563451304624*I	0.000036631732814335596+0.*I	0.+0.005718563645773918*I	0.000024824731625268515+0.*I	0.+0.0093307234169592*I	0.00004308624880704305+0.*I	0.+0.01735747046664196*I	0.00004766820184416775+0.*I	0.+0.04152017277087694*I	0.00006479744391366551+0.*I	0.+0.2111726694211372*I	-0.49989451634994175+0.*I	0.-0.6377524566483102*I	-0.499896261231613+0.*I	0.+0.21082714952622703*I	0.000059652857987230285+0.*I	0.+0.040797661636502974*I	0.00003731629279680565+0.*I	0.+0.01618265515038774*I	0.000034004853400935065+0.*I	0.+0.007585108960378652*I	3.755959935913887*^-7+0.*I	0.+0.0031541566023082944*I	0.000024943905711135046+0.*I
1.2218950977336792*^-6+0.*I	0.+0.00019625958520077795*I	3.685736235203312*^-6+0.*I	0.+0.00040662091773164*I	6.174508300276028*^-6+0.*I	0.+0.0006475216435286247*I	8.608289760029023*^-6+0.*I	0.+0.0009403360768726947*I	0.000012905563930671297+0.*I	0.+0.0013220086573636136*I	0.00001076478100594295+0.*I	0.+0.0018307660087360585*I	0.000025285145437093696+0.*I	0.+0.0025922818817028874*I	0.000011687827105936406+0.*I	0.+0.003725881506917401*I	0.00003610756918123201+0.*I	0.+0.005674863271348396*I	0.00002408084125348941+0.*I	0.+0.009268681627996947*I	0.000042112494102090154+0.*I	0.+0.017273262525755454*I	0.000046446306767533375+0.*I	0.+0.04140812112653768*I	0.00006330735746193719+0.*I	0.+0.2110243498775993*I	-0.4998962612316025+0.*I	0.-0.6379496569996972*I	-0.499898170849445+0.*I	0.+0.2105622099310987*I	0.00005566742997415785+0.*I	0.+0.040429565395500834*I	0.00003956056114702077+0.*I	0.+0.015673897799062864*I	0.000019381003563787743+0.*I	0.+0.006810016747922669*I	0.000013661068129401489+0.*I	0.+0.001992682138851477*I
0.+0.00008420794087161692*I	2.195649772734543*^-6+0.*I	0.+0.0002583013741644955*I	4.429626636724824*^-6+0.*I	0.+0.0004503212921550822*I	6.698671933296551*^-6+0.*I	0.+0.0006753964817231755*I	8.920135912453713*^-6+0.*I	0.+0.0009539124163868159*I	0.000013009049358360283+0.*I	0.+0.0013220086573709408*I	0.000010661295589795965+0.*I	0.+0.0018171896692333578*I	0.000024973299236829515+0.*I	0.+0.0025644070434789907*I	0.0000111636635052092+0.*I	0.+0.0036821811324573733*I	0.00003536367880847522+0.*I	0.+0.005612821482377736*I	0.000023107086514024925+0.*I	0.+0.00918447368711349*I	0.000040890599034197385+0.*I	0.+0.01716121088141555*I	0.000044956220297570064+0.*I	0.+0.04125980158300867*I	0.00006156247579987181+0.*I	0.+0.2108271495262223*I	-0.49989817084946936+0.*I	0.-0.6382145965948208*I	-0.4999021562774333+0.*I	0.+0.21019411369010563*I	0.000057911698294831824+0.*I	0.+0.03992080804417944*I	0.000024936711310887897+0.*I	0.+0.014898805586518077*I	0.00003266647572345426+0.*I	0.+0.005648542284491176*I	-0.000011282837577931577+0.*I
9.737547363885722*^-7+0.*I	0.+0.00014624972983399146*I	2.9395401788783056*^-6+0.*I	0.+0.000302001748631367*I	4.953790248456562*^-6+0.*I	0.+0.0004781961303542193*I	7.0105180818348135*^-6+0.*I	0.+0.0006889728212262212*I	9.02362135865123*^-6+0.*I	0.+0.0009539124163642823*I	0.00001290556393271529+0.*I	0.+0.0013084323178706038*I	0.00001034944943241688+0.*I	0.+0.0017893148310056041*I	0.00002444913562854382+0.*I	0.+0.002520706669051277*I	0.000010419773131870708+0.*I	0.+0.003620139343520445*I	0.000034389924106242346+0.*I	0.+0.00552861354148534*I	0.000021885191422518026+0.*I	0.+0.009072422042797972*I	0.00003940051257058962+0.*I	0.+0.017012891337897986*I	0.000043211338644761955+0.*I	0.+0.04106260123162812*I	0.00005965285795684811+0.*I	0.+0.21056220993109037*I	-0.49990215627745355+0.*I	0.-0.6385826928358285*I	-0.49989991200914224+0.*I	0.+0.20968535633874943*I	0.00004328784850096471+0.*I	0.+0.039145715831695564*I	0.00003822218346502677+0.*I	0.+0.013737331123135908*I	7.722569975909288*^-6+0.*I	0.+0.003655860145611049*I
0.+0.00006204178895891964*I	1.717645077366767*^-6+0.*I	0.+0.00018995010428927292*I	3.4637037770709*^-6+0.*I	0.+0.00032987658683730656*I	5.2656364208094836*^-6+0.*I	0.+0.0004917724698482056*I	7.11400351130019*^-6+0.*I	0.+0.00068897282124133*I	8.92013594258701*^-6+0.*I	0.+0.0009403360768711339*I	0.000012593717756380973+0.*I	0.+0.0012805574796694872*I	9.825285781439132*^-6+0.*I	0.+0.0017456144565723682*I	0.000023705245261125754+0.*I	0.+0.002458664880061597*I	9.44601838859818*^-6+0.*I	0.+0.003535931402642562*I	0.00003316802902162663+0.*I	0.+0.005416561897170619*I	0.00002039510499319461+0.*I	0.+0.008924102499247128*I	0.0000376556309031342+0.*I	0.+0.016815690986505937*I	0.000041301720792751857+0.*I	0.+0.04079766163649973*I	0.00005566742996271378+0.*I	0.+0.21019411369010174*I	-0.4998999120091292+0.*I	0.-0.6390914501871678*I	-0.4999145358589477+0.*I	0.+0.20891026412627428*I	0.000056573320624811276+0.*I	0.+0.037984241368228575*I	0.000013278277733427664+0.*I	0.+0.011744648984260258*I	0.000019005407615305372+0.*I
7.438903428035417*^-7+0.*I	0.+0.00010574216342505319*I	2.2418087091927733*^-6+0.*I	0.+0.00021782494247325412*I	3.775549989043725*^-6+0.*I	0.+0.00034345292632572067*I	5.369121813168773*^-6+0.*I	0.+0.0004917724698733996*I	7.010518111535028*^-6+0.*I	0.+0.0006753964817432115*I	8.608289763116668*^-6+0.*I	0.+0.0009124612386326939*I	0.000012069554139628466+0.*I	0.+0.0012368571052252667*I	9.081395443668076*^-6+0.*I	0.+0.001683572667598674*I	0.000022731490556568806+0.*I	0.+0.0023744569391883027*I	8.22412329829362*^-6+0.*I	0.+0.0034238797583041303*I	0.00003167794255811344+0.*I	0.+0.005268242353648768*I	0.00001865022332856722+0.*I	0.+0.008726902147882508*I	0.00003574601307193983+0.*I	0.+0.016550751391405327*I	0.00003731629279412558+0.*I	0.+0.04042956539548045*I	0.00005791169827044401+0.*I	0.+0.2096853563387781*I	-0.4999145358589378+0.*I	0.-0.6398665423996818*I	-0.4999012503868247+0.*I	0.+0.20774878966284907*I	0.000031629414949842985+0.*I	0.+0.035991559229354014*I	0.00002456111531716663+0.*I	0.+0.008088788838646943*I
0.+0.00004370037446573026*I	1.2680540046866259*^-6+0.*I	0.+0.00013361700162833995*I	2.5536548790891745*^-6+0.*I	0.+0.00023140128201144886*I	3.879035379623113*^-6+0.*I	0.+0.0003434529263333142*I	5.265636424909027*^-6+0.*I	0.+0.0004781961303636614*I	6.698671932087031*^-6+0.*I	0.+0.0006475216435102793*I	8.0841261528336*^-6+0.*I	0.+0.0008687608641957245*I	0.000011325663740636998+0.*I	0.+0.0011748153162593616*I	8.107640700322871*^-6+0.*I	0.+0.001599364726717113*I	0.000021509595450709556+0.*I	0.+0.0022624052948692227*I	6.734036881756042*^-6+0.*I	0.+0.003275560214769852*I	0.000029933060892364928+0.*I	0.+0.005071042002271472*I	0.00001674060548335572+0.*I	0.+0.008461962552738478*I	0.000031760585060205273+0.*I	0.+0.01618265515039798*I	0.00003956056112585642+0.*I	0.+0.03992080804414212*I	0.000043287848484315435+0.*I	0.+0.20891026412627114*I	-0.4999012503868125+0.*I	0.-0.6410280168631194*I	-0.49992619429249247+0.*I	0.+0.20575610752399257*I	0.00004291225248431472+0.*I	0.+0.032335699083760265*I	5.555707767789116*^-6+0.*I
5.241636024160083*^-7+0.*I	0.+0.00007157521263766832*I	1.5799001739432317*^-6+0.*I	0.+0.00014719334112596715*I	2.657140319664022*^-6+0.*I	0.+0.00023140128199117626*I	3.775549960980358*^-6+0.*I	0.+0.00032987658685610586*I	4.953790242553054*^-6+0.*I	0.+0.00045032129214886863*I	6.174508294226532*^-6+0.*I	0.+0.0006038212690576374*I	7.34023575315877*^-6+0.*I	0.+0.0008067190752381847*I	0.000010351909049192919+0.*I	0.+0.0010906073753659408*I	6.885745662007223*^-6+0.*I	0.+0.001487313082386173*I	0.000020019508984568928+0.*I	0.+0.00211408575132322*I	4.989155173364042*^-6+0.*I	0.+0.0030783598634111396*I	0.000028023443065463047+0.*I	0.+0.00480610240711615*I	0.000012755177474435358+0.*I	0.+0.0080938663117469*I	0.000034004853401901875+0.*I	0.+0.01567389779904831*I	0.000024936711307432138+0.*I	0.+0.03914571583167883*I	0.00005657332062811106+0.*I	0.+0.20774878966283147*I	-0.4999261942925204+0.*I	0.-0.6430206990019527*I	-0.4999149114549341+0.*I	0.+0.20210024737833826*I	0.00002390684492790053+0.*I	0.+0.024246910245113634*I
0.+0.000027874838254052154*I	8.36009803416772*^-7+0.*I	0.+0.0000851515521670346*I	1.6833855734767416*^-6+0.*I	0.+0.00014719334113492714*I	2.553654889659157*^-6+0.*I	0.+0.00021782494251912913*I	3.4637037975020073*^-6+0.*I	0.+0.0003020017486054107*I	4.429626590638333*^-6+0.*I	0.+0.00040662091771040144*I	5.430617944704589*^-6+0.*I	0.+0.0005417794800853886*I	6.366481039180806*^-6+0.*I	0.+0.0007225111343736403*I	9.130013972745238*^-6+0.*I	0.+0.000978555731032882*I	5.395659182425011*^-6+0.*I	0.+0.0013389935388613801*I	0.00001827462733222005+0.*I	0.+0.0019168853999711156*I	3.0795373563357256*^-6+0.*I	0.+0.0028134202682662452*I	0.000024038015061145916+0.*I	0.+0.004438006166113592*I	0.000014999445811358071+0.*I	0.+0.007585108960393773*I	0.000019381003568867976+0.*I	0.+0.014898805586561885*I	0.000038222183468109385+0.*I	0.+0.03798424136824154*I	0.00003162941491139698+0.*I	0.+0.2057561075239546*I	-0.49991491145493866+0.*I	0.-0.6466765591475515*I	-0.4999339168625193+0.*I	0.+0.19401145853972213*I	0.000018351137165007814+0.*I
3.1184619572478247*^-7+0.*I	0.+0.000041451177704870005*I	9.394952177732682*^-7+0.*I	0.+0.00008515155217315954*I	1.5799001620228625*^-6+0.*I	0.+0.00013361700162883486*I	2.2418087141848738*^-6+0.*I	0.+0.0001899501042954345*I	2.939540194892351*^-6+0.*I	0.+0.0002583013741588867*I	3.6857362346584327*^-6+0.*I	0.+0.0003445791287317111*I	4.4568632101995*^-6+0.*I	0.+0.0004575715392369072*I	5.144585944046623*^-6+0.*I	0.+0.0006104594900245522*I	7.639927539141006*^-6+0.*I	0.+0.0008302361874992512*I	3.6507774759145614*^-6+0.*I	0.+0.0011417931874994356*I	0.00001636500947482656+0.*I	0.+0.0016519458048437435*I	-9.058906415169098*^-7+0.*I	0.+0.0024453240272361487*I	0.000026282283360849653+0.*I	0.+0.003929248814765719*I	3.755960004127144*^-7+0.*I	0.+0.006810016747908055*I	0.00003266647574584822+0.*I	0.+0.013737331123147635*I	0.000013278277735655943+0.*I	0.+0.03599155922937685*I	0.00004291225245180291+0.*I	0.+0.20210024737837298*I	-0.4999339168625053+0.*I	0.-0.6547653479862164*I	-0.499939472570249+0.*I	0.+0.16976454829463583*I
0.+0.000013576339493828483*I	4.153315692665823*^-7+0.*I	0.+0.00004145117773982025*I	8.360098110568354*^-7+0.*I	0.+0.00007157521264682259*I	1.2680539969033905*^-6+0.*I	0.+0.00010574216341019318*I	1.7176450868932163*^-6+0.*I	0.+0.0001462497298346558*I	2.1956497780139393*^-6+0.*I	0.+0.0001962595851953127*I	2.7119815275532904*^-6+0.*I	0.+0.0002603711878686029*I	3.2349681205137127*^-6+0.*I	0.+0.00034551989489671437*I	3.6544995321926258*^-6+0.*I	0.+0.0004621399465033137*I	5.895045826117035*^-6+0.*I	0.+0.0006330358361492964*I	1.7411596700739754*^-6+0.*I	0.+0.0008768535923643409*I	0.0000123795814881307+0.*I	0.+0.0012838495638240362*I	1.3383776798110296*^-6+0.*I	0.+0.0019365666759092626*I	0.000011658433577147458+0.*I	0.+0.003154156602294633*I	0.000013661068142846875+0.*I	0.+0.005648542284498559*I	7.722569979705993*^-6+0.*I	0.+0.011744648984249428*I	0.000024561115344078734+0.*I	0.+0.03233569908376645*I	0.000023906844891099877+0.*I	0.+0.19401145853973406*I	-0.4999394725702403+0.*I	0.-0.6790122582313249*I	-0.4999578237074715+0.*I
1.0348537332122891*^-7+0.*I	0.+0.000013576339506348153*I	3.1184621865785393*^-7+0.*I	0.+0.000027874838208809322*I	5.241635757151581*^-7+0.*I	0.+0.000043700374460677525*I	7.43890402018951*^-7+0.*I	0.+0.00006204178896094154*I	9.737547142384302*^-7+0.*I	0.+0.00008420794087857052*I	1.2218950975716723*^-6+0.*I	0.+0.00011205164432976134*I	1.4900864230619451*^-6+0.*I	0.+0.0001483195435313567*I	1.7448817027296824*^-6+0.*I	0.+0.0001972003513575691*I	1.909617816195228*^-6+0.*I	0.+0.00026493959513520507*I	3.985427996352169*^-6+0.*I	0.+0.0003680962410228762*I	-2.2442683548479876*^-6+0.*I	0.+0.000508757351368825*I	0.000014623849836269213+0.*I	0.+0.0007750922124669824*I	-0.000013285472159637281+0.*I	0.+0.0011614744634165643*I	0.000024943905710479117+0.*I	0.+0.0019926821388607263*I	-0.000011282837566418827+0.*I	0.+0.0036558601456124435*I	0.000019005407591744724+0.*I	0.+0.008088788838664719*I	5.555707698946913*^-6+0.*I	0.+0.02424691024510013*I	0.00001835113718354103+0.*I	0.+0.16976454829461934*I	-0.4999578237074293+0.*I	0.-0.8487768065259085*I
