0.46453580030449176-0.6253246911082064*I	-0.2789584159355098-0.3415431853421384*I	-0.22464318428749+0.08129243899681765*I	0.1381246896401372+0.05885844123703711*I
-0.2789584159355233-0.34154318534213557*I	0.2398926160169848-0.5440322521113902*I	-0.1408337262953847-0.2826847441051087*I	-0.2246431842874954+0.08129243899681127*I
-0.2246431842875003+0.08129243899681445*I	-0.1408337262953877-0.28268474410510414*I	0.2398926160169878-0.5440322521113921*I	-0.278958415935518-0.3415431853421432*I
0.13812468964014246+0.05885844123702649*I	-0.2246431842874872+0.08129243899681571*I	-0.27895841593551296-0.3415431853421327*I	0.46453580030448716-0.6253246911082042*I
