0.-0.8487765815169117*I	-0.4999576061628063+0.*I	0.+0.16976462209724638*I	0.00001688149449771108+0.*I	0.+0.02425109573282618*I	0.00001077078624670375+0.*I	0.+0.008082531079442257*I	7.89354606616848*^-6+0.*I	0.+0.0036725881005367955*I	6.191524429373661*^-6+0.*I	0.+0.001976159873859772*I	5.0520423028277905*^-6+0.*I	0.+0.0011842175802905355*I	4.2262581306604655*^-6+0.*I	0.+0.0007646752204292143*I	3.6372426470638653*^-6+0.*I	0.+0.0005215536399884907*I	3.298852220468438*^-6+0.*I	0.+0.00037144117393010146*I	1.18734891147625*^-6+0.*I	0.+0.0002692465317792738*I	7.506811410851533*^-6+0.*I	0.+0.00021290478400397012*I	-9.134329291304698*^-6+0.*I	0.+0.00014283975429939014*I	0.00001916523960179085+0.*I	0.+0.0001418949636118989*I	-0.000018451517491163233+0.*I	0.+0.00007715426080995495*I	0.00001872545614931932+0.*I	0.+0.00009088479387380904*I	-0.000010031492286665506+0.*I	0.+0.00005258118152967859*I	6.139323600074081*^-6+0.*I	0.+0.00005071469351930741*I	-6.953515329900063*^-7+0.*I	0.+0.00003647510955882016*I	8.502101733950251*^-7+0.*I	0.+0.00002808971565815576*I	5.367276222320615*^-7+0.*I	0.+0.000020200300678853143*I	3.5247518720295365*^-7+0.*I	0.+0.000013051744634028994*I	2.114207473169396*^-7+0.*I	0.+6.408087008122052*^-6*I	7.130410956095862*^-8+0.*I
5.052042300428614*^-6+0.*I	0.+0.003160377454139757*I	0.000015469824836865216+0.*I	0.+0.0075976407750759705*I	0.00002700061359876451+0.*I	0.+0.016201725494549513*I	0.000041070252076650784+0.*I	0.+0.04082426240134652*I	0.000059139095464812586+0.*I	0.+0.2108581310303191*I	-0.49989096025595414+0.*I	0.-0.6377055457025866*I	-0.49990009458520307+0.*I	0.+0.2112138755686397*I	0.00007667681721555031+0.*I	0.+0.041591148434998816*I	0.00004134380522738732+0.*I	0.+0.01741720696300924*I	0.00004929847513485829+0.*I	0.+0.009425560677393995*I	0.000031373436715720965+0.*I	0.+0.005805553758424556*I	0.0000313212358689998+0.*I	0.+0.0038801085780146246*I	0.00002557384210722748+0.*I	0.+0.0027323661073561816*I	0.000022197794134789196+0.*I	0.+0.0019957806025694413*I	0.000019097279111572437+0.*I	0.+0.0014944272632945066*I	0.000016150902043861813+0.*I	0.+0.0011360378339440695*I	0.000015174973905204037+0.*I	0.+0.0008731993892095177*I	7.739466636685677*^-6+0.*I	0.+0.0006602946051484365*I	0.000016802491780670053+0.*I	0.+0.000511046763910002*I	-2.574168571742552*^-6+0.*I	0.+0.00035610005561133263*I	0.00001552487370725759+0.*I	0.+0.0002587454941664453*I	-3.7373100379628563*^-6+0.*I	0.+0.00013977098460632426*I	5.443972085561789*^-6+0.*I	0.+0.00005071469351236098*I
0.+0.0011842175802609753*I	9.278300401998268*^-6+0.*I	0.+0.003925052674611626*I	0.000019107067498199824+0.*I	0.+0.008119194415087502*I	0.000030299465857954205+0.*I	0.+0.016573166668544918*I	0.00004225760099453349+0.*I	0.+0.04109350893303989*I	0.00006664590686798247+0.*I	0.+0.21107103581435596*I	-0.4999000945852025+0.*I	0.-0.6375627059482747*I	-0.4998809293456033+0.*I	0.+0.21135577053226542*I	0.000058225299730242015+0.*I	0.+0.04166830269577779*I	0.000060069261365841686+0.*I	0.+0.01750809175685224*I	0.00003926698281660764+0.*I	0.+0.009478141858905078*I	0.000037512760330655156+0.*I	0.+0.005856268451968941*I	0.0000306258843504536+0.*I	0.+0.003916583687625548*I	0.00002642405225066315+0.*I	0.+0.002760455823019905*I	0.000022734521752240916+0.*I	0.+0.0020159809032722097*I	0.000019449754288644575+0.*I	0.+0.0015074790078935512*I	0.000016362322821890913+0.*I	0.+0.0011424459209322133*I	0.000015246278005649828+0.*I	0.+0.0008731993891743629*I	7.668162519652922*^-6+0.*I	0.+0.0006538865181638349*I	0.00001659107102472617+0.*I	0.+0.0004979950192571425*I	-2.9266437778491505*^-6+0.*I	0.+0.0003358997549551613*I	0.000014988146101718695+0.*I	0.+0.00023065577851726502*I	-4.587520207842408*^-6+0.*I	0.+0.00010329587504824649*I	6.139323616704306*^-6+0.*I
4.226258135363545*^-6+0.*I	0.+0.001948892800683448*I	0.000012915543052910292+0.*I	0.+0.004446606314583187*I	0.00002240591972543981+0.*I	0.+0.008490635589028916*I	0.00003148681473064752+0.*I	0.+0.016842413200294414*I	0.00004976441235745315+0.*I	0.+0.041306413717081956*I	0.00005751157758579264+0.*I	0.+0.21121387556859886*I	-0.49988092934561545+0.*I	0.-0.6374208109846474*I	-0.49989938086306324+0.*I	0.+0.21143292479308315*I	0.00007695075586774125+0.*I	0.+0.041759187489674186*I	0.000050037769089109166+0.*I	0.+0.017560672938421024*I	0.00004540630642296836+0.*I	0.+0.00952885655242898*I	0.00003681740878122837+0.*I	0.+0.005892743561531589*I	0.00003147609457481425+0.*I	0.+0.003944673403264899*I	0.0000269607799158261+0.*I	0.+0.0027806561237013914*I	0.000023086996936919216+0.*I	0.+0.0020290326478703672*I	0.000019661175059055333+0.*I	0.+0.001513887094927165*I	0.000016433626934646402+0.*I	0.+0.0011424459209302463*I	0.000015174973887896059+0.*I	0.+0.0008667913022000471*I	7.456741719222314*^-6+0.*I	0.+0.0006408347735222004*I	0.000016238595822232118+0.*I	0.+0.0004777947185798601*I	-3.463371356030008*^-6+0.*I	0.+0.0003078100392846036*I	0.000014137935923413911+0.*I	0.+0.00019418066893634313*I	-3.8921686735102255*^-6+0.*I	0.+0.00005258118151066619*I
0.+0.0007646752204039165*I	7.863500785949094*^-6+0.*I	0.+0.0024704464406885823*I	0.000016214395299479027+0.*I	0.+0.004818047488539753*I	0.0000235932686610818+0.*I	0.+0.008759882120823055*I	0.00003899362611805613+0.*I	0.+0.017055317984264184*I	0.000040630083132323103+0.*I	0.+0.041449253471400695*I	0.00007667681720023963+0.*I	0.+0.2113557705322522*I	-0.49989938086305896+0.*I	0.-0.6373436567238298*I	-0.4998806554069627+0.*I	0.+0.21152380958690864*I	0.00006691926359983575+0.*I	0.+0.04181176867121516*I	0.00005617709262518825+0.*I	0.+0.017611387631871468*I	0.000044710954915642515+0.*I	0.+0.009565331662031289*I	0.00003766761897464112+0.*I	0.+0.005920833277193876*I	0.00003201282219838914+0.*I	0.+0.003964873703933496*I	0.000027313255017641296+0.*I	0.+0.0027937078683066617*I	0.000023298417759474657+0.*I	0.+0.0020354407348903464*I	0.000019732479121463756+0.*I	0.+0.0015138870949133146*I	0.000016362322855090878+0.*I	0.+0.0011360378339097278*I	0.000014963553083491453+0.*I	0.+0.0008537395575564177*I	7.104266594303943*^-6+0.*I	0.+0.0006206344728540013*I	0.000015701868193944923+0.*I	0.+0.0004497050029168343*I	-4.313581512685008*^-6+0.*I	0.+0.0002713349297235505*I	0.0000148332874169253+0.*I	0.+0.0001434659754486819*I	-0.000010031492235160915+0.*I
3.6372426577214914*^-6+0.*I	0.+0.0012862288604336338*I	0.000011162352996439478+0.*I	0.+0.0028418876146511602*I	0.000017401744219666435+0.*I	0.+0.0050872940202994115*I	0.00003110008002589334+0.*I	0.+0.00897278690480516*I	0.000029859296875646164+0.*I	0.+0.017198157738557686*I	0.000059795322718062904+0.*I	0.+0.041591148435016996*I	0.000058225299727370153+0.*I	0.+0.21143292479303724*I	-0.49988065540697474+0.*I	0.-0.6372527719299572*I	-0.49989068689923394+0.*I	0.+0.21157639076845355*I	0.00007305858714553879+0.*I	0.+0.04186248336471527*I	0.00005548174115923178+0.*I	0.+0.01764786274147156*I	0.00004556116508298151+0.*I	0.+0.009593421377685518*I	0.000038204346603979556+0.*I	0.+0.005941033577841717*I	0.000032365297333277424+0.*I	0.+0.00397792544859842*I	0.000027524675860406577+0.*I	0.+0.0028001159552865575*I	0.000023369721813191943+0.*I	0.+0.0020354407349131563*I	0.000019661175062270273+0.*I	0.+0.0015074790078892712*I	0.000016150902031596084+0.*I	0.+0.0011229860893244006*I	0.000014611077936748178+0.*I	0.+0.000833539256850464*I	6.567538936587927*^-6+0.*I	0.+0.0005925447572247256*I	0.00001485165807855556+0.*I	0.+0.0004132298933179068*I	-3.618229991860895*^-6+0.*I	0.+0.00022062023623882*I	8.693963813194517*^-6+0.*I	0.+0.00009088479385698521*I
0.+0.0005215536399494304*I	6.936094890288793*^-6+0.*I	0.+0.0016576700343660464*I	0.000012349701944874208+0.*I	0.+0.003111134146370927*I	0.000024908555572462797+0.*I	0.+0.005300198804329424*I	0.000021965750774987234+0.*I	0.+0.00911562665910161*I	0.00004902453646905406+0.*I	0.+0.01734005270221954*I	0.000041343805237238325+0.*I	0.+0.041668302695800026*I	0.00007695075586303654+0.*I	0.+0.2115238095869107*I	-0.4998906868992251+0.*I	0.-0.6372001907484357*I	-0.4998845475756591+0.*I	0.+0.21162710546195848*I	0.00007236323564158856+0.*I	0.+0.04189895847429728*I	0.000056331951293687066+0.*I	0.+0.01767595245714817*I	0.00004609789274797574+0.*I	0.+0.009613621678355666*I	0.000038556821763099654+0.*I	0.+0.005954085322460767*I	0.000032576718127269016+0.*I	0.+0.00398433353558543*I	0.00002759597993516792+0.*I	0.+0.002800115955320285*I	0.000023298417725431197+0.*I	0.+0.0020290326478835065*I	0.000019449754247139025+0.*I	0.+0.001494427263285824*I	0.00001579842689431154+0.*I	0.+0.0011027857886061392*I	0.00001407435031818222+0.*I	0.+0.0008054495412046116*I	5.717328814746901*^-6+0.*I	0.+0.0005560696476099253*I	0.000015547009574779614+0.*I	0.+0.00036251519982320436*I	-9.757553596947047*^-6+0.*I	0.+0.00016803905470451458*I	0.000018725456111244783+0.*I
3.298852224248766*^-6+0.*I	0.+0.0008929948139713283*I	8.12344379632497*^-6+0.*I	0.+0.0019269165661311644*I	0.0000198565133368448+0.*I	0.+0.003324038930416355*I	0.000015774226322035374+0.*I	0.+0.005443038558593241*I	0.00004113099035841025+0.*I	0.+0.009257521622703121*I	0.000030573019001145716+0.*I	0.+0.017417206962990872*I	0.00006006926135818435+0.*I	0.+0.04175918748967284*I	0.00006691926353973947+0.*I	0.+0.21157639076846393*I	-0.49988454757562045+0.*I	0.-0.6371494760549546*I	-0.4998852429271994+0.*I	0.+0.21166358057152745*I	0.00007321344583327915+0.*I	0.+0.04192704818996063*I	0.00005686867895901913+0.*I	0.+0.017696152757871425*I	0.00004645036785705095+0.*I	0.+0.009626673422955714*I	0.00003876824252990401+0.*I	0.+0.0059604934095069855*I	0.0000326480222313065+0.*I	0.+0.003984333535564145*I	0.00002752467584559009+0.*I	0.+0.002793707868326596*I	0.00002308699694250206+0.*I	0.+0.0020159809032241653*I	0.00001909727909742464+0.*I	0.+0.0014742269626051236*I	0.000015261699243481773+0.*I	0.+0.001074696072955941*I	0.000013224140162773485+0.*I	0.+0.0007689744316719941*I	6.412680309706093*^-6+0.*I	0.+0.0005053549540821969*I	9.40768597654228*^-6+0.*I	0.+0.0003099340183423292*I	2.739386324455099*^-7+0.*I	0.+0.00007715426075942218*I
0.+0.0003714411739483853*I	4.486201136279257*^-6+0.*I	0.+0.0011622413456978797*I	0.00001563025521229296+0.*I	0.+0.00213982135012133*I	0.000010722184034246853+0.*I	0.+0.0034668786846923714*I	0.00003493946593812474+0.*I	0.+0.005584933522238059*I	0.000022679472861839617+0.*I	0.+0.00933467588349945*I	0.00004929847510967374+0.*I	0.+0.01750809175689369*I	0.00005003776911500243+0.*I	0.+0.04181176867119439*I	0.00007305858715318885+0.*I	0.+0.21162710546195881*I	-0.4998852429271402+0.*I	0.-0.6371130009453243*I	-0.4998843927170129+0.*I	0.+0.2116916702871941*I	0.00007375017347491079+0.*I	0.+0.0419472484906305*I	0.00005722115409353347+0.*I	0.+0.01770920450246191*I	0.0000466617886699313+0.*I	0.+0.009633081509981104*I	0.00003883954664986365+0.*I	0.+0.005960493409512279*I	0.000032576718145910314+0.*I	0.+0.003977925448553446*I	0.000027313255031704943+0.*I	0.+0.0027806561236889326*I	0.000022734521792515286+0.*I	0.+0.0019957806025908717*I	0.000018560551464773+0.*I	0.+0.0014461372469114064*I	0.000014411489089184118+0.*I	0.+0.0010382209633909426*I	0.00001391949165736124+0.*I	0.+0.000718259738139349*I	2.7335672827448563*^-7+0.*I	0.+0.00045277377257217866*I	0.00001943917824519023+0.*I	0.+0.00021904922440671367*I	-0.00001845151744336629+0.*I
1.187348876310017*^-6+0.*I	0.+0.0006406877057325798*I	0.00001199301256788932+0.*I	0.+0.0013751461297346326*I	6.495925864373096*^-6+0.*I	0.+0.0022826611044398657*I	0.000029887423686027296+0.*I	0.+0.0036087736483093632*I	0.000016487948440085942+0.*I	0.+0.005662087783008852*I	0.00004140492904633747+0.*I	0.+0.009425560677378778*I	0.000039266982806232366+0.*I	0.+0.017560672938414023*I	0.00005617709269904718+0.*I	0.+0.04186248336472642*I	0.00007236323563218898+0.*I	0.+0.21166358057151963*I	-0.49988439271695684+0.*I	0.-0.6370849112296885*I	-0.4998838559893894+0.*I	0.+0.21171187058788382*I	0.00007410264862762244+0.*I	0.+0.041960300235286345*I	0.00005743257493997191+0.*I	0.+0.017715612589433178*I	0.00004673309273615704+0.*I	0.+0.009633081510022115*I	0.0000387682425503609+0.*I	0.+0.005954085322482663*I	0.000032365297370142026+0.*I	0.+0.003964873703948337*I	0.000026960779869943068+0.*I	0.+0.0027604558229897985*I	0.00002219779413551388+0.*I	0.+0.001967690886923479*I	0.000017710341299136097+0.*I	0.+0.0014096621373554873*I	0.00001510684060925535+0.*I	0.+0.0009875062698957904*I	7.780168044273162*^-6+0.*I	0.+0.000665678556594464*I	0.00001030484897541091+0.*I	0.+0.00036188897870303955*I	7.137221420333381*^-7+0.*I	0.+0.0001418949636220526*I
0.+0.00026924653177490097*I	8.69416029580528*^-6+0.*I	0.+0.0008535924897306958*I	2.8586832541867253*^-6+0.*I	0.+0.001517985884030195*I	0.00002566116552317942+0.*I	0.+0.0024245560679992547*I	0.000011435906162434632+0.*I	0.+0.003685927909138304*I	0.000035213404572422855+0.*I	0.+0.0057529725768529225*I	0.00003137343674542206+0.*I	0.+0.009478141858970907*I	0.00004540630644886167+0.*I	0.+0.017611387631874312*I	0.00005548174115038149+0.*I	0.+0.04189895847433136*I	0.00007321344579466479+0.*I	0.+0.21169167028717154*I	-0.49988385598932905+0.*I	0.-0.6370647109289906*I	-0.49988350351421995+0.*I	0.+0.21172492233249812*I	0.00007431406942176057+0.*I	0.+0.04196670832226511*I	0.00005750387895323294+0.*I	0.+0.017715612589456524*I	0.00004666178868294581+0.*I	0.+0.009626673422993783*I	0.00003855682174499208+0.*I	0.+0.005941033577833677*I	0.000032012822212295025+0.*I	0.+0.00394467340327133*I	0.000026424052246130602+0.*I	0.+0.002732366107331187*I	0.00002134758396450464+0.*I	0.+0.0019312157773648366*I	0.00001840569281044352+0.*I	0.+0.0013589474438400995*I	8.96751701241973*^-6+0.*I	0.+0.0009349250883619657*I	0.00001781166033487617+0.*I	0.+0.0005747937626835464*I	-8.42060713773217*^-6+0.*I	0.+0.00028473471789792305*I	0.00001916523960519934+0.*I
7.506811419552106*^-6+0.*I	0.+0.00048215131575632554*I	-4.4016899795389856*^-7+0.*I	0.+0.0009964322440382638*I	0.000022023922856997014+0.*I	0.+0.0016598808476288884*I	7.209648061899681*^-6+0.*I	0.+0.0025017103288520015*I	0.000030161362296088134+0.*I	0.+0.0037768127029658*I	0.000025181912289151545+0.*I	0.+0.005805553758419518*I	0.00003751276034516517+0.*I	0.+0.00952885655244202*I	0.000044710954902719516+0.*I	0.+0.01764786274149334*I	0.00005633195133661755+0.*I	0.+0.04192704818992858*I	0.00007375017341549242+0.*I	0.+0.21171187058790913*I	-0.4998835035141866+0.*I	0.-0.6370516591843681*I	-0.49988329209343185+0.*I	0.+0.21173133041948924*I	0.00007438537355279497+0.*I	0.+0.04196670832226052*I	0.000057432574880638626+0.*I	0.+0.01770920450246709*I	0.00004645036789558828+0.*I	0.+0.009613621678366836*I	0.00003820434661048458+0.*I	0.+0.005920833277146917*I	0.00003147609451934476+0.*I	0.+0.00391658368765455*I	0.000025573842073474894+0.*I	0.+0.002695890997762659*I	0.000022042935504737912+0.*I	0.+0.0018805010838488898*I	0.00001226636923080808+0.*I	0.+0.0013063662623304837*I	0.00001899900924689177+0.*I	0.+0.0008440402944754807*I	-9.13795767418572*^-7+0.*I	0.+0.0004976395018909331*I	0.000010030910332350675+0.*I	0.+0.00014283975429994707*I
0.+0.00021290478402135712*I	-1.62751790085709*^-6+0.*I	0.+0.0006249910700722942*I	0.00001872507062270983+0.*I	0.+0.0011383272076430455*I	3.5724054079547943*^-6+0.*I	0.+0.001737035108415919*I	0.000025935104157230805+0.*I	0.+0.0025925951227042223*I	0.00002012987000469516+0.*I	0.+0.0038293938845231465*I	0.0000313212359261602+0.*I	0.+0.005856268451964703*I	0.00003681740879367311+0.*I	0.+0.009565331662017127*I	0.00004556116507952125+0.*I	0.+0.017675952457125752*I	0.00005686867889769725+0.*I	0.+0.04194724849064961*I	0.00007410264864516265+0.*I	0.+0.21172492233248913*I	-0.4998832920934228+0.*I	0.-0.6370452510973299*I	-0.4998832207892702+0.*I	0.+0.21173133041947467*I	0.00007431406935885969+0.*I	0.+0.0419603002352712*I	0.00005722115414538659+0.*I	0.+0.01769615275782095*I	0.00004609789267347217+0.*I	0.+0.009593421377683903*I	0.000037667618996051184+0.*I	0.+0.005892743561489629*I	0.00003062588436633552+0.*I	0.+0.00388010857805504*I	0.000026269193641471688+0.*I	0.+0.002645176304274795*I	0.000015903611849828032+0.*I	0.+0.0018279199022979027*I	0.00002229786154127088+0.*I	0.+0.0012154814684027704*I	2.7355311453789745*^-7+0.*I	0.+0.0007668860336746763*I	0.000017537721735193655+0.*I	0.+0.00035574453828529423*I	-9.134329306030494*^-6+0.*I
-9.134329270768214*^-6+0.*I	0.+0.00035574453829353807*I	0.00001753772170364924+0.*I	0.+0.0007668860336556385*I	2.735531556322091*^-7+0.*I	0.+0.0012154814684127212*I	0.000022297861526862783+0.*I	0.+0.0018279199023034365*I	0.000015903611840743+0.*I	0.+0.0026451763042495235*I	0.00002626919363402723+0.*I	0.+0.003880108578047644*I	0.00003062588435782514+0.*I	0.+0.00589274356150797*I	0.00003766761899641198+0.*I	0.+0.0095934213776732*I	0.000046097892681988214+0.*I	0.+0.01769615275782373*I	0.0000572211541086951+0.*I	0.+0.04196030023525689*I	0.00007431406940543419+0.*I	0.+0.2117313304195286*I	-0.49988322078928377+0.*I	0.-0.6370452510973946*I	-0.499883292093429+0.*I	0.+0.21172492233254336*I	0.00007410264865036812+0.*I	0.+0.04194724849060572*I	0.000056868678940850946+0.*I	0.+0.01767595245716135*I	0.000045561165063860414+0.*I	0.+0.009565331662003459*I	0.00003681740879824376+0.*I	0.+0.005856268451974024*I	0.0000313212359050315+0.*I	0.+0.003829393884516556*I	0.000020129870027620948+0.*I	0.+0.0025925951227157287*I	0.000025935104187405914+0.*I	0.+0.0017370351084124865*I	3.5724053770836*^-6+0.*I	0.+0.001138327207668795*I	0.00001872507063777641+0.*I	0.+0.0006249910700495699*I	-1.6275178846437892*^-6+0.*I	0.+0.00021290478399009244*I
0.+0.0001428397543035331*I	0.00001003091035404501+0.*I	0.+0.0004976395019118574*I	-9.137957385796804*^-7+0.*I	0.+0.0008440402944546705*I	0.000018999009254827514+0.*I	0.+0.0013063662623333258*I	0.000012266369233381655+0.*I	0.+0.0018805010838306067*I	0.00002204293548431479+0.*I	0.+0.0026958909977746145*I	0.000025573842099815098+0.*I	0.+0.003916583687630999*I	0.000031476094518555026+0.*I	0.+0.0059208332771816165*I	0.000038204346599688514+0.*I	0.+0.009613621678317811*I	0.000046450367871786856+0.*I	0.+0.01770920450249408*I	0.000057432574915485934+0.*I	0.+0.041966708322237124*I	0.0000743853735021635+0.*I	0.+0.21173133041954492*I	-0.49988329209338095+0.*I	0.-0.6370516591843858*I	-0.4998835035142443+0.*I	0.+0.21171187058789884*I	0.00007375017348035525+0.*I	0.+0.041927048189929025*I	0.000056331951328170537+0.*I	0.+0.017647862741498377*I	0.0000447109549041508+0.*I	0.+0.00952885655246099*I	0.00003751276031230106+0.*I	0.+0.005805553758416905*I	0.00002518191233324327+0.*I	0.+0.003776812702990786*I	0.000030161362261790618+0.*I	0.+0.0025017103288514724*I	7.209648065565491*^-6+0.*I	0.+0.0016598808476164697*I	0.000022023922834458402+0.*I	0.+0.0009964322440413954*I	-4.401689566987455*^-7+0.*I	0.+0.0004821513157371446*I	7.506811361306475*^-6+0.*I
0.000019165239619132205+0.*I	0.+0.00028473471788411226*I	-8.420607143005743*^-6+0.*I	0.+0.0005747937626988977*I	0.000017811660373745063+0.*I	0.+0.0009349250883515092*I	8.967516983343488*^-6+0.*I	0.+0.0013589474438269653*I	0.000018405692827811503+0.*I	0.+0.0019312157773608962*I	0.000021347583976080923+0.*I	0.+0.0027323661073414404*I	0.00002642405227367618+0.*I	0.+0.0039446734032563035*I	0.000032012822164543183+0.*I	0.+0.005941033577849864*I	0.000038556821767128576+0.*I	0.+0.009626673423006844*I	0.00004666178866132836+0.*I	0.+0.01771561258944263*I	0.000057503878974026764+0.*I	0.+0.04196670832228208*I	0.00007431406943769232+0.*I	0.+0.21172492233251042*I	-0.49988350351421784+0.*I	0.-0.6370647109289858*I	-0.49988385598933727+0.*I	0.+0.21169167028719063*I	0.00007321344579296189+0.*I	0.+0.041898958474308974*I	0.000055481741146038245+0.*I	0.+0.017611387631911498*I	0.00004540630642959124+0.*I	0.+0.009478141858929945*I	0.00003137343675417378+0.*I	0.+0.005752972576890239*I	0.00003521340455499313+0.*I	0.+0.003685927909075848*I	0.000011435906203663681+0.*I	0.+0.002424556068047715*I	0.000025661165519368943+0.*I	0.+0.0015179858840092713*I	2.858683262530552*^-6+0.*I	0.+0.0008535924897513685*I	8.694160300020074*^-6+0.*I	0.+0.00026924653173766584*I
0.+0.00014189496362241303*I	7.137221647948162*^-7+0.*I	0.+0.0003618889786811783*I	0.00001030484897056581+0.*I	0.+0.0006656785566247872*I	7.780168059091791*^-6+0.*I	0.+0.0009875062698561459*I	0.000015106840617062318+0.*I	0.+0.0014096621373842373*I	0.000017710341326842012+0.*I	0.+0.0019676908869076947*I	0.000022197794116337895+0.*I	0.+0.002760455823019656*I	0.000026960779871315383+0.*I	0.+0.003964873703934333*I	0.00003236529732072167+0.*I	0.+0.005954085322518344*I	0.00003876824257985703+0.*I	0.+0.00963308150996257*I	0.000046733092742003186+0.*I	0.+0.017715612589489994*I	0.00005743257494072055+0.*I	0.+0.04196030023522724*I	0.00007410264858984161+0.*I	0.+0.211711870587908*I	-0.4998838559893497+0.*I	0.-0.6370849112296909*I	-0.49988439271699103+0.*I	0.+0.21166358057153606*I	0.00007236323567498139+0.*I	0.+0.04186248336470457*I	0.000056177092636385224+0.*I	0.+0.017560672938425684*I	0.00003926698283251856+0.*I	0.+0.00942556067739577*I	0.00004140492898065107+0.*I	0.+0.005662087783002301*I	0.000016487948492372852+0.*I	0.+0.0036087736483126575*I	0.00002988742360798263+0.*I	0.+0.0022826611044644693*I	6.495925926849921*^-6+0.*I	0.+0.0013751461297062536*I	0.000011993012495210262+0.*I	0.+0.000640687705721992*I	1.1873489172273597*^-6+0.*I
-0.000018451517472437476+0.*I	0.+0.0002190492243976974*I	0.000019439178271461573+0.*I	0.+0.00045277377258660137*I	2.7335668365345404*^-7+0.*I	0.+0.0007182597381365769*I	0.000013919491701221866+0.*I	0.+0.0010382209633789156*I	0.000014411489069231234+0.*I	0.+0.001446137246908087*I	0.000018560551488599306+0.*I	0.+0.001995780602564914*I	0.000022734521747950646+0.*I	0.+0.0027806561236805795*I	0.000027313255061974933+0.*I	0.+0.003977925448557887*I	0.00003257671812913803+0.*I	0.+0.005960493409519964*I	0.00003883954667245507+0.*I	0.+0.009633081509992886*I	0.000046661788626898085+0.*I	0.+0.01770920450243998*I	0.0000572211541255414+0.*I	0.+0.04194724849065832*I	0.00007375017345864353+0.*I	0.+0.21169167028720626*I	-0.49988439271698365+0.*I	0.-0.6371130009453523*I	-0.49988524292720865+0.*I	0.+0.2116271054619658*I	0.00007305858716199584+0.*I	0.+0.041811768671243275*I	0.000050037769059256086+0.*I	0.+0.01750809175686966*I	0.00004929847513607382+0.*I	0.+0.009334675883509098*I	0.000022679472874972426+0.*I	0.+0.0055849335222318995*I	0.00003493946593415095+0.*I	0.+0.0034668786846930415*I	0.000010722184066259554+0.*I	0.+0.002139821350103154*I	0.000015630255175730577+0.*I	0.+0.0011622413457042949*I	4.486201134860674*^-6+0.*I	0.+0.0003714411739751542*I
0.+0.00007715426076668028*I	2.7393862304005085*^-7+0.*I	0.+0.0003099340183113064*I	9.407685978119943*^-6+0.*I	0.+0.0005053549540870246*I	6.412680315326605*^-6+0.*I	0.+0.0007689744316527374*I	0.000013224140170318773+0.*I	0.+0.0010746960729374685*I	0.000015261699249840893+0.*I	0.+0.001474226962609911*I	0.000019097279079844324+0.*I	0.+0.002015980903241541*I	0.000023086996918990317+0.*I	0.+0.0027937078683466536*I	0.000027524675820612457+0.*I	0.+0.003984333535596779*I	0.000032648022232536006+0.*I	0.+0.00596049340946511*I	0.00003876824254855846+0.*I	0.+0.009626673422996135*I	0.000046450367877435624+0.*I	0.+0.01769615275785817*I	0.000056868678956280336+0.*I	0.+0.04192704818994261*I	0.00007321344583315718+0.*I	0.+0.21166358057152349*I	-0.4998852429271829+0.*I	0.-0.6371494760549266*I	-0.4998845475756412+0.*I	0.+0.21157639076847098*I	0.00006691926353536511+0.*I	0.+0.04175918748967225*I	0.00006006926135545997+0.*I	0.+0.017417206962993512*I	0.000030573019005131094+0.*I	0.+0.009257521622682046*I	0.0000411309903561162+0.*I	0.+0.005443038558601144*I	0.000015774226303979803+0.*I	0.+0.00332403893042987*I	0.000019856513330460124+0.*I	0.+0.0019269165661147008*I	8.123443794453636*^-6+0.*I	0.+0.0008929948139650892*I	3.2988522427004506*^-6+0.*I
0.000018725456110521972+0.*I	0.+0.00016803905467886585*I	-9.757553601263838*^-6+0.*I	0.+0.0003625151998147839*I	0.00001554700957782476+0.*I	0.+0.0005560696476196317*I	5.717328791527614*^-6+0.*I	0.+0.0008054495412052661*I	0.000014074350347408692+0.*I	0.+0.001102785788616352*I	0.00001579842684355437+0.*I	0.+0.001494427263280469*I	0.000019449754240609526+0.*I	0.+0.0020290326478818025*I	0.000023298417725113593+0.*I	0.+0.00280011595531758*I	0.0000275959799497435+0.*I	0.+0.003984333535606721*I	0.000032576718109661465+0.*I	0.+0.005954085322460649*I	0.000038556821792732525+0.*I	0.+0.009613621678360343*I	0.00004609789270910121+0.*I	0.+0.017675952457151815*I	0.00005633195131388548+0.*I	0.+0.04189895847430769*I	0.00007236323563885811+0.*I	0.+0.211627105461941*I	-0.4998845475756366+0.*I	0.-0.6372001907484309*I	-0.4998906868992661+0.*I	0.+0.21152380958694264*I	0.00007695075584661707+0.*I	0.+0.04166830269578987*I	0.000041343805221412694+0.*I	0.+0.017340052702227632*I	0.00004902453648428704+0.*I	0.+0.009115626659113205*I	0.000021965750731383875+0.*I	0.+0.005300198804308858*I	0.00002490855561637115+0.*I	0.+0.00311113414637771*I	0.000012349701923989+0.*I	0.+0.0016576700343669166*I	6.936094895498713*^-6+0.*I	0.+0.0005215536400048332*I
