0.-0.8487765815169117*I	-0.4999576061628063+0.*I	0.+0.16976462209724638*I	0.00001688149449771108+0.*I	0.+0.02425109573282618*I	0.00001077078624670375+0.*I	0.+0.008082531079442257*I	7.89354606616848*^-6+0.*I	0.+0.0036725881005367955*I	6.191524429373661*^-6+0.*I	0.+0.001976159873859772*I	5.0520423028277905*^-6+0.*I	0.+0.0011842175802905355*I	4.2262581306604655*^-6+0.*I	0.+0.0007646752204292143*I	3.6372426470638653*^-6+0.*I	0.+0.0005215536399884907*I	3.298852220468438*^-6+0.*I	0.+0.00037144117393010146*I	1.18734891147625*^-6+0.*I	0.+0.0002692465317792738*I	7.506811410851533*^-6+0.*I	0.+0.00021290478400397012*I	-9.134329291304698*^-6+0.*I	0.+0.00014283975429939014*I	0.00001916523960179085+0.*I	0.+0.0001418949636118989*I	-0.000018451517491163233+0.*I	0.+0.00007715426080995495*I	0.00001872545614931932+0.*I	0.+0.00009088479387380904*I	-0.000010031492286665506+0.*I	0.+0.00005258118152967859*I	6.139323600074081*^-6+0.*I	0.+0.00005071469351930741*I	-6.953515329900063*^-7+0.*I	0.+0.00003647510955882016*I	8.502101733950251*^-7+0.*I	0.+0.00002808971565815576*I	5.367276222320615*^-7+0.*I	0.+0.000020200300678853143*I	3.5247518720295365*^-7+0.*I	0.+0.000013051744634028994*I	2.114207473169396*^-7+0.*I	0.+6.408087008122052*^-6*I	7.130410956095862*^-8+0.*I
-0.49995760616279733+0.*I	0.-0.6790119594196113*I	-0.4999407246683351+0.*I	0.+0.1940157178300986*I	0.000027652280751727136+0.*I	0.+0.03233362681225094*I	0.00001866433235974427+0.*I	0.+0.011755119179969603*I	0.000014085070433239409+0.*I	0.+0.005648747974376525*I	0.000011243566729963445+0.*I	0.+0.0031603774542304144*I	9.278300373932897*^-6+0.*I	0.+0.001948892800702092*I	7.863500824896182*^-6+0.*I	0.+0.0012862288603994296*I	6.936094910695761*^-6+0.*I	0.+0.0008929948139096949*I	4.486201133769844*^-6+0.*I	0.+0.000640687705728896*I	8.69416027343226*^-6+0.*I	0.+0.00048215131578059655*I	-1.627517908719253*^-6+0.*I	0.+0.00035574453832420505*I	0.000010030910341211409+0.*I	0.+0.00028473471790013585*I	7.137221513227731*^-7+0.*I	0.+0.00021904922438426895*I	2.739386796736005*^-7+0.*I	0.+0.00016803905466341454*I	8.69396382968456*^-6+0.*I	0.+0.00014346597544621028*I	-3.892168691602288*^-6+0.*I	0.+0.00010329587502626211*I	5.443972052748554*^-6+0.*I	0.+0.00008718980309350634*I	1.548586778123371*^-7+0.*I	0.+0.00006456482521541555*I	1.3869378082007281*^-6+0.*I	0.+0.00004829001632617854*I	8.892027685780779*^-7+0.*I	0.+0.000033252045320439655*I	5.63895932961101*^-7+0.*I	0.+0.000019459831644349785*I	2.8272487123991723*^-7+0.*I	0.+6.4080869658753405*^-6*I
0.+0.16976462209724305*I	-0.49994072466832845+0.*I	0.-0.6547608636868126*I	-0.49992995388207195+0.*I	0.+0.2020982489094925*I	0.000035545826901488444+0.*I	0.+0.03600621491277826*I	0.000024855856716803068+0.*I	0.+0.01373127905387015*I	0.000019137112815505544+0.*I	0.+0.006832965554674022*I	0.000015469824866428387+0.*I	0.+0.003925052674608241*I	0.000012915543098353081+0.*I	0.+0.0024704464407242135*I	0.000011162353011680691+0.*I	0.+0.0016576700343459779*I	8.123443808909304*^-6+0.*I	0.+0.0011622413456996493*I	0.000011993012506249324+0.*I	0.+0.0008535924897230482*I	-4.4016895258274815*^-7+0.*I	0.+0.0006249910700716038*I	0.000017537721696012906+0.*I	0.+0.0004976395019168168*I	-8.42060714046787*^-6+0.*I	0.+0.0003618889787146243*I	0.00001943917825394798+0.*I	0.+0.00030993401827162075*I	-9.757553597555026*^-6+0.*I	0.+0.0002206202362234437*I	0.000014833287443565191+0.*I	0.+0.00019418066890917587*I	-4.587520223475411*^-6+0.*I	0.+0.00013977098461476878*I	6.294182218204871*^-6+0.*I	0.+0.00011527951873377016*I	6.915862968365981*^-7+0.*I	0.+0.00008476512593327059*I	1.7394129571640069*^-6+0.*I	0.+0.00006134176095489574*I	1.1006235878733954*^-6+0.*I	0.+0.000039660132327302154*I	6.352000164635798*^-7+0.*I	0.+0.00001945983163787556*I	2.114207890692671*^-7+0.*I
0.000016881494481105954+0.*I	0.+0.19401571783009472*I	-0.49992995388205386+0.*I	0.-0.6466783326073273*I	-0.49992206033601394+0.*I	0.+0.20577083701002322*I	0.000041737351287228144+0.*I	0.+0.03798237478669257*I	0.000029907899028523935+0.*I	0.+0.01491549663412481*I	0.00002336337093699894+0.*I	0.+0.007597640775134186*I	0.000019107067500918485+0.*I	0.+0.004446606314595328*I	0.000016214395323739548+0.*I	0.+0.0028418876146304303*I	0.000012349701929928444+0.*I	0.+0.0019269165660981008*I	0.00001563025521336411+0.*I	0.+0.0013751461297260362*I	2.858683231237517*^-6+0.*I	0.+0.0009964322440147973*I	0.00001872507061497668+0.*I	0.+0.0007668860336698112*I	-9.137957488805982*^-7+0.*I	0.+0.0005747937627174188*I	0.000010304848987219288+0.*I	0.+0.0004527737725710387*I	9.407685980630914*^-6+0.*I	0.+0.0003625151998171727*I	-3.6182300191605035*^-6+0.*I	0.+0.0002713349297025289*I	0.00001413793588995897+0.*I	0.+0.00023065577851518078*I	-3.737310003111548*^-6+0.*I	0.+0.000167860700253961*I	6.83090988196355*^-6+0.*I	0.+0.00013547981940946984*I	1.0440614365143912*^-6+0.*I	0.+0.00009781687054777564*I	1.9508337450313084*^-6+0.*I	0.+0.0000677498479823103*I	1.1719276753824537*^-6+0.*I	0.+0.00003966013230819878*I	5.638959378928617*^-7+0.*I	0.+0.000013051744617208403*I
0.+0.024251095732858642*I	0.00002765228073887342+0.*I	0.+0.2020982489094977*I	-0.49992206033596454+0.*I	0.-0.6430057445068689*I	-0.49991586881151723+0.*I	0.+0.20774699688390544*I	0.00004678939357076509+0.*I	0.+0.03916659236696774*I	0.00003413415716373852+0.*I	0.+0.015680171854567524*I	0.00002700061362113427+0.*I	0.+0.008119194415107117*I	0.00002240591976601754+0.*I	0.+0.004818047488554406*I	0.0000174017442325536+0.*I	0.+0.0031111341463911876*I	0.000019856513281701804+0.*I	0.+0.0021398213501414693*I	6.495925912031533*^-6+0.*I	0.+0.0015179858839885795*I	0.000022023922859706503+0.*I	0.+0.001138327207647179*I	2.735531665248902*^-7+0.*I	0.+0.0008440402944494516*I	0.00001781166031575949+0.*I	0.+0.0006656785565913853*I	2.733567208087508*^-7+0.*I	0.+0.0005053549541120126*I	0.000015547009577869495+0.*I	0.+0.00041322989333815197*I	-4.313581541838472*^-6+0.*I	0.+0.00030781003930102933*I	0.000014988146063275908+0.*I	0.+0.00025874549414076656*I	-3.200582388235954*^-6+0.*I	0.+0.0001880610009748751*I	7.183385062909403*^-6+0.*I	0.+0.00014853156404234381*I	1.255482222798355*^-6+0.*I	0.+0.00010422495756767246*I	2.0221378447073303*^-6+0.*I	0.+0.0000677498479726174*I	1.1006235550402435*^-6+0.*I	0.+0.000033252045318462016*I	3.524751664223623*^-7+0.*I
0.000010770786262435253+0.*I	0.+0.032333626812278256*I	0.000035545826799979595+0.*I	0.+0.20577083701001303*I	-0.49991586881157213+0.*I	0.-0.6410295846329533*I	-0.4999108167692703+0.*I	0.+0.20893121446420398*I	0.00005101565172138254+0.*I	0.+0.039931267587398074*I	0.0000377713998509645+0.*I	0.+0.016201725494553638*I	0.000030299465816091313+0.*I	0.+0.008490635589070858*I	0.000023593268634244+0.*I	0.+0.005087294020280034*I	0.00002490855561382495+0.*I	0.+0.003324038930419618*I	0.000010722184061287457+0.*I	0.+0.0022826611044413254*I	0.000025661165531648532+0.*I	0.+0.0016598808476091615*I	3.5724053723775115*^-6+0.*I	0.+0.0012154814684357546*I	0.0000189990092826848+0.*I	0.+0.0009349250883296167*I	7.780168053724225*^-6+0.*I	0.+0.0007182597381339154*I	6.412680332823191*^-6+0.*I	0.+0.0005560696476462407*I	0.000014851658037537768+0.*I	0.+0.0004497050028964873*I	-3.4633713472677023*^-6+0.*I	0.+0.00033589975493178496*I	0.000015524873720627023+0.*I	0.+0.0002789457948371278*I	-2.848107248618653*^-6+0.*I	0.+0.00020111274559345604*I	7.394805833351884*^-6+0.*I	0.+0.0001549396510545599*I	1.3267863224486338*^-6+0.*I	0.+0.00010422495756200646*I	1.9508337481218796*^-6+0.*I	0.+0.00006134176096839331*I	8.892027964967177*^-7+0.*I	0.+0.00002020030070250061*I
0.+0.008082531079482173*I	0.00001866433236116483+0.*I	0.+0.03600621491280366*I	0.00004173735127460034+0.*I	0.+0.20774699688393833*I	-0.4999108167692716+0.*I	0.-0.6398453670526787*I	-0.4999065905111295+0.*I	0.+0.2096958896846237*I	0.00005465289436178334+0.*I	0.+0.04045282122737835*I	0.000041070252071086285+0.*I	0.+0.016573166668505813*I	0.00003148681477271657+0.*I	0.+0.008759882120787706*I	0.000031100080024642265+0.*I	0.+0.005300198804310574*I	0.000015774226334257707+0.*I	0.+0.0034668786847231584*I	0.00002988742362397869+0.*I	0.+0.002424556068020583*I	7.209648075878137*^-6+0.*I	0.+0.0017370351084140087*I	0.000022297861497962384+0.*I	0.+0.0013063662622935447*I	8.967516989206583*^-6+0.*I	0.+0.0009875062698761503*I	0.000013919491666785085+0.*I	0.+0.0007689744316220258*I	5.717328788021209*^-6+0.*I	0.+0.0005925447571902354*I	0.000015701868187642252+0.*I	0.+0.0004777947185663869*I	-2.9266437102971074*^-6+0.*I	0.+0.0003561000556561744*I	0.000015877348886645997+0.*I	0.+0.000291997539481185*I	-2.6366864538648*^-6+0.*I	0.+0.0002075208325965283*I	7.466109908374393*^-6+0.*I	0.+0.00015493965104000903*I	1.255482222662369*^-6+0.*I	0.+0.00009781687056351856*I	1.7394129699330082*^-6+0.*I	0.+0.00004829001632391123*I	5.367276296079296*^-7+0.*I
7.893546076665915*^-6+0.*I	0.+0.011755119179972141*I	0.0000248558567760371+0.*I	0.+0.03798237478667593*I	0.00004678939353550993+0.*I	0.+0.20893121446422644*I	-0.4999065905111532+0.*I	0.-0.6390806918322764*I	-0.4999029532684424+0.*I	0.+0.21021744332461204*I	0.000057951746616109535+0.*I	0.+0.04082426240131664*I	0.000042257600964971606+0.*I	0.+0.016842413200287006*I	0.0000389936261293525+0.*I	0.+0.00897278690481155*I	0.000021965750768647087+0.*I	0.+0.005443038558625001*I	0.00003493946592398847+0.*I	0.+0.003608773648311157*I	0.000011435906185415717+0.*I	0.+0.0025017103288370148*I	0.000025935104178064353+0.*I	0.+0.001827919902290582*I	0.00001226636920513718+0.*I	0.+0.001358947443827917*I	0.000015106840588279471+0.*I	0.+0.0010382209633943238*I	0.000013224140164958496+0.*I	0.+0.0008054495412264059*I	6.567538956846772*^-6+0.*I	0.+0.00062063447285759*I	0.000016238595877395718+0.*I	0.+0.0004979950192345732*I	-2.5741685983717578*^-6+0.*I	0.+0.0003691518002658484*I	0.000016088769663759127+0.*I	0.+0.0002984056264996166*I	-2.5653823624780427*^-6+0.*I	0.+0.00020752083258345405*I	7.394805815812345*^-6+0.*I	0.+0.0001485315640634213*I	1.0440614254821646*^-6+0.*I	0.+0.00008476512592425357*I	1.38693780112128*^-6+0.*I	0.+0.000028089715675837076*I
0.+0.003672588100525068*I	0.000014085070547888166+0.*I	0.+0.01373127905388106*I	0.0000299078990576358+0.*I	0.+0.03916659236696587*I	0.00005101565167216376+0.*I	0.+0.2096958896846162*I	-0.4999029532684772+0.*I	0.-0.6385591381922636*I	-0.4998996544162075+0.*I	0.+0.21058888449857946*I	0.00005913909549978994+0.*I	0.+0.04109350893307032*I	0.000049764412366475175+0.*I	0.+0.017055317984282798*I	0.000029859296866030456+0.*I	0.+0.009115626659133316*I	0.00004113099035909386+0.*I	0.+0.005584933522213229*I	0.000016487948477511463+0.*I	0.+0.003685927909136525*I	0.000030161362279538384+0.*I	0.+0.002592595122657323*I	0.000015903611883938618+0.*I	0.+0.0018805010838464063*I	0.00001840569283995793+0.*I	0.+0.0014096621373304817*I	0.000014411489080516545+0.*I	0.+0.001074696072948545*I	0.000014074350310433955+0.*I	0.+0.0008335392568507348*I	7.1042665519690466*^-6+0.*I	0.+0.0006408347735756184*I	0.000016591071031948733+0.*I	0.+0.0005110467638755655*I	-2.3627477979667398*^-6+0.*I	0.+0.0003755598873094359*I	0.000016160073752026575+0.*I	0.+0.0002984056264834661*I	-2.6366864373049127*^-6+0.*I	0.+0.00020111274555537835*I	7.18338501674623*^-6+0.*I	0.+0.00013547981943931838*I	6.91586290222382*^-7+0.*I	0.+0.0000645648252367552*I	8.502101466929281*^-7+0.*I
6.191524453130415*^-6+0.*I	0.+0.005648747974386724*I	0.000019137112830965887+0.*I	0.+0.01491549663416727*I	0.00003413415718680686+0.*I	0.+0.039931267587390434*I	0.00005465289432123857+0.*I	0.+0.21021744332463885*I	-0.49989965441619705+0.*I	0.-0.6381876970183213*I	-0.4998984670673224+0.*I	0.+0.21085813103032425*I	0.00006664590690161198+0.*I	0.+0.041306413717100844*I	0.00004063008308384308+0.*I	0.+0.017198157738579235*I	0.00004902453647357534+0.*I	0.+0.009257521622710119*I	0.000022679472857669457+0.*I	0.+0.005662087783012691*I	0.00003521340461914988+0.*I	0.+0.0037768127029849424*I	0.000020129869998420226+0.*I	0.+0.0026451763042313016*I	0.000022042935474580984+0.*I	0.+0.0019312157773417348*I	0.00001771034128351274+0.*I	0.+0.001446137246937216*I	0.000015261699241743038+0.*I	0.+0.001102785788607305*I	0.000014611077956680693+0.*I	0.+0.0008537395575665963*I	7.45674173987146*^-6+0.*I	0.+0.0006538865181832452*I	0.00001680249181615267+0.*I	0.+0.0005174548508737228*I	-2.2914436936584828*^-6+0.*I	0.+0.0003755598873017638*I	0.000016088769667858448+0.*I	0.+0.00029199753945431943*I	-2.8481072463092595*^-6+0.*I	0.+0.00018806100097783042*I	6.830909860044053*^-6+0.*I	0.+0.00011527951871946135*I	1.5485866070722985*^-7+0.*I	0.+0.00003647510959516666*I
0.+0.001976159873904884*I	0.000011243566711278876+0.*I	0.+0.006832965554674929*I	0.000023363370913627428+0.*I	0.+0.015680171854582963*I	0.00003777139984076142+0.*I	0.+0.040452821227372926*I	0.00005795174658170414+0.*I	0.+0.21058888449857746*I	-0.4998984670672857+0.*I	0.-0.6379184504865482*I	-0.4998909602559648+0.*I	0.+0.21107103581431955*I	0.000057511577632492685+0.*I	0.+0.04144925347137428*I	0.00005979532267352978+0.*I	0.+0.017340052702222195*I	0.00003057301899906081+0.*I	0.+0.009334675883488535*I	0.00004140492902396689+0.*I	0.+0.005752972576917126*I	0.000025181912298123847+0.*I	0.+0.003829393884482313*I	0.000026269193579474826+0.*I	0.+0.002695890997756912*I	0.000021347583971719056+0.*I	0.+0.0019676908869298696*I	0.00001856055145866542+0.*I	0.+0.0014742269625826862*I	0.000015798426872385977+0.*I	0.+0.0011229860893125778*I	0.000014963553126395+0.*I	0.+0.0008667913021817594*I	7.668162521725863*^-6+0.*I	0.+0.0006602946051847724*I	0.000016873795885567655+0.*I	0.+0.000517454850890396*I	-2.362747771268939*^-6+0.*I	0.+0.0003691518002742743*I	0.000015877348873600863+0.*I	0.+0.0002789457948374099*I	-3.2005823991319014*^-6+0.*I	0.+0.00016786070026068313*I	6.294182246997527*^-6+0.*I	0.+0.00008718980310361255*I	-6.953515246847059*^-7+0.*I
