0.-0.8487769754495245*I	-0.4999574435299124+0.*I	0.+0.16976403798306103*I	0.000015302360454423264+0.*I	0.+0.02424604950485533*I	0.000015818507324681766+0.*I	0.+0.008087555495317207*I	-3.438465530714743*^-6+0.*I	0.+0.0036542357599262665*I	0.000023384138340036128+0.*I	0.+0.0019906234720898155*I	-0.000015173552762137053+0.*I	0.+0.0011589389219997664*I	0.0000213552516747954+0.*I	0.+0.0007720243337408367*I	-7.87319060306399*^-6+0.*I	0.+0.000505074591005468*I	7.938926889883535*^-6+0.*I	0.+0.0003637121707093724*I	8.227453700102269*^-7+0.*I	0.+0.000259731581159911*I	2.1399203055586427*^-6+0.*I	0.+0.00019102046295256525*I	1.6368590400623332*^-6+0.*I	0.+0.0001409782732433168*I	1.2916045668501868*^-6+0.*I	0.+0.00010330733583847201*I	1.0102393196712737*^-6+0.*I	0.+0.00007374977209274186*I	7.46167233395781*^-7+0.*I	0.+0.000049466133531662904*I	4.907656955649551*^-7+0.*I	0.+0.000028477308515940936*I	2.4360762687662914*^-7+0.*I	0.+9.29994240102261*^-6*I
-0.49995744352846255+0.*I	0.-0.6790129374673111*I	-0.4999421411711931+0.*I	0.+0.19401008748392262*I	0.00003112086617636685+0.*I	0.+0.03233360499573138*I	0.000012380033890657096+0.*I	0.+0.011741791250946123*I	0.00001994569043654393+0.*I	0.+0.0056448592227791895*I	8.210593789082192*^-6+0.*I	0.+0.003149562385784352*I	6.181685576794269*^-6+0.*I	0.+0.001930963246798897*I	0.000013482048426764715+0.*I	0.+0.0012770989286587562*I	6.574464356940552*^-8+0.*I	0.+0.0008687867551448804*I	8.761677994310379*^-6+0.*I	0.+0.000623443749800514*I	2.9626711998501007*^-6+0.*I	0.+0.0004507520441842176*I	3.776773557765914*^-6+0.*I	0.+0.0003319987344304511*I	2.928467055409972*^-6+0.*I	0.+0.0002442856094283517*I	2.3018422015421483*^-6+0.*I	0.+0.00017705710510122812*I	1.7563965175468417*^-6+0.*I	0.+0.00012321590986759658*I	1.2369407588722625*^-6+0.*I	0.+0.00007794344647425734*I	7.343744983000713*^-7+0.*I	0.+0.00003777724856164986*I	2.436115867296418*^-7+0.*I
0.+0.16976403798769912*I	-0.4999421411574792+0.*I	0.-0.6547668879587668*I	-0.49992632266150855+0.*I	0.+0.20209764298230543*I	0.00002768239866727081+0.*I	0.+0.03598784075437282*I	0.00003576418698028482+0.*I	0.+0.01373241472275677*I	4.772116415990672*^-6+0.*I	0.+0.006803798149829086*I	0.00002956583996857096+0.*I	0.+0.00392158672531763*I	-1.6914944041983822*^-6+0.*I	0.+0.0024360378416838774*I	0.000021420984606669452+0.*I	0.+0.0016408110987036623*I	8.884827683134261*^-7+0.*I	0.+0.0011285183436207519*I	0.000010901593345616756+0.*I	0.+0.0008144642078208725*I	4.599522276687231*^-6+0.*I	0.+0.0005917303195414406*I	5.068385843881893*^-6+0.*I	0.+0.0004353060595598743*I	3.938698496373777*^-6+0.*I	0.+0.0003180353863204907*I	3.048009572948261*^-6+0.*I	0.+0.00022652324320748124*I	2.247169706268851*^-6+0.*I	0.+0.00015169321683040915*I	1.4805443084811586*^-6+0.*I	0.+0.00008724338963962686*I	7.343759012832205*^-7+0.*I	0.+0.00002847730974328555*I
0.000015302370107994677+0.*I	0.+0.1940100874837247*I	-0.4999263226604551+0.*I	0.-0.6466793324712746*I	-0.4999297611369443+0.*I	0.+0.20575187873702297*I	0.00005106654298950265+0.*I	0.+0.03797846422706578*I	0.000020590624781271503+0.*I	0.+0.014891353638275583*I	0.000026127379393310783+0.*I	0.+0.007575822476072972*I	0.000021692638993395538+0.*I	0.+0.0044266613135007585*I	6.247434965373127*^-6+0.*I	0.+0.0027997500072328577*I	0.00002224373181372655+0.*I	0.+0.0019005426818268353*I	3.0284065680307005*^-6+0.*I	0.+0.0013195387969420712*I	0.00001253847019665379+0.*I	0.+0.0009554424901187029*I	5.891127181204795*^-6+0.*I	0.+0.0006950376400776478*I	6.07861296064934*^-6+0.*I	0.+0.0005090558458441162*I	4.684865532813489*^-6+0.*I	0.+0.0003675015169146289*I	3.5387685841799643*^-6+0.*I	0.+0.00025500054945229553*I	2.490792076588495*^-6+0.*I	0.+0.00016099315283884825*I	1.4805354506541298*^-6+0.*I	0.+0.00007794344882955807*I	4.907767083422998*^-7+0.*I
0.+0.024246049506438272*I	0.000031120874668404044+0.*I	0.+0.2020976429788491*I	-0.49992976112738685+0.*I	0.-0.6430250967083811*I	-0.49990637698784984+0.*I	0.+0.2077425022114085*I	0.0000358929888142094+0.*I	0.+0.03913740314776531*I	0.00004194588075998009+0.*I	0.+0.015663377974213313*I	0.000018254173759065762+0.*I	0.+0.008080897068498231*I	0.00002963157900434897+0.*I	0.+0.004790373473613024*I	7.070173014343444*^-6+0.*I	0.+0.0030594816042189346*I	0.00002438365618399191+0.*I	0.+0.0020915631263075107*I	4.66526686784939*^-6+0.*I	0.+0.0014605170724063185*I	0.000013830056126423982+0.*I	0.+0.0010587498173793702*I	6.9013659881909665*^-6+0.*I	0.+0.0007687874202458173*I	6.824790203801638*^-6+0.*I	0.+0.0005585219793780571*I	5.175627341567075*^-6+0.*I	0.+0.0003959788233426839*I	3.782380170920515*^-6+0.*I	0.+0.00026430049237386594*I	2.4907843138321253*^-6+0.*I	0.+0.0001516932263767659*I	1.2369335442540088*^-6+0.*I	0.+0.00004946613290568447*I
0.000015818505182814367+0.*I	0.+0.032333605005806204*I	0.000027682397634971808+0.*I	0.+0.20575187873739914*I	-0.49990637697419543+0.*I	0.-0.6410344732397194*I	-0.49992155054880183+0.*I	0.+0.20890144113242828*I	0.00005724823623201869+0.*I	0.+0.03990942748277666*I	0.00003407267654753876+0.*I	0.+0.016168452560469507*I	0.00002619311097494985+0.*I	0.+0.008444609235981273*I	0.00003045432980968427+0.*I	0.+0.005050105068013314*I	9.210097364842657*^-6+0.*I	0.+0.0032505020572211134*I	0.00002602051950665088+0.*I	0.+0.0022325413995741786*I	5.956866263289649*^-6+0.*I	0.+0.001563824399909751*I	0.000014840303036276223+0.*I	0.+0.0011324995913362607*I	7.647539082953227*^-6+0.*I	0.+0.0008182535598454439*I	7.315548018366216*^-6+0.*I	0.+0.0005869992756826819*I	5.4192369162863465*^-6+0.*I	0.+0.0004052787712153084*I	3.782381515276284*^-6+0.*I	0.+0.00025500054619056155*I	2.2471752040677123*^-6+0.*I	0.+0.0001232159172306481*I	7.461661288010735*^-7+0.*I
0.+0.00808755549170409*I	0.000012380038422553394+0.*I	0.+0.035987840753741*I	0.000051066548575142006+0.*I	0.+0.20774250220778046*I	-0.4999215505395379+0.*I	0.-0.6398755343015418*I	-0.4999001952858497+0.*I	0.+0.20967346545678492*I	0.00004937504437724588+0.*I	0.+0.040414502069644205*I	0.000042011612991984085+0.*I	0.+0.016532164726448202*I	0.000027015853341481446+0.*I	0.+0.00870434082237874*I	0.00003259424569665052+0.*I	0.+0.00524112551569017*I	0.000010846953831264614+0.*I	0.+0.003391480331033661*I	0.0000273121210450763+0.*I	0.+0.002335848729577386*I	6.967099015583042*^-6+0.*I	0.+0.0016375741867892535*I	0.000015586464175893736+0.*I	0.+0.001181965731647125*I	8.138310223277424*^-6+0.*I	0.+0.0008467308732014941*I	7.559155510584333*^-6+0.*I	0.+0.0005962992094172143*I	5.419239538359027*^-6+0.*I	0.+0.0003959788324591415*I	3.538772129696456*^-6+0.*I	0.+0.00022652324971185467*I	1.7564117141013625*^-6+0.*I	0.+0.00007374977093697194*I
-3.4384664658662894*^-6+0.*I	0.+0.011741791256563862*I	0.00003576418683461718+0.*I	0.+0.037978464228893845*I	0.00003589299837001417+0.*I	0.+0.2089014411360524*I	-0.4999001952847143+0.*I	0.-0.6391035099836114*I	-0.4999080684887892+0.*I	0.+0.2101785400499113*I	0.00005731397712017779+0.*I	0.+0.040778214236655806*I	0.000042834363114738476+0.*I	0.+0.016791896316027705*I	0.000029155782499033446+0.*I	0.+0.008895361285721059*I	0.000034231098548128775+0.*I	0.+0.005382103797639962*I	0.000012138565302969465+0.*I	0.+0.0034947876551533175*I	0.000028322341826351313+0.*I	0.+0.002409598504896549*I	7.713270261341876*^-6+0.*I	0.+0.001687040324933076*I	0.000016077239238577966+0.*I	0.+0.0012104430339453937*I	8.381908323931254*^-6+0.*I	0.+0.000856030799759209*I	7.55915495124565*^-6+0.*I	0.+0.0005869992885807217*I	5.17563833157748*^-6+0.*I	0.+0.00036750151876199625*I	3.0480042241892953*^-6+0.*I	0.+0.00017705710547996073*I	1.0102397758060544*^-6+0.*I
0.+0.003654235758342346*I	0.000019945683764220563+0.*I	0.+0.013732414730331502*I	0.000020590622872813207+0.*I	0.+0.03913740315661144*I	0.000057248236389360375+0.*I	0.+0.2096734654661528*I	-0.4999080684771074+0.*I	0.-0.638598435403507*I	-0.49990012955153995+0.*I	0.+0.2105422522279316*I	0.00005813672571951176+0.*I	0.+0.04103794581560328*I	0.00004497427955470486+0.*I	0.+0.01698291677809203*I	0.00003079263549788246+0.*I	0.+0.009036339547599317*I	0.00003552270436683949+0.*I	0.+0.005485411122543853*I	0.0000131487964683523+0.*I	0.+0.003568537438714041*I	0.00002906852221398403+0.*I	0.+0.0024590646422474674*I	8.20404910814287*^-6+0.*I	0.+0.0017155176247295595*I	0.000016320839890712608+0.*I	0.+0.0012197429734610368*I	8.381908556575386*^-6+0.*I	0.+0.0008467308625636355*I	7.315552825183509*^-6+0.*I	0.+0.0005585219847157805*I	4.6848603256398485*^-6+0.*I	0.+0.0003180353856056112*I	2.30184667305647*^-6+0.*I	0.+0.00010330733189437696*I
0.000023384160192122945+0.*I	0.+0.005644859221855256*I	4.772113614030606*^-6+0.*I	0.+0.01489135365247324*I	0.00004194587988224091+0.*I	0.+0.03990942749563339*I	0.00004937504932935681+0.*I	0.+0.21017854004473338*I	-0.4999001295482113+0.*I	0.-0.6382347232229462*I	-0.4998993068033256+0.*I	0.+0.21080198380507173*I	0.00006027665307767659+0.*I	0.+0.041228966272930725*I	0.00004661113329831028+0.*I	0.+0.017123895050679096*I	0.00003208423856907055+0.*I	0.+0.00913964688360731*I	0.000036532943131519126+0.*I	0.+0.005559160902505624*I	0.00001389496457446178+0.*I	0.+0.003618003574823268*I	0.000029559279696546613+0.*I	0.+0.0024875419595086607*I	8.44765284354086*^-6+0.*I	0.+0.0017248175577457977*I	0.000016320835935820795+0.*I	0.+0.0012104430328363357*I	8.138301628767782*^-6+0.*I	0.+0.0008182535570227576*I	6.824784930076263*^-6+0.*I	0.+0.0005090558361771238*I	3.9386999861383635*^-6+0.*I	0.+0.0002442856110951462*I	1.2915950370895324*^-6+0.*I
0.+0.001990623475340028*I	8.21058961889383*^-6+0.*I	0.+0.006803798145405271*I	0.000026127363844947195+0.*I	0.+0.015663377987934837*I	0.000034072681685810707+0.*I	0.+0.040414502060055944*I	0.00005731398191250065+0.*I	0.+0.2105422522156582*I	-0.49989930680297+0.*I	0.-0.637974991651516*I	-0.49989716688312963+0.*I	0.+0.21099300426205483*I	0.00006191349711105534+0.*I	0.+0.04136994455701266*I	0.00004790274261888792+0.*I	0.+0.017227202383683048*I	0.00003309448092290918+0.*I	0.+0.009213396651582273*I	0.00003727910665729508+0.*I	0.+0.005608627049625489*I	0.000014385740684240963+0.*I	0.+0.0036464808650158165*I	0.000029802900129000474+0.*I	0.+0.0024968418909620538*I	8.447647392720475*^-6+0.*I	0.+0.0017155176234444139*I	0.000016077232674562094+0.*I	0.+0.0011819657367504177*I	7.647533638632435*^-6+0.*I	0.+0.0007687874219020896*I	6.078617654455925*^-6+0.*I	0.+0.00043530606279647277*I	2.928468258228869*^-6+0.*I	0.+0.00014097827574448274*I
