0.-0.8487769754495245*I	-0.4999574435299124+0.*I	0.+0.16976403798306103*I	0.000015302360454423264+0.*I	0.+0.02424604950485533*I	0.000015818507324681766+0.*I	0.+0.008087555495317207*I	-3.438465530714743*^-6+0.*I	0.+0.0036542357599262665*I	0.000023384138340036128+0.*I	0.+0.0019906234720898155*I	-0.000015173552762137053+0.*I	0.+0.0011589389219997664*I	0.0000213552516747954+0.*I	0.+0.0007720243337408367*I	-7.87319060306399*^-6+0.*I	0.+0.000505074591005468*I	7.938926889883535*^-6+0.*I	0.+0.0003637121707093724*I	8.227453700102269*^-7+0.*I	0.+0.000259731581159911*I	2.1399203055586427*^-6+0.*I	0.+0.00019102046295256525*I	1.6368590400623332*^-6+0.*I	0.+0.0001409782732433168*I	1.2916045668501868*^-6+0.*I	0.+0.00010330733583847201*I	1.0102393196712737*^-6+0.*I	0.+0.00007374977209274186*I	7.46167233395781*^-7+0.*I	0.+0.000049466133531662904*I	4.907656955649551*^-7+0.*I	0.+0.000028477308515940936*I	2.4360762687662914*^-7+0.*I	0.+9.29994240102261*^-6*I
-0.000015173560307554896+0.*I	0.+0.003149562391346888*I	0.000029565838531958278+0.*I	0.+0.007575822484959306*I	0.000018254178875094565+0.*I	0.+0.01616845256011684*I	0.00004201161527422373+0.*I	0.+0.04077821423862479*I	0.000058136723710001866+0.*I	0.+0.21080198381409196*I	-0.4998971668820093+0.*I	0.-0.637783971181846*I	-0.49989553002394105+0.*I	0.+0.21113398252313167*I	0.0000632051109114988+0.*I	0.+0.041473251881507446*I	0.00004891297693671914+0.*I	0.+0.017300952161375952*I	0.00003384064057371835+0.*I	0.+0.009262862796252278*I	0.000037769883811356366+0.*I	0.+0.00563710434558634*I	0.000014629344389637317+0.*I	0.+0.0036557808143886706*I	0.000029802902069200665+0.*I	0.+0.0024875419559247636*I	8.204045249274113*^-6+0.*I	0.+0.001687040313740171*I	0.00001558646732607607+0.*I	0.+0.0011324995889592001*I	6.901354339469239*^-6+0.*I	0.+0.000695037645307573*I	5.0683863318046*^-6+0.*I	0.+0.00033199873614711057*I	1.6368504732189315*^-6+0.*I
0.+0.0011589389205870285*I	6.1816881012034094*^-6+0.*I	0.+0.00392158673114338*I	0.000021692650394600984+0.*I	0.+0.008080897066351497*I	0.000026193112032544386+0.*I	0.+0.016532164730670353*I	0.00004283435604765023+0.*I	0.+0.04103794582149454*I	0.000060276638812467615+0.*I	0.+0.21099300425605744*I	-0.49989553002289894+0.*I	0.-0.6376429929145657*I	-0.4998942384260966+0.*I	0.+0.21123728986824594*I	0.00006421534762669529+0.*I	0.+0.04154700164896745*I	0.000049659147192522866+0.*I	0.+0.017350418300378048*I	0.00003433141277631856+0.*I	0.+0.00929134010958483*I	0.000038013488379634426+0.*I	0.+0.005646404278557782*I	0.000014629337288231048+0.*I	0.+0.0036464808833082743*I	0.000029559295487981844+0.*I	0.+0.002459064652074225*I	7.71325795561679*^-6+0.*I	0.+0.0016375741714227468*I	0.000014840301962558997+0.*I	0.+0.0010587498202202575*I	5.891127701130803*^-6+0.*I	0.+0.0005917303081817912*I	3.7767807795769025*^-6+0.*I	0.+0.0001910204585185149*I
0.00002135524584803126+0.*I	0.+0.0019309632519397618*I	-1.691504147164148*^-6+0.*I	0.+0.004426661304443761*I	0.000029631582203514147+0.*I	0.+0.008444609228595487*I	0.000027015864117920744+0.*I	0.+0.016791896319475776*I	0.00004497428275462874+0.*I	0.+0.04122896628489081*I	0.00006191350774574164+0.*I	0.+0.21113398254032725*I	-0.49989423842242503+0.*I	0.-0.6375396855902125*I	-0.4998932281842711+0.*I	0.+0.2113110396486612*I	0.0000649615113652358+0.*I	0.+0.04159646779523377*I	0.000050149909898024226+0.*I	0.+0.017378895604319187*I	0.000034575024119252047+0.*I	0.+0.00930064003663895*I	0.0000380134886639203+0.*I	0.+0.00563710434711291*I	0.000014385736713864994+0.*I	0.+0.003618003572795887*I	0.000029068523655512283+0.*I	0.+0.0024095985156714467*I	6.9671033320142195*^-6+0.*I	0.+0.0015638244004737224*I	0.0000138300544950594+0.*I	0.+0.0009554424886380451*I	4.599538813665683*^-6+0.*I	0.+0.00045075203759689013*I	2.1399222023821274*^-6+0.*I
0.+0.0007720243338554811*I	0.000013482053915968367+0.*I	0.+0.002436037840190877*I	6.247437451898478*^-6+0.*I	0.+0.004790373476219793*I	0.000030454320898507575+0.*I	0.+0.008704340816215766*I	0.000029155778879974383+0.*I	0.+0.01698291678447176*I	0.00004661114132688841+0.*I	0.+0.04136994455259427*I	0.0000632051085243777+0.*I	0.+0.21123728986456394*I	-0.499893228190675+0.*I	0.-0.6374659358119336*I	-0.4998924820202177+0.*I	0.+0.211360505775961*I	0.00006545228107344677+0.*I	0.+0.04162494511565922*I	0.00005039352044289594+0.*I	0.+0.017388195536560618*I	0.000034575027709579186+0.*I	0.+0.009291340099864195*I	0.000037769877819894895+0.*I	0.+0.005608627044658691*I	0.000013894959541245325+0.*I	0.+0.003568537433976879*I	0.00002832235368895337+0.*I	0.+0.002335848737012522*I	5.956863766084725*^-6+0.*I	0.+0.0014605170726506994*I	0.000012538462034868985+0.*I	0.+0.00081446421332039*I	2.9626620598475743*^-6+0.*I	0.+0.0002597315772473671*I
-7.873203450043302*^-6+0.*I	0.+0.001277098916266553*I	0.000021420997151696793+0.*I	0.+0.0027997500065456253*I	7.0701805226327564*^-6+0.*I	0.+0.0050501050595790475*I	0.000032594244123652845+0.*I	0.+0.00889536128584034*I	0.00003079263712317998+0.*I	0.+0.017123895052772824*I	0.00004790273278189856+0.*I	0.+0.041473251876851316*I	0.0000642153428603651+0.*I	0.+0.21131103964078013*I	-0.4998924820183511+0.*I	0.-0.6374164696682075*I	-0.4998919912471001+0.*I	0.+0.21138898308679166*I	0.00006569589058965862+0.*I	0.+0.041634245043468916*I	0.00005039352281090163+0.*I	0.+0.017378895596718406*I	0.000034331415201489964+0.*I	0.+0.009262862802371541*I	0.00003727910464750059+0.*I	0.+0.005559160899044589*I	0.000013148801171869756+0.*I	0.+0.003494787660264728*I	0.00002731211296355998+0.*I	0.+0.0022325413977972897*I	4.66527725676778*^-6+0.*I	0.+0.001319538799760958*I	0.000010901590967153444+0.*I	0.+0.0006234437523308076*I	8.227625989953857*^-7+0.*I
0.+0.0005050745869951898*I	6.574067676646637*^-8+0.*I	0.+0.0016408110803340925*I	0.0000222437358658704+0.*I	0.+0.003059481593243929*I	9.210096976060477*^-6+0.*I	0.+0.005241125527768051*I	0.00003423110537957036+0.*I	0.+0.009036339556544981*I	0.00003208423972253818+0.*I	0.+0.017227202374239643*I	0.00004891297507965987+0.*I	0.+0.04154700165933832*I	0.0000649615077042109+0.*I	0.+0.21136050578192989*I	-0.4998919912415129+0.*I	0.-0.6373879923640977*I	-0.49989174764605376+0.*I	0.+0.21139828302878266*I	0.00006569588859928099+0.*I	0.+0.04162494509724982*I	0.000050149919124059574+0.*I	0.+0.017350418305819626*I	0.0000338406360457964+0.*I	0.+0.00921339664827709*I	0.00003653294123537349+0.*I	0.+0.005485411123616599*I	0.00001213856743245701+0.*I	0.+0.0033914803377680935*I	0.000026020512353639232+0.*I	0.+0.0020915631276585897*I	3.0284093050934217*^-6+0.*I	0.+0.001128518341989078*I	8.76167811821882*^-6+0.*I	0.+0.00036371216489740343*I
7.938933947656006*^-6+0.*I	0.+0.0008687867478941464*I	8.884904174770434*^-7+0.*I	0.+0.0019005426823813104*I	0.000024383655871516935+0.*I	0.+0.0032505020452475125*I	0.000010846959206105424+0.*I	0.+0.005382103798536772*I	0.00003552270229586214+0.*I	0.+0.009139646880128654*I	0.00003309446712250407+0.*I	0.+0.017300952143463062*I	0.00004965914303649879+0.*I	0.+0.041596467806913*I	0.00006545227911888088+0.*I	0.+0.21138898308549453*I	-0.49989174763763433+0.*I	0.-0.6373786924262517*I	-0.49989174763660205+0.*I	0.+0.21138898308607157*I	0.000065452284722382+0.*I	0.+0.041596467794519296*I	0.000049659137041313546+0.*I	0.+0.017300952159728645*I	0.00003309448064940048+0.*I	0.+0.009139646881849473*I	0.000035522699094557766+0.*I	0.+0.005382103797654281*I	0.000010846965129143079+0.*I	0.+0.0032505020447266227*I	0.000024383654035874904+0.*I	0.+0.0019005426720259614*I	8.884797090631582*^-7+0.*I	0.+0.0008687867535255857*I	7.938938884732849*^-6+0.*I
0.+0.0003637121594790779*I	8.761678242160398*^-6+0.*I	0.+0.0011285183390664921*I	3.0284057200848702*^-6+0.*I	0.+0.002091563126130812*I	0.000026020514584458566+0.*I	0.+0.003391480327603384*I	0.000012138552150873263+0.*I	0.+0.005485411122621804*I	0.00003653294241731587+0.*I	0.+0.009213396665520311*I	0.00003384064284452551+0.*I	0.+0.017350418288695386*I	0.000050149926413902037+0.*I	0.+0.041624945104873315*I	0.00006569588749818037+0.*I	0.+0.21139828302478647*I	-0.4998917476450791+0.*I	0.-0.6373879923615805*I	-0.4998919912415951+0.*I	0.+0.21136050577478438*I	0.00006496150098218831+0.*I	0.+0.04154700166912175*I	0.00004891297163403223+0.*I	0.+0.017227202372487843*I	0.000032084241727281326+0.*I	0.+0.009036339546430613*I	0.00003423111205813443+0.*I	0.+0.0052411255262650724*I	9.210101634766322*^-6+0.*I	0.+0.003059481595176626*I	0.000022243736889642635+0.*I	0.+0.0016408110907550622*I	6.574450820931809*^-8+0.*I	0.+0.0005050745831620129*I
8.227494277592774*^-7+0.*I	0.+0.000623443753737274*I	0.000010901602383227504+0.*I	0.+0.0013195388029317574*I	4.66525992860207*^-6+0.*I	0.+0.0022325414019947593*I	0.00002731211905514474+0.*I	0.+0.003494787648818058*I	0.00001314878759163664+0.*I	0.+0.00555916090541155*I	0.00003727911709245586+0.*I	0.+0.009262862794006564*I	0.000034331408111540866+0.*I	0.+0.017378895604172207*I	0.000050393531322213863+0.*I	0.+0.041634245043882294*I	0.00006569588383849076+0.*I	0.+0.2113889830850201*I	-0.4998919912430843+0.*I	0.-0.6374164696698734*I	-0.4998924820255821+0.*I	0.+0.21131103963859085*I	0.0000642153406242741+0.*I	0.+0.04147325187302449*I	0.00004790274213955464+0.*I	0.+0.01712389505645641*I	0.000030792644089849936+0.*I	0.+0.008895361275608834*I	0.0000325942433259774+0.*I	0.+0.005050105055315639*I	7.070176695405403*^-6+0.*I	0.+0.0027997500129904695*I	0.00002142098526244003+0.*I	0.+0.0012770989189276663*I	-7.873190538632002*^-6+0.*I
0.+0.0002597315841482567*I	2.962664928378264*^-6+0.*I	0.+0.0008144642113832937*I	0.000012538460325424128+0.*I	0.+0.0014605170628203407*I	5.956869200294058*^-6+0.*I	0.+0.002335848737582781*I	0.000028322356595782455+0.*I	0.+0.003568537429532538*I	0.000013894955166202167+0.*I	0.+0.005608627039896452*I	0.000037769888455486864+0.*I	0.+0.009291340099503609*I	0.00003457501928477145+0.*I	0.+0.017388195543684468*I	0.000050393522716028905+0.*I	0.+0.04162494510872882*I	0.0000654522815904312+0.*I	0.+0.21136050577607618*I	-0.4998924820197583+0.*I	0.-0.6374659358026351*I	-0.4998932281876697+0.*I	0.+0.21123728986070409*I	0.00006320510718086431+0.*I	0.+0.041369944551094426*I	0.0000466111393619812+0.*I	0.+0.016982916782636158*I	0.000029155779712462724+0.*I	0.+0.008704340816920668*I	0.0000304543215386152+0.*I	0.+0.0047903734788532285*I	6.24743178343573*^-6+0.*I	0.+0.0024360378385412385*I	0.000013482051750579525+0.*I	0.+0.0007720243377472499*I
2.1399218671250367*^-6+0.*I	0.+0.0004507520459064905*I	4.599521982859742*^-6+0.*I	0.+0.0009554424882916538*I	0.000013830060960525478+0.*I	0.+0.001563824392961836*I	6.967098372188938*^-6+0.*I	0.+0.0024095985080731753*I	0.00002906852259310157+0.*I	0.+0.0036180035778885975*I	0.000014385735314315288+0.*I	0.+0.0056371043482394655*I	0.00003801349428550914+0.*I	0.+0.009300640041998626*I	0.00003457501295357731+0.*I	0.+0.01737889560037966*I	0.000050149922635552455+0.*I	0.+0.04159646779876928*I	0.00006496150466997987+0.*I	0.+0.21131103963965808*I	-0.4998932281822674+0.*I	0.-0.637539685577421*I	-0.4998942384260178+0.*I	0.+0.2111339825316718*I	0.0000619135067978018+0.*I	0.+0.041228966285786275*I	0.00004497427813179634+0.*I	0.+0.01679189631366191*I	0.000027015863091058622+0.*I	0.+0.0084446092350169*I	0.000029631578207561347+0.*I	0.+0.004426661305568516*I	-1.6914999847647257*^-6+0.*I	0.+0.0019309632666221137*I	0.000021355241399123592+0.*I
0.+0.00019102046358167313*I	3.776780030960762*^-6+0.*I	0.+0.0005917303138618935*I	5.891128723119247*^-6+0.*I	0.+0.0010587498139842666*I	0.000014840299911722115+0.*I	0.+0.0016375741811976013*I	7.713276019157426*^-6+0.*I	0.+0.002459064651907761*I	0.00002955928968334798+0.*I	0.+0.00364648086677187*I	0.000014629343741487041+0.*I	0.+0.005646404287264775*I	0.00003801348274534421+0.*I	0.+0.009291340104806152*I	0.00003433141370679037+0.*I	0.+0.017350418300300693*I	0.000049659146376251194+0.*I	0.+0.04154700165168124*I	0.00006421534061618441+0.*I	0.+0.21123728987289583*I	-0.4998942384175943+0.*I	0.-0.6376429929141876*I	-0.499895530013429+0.*I	0.+0.21099300426975903*I	0.000060276638297742864+0.*I	0.+0.04103794581819587*I	0.000042834361339241545+0.*I	0.+0.01653216472591302*I	0.00002619310887543747+0.*I	0.+0.008080897064714883*I	0.00002169264686052817+0.*I	0.+0.003921586724070267*I	6.181683374549859*^-6+0.*I	0.+0.0011589389242964293*I
1.636849498531275*^-6+0.*I	0.+0.0003319987379686719*I	5.068383143789559*^-6+0.*I	0.+0.0006950376443078289*I	6.901354399314874*^-6+0.*I	0.+0.0011324995897233076*I	0.000015586470249031524+0.*I	0.+0.0016870403142085148*I	8.20404151638771*^-6+0.*I	0.+0.0024875419577024063*I	0.000029802896613347333+0.*I	0.+0.003655780812692592*I	0.000014629341000074306+0.*I	0.+0.005637104354899662*I	0.00003776988073136649+0.*I	0.+0.00926286279905186*I	0.00003384063981868416+0.*I	0.+0.017300952159505244*I	0.000048912980484753957+0.*I	0.+0.04147325188497284*I	0.00006320510656826912+0.*I	0.+0.2111339825376834*I	-0.4998955300136954+0.*I	0.-0.6377839711847816*I	-0.4998971668835575+0.*I	0.+0.21080198379617987*I	0.00005813672228804418+0.*I	0.+0.04077821423894283*I	0.000042011608788268266+0.*I	0.+0.01616845256430168*I	0.00001825418323209126+0.*I	0.+0.007575822471306708*I	0.00002956583382661401+0.*I	0.+0.003149562396142596*I	-0.000015173562424530829+0.*I
0.+0.0001409782721546668*I	2.9284633990484155*^-6+0.*I	0.+0.00043530606274542333*I	6.078624113196675*^-6+0.*I	0.+0.0007687874254236823*I	7.64752564648224*^-6+0.*I	0.+0.0011819657317078888*I	0.000016077239116920822+0.*I	0.+0.001715517622860499*I	8.447655698783022*^-6+0.*I	0.+0.002496841898705311*I	0.000029802888439633857+0.*I	0.+0.003646480877883676*I	0.000014385738063940644+0.*I	0.+0.00560862704168915*I	0.000037279110370145254+0.*I	0.+0.009213396653983637*I	0.00003309447250739742+0.*I	0.+0.01722720238177719*I	0.000047902742106918624+0.*I	0.+0.04136994454523699*I	0.0000619135143261546+0.*I	0.+0.21099300426968481*I	-0.49989716688597097+0.*I	0.-0.6379749916426994*I	-0.49989930680602435+0.*I	0.+0.21054225222085365*I	0.00005731397381454437+0.*I	0.+0.040414502060286475*I	0.00003407268381603031+0.*I	0.+0.015663377979962555*I	0.00002612737142838031+0.*I	0.+0.006803798147679757*I	8.210585960961726*^-6+0.*I	0.+0.0019906234695324723*I
