0.4297983025482541-0.07426437411426734*I	0.19083075573890756-0.11773448284000985*I	0.05825812698350531-0.11557948130010995*I	-0.01719933217309367-0.07562582704090695*I	-0.045915238553374295-0.022395498920198587*I	-0.03891599183273477+0.01751077038555492*I	-0.014096723363680595+0.029681111421567558*I	0.009770214703934296+0.017577408382651455*I	0.020598990098373626-0.0028291389678811087*I	0.01641826901920795-0.015002517136954855*I	0.003428572803557788-0.012225044382355645*I	-0.00918106047466783-0.00003373826597546112*I	-0.014406041537741318+0.009925548834291382*I	-0.010297208939544944+0.009498380892490253*I
0.19083075573890754-0.1177344828400099*I	0.4880564295317592-0.18984385541437737*I	0.1736314235658138-0.193360309880917*I	0.012342888430130823-0.13797498022030874*I	-0.056115324005828714-0.05811505665535235*I	-0.060011961917055226+0.007285612501368687*I	-0.02914577712880082+0.035088178768206094*I	0.006502266734692717+0.02685197245368619*I	0.026188483723142+0.002574891245696359*I	0.024027562901931247-0.015054183350237008*I	0.007237208544540032-0.015036255402930623*I	-0.010977468734183564-0.0022994955480645785*I	-0.019478269414212775+0.009464642626514513*I	-0.01440604153774132+0.009925548834291222*I
0.05825812698350524-0.11557948130011002*I	0.17363142356581374-0.19336030988091718*I	0.4421411909783848-0.2122393543345765*I	0.1347154317330784-0.1758495394953628*I	-0.0017538349335505618-0.10829386879874198*I	-0.04634510930189526-0.04053764827270158*I	-0.03941297181868237+0.004456473533486956*I	-0.012727508109593472+0.020085661631250685*I	0.009930839538250087+0.014626928071330004*I	0.01700742324847393+0.0025411529797202677*I	0.009621521364189835-0.005128634515946339*I	-0.0030600003950049404-0.005537874510441064*I	-0.010977468734183574-0.002299495548065105*I	-0.009181060474667845-0.00003373826597595042*I
-0.0171993321730938-0.07562582704090716*I	0.012342888430130632-0.13797498022030902*I	0.13471543173307832-0.17584953949536292*I	0.42804446761470316-0.18255824291300987*I	0.14448564643701176-0.15827213111271235*I	0.01884515516482202-0.11112300776662402*I	-0.029926840282688168-0.055540165409657304*I	-0.035984399015125165-0.007768570848869429*I	-0.021908568584261625+0.020051923365274494*I	-0.004475201999491361+0.024552476905620586*I	0.006710214308928965+0.012039533872209683*I	0.009621521364189823-0.005128634515947076*I	0.007237208544539986-0.015036255402931758*I	0.003428572803557732-0.012225044382356474*I
-0.045915238553374545-0.022395498920198816*I	-0.056115324005829144-0.0581150566553527*I	-0.001753834933550865-0.10829386879874227*I	0.14448564643701162-0.15827213111271254*I	0.448643457713076-0.18538738188089213*I	0.16090391545621888-0.17327464824966826*I	0.022273727968379387-0.1233480521489805*I	-0.03910790075735608-0.05557390367563342*I	-0.05039044055286633+0.00215697798542136*I	-0.03220577752380635+0.029550304257764164*I	-0.00447520199949123+0.02455247690562009*I	0.0170074232484739+0.0025411529797191405*I	0.024027562901931067-0.015054183350238382*I	0.01641826901920777-0.015002517136955794*I
-0.03891599183273515+0.017510770385554607*I	-0.06001196191705582+0.007285612501368198*I	-0.0463451093018957-0.04053764827270205*I	0.01884515516482185-0.11112300776662432*I	0.1609039154562188-0.17327464824966826*I	0.45207203051663314-0.19761242626324838*I	0.15172285498155125-0.17330838651564404*I	0.00786768643063871-0.1134225033146893*I	-0.04940510969690025-0.046075522783143245*I	-0.05039044055286575+0.002156977985421379*I	-0.02190856858426119+0.020051923365274137*I	0.009930839538250007+0.014626928071329181*I	0.02618848372314156+0.0025748912456953783*I	0.020598990098373224-0.0028291389678817757*I
-0.014096723363681066+0.02968111142156718*I	-0.029145777128801464+0.03508817876820554*I	-0.03941297181868283+0.004456473533486454*I	-0.029926840282688213-0.05554016540965754*I	0.02227372796837961-0.12334805214898044*I	0.1517228549815515-0.1733083865156439*I	0.43766598897889286-0.18768687742895687*I	0.14142564604200758-0.16381000562315345*I	0.007867686430639844-0.11342250331468874*I	-0.03910790075735466-0.05557390367563275*I	-0.03598439901512436-0.007768570848869016*I	-0.01272750810959362+0.020085661631250744*I	0.006502266734691949+0.026851972453686035*I	0.009770214703933626+0.01757740838265129*I
0.009770214703933825+0.01757740838265109*I	0.006502266734692094+0.02685197245368566*I	-0.01272750810959386+0.02008566163125023*I	-0.03598439901512505-0.007768570848869632*I	-0.03910790075735554-0.05557390367563332*I	0.007867686430639374-0.11342250331468907*I	0.14142564604200802-0.16381000562315337*I	0.4376659889788944-0.18768687742895623*I	0.15172285498155355-0.1733083865156428*I	0.022273727968381465-0.12334805214897897*I	-0.029926840282687113-0.055540165409656034*I	-0.03941297181868261+0.004456473533487835*I	-0.02914577712880185+0.03508817876820659*I	-0.014096723363681478+0.029681111421567763*I
0.020598990098373276-0.0028291389678814114*I	0.02618848372314157+0.002574891245695915*I	0.00993083953824989+0.014626928071329648*I	-0.021908568584261358+0.020051923365274386*I	-0.05039044055286566+0.0021569779854215196*I	-0.049405109696899444-0.046075522783142975*I	0.00786768643064043-0.1134225033146886*I	0.15172285498155372-0.17330838651564273*I	0.45207203051663586-0.19761242626324652*I	0.16090391545622096-0.1732746482496661*I	0.018845155164823-0.11112300776662241*I	-0.046345109301895594-0.0405376482727006*I	-0.06001196191705635+0.007285612501369112*I	-0.03891599183273568+0.017510770385555038*I
0.016418269019207815-0.015002517136955062*I	0.024027562901931133-0.015054183350237308*I	0.017007423248474+0.0025411529797200387*I	-0.004475201999491+0.024552476905620527*I	-0.03220577752380576+0.02955030425776427*I	-0.05039044055286515+0.0021569779854215595*I	-0.03910790075735424-0.05557390367563265*I	0.02227372796838159-0.12334805214897897*I	0.1609039154562209-0.17327464824966618*I	0.44864345771307723-0.18538738188089016*I	0.14448564643701223-0.15827213111271135*I	-0.0017538349335510179-0.10829386879874188*I	-0.056115324005829734-0.05811505665535294*I	-0.045915238553375065-0.022395498920199125*I
0.0034285728035579077-0.012225044382355757*I	0.0072372085445402785-0.015036255402930791*I	0.009621521364190163-0.005128634515946465*I	0.0067102143089293135+0.012039533872209634*I	-0.004475201999490962+0.024552476905620093*I	-0.021908568584261115+0.020051923365274123*I	-0.03598439901512451-0.007768570848869141*I	-0.02992684028268745-0.05554016540965624*I	0.018845155164822665-0.11112300776662266*I	0.14448564643701203-0.15827213111271152*I	0.4280444676147031-0.18255824291301018*I	0.13471543173307787-0.17584953949536433*I	0.012342888430130056-0.1379749802203109*I	-0.017199332173094203-0.07562582704090848*I
-0.009181060474667524-0.00003373826597548971*I	-0.010977468734183074-0.002299495548064627*I	-0.0030600003950044656-0.0055378745104411225*I	0.00962152136419008-0.005128634515947154*I	0.017007423248473815+0.002541152979719*I	0.009930839538249563+0.014626928071328954*I	-0.012727508109594323+0.020085661631250397*I	-0.03941297181868339+0.004456473533487414*I	-0.04634510930189627-0.040537648272701024*I	-0.00175383493355145-0.10829386879874223*I	0.13471543173307768-0.17584953949536453*I	0.44214119097838406-0.21223935433457944*I	0.17363142356581338-0.19336030988092043*I	0.05825812698350506-0.11557948130011221*I
