0.-0.8487990495605653*I	-0.4999453935843271+0.*I	0.+0.16978687812674437*I	-1.6301799939311059*^-6+0.*I	0.+0.024231039454271477*I	0.00002794139150923332+0.*I	0.+0.00809690299391274*I	-3.3442014772302043*^-6+0.*I	0.+0.0036644730836264267*I	0.000011339093487910116+0.*I	0.+0.0019789263548172092*I	3.528532389307062*^-6+0.*I	0.+0.0011833110760590612*I	4.407566381917576*^-6+0.*I	0.+0.0007643862105961019*I	3.6195408400448078*^-6+0.*I	0.+0.0005212082794143411*I	3.0830858954517256*^-6+0.*I	0.+0.0003703664642803403*I	2.6772585431500322*^-6+0.*I	0.+0.00027172359208599284*I	2.333375177184126*^-6+0.*I	0.+0.0002043613824151136*I	2.0347077082376967*^-6+0.*I	0.+0.0001566577807914707*I	1.7718615614342091*^-6+0.*I	0.+0.0001217957344017695*I	1.5369722705661478*^-6+0.*I	0.+0.0000955896996971059*I	1.32388113027523*^-6+0.*I	0.+0.00007536740083979865*I	1.1279025453848994*^-6+0.*I	0.+0.000059362670810775287*I	9.454047075524829*^-7+0.*I	0.+0.00004637021739792302*I	7.734789264836265*^-7+0.*I	0.+0.000035541356798604595*I	6.097522982238285*^-7+0.*I	0.+0.000026258564613024227*I	4.522039014794818*^-7+0.*I	0.+0.000018055533165993454*I	2.990912764446901*^-7+0.*I	0.+0.000010564179549851782*I	1.4884589748590395*^-7+0.*I	0.+3.477605022068897*^-6*I
3.5285342266914055*^-6+0.*I	0.+0.0031622374258986155*I	0.000019275194665156303+0.*I	0.+0.007591096725952252*I	0.000019550537992715374+0.*I	0.+0.01620920800040532*I	0.00005057502411403466+0.*I	0.+0.04081061392028804*I	0.00005162208943596742+0.*I	0.+0.21086921564349137*I	-0.4998914381185021+0.*I	0.-0.6377254725291268*I	-0.4998894034153715+0.*I	0.+0.21123023480753858*I	0.000057762032691201885+0.*I	0.+0.04156515241052519*I	0.00006092918682095411+0.*I	0.+0.017429702650488373*I	0.000034311683058878404+0.*I	0.+0.009408167062846678*I	0.000038783784447143634+0.*I	0.+0.00580305665377536*I	0.00002839009931596467+0.*I	0.+0.0038705005110870666*I	0.000025635039370301914+0.*I	0.+0.00272273079393556*I	0.000021837223885898598+0.*I	0.+0.001984603144016845*I	0.000018669884577980045+0.*I	0.+0.001481450399932854*I	0.000015885896931370804+0.*I	0.+0.0011216481173409645*I	0.000013357474281435695+0.*I	0.+0.000853402128350815*I	0.000011024105526332974+0.*I	0.+0.0006455631397848299*I	8.840553534050078*^-6+0.*I	0.+0.00047834117889200903*I	6.769599826252343*^-6+0.*I	0.+0.00033848990461836565*I	4.780419391783537*^-6+0.*I	0.+0.00021664165576177832*I	2.8467896028413864*^-6+0.*I	0.+0.0001057328915538194*I	9.454064691105657*^-7+0.*I
0.+0.0011833110694162707*I	7.936097082702092*^-6+0.*I	0.+0.003926623639397532*I	0.000022894726641318142+0.*I	0.+0.00811230500014165*I	0.000022633628030540142+0.*I	0.+0.016579574466994706*I	0.00005325227645852255+0.*I	0.+0.04108233751589967*I	0.000053955461449555996+0.*I	0.+0.21107357702646085*I	-0.49988940340787646+0.*I	0.-0.6375688147501861*I	-0.49988763154321464+0.*I	0.+0.21135203053217527*I	0.000059299006578914025+0.*I	0.+0.041660742105715784*I	0.00006225307069658754+0.*I	0.+0.01750507005858109*I	0.000035439581521667494+0.*I	0.+0.009467529734527462*I	0.00003972919210898651+0.*I	0.+0.005849426871448148*I	0.000029163577790634854+0.*I	0.+0.0039060418677910463*I	0.000026244791963312643+0.*I	0.+0.0027489893595537274*I	0.0000222894326266849+0.*I	0.+0.0020026586839950317*I	0.000018968983670288878+0.*I	0.+0.0014920145832686763*I	0.000016034740095563575+0.*I	0.+0.0011251257189736075*I	0.00001335747459870529+0.*I	0.+0.0008499245245424739*I	0.000010875257261160634+0.*I	0.+0.0006349989563058309*I	8.541462320688035*^-6+0.*I	0.+0.0004602856408342723*I	6.3173916339166086*^-6+0.*I	0.+0.0003122313495601825*I	4.17066877362764*^-6+0.*I	0.+0.00018110030170034874*I	2.0733067337548545*^-6+0.*I	0.+0.00005936266815956964*I
4.40756723021778*^-6+0.*I	0.+0.0019476972860151742*I	0.00001155563659478003+0.*I	0.+0.004447831919661175*I	0.000025977819205140957+0.*I	0.+0.008482671473636313*I	0.000025310888203843523+0.*I	0.+0.016851298059235714*I	0.000055585640265448736+0.*I	0.+0.04128669890150884*I	0.000055990172268565445+0.*I	0.+0.2112302348099486*I	-0.49988763155116+0.*I	0.-0.6374470190205127*I	-0.4998860945689358+0.*I	0.+0.21144762023483857*I	0.000060622884805307394+0.*I	0.+0.041736109510636464*I	0.0000633809790894328+0.*I	0.+0.017564432730953445*I	0.00003638498786246941+0.*I	0.+0.009513899952689373*I	0.00004050267128764006+0.*I	0.+0.00588496822702343*I	0.000029773322541975355+0.*I	0.+0.003932300428719671*I	0.000026697000408194283+0.*I	0.+0.002767044892372356*I	0.000022588513869296894+0.*I	0.+0.0020132228666382233*I	0.000019117830830334483+0.*I	0.+0.0014954921909297997*I	0.000016034733538220633+0.*I	0.+0.0011216481151161452*I	0.000013208635753519602+0.*I	0.+0.0008393603395390583*I	0.000010576166510966143+0.*I	0.+0.0006169434249933605*I	8.089261141169625*^-6+0.*I	0.+0.000434027079019542*I	5.7076420578088815*^-6+0.*I	0.+0.0002766899888207128*I	3.3971946167964246*^-6+0.*I	0.+0.00013473007816733792*I	1.1279020042942456*^-6+0.*I
0.+0.0007643862150589001*I	8.0271069758447*^-6+0.*I	0.+0.002468905566640582*I	0.000014638731695329657+0.*I	0.+0.004818198381014251*I	0.000028655079949819764+0.*I	0.+0.008754395063050369*I	0.000027644252940773505+0.*I	0.+0.01705565944201824*I	0.00005762035662512179+0.*I	0.+0.04144335668319859*I	0.00005776203365540084+0.*I	0.+0.21135203054052054*I	-0.4998860945743733+0.*I	0.-0.6373514293272191*I	-0.4998847706898806+0.*I	0.+0.21152298763134475*I	0.0000617507931633873+0.*I	0.+0.041795472187116864*I	0.00006432637680177879+0.*I	0.+0.017610802951754743*I	0.000037158469226106374+0.*I	0.+0.009549441312286744*I	0.000041112418831476807+0.*I	0.+0.005911226787975364*I	0.000030225532185560312+0.*I	0.+0.003950355964030108*I	0.00002699608717041345+0.*I	0.+0.002777609074222011*I	0.000022737369548082872+0.*I	0.+0.0020167004718877474*I	0.000019117827841492995+0.*I	0.+0.0014920145788719016*I	0.000015885887601947035+0.*I	0.+0.001111083933935511*I	0.00001290954235351043+0.*I	0.+0.0008213048024629938*I	0.000010123964397786104+0.*I	0.+0.0005906848669987863*I	7.479505532620803*^-6+0.*I	0.+0.00039848572443023506*I	4.934161481048592*^-6+0.*I	0.+0.000230319773696204*I	2.4517885492313482*^-6+0.*I	0.+0.0000753673985056727*I
3.619536490837751*^-6+0.*I	0.+0.001285594499030739*I	0.000011110195418936018+0.*I	0.+0.002839272027335588*I	0.00001731598690513466+0.*I	0.+0.0050899219860090225*I	0.00003098844817634884+0.*I	0.+0.008958756451083977*I	0.000029678963792999317+0.*I	0.+0.01721231722350502*I	0.00005939221533357118+0.*I	0.+0.041565152412976585*I	0.000059299005939072384+0.*I	0.+0.21144762023575464*I	-0.49988477069034565+0.*I	0.-0.6372760619228557*I	-0.49988364278731856+0.*I	0.+0.21158235031838538*I	0.00006269619757676963+0.*I	0.+0.041841842398532614*I	0.00006509985917773362+0.*I	0.+0.01764634430585252*I	0.000037768217895148385+0.*I	0.+0.009575699874962882*I	0.000041564625896855513+0.*I	0.+0.005929282325981259*I	0.000030524623642688836+0.*I	0.+0.003960920143639095*I	0.000027144931080042597+0.*I	0.+0.002781086685024308*I	0.000022737362818025213+0.*I	0.+0.002013222861260582*I	0.000018968981635539017+0.*I	0.+0.00148145040040324*I	0.000015586798621432985+0.*I	0.+0.0010930283980188386*I	0.000012457337608042352+0.*I	0.+0.0007950462435498201*I	9.514218304810309*^-6+0.*I	0.+0.0005551435034733476*I	6.706025747092165*^-6+0.*I	0.+0.00035211550026597986*I	3.988758004337801*^-6+0.*I	0.+0.00017095710134529293*I	1.323882485415595*^-6+0.*I
0.+0.0005212082835098081*I	6.702633578888057*^-6+0.*I	0.+0.0016559609597530875*I	0.000013787456140602112+0.*I	0.+0.003110995628043102*I	0.000019649360915684872+0.*I	0.+0.005294283365411767*I	0.00003302316484892914+0.*I	0.+0.009115414232477227*I	0.000031450826026368486+0.*I	0.+0.017334112961367457*I	0.000060929190611964335+0.*I	0.+0.041660742104192884*I	0.00006062288508608223+0.*I	0.+0.2115229876357942*I	-0.499883642787801+0.*I	0.-0.6372166992474557*I	-0.4998826973830449+0.*I	0.+0.21162872053237275*I	0.00006346968079487643+0.*I	0.+0.04187738375783279*I	0.00006570960758917818+0.*I	0.+0.01767260286726985*I	0.000038220424951174174+0.*I	0.+0.009593755403770568*I	0.00004186371505507922+0.*I	0.+0.0059398465089846725*I	0.000030673462948391674+0.*I	0.+0.003964397750370906*I	0.000027144933466968276+0.*I	0.+0.0027776090792578367*I	0.00002258851805426204+0.*I	0.+0.002002658681404347*I	0.000018669891751621622+0.*I	0.+0.0014633948634112312*I	0.000015134596797758277+0.*I	0.+0.0010667698317705435*I	0.00001184758583414499+0.*I	0.+0.0007595048880651295*I	8.740737422903742*^-6+0.*I	0.+0.0005087732828516836*I	5.760621648669454*^-6+0.*I	0.+0.0002927528292988382*I	2.860855294131139*^-6+0.*I	0.+0.00009558969368516496*I
3.0830878220577764*^-6+0.*I	0.+0.0008915747492857221*I	9.37988935506795*^-6+0.*I	0.+0.0019276845514333498*I	0.000016120823347610374+0.*I	0.+0.003315357011422834*I	0.000021684064817986676+0.*I	0.+0.005450941148384044*I	0.00003479502574172204+0.*I	0.+0.009237209959323166*I	0.000032987801033226404+0.*I	0.+0.01742970265042224*I	0.00006225306923682455+0.*I	0.+0.041736109511501626*I	0.00006175079169051616+0.*I	0.+0.21158235031093525*I	-0.4998826973855064+0.*I	0.-0.6371703290267773*I	-0.49988192390126895+0.*I	0.+0.21166426188247725*I	0.00006407942652315175+0.*I	0.+0.041903642324344216*I	0.00006616181369865279+0.*I	0.+0.017690658401640285*I	0.00003851951877083006+0.*I	0.+0.009604319593584326*I	0.00004201255897633262+0.*I	0.+0.0059433241083329605*I	0.00003067346787616569+0.*I	0.+0.003960920151415169*I	0.00002699608373245881+0.*I	0.+0.0027670448931072624*I	0.00002228942692795248+0.*I	0.+0.0019846031465981604*I	0.000018217687520679377+0.*I	0.+0.0014371363065146725*I	0.000014524842677503323+0.*I	0.+0.0010312284758467152*I	0.000011074113165455118+0.*I	0.+0.0007131346702143571*I	7.795331316993347*^-6+0.*I	0.+0.00044941061038372183*I	4.632714360222254*^-6+0.*I	0.+0.0002173854289149207*I	1.5369689106981*^-6+0.*I
0.+0.00037036647355589286*I	5.760348626244078*^-6+0.*I	0.+0.0011632983325605348*I	0.000011713259439306487+0.*I	0.+0.002132045944762115*I	0.000018155535917001316+0.*I	0.+0.003472014788302988*I	0.000023455933215346713+0.*I	0.+0.005572736887169576*I	0.000036331996357955845+0.*I	0.+0.009332799650682816*I	0.00003431168564368595+0.*I	0.+0.017505070059115*I	0.00006338097580736145+0.*I	0.+0.04179547218056613*I	0.00006269619576620305+0.*I	0.+0.21162872053710735*I	-0.49988192390519287+0.*I	0.-0.6371347876751811*I	-0.4998813141521775+0.*I	0.+0.21169052044834985*I	0.00006453163329678168+0.*I	0.+0.04192169785039605*I	0.00006646090826729065+0.*I	0.+0.01770122258789253*I	0.00003866836044587581+0.*I	0.+0.009607797194484125*I	0.000042012559662254105+0.*I	0.+0.005939846509969704*I	0.000030524620661741993+0.*I	0.+0.003950355960022835*I	0.000026696995884446523+0.*I	0.+0.0027489893615771713*I	0.000021837225217943102+0.*I	0.+0.0019583445784129364*I	0.000017607935204471772+0.*I	0.+0.0014015949521336835*I	0.000013751363705449222+0.*I	0.+0.000984858258553524*I	0.000010128699201935505+0.*I	0.+0.000653771998615521*I	6.6674313428306965*^-6+0.*I	0.+0.00037404320642994704*I	3.3088332530133677*^-6+0.*I	0.+0.00012179573551494849*I
2.6772601643723266*^-6+0.*I	0.+0.0006420900589717831*I	8.093714626055433*^-6+0.*I	0.+0.0013676597234065422*I	0.000013747965933939323+0.*I	0.+0.0022887037177801496*I	0.000019927397412205162+0.*I	0.+0.003593810521373699*I	0.000024992905194979703+0.*I	0.+0.005668326571359728*I	0.00003765587512692307+0.*I	0.+0.009408167057561015*I	0.0000354395893394764+0.*I	0.+0.017564432731379215*I	0.00006432637692720033+0.*I	0.+0.0418418424013516*I	0.00006346968013208409+0.*I	0.+0.21166426188120388*I	-0.4998813141578027+0.*I	0.-0.6371085291039105*I	-0.4998808619447438+0.*I	0.+0.21170857598242399*I	0.00006483071659172152+0.*I	0.+0.0419322620325878*I	0.00006660975680491847+0.*I	0.+0.017704700192926588*I	0.000038668357958302366+0.*I	0.+0.009604319594251126*I	0.000041863720535450555+0.*I	0.+0.005929282321480721*I	0.000030225525896509692+0.*I	0.+0.003932300431711932*I	0.000026244793475801914+0.*I	0.+0.002722730797812668*I	0.0000212274678645168+0.*I	0.+0.001922803226178807*I	0.000016834458177780877+0.*I	0.+0.0013552247281033976*I	0.000012805958984617848+0.*I	0.+0.0009254955894440603*I	9.000803107754807*^-6+0.*I	0.+0.0005784045909379618*I	5.343538401864283*^-6+0.*I	0.+0.00027845351170320846*I	1.7718650200948538*^-6+0.*I
0.+0.0002717235864241885*I	5.0106260080082385*^-6+0.*I	0.+0.000846451439770031*I	0.000010128429793449826+0.*I	0.+0.001524317501286003*I	0.00001551983046308779+0.*I	0.+0.0024104994529551005*I	0.000021464367816111353+0.*I	0.+0.003689400214376075*I	0.000026316784655130838+0.*I	0.+0.00574369397684487*I	0.0000387837806785762+0.*I	0.+0.009467529732179555*I	0.00003638499571185126+0.*I	0.+0.017610802956351163*I	0.00006509985819077747+0.*I	0.+0.041877383756980746*I	0.00006407942600594586+0.*I	0.+0.21169052045119688*I	-0.499880861946711+0.*I	0.-0.6370904735768569*I	-0.4998805628541913+0.*I	0.+0.21171914016971585*I	0.0000649795668167049+0.*I	0.+0.04193573964315477*I	0.00006660975377257063+0.*I	0.+0.017701222589121768*I	0.000038519518860242994+0.*I	0.+0.009593755403297294*I	0.000041564620267120635+0.*I	0.+0.005911226788195077*I	0.000029773328485977854+0.*I	0.+0.003906041862029669*I	0.00002563504145552034+0.*I	0.+0.0026871894465252816*I	0.00002045399533311534+0.*I	0.+0.001876433009022238*I	0.000015889052865367692+0.*I	0.+0.0012958620623107209*I	0.000011678051234193314+0.*I	0.+0.0008501281822841378*I	7.676918757483388*^-6+0.*I	0.+0.0004828148973697391*I	3.806575286257356*^-6+0.*I	0.+0.00015665778037884937*I
2.3333759869166085*^-6+0.*I	0.+0.0004760849794506556*I	7.045338240274803*^-6+0.*I	0.+0.0010031092256914311*I	0.000011900292559444062+0.*I	0.+0.0016461132342165446*I	0.000017056796733209905+0.*I	0.+0.002506089143025766*I	0.00002278824962151533+0.*I	0.+0.003764767618270831*I	0.000027444688497043682+0.*I	0.+0.005803056649814925*I	0.000039729194965704976+0.*I	0.+0.00951389995642002*I	0.00003715846841337868+0.*I	0.+0.01764634430583861*I	0.00006570961564370026+0.*I	0.+0.04190364232203514*I	0.00006453162867112468+0.*I	0.+0.21170857598280254*I	-0.49988056285562465+0.*I	0.-0.6370799093970646*I	-0.49988041401544325+0.*I	0.+0.21172261776782472*I	0.00006497956746913294+0.*I	0.+0.04193226204089816*I	0.00006646090648107806+0.*I	0.+0.017690658404360002*I	0.00003822042729453265+0.*I	0.+0.009575699870587682*I	0.000041112415146978645+0.*I	0.+0.0058849682246592564*I	0.00002916357826276122+0.*I	0.+0.0038705005155273767*I	0.000024861557059532408+0.*I	0.+0.002640819220741927*I	0.000019508590475738295+0.*I	0.+0.0018170703375002652*I	0.000014761141602471478+0.*I	0.+0.0012204946516175706*I	0.000010354176627174627+0.*I	0.+0.0007545384899378484*I	6.139943653214695*^-6+0.*I	0.+0.0003610191660582756*I	2.034711686860202*^-6+0.*I
0.+0.00020436138079613086*I	4.3680781573157044*^-6+0.*I	0.+0.0006327427534017563*I	8.817203053014887*^-6+0.*I	0.+0.0011249049540216702*I	0.000013437263161500484+0.*I	0.+0.0017417029289669567*I	0.00001838068237294104+0.*I	0.+0.0025814565481022678*I	0.00002391615474749485+0.*I	0.+0.0038241302980712155*I	0.000028390089460284535+0.*I	0.+0.005849426865262755*I	0.00004050267579679263+0.*I	0.+0.009549441314569446*I	0.00003776821980211539+0.*I	0.+0.017672602863117025*I	0.00006616181157047163+0.*I	0.+0.041921697854148926*I	0.00006483072586776809+0.*I	0.+0.21171914016722937*I	-0.4998804140143553+0.*I	0.-0.6370764317898294*I	-0.4998804140134845+0.*I	0.+0.21171914017090893*I	0.00006483072534986345+0.*I	0.+0.041921697853894074*I	0.00006616181734331855+0.*I	0.+0.017672602872347818*I	0.00003776821881157891+0.*I	0.+0.009549441306979461*I	0.00004050266804411383+0.*I	0.+0.005849426867430049*I	0.000028390092146200708+0.*I	0.+0.0038241302979077282*I	0.000023916157409745102+0.*I	0.+0.002581456549638095*I	0.000018380690101458414+0.*I	0.+0.00174170292982722*I	0.000013437266689870205+0.*I	0.+0.0011249049571565237*I	8.817197711668437*^-6+0.*I	0.+0.000632742754213024*I	4.368079788954268*^-6+0.*I	0.+0.00020436138847276103*I
2.0347116303072005*^-6+0.*I	0.+0.00036101916560559073*I	6.139950815357495*^-6+0.*I	0.+0.0007545384869922236*I	0.0000103541733253793+0.*I	0.+0.0012204946545729314*I	0.00001476114384871107+0.*I	0.+0.0018170703327664262*I	0.00001950858748329834+0.*I	0.+0.0026408192203710816*I	0.000024861563294080378+0.*I	0.+0.003870500516362025*I	0.000029163573382202847+0.*I	0.+0.005884968226634655*I	0.000041112420720045345+0.*I	0.+0.009575699872396327*I	0.000038220423948632395+0.*I	0.+0.01769065840569495*I	0.00006646090650984623+0.*I	0.+0.0419322620346806*I	0.000064979565781342+0.*I	0.+0.21172261776582618*I	-0.4998804140144028+0.*I	0.-0.6370799093914262*I	-0.49988056285580806+0.*I	0.+0.21170857598513515*I	0.00006453163409073421+0.*I	0.+0.04190364231895892*I	0.00006570960685680945+0.*I	0.+0.017646344306118035*I	0.00003715847123755904+0.*I	0.+0.00951389995534586*I	0.000039729188315867036+0.*I	0.+0.00580305664829803*I	0.000027444694911165724+0.*I	0.+0.003764767620935758*I	0.00002278825111743058+0.*I	0.+0.0025060891427237417*I	0.000017056798938666994+0.*I	0.+0.001646113236818183*I	0.000011900294414618347+0.*I	0.+0.001003109225675204*I	7.045339246554938*^-6+0.*I	0.+0.00047608497523023944*I	2.333371758700409*^-6+0.*I
0.+0.00015665778226205823*I	3.8065762258269173*^-6+0.*I	0.+0.00048281489714428055*I	7.676914484653085*^-6+0.*I	0.+0.0008501281824721749*I	0.000011678057958497106+0.*I	0.+0.0012958620556742378*I	0.00001588904931257801+0.*I	0.+0.0018764330060621615*I	0.000020453991897296234+0.*I	0.+0.002687189441710952*I	0.00002563503780443006+0.*I	0.+0.003906041874376799*I	0.000029773328403376136+0.*I	0.+0.005911226783413603*I	0.00004156462505685403+0.*I	0.+0.00959375540552563*I	0.000038519511654881734+0.*I	0.+0.017701222581351858*I	0.00006660975070448021+0.*I	0.+0.041935739645248334*I	0.00006497956553030973+0.*I	0.+0.21171914016538418*I	-0.4998805628594478+0.*I	0.-0.6370904735714596*I	-0.4998808619515553+0.*I	0.+0.21169052044467945*I	0.00006407942999465712+0.*I	0.+0.04187738376016889*I	0.0000650998622820869+0.*I	0.+0.017610802949297844*I	0.00003638499385692507+0.*I	0.+0.009467529738775286*I	0.000038783783407438446+0.*I	0.+0.005743693976379187*I	0.000026316787629651905+0.*I	0.+0.0036894002120108488*I	0.00002146437106497233+0.*I	0.+0.0024104994477152225*I	0.000015519833574107565+0.*I	0.+0.00152431750837774*I	0.000010128427405547706+0.*I	0.+0.0008464514399963707*I	5.010625733260966*^-6+0.*I	0.+0.00027172359665496304*I
1.7718624342217827*^-6+0.*I	0.+0.00027845351065300226*I	5.343545506761398*^-6+0.*I	0.+0.0005784045946845143*I	9.000797829497043*^-6+0.*I	0.+0.0009254955874827029*I	0.00001280596414526111+0.*I	0.+0.0013552247277049774*I	0.000016834453048398434+0.*I	0.+0.0019228032281996795*I	0.00002122747057983796+0.*I	0.+0.002722730795427263*I	0.00002624478725163762+0.*I	0.+0.003932300429252323*I	0.00003022553094909913+0.*I	0.+0.005929282320263627*I	0.000041863710037755+0.*I	0.+0.009604319589393543*I	0.0000386683633579804+0.*I	0.+0.017704700191787392*I	0.0000666097493239236+0.*I	0.+0.04193226203877648*I	0.0000648307287389502+0.*I	0.+0.21170857598521914*I	-0.49988086195107384+0.*I	0.-0.637108529113808*I	-0.49988131414974457+0.*I	0.+0.21166426188820733*I	0.00006346967370863938+0.*I	0.+0.04184184240242289*I	0.00006432638106216387+0.*I	0.+0.017564432732292176*I	0.00003543958305333929+0.*I	0.+0.009408167055944135*I	0.00003765588366397447+0.*I	0.+0.005668326570964443*I	0.000024992902710370966+0.*I	0.+0.0035938105233799316*I	0.000019927398853875696+0.*I	0.+0.002288703717313688*I	0.000013747966203147549+0.*I	0.+0.0013676597210574453*I	8.09372198770552*^-6+0.*I	0.+0.0006420900577561958*I	2.67724858649121*^-6+0.*I
0.+0.00012179573571284574*I	3.3088393417508357*^-6+0.*I	0.+0.0003740432065497609*I	6.667427324749942*^-6+0.*I	0.+0.0006537719978828918*I	0.000010128703389355843+0.*I	0.+0.0009848582597821454*I	0.00001375136237131272+0.*I	0.+0.0014015949475047473*I	0.000017607939309389373+0.*I	0.+0.0019583445806228283*I	0.000021837225768214333+0.*I	0.+0.0027489893645258473*I	0.000026696993692670266+0.*I	0.+0.003950355962967944*I	0.000030524622455733876+0.*I	0.+0.0059398465083560295*I	0.00004201255898042843+0.*I	0.+0.00960779719455468*I	0.000038668356941405527+0.*I	0.+0.0177012225806498*I	0.00006646090732078495+0.*I	0.+0.04192169786160992*I	0.00006453162964172089+0.*I	0.+0.21169052044888942*I	-0.499881314153347+0.*I	0.-0.6371347876758895*I	-0.49988192390434705+0.*I	0.+0.21162872052727033*I	0.00006269619424336775+0.*I	0.+0.04179547218375002*I	0.00006338098270592329+0.*I	0.+0.017505070058848892*I	0.00003431168037064713+0.*I	0.+0.00933279965482224*I	0.00003633199889495634+0.*I	0.+0.005572736880855932*I	0.00002345593200748836+0.*I	0.+0.0034720147848744456*I	0.000018155534418601394+0.*I	0.+0.002132045938462758*I	0.000011713257700206614+0.*I	0.+0.0011632983367769537*I	5.760348885207608*^-6+0.*I	0.+0.00037036647312020665*I
1.536966886630595*^-6+0.*I	0.+0.0002173854237221745*I	4.632721305395491*^-6+0.*I	0.+0.0004494106180581769*I	7.79532722630267*^-6+0.*I	0.+0.0007131346709138994*I	0.000011074111817792573+0.*I	0.+0.0010312284757331902*I	0.000014524839866947668+0.*I	0.+0.0014371363047070778*I	0.000018217688566547003+0.*I	0.+0.0019846031436810416*I	0.00002228942240224223+0.*I	0.+0.0027670448960726377*I	0.000026996090632178642+0.*I	0.+0.003960920149218275*I	0.00003067345889241125+0.*I	0.+0.005943324107537705*I	0.00004201256544575515+0.*I	0.+0.009604319588109415*I	0.000038519514481579384+0.*I	0.+0.017690658404082214*I	0.0000661618175947794+0.*I	0.+0.04190364232078422*I	0.00006407942207207386+0.*I	0.+0.21166426188680365*I	-0.49988192389956526+0.*I	0.-0.6371703290293129*I	-0.4998826973857963+0.*I	0.+0.21158235031047476*I	0.00006175079390995737+0.*I	0.+0.04173610951255726*I	0.00006225306857360144+0.*I	0.+0.017429702657028222*I	0.000032987804395027625+0.*I	0.+0.00923720996033375*I	0.00003479502220332521+0.*I	0.+0.005450941147791907*I	0.000021684074412645484+0.*I	0.+0.003315357006123027*I	0.000016120817280199607+0.*I	0.+0.001927684553437376*I	9.379891214274328*^-6+0.*I	0.+0.0008915747469736261*I	3.0830811718063345*^-6+0.*I
0.+0.00009558969270302697*I	2.860857381551762*^-6+0.*I	0.+0.00029275283195992485*I	5.760621033215801*^-6+0.*I	0.+0.0005087732886662408*I	8.74073254839548*^-6+0.*I	0.+0.0007595048874820334*I	0.000011847585866201398+0.*I	0.+0.0010667698353059654*I	0.000015134602507592908+0.*I	0.+0.0014633948665280158*I	0.00001866988877449905+0.*I	0.+0.0020026586801329474*I	0.00002258851486601112+0.*I	0.+0.0027776090841790946*I	0.000027144934903233798+0.*I	0.+0.003964397751335523*I	0.00003067346996817828+0.*I	0.+0.0059398465092708325*I	0.000041863709374233625+0.*I	0.+0.009593755402345402*I	0.00003822042562656921+0.*I	0.+0.017672602870031588*I	0.00006570961139543046+0.*I	0.+0.04187738375617384*I	0.00006346967769346009+0.*I	0.+0.211628720530996*I	-0.499882697383816+0.*I	0.-0.637216699245157*I	-0.4998836427866049+0.*I	0.+0.21152298763813876*I	0.000060622890682757295+0.*I	0.+0.04166074210590342*I	0.00006092918719766536+0.*I	0.+0.017334112959330968*I	0.000031450823913231374+0.*I	0.+0.009115414228792015*I	0.000033023166496449276+0.*I	0.+0.005294283364169858*I	0.000019649358220984032+0.*I	0.+0.0031109956204034284*I	0.00001378745198750525+0.*I	0.+0.0016559609660070015*I	6.7026266194879826*^-6+0.*I	0.+0.0005212082775604837*I
1.3238850632330644*^-6+0.*I	0.+0.0001709570964465453*I	3.988754586765302*^-6+0.*I	0.+0.000352115508814139*I	6.7060276590255485*^-6+0.*I	0.+0.0005551435057432555*I	9.514214252978129*^-6+0.*I	0.+0.0007950462395947742*I	0.000012457345421011807+0.*I	0.+0.0010930283962310816*I	0.00001558679551057758+0.*I	0.+0.0014814504016723554*I	0.00001896898097436979+0.*I	0.+0.002013222864071835*I	0.00002273736074636307+0.*I	0.+0.002781086683952971*I	0.00002714493334987091+0.*I	0.+0.003960920148380732*I	0.000030524625866651536+0.*I	0.+0.005929282321288483*I	0.000041564626684439846+0.*I	0.+0.009575699868419876*I	0.000037768217603231476+0.*I	0.+0.0176463443067192*I	0.00006509986111046915+0.*I	0.+0.04184184240732208*I	0.00006269619408836074+0.*I	0.+0.21158235030837763*I	-0.49988364278839836+0.*I	0.-0.6372760619198635*I	-0.49988477069439463+0.*I	0.+0.2114476202335925*I	0.000059299007580418514+0.*I	0.+0.04156515241689867*I	0.0000593922150966425+0.*I	0.+0.017212317229640336*I	0.000029678962346574807+0.*I	0.+0.00895875644563628*I	0.00003098845571029063+0.*I	0.+0.005089921979755092*I	0.00001731598933548423+0.*I	0.+0.002839272035162855*I	0.000011110195604108486+0.*I	0.+0.0012855944946536127*I	3.6195401765803936*^-6+0.*I
