0.-0.8487766217809316*I	-0.49995761053012255+0.*I	0.+0.1697645008344018*I	0.00001687264351067236+0.*I	0.+0.024250892194642836*I	0.000010757662477837337+0.*I	0.+0.00808224302511106*I	7.878345251789798*^-6+0.*I	0.+0.003672208181775972*I	6.176826157505637*^-6+0.*I	0.+0.001975663110467832*I	4.99821009699691*^-6+0.*I	0.+0.0011836315201508595*I	4.013562424915712*^-6+0.*I	0.+0.0007646467735780191*I	5.0866335788966074*^-6+0.*I	0.+0.0005177705486744602*I	-2.0811240565758802*^-6+0.*I	0.+0.00037782601862082965*I	0.000013854584774570353+0.*I	0.+0.00025665321839225027*I	-0.000015058357751387749+0.*I	0.+0.00022302225942795887*I	0.000022026666849763826+0.*I	0.+0.00013656815704869731*I	-0.000015623811520297545+0.*I	0.+0.00013540820800176328*I	0.000012697598340508085+0.*I	0.+0.00008662038174577916*I	-3.863908398234618*^-6+0.*I	0.+0.00007718729003525388*I	2.5999239339868067*^-6+0.*I	0.+0.000057378713328464234*I	7.099754667279915*^-7+0.*I	0.+0.00004481882169110182*I	6.934512174250384*^-7+0.*I	0.+0.00003374732881834229*I	5.613586251511382*^-7+0.*I	0.+0.000024139362911420313*I	3.954632919218469*^-7+0.*I	0.+0.00001556925690001559*I	2.3272762304939838*^-7+0.*I	0.+7.632838000123578*^-6*I	7.864155038449423*^-8+0.*I
4.998210089214006*^-6+0.*I	0.+0.003159294630609716*I	0.000015188598684152347+0.*I	0.+0.007596149585997865*I	0.000028153577495879567+0.*I	0.+0.016196163159761374*I	0.00003683011593012917+0.*I	0.+0.04082488137305479*I	0.00006755734420207169+0.*I	0.+0.21084603542582642*I	-0.49990511154367984+0.*I	0.-0.6377075640956628*I	-0.49988308487687405+0.*I	0.+0.21120562584229105*I	0.000058901841754728146+0.*I	0.+0.04157653321592461*I	0.00005472679662138829+0.*I	0.+0.017412261403045845*I	0.000040105225745373515+0.*I	0.+0.009407205667916526*I	0.00003482680441023676+0.*I	0.+0.005792376199455432*I	0.000029359953715512568+0.*I	0.+0.0038615319106252645*I	0.000025055194876583217+0.*I	0.+0.002711647719362563*I	0.000021602991059236312+0.*I	0.+0.001971140308714155*I	0.000016911820729861336+0.*I	0.+0.0014689390169594356*I	0.000019225672440385783+0.*I	0.+0.001098745836262854*I	5.4497292360818245*^-6+0.*I	0.+0.000842092617917621*I	0.000020429445425611275+0.*I	0.+0.0006114375204973107*I	-1.8299490490057378*^-6+0.*I	0.+0.000459300106597202*I	0.000013398399207698782+0.*I	0.+0.00029975253560133615*I	1.3944223583005369*^-7+0.*I	0.+0.00017938482505627332*I	3.309899368688319*^-6+0.*I	0.+0.00005737871330436385*I
0.+0.0011836315201364052*I	9.01177251392863*^-6+0.*I	0.+0.003923941404204524*I	0.000020275232278849253+0.*I	0.+0.008113920134609275*I	0.000026072453447658+0.*I	0.+0.01657398917842951*I	0.0000506847006866308+0.*I	0.+0.04108153459142268*I	0.00005249898644064634+0.*I	0.+0.2110690576852713*I	-0.49988308487685557+0.*I	0.-0.6375709959386384*I	-0.4998987086883536+0.*I	0.+0.2113410340503271*I	0.00007159944008800875+0.*I	0.+0.041663153597659*I	0.00005086288820400309+0.*I	0.+0.017489448693077357*I	0.00004270514963412602+0.*I	0.+0.00946458438124663*I	0.00003553677988760811+0.*I	0.+0.00583719502114317*I	0.000030053404938351234+0.*I	0.+0.0038952792394867995*I	0.000025616553508740327+0.*I	0.+0.0027357870823119567*I	0.000021998454309567642+0.*I	0.+0.001986709565570908*I	0.00001714454841567573+0.*I	0.+0.0014765718549539333*I	0.0000193043139478982+0.*I	0.+0.0010987458363028888*I	5.371087693574055*^-6+0.*I	0.+0.0008344597799305581*I	0.000020196717770896573+0.*I	0.+0.0005958682635962355*I	-2.225412309530891*^-6+0.*I	0.+0.00043516074362923054*I	0.000012837040538315556+0.*I	0.+0.00026600520676038305*I	-5.540089760882867*^-7+0.*I	0.+0.0001345660033627389*I	2.599923849207374*^-6+0.*I
4.013562464505192*^-6+0.*I	0.+0.0019482782937126767*I	0.000014098406149183742+0.*I	0.+0.0044417119528547865*I	0.000018194108201925673+0.*I	0.+0.008491746153286383*I	0.00003992703819397443+0.*I	0.+0.016830642396788907*I	0.00003562634295666761+0.*I	0.+0.041304556850861346*I	0.00007452565325712756+0.*I	0.+0.21120562584229993*I	-0.4998987086883739+0.*I	0.-0.6374355877305764*I	-0.4998860110900275+0.*I	0.+0.211427654432065*I	0.00006773553171922131+0.*I	0.+0.04174034088771049*I	0.0000534628121045838+0.*I	0.+0.017546827406373443*I	0.000043415125113831855+0.*I	0.+0.009509403202911895*I	0.0000362302310973264+0.*I	0.+0.005870942349967736*I	0.00003061476359935833+0.*I	0.+0.003919418602466246*I	0.00002601201678628458+0.*I	0.+0.0027513563391796053*I	0.000022231181962041935+0.*I	0.+0.001994342403594586*I	0.000017223189894621153+0.*I	0.+0.001476571854884935*I	0.000019225672456715264+0.*I	0.+0.0010911129983058685*I	5.13836007838687*^-6+0.*I	0.+0.0008188905230412087*I	0.000019801254504363265+0.*I	0.+0.0005717289006983719*I	-2.786770954437489*^-6+0.*I	0.+0.00040141341478394226*I	0.00001214358935638817+0.*I	0.+0.00022118638510750286*I	-1.2639844850503648*^-6+0.*I	0.+0.00007718729002861989*I
0.+0.0007646467735727202*I	9.100196037109867*^-6+0.*I	0.+0.002466048842398209*I	0.000012017282039018846+0.*I	0.+0.0048195379714699475*I	0.0000320486930015157+0.*I	0.+0.008748399371665157*I	0.00002486868046078561+0.*I	0.+0.0170536646562313*I	0.0000576530097616506+0.*I	0.+0.04144112500791746*I	0.00005890184176372127+0.*I	0.+0.21134103405032545*I	-0.49988601109005415+0.*I	0.-0.637348967348877*I	-0.4998898749983981+0.*I	0.+0.211504841722124*I	0.00007033545561471578+0.*I	0.+0.04179771960096873*I	0.000054172787593585824+0.*I	0.+0.017591646228068192*I	0.00004410857631886469+0.*I	0.+0.009543150531742175*I	0.00003679158973580714+0.*I	0.+0.005895081712935726*I	0.000031010226893673774+0.*I	0.+0.00393498785932019*I	0.00002624474438832351+0.*I	0.+0.0027589891771661362*I	0.000022309823504781706+0.*I	0.+0.001994342403577922*I	0.00001714454838834893+0.*I	0.+0.0014689390169523786*I	0.00001899294483419692+0.*I	0.+0.0010755437414053759*I	4.7428967475622775*^-6+0.*I	0.+0.0007947511601256004*I	0.000019239895885805438+0.*I	0.+0.0005379815718295997*I	-3.4802221879874103*^-6+0.*I	0.+0.00035659459311146517*I	0.000011433613856767091+0.*I	0.+0.00016380767177278356*I	-3.863908390369476*^-6+0.*I
5.086633632413084*^-6+0.*I	0.+0.001282417322245289*I	7.019071948238364*^-6+0.*I	0.+0.0028438748609967493*I	0.00002587186684680275+0.*I	0.+0.005076191189889878*I	0.00001699033518787165+0.*I	0.+0.008971421631080596*I	0.0000468953472892582+0.*I	0.+0.017190232813271106*I	0.00004202919824163056+0.*I	0.+0.04157653321592838*I	0.00007159944012623216+0.*I	0.+0.21142765443202155*I	-0.49988987499841897+0.*I	0.-0.6372717800588027*I	-0.499887275074534+0.*I	0.+0.2115622204354306*I	0.00007104543107450428+0.*I	0.+0.04184253842270818*I	0.000054866238826656625+0.*I	0.+0.017625393556885794*I	0.000044669934985340035+0.*I	0.+0.009567289894707245*I	0.000037187053007128575+0.*I	0.+0.00591065096980141*I	0.00003124295451613597+0.*I	0.+0.003942620697327182*I	0.0000263233859628355+0.*I	0.+0.0027589891771377857*I	0.000022231181954868217+0.*I	0.+0.001986709565616213*I	0.000016911820743527457+0.*I	0.+0.001453369760045805*I	0.000018597481554151344+0.*I	0.+0.0010514043784922203*I	4.181538163488093*^-6+0.*I	0.+0.0007610038312599543*I	0.00001854644463728424+0.*I	0.+0.0004931627501814763*I	-4.190197652776188*^-6+0.*I	0.+0.0002992158797707137*I	8.833689945244308*^-6+0.*I	0.+0.00008662038175127894*I
0.+0.0005177705486549246*I	3.0055095211354003*^-6+0.*I	0.+0.0016602433408836861*I	0.00002087365673016415+0.*I	0.+0.0031005280793930624*I	0.00001081350909660723+0.*I	0.+0.005299213449322838*I	0.00003901700206561147+0.*I	0.+0.00910798978810269*I	0.00003127153578037502+0.*I	0.+0.01732564102128764*I	0.00005472679656737254+0.*I	0.+0.04166315359764251*I	0.0000677355317117627+0.*I	0.+0.21150484172214012*I	-0.4998872750745101+0.*I	0.-0.6372144013455129*I	-0.49988656509903434+0.*I	0.+0.2116070392570685*I	0.00007173888231550223+0.*I	0.+0.04187628575152371*I	0.00005542759743971953+0.*I	0.+0.017649532919820958*I	0.00004506539825437448+0.*I	0.+0.009582859151596453*I	0.000037419780688917526+0.*I	0.+0.005918283807802599*I	0.00003132159602811935+0.*I	0.+0.003942620697304558*I	0.000026244744410257897+0.*I	0.+0.002751356339179903*I	0.000021998454363355847+0.*I	0.+0.0019711403086974835*I	0.00001651635746782367+0.*I	0.+0.0014292303971384515*I	0.000018036122914325122+0.*I	0.+0.0010176570496624976*I	3.4880868974645704*^-6+0.*I	0.+0.0007161850095911874*I	0.000017836469168310427+0.*I	0.+0.00043578403684978027*I	-6.7901215536103924*^-6+0.*I	0.+0.00022202858971375562*I	0.000012697598330187822+0.*I
-2.0811240898107697*^-6+0.*I	0.+0.000895596567286832*I	0.00001686009426709036+0.*I	0.+0.0019168965592699463*I	5.8152989954467395*^-6+0.*I	0.+0.00332355033881182*I	0.000032840175938160366+0.*I	0.+0.005435781606338957*I	0.00002339319051820058+0.*I	0.+0.00924339799616525*I	0.00004396913409857275+0.*I	0.+0.017412261402997717*I	0.00005086288823096568+0.*I	0.+0.0417403408877043*I	0.00007033545561308369+0.*I	0.+0.21156222043539025*I	-0.49988656509904417+0.*I	0.-0.6371695825238105*I	-0.4998858716478071+0.*I	0.+0.21164078658590257*I	0.00007230024095757247+0.*I	0.+0.041900425114480395*I	0.0000558230607342583+0.*I	0.+0.01766510217670538*I	0.00004529812589875882+0.*I	0.+0.009590491989587379*I	0.00003749842218367043+0.*I	0.+0.005918283807769973*I	0.0000312429545447932+0.*I	0.+0.003934987859364125*I	0.000026012016772245987+0.*I	0.+0.002735787082285543*I	0.000021602991035022693+0.*I	0.+0.001947000945812562*I	0.000015954998823175024+0.*I	0.+0.001395483068248533*I	0.000017342671683920246+0.*I	0.+0.0009728382279910104*I	2.778111437596194*^-6+0.*I	0.+0.0006588062962641977*I	0.000015236545251226317+0.*I	0.+0.0003585967467917433*I	-2.9262131838136655*^-6+0.*I	0.+0.00013540820801468648*I
0.+0.00037782601865372895*I	0.000011773460688943003+0.*I	0.+0.0011522497856562503*I	1.8017365204804265*^-6+0.*I	0.+0.0021399188187186126*I	0.00002784196582924821+0.*I	0.+0.003460118495852082*I	0.00001721636440826995+0.*I	0.+0.005571189814330066*I	0.000036090788869507466+0.*I	0.+0.009330018377862306*I	0.000040105225733468616+0.*I	0.+0.01748944869309703*I	0.00005346281213030343+0.*I	0.+0.04179771960099396*I	0.00007104543110314894+0.*I	0.+0.2116070392571056*I	-0.49988587164779663+0.*I	0.-0.6371358351950053*I	-0.499885310289173+0.*I	0.+0.21166492594890424*I	0.00007269570422817416+0.*I	0.+0.04191599437132715*I	0.00005605578836034529+0.*I	0.+0.017672735014739226*I	0.00004537676744058044+0.*I	0.+0.009590491989569508*I	0.000037419780646168275+0.*I	0.+0.005910650969835836*I	0.00003101022688122693+0.*I	0.+0.00391941860238803*I	0.000025616553505472935+0.*I	0.+0.0027116477193764293*I	0.000021041632396946567+0.*I	0.+0.0019132536169337907*I	0.000015261547609560225+0.*I	0.+0.0013506642466077712*I	0.000016632696186615395+0.*I	0.+0.0009154595146391906*I	1.7818751653562157*^-7+0.*I	0.+0.0005816190062643882*I	0.00001910045364262408+0.*I	0.+0.0002719763650496736*I	-0.000015623811499616984+0.*I
0.000013854584742928469+0.*I	0.+0.0006344792370126719*I	-3.284897064494835*^-6+0.*I	0.+0.0013752720451011172*I	0.000023828403361600742+0.*I	0.+0.0022764869757303367*I	0.000012218154346789619+0.*I	0.+0.003595526703890326*I	0.00002991396272778456+0.*I	0.+0.0056578101961060855*I	0.00003222688050695802+0.*I	0.+0.009407205667901306*I	0.00004270514959667808+0.*I	0.+0.017546827406389864*I	0.000054172787636104276+0.*I	0.+0.04184253842268556*I	0.00007173888231629997+0.*I	0.+0.21164078658592742*I	-0.49988531028916533+0.*I	0.-0.6371116958320419*I	-0.4998849148258974+0.*I	0.+0.21168049520573526*I	0.00007292843185483389+0.*I	0.+0.04192362720935544*I	0.00005613442990586165+0.*I	0.+0.017672735014703907*I	0.00004529812590461307+0.*I	0.+0.009582859151572093*I	0.00003718705302980143+0.*I	0.+0.005895081712951492*I	0.00003061476359789341+0.*I	0.+0.003895279239480798*I	0.00002505519484138175+0.*I	0.+0.002677900390539046*I	0.000020348181194993365+0.*I	0.+0.001868434795249412*I	0.000014551572131341484+0.*I	0.+0.0012932855332881393*I	0.000014032772298816668+0.*I	0.+0.0008382722245995936*I	4.042095903617279*^-6+0.*I	0.+0.0004949986245028906*I	6.402855305362028*^-6+0.*I	0.+0.0001365681570565092*I
0.+0.0002566532183771724*I	-1.2037730051680408*^-6+0.*I	0.+0.0008575014964690902*I	0.00001874176977111539+0.*I	0.+0.001511840202116597*I	8.204591833494853*^-6+0.*I	0.+0.002411895183766119*I	0.0000249157526326313+0.*I	0.+0.003682147085577191*I	0.000026050054347092994+0.*I	0.+0.005734997486163765*I	0.00003482680444539275+0.*I	0.+0.00946458438124171*I	0.00004341512511993989+0.*I	0.+0.017591646228061187*I	0.00005486623881121806+0.*I	0.+0.04187628575151839*I	0.00007230024094683367+0.*I	0.+0.2116649259488867*I	-0.49988491482588615+0.*I	0.-0.637096126575203*I	-0.4998846820982675+0.*I	0.+0.21168812804377252*I	0.00007300707343957156+0.*I	0.+0.041923627209333944*I	0.00005605578835099207+0.*I	0.+0.017665102176729983*I	0.00004506539827169479+0.*I	0.+0.009567289894709794*I	0.00003679158974157962+0.*I	0.+0.005870942349974681*I	0.000030053404968140637+0.*I	0.+0.0038615319106601194*I	0.00002436174361068562+0.*I	0.+0.002633081568838663*I	0.00001963820573940578+0.*I	0.+0.0018110560819428587*I	0.00001195164820174805+0.*I	0.+0.0012160982432490076*I	0.00001789668069163624+0.*I	0.+0.0007516518428816099*I	-8.655502475945175*^-6+0.*I	0.+0.0003595904164726787*I	0.000022026666865200683+0.*I
-0.000015058357766380192+0.*I	0.+0.00047967547780915475*I	0.000020822893850593583+0.*I	0.+0.0009940696535079374*I	3.1179582548775245*^-6+0.*I	0.+0.001647248410185359*I	0.000020902190213245136+0.*I	0.+0.00249851556547939*I	0.00002105184426210566+0.*I	0.+0.003759334375646653*I	0.000028649978251657797+0.*I	0.+0.0057923761994788025*I	0.00003553677984316111+0.*I	0.+0.009509403202927374*I	0.00004410857637477154+0.*I	0.+0.017625393556909418*I	0.0000554275974532871+0.*I	0.+0.04190042511443709*I	0.00007269570422337645+0.*I	0.+0.21168049520578708*I	-0.49988468209824316+0.*I	0.-0.6370884937371983*I	-0.4998846034567006+0.*I	0.+0.21168812804376794*I	0.00007292843188391073+0.*I	0.+0.041915994371351364*I	0.000055823060727862033+0.*I	0.+0.017649532919850244*I	0.0000446699349516864+0.*I	0.+0.009543150531745368*I	0.0000362302311000459+0.*I	0.+0.005837195021159249*I	0.000029359953747342795+0.*I	0.+0.0038167130889676356*I	0.00002365176817370454+0.*I	0.+0.0025757028555606046*I	0.000017038281796710222+0.*I	0.+0.001733868791857703*I	0.000015815556581388085+0.*I	0.+0.0011294778615146197*I	5.19908233344143*^-6+0.*I	0.+0.000616243634839335*I	6.968309091102071*^-6+0.*I	0.+0.00022302225945842303*I
0.+0.0002230222594360376*I	6.968309080585891*^-6+0.*I	0.+0.0006162436348577126*I	5.199082335293143*^-6+0.*I	0.+0.0011294778614993797*I	0.00001581555656936826+0.*I	0.+0.0017338687918845113*I	0.000017038281808762102+0.*I	0.+0.002575702855550404*I	0.000023651768178879933+0.*I	0.+0.0038167130889577264*I	0.000029359953755297532+0.*I	0.+0.005837195021148067*I	0.000036230231104627857+0.*I	0.+0.009543150531759494*I	0.000044669934947066925+0.*I	0.+0.017649532919834534*I	0.00005582306075399458+0.*I	0.+0.041915994371361356*I	0.00007292843185879391+0.*I	0.+0.21168812804372011*I	-0.4998846034567034+0.*I	0.-0.6370884937371621*I	-0.49988468209823916+0.*I	0.+0.21168049520574714*I	0.00007269570422440764+0.*I	0.+0.04190042511446513*I	0.000055427597453796366+0.*I	0.+0.017625393556889222*I	0.00004410857637057051+0.*I	0.+0.009509403202910594*I	0.000035536779853982694+0.*I	0.+0.005792376199480094*I	0.00002864997826431949+0.*I	0.+0.003759334375657757*I	0.000021051844257714844+0.*I	0.+0.002498515565473212*I	0.00002090219018930884+0.*I	0.+0.0016472484101823259*I	3.1179582627571264*^-6+0.*I	0.+0.0009940696534745698*I	0.000020822893856031305+0.*I	0.+0.00047967547780826256*I	-0.000015058357758883964+0.*I
0.00002202666682172915+0.*I	0.+0.0003595904164597993*I	-8.655502427408994*^-6+0.*I	0.+0.0007516518428998983*I	0.000017896680666200926+0.*I	0.+0.0012160982432403904*I	0.000011951648236800333+0.*I	0.+0.0018110560819455006*I	0.000019638205717017332+0.*I	0.+0.0026330815688190108*I	0.00002436174363238937+0.*I	0.+0.003861531910661697*I	0.000030053404950245027+0.*I	0.+0.005870942349973123*I	0.000036791589742344105+0.*I	0.+0.009567289894704683*I	0.000045065398242786326+0.*I	0.+0.017665102176735555*I	0.000056055788336222823+0.*I	0.+0.041923627209332646*I	0.00007300707342107284+0.*I	0.+0.21168812804376444*I	-0.4998846820982126+0.*I	0.-0.6370961265751723*I	-0.4998849148258804+0.*I	0.+0.21166492594888428*I	0.0000723002409289744+0.*I	0.+0.04187628575155485*I	0.0000548662388072407+0.*I	0.+0.01759164622801988*I	0.000043415125119673435+0.*I	0.+0.009464584381255867*I	0.000034826804418782306+0.*I	0.+0.0057349974861755516*I	0.000026050054349782748+0.*I	0.+0.0036821470855947554*I	0.00002491575261938221+0.*I	0.+0.002411895183737436*I	8.204591855562987*^-6+0.*I	0.+0.0015118402021386131*I	0.00001874176977490452+0.*I	0.+0.0008575014964391145*I	-1.2037729694229556*^-6+0.*I	0.+0.00025665321836190036*I
0.+0.00013656815702950385*I	6.402855322144612*^-6+0.*I	0.+0.0004949986245139258*I	4.042095908955182*^-6+0.*I	0.+0.0008382722246087091*I	0.000014032772297070354+0.*I	0.+0.00129328553328789*I	0.000014551572125349502+0.*I	0.+0.0018684347952526148*I	0.00002034818118768929+0.*I	0.+0.0026779003905344255*I	0.000025055194832355984+0.*I	0.+0.0038952792394757827*I	0.00003061476360806179+0.*I	0.+0.005895081712932493*I	0.00003718705305286949+0.*I	0.+0.00958285915160711*I	0.00004529812588546335+0.*I	0.+0.0176727350147135*I	0.0000561344299290352+0.*I	0.+0.041923627209345636*I	0.00007292843187148899+0.*I	0.+0.21168049520576965*I	-0.4998849148258958+0.*I	0.-0.6371116958320794*I	-0.49988531028918615+0.*I	0.+0.21164078658593816*I	0.000071738882336583+0.*I	0.+0.04184253842265677*I	0.00005417278759121295+0.*I	0.+0.01754682740638069*I	0.000042705149617052626+0.*I	0.+0.009407205667908845*I	0.00003222688052501598+0.*I	0.+0.0056578101961093094*I	0.00002991396274067956+0.*I	0.+0.003595526703882801*I	0.000012218154318981839+0.*I	0.+0.002276486975753499*I	0.00002382840336887933+0.*I	0.+0.0013752720450833065*I	-3.284897071219992*^-6+0.*I	0.+0.000634479237001476*I	0.000013854584769400539+0.*I
-0.00001562381150440451+0.*I	0.+0.000271976365086408*I	0.000019100453637567807+0.*I	0.+0.0005816190062113046*I	1.781875396580625*^-7+0.*I	0.+0.0009154595146511448*I	0.000016632696196966138+0.*I	0.+0.0013506642466147279*I	0.000015261547601302047+0.*I	0.+0.001913253616937565*I	0.000021041632427497663+0.*I	0.+0.002711647719374679*I	0.000025616553499342246+0.*I	0.+0.003919418602405617*I	0.00003101022686794957+0.*I	0.+0.005910650969812487*I	0.000037419780639056315+0.*I	0.+0.009590491989587774*I	0.000045376767424979664+0.*I	0.+0.017672735014730434*I	0.000056055788350604494+0.*I	0.+0.041915994371351996*I	0.00007269570423379859+0.*I	0.+0.21166492594887165*I	-0.4998853102891796+0.*I	0.-0.6371358351949927*I	-0.49988587164779646+0.*I	0.+0.21160703925709387*I	0.00007104543108578199+0.*I	0.+0.0417977196009909*I	0.000053462812127904406+0.*I	0.+0.017489448693055524*I	0.000040105225725978765+0.*I	0.+0.009330018377896534*I	0.000036090788872105824+0.*I	0.+0.005571189814326472*I	0.00001721636442829197+0.*I	0.+0.0034601184958699526*I	0.00002784196582946749+0.*I	0.+0.0021399188187059904*I	1.8017365248158824*^-6+0.*I	0.+0.0011522497856621889*I	0.000011773460696476336+0.*I	0.+0.0003778260186270316*I
0.+0.0001354082080057676*I	-2.926213153679251*^-6+0.*I	0.+0.0003585967468017768*I	0.000015236545258676522+0.*I	0.+0.0006588062962656082*I	2.778111419574067*^-6+0.*I	0.+0.0009728382279863473*I	0.000017342671681818056+0.*I	0.+0.0013954830682576186*I	0.00001595499881304954+0.*I	0.+0.0019470009457879906*I	0.000021602991015566756+0.*I	0.+0.002735787082310183*I	0.000026012016796292948+0.*I	0.+0.003934987859359268*I	0.00003124295453463461+0.*I	0.+0.005918283807792218*I	0.00003749842217031849+0.*I	0.+0.009590491989572734*I	0.00004529812591767174+0.*I	0.+0.017665102176726188*I	0.00005582306076176433+0.*I	0.+0.0419004251144876*I	0.00007230024096469913+0.*I	0.+0.21164078658591323*I	-0.499885871647792+0.*I	0.-0.6371695825238299*I	-0.49988656509904156+0.*I	0.+0.21156222043540748*I	0.00007033545559843848+0.*I	0.+0.04174034088770088*I	0.0000508628882430832+0.*I	0.+0.017412261403002227*I	0.00004396913410627402+0.*I	0.+0.00924339799614768*I	0.000023393190529333045+0.*I	0.+0.00543578160633835*I	0.000032840175931843276+0.*I	0.+0.00332355033881806*I	5.815299009046497*^-6+0.*I	0.+0.0019168965592532342*I	0.000016860094246416577+0.*I	0.+0.0008955965672734827*I	-2.0811240693293504*^-6+0.*I
0.000012697598338576863+0.*I	0.+0.000222028589747874*I	-6.790121565975881*^-6+0.*I	0.+0.000435784036837972*I	0.00001783646917705811+0.*I	0.+0.0007161850095840094*I	3.4880868919426203*^-6+0.*I	0.+0.0010176570496708585*I	0.000018036122907201277+0.*I	0.+0.0014292303971350018*I	0.000016516357471379906+0.*I	0.+0.0019711403087110005*I	0.000021998454351612325+0.*I	0.+0.002751356339202789*I	0.00002624474440305378+0.*I	0.+0.003942620697304344*I	0.000031321596051418706+0.*I	0.+0.005918283807786547*I	0.000037419780668277597+0.*I	0.+0.009582859151601716*I	0.000045065398262244557+0.*I	0.+0.01764953291985528*I	0.00005542759742272232+0.*I	0.+0.04187628575149762*I	0.00007173888231278804+0.*I	0.+0.21160703925707988*I	-0.49988656509900503+0.*I	0.-0.6372144013455298*I	-0.49988727507452907+0.*I	0.+0.21150484172211767*I	0.00006773553170948528+0.*I	0.+0.041663153597637205*I	0.000054726796554101864+0.*I	0.+0.017325641021268944*I	0.00003127153579044905+0.*I	0.+0.009107989788141677*I	0.00003901700208644264+0.*I	0.+0.005299213449297172*I	0.000010813509081422443+0.*I	0.+0.0031005280794087994*I	0.00002087365671364104+0.*I	0.+0.0016602433408910333*I	3.005509514595846*^-6+0.*I	0.+0.0005177705486651987*I
0.+0.00008662038173806445*I	8.833689964587508*^-6+0.*I	0.+0.00029921587979059625*I	-4.190197656536445*^-6+0.*I	0.+0.0004931627501559419*I	0.000018546444652203927+0.*I	0.+0.0007610038312716259*I	4.1815381482880475*^-6+0.*I	0.+0.0010514043785150244*I	0.000018597481535740713+0.*I	0.+0.0014533697600329176*I	0.000016911820740967527+0.*I	0.+0.0019867095656274474*I	0.000022231181975411896+0.*I	0.+0.0027589891771589415*I	0.000026323385934900677+0.*I	0.+0.003942620697322802*I	0.00003124295450402518+0.*I	0.+0.0059106509697992035*I	0.00003718705304203752+0.*I	0.+0.009567289894714375*I	0.000044669934998635904+0.*I	0.+0.01762539355686734*I	0.00005486623882779801+0.*I	0.+0.041842538422693*I	0.00007104543109623725+0.*I	0.+0.2115622204354267*I	-0.49988727507454245+0.*I	0.-0.6372717800588092*I	-0.4998898749984041+0.*I	0.+0.2114276544320173*I	0.00007159944009475956+0.*I	0.+0.04157653321593842*I	0.00004202919827667028+0.*I	0.+0.017190232813236856*I	0.00004689534726149161+0.*I	0.+0.00897142163108954*I	0.000016990335241214968+0.*I	0.+0.005076191189869617*I	0.000025871866801947395+0.*I	0.+0.0028438748609901057*I	7.019071973326667*^-6+0.*I	0.+0.001282417322252275*I	5.08663357962305*^-6+0.*I
-3.863908389300887*^-6+0.*I	0.+0.000163807671757341*I	0.000011433613862034579+0.*I	0.+0.0003565945931174009*I	-3.4802222057188863*^-6+0.*I	0.+0.0005379815718403097*I	0.000019239895899129144+0.*I	0.+0.0007947511600952896*I	4.742896742946273*^-6+0.*I	0.+0.0010755437414148499*I	0.000018992944849560757+0.*I	0.+0.001468939016945807*I	0.000017144548357147352+0.*I	0.+0.0019943424035938255*I	0.000022309823541215087+0.*I	0.+0.002758989177191074*I	0.000026244744395674348+0.*I	0.+0.003934987859287848*I	0.000031010226900941113+0.*I	0.+0.005895081712923524*I	0.00003679158973579585+0.*I	0.+0.009543150531775938*I	0.000044108576343312+0.*I	0.+0.017591646228032762*I	0.00005417278758120348+0.*I	0.+0.04179771960101416*I	0.00007033545562824932+0.*I	0.+0.21150484172209616*I	-0.4998898749984098+0.*I	0.-0.6373489673488625*I	-0.49988601109006436+0.*I	0.+0.21134103405031565*I	0.00005890184176061509+0.*I	0.+0.041441125007895305*I	0.000057653009767512935+0.*I	0.+0.017053664656223197*I	0.000024868680441715786+0.*I	0.+0.008748399371673819*I	0.00003204869300554135+0.*I	0.+0.00481953797150364*I	0.000012017282035799966+0.*I	0.+0.0024660488424129872*I	9.100196039400873*^-6+0.*I	0.+0.0007646467735868683*I
0.+0.00007718729006144789*I	-1.2639844803264816*^-6+0.*I	0.+0.00022118638509319383*I	0.000012143589343436886+0.*I	0.+0.00040141341479888533*I	-2.7867709390776063*^-6+0.*I	0.+0.0005717289006514736*I	0.000019801254525530984+0.*I	0.+0.0008188905230794743*I	5.138360053419911*^-6+0.*I	0.+0.0010911129982942912*I	0.000019225672466472192+0.*I	0.+0.0014765718549207378*I	0.000017223189908610963+0.*I	0.+0.0019943424035720335*I	0.000022231181934366987+0.*I	0.+0.0027513563391996397*I	0.000026012016785139926+0.*I	0.+0.003919418602439575*I	0.00003061476361226124+0.*I	0.+0.005870942349978173*I	0.00003623023109575084+0.*I	0.+0.009509403202908651*I	0.00004341512510559535+0.*I	0.+0.017546827406374595*I	0.00005346281210747438+0.*I	0.+0.041740340887694544*I	0.00006773553173476572+0.*I	0.+0.21142765443205305*I	-0.4998860110900354+0.*I	0.-0.6374355877306115*I	-0.4998987086883566+0.*I	0.+0.2112056258423216*I	0.00007452565325998703+0.*I	0.+0.041304556850844595*I	0.000035626342956692234+0.*I	0.+0.016830642396823962*I	0.00003992703819135202+0.*I	0.+0.008491746153268776*I	0.00001819410819272939+0.*I	0.+0.0044417119528625945*I	0.000014098406156125943+0.*I	0.+0.001948278293716974*I	4.013562450779409*^-6+0.*I
