0.-0.8487766217809316*I	-0.49995761053012255+0.*I	0.+0.1697645008344018*I	0.00001687264351067236+0.*I	0.+0.024250892194642836*I	0.000010757662477837337+0.*I	0.+0.00808224302511106*I	7.878345251789798*^-6+0.*I	0.+0.003672208181775972*I	6.176826157505637*^-6+0.*I	0.+0.001975663110467832*I	4.99821009699691*^-6+0.*I	0.+0.0011836315201508595*I	4.013562424915712*^-6+0.*I	0.+0.0007646467735780191*I	5.0866335788966074*^-6+0.*I	0.+0.0005177705486744602*I	-2.0811240565758802*^-6+0.*I	0.+0.00037782601862082965*I	0.000013854584774570353+0.*I	0.+0.00025665321839225027*I	-0.000015058357751387749+0.*I	0.+0.00022302225942795887*I	0.000022026666849763826+0.*I	0.+0.00013656815704869731*I	-0.000015623811520297545+0.*I	0.+0.00013540820800176328*I	0.000012697598340508085+0.*I	0.+0.00008662038174577916*I	-3.863908398234618*^-6+0.*I	0.+0.00007718729003525388*I	2.5999239339868067*^-6+0.*I	0.+0.000057378713328464234*I	7.099754667279915*^-7+0.*I	0.+0.00004481882169110182*I	6.934512174250384*^-7+0.*I	0.+0.00003374732881834229*I	5.613586251511382*^-7+0.*I	0.+0.000024139362911420313*I	3.954632919218469*^-7+0.*I	0.+0.00001556925690001559*I	2.3272762304939838*^-7+0.*I	0.+7.632838000123578*^-6*I	7.864155038449423*^-8+0.*I
-0.49995761053011767+0.*I	0.-0.6790121209466047*I	-0.4999407378866685+0.*I	0.+0.1940153930290573*I	0.000027630305947313807+0.*I	0.+0.032333135219766766*I	0.000018636007750449468+0.*I	0.+0.011754451206942334*I	0.000014055171409474613+0.*I	0.+0.005647871292263046*I	0.000011175036212207007+0.*I	0.+0.003159294630630884*I	9.011772555384248*^-6+0.*I	0.+0.0019482782937135727*I	9.100196048787148*^-6+0.*I	0.+0.0012824173222274445*I	3.005509511566745*^-6+0.*I	0.+0.0008955965672732608*I	0.000011773460682966908+0.*I	0.+0.0006344792370486641*I	-1.2037729884774022*^-6+0.*I	0.+0.0004796754777902789*I	6.9683090806991145*^-6+0.*I	0.+0.0003595904164706012*I	6.402855339782566*^-6+0.*I	0.+0.00027197636507046805*I	-2.9262131896197964*^-6+0.*I	0.+0.0002220285897497029*I	8.833689974015971*^-6+0.*I	0.+0.00016380767181624199*I	-1.2639844949498026*^-6+0.*I	0.+0.000134566003371251*I	3.3098993791154585*^-6+0.*I	0.+0.00010219753497018944*I	1.403426731153024*^-6+0.*I	0.+0.00007856615051772363*I	1.254809846246491*^-6+0.*I	0.+0.00005788669178707151*I	9.568219002126393*^-7+0.*I	0.+0.00003970861982109938*I	6.28190923057599*^-7+0.*I	0.+0.000023202094875067383*I	3.113691711581263*^-7+0.*I	0.+7.632837984911661*^-6*I
0.+0.169764500834403*I	-0.499940737886598+0.*I	0.-0.654761228751881*I	-0.49992998022413593+0.*I	0.+0.2020976360541679*I	0.00003550865120268139+0.*I	0.+0.03600534340153825*I	0.000024812833888188826+0.*I	0.+0.013730114317393332*I	0.000019053381464650973+0.*I	0.+0.006831502812392608*I	0.000015188598686367033+0.*I	0.+0.003923941404190436*I	0.000014098406123607793+0.*I	0.+0.0024660488423932678*I	7.019071966714809*^-6+0.*I	0.+0.00166024334089598*I	0.00001686009429916235+0.*I	0.+0.0011522497856455934*I	-3.2848970542503306*^-6+0.*I	0.+0.0008575014964599855*I	0.000020822893860346483+0.*I	0.+0.0006162436348454473*I	-8.655502408134902*^-6+0.*I	0.+0.0004949986245091478*I	0.000019100453639435942+0.*I	0.+0.00035859674679364443*I	-6.790121540314604*^-6+0.*I	0.+0.00029921587982009647*I	0.000011433613827430058+0.*I	0.+0.0002211863850730101*I	-5.540089821631122*^-7+0.*I	0.+0.00017938482506051523*I	4.003350596068177*^-6+0.*I	0.+0.0001359448638491503*I	1.96478531269024*^-6+0.*I	0.+0.00010270551343616102*I	1.6502731452065934*^-6+0.*I	0.+0.00007345594862043818*I	1.1895495465496017*^-6+0.*I	0.+0.0000473414578421507*I	7.0683247198878*^-7+0.*I	0.+0.000023202094907838786*I	2.3272763575001368*^-7+0.*I
0.00001687264343835263+0.*I	0.+0.19401539302904022*I	-0.4999299802241164+0.*I	0.-0.646678985726762*I	-0.4999221018789844+0.*I	0.+0.20576984423596573*I	0.000041685477420192015+0.*I	0.+0.03798100651204481*I	0.000029811043919814613+0.*I	0.+0.01491374583752288*I	0.000023066943937255236+0.*I	0.+0.007596149586006683*I	0.000020275232277586435+0.*I	0.+0.00444171195284874*I	0.000012017282079855632+0.*I	0.+0.00284387486099725*I	0.000020873656722056718+0.*I	0.+0.0019168965592495759*I	1.8017365603633406*^-6+0.*I	0.+0.001375272045118129*I	0.000018741769747719977+0.*I	0.+0.0009940696534801927*I	5.199082362688268*^-6+0.*I	0.+0.000751651842879226*I	4.042095888813537*^-6+0.*I	0.+0.0005816190062093477*I	0.000015236545300725857+0.*I	0.+0.0004357840368683482*I	-4.190197670696212*^-6+0.*I	0.+0.0003565945931256009*I	0.000012143589351778628+0.*I	0.+0.0002660052067625096*I	1.3944220887451154*^-7+0.*I	0.+0.0002131321538756831*I	4.564709253938429*^-6+0.*I	0.+0.00016008422677554326*I	2.3602486059773052*^-6+0.*I	0.+0.00011827477033138084*I	1.8830007747724376*^-6+0.*I	0.+0.00008108878666735911*I	1.2681910745229317*^-6+0.*I	0.+0.00004734145782231242*I	6.28190927832227*^-7+0.*I	0.+0.000015569256877315866*I
0.+0.024250892194636452*I	0.000027630306009329948+0.*I	0.+0.20209763605417955*I	-0.4999221018789249+0.*I	0.-0.643006777544975*I	-0.4999159250527478+0.*I	0.+0.20774550734646097*I	0.00004668368744000867+0.*I	0.+0.03916463803218869*I	0.00003382460641424867+0.*I	0.+0.0156783926111125*I	0.0000281535774986268+0.*I	0.+0.008113920134635806*I	0.000018194108233978375+0.*I	0.+0.0048195379715267545*I	0.000025871866840752346+0.*I	0.+0.0031005280793418395*I	5.815298978507639*^-6+0.*I	0.+0.0021399188186991156*I	0.000023828403376268453+0.*I	0.+0.0015118402021371046*I	3.117958269574251*^-6+0.*I	0.+0.0011294778615143683*I	0.000017896680666625297+0.*I	0.+0.0008382722246037747*I	1.781875133899445*^-7+0.*I	0.+0.0006588062963010633*I	0.000017836469180230864+0.*I	0.+0.0004931627501657271*I	-3.4802221904538754*^-6+0.*I	0.+0.0004014134148010896*I	0.000012837040541252836+0.*I	0.+0.00029975253558933625*I	7.008008566226394*^-7+0.*I	0.+0.00023727151681163762*I	4.960172511502377*^-6+0.*I	0.+0.00017565348365340046*I	2.592976267483987*^-6+0.*I	0.+0.00012590760832835988*I	1.961642303968954*^-6+0.*I	0.+0.00008108878666651251*I	1.1895495553144683*^-6+0.*I	0.+0.00003970861982125462*I	3.9546328944459403*^-7+0.*I
0.000010757662466786159+0.*I	0.+0.03233313521981915*I	0.00003550865119721921+0.*I	0.+0.20576984423594313*I	-0.49991592505276605+0.*I	0.-0.6410311144344909*I	-0.4999109268427059+0.*I	0.+0.20892913886656067*I	0.00005069724989222531+0.*I	0.+0.03992928480578107*I	0.00003891124001825016+0.*I	0.+0.016196163159740484*I	0.000026072453440044224+0.*I	0.+0.008491746153284378*I	0.000032048692949633366+0.*I	0.+0.005076191189858463*I	0.000010813509111218896+0.*I	0.+0.003323550338830535*I	0.00002784196581646987+0.*I	0.+0.002276486975716164*I	8.204591863292561*^-6+0.*I	0.+0.0016472484101788848*I	0.00001581555658579766+0.*I	0.+0.00121609824322642*I	0.000014032772302191209+0.*I	0.+0.0009154595146342385*I	2.778111436109422*^-6+0.*I	0.+0.0007161850096125171*I	0.000018546444647802032+0.*I	0.+0.0005379815718447958*I	-2.7867709542775096*^-6+0.*I	0.+0.00043516074361454844*I	0.000013398399200579087+0.*I	0.+0.0003238918985669426*I	1.0962641382639898*^-6+0.*I	0.+0.0002528407737022595*I	5.19290013269971*^-6+0.*I	0.+0.0001832863216283942*I	2.6716177978605804*^-6+0.*I	0.+0.0001259076083248188*I	1.8830007672582272*^-6+0.*I	0.+0.00007345594869557191*I	9.568219427650567*^-7+0.*I	0.+0.00002413936292792678*I
0.+0.008082243025123623*I	0.000018636007709840716+0.*I	0.+0.03600534340156237*I	0.000041685477362640226+0.*I	0.+0.2077455073464571*I	-0.4999109268426234+0.*I	0.-0.6398474829143704*I	-0.49990691328026393+0.*I	0.+0.20969378564019905*I	0.00005578388347774923+0.*I	0.+0.04044705535440212*I	0.000036830115955602+0.*I	0.+0.016573989178429883*I	0.000039927038187826625+0.*I	0.+0.00874839937163743*I	0.000016990335240871072+0.*I	0.+0.005299213449290984*I	0.00003284017591470784+0.*I	0.+0.003460118495861343*I	0.000012218154294825462+0.*I	0.+0.0024118951837836878*I	0.000020902190149678783+0.*I	0.+0.0017338687918874074*I	0.00001195164822914249+0.*I	0.+0.001293285533302284*I	0.000016632696172899275+0.*I	0.+0.0009728382279696585*I	3.4880869218254954*^-6+0.*I	0.+0.0007610038312744576*I	0.000019239895853982654+0.*I	0.+0.000571728900665545*I	-2.225412320798435*^-6+0.*I	0.+0.0004593001065468319*I	0.000013793862465144504+0.*I	0.+0.0003394611554152656*I	1.3289917955635754*^-6+0.*I	0.+0.0002604736117104341*I	5.271541696047472*^-6+0.*I	0.+0.00018328632166522704*I	2.592976242677536*^-6+0.*I	0.+0.00011827477035208717*I	1.6502731532195793*^-6+0.*I	0.+0.00005788669175981403*I	5.613586433348485*^-7+0.*I
7.878345264280797*^-6+0.*I	0.+0.011754451206945656*I	0.00002481283383948706+0.*I	0.+0.03798100651204356*I	0.00004668368748784607+0.*I	0.+0.20892913886655737*I	-0.4999069132802698+0.*I	0.-0.6390828361407437*I	-0.499901826646624+0.*I	0.+0.21021155618879397*I	0.00005370275940131025+0.*I	0.+0.0408248813730318*I	0.000050684700674029354+0.*I	0.+0.016830642396794354*I	0.000024868680460523055+0.*I	0.+0.008971421631094673*I	0.000039017002065254464+0.*I	0.+0.00543578160633405*I	0.00001721636441543267+0.*I	0.+0.0035955267038928064*I	0.000024915752633682083+0.*I	0.+0.002498515565479926*I	0.00001703828181544356+0.*I	0.+0.0018110560819543265*I	0.00001455157209830851+0.*I	0.+0.0013506642465811916*I	0.000017342671683618245+0.*I	0.+0.0010176570496568467*I	4.181538134436225*^-6+0.*I	0.+0.0007947511601145548*I	0.000019801254515345854+0.*I	0.+0.0005958682636148497*I	-1.8299490362280497*^-6+0.*I	0.+0.0004748693634561695*I	0.000014026590083493532+0.*I	0.+0.00034709399341709406*I	1.4076333180136097*^-6+0.*I	0.+0.00026047361168268085*I	5.192900154991549*^-6+0.*I	0.+0.0001756534836686072*I	2.3602486393749334*^-6+0.*I	0.+0.00010270551343528942*I	1.254809847383614*^-6+0.*I	0.+0.00003374732884678074*I
0.+0.003672208181778221*I	0.000014055171349469822+0.*I	0.+0.013730114317401343*I	0.000029811043956139665+0.*I	0.+0.03916463803216731*I	0.00005069724993773668+0.*I	0.+0.20969378564015398*I	-0.4999018266466661+0.*I	0.-0.6385650655921109*I	-0.4999039077707366+0.*I	0.+0.21058938220746218*I	0.0000675573442027392+0.*I	0.+0.041081534591411326*I	0.00003562634290769967+0.*I	0.+0.017053664656211706*I	0.00004689534731131013+0.*I	0.+0.009107989788144215*I	0.00002339319054877226+0.*I	0.+0.005571189814386181*I	0.000029913962707005+0.*I	0.+0.0036821470856367154*I	0.000021051844237642535+0.*I	0.+0.0025757028555404037*I	0.00001963820573028344+0.*I	0.+0.001868434795264065*I	0.000015261547590232247+0.*I	0.+0.0013954830682676813*I	0.000018036122926192366+0.*I	0.+0.0010514043784956152*I	4.7428967417682604*^-6+0.*I	0.+0.0008188905230276508*I	0.000020196717808981736+0.*I	0.+0.0006114375204842864*I	-1.5972214015156565*^-6+0.*I	0.+0.00048250220144961886*I	0.000014105231659171177+0.*I	0.+0.0003470939934130236*I	1.3289917681116035*^-6+0.*I	0.+0.0002528407737072925*I	4.960172522002835*^-6+0.*I	0.+0.00016008422679177623*I	1.9647853268899815*^-6+0.*I	0.+0.0000785661505346813*I	6.934512338717483*^-7+0.*I
6.176826134278164*^-6+0.*I	0.+0.005647871292284015*I	0.000019053381476973486+0.*I	0.+0.014913745837551704*I	0.00003382460641425432+0.*I	0.+0.03992928480573924*I	0.000055783883468663235+0.*I	0.+0.2102115561888309*I	-0.4999039077707149+0.*I	0.-0.6381872395734794*I	-0.4998900531859499+0.*I	0.+0.2108460354258299*I	0.000052498986429969525+0.*I	0.+0.04130455685084807*I	0.0000576530098034541+0.*I	0.+0.01719023281326219*I	0.000031271535789172326+0.*I	0.+0.009243397996158066*I	0.00003609078888845173+0.*I	0.+0.005657810196105888*I	0.000026050054364556425+0.*I	0.+0.003759334375674968*I	0.000023651768176982322+0.*I	0.+0.0026330815688466063*I	0.000020348181165120427+0.*I	0.+0.001913253616906582*I	0.000015954998827216415+0.*I	0.+0.0014292303971316137*I	0.000018597481522409397+0.*I	0.+0.001075543741425693*I	5.138360066349246*^-6+0.*I	0.+0.0008344597799326808*I	0.00002042944540991565+0.*I	0.+0.0006190703584843479*I	-1.5185798665369483*^-6+0.*I	0.+0.00048250220143337264*I	0.000014026590106318545+0.*I	0.+0.0003394611554489975*I	1.0962641639531144*^-6+0.*I	0.+0.00023727151683472714*I	4.564709242976611*^-6+0.*I	0.+0.0001359448638248118*I	1.403426693743961*^-6+0.*I	0.+0.00004481882166514372*I
0.+0.001975663110515729*I	0.000011175036212739557+0.*I	0.+0.0068315028123875484*I	0.000023066943913543955+0.*I	0.+0.01567839261112559*I	0.00003891123996855403+0.*I	0.+0.04044705535440646*I	0.00005370275941743875+0.*I	0.+0.21058938220749626*I	-0.499890053185928+0.*I	0.-0.6379305863551404*I	-0.4999051115436914+0.*I	0.+0.21106905768525946*I	0.00007452565328050422+0.*I	0.+0.041441125007906365*I	0.00004202919827128637+0.*I	0.+0.017325641021286288*I	0.000043969134100581224+0.*I	0.+0.00933001837790044*I	0.00003222688050507357+0.*I	0.+0.005734997486157861*I	0.00002864997825167585+0.*I	0.+0.0038167130889778865*I	0.000024361743633382458+0.*I	0.+0.0026779003905259757*I	0.00002104163241872861+0.*I	0.+0.0019470009457709064*I	0.000016516357473571932+0.*I	0.+0.0014533697600476033*I	0.000018992944816006204+0.*I	0.+0.0010911129983251988*I	5.371087676759109*^-6+0.*I	0.+0.0008420926179124089*I	0.00002050808696459178+0.*I	0.+0.0006190703585062142*I	-1.5972213976122576*^-6+0.*I	0.+0.0004748693634231298*I	0.000013793862459924802+0.*I	0.+0.0003238918985309601*I	7.008008803654743*^-7+0.*I	0.+0.0002131321538883603*I	4.003350571721835*^-6+0.*I	0.+0.00010219753499622745*I	7.099754917219415*^-7+0.*I
