0.3682978065278994-0.02227441143540507*I	0.15989921245633823-0.039826780028809856*I	0.07429565443420466-0.0491475097342246*I	0.03020488510016808-0.04875340886545336*I	0.00488940038213542-0.03952641522948691*I	-0.00870578790530772-0.024426218890853457*I	-0.013939357403798855-0.007664348816527741*I	-0.013632798740833363+0.006435369892345674*I	-0.01046069163039777+0.01458370225325709*I	-0.006537493488067804+0.015373783379892949*I	-0.0030086175697343585+0.009605018878523938*I
0.15989921245633829-0.03982678002880987*I	0.44259346096210406-0.07142192116962964*I	0.1901040975565063-0.08858018889426321*I	0.07918505481634007-0.08867392496371147*I	0.021499097194860317-0.0731796277563068*I	-0.009049957021663505-0.04719076404601462*I	-0.022338586646141172-0.017990848998507784*I	-0.024400049034196715+0.006919353436729352*I	-0.02017029222890125+0.02180915327223863*I	-0.013469309200132187+0.024188721131781034*I	-0.006537493488067839+0.015373783379892956*I
0.07429565443420467-0.04914750973422462*I	0.1901040975565062-0.08858018889426325*I	0.44748286134423937-0.1109483363991166*I	0.18139830965119846-0.11300640778511671*I	0.06524569741254103-0.09633827378023929*I	0.007866298454026725-0.06674425786396117*I	-0.01951064865206152-0.03260706179275756*I	-0.028876080134209222-0.002617065618614826*I	-0.027408666603931275+0.016524372315253312*I	-0.02017029222890139+0.021809153272238656*I	-0.010460691630397893+0.014583702253257114*I
0.03020488510016805-0.0487534088654534*I	0.07918505481633997-0.08867392496371154*I	0.18139830965119838-0.11300640778511675*I	0.43354350394044033-0.11861268521564437*I	0.16776551091036476-0.10657103789277107*I	0.05478500578214286-0.08175457152698219*I	0.0013288049659584984-0.05137047448406824*I	-0.022519266221796286-0.023002042914233606*I	-0.028876080134209548-0.0026170656186147935*I	-0.024400049034197117+0.006919353436729399*I	-0.013632798740833632+0.006435369892345709*I
0.004889400382135383-0.03952641522948695*I	0.021499097194860244-0.07317962775630692*I	0.06524569741254096-0.09633827378023939*I	0.16776551091036473-0.10657103789277116*I	0.42308281231004213-0.10402898296238731*I	0.1612280174222964-0.09119725451287816*I	0.051776388212407945-0.07214955264845826*I	0.001328804965957984-0.0513704744840682*I	-0.019510648652062302-0.0326070617927575*I	-0.022338586646141925-0.017990848998507718*I	-0.013939357403799313-0.007664348816527699*I
-0.008705787905307783-0.024426218890853543*I	-0.009049957021663614-0.04719076404601478*I	0.007866298454026607-0.06674425786396135*I	0.05478500578214275-0.08175457152698236*I	0.1612280174222963-0.09119725451287829*I	0.4200741947403069-0.09442396408386346*I	0.16122801742229578-0.0911972545128782*I	0.054785005782141745-0.08175457152698216*I	0.007866298454025433-0.0667442578639611*I	-0.009049957021664636-0.04719076404601457*I	-0.008705787905308378-0.02442621889085342*I
-0.013939357403798931-0.007664348816527858*I	-0.022338586646141304-0.017990848998508*I	-0.019510648652061677-0.032607061792757824*I	0.0013288049659583533-0.051370474484068486*I	0.05177638821240784-0.07214955264845849*I	0.16122801742229578-0.09119725451287829*I	0.42308281231004097-0.10402898296238738*I	0.16776551091036315-0.1065710378927711*I	0.06524569741253934-0.09633827378023925*I	0.021499097194858898-0.07317962775630682*I	0.00488940038213462-0.03952641522948689*I
-0.013632798740833443+0.006435369892345552*I	-0.02440004903419686+0.006919353436729128*I	-0.028876080134209406-0.0026170656186151097*I	-0.022519266221796456-0.023002042914233897*I	0.0013288049659578385-0.05137047448406848*I	0.05478500578214169-0.08175457152698236*I	0.16776551091036318-0.1065710378927712*I	0.43354350394043856-0.11861268521564439*I	0.1813983096511966-0.1130064077851167*I	0.07918505481633856-0.08867392496371149*I	0.030204885100167247-0.048753408865453374*I
-0.010460691630397837+0.014583702253256975*I	-0.02017029222890137+0.021809153272238428*I	-0.02740866660393143+0.01652437231525305*I	-0.028876080134209708-0.0026170656186150693*I	-0.01951064865206246-0.03260706179275774*I	0.00786629845402532-0.0667442578639613*I	0.06524569741253924-0.09633827378023933*I	0.18139830965119652-0.11300640778511675*I	0.4474828613442376-0.11094833639911657*I	0.1901040975565049-0.08858018889426322*I	0.07429565443420391-0.049147509734224604*I
-0.006537493488067858+0.01537378337989286*I	-0.013469309200132281+0.024188721131780867*I	-0.02017029222890151+0.021809153272238434*I	-0.024400049034197253+0.006919353436729178*I	-0.022338586646142047-0.017990848998507922*I	-0.009049957021664726-0.04719076404601474*I	0.021499097194858832-0.07317962775630689*I	0.0791850548163385-0.08867392496371153*I	0.19010409755650484-0.08858018889426322*I	0.44259346096210306-0.07142192116962966*I	0.15989921245633765-0.03982678002880987*I
-0.0030086175697343876+0.009605018878523892*I	-0.006537493488067891+0.015373783379892867*I	-0.01046069163039796+0.014583702253256996*I	-0.013632798740833703+0.006435369892345588*I	-0.01393935740379938-0.007664348816527814*I	-0.00870578790530843-0.02442621889085352*I	0.004889400382134585-0.039526415229486946*I	0.030204885100167223-0.048753408865453395*I	0.07429565443420388-0.04914750973422461*I	0.15989921245633765-0.03982678002880988*I	0.3682978065278992-0.02227441143540508*I
