0.-0.8527329139364553*I	-0.5041265139942386+0.*I	0.+0.16389638136993367*I	0.006885128780129506+0.*I
-0.5041265139942539+0.*I	0.-0.6888365325665314*I	-0.49724138521410133+0.*I	0.+0.1638963813699187*I
0.+0.16389638136994522*I	-0.49724138521410643+0.*I	0.-0.6888365325665492*I	-0.5041265139942309+0.*I
0.0068851287801260375+0.*I	0.+0.16389638136992885*I	-0.5041265139942351+0.*I	0.-0.8527329139364587*I
