0.-0.8489109580621552*I	0.4995846956724587+0.*I	0.+0.1703281961813873*I	0.0014561394882952239+0.*I	0.+0.021563558793485163*I	-0.003054620716161422+0.*I	0.+0.010857816147630794*I	0.004165685812624813+0.*I	0.-0.0002579485699652137*I	-0.004517330498725549+0.*I
0.4995846956724481+0.*I	0.-0.6785827618807577*I	0.5010408351607468+0.*I	0.+0.19189175497486174*I	-0.0015984812278763188+0.*I	0.+0.032421374941117874*I	0.001111065096469775+0.*I	0.+0.010599867577639456*I	-0.0003516446861135339+0.*I	0.-0.00025794856995087434*I
0.+0.17032819618136125*I	0.501040835160738+0.*I	0.-0.6570192030872662*I	0.4979862144445751+0.*I	0.+0.20274957112249772*I	0.0025672045847512748+0.*I	0.+0.03216342637115295*I	-0.003406265402259316+0.*I	0.+0.010599867577667666*I	0.004165685812621495+0.*I
0.001456139488283742+0.*I	0.+0.19189175497486174*I	0.49798621444456964+0.*I	0.-0.6461613869396404*I	0.5021519002572049+0.*I	0.+0.2024916225525344*I	-0.0019501259139745241+0.*I	0.+0.03216342637113848*I	0.0011110650964712553+0.*I	0.+0.010857816147632133*I
0.+0.02156355879346756*I	-0.001598481227875556+0.*I	0.+0.20274957112249992*I	0.5021519002571875+0.*I	0.-0.6464193355095974*I	0.4976345697584696+0.*I	0.+0.20249162255252934*I	0.002567204584749364+0.*I	0.+0.03242137494111893*I	-0.0030546207161574134+0.*I
-0.003054620716156099+0.*I	0.+0.0324213749411037*I	0.002567204584755597+0.*I	0.+0.20249162255253747*I	0.4976345697584759+0.*I	0.-0.6464193355096116*I	0.5021519002571958+0.*I	0.+0.2027495711224993*I	-0.0015984812278727707+0.*I	0.+0.0215635587934738*I
0.+0.010857816147649163*I	0.0011110650964651755+0.*I	0.+0.032163426371134146*I	-0.0019501259139895492+0.*I	0.+0.20249162255253023*I	0.502151900257182+0.*I	0.-0.6461613869396386*I	0.49798621444459606+0.*I	0.+0.1918917549748754*I	0.0014561394882585993+0.*I
0.004165685812644704+0.*I	0.+0.010599867577669186*I	-0.0034062654022772865+0.*I	0.+0.03216342637113765*I	0.0025672045847571767+0.*I	0.+0.20274957112250616*I	0.4979862144445727+0.*I	0.-0.6570192030872619*I	0.5010408351607344+0.*I	0.+0.1703281961814005*I
0.-0.0002579485699568673*I	-0.0003516446861106835+0.*I	0.+0.01059986757765774*I	0.0011110650964592298+0.*I	0.+0.03242137494110986*I	-0.0015984812278777767+0.*I	0.+0.19189175497486677*I	0.5010408351607297+0.*I	0.-0.6785827618807515*I	0.4995846956724581+0.*I
-0.004517330498711558+0.*I	0.-0.00025794856995895235*I	0.004165685812604736+0.*I	0.+0.01085781614761388*I	-0.003054620716147316+0.*I	0.+0.02156355879347957*I	0.001456139488277497+0.*I	0.+0.17032819618140513*I	0.49958469567246033+0.*I	0.-0.8489109580621487*I
