0.-0.852796804756828*I	0.4976482401398804+0.*I	0.+0.17119574019831862*I	0.0023244632918949983+0.*I	0.+0.010477965389187993*I
0.497648240115268+0.*I	0.-0.6816010645286636*I	0.49997270345375+0.*I	0.+0.18167370559251347*I	0.0023244632988053127+0.*I
0.+0.17119574016942352*I	0.49997270346125755+0.*I	0.-0.6711230991404591*I	0.4999727034400512+0.*I	0.+0.17119574017351624*I
0.0023244633043759677+0.*I	0.+0.18167370559450768*I	0.49997270341964395+0.*I	0.-0.6816010645441944*I	0.4976482401270914+0.*I
0.+0.010477965404106726*I	0.0023244633238040657+0.*I	0.+0.17119574019056927*I	0.497648240151801+0.*I	0.-0.852796804725358*I
