0.-0.8433954821790357*I	-0.497652648823719+0.*I	0.+0.16380793269468197*I	-0.002638308628104757+0.*I	0.+0.023021497797679546*I	0.001808987655573483+0.*I
-0.49765264882372723+0.*I	0.-0.6795875494843707*I	-0.5002909574518055+0.*I	0.+0.18682943049236017*I	-0.0008293209725287315+0.*I	0.+0.023021497797666837*I
0.+0.16380793269469274*I	-0.5002909574518271+0.*I	0.-0.6565660516867091*I	-0.49848196979623166+0.*I	0.+0.1868294304923529*I	-0.0026383086280981735+0.*I
-0.0026383086280970525+0.*I	0.+0.18682943049235468*I	-0.4984819697962346+0.*I	0.-0.656566051686705*I	-0.5002909574518275+0.*I	0.+0.1638079326946721*I
0.+0.023021497797673263*I	-0.000829320972514511+0.*I	0.+0.18682943049234152*I	-0.500290957451816+0.*I	0.-0.679587549484386*I	-0.49765264882370785+0.*I
0.0018089876555842377+0.*I	0.+0.02302149779767701*I	-0.0026383086280910573+0.*I	0.+0.1638079326946761*I	-0.4976526488237163+0.*I	0.-0.8433954821790479*I
