0.-0.8429487972084413*I	0.4976377542806829+0.*I	0.+0.16537092249782848*I	0.0026459133709384186+0.*I	0.+0.02656226353159582*I	-0.001466014863131705+0.*I	0.+0.007273833128709159*I	0.0003427101885998437+0.*I	0.+0.003707539111015293*I	6.74957075678875*^-6+0.*I	0.+0.0019286908278956815*I	-0.00001689288034684575+0.*I	0.+0.0010900760300855145*I	-5.760388920933443*^-6+0.*I	0.+0.0006433910594841165*I	-1.9983373150485497*^-6+0.*I	0.+0.0003657010247190454*I	-8.551720664636474*^-7+0.*I	0.+0.00016677337709474922*I	-2.626038226450495*^-7+0.*I
0.49763775428065904+0.*I	0.-0.6775778747106062*I	0.5002836676516179+0.*I	0.+0.19193318602941734*I	0.0011798985077992226+0.*I	0.+0.033836096660312814*I	-0.0011233046745316975+0.*I	0.+0.010981372239739004*I	0.00034945975937043794+0.*I	0.+0.005636229938909784*I	-0.00001014330959627702+0.*I	0.+0.0030187668579831563*I	-0.000022653269285273352+0.*I	0.+0.0017334670895578356*I	-7.758726221015143*^-6+0.*I	0.+0.0010090920842137914*I	-2.853509376308423*^-6+0.*I	0.+0.0005324744018230976*I	-1.1177759122584575*^-6+0.*I	0.+0.00016677337709650528*I
0.+0.16537092249781774*I	0.5002836676516051+0.*I	0.-0.6510156111790054*I	0.4988176527884764+0.*I	0.+0.1992070191581328*I	0.0015226086964132322+0.*I	0.+0.03754363577132787*I	-0.0011165551037902474+0.*I	0.+0.01291006306760114*I	0.0003325668789929801+0.*I	0.+0.00672630596900896*I	-0.000015903698492303527+0.*I	0.+0.0036621579174621077*I	-0.00002465160657740427+0.*I	0.+0.002099168114324438*I	-8.613898305982523*^-6+0.*I	0.+0.0011758654612835724*I	-3.116113210729225*^-6+0.*I	0.+0.0005324744018349899*I	-8.551720688315371*^-7+0.*I
0.0026459133709482888+0.*I	0.+0.19193318602942092*I	0.49881765278845597+0.*I	0.-0.6437417780503039*I	0.4991603629770925+0.*I	0.+0.20291455826916613*I	0.0015293582671535386+0.*I	0.+0.03947232659920772*I	-0.0011334479841344685+0.*I	0.+0.014000139097718627*I	0.0003268064900947618+0.*I	0.+0.007369697028455866*I	-0.000017902035825221484+0.*I	0.+0.004027858942196066*I	-0.000025506778643464385+0.*I	0.+0.0022659414913682417*I	-8.8765021252955*^-6+0.*I	0.+0.0011758654613078534*I	-2.853509389944934*^-6+0.*I	0.+0.00036570102472937844*I
0.+0.026562263531582534*I	0.0011798985077908512+0.*I	0.+0.199207019158152*I	0.4991603629770749+0.*I	0.-0.6400342389392775*I	0.49916711254783086+0.*I	0.+0.20484324909704768*I	0.0015124653868056274+0.*I	0.+0.040562402629299006*I	-0.0011392083730462437+0.*I	0.+0.014643530157202765*I	0.00032480815278537815+0.*I	0.+0.0077353980532019065*I	-0.000018757207894760238+0.*I	0.+0.004194632319289215*I	-0.00002576938250536467+0.*I	0.+0.002265941491396358*I	-8.613898278489793*^-6+0.*I	0.+0.0010090920842036359*I	-1.9983373180335756*^-6+0.*I
-0.0014660148631587212+0.*I	0.+0.03383609666030354*I	0.001522608696401393+0.*I	0.+0.20291455826915786*I	0.4991671125478302+0.*I	0.-0.6381055481113862*I	0.4991502196674772+0.*I	0.+0.20593332512712909*I	0.0015067049978890364+0.*I	0.+0.041205793688776395*I	-0.001141206710361584+0.*I	0.+0.015009231181914457*I	0.000323952980717811+0.*I	0.+0.007902171430295339*I	-0.000019019811721378744+0.*I	0.+0.0041946323192647945*I	-0.00002550677864881428+0.*I	0.+0.0020991681142908387*I	-7.75872623503195*^-6+0.*I	0.+0.0006433910594768971*I
0.+0.007273833128716118*I	-0.0011233046745489376+0.*I	0.+0.037543635771320714*I	0.0015293582671630087+0.*I	0.+0.20484324909705104*I	0.499150219667461+0.*I	0.-0.6370154720812913*I	0.49914445927857093+0.*I	0.+0.20657671618659218*I	0.0015047066605745067+0.*I	0.+0.0415714947135211*I	-0.0011420618824175442+0.*I	0.+0.01517600455900726*I	0.0003236903768591972+0.*I	0.+0.007902171430296454*I	-0.000018757207871780614+0.*I	0.+0.004027858942183443*I	-0.00002465160661058147+0.*I	0.+0.0017334670895473318*I	-5.760388900847472*^-6+0.*I
0.0003427101885946868+0.*I	0.+0.010981372239728915*I	-0.0011165551037518608+0.*I	0.+0.03947232659922767*I	0.0015124653867828032+0.*I	0.+0.20593332512712342*I	0.4991444592785913+0.*I	0.-0.6363720810218401*I	0.4991424609412258+0.*I	0.+0.2069424172113313*I	0.0015038514885203221+0.*I	0.+0.04173826809058633*I	-0.0011423244862644524+0.*I	0.+0.015176004559024655*I	0.0003239529806986746+0.*I	0.+0.007735398053181662*I	-0.000017902035809471818+0.*I	0.+0.0036621579174487204*I	-0.000022653269274483714+0.*I	0.+0.0010900760300808184*I
0.+0.003707539111051701*I	0.0003494597593508417+0.*I	0.+0.012910063067591649*I	-0.0011334479841360327+0.*I	0.+0.04056240262930869*I	0.0015067049979082+0.*I	0.+0.20657671618660325*I	0.49914246094123677+0.*I	0.-0.6360063799970879*I	0.4991416057691791+0.*I	0.+0.20710919058842475*I	0.0015035888846696463+0.*I	0.+0.041738268090635224*I	-0.0011420618824080349+0.*I	0.+0.015009231181910516*I	0.00032480815275780277+0.*I	0.+0.007369697028463168*I	-0.00001590369850398334+0.*I	0.+0.0030187668579678417*I	-0.000016892880375181024+0.*I
6.749570783457993*^-6+0.*I	0.+0.005636229938913279*I	0.0003325668790101416+0.*I	0.+0.014000139097703293*I	-0.0011392083730397931+0.*I	0.+0.04120579368878531*I	0.0015047066605821694+0.*I	0.+0.20694241721132384*I	0.4991416057691716+0.*I	0.-0.6358396066200185*I	0.49914134316536085+0.*I	0.+0.20710919058841698*I	0.0015038514884939118+0.*I	0.+0.04157149471352657*I	-0.0011412067103649757+0.*I	0.+0.014643530157177505*I	0.0003268064900875919+0.*I	0.+0.006726305969002829*I	-0.000010143309591318667+0.*I	0.+0.0019286908278677327*I
0.+0.0019286908278789011*I	-0.000010143309595098868+0.*I	0.+0.006726305969001345*I	0.0003268064901037289+0.*I	0.+0.01464353015717662*I	-0.0011412067103508386+0.*I	0.+0.04157149471351299*I	0.001503851488499267+0.*I	0.+0.2071091905884071*I	0.4991413431653458+0.*I	0.-0.6358396066199832*I	0.4991416057691753+0.*I	0.+0.20694241721133155*I	0.0015047066605717095+0.*I	0.+0.041205793688794914*I	-0.00113920837304377+0.*I	0.+0.01400013909769883*I	0.00033256687900039993+0.*I	0.+0.005636229938905337*I	6.74957078250903*^-6+0.*I
-0.00001689288038574186+0.*I	0.+0.0030187668579777496*I	-0.000015903698499489965+0.*I	0.+0.007369697028472177*I	0.00032480815276269697+0.*I	0.+0.015009231181895497*I	-0.001142061882406431+0.*I	0.+0.04173826809061243*I	0.0015035888846542662+0.*I	0.+0.2071091905884157*I	0.4991416057692007+0.*I	0.-0.6360063799970772*I	0.4991424609412198+0.*I	0.+0.20657671618659385*I	0.001506704997918405+0.*I	0.+0.04056240262931111*I	-0.0011334479841493795+0.*I	0.+0.01291006306761789*I	0.0003494597593739673+0.*I	0.+0.003707539110998994*I
0.+0.0010900760300759042*I	-0.000022653269270274648+0.*I	0.+0.0036621579174658603*I	-0.00001790203581806852+0.*I	0.+0.0077353980531991925*I	0.0003239529807174002+0.*I	0.+0.015176004558995045*I	-0.0011423244862630555+0.*I	0.+0.04173826809062632*I	0.0015038514885240657+0.*I	0.+0.20694241721132853*I	0.4991424609412377+0.*I	0.-0.6363720810218291*I	0.4991444592785578+0.*I	0.+0.20593332512713025*I	0.0015124653868129356+0.*I	0.+0.03947232659923796*I	-0.0011165551037749242+0.*I	0.+0.010981372239716052*I	0.00034271018862246306+0.*I
-5.7603888808754715*^-6+0.*I	0.+0.001733467089561429*I	-0.000024651606604537317+0.*I	0.+0.0040278589421793515*I	-0.00001875720788698139+0.*I	0.+0.007902171430276139*I	0.0003236903768696819+0.*I	0.+0.015176004559006619*I	-0.001142061882427915+0.*I	0.+0.04157149471352311*I	0.0015047066605577734+0.*I	0.+0.20657671618661239*I	0.49914445927857287+0.*I	0.-0.6370154720813214*I	0.4991502196674768+0.*I	0.+0.20484324909704102*I	0.001529358267167344+0.*I	0.+0.03754363577131498*I	-0.0011233046745352275+0.*I	0.+0.007273833128719757*I
0.+0.0006433910594894829*I	-7.758726232163467*^-6+0.*I	0.+0.0020991681142952245*I	-0.000025506778645012145+0.*I	0.+0.004194632319271016*I	-0.000019019811735625733+0.*I	0.+0.007902171430303983*I	0.0003239529807216274+0.*I	0.+0.015009231181924612*I	-0.0011412067103493903+0.*I	0.+0.041205793688775465*I	0.0015067049978950472+0.*I	0.+0.20593332512711213*I	0.499150219667482+0.*I	0.-0.6381055481113966*I	0.49916711254783974+0.*I	0.+0.2029145582691654*I	0.001522608696406031+0.*I	0.+0.03383609666031179*I	-0.0014660148631500149+0.*I
-1.9983373282920526*^-6+0.*I	0.+0.0010090920841980679*I	-8.613898297020733*^-6+0.*I	0.+0.002265941491391582*I	-0.000025769382495350636+0.*I	0.+0.004194632319271394*I	-0.000018757207886698195+0.*I	0.+0.007735398053205869*I	0.00032480815278067374+0.*I	0.+0.014643530157166936*I	-0.0011392083730569346+0.*I	0.+0.04056240262930777*I	0.001512465386807026+0.*I	0.+0.20484324909702842*I	0.49916711254782825+0.*I	0.-0.6400342389392824*I	0.4991603629770699+0.*I	0.+0.19920701915814248*I	0.0011798985077909297+0.*I	0.+0.026562263531605165*I
0.+0.00036570102475314004*I	-2.8535093791096197*^-6+0.*I	0.+0.001175865461307768*I	-8.876502131357484*^-6+0.*I	0.+0.002265941491378043*I	-0.000025506778665072853+0.*I	0.+0.00402785894219615*I	-0.000017902035825711815+0.*I	0.+0.007369697028465211*I	0.00032680649010244156+0.*I	0.+0.014000139097714748*I	-0.0011334479841417+0.*I	0.+0.03947232659921687*I	0.0015293582671555886+0.*I	0.+0.20291455826914606*I	0.4991603629770697+0.*I	0.-0.6437417780502932*I	0.4988176527884651+0.*I	0.+0.1919331860294176*I	0.0026459133709378947+0.*I
-8.551720769300886*^-7+0.*I	0.+0.0005324744018000129*I	-3.116113227230599*^-6+0.*I	0.+0.0011758654613027591*I	-8.613898287879174*^-6+0.*I	0.+0.002099168114300314*I	-0.000024651606605363696+0.*I	0.+0.003662157917454723*I	-0.000015903698490138396+0.*I	0.+0.006726305968989493*I	0.0003325668789914138+0.*I	0.+0.012910063067617716*I	-0.001116555103771455+0.*I	0.+0.037543635771326044*I	0.0015226086963958663+0.*I	0.+0.19920701915814218*I	0.4988176527884637+0.*I	0.-0.6510156111790176*I	0.5002836676516182+0.*I	0.+0.16537092249782145*I
0.+0.00016677337709469775*I	-1.1177758930908615*^-6+0.*I	0.+0.0005324744018202487*I	-2.8535093834243107*^-6+0.*I	0.+0.001009092084217511*I	-7.7587262320617*^-6+0.*I	0.+0.0017334670895631232*I	-0.00002265326927694143+0.*I	0.+0.0030187668579625404*I	-0.000010143309595208791+0.*I	0.+0.005636229938911996*I	0.0003494597593714581+0.*I	0.+0.010981372239702192*I	-0.0011233046745514092+0.*I	0.+0.03383609666030951*I	0.0011798985077965517+0.*I	0.+0.1919331860294236*I	0.5002836676515995+0.*I	0.-0.6775778747106057*I	0.4976377542806946+0.*I
-2.6260380947551454*^-7+0.*I	0.+0.0001667733770855437*I	-8.551720709903954*^-7+0.*I	0.+0.00036570102473407445*I	-1.9983373100718183*^-6+0.*I	0.+0.0006433910594606198*I	-5.760388928854887*^-6+0.*I	0.+0.0010900760300940385*I	-0.000016892880347507688+0.*I	0.+0.0019286908278802672*I	6.749570742314859*^-6+0.*I	0.+0.003707539111026507*I	0.0003427101886169237+0.*I	0.+0.007273833128710751*I	-0.001466014863155285+0.*I	0.+0.02656226353162095*I	0.002645913370938835+0.*I	0.+0.16537092249780058*I	0.4976377542806853+0.*I	0.-0.8429487972084173*I
