0.-0.8487768656296163*I	-0.49995763129367055+0.*I	0.+0.16976376508516883*I	0.000016831113079581765+0.*I	0.+0.024249651612475984*I	0.000010694921810371893+0.*I	0.+0.008080475667517809*I	7.791888053137883*^-6+0.*I	0.+0.003669886320379283*I	6.063458628748449*^-6+0.*I	0.+0.001972764971019565*I	4.8973066663701855*^-6+0.*I	0.+0.0011800683547527197*I	4.043341129220603*^-6+0.*I	0.+0.0007596961791989862*I	3.4265636213186407*^-6+0.*I	0.+0.0005156478893411018*I	3.057377461261901*^-6+0.*I	0.+0.0003644931141055935*I	9.162262688514975*^-7+0.*I	0.+0.0002611083227813532*I	7.201897726214249*^-6+0.*I	0.+0.00020339994829430413*I	-9.472358182118354*^-6+0.*I	0.+0.0001317447760190646*I	0.000018789996349288663+0.*I	0.+0.00012893710829987165*I	-0.000018865046685166058+0.*I	0.+0.00006199031554241646*I	0.00001827004959156384+0.*I	0.+0.00007308659964978814*I	-0.000010528648978536309+0.*I	0.+0.00003160057173064862*I	5.597448382330475*^-6+0.*I	0.+0.00002583971040963362*I	-1.326456742284924*^-6+0.*I	0.+6.8387398714231384*^-6*I
4.897307001891388*^-6+0.*I	0.+0.0031528333246890533*I	0.00001500411188723794+0.*I	0.+0.00758241584381217*I	0.00002622256381954595+0.*I	0.+0.016178539378158812*I	0.00003997486957796891+0.*I	0.+0.04079268410784593*I	0.0000577222049567987+0.*I	0.+0.21081755751889678*I	-0.4998927071947135+0.*I	0.-0.6377559081733613*I	-0.49990217956132554+0.*I	0.+0.21115270223742516*I	0.00007424173211587524+0.*I	0.+0.04151787424870759*I	0.00003854558205326324+0.*I	0.+0.01733021296470875*I	0.000046120701273687394+0.*I	0.+0.009322823899358366*I	0.000027800166968980998+0.*I	0.+0.0056845381390746704*I	0.000027334162576314647+0.*I	0.+0.0037376128948735806*I	0.000021110393592228348+0.*I	0.+0.002564383277493398*I	0.000017067043991355424+0.*I	0.+0.001797848352040249*I	0.000014966938447106156+0.*I	0.+0.0012563607439269047*I	6.312112136426301*^-6+0.*I	0.+0.000860267070567916*I	0.000015924544415711306+0.*I	0.+0.0005260721397876739*I	-9.547407761109744*^-6+0.*I	0.+0.0002606818753605193*I	0.000018790001692747804+0.*I
0.+0.0011800683537519438*I	8.940663072236565*^-6+0.*I	0.+0.003912529512881992*I	0.00001843067785098636+0.*I	0.+0.008098063714843784*I	0.000029279938526581384+0.*I	0.+0.016543032495727583*I	0.00004089107824320082+0.*I	0.+0.04105379242147772*I	0.00006492409844947439+0.*I	0.+0.2110209574692008*I	-0.4999021795613712+0.*I	0.-0.6376241633954144*I	-0.49988338956191003+0.*I	0.+0.2112816393451041*I	0.00005537668936744855+0.*I	0.+0.04157986456393351*I	0.00005681562481950549+0.*I	0.+0.01740329957265538*I	0.00003559205873718788+0.*I	0.+0.009354424461638776*I	0.00003339762060886125+0.*I	0.+0.005710377859743737*I	0.000026007691014008767+0.*I	0.+0.0037444516325850635*I	0.000021110402161243505+0.*I	0.+0.0025575445459367283*I	0.00001839350368510162+0.*I	0.+0.0017720086228397713*I	9.369485159158527*^-6+0.*I	0.+0.0012247601827814203*I	0.000016840761743372347+0.*I	0.+0.0007871804595582094*I	-2.3455073590652088*^-6+0.*I	0.+0.0004640818369137864*I	9.317630770109415*^-6+0.*I	0.+0.0001317447613349773*I
4.043347061037544*^-6+0.*I	0.+0.0019397645382052283*I	0.000012367224118726682+0.*I	0.+0.004428177392348306*I	0.000021488060372009944+0.*I	0.+0.008462556825471423*I	0.00003019616227038965+0.*I	0.+0.016804140819400612*I	0.000048092985255557044+0.*I	0.+0.04125719237891156*I	0.00005545173653477377+0.*I	0.+0.21115270223819926*I	-0.4998833895659859+0.*I	0.-0.637495226289274*I	-0.49990225460001364+0.*I	0.+0.2113436296537504*I	0.00007364674420531608+0.*I	0.+0.04165295116818919*I	0.00004628697784280254+0.*I	0.+0.0174349001456836*I	0.00004118949519808252+0.*I	0.+0.009380264179037765*I	0.00003207115709366474+0.*I	0.+0.005717216588780842*I	0.000026007698036364655+0.*I	0.+0.003737612899279522*I	0.000022436861518685547+0.*I	0.+0.0025317048195773726*I	0.000012796052931526076+0.*I	0.+0.0017404080628631029*I	0.00001989813655849272+0.*I	0.+0.0011516735839497002*I	-1.4292815194995822*^-6+0.*I	0.+0.0007251901478383003*I	0.000016519542082980028+0.*I	0.+0.0003351447056986023*I	-9.472373907637444*^-6+0.*I
0.+0.0007596961825855203*I	7.469911021238997*^-6+0.*I	0.+0.002455412425595105*I	0.000015424602634639205+0.*I	0.+0.004792670495855668*I	0.000022404274720374207+0.*I	0.+0.008723665158122874*I	0.000037398061617253966+0.*I	0.+0.017007540771034897*I	0.00003862061571042282+0.*I	0.+0.04138893715238258*I	0.00007424173539143181+0.*I	0.+0.2112816393373147*I	-0.49990225460828713+0.*I	0.-0.637433235968026*I	-0.4998839845548367+0.*I	0.+0.2114167162507242*I	0.00006311809628547726+0.*I	0.+0.04168455174403564*I	0.00005188442664818076+0.*I	0.+0.01746073985268716*I	0.00003986304666485143+0.*I	0.+0.009387102921657356*I	0.000032071151131173994+0.*I	0.+0.005710377862691157*I	0.000027334161516380267+0.*I	0.+0.0037117731851799007*I	0.000016839415212214328+0.*I	0.+0.0025001042392364323*I	0.000023324699769532815+0.*I	0.+0.0016673214645371581*I	1.6280885462079418*^-6+0.*I	0.+0.0010896832585968463*I	0.00001743574963804497+0.*I	0.+0.0005962530499857288*I	-2.270468349759974*^-6+0.*I	0.+0.00020339993924464728*I
3.4265623613189474*^-6+0.*I	0.+0.0012753440656414464*I	0.000010527292140678154+0.*I	0.+0.002819905534043033*I	0.000016340834058435676+0.*I	0.+0.005053778831864778*I	0.000029606175968751585+0.*I	0.+0.008927065097822581*I	0.000027925701781469296+0.*I	0.+0.017139285543415286*I	0.00005741060768483731+0.*I	0.+0.041517874260044316*I	0.00005537669296279296+0.*I	0.+0.21134362965394682*I	-0.4998839845535782+0.*I	0.-0.6373601493752725*I	-0.49989451320310885+0.*I	0.+0.21144831683413925*I	0.00006871553816852681+0.*I	0.+0.04171039145409414*I	0.00005055796668443622+0.*I	0.+0.01746757859206322*I	0.000039863028772724865+0.*I	0.+0.00938026417742445*I	0.000033397626407486556+0.*I	0.+0.005684538141223404*I	0.000021736709654977858+0.*I	0.+0.0036801726039873144*I	0.00002736806101127329+0.*I	0.+0.0024270176538432465*I	5.054651794520276*^-6+0.*I	0.+0.001605331146063275*I	0.000020493134896849067+0.*I	0.+0.0009607461545028244*I	-1.3542370018966923*^-6+0.*I	0.+0.0004645082724066768*I	7.201898261421924*^-6+0.*I
0.+0.0005156478963361105*I	6.483938959712604*^-6+0.*I	0.+0.0016398371759637348*I	0.000011443516966497676+0.*I	0.+0.003081013860366126*I	0.00002354272401698754+0.*I	0.+0.005257178775507777*I	0.00002013381680694921+0.*I	0.+0.00905880987808784*I	0.000046715700081197626+0.*I	0.+0.017268222649537812*I	0.00003854558049632526+0.*I	0.+0.04157986457388454*I	0.00007364672518195243+0.*I	0.+0.21141671625532682*I	-0.4998945132013127+0.*I	0.-0.6373285488018229*I	-0.49988891575270195+0.*I	0.+0.21147415653587487*I	0.00006738908000359034+0.*I	0.+0.04171723019453907*I	0.000050557962254778446+0.*I	0.+0.017460739852088146*I	0.00004118950516315514+0.*I	0.+0.009354424478339889*I	0.00002780016848769641+0.*I	0.+0.005652937567369433*I	0.000032265366870100756+0.*I	0.+0.003607086011831122*I	9.098011603071143*^-6+0.*I	0.+0.0023650273333312016*I	0.000023919698280664837+0.*I	0.+0.0014763940433213454*I	1.703126431913723*^-6+0.*I	0.+0.0008290013777818919*I	8.118125775421085*^-6+0.*I	0.+0.00026110833461413796*I
3.057379033177662*^-6+0.*I	0.+0.0008801409930360137*I	7.40016030815239*^-6+0.*I	0.+0.001900945509932129*I	0.000018645424336010206+0.*I	0.+0.003284413819106407*I	0.000014070352227592774+0.*I	0.+0.005388923545951027*I	0.000038923806632431896+0.*I	0.+0.009187746982741041*I	0.000027850655839011177+0.*I	0.+0.017330212964350146*I	0.00005681563111227762+0.*I	0.+0.04165295117110687*I	0.0000631180859961189+0.*I	0.+0.2114483168264174*I	-0.4998889157598523+0.*I	0.-0.6373027090833545*I	-0.4998902422162228+0.*I	0.+0.21148099527005393*I	0.00006738908277400763+0.*I	0.+0.041710391461245666*I	0.000051884421901736996+0.*I	0.+0.017434900143855403*I	0.00003559205437733947+0.*I	0.+0.009322823891304224*I	0.000038328813274162834+0.*I	0.+0.005579850972059383*I	0.000013995314003056037+0.*I	0.+0.0035450956869796614*I	0.00002796305571591175+0.*I	0.+0.0022360902287444093*I	5.129698443729303*^-6+0.*I	0.+0.0013446492689481518*I	0.000011175494540117252+0.*I	0.+0.000625601440532189*I	9.162233818305054*^-7+0.*I
0.+0.00036449311584625665*I	3.97359375143395*^-6+0.*I	0.+0.0011412493194870518*I	0.00001460206489265557+0.*I	0.+0.0021043454575051038*I	9.173056678830915*^-6+0.*I	0.+0.003416158576363633*I	0.00003286035354559733+0.*I	0.+0.005517860655352806*I	0.000020058770928183907+0.*I	0.+0.009249737296745338*I	0.00004612071096664096+0.*I	0.+0.01740329957052108*I	0.0000462869717035705+0.*I	0.+0.04168455173515449*I	0.00006871553604219523+0.*I	0.+0.21147415654162982*I	-0.4998902422215492+0.*I	0.-0.6372958703475072*I	-0.49989024221767336+0.*I	0.+0.2114741565418059*I	0.00006871553023614268+0.*I	0.+0.04168455173463082*I	0.00004628698467311852+0.*I	0.+0.017403299571648746*I	0.000046120702943519134+0.*I	0.+0.009249737294145542*I	0.000020058775855113157+0.*I	0.+0.005517860663719294*I	0.0000328603573403971+0.*I	0.+0.003416158584625996*I	9.173056400804154*^-6+0.*I	0.+0.0021043454564906305*I	0.000014602068230554599+0.*I	0.+0.0011412493196880924*I	3.97359769292491*^-6+0.*I	0.+0.0003644931157245207*I
9.162302909984589*^-7+0.*I	0.+0.0006256014368578108*I	0.000011175503309173636+0.*I	0.+0.0013446492736965397*I	5.129692079831857*^-6+0.*I	0.+0.002236090233620116*I	0.00002796304913593486+0.*I	0.+0.0035450956900368296*I	0.000013995307864143538+0.*I	0.+0.00557985097685378*I	0.0000383288245438762+0.*I	0.+0.009322823898857885*I	0.000035592058985019865+0.*I	0.+0.01743490013443267*I	0.00005188441820815462+0.*I	0.+0.04171039145836743*I	0.00006738908025667606+0.*I	0.+0.2114809952739843*I	-0.49989024222666023+0.*I	0.-0.6373027090873605*I	-0.49988891575195044+0.*I	0.+0.21144831682688517*I	0.00006311808821902215+0.*I	0.+0.04165295117642674*I	0.00005681562223133245+0.*I	0.+0.01733021296310084*I	0.000027850656152004637+0.*I	0.+0.009187746981703476*I	0.00003892380746611269+0.*I	0.+0.005388923551348209*I	0.000014070357432511126+0.*I	0.+0.003284413812250204*I	0.000018645422543519165+0.*I	0.+0.0019009455071695121*I	7.400165701136281*^-6+0.*I	0.+0.0008801409984797645*I	3.0573695042335203*^-6+0.*I
0.+0.00026110832566393627*I	8.118128300886194*^-6+0.*I	0.+0.0008290013855532033*I	1.703134627822542*^-6+0.*I	0.+0.001476394045804165*I	0.000023919696059999965+0.*I	0.+0.002365027334331915*I	9.098005506580904*^-6+0.*I	0.+0.0036070859958596893*I	0.000032265359119703+0.*I	0.+0.0056529375757241665*I	0.00002780017587655095+0.*I	0.+0.009354424467791875*I	0.000041189509919203516+0.*I	0.+0.017460739846763752*I	0.00005055796148482821+0.*I	0.+0.041717230194981296*I	0.00006738907273087989+0.*I	0.+0.21147415655099386*I	-0.4998889157541604+0.*I	0.-0.637328548807107*I	-0.49989451319851275+0.*I	0.+0.21141671625903824*I	0.00007364674243881742+0.*I	0.+0.04157986456586965*I	0.000038545574076037756+0.*I	0.+0.017268222659876875*I	0.00004671569801153421+0.*I	0.+0.009058809871977554*I	0.00002013381580816992+0.*I	0.+0.005257178781756591*I	0.000023542725385278407+0.*I	0.+0.003081013863394079*I	0.000011443515318634348+0.*I	0.+0.0016398371722644023*I	6.4839356099744044*^-6+0.*I	0.+0.0005156478909858903*I
