0.-0.8487768656296163*I	-0.49995763129367055+0.*I	0.+0.16976376508516883*I	0.000016831113079581765+0.*I	0.+0.024249651612475984*I	0.000010694921810371893+0.*I	0.+0.008080475667517809*I	7.791888053137883*^-6+0.*I	0.+0.003669886320379283*I	6.063458628748449*^-6+0.*I	0.+0.001972764971019565*I	4.8973066663701855*^-6+0.*I	0.+0.0011800683547527197*I	4.043341129220603*^-6+0.*I	0.+0.0007596961791989862*I	3.4265636213186407*^-6+0.*I	0.+0.0005156478893411018*I	3.057377461261901*^-6+0.*I	0.+0.0003644931141055935*I	9.162262688514975*^-7+0.*I	0.+0.0002611083227813532*I	7.201897726214249*^-6+0.*I	0.+0.00020339994829430413*I	-9.472358182118354*^-6+0.*I	0.+0.0001317447760190646*I	0.000018789996349288663+0.*I	0.+0.00012893710829987165*I	-0.000018865046685166058+0.*I	0.+0.00006199031554241646*I	0.00001827004959156384+0.*I	0.+0.00007308659964978814*I	-0.000010528648978536309+0.*I	0.+0.00003160057173064862*I	5.597448382330475*^-6+0.*I	0.+0.00002583971040963362*I	-1.326456742284924*^-6+0.*I	0.+6.8387398714231384*^-6*I
7.2019050655115915*^-6+0.*I	0.+0.00046450827890713695*I	-1.3542385121373485*^-6+0.*I	0.+0.0009607461547792904*I	0.00002049312774146243+0.*I	0.+0.001605331149912691*I	5.054656706234473*^-6+0.*I	0.+0.0024270176480844056*I	0.00002736806053863262+0.*I	0.+0.00368017261108616*I	0.000021736714667470016+0.*I	0.+0.005684538137566783*I	0.00003339761714998712+0.*I	0.+0.009380264183748543*I	0.000039863045591109156+0.*I	0.+0.017467578592596032*I	0.000050557961573893356+0.*I	0.+0.04171039144860788*I	0.00006871553315816892+0.*I	0.+0.21144831683112658*I	-0.4998945131929203+0.*I	0.-0.63736014937581*I	-0.4998839845552286+0.*I	0.+0.21134362965680628*I	0.00005537668600885707+0.*I	0.+0.04151787425407588*I	0.000057410624463425266+0.*I	0.+0.017139285550950265*I	0.00002792569335054656+0.*I	0.+0.008927065103273632*I	0.00002960617851536565+0.*I	0.+0.005053778828564148*I	0.000016340825977114487+0.*I	0.+0.0028199055386032693*I	0.000010527305662076632+0.*I	0.+0.0012753440675434312*I	3.426558042418648*^-6+0.*I
0.+0.000203399948001462*I	-2.27045784714419*^-6+0.*I	0.+0.0005962530513234157*I	0.00001743575527557826+0.*I	0.+0.001089683266219707*I	1.6280904570621376*^-6+0.*I	0.+0.001667321463318161*I	0.000023324698896158075+0.*I	0.+0.0025001042429724993*I	0.00001683940241570399+0.*I	0.+0.003711773175381017*I	0.000027334159785337372+0.*I	0.+0.005710377853838745*I	0.000032071163369261666+0.*I	0.+0.009387102917208422*I	0.00003986304377022304+0.*I	0.+0.017460739856099514*I	0.000051884425294447154+0.*I	0.+0.041684551738480784*I	0.00006311809298977773+0.*I	0.+0.21141671625268743*I	-0.4998839845454635+0.*I	0.-0.6374332359698165*I	-0.49990225460756227+0.*I	0.+0.2112816393442396*I	0.00007424173339415912+0.*I	0.+0.04138893714892878*I	0.00003862062247638976+0.*I	0.+0.01700754076684901*I	0.000037398058855077736+0.*I	0.+0.008723665160015825*I	0.000022404282631978596+0.*I	0.+0.004792670502333327*I	0.000015424601447957627+0.*I	0.+0.0024554124334751626*I	7.469914974303298*^-6+0.*I	0.+0.0007596961804525182*I
-9.472378400314545*^-6+0.*I	0.+0.0003351447226950859*I	0.00001651953857115264+0.*I	0.+0.000725190152710765*I	-1.429287478829942*^-6+0.*I	0.+0.0011516735800236877*I	0.000019898141029991194+0.*I	0.+0.001740408060676741*I	0.000012796057564066074+0.*I	0.+0.0025317048195098494*I	0.000022436861234113952+0.*I	0.+0.0037376128897060683*I	0.000026007693983474267+0.*I	0.+0.0057172165925107165*I	0.000032071168077292595+0.*I	0.+0.009380264191384805*I	0.00004118950136470004+0.*I	0.+0.017434900131189333*I	0.000046286979349335085+0.*I	0.+0.0416529511700933*I	0.00007364674420735312+0.*I	0.+0.2113436296585959*I	-0.49990225459867144+0.*I	0.-0.6374952262859408*I	-0.4998833895710521+0.*I	0.+0.21115270223502403*I	0.00005545174058698939+0.*I	0.+0.0412571923761401*I	0.000048092985364746476+0.*I	0.+0.016804140821114394*I	0.00003019615960595834+0.*I	0.+0.008462556827089645*I	0.0000214880549957278+0.*I	0.+0.004428177390717283*I	0.00001236722607164281+0.*I	0.+0.001939764546219277*I	4.0433550756446834*^-6+0.*I
0.+0.00013174477224236342*I	9.31762874925887*^-6+0.*I	0.+0.00046408182388673475*I	-2.3455065967373994*^-6+0.*I	0.+0.000787180472819865*I	0.00001684075849936737+0.*I	0.+0.0012247601736755098*I	9.369490312400865*^-6+0.*I	0.+0.0017720086404786409*I	0.00001839350308077126+0.*I	0.+0.002557544530889147*I	0.0000211103965732197+0.*I	0.+0.0037444516298031777*I	0.000026007704464812124+0.*I	0.+0.005710377857648871*I	0.00003339761938954186+0.*I	0.+0.009354424460715917*I	0.000035592049621410985+0.*I	0.+0.01740329956642618*I	0.00005681562427498965+0.*I	0.+0.041579864573941167*I	0.00005537669280632414+0.*I	0.+0.21128163934005031*I	-0.4998833895653565+0.*I	0.-0.6376241633977339*I	-0.4999021795506354+0.*I	0.+0.2110209574605899*I	0.00006492410148499652+0.*I	0.+0.04105379243133468*I	0.00004089108460940805+0.*I	0.+0.016543032501455543*I	0.000029279941226224607+0.*I	0.+0.008098063716059513*I	0.000018430683004935396+0.*I	0.+0.003912529508611588*I	8.940660038595483*^-6+0.*I	0.+0.0011800683561486655*I
0.000018789987308068044+0.*I	0.+0.00026068188655651507*I	-9.547400560641871*^-6+0.*I	0.+0.0005260721417794829*I	0.000015924533075465953+0.*I	0.+0.0008602670659171125*I	6.312118424273463*^-6+0.*I	0.+0.0012563607458480805*I	0.00001496694037748806+0.*I	0.+0.0017978483522891973*I	0.000017067037992353923+0.*I	0.+0.0025643832699760037*I	0.00002111039665879198+0.*I	0.+0.003737612893622951*I	0.000027334165711735803+0.*I	0.+0.005684538143507467*I	0.000027800170031474447+0.*I	0.+0.009322823891669028*I	0.0000461207092569408+0.*I	0.+0.01733021296659887*I	0.00003854557655553191+0.*I	0.+0.041517874257419186*I	0.00007424173245587131+0.*I	0.+0.2111527022329759*I	-0.49990217955901595+0.*I	0.-0.6377559081665842*I	-0.49989270719291684+0.*I	0.+0.21081755751384446*I	0.00005772220320638012+0.*I	0.+0.04079268409539516*I	0.00003997485713488902+0.*I	0.+0.016178539384840936*I	0.000026222556837241417+0.*I	0.+0.0075824158311461835*I	0.000015004119719212226+0.*I	0.+0.003152833331694141*I	4.8973023317744335*^-6+0.*I
0.+0.0001289371021112526*I	-7.505081568120456*^-8+0.*I	0.+0.00032267220401268476*I	8.722637427320976*^-6+0.*I	0.+0.0005991587355362038*I	5.395889004214973*^-6+0.*I	0.+0.000891867642311292*I	0.000011909559970150799+0.*I	0.+0.0012822004676628501*I	0.000013640479584809651+0.*I	0.+0.0018046870941048204*I	0.000017067041554269585+0.*I	0.+0.002557544530010461*I	0.000022436860920429344+0.*I	0.+0.0037117731889275557*I	0.000021736710400168782+0.*I	0.+0.005652937558090564*I	0.000038328822691025225+0.*I	0.+0.009249737303956361*I	0.000027850651375372436+0.*I	0.+0.01726822264197713*I	0.000057410618223267475+0.*I	0.+0.04138893716436965*I	0.00005545173303207931+0.*I	0.+0.2110209574431589*I	-0.49989270719103035+0.*I	0.-0.6379593081089592*I	-0.4998999091052124+0.*I	0.+0.21055644917939037*I	0.000056805981096132716+0.*I	0.+0.04042819099259322*I	0.00003691748256720667+0.*I	0.+0.015662891500835198*I	0.00002279599836745847+0.*I	0.+0.006822719654751383*I	0.000010960765212637406+0.*I	0.+0.0019727649666652497*I
-0.000018865037161451227+0.*I	0.+0.00019092742528370847*I	0.00001819499973280817+0.*I	0.+0.0003957587904636587*I	-1.8060160569702533*^-6+0.*I	0.+0.0006307593040768*I	0.00001099335275917001+0.*I	0.+0.0009177073623757779*I	0.000010583096542303506+0.*I	0.+0.0012890391986652577*I	0.000013640470691350735+0.*I	0.+0.001797848356481068*I	0.000018393504323430976+0.*I	0.+0.002531704821530999*I	0.000016839410648043713+0.*I	0.+0.0036801726017362244*I	0.00003226536625271677+0.*I	0.+0.005579850971869782*I	0.00002005877720876291+0.*I	0.+0.00918774698670723*I	0.00004671569480644415+0.*I	0.+0.01713928553918078*I	0.000038620618321707535+0.*I	0.+0.04125719237473992*I	0.00006492410716524504+0.*I	0.+0.21081755751210046*I	-0.4998999090923211+0.*I	0.-0.6382204164392671*I	-0.4999008253212926+0.*I	0.+0.21019195607436106*I	0.00005374860027759857+0.*I	0.+0.03991254310958655*I	0.00003349092158077825+0.*I	0.+0.014903195321651816*I	0.00001875264551184748+0.*I	0.+0.005642651287118332*I	6.06345131504149*^-6+0.*I
0.+0.00006199032607553251*I	-5.94990017671531*^-7+0.*I	0.+0.00026401401662388274*I	7.66635432194025*^-6+0.*I	0.+0.00042735937109549677*I	3.7914339981245254*^-6+0.*I	0.+0.0006565990190945878*I	9.666877295923155*^-6+0.*I	0.+0.0009245461056905102*I	0.000010583104781764713+0.*I	0.+0.00128220045809406*I	0.00001496693789092577+0.*I	0.+0.0017720086514155173*I	0.00001279604956955805+0.*I	0.+0.0025001042344045057*I	0.00002736805665037427+0.*I	0.+0.003607086019097226*I	0.000013995315192664196+0.*I	0.+0.0055178606435128535*I	0.00003892381463522697+0.*I	0.+0.009058809882032934*I	0.000027925699207841705+0.*I	0.+0.01700754076065983*I	0.00004809298029939881+0.*I	0.+0.04105379243848041*I	0.00005772219694413083+0.*I	0.+0.21055644917102043*I	-0.49990082532782537+0.*I	0.-0.6385849095437155*I	-0.4999038826943092+0.*I	0.+0.20967630818174998*I	0.000050322034940706385+0.*I	0.+0.03915284694200325*I	0.000029447571071031397+0.*I	0.+0.013723126947167617*I	0.000013855339217562455+0.*I	0.+0.003669886338596662*I
0.000018270049516864943+0.*I	0.+0.00013507690780276125*I	-0.000011123641084567187+0.*I	0.+0.00029561458620757026*I	0.000013263804609196591+0.*I	0.+0.00045319908657875734*I	2.4649831746648796*^-6+0.*I	0.+0.0006634377676949834*I	9.666874441853894*^-6+0.*I	0.+0.0009177073587266377*I	0.000011909560757249938+0.*I	0.+0.0012563607516599938*I	9.369488320138225*^-6+0.*I	0.+0.0017404080624475909*I	0.000023324706757179116+0.*I	0.+0.002427017652676984*I	9.098008611646322*^-6+0.*I	0.+0.003545095688434582*I	0.000032860362008086424+0.*I	0.+0.005388923543419998*I	0.000020133808668257288+0.*I	0.+0.008927065107892913*I	0.00003739806765485487+0.*I	0.+0.016804140824105706*I	0.00004089109009088981+0.*I	0.+0.04079268410204246*I	0.00005680597860713128+0.*I	0.+0.21019195607151842*I	-0.4999038826950383+0.*I	0.-0.6391005574353351*I	-0.49990730925300875+0.*I	0.+0.20891661201121098*I	0.00004627868457955704+0.*I	0.+0.03797277857423114*I	0.000024550263539375334+0.*I	0.+0.011750361980258531*I	7.79188081434512*^-6+0.*I
0.+0.00007308660127516159*I	7.741401041438913*^-6+0.*I	0.+0.00016667749065434057*I	-5.526194290690506*^-6+0.*I	0.+0.00032145431616808356*I	0.000011937348103816639+0.*I	0.+0.0004600378221058382*I	2.4649818410375996*^-6+0.*I	0.+0.0006565990269857339*I	0.000010993351663067493+0.*I	0.+0.0008918676407860399*I	6.312111812077802*^-6+0.*I	0.+0.0012247601801833041*I	0.000019898138372666086+0.*I	0.+0.001667321464645946*I	5.0546511849244535*^-6+0.*I	0.+0.0023650273352757503*I	0.000027963047307726922+0.*I	0.+0.0034161585812709436*I	0.00001407035749078618+0.*I	0.+0.005257178775530481*I	0.00002960617623686057+0.*I	0.+0.008723665154814382*I	0.00003019616802834831+0.*I	0.+0.01654303249677036*I	0.000039974853683775296+0.*I	0.+0.040428190991345016*I	0.00005374859744063111+0.*I	0.+0.20967630818547345*I	-0.4999073092610561+0.*I	0.-0.6398602536130851*I	-0.49991135261137926+0.*I	0.+0.20773654364383326*I	0.00004138137578073637+0.*I	0.+0.03600001359393804*I	0.0000184868054362242+0.*I	0.+0.00808047566627107*I
-0.000010528647195660343+0.*I	0.+0.00010468716459445553*I	0.00001333884486985087+0.*I	0.+0.00019251720236649212*I	-6.852643482170744*^-6+0.*I	0.+0.00032829305080854813*I	0.00001193734095416237+0.*I	0.+0.00045319908165908666*I	3.7914403960356163*^-6+0.*I	0.+0.0006307593156944101*I	5.395885223937147*^-6+0.*I	0.+0.0008602670711269272*I	0.000016840766836326027+0.*I	0.+0.001151673574303796*I	1.6280919364157849*^-6+0.*I	0.+0.0016053311534786514*I	0.000023919699129850196+0.*I	0.+0.002236090230098419*I	9.173046475702713*^-6+0.*I	0.+0.003284413810659518*I	0.00002354272625166107+0.*I	0.+0.005053778829890266*I	0.000022404277389342857+0.*I	0.+0.008462556821531637*I	0.00002927995003071109+0.*I	0.+0.016178539386922687*I	0.000036917473007306655+0.*I	0.+0.03991254309688796*I	0.00005032204878762133+0.*I	0.+0.20891661201522865*I	-0.4999113526121148+0.*I	0.-0.6410403219810257*I	-0.49991624991375705+0.*I	0.+0.20576377867913193*I	0.00003531791003440936+0.*I	0.+0.03233012727108345*I	0.00001069493090966045+0.*I
0.+0.00003160058045840325*I	-4.931202750684185*^-6+0.*I	0.+0.0001305268910048868*I	0.000012012386717746773+0.*I	0.+0.0001993559419871671*I	-6.8526490395842655*^-6+0.*I	0.+0.00032145431017527315*I	0.000013263801905391021+0.*I	0.+0.0004273593740878878*I	-1.8060144999701428*^-6+0.*I	0.+0.0005991587410813584*I	0.000015924536875358652+0.*I	0.+0.0007871804679677186*I	-1.4292848631697647*^-6+0.*I	0.+0.0010896832643879084*I	0.000020493134270759067+0.*I	0.+0.001476394035082998*I	5.129698062588031*^-6+0.*I	0.+0.0021043454526540745*I	0.000018645419219452753+0.*I	0.+0.003081013867997251*I	0.000016340821370679116+0.*I	0.+0.004792670500321193*I	0.000021488066195983978+0.*I	0.+0.008098063720166478*I	0.00002622256306550745+0.*I	0.+0.015662891507612686*I	0.0000334909234928962+0.*I	0.+0.03915284692022335*I	0.00004627868761145399+0.*I	0.+0.20773654365233998*I	-0.4999162499269838+0.*I	0.-0.6430130869510619*I	-0.49992231337910936+0.*I	0.+0.20209389235827724*I	0.000027526039959119723+0.*I	0.+0.024249651611709916*I
5.597446596727895*^-6+0.*I	0.+0.00005744028718231424*I	-6.257664487380882*^-6+0.*I	0.+0.00013736562950640742*I	0.000012012386571298023+0.*I	0.+0.00019251720153975688*I	-5.526191271778419*^-6+0.*I	0.+0.0002956145987545118*I	7.666352796652925*^-6+0.*I	0.+0.00039575879361771274*I	8.722636410014167*^-6+0.*I	0.+0.0005260721449147758*I	-2.3455102612576773*^-6+0.*I	0.+0.000725190150149318*I	0.0000174357560468498+0.*I	0.+0.0009607461533761089*I	1.7031427324218362*^-6+0.*I	0.+0.0013446492732936512*I	0.0000146020535559295+0.*I	0.+0.0019009455167637477*I	0.000011443511768804288+0.*I	0.+0.00281990553258386*I	0.000015424610981515374+0.*I	0.+0.004428177384838019*I	0.000018430676872627227+0.*I	0.+0.007582415828588148*I	0.000022796000931416677+0.*I	0.+0.014903195313627726*I	0.000029447566957961635+0.*I	0.+0.037972778570923654*I	0.000041381375892973055+0.*I	0.+0.20576377868110762*I	-0.49992231338172205+0.*I	0.-0.6466829732703594*I	-0.49993010526937465+0.*I	0.+0.19401341669053862*I	0.000016831110408066507+0.*I
0.+0.00002583970681734049*I	4.270981486602341*^-6+0.*I	0.+0.00006427903696706871*I	-6.25765844030069*^-6+0.*I	0.+0.00013052687831965892*I	0.000013338847698246904+0.*I	0.+0.00016667748306706254*I	-0.000011123644515227567+0.*I	0.+0.0002640140263138191*I	0.00001819499752325637+0.*I	0.+0.00032267220981273964*I	-9.547413128444196*^-6+0.*I	0.+0.00046408180497990725*I	0.000016519535815554844+0.*I	0.+0.0005962530533447918*I	-1.3542294628341513*^-6+0.*I	0.+0.0008290013823035874*I	0.000011175488088495958+0.*I	0.+0.0011412493279000999*I	7.400162660559545*^-6+0.*I	0.+0.001639837168475211*I	0.000010527295097109335+0.*I	0.+0.0024554124336825522*I	0.000012367226983470457+0.*I	0.+0.003912529493944952*I	0.000015004125136006314+0.*I	0.+0.00682271966822761*I	0.000018752640076257214+0.*I	0.+0.013723126951643454*I	0.000024550271103966886+0.*I	0.+0.03600001360958305*I	0.0000353179173911576+0.*I	0.+0.20209389235085168*I	-0.4999301052622135+0.*I	0.-0.6547634489300935*I	-0.4999408001790943+0.*I	0.+0.16976376507698918*I
-1.3264600722193154*^-6+0.*I	0.+0.0000326784624603469*I	4.270989539569003*^-6+0.*I	0.+0.0000574402936290224*I	-4.931199181767987*^-6+0.*I	0.+0.00010468716700301273*I	7.741401629804412*^-6+0.*I	0.+0.0001350769223356907*I	-5.950041205363132*^-7+0.*I	0.+0.00019092742515456625*I	-7.503231526373444*^-8+0.*I	0.+0.00026068187111176185*I	9.317624153230841*^-6+0.*I	0.+0.0003351447197474576*I	-2.2704606782511516*^-6+0.*I	0.+0.00046450827144232216*I	8.118118464642277*^-6+0.*I	0.+0.0006256014369143304*I	3.973599645691606*^-6+0.*I	0.+0.0008801409968751227*I	6.483933837474198*^-6+0.*I	0.+0.001275344070565662*I	7.469924119367366*^-6+0.*I	0.+0.0019397645381269112*I	8.94065979157449*^-6+0.*I	0.+0.0031528333292943447*I	0.000010960775582657956+0.*I	0.+0.005642651291875119*I	0.000013855340656426796+0.*I	0.+0.01175036199235801*I	0.0000184868062149679+0.*I	0.+0.0323301272733233*I	0.00002752602823571232+0.*I	0.+0.1940134166931815*I	-0.4999408001798775+0.*I	0.-0.6790131005470877*I	-0.49995763130421855+0.*I
0.+6.838730341782173*^-6*I	-1.326464890259465*^-6+0.*I	0.+0.000025839722045437052*I	5.597447503184212*^-6+0.*I	0.+0.00003160057056161847*I	-0.000010528650052613116+0.*I	0.+0.00007308659309959026*I	0.000018270051959103042+0.*I	0.+0.0000619903249548942*I	-0.00001886503929615899+0.*I	0.+0.00012893711214238823*I	0.000018789996736423553+0.*I	0.+0.00013174476225844*I	-9.472361692261895*^-6+0.*I	0.+0.0002033999449499238*I	7.201906050917345*^-6+0.*I	0.+0.00026110833169860903*I	9.162114037275003*^-7+0.*I	0.+0.000364493108382255*I	3.057378265579844*^-6+0.*I	0.+0.0005156478846256862*I	3.4265610692315183*^-6+0.*I	0.+0.0007596961834947721*I	4.043356345378893*^-6+0.*I	0.+0.0011800683529650663*I	4.897314827012635*^-6+0.*I	0.+0.001972764969562231*I	6.063451541400881*^-6+0.*I	0.+0.0036698863261844655*I	7.791885870741828*^-6+0.*I	0.+0.008080475667629212*I	0.000010694927182700777+0.*I	0.+0.02424965161292761*I	0.000016831110957290938+0.*I	0.+0.16976376508508983*I	-0.4999576312951823+0.*I	0.-0.8487768656330632*I
