0.4468311496928951-0.17525683284152846*I	0.16412621670183355-0.2478314445759046*I	0.03499780380304842-0.1752364079770376*I
0.1641262167018336-0.24783144457590467*I	0.48182895349594357-0.3504932408185661*I	0.16412621670183364-0.24783144457590472*I
0.034997803803048386-0.1752364079770376*I	0.16412621670183353-0.24783144457590472*I	0.44683114969289517-0.17525683284152863*I
