0.-0.8488535271181136*I	0.5003187316493314+0.*I	0.+0.17056397721689726*I	-0.0014829576595133185+0.*I	0.+0.021977705404915185*I	0.0030203490909436253+0.*I	0.+0.01166150952721405*I	-0.003810657476664307+0.*I	0.+0.00005504636075555347*I	0.0030296004443491824+0.*I	0.+0.004218468921915089*I	-0.001484493851206581+0.*I	0.+0.00033051062652685037*I	0.00036326780822146866+0.*I	0.+0.0008399723278252336*I	-0.00001870932109602197+0.*I	0.+0.0004735030879862018*I	3.7706770996636293*^-6+0.*I	0.+0.0003216936338225479*I	-0.0000155761896377534+0.*I	0.+0.0001843094242549581*I	4.250404606765276*^-6+0.*I	0.+0.00010997102263138325*I	-1.7998787193187553*^-6+0.*I	0.+0.00003346527661714227*I
0.5003187316506357+0.*I	0.-0.6782895499143066*I	0.49883577397653295+0.*I	0.+0.1925416826256079*I	0.0015373914428774215+0.*I	0.+0.03363921493200741*I	-0.0007903083862381441+0.*I	0.+0.011716555890054863*I	-0.0007810570337985642+0.*I	0.+0.004273515283362676*I	0.0015451065910737781+0.*I	0.+0.00454897955078288*I	-0.0011212260436195632+0.*I	0.+0.0011704829516820691*I	0.0003445584750083833+0.*I	0.+0.0013134754177924588*I	-0.000014938638288646567+0.*I	0.+0.0007951967175231666*I	-0.000011805514550411344+0.*I	0.+0.0005060030534334725*I	-0.000011325776128186761+0.*I	0.+0.0002942804453751164*I	2.4505184330285526*^-6+0.*I	0.+0.00014343629622204482*I	-1.7998727655618383*^-6+0.*I
0.+0.17056397722078226*I	0.4988357739869427+0.*I	0.-0.6563118445013557*I	0.5018561230730472+0.*I	0.+0.20420319214980948*I	-0.0022732660413544922+0.*I	0.+0.03369426129943204*I	0.002239292062526188+0.*I	0.+0.01593502480573633*I	-0.0022655508839784433+0.*I	0.+0.004604025910560597*I	0.0019083743989944024+0.*I	0.+0.005388951874175887*I	-0.001139935369776179+0.*I	0.+0.001643986037471859*I	0.00034832916212051886+0.*I	0.+0.0016351690541211578*I	-0.00003051483104177731+0.*I	0.+0.0009795061437828656*I	-7.555102819881679*^-6+0.*I	0.+0.0006159740814368486*I	-0.000013125663161933696+0.*I	0.+0.0003277457229908243*I	2.450525870967611*^-6+0.*I	0.+0.00010997102462349806*I
-0.0014829576582560632+0.*I	0.+0.19254168262184249*I	0.5018561230804728+0.*I	0.-0.6446503349792305*I	0.49804546560259877+0.*I	0.+0.20425823851755484*I	0.0007563343990839988+0.*I	0.+0.03791273021697582*I	0.0007547982145646174+0.*I	0.+0.016265535433902932*I	-0.0019022830753531365+0.*I	0.+0.005443998242368355*I	0.0018896650709648156+0.*I	0.+0.005862454966241064*I	-0.00113616469783088+0.*I	0.+0.0019656796705881676*I	0.00033275297465018534+0.*I	0.+0.001819478467543927*I	-0.000026264427070758824+0.*I	0.+0.0010894771732551517*I	-9.354978214352185*^-6+0.*I	0.+0.00064943935835604*I	-0.000013125668402352425+0.*I	0.+0.0002942804445543876*I	4.250395763870384*^-6+0.*I
0.+0.021977705407239922*I	0.0015373914262194982+0.*I	0.+0.20420319214830424*I	0.4980454655954168+0.*I	0.-0.6445952886081252*I	0.5010750660470175+0.*I	0.+0.2084767074376197*I	-0.0007281594424655159+0.*I	0.+0.03824324084366486*I	0.0011180660118965105+0.*I	0.+0.017105507762489515*I	-0.0019209924056166805+0.*I	0.+0.005917501323255567*I	0.001893435758726046+0.*I	0.+0.006184148596882141*I	-0.0011517408819177487+0.*I	0.+0.0021499890983359693*I	0.0003370033810163776+0.*I	0.+0.0019294495014362117*I	-0.000028064302474179307+0.*I	0.+0.0011229424543487132*I	-9.354982315479425*^-6+0.*I	0.+0.0006159740804426578*I	-0.000011325777839467183+0.*I	0.+0.000184309433990143*I
0.0030203490944456044+0.*I	0.+0.03363921493693582*I	-0.002273266044350308+0.*I	0.+0.2042582385183058*I	0.5010750660477069+0.*I	0.-0.6403768196855396*I	0.4995905721895285+0.*I	0.+0.20880721805514876*I	-0.00036489163939314065+0.*I	0.+0.03908321317506563*I	0.001099356693468116+0.*I	0.+0.017579010853441258*I	-0.00191722172949129+0.*I	0.+0.006239194963659917*I	0.0018778595581809224+0.*I	0.+0.006368458016707876*I	-0.0011474904711603299+0.*I	0.+0.0022599601249167723*I	0.0003352035011966592+0.*I	0.+0.001962914776515157*I	-0.000028064305105402332+0.*I	0.+0.0010894771678794186*I	-7.555108797288837*^-6+0.*I	0.+0.0005060030605400426*I	-0.000015576189380284036+0.*I
0.+0.011661509525740632*I	-0.0007903083850591739+0.*I	0.+0.033694261295016015*I	0.0007563343958014487+0.*I	0.+0.20847670743992253*I	0.49959057219366837+0.*I	0.-0.6400463090624967*I	0.49995384000141607+0.*I	0.+0.2096471903943925*I	-0.00038360097301590266+0.*I	0.+0.039556716258740146*I	0.0011031273752503288+0.*I	0.+0.017900704478025962*I	-0.001932797907119061+0.*I	0.+0.006423504389963877*I	0.001882109971630757+0.*I	0.+0.006478429036318012*I	-0.0011492903584059634+0.*I	0.+0.0022934254068027737*I	0.00033520350467193907+0.*I	0.+0.0019294494967703468*I	-0.00002626442998289764+0.*I	0.+0.0009795061476353534*I	-0.000011805506117887109+0.*I	0.+0.00032169363387729577*I
-0.0038106574757180048+0.*I	0.+0.011716555890786693*I	0.0022392920592972567+0.*I	0.+0.037912730220045224*I	-0.0007281594522915672+0.*I	0.+0.208807218058253*I	0.49995383999975807+0.*I	0.-0.6392063367271077*I	0.4999351306692681+0.*I	0.+0.21012069347170784*I	-0.00037983028705775924+0.*I	0.+0.03987840989006514*I	0.0010875511757161853+0.*I	0.+0.018085013903806825*I	-0.0019285475017726287+0.*I	0.+0.006533475404480396*I	0.001880310090167538+0.*I	0.+0.006511894323429444*I	-0.0011492903449100964+0.*I	0.+0.002259960122823448*I	0.00033700337581221755+0.*I	0.+0.0018194784727351234*I	-0.00003051483197873072+0.*I	0.+0.0007951967224123786*I	3.770674714916824*^-6+0.*I
0.+0.0000550463641452309*I	-0.0007810570265067443+0.*I	0.+0.015935024806217224*I	0.000754798203842414+0.*I	0.+0.038243240847706084*I	-0.0003648916425052038+0.*I	0.+0.20964719038419738*I	0.4999351306760818+0.*I	0.-0.6387328336473578*I	0.499938901354181+0.*I	0.+0.21044238710813717*I	-0.00039540647180488325+0.*I	0.+0.04006271932165101*I	0.0010918015827627787+0.*I	0.+0.018194984925283507*I	-0.0019303473788789035+0.*I	0.+0.006566940687819517*I	0.001880310091811858+0.*I	0.+0.006478429039462746*I	-0.001147490478321963+0.*I	0.+0.0021499891035399593*I	0.0003327529729128348+0.*I	0.+0.0016351690433849125*I	-0.000014938646933111992+0.*I	0.+0.0004735030883924324*I
0.003029600436659864+0.*I	0.+0.0042735152846365455*I	-0.002265550882911937+0.*I	0.+0.016265535428609725*I	0.0011180660092571428+0.*I	0.+0.03908321317283152*I	-0.0003836009622631436+0.*I	0.+0.21012069347087925*I	0.4999389013493962+0.*I	0.-0.6384111400116014*I	0.4999233251693331+0.*I	0.+0.21062669652340837*I	-0.0003911560824016928+0.*I	0.+0.04017269034089119*I	0.0010900017118827745+0.*I	0.+0.01822845021154479*I	-0.0019303473873093738+0.*I	0.+0.006533475402128252*I	0.001882109974903924+0.*I	0.+0.006368458020788711*I	-0.0011517408786277739+0.*I	0.+0.0019656796769631397*I	0.00034832916383121544+0.*I	0.+0.001313475412700558*I	-0.000018709325977241348+0.*I
0.+0.004218468920163726*I	0.0015451065939161893+0.*I	0.+0.004604025908811579*I	-0.0019022830748183714+0.*I	0.+0.017105507756959015*I	0.0010993566877161329+0.*I	0.+0.039556716260588626*I	-0.00037983028346874907+0.*I	0.+0.21044238710398117*I	0.49992332516662175+0.*I	0.-0.6382268305893972*I	0.49992757557230555+0.*I	0.+0.21073666756219872*I	-0.00039295594890566786+0.*I	0.+0.0402061556179107*I	0.0010900017076295883+0.*I	0.+0.01819498493206969*I	-0.0019285475015200682+0.*I	0.+0.00642350438201135*I	0.0018778595626795737+0.*I	0.+0.006184148593961908*I	-0.0011361646868841865+0.*I	0.+0.0016439860443595439*I	0.00034455847925431735+0.*I	0.+0.0008399723227264094*I
-0.0014844938550304862+0.*I	0.+0.004548979548211634*I	0.0019083743974984177+0.*I	0.+0.005443998233777473*I	-0.0019209924000490315+0.*I	0.+0.01757901084743347*I	0.001103127370193389+0.*I	0.+0.039878409885660764*I	-0.0003954064805210693+0.*I	0.+0.21062669653830324*I	0.4999275755750895+0.*I	0.-0.638116859565848*I	0.49992577569335717+0.*I	0.+0.2107701328358818*I	-0.0003929559498649763+0.*I	0.+0.04017269034093054*I	0.001091801590745362+0.*I	0.+0.01808501390496366*I	-0.0019327979106898991+0.*I	0.+0.006239194958833086*I	0.0018934357524104585+0.*I	0.+0.005862454964296156*I	-0.0011399353684819447+0.*I	0.+0.0011704829536597348*I	0.0003632678107194664+0.*I
0.+0.00033051062239924933*I	-0.0011212260486092322+0.*I	0.+0.005388951869439176*I	0.001889665075284619+0.*I	0.+0.005917501329765942*I	-0.0019172217248674696+0.*I	0.+0.01790070447462211*I	0.001087551183583542+0.*I	0.+0.04006271932676049*I	-0.0003911560729860723+0.*I	0.+0.21073666754832876*I	0.49992577569584623+0.*I	0.-0.638083394281565*I	0.49992577570005786+0.*I	0.+0.21073666755279155*I	-0.0003911560707039644+0.*I	0.+0.0400627193224192*I	0.0010875511849282964+0.*I	0.+0.017900704479131176*I	-0.0019172217212116425+0.*I	0.+0.005917501327246458*I	0.0018896650740593184+0.*I	0.+0.005388951870161862*I	-0.0011212260519607717+0.*I	0.+0.0003305106290372589*I
0.0003632678019337845+0.*I	0.+0.0011704829558492997*I	-0.0011399353625890733+0.*I	0.+0.005862454959494643*I	0.001893435750922917+0.*I	0.+0.0062391949536312425*I	-0.001932797911182887+0.*I	0.+0.018085013916665907*I	0.001091801583474134+0.*I	0.+0.040172690333171904*I	-0.00039295595084921464+0.*I	0.+0.21077013284675608*I	0.49992577569819296+0.*I	0.-0.638116859571481*I	0.49992757557712525+0.*I	0.+0.21062669653634838*I	-0.0003954064781942992+0.*I	0.+0.03987840989372973*I	0.0011031273726041341+0.*I	0.+0.01757901085367429*I	-0.0019209924030643075+0.*I	0.+0.005443998233016743*I	0.001908374398065835+0.*I	0.+0.004548979546700017*I	-0.0014844938559143421+0.*I
0.+0.0008399723205151227*I	0.00034455848392409575+0.*I	0.+0.0016439860523596028*I	-0.001136164692759943+0.*I	0.+0.006184148587456917*I	0.0018778595696289408+0.*I	0.+0.006423504386038434*I	-0.0019285475103718469+0.*I	0.+0.018194984931240256*I	0.0010900017165105147+0.*I	0.+0.04020615562640159*I	-0.0003929559463197068+0.*I	0.+0.21073666754920573*I	0.4999275755717013+0.*I	0.-0.6382268305864572*I	0.49992332517105725+0.*I	0.+0.21044238709781005*I	-0.00037983027770056453+0.*I	0.+0.03955671626460806*I	0.0010993566883473324+0.*I	0.+0.01710550776383938*I	-0.001902283078942888+0.*I	0.+0.004604025912369858*I	0.0015451065932304627+0.*I	0.+0.0042184689091498*I
-0.000018709329680256693+0.*I	0.+0.0013134754106225728*I	0.0003483291613987816+0.*I	0.+0.0019656796743358716*I	-0.0011517408789942017+0.*I	0.+0.006368458021340358*I	0.0018821099696752393+0.*I	0.+0.006533475405825562*I	-0.0019303473862453346+0.*I	0.+0.018228450212411658*I	0.0010900017098665264+0.*I	0.+0.04017269034403607*I	-0.0003911560719435368+0.*I	0.+0.21062669653038002*I	0.4999233251645377+0.*I	0.-0.6384111400150877*I	0.4999389013554495+0.*I	0.+0.21012069348157036*I	-0.00038360096482879455+0.*I	0.+0.0390832131711402*I	0.0011180660171851815+0.*I	0.+0.016265535434278184*I	-0.0022655508893345932+0.*I	0.+0.004273515286560758*I	0.003029600446738948+0.*I
0.+0.0004735030980615035*I	-0.000014938644667980914+0.*I	0.+0.0016351690395155632*I	0.00033275297424526754+0.*I	0.+0.002149989104610145*I	-0.0011474904726867883+0.*I	0.+0.00647842903769856*I	0.001880310092367385+0.*I	0.+0.00656694069029283*I	-0.0019303473778660817+0.*I	0.+0.018194984928201048*I	0.0010918015940568667+0.*I	0.+0.04006271932474281*I	-0.0003954064812182331+0.*I	0.+0.21044238710324195*I	0.49993890135744345+0.*I	0.-0.6387328336411053*I	0.4999351306802514+0.*I	0.+0.20964719037674004*I	-0.0003648916465592505+0.*I	0.+0.03824324085582327*I	0.0007547982057380895+0.*I	0.+0.015935024796670562*I	-0.0007810570230326232+0.*I	0.+0.00005504636362027582*I
3.7706788152686637*^-6+0.*I	0.+0.0007951967184117141*I	-0.00003051483208819215+0.*I	0.+0.0018194784712825204*I	0.0003370033784953398+0.*I	0.+0.0022599601253489006*I	-0.0011492903453849072+0.*I	0.+0.006511894325004587*I	0.0018803100813924065+0.*I	0.+0.006533475403420034*I	-0.0019285475062794273+0.*I	0.+0.018085013906030366*I	0.0010875511800230511+0.*I	0.+0.039878409887174796*I	-0.00037983028404132974+0.*I	0.+0.2101206934768133*I	0.4999351306777242+0.*I	0.-0.639206336737764*I	0.49995384000075865+0.*I	0.+0.20880721806415983*I	-0.0007281594508566907+0.*I	0.+0.03791273021402289*I	0.002239292065774894+0.*I	0.+0.011716555890587562*I	-0.0038106574755109256+0.*I
0.+0.0003216936239165691*I	-0.00001180550317775278+0.*I	0.+0.000979506148013426*I	-0.00002626442718535198+0.*I	0.+0.0019294494880138097*I	0.00033520349798499917+0.*I	0.+0.0022934254136440374*I	-0.001149290348001673+0.*I	0.+0.006478429025354476*I	0.001882109969783065+0.*I	0.+0.0064235043920641*I	-0.0019327979075773518+0.*I	0.+0.017900704478210246*I	0.0011031273694467002+0.*I	0.+0.039556716266755346*I	-0.0003836009708924236+0.*I	0.+0.2096471903887812*I	0.49995383999818704+0.*I	0.-0.6400463090529089*I	0.49959057219228376+0.*I	0.+0.20847670741815028*I	0.000756334395998222+0.*I	0.+0.033694261308094886*I	-0.0007903083881620152+0.*I	0.+0.011661509514988108*I
-0.000015576184473909467+0.*I	0.+0.0005060030587318266*I	-7.555099065788709*^-6+0.*I	0.+0.0010894771648670858*I	-0.000028064305111396005+0.*I	0.+0.0019629147816084863*I	0.0003352035016849345+0.*I	0.+0.0022599601274287096*I	-0.001147490477866584+0.*I	0.+0.0063684580232692784*I	0.0018778595633522261+0.*I	0.+0.006239194952333634*I	-0.0019172217211803535+0.*I	0.+0.017579010849460057*I	0.0010993566935018852+0.*I	0.+0.039083213168511474*I	-0.00036489164558590743+0.*I	0.+0.20880721806068098*I	0.49959057219834213+0.*I	0.-0.6403768196886211*I	0.5010750660473108+0.*I	0.+0.20425823851217886*I	-0.002273266045100466+0.*I	0.+0.03363921493532343*I	0.003020349090408737+0.*I
0.+0.00018430943014302592*I	-0.000011325776474463905+0.*I	0.+0.0006159740736549346*I	-9.35497930950245*^-6+0.*I	0.+0.0011229424524333426*I	-0.0000280643070737355+0.*I	0.+0.0019294494877274831*I	0.00033700337626952606+0.*I	0.+0.002149989104164654*I	-0.001151740878063853+0.*I	0.+0.00618414859193106*I	0.00189343575128315+0.*I	0.+0.005917501332550326*I	-0.0019209924018300402+0.*I	0.+0.01710550775703322*I	0.0011180660096339193+0.*I	0.+0.038243240854395566*I	-0.000728159447915852+0.*I	0.+0.20847670742767993*I	0.5010750660459534+0.*I	0.-0.644595288602188*I	0.49804546560317225+0.*I	0.+0.2042031921451574*I	0.0015373914231500566+0.*I	0.+0.02197770541480161*I
4.250399518935565*^-6+0.*I	0.+0.0002942804506032621*I	-0.000013125650116430481+0.*I	0.+0.0006494393601218387*I	-9.35498498973923*^-6+0.*I	0.+0.0010894771710665942*I	-0.000026264429855797063+0.*I	0.+0.0018194784713383748*I	0.0003327529719118722+0.*I	0.+0.0019656796775757096*I	-0.0011361646870477855+0.*I	0.+0.005862454958508575*I	0.0018896650776876502+0.*I	0.+0.005443998233401279*I	-0.0019022830764729105+0.*I	0.+0.016265535433235667*I	0.0007547982062601631+0.*I	0.+0.03791273022114288*I	0.0007563344083344661+0.*I	0.+0.20425823852064923*I	0.49804546560110774+0.*I	0.-0.6446503349728824*I	0.5018561230770714+0.*I	0.+0.19254168263122784*I	-0.0014829576515608626+0.*I
0.+0.00010997102501779377*I	2.450524236687855*^-6+0.*I	0.+0.0003277457372032333*I	-0.000013125660576211899+0.*I	0.+0.0006159740745637493*I	-7.555102882201861*^-6+0.*I	0.+0.000979506149497003*I	-0.0000305148375424834+0.*I	0.+0.0016351690388864831*I	0.0003483291673403492+0.*I	0.+0.0016439860517190735*I	-0.001139935370180866+0.*I	0.+0.005388951863056074*I	0.0019083743958616195+0.*I	0.+0.004604025918340554*I	-0.0022655508847452856+0.*I	0.+0.01593502480595603*I	0.002239292061602841+0.*I	0.+0.03369426130650842*I	-0.0022732660431018926+0.*I	0.+0.2042031921516006*I	0.5018561230793597+0.*I	0.-0.6563118444970492*I	0.49883577398394935+0.*I	0.+0.1705639772158578*I
-1.7998836016183455*^-6+0.*I	0.+0.00014343630622349512*I	2.450533370359637*^-6+0.*I	0.+0.0002942804469336461*I	-0.000011325789492539394+0.*I	0.+0.0005060030533058816*I	-0.00001180550119134928+0.*I	0.+0.0007951967167806663*I	-0.000014938648318500815+0.*I	0.+0.0013134754132705629*I	0.00034455847844430665+0.*I	0.+0.0011704829560213272*I	-0.0011212260509958552+0.*I	0.+0.004548979542872071*I	0.001545106599549048+0.*I	0.+0.004273515282307338*I	-0.0007810570298484739+0.*I	0.+0.011716555889918868*I	-0.0007903083819662002+0.*I	0.+0.033639214940086676*I	0.0015373914354926885+0.*I	0.+0.19254168263014707*I	0.4988357739879553+0.*I	0.-0.6782895499055225*I	0.5003187316413336+0.*I
0.+0.0000334652956105741*I	-1.7998799291005774*^-6+0.*I	0.+0.00010997101483048444*I	4.2504009195188005*^-6+0.*I	0.+0.00018430943401902267*I	-0.00001557618754138942+0.*I	0.+0.00032169362717321404*I	3.7706786911113332*^-6+0.*I	0.+0.00047350309283358816*I	-0.000018709322285262693+0.*I	0.+0.0008399723218329297*I	0.0003632678055909272+0.*I	0.+0.0003305106290945742*I	-0.0014844938527595376+0.*I	0.+0.0042184689118147795*I	0.0030296004437779024+0.*I	0.+0.00005504637372237553*I	-0.0038106574731842546+0.*I	0.+0.011661509522977342*I	0.003020349092635241+0.*I	0.+0.02197770541645072*I	-0.0014829576598135432+0.*I	0.+0.17056397721021616*I	0.5003187316465223+0.*I	0.-0.848853527119438*I
