0.-0.8488014778303126*I	-0.4999699415842811+0.*I	0.+0.16977953018739564*I	0.000035146687831454586+0.*I	0.+0.02421852272432052*I	-6.769418310839244*^-6+0.*I	0.+0.008078794448089286*I	0.00001862840119111536+0.*I	0.+0.0036401495016397446*I	4.123831434209974*^-7+0.*I	0.+0.0019474911968003583*I	5.80827839104471*^-6+0.*I	0.+0.001143550100481662*I	3.1421203163208217*^-6+0.*I	0.+0.0007146439426318336*I	2.523165012186047*^-6+0.*I	0.+0.00045923828710085876*I	1.8985631862326088*^-6+0.*I	0.+0.00029309442334496817*I	1.3077722605237918*^-6+0.*I	0.+0.00017488770832914532*I	7.66065895267486*^-7+0.*I	0.+0.00008194950190165385*I	2.524926057945583*^-7+0.*I
-0.4999699415842873+0.*I	0.-0.6790219476429248*I	-0.4999347948964505+0.*I	0.+0.19399805291173486*I	0.000028377269531049253+0.*I	0.+0.0322973171723916*I	0.00001185898287386994+0.*I	0.+0.011718943949709227*I	0.000019040784344071046+0.*I	0.+0.005587640698473269*I	6.220661536599223*^-6+0.*I	0.+0.0030910412972727395*I	8.950398705341518*^-6+0.*I	0.+0.0018581940431286967*I	5.665285301462156*^-6+0.*I	0.+0.00117388222970645*I	4.421728231066836*^-6+0.*I	0.+0.00075233271045837*I	3.2063354228837104*^-6+0.*I	0.+0.00046798213165235143*I	2.073838161126022*^-6+0.*I	0.+0.00025683721024972534*I	1.0185585067004934*^-6+0.*I	0.+0.0000819495018865489*I
0.+0.16977953018736636*I	-0.499934794896466+0.*I	0.-0.6548034249185731*I	-0.49994156431475134+0.*I	0.+0.2020768473597879*I	0.00004700567070776335+0.*I	0.+0.03593746667406032*I	0.000012271366032046068+0.*I	0.+0.013666435146509726*I	0.000024849062729863247+0.*I	0.+0.006731190798952606*I	9.362781842757971*^-6+0.*I	0.+0.0038056852399052095*I	0.000011473563720916847+0.*I	0.+0.002317432330233791*I	7.5638485147465654*^-6+0.*I	0.+0.001466976653072809*I	5.72950045673199*^-6+0.*I	0.+0.0009272204187639788*I	3.972401347706651*^-6+0.*I	0.+0.0005499316335992251*I	2.326330745621447*^-6+0.*I	0.+0.00025683721022662413*I	7.660658998669698*^-7+0.*I
0.00003514668784184146+0.*I	0.+0.19399805291170336*I	-0.4999415643147529+0.*I	0.-0.6467246304704742*I	-0.4999229359135541+0.*I	0.+0.2057169968614205*I	0.00004741805385649042+0.*I	0.+0.03788495787082659*I	0.000018079644421779083+0.*I	0.+0.014809985247032443*I	0.00002799118302285188+0.*I	0.+0.007445834741590933*I	0.000011885946850487608+0.*I	0.+0.004264923527005361*I	0.000013372126923266234+0.*I	0.+0.0026105267535718813*I	8.871620779289598*^-6+0.*I	0.+0.0016418643613997984*I	6.495566363376868*^-6+0.*I	0.+0.001009169920681158*I	4.224893936771855*^-6+0.*I	0.+0.0005499316335690693*I	2.07383815960619*^-6+0.*I	0.+0.00017488770831370782*I
0.+0.02421852272430254*I	0.000028377269536096926+0.*I	0.+0.20207684735981402*I	-0.4999229359135581+0.*I	0.-0.6430844809688653*I	-0.4999225235304179+0.*I	0.+0.207664488058232*I	0.00005322633224207498+0.*I	0.+0.03902850797133152*I	0.000021221764743711356+0.*I	0.+0.015524629189656315*I	0.000030514348032985392+0.*I	0.+0.007905073028662151*I	0.000013784510078980615+0.*I	0.+0.004558017950372437*I	0.000014679899150134122+0.*I	0.+0.0027854144618783116*I	9.637686670161584*^-6+0.*I	0.+0.001723813863322445*I	6.748058931019485*^-6+0.*I	0.+0.0010091699206828037*I	3.972401363841206*^-6+0.*I	0.+0.00046798213166768737*I	1.3077722396567353*^-6+0.*I
-6.769418314179617*^-6+0.*I	0.+0.03229731717240662*I	0.000047005670733381936+0.*I	0.+0.20571699686144174*I	-0.49992252353042843+0.*I	0.-0.6411369897720642*I	-0.4999167152520441+0.*I	0.+0.20880803815873614*I	0.00005636845254646535+0.*I	0.+0.03974315191397007*I	0.000023744929742343805+0.*I	0.+0.015983867476755353*I	0.000032412911241160817+0.*I	0.+0.008198167452017225*I	0.000015092282310219346+0.*I	0.+0.004732905658680574*I	0.000015445965066329048+0.*I	0.+0.0028673639638065315*I	9.890179268937657*^-6+0.*I	0.+0.0017238138633091768*I	6.495566363406229*^-6+0.*I	0.+0.0009272204187439067*I	3.2063354465270948*^-6+0.*I	0.+0.0002930944233655177*I
0.+0.008078794448090135*I	0.000011858982879345728+0.*I	0.+0.035937466674066595*I	0.00004741805385254759+0.*I	0.+0.20766448805824828*I	-0.4999167152520394+0.*I	0.-0.6399934396715816*I	-0.4999135731317113+0.*I	0.+0.20952268210137145*I	0.000058891617561118226+0.*I	0.+0.04020239020105425*I	0.000025643492958917432+0.*I	0.+0.016276961900081446*I	0.00003372068349071309+0.*I	0.+0.00837305516034205*I	0.00001585834821844481+0.*I	0.+0.004814855160602517*I	0.00001569845766204003+0.*I	0.+0.002867363963799859*I	9.637686661405242*^-6+0.*I	0.+0.0016418643613881647*I	5.729500453023381*^-6+0.*I	0.+0.0007523327104518696*I	1.8985632133401839*^-6+0.*I
0.000018628401164196112+0.*I	0.+0.011718943949762722*I	0.00001227136606171755+0.*I	0.+0.03788495787085259*I	0.000053226332238921035+0.*I	0.+0.20880803815871565*I	-0.49991357313170937+0.*I	0.-0.6392787957289333*I	-0.4999110499667268+0.*I	0.+0.20998192038846006*I	0.00006079018076894831+0.*I	0.+0.04049548462441143*I	0.00002695126519873307+0.*I	0.+0.01645184960842064*I	0.00003448674939391661+0.*I	0.+0.00845500466226129*I	0.000016110840798861507+0.*I	0.+0.004814855160590139*I	0.000015445965054073162+0.*I	0.+0.0027854144618785913*I	8.871620802800097*^-6+0.*I	0.+0.0014669766530877478*I	4.421728206727405*^-6+0.*I	0.+0.000459238287118084*I
0.+0.0036401495016531*I	0.000019040784332708835+0.*I	0.+0.013666435146532072*I	0.00001807964442343033+0.*I	0.+0.0390285079713411*I	0.00005636845255685971+0.*I	0.+0.20952268210136613*I	-0.49991104996670627+0.*I	0.-0.6388195574418422*I	-0.499909151403522+0.*I	0.+0.21027501481181277*I	0.00006209795304550598+0.*I	0.+0.04067037233272533*I	0.000027717331064573805+0.*I	0.+0.01653379911033767*I	0.000034739242006577085+0.*I	0.+0.008455004662235418*I	0.00001585834820596757+0.*I	0.+0.00473290565867555*I	0.00001467989918937537+0.*I	0.+0.0026105267535657564*I	7.5638485127887*^-6+0.*I	0.+0.0011738822297196643*I	2.5231650242857296*^-6+0.*I
4.123831498304483*^-7+0.*I	0.+0.005587640698448759*I	0.000024849062715511866+0.*I	0.+0.014809985247033785*I	0.000021221764747900482+0.*I	0.+0.03974315191396192*I	0.000058891617574832855+0.*I	0.+0.2099819203884579*I	-0.4999091514035219+0.*I	0.-0.6385264630184894*I	-0.4999078436312635+0.*I	0.+0.2104499025201332*I	0.00006286401890585389+0.*I	0.+0.0407523218346557*I	0.00002796982370146288+0.*I	0.+0.016533799110328276*I	0.000034486749390009575+0.*I	0.+0.008373055160332911*I	0.000015092282306152209+0.*I	0.+0.004558017950349413*I	0.0000133721269205471+0.*I	0.+0.002317432330241543*I	5.665285326454434*^-6+0.*I	0.+0.0007146439426241799*I
0.+0.0019474911967808722*I	6.220661540598476*^-6+0.*I	0.+0.0067311907989360195*I	0.000027991183038137636+0.*I	0.+0.015524629189652814*I	0.000023744929742005252+0.*I	0.+0.04020239020107051*I	0.00006079018077846404+0.*I	0.+0.21027501481181*I	-0.49990784363127455+0.*I	0.-0.6383515753101742*I	-0.4999070775653308+0.*I	0.+0.2105318520220558*I	0.00006311651150217897+0.*I	0.+0.04075232183463489*I	0.00002771733111359816+0.*I	0.+0.016451849608404498*I	0.000033720683478586725+0.*I	0.+0.008198167452009547*I	0.000013784510091878176+0.*I	0.+0.0042649235270055*I	0.000011473563714276772+0.*I	0.+0.0018581940431114433*I	3.142120323931013*^-6+0.*I
5.808278383144061*^-6+0.*I	0.+0.0030910412972883477*I	9.362781840878046*^-6+0.*I	0.+0.00744583474157704*I	0.00003051434805041409+0.*I	0.+0.015983867476752397*I	0.000025643492938131785+0.*I	0.+0.04049548462440431*I	0.00006209795301550806+0.*I	0.+0.21044990252013882*I	-0.49990707756535174+0.*I	0.-0.6382696258082674*I	-0.4999068250727633+0.*I	0.+0.21053185202203908*I	0.00006286401892576166+0.*I	0.+0.04067037233272285*I	0.0000269512651909688+0.*I	0.+0.016276961900105046*I	0.000032412911245397154+0.*I	0.+0.007905073028663636*I	0.000011885946852321452+0.*I	0.+0.0038056852399150215*I	8.950398708334134*^-6+0.*I	0.+0.0011435501004934644*I
0.+0.001143550100496741*I	8.950398715959673*^-6+0.*I	0.+0.003805685239891179*I	0.000011885946861540892+0.*I	0.+0.007905073028686965*I	0.000032412911261373984+0.*I	0.+0.016276961900103453*I	0.00002695126518857525+0.*I	0.+0.04067037233274417*I	0.00006286401893954135+0.*I	0.+0.21053185202204885*I	-0.4999068250727797+0.*I	0.-0.6382696258082555*I	-0.4999070775653504+0.*I	0.+0.21044990252011933*I	0.00006209795299722913+0.*I	0.+0.040495484624411535*I	0.000025643492951300207+0.*I	0.+0.01598386747674022*I	0.00003051434805339455+0.*I	0.+0.007445834741580644*I	9.362781862257808*^-6+0.*I	0.+0.0030910412972942115*I	5.808278372420122*^-6+0.*I
3.1421203229452835*^-6+0.*I	0.+0.0018581940431323944*I	0.000011473563719754013+0.*I	0.+0.004264923527004988*I	0.000013784510062348791+0.*I	0.+0.008198167452024832*I	0.00003372068349827505+0.*I	0.+0.01645184960840977*I	0.00002771733108861561+0.*I	0.+0.04075232183465904*I	0.00006311651152234664+0.*I	0.+0.21053185202202365*I	-0.4999070775653469+0.*I	0.-0.6383515753101746*I	-0.4999078436312734+0.*I	0.+0.2102750148118094*I	0.0000607901807812083+0.*I	0.+0.040202390201062616*I	0.000023744929733688012+0.*I	0.+0.015524629189656509*I	0.000027991183029832904+0.*I	0.+0.006731190798942426*I	6.220661546084876*^-6+0.*I	0.+0.0019474911967951936*I
0.+0.0007146439426369497*I	5.665285340462207*^-6+0.*I	0.+0.0023174323302313253*I	0.000013372126895102738+0.*I	0.+0.0045580179503569565*I	0.000015092282313140622+0.*I	0.+0.008373055160339978*I	0.00003448674940087171+0.*I	0.+0.016533799110326746*I	0.00002796982370143169+0.*I	0.+0.04075232183466176*I	0.0000628640189102479+0.*I	0.+0.21044990252012608*I	-0.4999078436312444+0.*I	0.-0.6385264630184748*I	-0.49990915140351344+0.*I	0.+0.20998192038844957*I	0.00005889161756596358+0.*I	0.+0.039743151913963166*I	0.000021221764721457577+0.*I	0.+0.014809985247031759*I	0.00002484906271512822+0.*I	0.+0.005587640698450575*I	4.1238314944345587*^-7+0.*I
2.5231650168637152*^-6+0.*I	0.+0.001173882229726391*I	7.56384852250433*^-6+0.*I	0.+0.002610526753576705*I	0.000014679899162002409+0.*I	0.+0.004732905658683411*I	0.000015858348225923706+0.*I	0.+0.008455004662234124*I	0.00003473924200109322+0.*I	0.+0.016533799110331853*I	0.000027717331080019634+0.*I	0.+0.040670372332731713*I	0.00006209795302527537+0.*I	0.+0.21027501481180727*I	-0.49990915140352893+0.*I	0.-0.6388195574418296*I	-0.4999110499667025+0.*I	0.+0.20952268210136535*I	0.00005636845255724757+0.*I	0.+0.039028507971350206*I	0.000018079644428096834+0.*I	0.+0.013666435146528464*I	0.00001904078433106771+0.*I	0.+0.0036401495016517623*I
0.+0.0004592382870982196*I	4.421728208101885*^-6+0.*I	0.+0.001466976653101292*I	8.87162078741007*^-6+0.*I	0.+0.0027854144618676933*I	0.000015445965057833395+0.*I	0.+0.004814855160608477*I	0.000016110840800784045+0.*I	0.+0.00845500466224504*I	0.000034486749412192325+0.*I	0.+0.016451849608417807*I	0.00002695126519071936+0.*I	0.+0.04049548462442503*I	0.000060790180767296875+0.*I	0.+0.20998192038846974*I	-0.49991104996668334+0.*I	0.-0.6392787957289199*I	-0.49991357313173246+0.*I	0.+0.20880803815872856*I	0.00005322633223855563+0.*I	0.+0.03788495787084044*I	0.000012271366033563057+0.*I	0.+0.011718943949730916*I	0.000018628401190155355+0.*I
