0.-0.8487769205933283*I	-0.49995763789497366+0.*I	0.+0.16976359546208433*I	0.000016815833574442687+0.*I	0.+0.02424934449730417*I	0.000010712633191169936+0.*I	0.+0.008080056339842002*I	7.964315779635236*^-6+0.*I	0.+0.0036699820996786503*I	4.528577066972069*^-6+0.*I	0.+0.0019690942094443484*I	0.000010023642804402624+0.*I	0.+0.0011871864691574013*I	-7.174474018985626*^-6+0.*I	0.+0.0007442093282253675*I	0.000020725646327742427+0.*I	0.+0.000533768275633544*I	-0.000017191104675479214+0.*I	0.+0.00034308480164524184*I	0.000019751305918435367+0.*I	0.+0.0002768747324767278*I	-9.194265257325416*^-6+0.*I	0.+0.0001854484708388571*I	6.818466038775525*^-6+0.*I	0.+0.00014680849856591106*I	-1.4930026605759772*^-7+0.*I	0.+0.00010609821703065488*I	1.2768307447404338*^-6+0.*I	0.+0.00007788558278086807*I	8.595744739725694*^-7+0.*I	0.+0.000054477835041296676*I	5.754729421120143*^-7+0.*I	0.+0.0000345618172227753*I	3.4534647956251335*^-7+0.*I	0.+0.00001678220552357098*I	1.135515401450341*^-7+0.*I
-9.194265253248898*^-6+0.*I	0.+0.0004623232033342147*I	0.000017375506704698384+0.*I	0.+0.0009522165035224552*I	3.510173334921149*^-8+0.*I	0.+0.0015920829962011492*I	0.000022037578845980838+0.*I	0.+0.0024141779071668035*I	0.000015722679211654337+0.*I	0.+0.0036558422114189425*I	0.000026321795000849488+0.*I	0.+0.005659498238038784*I	0.000031195718577779137+0.*I	0.+0.009346262543255907*I	0.00003927358585303904+0.*I	0.+0.017426318883127154*I	0.000049872667519825716+0.*I	0.+0.04165888117490866*I	0.00006634315460108744+0.*I	0.+0.21138791481979016*I	-0.4998918702132871+0.*I	0.-0.6374434836086235*I	-0.4998927297877256+0.*I	0.+0.2112555514019282*I	0.00006363127646111676+0.*I	0.+0.041385857722799645*I	0.00004696474313560778+0.*I	0.+0.01698970472695328*I	0.00002943364392168646+0.*I	0.+0.008724199916278827*I	0.00003066359341945906+0.*I	0.+0.004777343084081421*I	6.38371044734301*^-6+0.*I	0.+0.002465164072982783*I	0.000013551172280331376+0.*I	0.+0.0007442093282158045*I
0.+0.00018544847083753436*I	-2.37579921559756*^-6+0.*I	0.+0.0006091317018761545*I	0.000017226206417267618+0.*I	0.+0.001058314720558835*I	1.3119325017825553*^-6+0.*I	0.+0.001669968578975927*I	0.000022897153281703276+0.*I	0.+0.0024686557422718904*I	0.000016298152207700303+0.*I	0.+0.003690404028617068*I	0.0000266671414944238+0.*I	0.+0.005676280443578105*I	0.000031309270084268347+0.*I	0.+0.009346262543250442*I	0.00003916003433638115+0.*I	0.+0.017409536677615075*I	0.00004952732102322443+0.*I	0.+0.04162431935768522*I	0.0000657676816680143+0.*I	0.+0.21133343698472837*I	-0.49989272978772975+0.*I	0.-0.6375213691914243*I	-0.49989400661849676+0.*I	0.+0.21114945318490677*I	0.00006378057674135083+0.*I	0.+0.041239049224232015*I	0.00004014627708137314+0.*I	0.+0.016804256256114064*I	0.00003862790916841828+0.*I	0.+0.008447325183797543*I	0.000010912287496268362+0.*I	0.+0.0044342582824405*I	0.000023574815117972592+0.*I	0.+0.0019313957973566723*I	-7.174474028610468*^-6+0.*I
6.8184660300392945*^-6+0.*I	0.+0.00033225696937958*I	-2.525099496541723*^-6+0.*I	0.+0.0007152299188978587*I	0.00001850303718600877+0.*I	0.+0.0011362003033663305*I	2.1715069485896913*^-6+0.*I	0.+0.001724446414032434*I	0.000023472626223498616+0.*I	0.+0.002503217559460239*I	0.000016643498676528697+0.*I	0.+0.003707186234116854*I	0.00002678069301384672+0.*I	0.+0.005676280443565295*I	0.0000311957185763515+0.*I	0.+0.009329480337750846*I	0.0000388146878183622+0.*I	0.+0.017374974860375175*I	0.00004895184810232945+0.*I	0.+0.041569841522644944*I	0.00006490810722932746+0.*I	0.+0.2112555514019333*I	-0.4998940066184828+0.*I	0.-0.6376274674084599*I	-0.49989385731823505+0.*I	0.+0.21100264468634297*I	0.000056962110675067975+0.*I	0.+0.041053600753419676*I	0.000049340542353920365+0.*I	0.+0.016527381523619565*I	0.00001887660327862165+0.*I	0.+0.00810424038211708*I	0.00002810339218287763+0.*I	0.+0.0039004900068150368*I	2.8491687486625033*^-6+0.*I	0.+0.001187186469167088*I
0.+0.00014680849858349711*I	6.669165743902689*^-6+0.*I	0.+0.00043835518639954573*I	-1.2482687350211955*^-6+0.*I	0.+0.0007931155017018558*I	0.000019362611634640588+0.*I	0.+0.001190678138409125*I	2.7469799029041317*^-6+0.*I	0.+0.0017590082312628373*I	0.000023817972728563577+0.*I	0.+0.0025199997649499356*I	0.000016757050199089713+0.*I	0.+0.003707186234145441*I	0.000026667141484838277+0.*I	0.+0.005659498238050567*I	0.0000308503720787897+0.*I	0.+0.009294918520552415*I	0.000038239214892890494+0.*I	0.+0.01732049702532887*I	0.00004809227362647849+0.*I	0.+0.041491955939839925*I	0.00006363127645784868+0.*I	0.+0.21114945318488745*I	-0.4998938573182188+0.*I	0.-0.6377742759070021*I	-0.4999006757842776+0.*I	0.+0.21081719621551018*I	0.00006615637596341228+0.*I	0.+0.04077672602093851*I	0.000029589236430214034+0.*I	0.+0.016184296721978887*I	0.00003606770793386148+0.*I	0.+0.007570472106491458*I	7.3777458344866125*^-6+0.*I	0.+0.0031562806785884238*I	0.00001002364284636549+0.*I
-1.4930030723132718*^-7+0.*I	0.+0.0002529067155751783*I	7.945996524804074*^-6+0.*I	0.+0.000516240769215041*I	-3.8869430177360933*^-7+0.*I	0.+0.0008475933367397375*I	0.00001993808458345142+0.*I	0.+0.0012252399556359635*I	3.0923263917720796*^-6+0.*I	0.+0.001775790436761389*I	0.00002393152426254768+0.*I	0.+0.002519999764987571*I	0.000016643498654027612+0.*I	0.+0.0036904040286122423*I	0.000026321795014677904+0.*I	0.+0.005624936420861835*I	0.0000302748991177491+0.*I	0.+0.0092404406854411*I	0.00003737964044410726+0.*I	0.+0.017242611442533317*I	0.0000468154428882367+0.*I	0.+0.04138585772278988*I	0.00006378057672474308+0.*I	0.+0.2110026446863555*I	-0.4999006757842468+0.*I	0.-0.6379597243778381*I	-0.4998914815190124+0.*I	0.+0.21054032148304122*I	0.000046405070038815175+0.*I	0.+0.04043364121925169*I	0.00004678034112136983+0.*I	0.+0.015650528446371905*I	0.000015342061624920614+0.*I	0.+0.006826262778271302*I	0.000014552219863113901+0.*I	0.+0.0019690942094542736*I
0.+0.00010609821702805968*I	1.1275304758309604*^-6+0.*I	0.+0.0003307922983786349*I	8.805570979506551*^-6+0.*I	0.+0.0005707186042711404*I	1.8677866732679687*^-7+0.*I	0.+0.0008821551539852161*I	0.000020283431059694523+0.*I	0.+0.0012420221611070474*I	3.205877903233829*^-6+0.*I	0.+0.0017757904367664084*I	0.000023817972730265337+0.*I	0.+0.0025032175594468203*I	0.00001629815216824687+0.*I	0.+0.0036558422114213412*I	0.00002574632207472393+0.*I	0.+0.005570458585774109*I	0.000029415324682541834+0.*I	0.+0.009162555102679193*I	0.000036102809686736774+0.*I	0.+0.01713651322551865*I	0.00004696474313377871+0.*I	0.+0.041239049224252027*I	0.000056962110691054997+0.*I	0.+0.21081719621551234*I	-0.4998914815190054+0.*I	0.-0.6382365991102997*I	-0.49991123282490524+0.*I	0.+0.21019723668137436*I	0.00006359617470535423+0.*I	0.+0.039899872943642285*I	0.00002605469479045205+0.*I	0.+0.014906319118128092*I	0.000022516535637425147+0.*I	0.+0.005639076309124464*I	4.528577078370476*^-6+0.*I
1.276830772024788*^-6+0.*I	0.+0.00018398379981893065*I	1.9871049228628444*^-6+0.*I	0.+0.00038527013343824147*I	9.381043932611926*^-6+0.*I	0.+0.0006052804214632357*I	5.321251373903733*^-7+0.*I	0.+0.0008989373594770421*I	0.00002039698259444793+0.*I	0.+0.001242022161138681*I	3.092326381236616*^-6+0.*I	0.+0.0017590082312502113*I	0.000023472626246995892+0.*I	0.+0.002468655742265466*I	0.0000157226792274098+0.*I	0.+0.0036013643763467902*I	0.00002488674762128772+0.*I	0.+0.00549257300301477*I	0.000028138493891088868+0.*I	0.+0.009056456885634995*I	0.000036252109984264634+0.*I	0.+0.01698970472695888*I	0.00004014627708966418+0.*I	0.+0.041053600753401115*I	0.00006615637598226197+0.*I	0.+0.2105403214830233*I	-0.49991123282492245+0.*I	0.-0.6385796839119648*I	-0.4998940417202352+0.*I	0.+0.20966346840575945*I	0.00004287052839282119+0.*I	0.+0.03915566361543261*I	0.000033229168838709726+0.*I	0.+0.013719132648994483*I	0.000012492892842311479+0.*I	0.+0.0036699820996894967*I
0.+0.00007788558277562994*I	2.136405208527044*^-6+0.*I	0.+0.0002384616348830551*I	2.5625778888431117*^-6+0.*I	0.+0.00041983195066956066*I	9.726390404183873*^-6+0.*I	0.+0.0006220626269865013*I	6.456766742700485*^-7+0.*I	0.+0.0008989373594661411*I	0.000020283431039899122+0.*I	0.+0.0012252399556243866*I	2.746979901667188*^-6+0.*I	0.+0.0017244464140569273*I	0.00002289715326617277+0.*I	0.+0.0024141779071865936*I	0.000014863104809808622+0.*I	0.+0.003523478793556147*I	0.000023609916845912207+0.*I	0.+0.005386474785956754*I	0.000028287794209809913+0.*I	0.+0.008909648387097477*I	0.000029433643896347774+0.*I	0.+0.016804256256118498*I	0.00004934054237672057+0.*I	0.+0.0407767260209334*I	0.00004640507002894797+0.*I	0.+0.21019723668137716*I	-0.4998940417202347+0.*I	0.-0.6391134521876036*I	-0.49991476736657214+0.*I	0.+0.20891925907754708*I	0.00005004500240572949+0.*I	0.+0.037968477146275104*I	0.00002320552601751712+0.*I	0.+0.011750038439536018*I	7.964315773688495*^-6+0.*I
8.595744471194159*^-7+0.*I	0.+0.0001323634178258705*I	2.7118781384008163*^-6+0.*I	0.+0.00027302345209968294*I	2.907924378385947*^-6+0.*I	0.+0.0004366141561449032*I	9.839941922695682*^-6+0.*I	0.+0.0006220626269960864*I	5.321251494175364*^-7+0.*I	0.+0.0008821551539447121*I	0.000019938084565524123+0.*I	0.+0.0011906781384105453*I	2.171506973107731*^-6+0.*I	0.+0.0016699685789917766*I	0.00002203757881425143+0.*I	0.+0.0023362923243960367*I	0.000013586274055458057+0.*I	0.+0.0034173805765460655*I	0.000023759217122098472+0.*I	0.+0.005239666287418656*I	0.00002146932815267892+0.*I	0.+0.008724199916246799*I	0.00003862790916443221+0.*I	0.+0.016527381523656626*I	0.000029589236474257728+0.*I	0.+0.040433641219261816*I	0.00006359617468987709+0.*I	0.+0.20966346840576522*I	-0.49991476736655355+0.*I	0.-0.6398576615157908*I	-0.49990759289252745+0.*I	0.+0.2077320726083597*I	0.00004002135960455529+0.*I	0.+0.035999382936804845*I	0.00001867694898216461+0.*I	0.+0.008080056339854905*I
0.+0.00005447783503030754*I	1.4350474019600548*^-6+0.*I	0.+0.0001669252350710093*I	3.0572246386470742*^-6+0.*I	0.+0.000289805657606269*I	3.0214758892564057*^-6+0.*I	0.+0.00043661415616112325*I	9.7263903983273*^-6+0.*I	0.+0.0006052804214856156*I	1.867786454078457*^-7+0.*I	0.+0.0008475933367514581*I	0.000019362611596694206+0.*I	0.+0.001136200303358115*I	1.3119325131885245*^-6+0.*I	0.+0.0015920829961773512*I	0.00002076074808464886+0.*I	0.+0.0022301941073656737*I	0.000013735574307309972+0.*I	0.+0.00327057207797249*I	0.000016940751107411687+0.*I	0.+0.005054217816571387*I	0.0000306635933925903+0.*I	0.+0.008447325183768476*I	0.00001887660328904699+0.*I	0.+0.016184296721965342*I	0.00004678034111338915+0.*I	0.+0.03989987294364142*I	0.00004287052838585653+0.*I	0.+0.20891925907754344*I	-0.4999075928925134+0.*I	0.-0.6410448479849683*I	-0.49991761653534744+0.*I	0.+0.20576297839894458*I	0.000035492782557108475+0.*I	0.+0.03232940083714621*I	0.000010712633147818776+0.*I
5.754729393201531*^-7+0.*I	0.+0.00008903965228776658*I	1.7803938740305046*^-6+0.*I	0.+0.00018370744056609928*I	3.1707761587009616*^-6+0.*I	0.+0.0002898056576129247*I	2.9079243767995424*^-6+0.*I	0.+0.0004198319506408354*I	9.381043911097913*^-6+0.*I	0.+0.0005707186042388986*I	-3.8869427569636513*^-7+0.*I	0.+0.0007931155017155211*I	0.00001850303716779683+0.*I	0.+0.001058314720547117*I	3.510175093520112*^-8+0.*I	0.+0.0014859847791514496*I	0.000020910048379711927+0.*I	0.+0.0020833856088171942*I	6.917108280605282*^-6+0.*I	0.+0.0030851236071383742*I	0.00002613501633453757+0.*I	0.+0.00477734308408659*I	0.000010912287503848995+0.*I	0.+0.008104240382119147*I	0.00003606770792166715+0.*I	0.+0.015650528446362222*I	0.0000260546948169953+0.*I	0.+0.03915566361544602*I	0.00005004500243341771+0.*I	0.+0.20773207260837284*I	-0.49991761653534733+0.*I	0.-0.6430139421944013*I	-0.4999221451124257+0.*I	0.+0.2020929962992269*I	0.00002752846679495172+0.*I	0.+0.02424934449727565*I
0.+0.00003456181723014155*I	9.208194369688818*^-7+0.*I	0.+0.0001058218577661352*I	1.8939453979791335*^-6+0.*I	0.+0.000183707440574093*I	3.0572246468064554*^-6+0.*I	0.+0.0002730234520809747*I	2.562577872520717*^-6+0.*I	0.+0.00038527013346340813*I	8.805570941196028*^-6+0.*I	0.+0.0005162407691652362*I	-1.2482687254700522*^-6+0.*I	0.+0.0007152299189140135*I	0.00001722620641252035+0.*I	0.+0.0009522165035169399*I	1.8440204719417865*^-7+0.*I	0.+0.0013391762806107522*I	0.000014091582321905771+0.*I	0.+0.0018979371379913654*I	0.000016111373535096763+0.*I	0.+0.0028082488746540377*I	6.383710427531109*^-6+0.*I	0.+0.004434258282437954*I	0.00002810339218684558+0.*I	0.+0.00757047210649413*I	0.000015342061604985947+0.*I	0.+0.01490631911812981*I	0.00003322916882340612+0.*I	0.+0.0379684771462855*I	0.00004002135962454232+0.*I	0.+0.20576297839893332*I	-0.49992214511241184+0.*I	0.-0.6466839242940838*I	-0.49993010942818444+0.*I	0.+0.19401293995941202*I	0.00001681583359671102+0.*I
3.453464910118645*^-7+0.*I	0.+0.000051344022737302006*I	1.0343709376195052*^-6+0.*I	0.+0.00010582185779504591*I	1.7803938951907157*^-6+0.*I	0.+0.0001669252350503948*I	2.7118781577123544*^-6+0.*I	0.+0.0002384616348829571*I	1.9871049432303547*^-6+0.*I	0.+0.00033079229837829294*I	7.94599651036284*^-6+0.*I	0.+0.000438355186432567*I	-2.525099492076138*^-6+0.*I	0.+0.0006091317018485498*I	0.000017375506700267643+0.*I	0.+0.000805408004983095*I	-6.634064002714672*^-6+0.*I	0.+0.0011537278097624537*I	0.000023285847570646105+0.*I	0.+0.0016210624054972694*I	-3.639932362535102*^-6+0.*I	0.+0.0024651640729883395*I	0.000023574815102637026+0.*I	0.+0.003900490006810166*I	7.3777458506825465*^-6+0.*I	0.+0.006826262778275777*I	0.000022516535637786064+0.*I	0.+0.013719132648989689*I	0.00002320552604350092+0.*I	0.+0.035999382936814595*I	0.00003549278249559076+0.*I	0.+0.20209299629927435*I	-0.4999301094281669+0.*I	0.-0.6547639806339234*I	-0.4999408220614134+0.*I	0.+0.1697635954621037*I
0.+0.000016782205493087894*I	4.5889801363323056*^-7+0.*I	0.+0.00005134402274209895*I	9.208194437311392*^-7+0.*I	0.+0.0000890396522534013*I	1.4350474020292527*^-6+0.*I	0.+0.00013236341786146722*I	2.136405188165857*^-6+0.*I	0.+0.00018398379980664748*I	1.127530495115232*^-6+0.*I	0.+0.00025290671560122*I	6.669165763929211*^-6+0.*I	0.+0.0003322569693576732*I	-2.3757992223681033*^-6+0.*I	0.+0.0004623232033224797*I	0.00001055704067871574+0.*I	0.+0.000619959534143755*I	2.5602012331202484*^-6+0.*I	0.+0.0008768530772953429*I	3.5345416591271437*^-6+0.*I	0.+0.0012779776038035712*I	0.000013551172292181416+0.*I	0.+0.0019313957974173603*I	2.8491687802447116*^-6+0.*I	0.+0.003156280678570251*I	0.000014552219915705989+0.*I	0.+0.005639076309156475*I	0.000012492892825540172+0.*I	0.+0.011750038439508137*I	0.00001867694894585415+0.*I	0.+0.0323294008371707*I	0.00002752846675650884+0.*I	0.+0.19401293995935956*I	-0.49994082206136375+0.*I	0.-0.6790133251312159*I	-0.499957637894959+0.*I
1.1355151733824509*^-7+0.*I	0.+0.000016782205522214867*I	3.453464750256829*^-7+0.*I	0.+0.00003456181721656209*I	5.754729476968888*^-7+0.*I	0.+0.00005447783505938524*I	8.595744602565852*^-7+0.*I	0.+0.00007788558277954953*I	1.276830757640095*^-6+0.*I	0.+0.0001060982170413269*I	-1.4930028493426227*^-7+0.*I	0.+0.00014680849855033872*I	6.818466049590983*^-6+0.*I	0.+0.00018544847084179657*I	-9.194265267445671*^-6+0.*I	0.+0.00027687473248020223*I	0.00001975130590235394+0.*I	0.+0.00034308480165907355*I	-0.000017191104664264863+0.*I	0.+0.0005337682756085401*I	0.00002072564633516413+0.*I	0.+0.0007442093282317616*I	-7.1744740293248086*^-6+0.*I	0.+0.001187186469145999*I	0.000010023642824662799+0.*I	0.+0.0019690942094457283*I	4.528577052791274*^-6+0.*I	0.+0.0036699820996770466*I	7.964315761886819*^-6+0.*I	0.+0.008080056339865718*I	0.000010712633166427927+0.*I	0.+0.024249344497290246*I	0.000016815833597916708+0.*I	0.+0.16976359546213207*I	-0.4999576378949701+0.*I	0.-0.8487769205933187*I
