0.-0.8487769205933283*I	-0.49995763789497366+0.*I	0.+0.16976359546208433*I	0.000016815833574442687+0.*I	0.+0.02424934449730417*I	0.000010712633191169936+0.*I	0.+0.008080056339842002*I	7.964315779635236*^-6+0.*I	0.+0.0036699820996786503*I	4.528577066972069*^-6+0.*I	0.+0.0019690942094443484*I	0.000010023642804402624+0.*I	0.+0.0011871864691574013*I	-7.174474018985626*^-6+0.*I	0.+0.0007442093282253675*I	0.000020725646327742427+0.*I	0.+0.000533768275633544*I	-0.000017191104675479214+0.*I	0.+0.00034308480164524184*I	0.000019751305918435367+0.*I	0.+0.0002768747324767278*I	-9.194265257325416*^-6+0.*I	0.+0.0001854484708388571*I	6.818466038775525*^-6+0.*I	0.+0.00014680849856591106*I	-1.4930026605759772*^-7+0.*I	0.+0.00010609821703065488*I	1.2768307447404338*^-6+0.*I	0.+0.00007788558278086807*I	8.595744739725694*^-7+0.*I	0.+0.000054477835041296676*I	5.754729421120143*^-7+0.*I	0.+0.0000345618172227753*I	3.4534647956251335*^-7+0.*I	0.+0.00001678220552357098*I	1.135515401450341*^-7+0.*I
0.000010023642830453482+0.*I	0.+0.0031562806785985875*I	7.377745860343737*^-6+0.*I	0.+0.007570472106477646*I	0.0000360677079453624+0.*I	0.+0.016184296721983314*I	0.000029589236449219+0.*I	0.+0.04077672602093932*I	0.00006615637596541801+0.*I	0.+0.21081719621551723*I	-0.4999006757842689+0.*I	0.-0.6377742759070155*I	-0.49989385731823416+0.*I	0.+0.21114945318494166*I	0.0000636312764580268+0.*I	0.+0.041491955939817526*I	0.00004809227363581287+0.*I	0.+0.01732049702534115*I	0.000038239214876212565+0.*I	0.+0.009294918520510483*I	0.00003085037207276005+0.*I	0.+0.005659498238080105*I	0.00002666714150831666+0.*I	0.+0.0037071862341267574*I	0.000016757050203360826+0.*I	0.+0.0025199997649737937*I	0.000023817972705163458+0.*I	0.+0.0017590082312435406*I	2.746979914779567*^-6+0.*I	0.+0.0011906781384067667*I	0.0000193626116138543+0.*I	0.+0.000793115501676713*I	-1.2482687359420147*^-6+0.*I	0.+0.00043835518642998633*I	6.669165758291899*^-6+0.*I	0.+0.00014680849855337592*I
0.+0.0011871864691616533*I	2.849168765649141*^-6+0.*I	0.+0.0039004900068199686*I	0.00002810339215631982+0.*I	0.+0.008104240382103039*I	0.0000188766032718373+0.*I	0.+0.016527381523664172*I	0.00004934054236082942+0.*I	0.+0.0410536007534063*I	0.00005696211071669906+0.*I	0.+0.21100264468636826*I	-0.4998938573182297+0.*I	0.-0.6376274674084607*I	-0.49989400661850963+0.*I	0.+0.21125555140193555*I	0.00006490810722331826+0.*I	0.+0.04156984152261474*I	0.00004895184808371747+0.*I	0.+0.01737497486037833*I	0.000038814687829236626+0.*I	0.+0.009329480337739426*I	0.000031195718570642796+0.*I	0.+0.00567628044357507*I	0.00002678069302587998+0.*I	0.+0.0037071862341265045*I	0.00001664349868920069+0.*I	0.+0.0025032175594552576*I	0.00002347262620172118+0.*I	0.+0.001724446414035521*I	2.1715069467685163*^-6+0.*I	0.+0.0011362003033592368*I	0.000018503037160105134+0.*I	0.+0.0007152299188825341*I	-2.525099489221515*^-6+0.*I	0.+0.0003322569694042924*I	6.8184660156157465*^-6+0.*I
-7.174474055491039*^-6+0.*I	0.+0.0019313957973657867*I	0.000023574815143978387+0.*I	0.+0.00443425828243955*I	0.00001091228747225857+0.*I	0.+0.008447325183797729*I	0.00003862790919640345+0.*I	0.+0.01680425625612145*I	0.000040146277097732534+0.*I	0.+0.04123904922423536*I	0.00006378057672470847+0.*I	0.+0.21114945318488945*I	-0.49989400661851985+0.*I	0.-0.6375213691913804*I	-0.4998927297877196+0.*I	0.+0.21133343698471682*I	0.00006576768163863159+0.*I	0.+0.041624319357683834*I	0.000049527321024792424+0.*I	0.+0.017409536677623905*I	0.000039160034320816335+0.*I	0.+0.009346262543239883*I	0.00003130927007757457+0.*I	0.+0.005676280443596149*I	0.00002666714150555323+0.*I	0.+0.003690404028603958*I	0.00001629815218483928+0.*I	0.+0.0024686557422607244*I	0.000022897153303123876+0.*I	0.+0.0016699685789381463*I	1.311932476841227*^-6+0.*I	0.+0.0010583147205645823*I	0.000017226206406508036+0.*I	0.+0.0006091317018565798*I	-2.3757992096315433*^-6+0.*I	0.+0.00018544847083887435*I
0.+0.0007442093282228253*I	0.000013551172281931323+0.*I	0.+0.002465164072988008*I	6.383710446029433*^-6+0.*I	0.+0.004777343084111647*I	0.000030663593412392+0.*I	0.+0.008724199916262722*I	0.000029433643926180953+0.*I	0.+0.016989704726966374*I	0.00004696474314529393+0.*I	0.+0.04138585772278125*I	0.00006363127645470864+0.*I	0.+0.2112555514019617*I	-0.4998927297877315+0.*I	0.-0.6374434836086443*I	-0.49989187021332115+0.*I	0.+0.21138791481980576*I	0.00006634315464026823+0.*I	0.+0.041658881174885656*I	0.00004987266750438541+0.*I	0.+0.017426318883125708*I	0.000039273585870808466+0.*I	0.+0.009346262543259924*I	0.000031195718551182546+0.*I	0.+0.0056594982380440435*I	0.000026321794997800115+0.*I	0.+0.00365584221138857*I	0.000015722679207404793+0.*I	0.+0.0024141779072036937*I	0.000022037578853420213+0.*I	0.+0.0015920829961742619*I	3.510173384290295*^-8+0.*I	0.+0.0009522165035342654*I	0.000017375506713288816+0.*I	0.+0.00046232320332544345*I	-9.194265267154305*^-6+0.*I
0.000020725646318354293+0.*I	0.+0.0012779776038451733*I	-3.639932369253957*^-6+0.*I	0.+0.0028082488746809845*I	0.00002613501633998925+0.*I	0.+0.005054217816577928*I	0.00002146932817689688+0.*I	0.+0.00890964838709444*I	0.000036252109937985207+0.*I	0.+0.017136513225501013*I	0.00004681544288636368+0.*I	0.+0.04149195593984042*I	0.00006490810719050092+0.*I	0.+0.21133343698473708*I	-0.4998918702132666+0.*I	0.-0.6373890057735778*I	-0.49989129474035016+0.*I	0.+0.21142247663700578*I	0.00006668850111513334+0.*I	0.+0.041675663380396855*I	0.00004998621902496404+0.*I	0.+0.0174263188830985*I	0.00003916003431715173+0.*I	0.+0.009329480337752914*I	0.00003085037204635407+0.*I	0.+0.005624936420855219*I	0.00002574632208382595+0.*I	0.+0.003601364376320386*I	0.000014863104791119805+0.*I	0.+0.002336292324407845*I	0.000020760748059739473+0.*I	0.+0.0014859847791339775*I	1.8440202439972675*^-7+0.*I	0.+0.0008054080049698925*I	0.000010557040653604758+0.*I	0.+0.00027687473249568496*I
0.+0.0005337682756005192*I	3.534541660396384*^-6+0.*I	0.+0.0016210624055107326*I	0.00001611137353603201+0.*I	0.+0.0030851236071335153*I	0.00001694075109168289+0.*I	0.+0.005239666287412759*I	0.000028287794217710738+0.*I	0.+0.009056456885653541*I	0.00003610280965678744+0.*I	0.+0.017242611442522465*I	0.000048092273638196486+0.*I	0.+0.0415698415226258*I	0.00006576768165587787+0.*I	0.+0.2113879148197745*I	-0.4998912947403329+0.*I	0.-0.6373544439563325*I	-0.4998909493938658+0.*I	0.+0.21143925884252876*I	0.00006680205265010292+0.*I	0.+0.04167566338042019*I	0.0000498726674911239+0.*I	0.+0.01740953667758801*I	0.000038814687851059854+0.*I	0.+0.00929491852051975*I	0.000030274899085140148+0.*I	0.+0.005570458585794464*I	0.000024886747645390712+0.*I	0.+0.003523478793557774*I	0.000013586274019773372+0.*I	0.+0.002230194107379936*I	0.000020910048385814643+0.*I	0.+0.001339176280612445*I	-6.634064016839726*^-6+0.*I	0.+0.0006199595341404318*I	0.000019751305925822145+0.*I
-0.0000171911046682872+0.*I	0.+0.000876853077312494*I	0.000023285847562775827+0.*I	0.+0.0018979371379874218*I	6.917108283920122*^-6+0.*I	0.+0.003270572077967383*I	0.00002375921711702156+0.*I	0.+0.0053864747859798294*I	0.000028138493919805047+0.*I	0.+0.009162555102698186*I	0.00003737964045263764+0.*I	0.+0.01732049702532725*I	0.00004895184806986933+0.*I	0.+0.04162431935766986*I	0.00006634315461679684+0.*I	0.+0.2114224766370044*I	-0.49989094939384265+0.*I	0.-0.6373376617508365*I	-0.49989083584231697+0.*I	0.+0.21143925884250148*I	0.00006668850107953959+0.*I	0.+0.04165888117489175*I	0.00004952732102401609+0.*I	0.+0.017374974860371102*I	0.00003823921488717837+0.*I	0.+0.009240440685468702*I	0.000029415324672037067+0.*I	0.+0.005492573002986204*I	0.000023609916842656575+0.*I	0.+0.0034173805765372327*I	0.000013735574313708164+0.*I	0.+0.002083385608794684*I	0.000014091582319522747+0.*I	0.+0.0011537278098074678*I	2.5602012475698775*^-6+0.*I	0.+0.0003430848016402745*I
0.+0.00034308480165608284*I	2.5602012490014673*^-6+0.*I	0.+0.0011537278097778524*I	0.000014091582305215627+0.*I	0.+0.002083385608805171*I	0.000013735574316326929+0.*I	0.+0.0034173805765154866*I	0.00002360991684519293+0.*I	0.+0.005492573002993458*I	0.00002941532465889788+0.*I	0.+0.00924044068545668*I	0.000038239214912823314+0.*I	0.+0.01737497486036402*I	0.000049527321013823354+0.*I	0.+0.041658881174906404*I	0.00006668850110196906+0.*I	0.+0.21143925884250578*I	-0.4998908358423196+0.*I	0.-0.637337661750826*I	-0.49989094939387174+0.*I	0.+0.21142247663700148*I	0.00006634315461773837+0.*I	0.+0.04162431935769104*I	0.00004895184807343179+0.*I	0.+0.01732049702534562*I	0.00003737964046080864+0.*I	0.+0.009162555102677685*I	0.000028138493915773983+0.*I	0.+0.005386474785959146*I	0.000023759217139661612+0.*I	0.+0.0032705720779780327*I	6.91710827866639*^-6+0.*I	0.+0.0018979371379898534*I	0.000023285847572142426+0.*I	0.+0.0008768530772827256*I	-0.000017191104657747304+0.*I
0.000019751305918798046+0.*I	0.+0.0006199595341505657*I	-6.634064018677896*^-6+0.*I	0.+0.0013391762806226112*I	0.000020910048370682163+0.*I	0.+0.0022301941073612185*I	0.000013586273987879681+0.*I	0.+0.0035234787935661013*I	0.000024886747633042503+0.*I	0.+0.0055704585857986886*I	0.000030274899101137334+0.*I	0.+0.009294918520525804*I	0.00003881468786512074+0.*I	0.+0.01740953667758233*I	0.00004987266750180912+0.*I	0.+0.04167566338042954*I	0.00006680205265106145+0.*I	0.+0.21143925884252543*I	-0.49989094939387985+0.*I	0.-0.637354443956329*I	-0.499891294740339+0.*I	0.+0.21138791481978086*I	0.00006576768166096107+0.*I	0.+0.04156984152260914*I	0.000048092273643110876+0.*I	0.+0.017242611442526555*I	0.000036102809667149936+0.*I	0.+0.009056456885645613*I	0.000028287794200163505+0.*I	0.+0.005239666287433066*I	0.000016940751089988738+0.*I	0.+0.0030851236071370567*I	0.00001611137353885675+0.*I	0.+0.0016210624055021249*I	3.534541661090479*^-6+0.*I	0.+0.0005337682756011074*I
0.+0.0002768747325008507*I	0.000010557040669482729+0.*I	0.+0.0008054080049758227*I	1.844020210356905*^-7+0.*I	0.+0.0014859847791484848*I	0.000020760748058977678+0.*I	0.+0.0023362923243967796*I	0.0000148631047781928+0.*I	0.+0.003601364376351109*I	0.00002574632207837587+0.*I	0.+0.005624936420846425*I	0.00003085037206536632+0.*I	0.+0.00932948033775787*I	0.00003916003431807742+0.*I	0.+0.017426318883105887*I	0.00004998621903617586+0.*I	0.+0.041675663380407985*I	0.0000666885011187933+0.*I	0.+0.21142247663697264*I	-0.4998912947403507+0.*I	0.-0.6373890057735507*I	-0.49989187021327697+0.*I	0.+0.2113334369847174*I	0.00006490810719457949+0.*I	0.+0.041491955939861304*I	0.00004681544291159135+0.*I	0.+0.017136513225499018*I	0.000036252109923758373+0.*I	0.+0.008909648387106154*I	0.000021469328168945774+0.*I	0.+0.005054217816584926*I	0.000026135016337817187+0.*I	0.+0.002808248874667773*I	-3.6399323617198633*^-6+0.*I	0.+0.0012779776038323002*I	0.000020725646328634658+0.*I
