0.5168747619422422-0.3068038057519016*I	0.07545154474563402-0.3387974771873707*I	-0.14532081707866967-0.12849789211498486*I	-0.10015266331299978+0.061990090347510504*I	0.02626499686363175+0.07156645860843434*I	0.0551578810572241-0.014579772535232672*I	-0.0029354782577169073-0.043263266202233024*I	-0.035104604515947546+0.001214514797165685*I	-0.005704325019197377+0.029039011831169994*I	0.023321494492792277+0.0042685058905596405*I	0.009391730020815628-0.020342054564616633*I	-0.015347841612582167-0.00666964744073778*I	-0.010809146851493279+0.014494033382107533*I	0.009504712825304122+0.007616868252553095*I	0.010980906564460997-0.010354444008910833*I	-0.0050245650189271965-0.007814228465124336*I	-0.010370351145215576+0.007353631015563979*I	0.0015355548532034215+0.007638184014956877*I	0.009250983750575582-0.005139011433888652*I	0.0011919350144556865-0.007282082061622838*I	-0.0077671101715073515+0.0035000766993894634*I	-0.0032752525670660944+0.006873760172456613*I	0.006027436027077118-0.002289942882940068*I	0.0047879419511688195-0.006513443760451756*I	-0.004116541855021272+0.0013674317007497884*I	-0.005786918144252451+0.0062425487208476035*I	0.0020770155928590654-0.0006333454374105202*I	0.0062663384659417025-0.0060931898572050515*I
0.07545154474563526-0.33879747718737097*I	0.3715539448635754-0.43530169786688633*I	-0.024701118567362335-0.27680738683986006*I	-0.11905582021503432-0.05693143350655096*I	-0.044994782255772706+0.047410317812276635*I	0.023329518605916623+0.02830319240620021*I	0.020053276541277063-0.013365257738066686*I	-0.008639803276914793-0.014224254371061047*I	-0.011783110023156226+0.0054830206877282545*I	0.0036874050016176972+0.008696957266556591*I	0.007973652880209979-0.002401141550174507*I	-0.001417416830677987-0.00584802118250492*I	-0.0058431287872791485+0.0009472208118192415*I	0.00017175971296636025+0.004139589373199059*I	0.004480147806376359-0.00019736021257084333*I	0.0006105554192457557-0.00300081299334727*I	-0.003489010165723617-0.00017604445016705314*I	-0.0011193673946408244+0.0022146195816769884*I	0.002727489867657949+0.0003561019533360129*I	0.0014838735790680287-0.0016389347344980512*I	-0.0020833175526094477-0.000408321889166164*I	-0.0017396741444291042+0.0012101338164488798*I	0.001512689384103185+0.00036031641200412327*I	0.001910894172055835-0.0009225111821913964*I	-0.0009989761930836872-0.00027089503960587967*I	-0.0020395262621624353+0.0007340862633371274*I	0.0004794203216885927+0.00014935886364060553*I	0.002077015592858381-0.0006333454374116572*I
-0.14532081707866715-0.12849789211498597*I	-0.024701118567360614-0.27680738683986106*I	0.3978189417272117-0.3637352392584523*I	0.030456762489865903-0.2913871593750935*I	-0.12199129847274842-0.1001946997087852*I	-0.08009938677171874+0.048624832609442704*I	0.017625193586719465+0.05734220423737362*I	0.04337477103406838-0.009096751847501458*I	0.0007519267438993853-0.034566308935671884*I	-0.027130951635739482-0.0011866267530039984*I	-0.007121741849876332+0.023190990648670258*I	0.017478365705512748+0.005215726702385333*I	0.009563489733780687-0.016202465191410515*I	-0.01086769380620844-0.006867007653303396*I	-0.01019859143224976+0.011493220388761983*I	0.006015702659580195+0.0074408238023853926*I	0.00986153916982083-0.008139824427234063*I	-0.002297075151269826-0.007458126511786459*I	-0.008886477566149676+0.005714696281069061*I	-0.0005477626994076583+0.007229862125793369*I	0.0075113096061469155-0.00392887761743838*I	0.002704624398560511-0.0069217656496181786*I	-0.00585621599945042+0.002577565517198144*I	-0.004274228760149575+0.0066028651328500255*I	0.003987909764914777-0.00155585661960493*I	0.0052673622728574366-0.006364084896814248*I	-0.0020395262621636582+0.000734086263334802*I	-0.005786918144253848+0.0062425487208450335*I
-0.10015266331299667+0.061990090347508645*I	-0.11905582021503228-0.05693143350655261*I	0.030456762489865508-0.29138715937509385*I	0.3948834634694953-0.406998505460685*I	-0.00464784202608244-0.2901726445779258*I	-0.12769562349194657-0.07115568787761004*I	-0.056777892278926684+0.052893338500010025*I	0.02701692360753471+0.03700014967276442*I	0.028026929421485238-0.015766399288234093*I	-0.01005722010759525-0.020072275553560687*I	-0.01762623881043692+0.006430241499552899*I	0.003859164714582707+0.012836546639762875*I	0.012453800686583496-0.002598501762738239*I	-0.0008068614114362853-0.008848834175848959*I	-0.009332138953005643+0.0007711763616508549*I	-0.0009476076816750199+0.006354208954873756*I	0.007207637674034175+0.00015874174076569534*I	0.0020944289983118604-0.004639747727841982*I	-0.0055723277183360375-0.0005843663393298802*I	-0.00285904153907134+0.0034247533981275197*I	0.004240179251762065+0.000716418365341099*I	0.003394767751125253-0.0025614459166877187*I	-0.003082293745692887-0.0006792169287700272*I	-0.0037792004065918846+0.0019442200797864621*I	0.001992109705791838+0.0005096752756427319*I	0.003987909764914169-0.0015558566196064532*I	-0.000998976193084732-0.0002708950396088991*I	-0.004116541855022124+0.0013674317007471822*I
0.0262649968636347+0.07156645860843273*I	-0.04499478225577116+0.04741031781227553*I	-0.12199129847275038-0.10019469970878482*I	-0.004647842026084946-0.2901726445779254*I	0.38917913845029484-0.3779594936295093*I	0.018673652466708088-0.2859041386873579*I	-0.11830389347113139-0.09149774244221878*I	-0.07212573389150911+0.04622369105927687*I	0.01620777675604077+0.05149418305487289*I	0.0375316422467882-0.008149531035681864*I	0.0009236864568643933-0.030426719562472705*I	-0.022650803829365213-0.0013839869655736807*I	-0.006511186430633588+0.020190177655322772*I	0.013989355539786011+0.005039682252214453*I	0.008444122339137432-0.013987845609738994*I	-0.008140203938552543-0.006510905699970051*I	-0.008714717853184199+0.009854285654265507*I	0.003932385106968124+0.007032501913221799*I	0.00812186502539022-0.00692969061078526*I	-0.0007843857671665118-0.007097810099784699*I	-0.006975583394093173+0.004792185098876504*I	-0.0015467388924914308+0.006958967086189484*I	0.0054717833439836255-0.0031947913540978615*I	0.0031840447202483068-0.006772406785975778*I	-0.003779200406592464+0.0019442200797859723*I	-0.004274228760149825+0.006602865132849042*I	0.0019108941720565103-0.0009225111821928643*I	0.004787941951169726-0.006513443760452969*I
0.0551578810572263-0.014579772535232712*I	0.023329518605918077+0.0283031924062006*I	-0.08009938677172004+0.04862483260944309*I	-0.12769562349194927-0.07115568787761069*I	0.01867365246670631-0.28590413868735925*I	0.3985708684711099-0.3983015481941194*I	0.0033258108541252664-0.29257378612809226*I	-0.12911304032262552-0.0770037090601119*I	-0.06262102106620566+0.05384055931182686*I	0.02718868332050154+0.04113973904595862*I	0.032507077227861114-0.01596375950080933*I	-0.00944666468835091-0.023073088546911882*I	-0.021115248976162022+0.0062541970493807586*I	0.002739797319940449+0.015051166221433761*I	0.015181290554238926-0.002242399809406733*I	0.0006770121676277272-0.010487768910347793*I	-0.011415456505618995+0.0003628544724863501*I	-0.0026872818261058596+0.007564342771323087*I	0.008720327058137873+0.0005190581527669629*I	0.004005323170368717-0.005562258910037943*I	-0.006571303911419436-0.0008552613789387251*I	-0.004898567801233919+0.004158839661464668*I	0.0047195995734504725+0.0008657772289831378*I	0.005471783343982962-0.0031947913540986764*I	-0.003082293745694085-0.0006792169287702165*I	-0.005856215999450584+0.0025775655171986667*I	0.0015126893841050167+0.00036031641200452046*I	0.006027436027079292-0.0022899428829400627*I
-0.0029354782577157663-0.04326326620223121*I	0.020053276541278975-0.013365257738064908*I	0.017625193586721263+0.057342204237373295*I	-0.056777892278926156+0.05289333850000689*I	-0.11830389347113185-0.09149774244222267*I	0.003325810854124887-0.2925737861280945*I	0.38776172161961625-0.38380751481201286*I	0.012830523679429209-0.2849569178755429*I	-0.11813213375816381-0.08735815306902664*I	-0.06764558608513181+0.046026330846700284*I	0.016818332175286613+0.04849337006152254*I	0.034042632081064464-0.008325575485850388*I	-0.00019568093777624484-0.02821209998079669*I	-0.0199233139617078-0.0010278850122380214*I	-0.005027312851568063+0.018551242920825394*I	0.011906037987172938+0.004631360363049549*I	0.006704448194705997-0.012777711793289265*I	-0.006627514554449179-0.006150589287966247*I	-0.006803823681126969+0.00893177447207254*I	0.0029334089138854345+0.006761606873613475*I	0.0060823387632284445-0.006195604347450871*I	-0.0003049654454769705-0.006948451236146586*I	-0.004898567801234225+0.004158839661462788*I	-0.0015467388924923719+0.006958967086187847*I	0.0033947677511235604-0.002561445916687214*I	0.0027046243985594846-0.0069217656496162894*I	-0.0017396741444282817+0.0012101338164501897*I	-0.0032752525670646116+0.006873760172456856*I
-0.03510460451594806+0.0012145147971681209*I	-0.008639803276913787-0.014224254371058905*I	0.04337477103407156-0.009096751847502313*I	0.027016923607537748+0.03700014967276044*I	-0.07212573389150806+0.046223691059272556*I	-0.12911304032262536-0.07700370906011403*I	0.012830523679429376-0.284956917875543*I	0.39874262818407846-0.3941619588209269*I	0.007805958660503081-0.2927711463406689*I	-0.12850248490337948-0.08000452205346112*I	-0.06611003123192968+0.053664514861661974*I	0.026069315925860488+0.04335435862764055*I	0.03523456709551911-0.015607657547467303*I	-0.007962791109283317-0.02471202328140452*I	-0.023198566528772432+0.005845875160218078*I	0.001000123175510807+0.01626130003788398*I	0.016693979938342818-0.0018820833974021699*I	0.0025879063396851746-0.011410280092538154*I	-0.012414432698701038+0.00009195943288217385*I	-0.004726808088266947+0.00829842903466114*I	0.00919974737982746+0.0006684170164064795*I	0.006082338763227164-0.00619560434745233*I	-0.006571303911420815-0.0008552613789415439*I	-0.006975583394094473+0.004792185098874649*I	0.00424017925176042+0.0007164183653421025*I	0.007511309606145116-0.003928877617435582*I	-0.0020833175526107197-0.0004083218891640256*I	-0.007767110171507869+0.003500076699390151*I
-0.0057043250191994264+0.029039011831172107*I	-0.011783110023157793+0.005483020687730227*I	0.0007519267438998001-0.03456630893567202*I	0.02802692942148632-0.015766399288236022*I	0.016207776756040997+0.05149418305487137*I	-0.0626210210662056+0.05384055931182723*I	-0.11813213375816328-0.08735815306902502*I	0.007805958660503957-0.2927711463406681*I	0.38837227703886223-0.3868083278053619*I	0.009341513513703156-0.2851329623257084*I	-0.11925150115280779-0.08514353348734424*I	-0.06491809621747614+0.04638243280004355*I	0.01830220575435333+0.0468544353270306*I	0.031959314528454345-0.008733897375013249*I	-0.001935355082205116-0.027001966164346757*I	-0.018410624577603372-0.0006675686002333526*I	-0.0031164186795104225+0.017628731738635318*I	0.01090706179409115+0.004360465323445751*I	0.004664921932545669-0.012043625529950114*I	-0.006148094232758735-0.006001230424324464*I	-0.004726808088268629+0.008298429034660904*I	0.0029334089138824274+0.006761606873612702*I	0.004005323170365619-0.005562258910039777*I	-0.0007843857671684997-0.007097810099786559*I	-0.0028590415390723437+0.003424753398127582*I	-0.0005477626994089393+0.007229862125795972*I	0.001483873579065839-0.0016389347344944048*I	0.0011919350144537634-0.0072820820616203465*I
0.02332149449278986+0.004268505890562012*I	0.003687405001614095+0.008696957266559018*I	-0.02713095163574281-0.0011866267530031885*I	-0.01005722010759759-0.02007227555356066*I	0.0375316422467869-0.00814953103568077*I	0.027188683320501134+0.04113973904596089*I	-0.06764558608513181+0.04602633084670234*I	-0.1285024849033795-0.08000452205346081*I	0.009341513513703062-0.2851329623257087*I	0.3976232607894324-0.39194733923924685*I	0.010533448528155569-0.29241504438732924*I	-0.1270186113243151-0.08164345678795716*I	-0.06819334878454127+0.0532561929724947*I	0.024329641781429736+0.04456449244408645*I	0.03674725647962075-0.01524734113546506*I	-0.006051896937228393-0.025634534463595093*I	-0.02419754272185596+0.005574980120614201*I	-0.0010394030866502516+0.01699538630122174*I	0.017173400260033545-0.0017327245337628223*I	0.004664921932544799-0.012043625529951293*I	-0.01241443269870254+0.00009195943288189888*I	-0.00680382368112945+0.008931774472073564*I	0.008720327058134763+0.0005190581527670506*I	0.008121865025388074-0.006929690610787662*I	-0.005572327718336479-0.0005843663393327498*I	-0.00888647756614986+0.005714696281069597*I	0.0027274898676565382+0.0003561019533407025*I	0.00925098375057387-0.005139011433883924*I
