0.5157482179150233-0.2832208280622142*I	0.09200957395318922-0.3255940470120654*I	-0.13110284829264424-0.141468442753451*I	-0.104992714675208+0.04683498752210595*I	0.014425727002012915+0.07738814541571894*I	0.0554724738519051-0.0005672177124495202*I	0.006741721518658246-0.04503910335799489*I	-0.03259862232034705-0.011742893876130919*I	-0.013156155486408427+0.027621719167975588*I	0.01900671662273102+0.015925822139026893*I	0.014543846825149613-0.016283663037286514*I	-0.010047486111693952-0.016737766103193406*I	-0.013678827298152644+0.00826687624657572*I	0.0039532512396060985+0.01582866397728143*I	0.011717905832297001-0.0024083477557340586*I	0.00012782514950358104-0.013945763340477764*I	-0.00926359751966943-0.0018721897403578699*I	-0.002675736369766329+0.011490553544933769*I	0.006705743458810001+0.004878833657268284*I	0.004037434491579773-0.008756204934653747*I	-0.004296968343759398-0.006840218120387549*I	-0.004483301493271807+0.005928209992492978*I	0.0022109633972646828+0.007909347675368402*I	0.004243408445989917-0.0031509487135609965*I	-0.0005775530716862457-0.008198145719117289*I	-0.003557042839935285+0.0005644713193619094*I	-0.0005574500704559539+0.007834350547096683*I	0.0026273742275014465+0.0017380523658178792*I	0.0011932241339878207-0.006924328816834599*I	-0.0016306860969847225-0.0036737313975496034*I	-0.0013614259543386878+0.0055778933895228025*I	0.0007280463757469154+0.0051804346026730055*I	0.0011330047887459615-0.0039030683591357827*I	-0.00006423281398050971-0.0062129604172883*I	-0.0006432856064681662+0.00200437200845226*I	-0.000299587819441259+0.006733147982282049*I
0.09200957395318926-0.3255940470120658*I	0.38464536962238066-0.4246892708156654*I	-0.012983140722016142-0.2787590594899593*I	-0.11667712129062839-0.06408029733773216*I	-0.04952024082330137+0.04626776980965567*I	0.021167448520670987+0.03234904205772251*I	0.02287385153155754-0.012310111588582114*I	-0.006414433967749676-0.017417384190020358*I	-0.013591905697614613+0.004182928262895563*I	0.001387691338742488+0.011338056130688839*I	0.008959230511037733-0.0008119439641671089*I	0.0008650195269976588-0.008016786790712067*I	-0.006094234872086507-0.0009091021259138377*I	-0.0019609214658538785+0.00585852849083978*I	0.004081076389111117+0.0018829006368024153*I	0.002454308312628567-0.00428053749609262*I	-0.002547911220261563-0.00245520979554498*I	-0.002557854060857577+0.003006643916908417*I	0.0013616981218155762+0.0027343486102773774*I	0.0024087751150522543-0.0019613844631214154*I	-0.0004458670016911562-0.0028279949421618333*I	-0.0020860049464942625+0.0010691295549802007*I	-0.00023989304728164299+0.002777261278930744*I	0.001633410325578245-0.0002887980437508739*I	0.000686365606053716-0.002586477394201258*I	-0.0011350031421434557-0.00036379517202267717*I	-0.0009296686124345662+0.0023025236851775955*I	0.0006357740635322025+0.0009100217302598402*I	0.0009966881305177291-0.0019356790317332077*I	-0.0001682018203501809-0.0013464354273119781*I	-0.0009026397212381693+0.0015067032051237867*I	-0.00022842116559407328+0.0016748250303866463*I	0.000663813561764673-0.0010325258146167897*I	0.000489719182276289-0.001898696350685088*I	-0.0003638206334227577+0.0005201875649931315*I	-0.0006432856064686278+0.0020043720084523663*I
-0.131102848292644-0.14146844275345197*I	-0.012983140722016224-0.27875905948996005*I	0.3990710966243978-0.34730112539994606*I	0.04248933312989289-0.2793262772024089*I	-0.10993539977196946-0.10911940069572892*I	-0.08211886314365006+0.03452487593352166*I	0.008011293034261928+0.05997076122569552*I	0.04188056815429056+0.0036157105504434277*I	0.008129412857403085-0.03370104722730759*I	-0.023639391809306735-0.012554837840298854*I	-0.012291135959409758+0.019604932377262702*I	0.012912481750644746+0.015016720013111459*I	0.012582925359297293-0.01042513454644964*I	-0.005966409722579579-0.014854865466394748*I	-0.011224518985520822+0.003986338750479958*I	0.001405340019346374+0.013373454181734964*I	0.00916005177144055+0.0005982961611736024*I	0.001489523271321237-0.011211414730202462*I	-0.006854822404613773-0.0038335742034834013*I	-0.0031216033714540625+0.008662558602767401*I	0.00461973851231794+0.0059479632122455715*I	0.0037975414442992413-0.005978943655724316*I	-0.0026635580181803135-0.007129016164139936*I	-0.003796935887217498+0.0033417325982889137*I	0.0010759602551208458+0.00754555250334231*I	0.00331373983355378-0.000848425028386496*I	0.00005822099184428097-0.007288123988860485*I	-0.002560354709417944-0.0013712077123747676*I	-0.0007256518908050192+0.0064879151197817*I	0.0017247345062646425+0.0032447555709406804*I	0.000964802968393827-0.005249503786447103*I	-0.0009668725352217974-0.004706257212165945*I	-0.0008717067720653156+0.003679197038836154*I	0.00036422574232114523+0.005700622167663595*I	0.0004897191822749973-0.0018986963506847615*I	-0.0000642328139818978-0.006212960417288108*I
-0.1049927146752072+0.04683498752210501*I	-0.1166771212906281-0.06408029733773318*I	0.042489333129892635-0.2793262772024096*I	0.40581281814305725-0.3923402287579424*I	0.009890710809543533-0.2910691710785429*I	-0.12309155525838038-0.08149768152775595*I	-0.06311214652091802+0.05045069807254718*I	0.022555139859415464+0.043687098188407984*I	0.0318330820425999-0.013122055552751508*I	-0.005549414440749117-0.025434170980734208*I	-0.019686140569701513+0.0032738261369797384*I	-0.0005732301271121321+0.017196584621525544*I	0.01304030690015118+0.0010709566726306863*I	0.003319327839631199-0.01229732428680992*I	-0.00864214609234382-0.0033643119214625213*I	-0.004518775526709849+0.00886517240774696*I	0.005442774510927214+0.00461724924707918*I	0.004863083427682773-0.0062419219592168155*I	-0.002993778221949082-0.005283204737712095*I	-0.0046438590073484024+0.00407577347188339*I	0.0011218050745358205+0.005511609889205102*I	0.004042185440631338-0.002250182506873884*I	0.00024049860436337883-0.005414472336365504*I	-0.0032210080886370413+0.0007053343829537258*I	-0.0011695616597165019+0.0050797849641045474*I	0.002269184389109257+0.000621223686506091*I	0.0016830537365706748-0.004522156425937042*I	-0.0013032049624929687-0.0017102305993372026*I	-0.001832308333671299+0.0038092268903002183*I	0.0004073528979385011+0.0025848467606477544*I	0.001660501692280501-0.002968204846347864*I	0.0003215173619223367-0.0032451317779968935*I	-0.0012664603546651623+0.0020268907701147315*I	-0.0008717067720662007+0.0036791970388371322*I	0.0006638135617623741-0.001032525814616272*I	0.0011330047887438096-0.0039030683591358677*I
0.01442572700201421+0.07738814541571797*I	-0.049520240823300685+0.046267769809654566*I	-0.10993539977197028-0.10911940069572962*I	0.009890710809542473-0.2910691710785426*I	0.3926566626566461-0.3647185095899682*I	0.028897427432275302-0.27514334893951614*I	-0.10854770843322623-0.09778134456504266*I	-0.07315963263260733+0.033712931969352426*I	0.008876312561264478+0.05195397443498115*I	0.035786333282204895+0.0027066084245269827*I	0.006168491391546934-0.027842518736470603*I	-0.01955831542019672-0.010671937203499564*I	-0.009836827646778798+0.015324394881166643*I	0.010364570530387203+0.012561510217563496*I	0.010025071298441999-0.0074184906295427094*I	-0.004604711600764463-0.01212051685611743*I	-0.008815743870470003+0.0020249542873584806*I	0.0009594730176547377+0.010545459239571701*I	0.007074046824946831+0.0016674257161512292*I	0.0012496302240400426-0.008434153451274167*I	-0.005221412079035778-0.004122372247235925*I	-0.002435237765401029+0.006076081208564816*I	0.003484735370173755+0.005584168040221342*I	0.0028678728318640404-0.0036764199705483407*I	-0.0020277839546483994-0.006218994433881249*I	-0.0028002477566991747+0.0014060535665553668*I	0.0009077584347721811+0.00619911707603121*I	0.0024111001123169893+0.0006582781767399119*I	-0.00017020017375015705-0.005613298958469758*I	-0.0018965411476560869-0.0024037335269877906*I	-0.00023593270853304802+0.004589218769098121*I	0.0013609138728379185+0.00376494313593325*I	0.00032151736192288706-0.0032451317779950066*I	-0.0009668725352223452-0.004706257212164115*I	-0.0002284211655961375+0.0016748250303867422*I	0.0007280463757449276+0.005180434602672144*I
0.055472473851906616-0.000567217712450412*I	0.021167448520672188+0.03234904205772129*I	-0.08211886314365056+0.03452487593352083*I	-0.12309155525838175-0.08149768152775638*I	0.028897427432274005-0.2751433489395164*I	0.4072005094818003-0.3810021726272548*I	0.018849941320586986-0.29188111504271064*I	-0.12222653573137568-0.0895144683184694*I	-0.06920638139300123+0.04954159594663086*I	0.02059421839356086+0.04954562667924507*I	0.03591415843170974-0.011239154915951345*I	-0.0030951061281192867-0.029714708476828326*I	-0.022234051789959887+0.0008186163414340127*I	-0.0031310841879673905+0.0202032285384339*I	0.014402005021966483+0.0038053052829082838*I	0.0057281029546812435-0.014258708749931227*I	-0.009088013094037528-0.006192306863624425*I	-0.0066047804732060796+0.009934301962727049*I	0.005202881463644222+0.007394510526009421*I	0.006496493753260015-0.006530720002969138*I	-0.002307412615896467-0.007869682131915383*I	-0.005778862149493666+0.003711978299859527*I	0.00019213646209848315+0.00781413357438322*I	0.004677959504160669-0.0013401607766127738*I	0.0012371867348796885-0.007350151368098108*I	-0.003389209908986544-0.0006411010443577021*I	-0.0020722013809532707+0.006586488169231128*I	0.0020407632235148907+0.00229604871689835*I	0.002346867298332114-0.0055546822405483165*I	-0.0008134857802217179-0.003608926950020323*I	-0.002196128967098341+0.004329414455292125*I	-0.00023593270853170654+0.004589218769099538*I	0.0016605016922817703-0.0029682048463454164*I	0.0009648029683938817-0.005249503786445747*I	-0.0009026397212391853+0.0015067032051228474*I	-0.0013614259543396773+0.0055778933895211285*I
0.006741721518659386-0.04503910335799592*I	0.02287385153155862-0.012310111588583826*I	0.00801129303426219+0.05997076122569363*I	-0.06311214652091812+0.05045069807254566*I	-0.10854770843322636-0.09778134456504327*I	0.018849941320587264-0.29188111504271047*I	0.3935216821836523-0.37273529638068104*I	0.022803192560193582-0.276052451065432*I	-0.11050862989907942-0.09192281607420542*I	-0.06907855624349615+0.03559583260615319*I	0.011330620873895688+0.04767343693888831*I	0.033238422061948374+0.000251398628982699*I	0.003610637330693708-0.024835874819561544*I	-0.018196617298379895-0.007937588593222258*I	-0.007428052531728117+0.013363010418044422*I	0.00991870352869362+0.009733515275400752*I	0.00793906635194606-0.006349361074562996*I	-0.004844604648046593-0.009343255577187334*I	-0.007182333544891286+0.001736156243605407*I	0.0016458386237093172+0.007958981845366458*I	0.0059390436828036285+0.001303630544124921*I	0.00031996161160404856-0.006131629766097249*I	-0.004585638015506895-0.003212350516973975*I	-0.0014385496348872796+0.004140402176833607*I	0.003316533549820625+0.004237732612909294*I	0.001965233110624363-0.0021697167654252097*I	-0.002256205120243901-0.004544169403493426*I	-0.002136434194937521+0.00037352775194095966*I	0.0013974776170438661+0.0043004207253464904*I	0.0020472794788900387+0.0011784657417303055*I	-0.0008134857802202778-0.003608926950020104*I	-0.0018965411476542726-0.002403733526987176*I	0.0004073528979392909+0.0025848467606483573*I	0.0017247345062642574+0.003244755570940225*I	-0.00016820182035089833-0.0013464354273137814*I	-0.0016306860969851262-0.003673731397551371*I
-0.032598622320346556-0.011742893876131965*I	-0.006414433967749326-0.017417384190022298*I	0.04188056815429067+0.003615710550440888*I	0.022555139859416047+0.04368709818840581*I	-0.073159632632606+0.03371293196935157*I	-0.12222653573137464-0.08951446831846889*I	0.02280319256019396-0.27605245106543097*I	0.4052395880159476-0.375143644136417*I	0.022931017709697375-0.2899982144059099*I	-0.1197722274187456-0.09379500581456163*I	-0.07175429261325765+0.04708638615108825*I	0.018036364332709286+0.052552270596155505*I	0.03727585655352878-0.008504806305674425*I	-0.0006863310130672075-0.03167609293995251*I	-0.02267991879165314-0.00200937860073067*I	-0.005217089134463281+0.021272358093412852*I	0.014162111974685008+0.006582566561838514*I	0.007361513280261386-0.014547506793684334*I	-0.008401647487981062-0.008778784257830597*I	-0.007739783615347035+0.009570506790698914*I	0.004273212851210968+0.00969703421118423*I	0.0071322678167918705-0.005620698272708523*I	-0.0013107244853805152-0.009805361163646458*I	-0.005947063969846399+0.002365542872548567*I	-0.0007105032591423595+0.009320836779506682*I	0.004449538338563943+0.0003346642537732457*I	0.001901000296641382-0.008382677182716092*I	-0.0028994907267138235-0.0025397973950460205*I	-0.002436022014379541+0.007106675734219161*I	0.0013974776170444492+0.004300420725346708*I	0.0023468672983334034-0.005554682240548683*I	-0.00017020017374920344-0.0056132989584709225*I	-0.0018323083336716898+0.003809226890298544*I	-0.0007256518908067107+0.006487915119779887*I	0.0009966881305157184-0.0019356790317348043*I	0.0011932241339865388-0.006924328816835563*I
-0.013156155486408297+0.027621719167975126*I	-0.013591905697615201+0.004182928262894294*I	0.008129412857401843-0.03370104722730971*I	0.03183308204259954-0.013122055552753342*I	0.008876312561265823+0.05195397443498081*I	-0.0692063813929998+0.04954159594663232*I	-0.11050862989907971-0.09192281607420327*I	0.022931017709695918-0.2899982144059084*I	0.39597599049627946-0.37701583387677334*I	0.020255281339934234-0.2785076608609748*I	-0.11306648395993302-0.08891617215729385*I	-0.06771685812167841+0.03833018121643171*I	0.013739395988946817+0.04571205247576428*I	0.0327925550602542-0.0025765963131836956*I	0.0015246323841970103-0.023766745264584388*I	-0.018436510345662047-0.005160327314291953*I	-0.005794642206148687+0.013074212374293206*I	0.010605069134749229+0.00714703788119669*I	0.006804063209804198-0.006713156246589944*I	-0.005774273260480442-0.007040731892012095*I	-0.006546559481359176+0.0026461779738662173*I	0.0026425267542267367+0.006023302813635522*I	0.0057708418624534095-0.00004280488318572683*I	-0.0005826781096340158-0.004624926560972649*I	-0.004814059181101167-0.0015375254865855842*I	-0.0007747360731232832+0.0031078763622184704*I	0.0038062527320958392+0.002339036262222882*I	0.0016014124772001004-0.001649529200436707*I	-0.002899490726714261-0.002539797395045053*I	-0.0021364341949383202+0.0003735277519413759*I	0.002040763223514142+0.002296048716897513*I	0.0024111001123165937+0.0006582781767383233*I	-0.0013032049624936866-0.0017102305993386333*I	-0.0025603547094201896-0.001371207712375616*I	0.0006357740635285178+0.0009100217302594731*I	0.002627374227498446+0.0017380523658177547*I
0.01900671662273164+0.015925822139026893*I	0.0013876913387420003+0.011338056130688601*I	-0.02363939180930882-0.012554837840299374*I	-0.0055494144407507336-0.025434170980734583*I	0.035786333282205283+0.002706608424527312*I	0.02059421839356179+0.04954562667924655*I	-0.06907855624349742+0.03559583260615534*I	-0.11977222741874893-0.09379500581455968*I	0.02025528133993177-0.2785076608609739*I	0.4026817339550918-0.3721370002195062*I	0.024292715831513198-0.2872638657956313*I	-0.11736345230369659-0.09575639027768441*I	-0.07220015961495461+0.04425839120892286*I	0.01595035938620991+0.05362140015113222*I	0.03703596350624515-0.0057275450267451605*I	0.0009470793125116883-0.03196489098370356*I	-0.021993553185598435-0.004595855994932865*I	-0.006352092276607065+0.02090856292138821*I	0.013232443362248682+0.00888509024701532*I	0.007997287343791062-0.013637485063422473*I	-0.00740495935746579-0.010714463289560302*I	-0.007907985435698792+0.00822407136338931*I	0.0033705731299726073+0.011203737416309062*I	0.00690384665119886-0.003945873242320046*I	-0.0006469109236141742-0.010837886978259884*I	-0.0054573447875684205+0.0004668465218660859*I	-0.0010743238925639469+0.009841024344499629*I	0.003806252732095309+0.00233903626222449*I	0.0019010002966400078-0.008382677182714349*I	-0.002256205120246664-0.004544169403493508*I	-0.0020722013809563035+0.006586488169229711*I	0.0009077584347708052+0.006199117076030753*I	0.001683053736570721-0.004522156425935523*I	0.00005822099184317723-0.007288123988858476*I	-0.0009296686124380957+0.0023025236851783623*I	-0.000557450070459454+0.007834350547096424*I
