0.-0.8487770802743585*I	-0.49995767649768935+0.*I	0.+0.1697631673923302*I	0.0000166163008856448+0.*I	0.+0.02424929754755588*I	0.000012170887373451927+0.*I	0.+0.008076072289500044*I	2.588634978614051*^-6+0.*I	0.+0.0036759726921980983*I	0.000017195589755474966+0.*I	0.+0.001955897093473042*I	-0.000012546313038898946+0.*I	0.+0.0011964677077697064*I	0.000023977022335102034+0.*I	0.+0.0007368381238765806*I	-0.000014077739046719582+0.*I	0.+0.0005258773901883408*I	0.000013938320752969786+0.*I	0.+0.0003507889721473293*I	-2.862687698288466*^-6+0.*I	0.+0.00026098636598708173*I	3.405566148562559*^-6+0.*I	0.+0.00018753636858817257*I	1.3530933889463416*^-6+0.*I	0.+0.000137561260013517*I	1.1936268211236792*^-6+0.*I	0.+0.00009922168094178231*I	9.38285937438166*^-7+0.*I	0.+0.00006877358598214939*I	6.552138184273459*^-7+0.*I	0.+0.00004338921497805003*I	3.882819021008892*^-7+0.*I	0.+0.00002099694653307726*I	1.2791255664333623*^-7+0.*I
0.+0.0011964677077698517*I	0.000011430709294237565+0.*I	0.+0.0038892029251023142*I	0.000014548559993256578+0.*I	0.+0.008091053007515055*I	0.00003107551576713418+0.*I	0.+0.0165179142691373*I	0.00004038371541416882+0.*I	0.+0.041028198182688734*I	0.00006040558247033708+0.*I	0.+0.21097890194364174*I	-0.49989591782181686+0.*I	0.-0.6376606170707021*I	-0.4998947241950202+0.*I	0.+0.2112156848845924*I	0.00006389058858364404+0.*I	0.+0.04152129107818926*I	0.00004792950156055957+0.*I	0.+0.017315382745648325*I	0.00003614689603844352+0.*I	0.+0.009260307402679554*I	0.00003368617366257514+0.*I	0.+0.005584334710463337*I	0.000016362671281386045+0.*I	0.+0.003607440670444113*I	0.00002852070248984916+0.*I	0.+0.002367583747710245*I	3.888466276741136*^-6+0.*I	0.+0.0015619720378386996*I	0.00001702791940704576+0.*I	0.+0.0009368729667252481*I	1.8959718194018152*^-6+0.*I	0.+0.00044852273457729404*I	3.4055661644801513*^-6+0.*I
0.000023977022340059643+0.*I	0.+0.0019333058316484478*I	-2.647029745288552*^-6+0.*I	0.+0.00441508031529799*I	0.00002848688073952276+0.*I	0.+0.008441841979644274*I	0.000028212828051963715+0.*I	0.+0.016778900635157135*I	0.000043789281589521086+0.*I	0.+0.04121573455128851*I	0.00006175867586499326+0.*I	0.+0.2111164632036453*I	-0.4998947241950355+0.*I	0.-0.6375613953897643*I	-0.49989378590907607+0.*I	0.+0.21128445847055033*I	0.00006454580240767337+0.*I	0.+0.04156468029316964*I	0.00004831778344555884+0.*I	0.+0.017336379692202062*I	0.00003627480860866137+0.*I	0.+0.009260307402675333*I	0.00003355826107961447+0.*I	0.+0.005563337763968875*I	0.00001597438941571157+0.*I	0.+0.0035640514554463073*I	0.000027865488633907057+0.*I	0.+0.0022988101617380115*I	2.9501803612119924*^-6+0.*I	0.+0.0014627503569097553*I	0.00001583429259219046+0.*I	0.+0.0007993117067207695*I	5.428784471465781*^-7+0.*I	0.+0.0002609863659942927*I
0.+0.0007368381239333214*I	9.899283306437952*^-6+0.*I	0.+0.0024591832217822416*I	0.000011291290995396757+0.*I	0.+0.004765869287456096*I	0.000025624193075297125+0.*I	0.+0.008702828345613232*I	0.00003161839420806608+0.*I	0.+0.01696643700380291*I	0.000045142374974346674+0.*I	0.+0.04135329581127986*I	0.00006295230263864256+0.*I	0.+0.21121568488461503*I	-0.4998937859091065+0.*I	0.-0.6374926218038242*I	-0.49989313069526975+0.*I	0.+0.2113278476855537*I	0.00006493408431945794+0.*I	0.+0.041585677239695966*I	0.00004844569603151836+0.*I	0.+0.017336379692203575*I	0.00003614689604192957+0.*I	0.+0.009239310456135819*I	0.00003316997919071581+0.*I	0.+0.005519948548953974*I	0.000015319175583957157+0.*I	0.+0.0034952778694956528*I	0.0000269272026980915+0.*I	0.+0.00219958848077589*I	1.7565535415690556*^-6+0.*I	0.+0.0013251890969007665*I	0.000014481199223380115+0.*I	0.+0.0006117753381322399*I	-2.8626877246372217*^-6+0.*I
-0.000014077739046992421+0.*I	0.+0.001262715514053689*I	0.000023837604049826457+0.*I	0.+0.002809972193976479*I	8.428603275010846*^-6+0.*I	0.+0.00502685565342301*I	0.00002902975921229566+0.*I	0.+0.008890364714258206*I	0.0000329714875914396+0.*I	0.+0.017103998263772173*I	0.00004633600177771559+0.*I	0.+0.04145251749222619*I	0.00006389058858228884+0.*I	0.+0.21128445847055838*I	-0.4998931306952443+0.*I	0.-0.6374492325888307*I	-0.49989274241336473+0.*I	0.+0.21134884463207895*I	0.00006506199688321963+0.*I	0.+0.04158567723973529*I	0.00004831778342466519+0.*I	0.+0.01731538274566586*I	0.000035758614175344675+0.*I	0.+0.009195921241146378*I	0.000032514765353462593+0.*I	0.+0.005451174962954822*I	0.000014380889660803584+0.*I	0.+0.003396056188592083*I	0.000025733575877956652+0.*I	0.+0.002062027220777085*I	4.0346017008857156*^-7+0.*I	0.+0.0011376527283257255*I	0.000011075633057464262+0.*I	0.+0.00035078897214046355*I
0.+0.000525877390178775*I	-1.3941831292736092*^-7+0.*I	0.+0.001613504486185077*I	0.000020974916348863992+0.*I	0.+0.003070958559958935*I	0.000011834169458472108+0.*I	0.+0.005214392022031052*I	0.000030382852604941+0.*I	0.+0.009027925974282976*I	0.000034165114426308756+0.*I	0.+0.017203219944688226*I	0.00004727428770018071+0.*I	0.+0.041521291078180034*I	0.00006454580242593044+0.*I	0.+0.2113278476855387*I	-0.49989274241336906+0.*I	0.-0.6374282356422768*I	-0.49989261450081823+0.*I	0.+0.2113488446321072*I	0.00006493408431532208+0.*I	0.+0.041564680293175844*I	0.0000479295015393135+0.*I	0.+0.01727199353065772*I	0.00003510340035809583+0.*I	0.+0.009127147655198843*I	0.00003157647941273141+0.*I	0.+0.0053519532820220745*I	0.000013187262839966257+0.*I	0.+0.0032584949285547706*I	0.000024380482492046147+0.*I	0.+0.0018744908521885289*I	-3.0021059843501305*^-6+0.*I	0.+0.0008766663623152802*I	0.000013938320742039388+0.*I
0.000013938320763358733+0.*I	0.+0.0008766663623100546*I	-3.0021060022743777*^-6+0.*I	0.+0.001874490852184303*I	0.00002438048249865383+0.*I	0.+0.0032584949285549606*I	0.00001318726283278499+0.*I	0.+0.00535195328204426*I	0.00003157647943143304+0.*I	0.+0.009127147655188622*I	0.0000351034003232387+0.*I	0.+0.017271993530664522*I	0.000047929501546812235+0.*I	0.+0.0415646802931969*I	0.00006493408432627094+0.*I	0.+0.21134884463209652*I	-0.4998926145008109+0.*I	0.-0.637428235642267*I	-0.4998927424133719+0.*I	0.+0.2113278476855154*I	0.00006454580242667259+0.*I	0.+0.041521291078188326*I	0.000047274287701972185+0.*I	0.+0.01720321994468441*I	0.00003416511442071084+0.*I	0.+0.009027925974250967*I	0.000030382852598451683+0.*I	0.+0.005214392022042651*I	0.00001183416945225713+0.*I	0.+0.00307095855995108*I	0.00002097491634995985+0.*I	0.+0.0016135044861946386*I	-1.3941828827149523*^-7+0.*I	0.+0.0005258773901987433*I
0.+0.00035078897211099954*I	0.00001107563305602405+0.*I	0.+0.0011376527282983629*I	4.0346014892341366*^-7+0.*I	0.+0.0020620272207911134*I	0.00002573357588413464+0.*I	0.+0.0033960561885739014*I	0.000014380889657249743+0.*I	0.+0.005451174962962471*I	0.0000325147653580914+0.*I	0.+0.009195921241150767*I	0.00003575861417187218+0.*I	0.+0.017315382745675605*I	0.00004831778343537291+0.*I	0.+0.04158567723970727*I	0.0000650619968867755+0.*I	0.+0.21134884463207237*I	-0.49989274241338993+0.*I	0.-0.6374492325888321*I	-0.4998931306952667+0.*I	0.+0.2112844584705488*I	0.0000638905885909173+0.*I	0.+0.041452517492244406*I	0.0000463360018161456+0.*I	0.+0.01710399826375851*I	0.00003297148757579047+0.*I	0.+0.008890364714253581*I	0.000029029759229449813+0.*I	0.+0.005026855653426835*I	8.42860327095921*^-6+0.*I	0.+0.0028099721939846686*I	0.000023837604077321702+0.*I	0.+0.0012627155140409944*I	-0.000014077739057454498+0.*I
-2.8626876914277297*^-6+0.*I	0.+0.0006117753381423653*I	0.000014481199197243768+0.*I	0.+0.001325189096931738*I	1.756553586028541*^-6+0.*I	0.+0.0021995884807657477*I	0.00002692720266363031+0.*I	0.+0.0034952778694947975*I	0.000015319175613177517+0.*I	0.+0.005519948548935894*I	0.000033169979175270184+0.*I	0.+0.009239310456170246*I	0.00003614689605720637+0.*I	0.+0.01733637969219642*I	0.00004844569600028438+0.*I	0.+0.04158567723973305*I	0.00006493408432161299+0.*I	0.+0.21132784768550114*I	-0.49989313069528046+0.*I	0.-0.6374926218037988*I	-0.4998937859090821+0.*I	0.+0.2112156848845607*I	0.00006295230264658983+0.*I	0.+0.04135329581130687*I	0.00004514237497735806+0.*I	0.+0.01696643700375427*I	0.00003161839418963173+0.*I	0.+0.008702828345647094*I	0.000025624193070275944+0.*I	0.+0.004765869287440782*I	0.000011291291012671628+0.*I	0.+0.002459183221817845*I	9.899283300033162*^-6+0.*I	0.+0.0007368381238781988*I
0.+0.00026098636595452704*I	5.428784653999809*^-7+0.*I	0.+0.0007993117067628061*I	0.00001583429260080946+0.*I	0.+0.0014627503568820385*I	2.950180343868158*^-6+0.*I	0.+0.0022988101617765428*I	0.000027865488633891458+0.*I	0.+0.003564051455410892*I	0.00001597438940721805+0.*I	0.+0.005563337763972358*I	0.00003355826107512347+0.*I	0.+0.009260307402651161*I	0.00003627480861782707+0.*I	0.+0.017336379692211284*I	0.00004831778344298619+0.*I	0.+0.041564680293145306*I	0.00006454580241557955+0.*I	0.+0.2112844584705614*I	-0.49989378590909783+0.*I	0.-0.6375613953897813*I	-0.49989472419501185+0.*I	0.+0.2111164632036829*I	0.00006175867585670503+0.*I	0.+0.04121573455127047*I	0.000043789281567834786+0.*I	0.+0.016778900635180744*I	0.000028212828081782337+0.*I	0.+0.008441841979636338*I	0.000028486880749942418+0.*I	0.+0.0044150803153017665*I	-2.6470297480681617*^-6+0.*I	0.+0.0019333058316481728*I	0.000023977022317819756+0.*I
3.4055661627524887*^-6+0.*I	0.+0.000448522734600479*I	1.8959718190231982*^-6+0.*I	0.+0.0009368729667461658*I	0.00001702791943785434+0.*I	0.+0.0015619720378525037*I	3.888466265246249*^-6+0.*I	0.+0.002367583747697367*I	0.000028520702479837746+0.*I	0.+0.0036074406704708012*I	0.00001636267129946563+0.*I	0.+0.005584334710467931*I	0.00003368617365900622+0.*I	0.+0.009260307402681571*I	0.00003614689602165924+0.*I	0.+0.017315382745644932*I	0.00004792950156787035+0.*I	0.+0.041521291078195716*I	0.00006389058858232502+0.*I	0.+0.2112156848846038*I	-0.4998947241950184+0.*I	0.-0.6376606170707318*I	-0.49989591782180975+0.*I	0.+0.2109789019436266*I	0.000060405582444938554+0.*I	0.+0.04102819818267657*I	0.00004038371542120132+0.*I	0.+0.016517914269149368*I	0.000031075515747753014+0.*I	0.+0.008091053007514566*I	0.000014548560005388524+0.*I	0.+0.0038892029251329026*I	0.000011430709304771784+0.*I	0.+0.001196467707747764*I
0.+0.00018753636857118117*I	4.75865953429411*^-6+0.*I	0.+0.0005860839946163685*I	3.089598659300947*^-6+0.*I	0.+0.0010360946476771842*I	0.000017966205334655468+0.*I	0.+0.0016307456238313382*I	4.543680128403412*^-6+0.*I	0.+0.002410972962695802*I	0.000028908984347624226+0.*I	0.+0.003628437616976005*I	0.000016490583852356923+0.*I	0.+0.005584334710463669*I	0.00003355826107017826+0.*I	0.+0.009239310456142964*I	0.00003575861417217877+0.*I	0.+0.017271993530653344*I	0.00004727428771476279+0.*I	0.+0.04145251749224297*I	0.00006295230267235977+0.*I	0.+0.2111164632036396*I	-0.4998959178218207+0.*I	0.-0.6377981783307178*I	-0.49989727091523734+0.*I	0.+0.21079136557503908*I	0.000057000016267136025+0.*I	0.+0.04076721181669116*I	0.0000432464031633076+0.*I	0.+0.01616712529703367*I	0.000017137194975679423+0.*I	0.+0.007565175617326353*I	0.000028626299043870755+0.*I	0.+0.00315236480125541*I	-0.000012546313055581361+0.*I
1.3530933808014625*^-6+0.*I	0.+0.0003250976285872438*I	5.952286338995483*^-6+0.*I	0.+0.0006853056755356453*I	4.0278845905007915*^-6+0.*I	0.+0.0011048682336442604*I	0.000018621419186189663+0.*I	0.+0.0016741348388147163*I	4.9319620008658055*^-6+0.*I	0.+0.002431969909209683*I	0.000029036896903129875+0.*I	0.+0.0036284376169837666*I	0.000016362671325886893+0.*I	0.+0.00556333776394893*I	0.000033169979192670016+0.*I	0.+0.009195921241138045*I	0.00003510340033605327+0.*I	0.+0.017203219944717175*I	0.00004633600177726262+0.*I	0.+0.04135329581130108*I	0.0000617586758505374+0.*I	0.+0.2109789019436526*I	-0.4998972709152288+0.*I	0.-0.6379857146993267*I	-0.4999006764813918+0.*I	0.+0.2105303792090406*I	0.00005986270400048961+0.*I	0.+0.04041642284452777*I	0.000029308082368800367+0.*I	0.+0.015641247906851043*I	0.00003121493403113595+0.*I	0.+0.006828337493479501*I	4.649276726061183*^-6+0.*I	0.+0.001955897093495807*I
0.+0.0001375612600025608*I	2.546720197392005*^-6+0.*I	0.+0.00042431930953226466*I	6.890572291892306*^-6+0.*I	0.+0.0007540792615281021*I	4.683098410907137*^-6+0.*I	0.+0.0011482574486349653*I	0.000019009701079455636+0.*I	0.+0.001695131785345842*I	5.059874556882477*^-6+0.*I	0.+0.0024319699092131674*I	0.000028908984362234138+0.*I	0.+0.003607440670470158*I	0.000015974389400602695+0.*I	0.+0.005519948548917137*I	0.00003251476535190237+0.*I	0.+0.009127147655186367*I	0.000034165114391070064+0.*I	0.+0.017103998263767625*I	0.000045142374999676245+0.*I	0.+0.04121573455129183*I	0.00006040558246251117+0.*I	0.+0.21079136557503222*I	-0.4999006764813968+0.*I	0.-0.6382467010653178*I	-0.4998978137936685+0.*I	0.+0.21017959023692565*I	0.000045924383241080394+0.*I	0.+0.03989054545438182*I	0.00004338582144505297+0.*I	0.+0.014904409782972913*I	7.237911701329556*^-6+0.*I	0.+0.005631869785695309*I	0.000017195589777730018+0.*I
1.1936267843292998*^-6+0.*I	0.+0.00023678294092974574*I	3.485006131520772*^-6+0.*I	0.+0.0004930928955177518*I	7.545786132082089*^-6+0.*I	0.+0.0007974684765050595*I	5.0713803364119884*^-6+0.*I	0.+0.001169254395153164*I	0.000019137613609157967+0.*I	0.+0.0016951317853401452*I	4.93196200264635*^-6+0.*I	0.+0.0024109729626845817*I	0.000028520702468142796+0.*I	0.+0.0035640514554768363*I	0.00001531917559138771+0.*I	0.+0.005451174962955465*I	0.00003157647941916052+0.*I	0.+0.009027925974255115*I	0.00003297148758332156+0.*I	0.+0.016966437003750726*I	0.000043789281589377714+0.*I	0.+0.04102819818271487*I	0.00005700001629325299+0.*I	0.+0.21053037920905252*I	-0.49989781379366915+0.*I	0.-0.6385974900374207*I	-0.49991175211445094+0.*I	0.+0.2096537128467019*I	0.00006000212230579205+0.*I	0.+0.03915370733052858*I	0.000019408799090026853+0.*I	0.+0.013707942075175467*I	0.00001978422473705283+0.*I	0.+0.003675972692222185*I
