0.-0.8487770802743585*I	-0.49995767649768935+0.*I	0.+0.1697631673923302*I	0.0000166163008856448+0.*I	0.+0.02424929754755588*I	0.000012170887373451927+0.*I	0.+0.008076072289500044*I	2.588634978614051*^-6+0.*I	0.+0.0036759726921980983*I	0.000017195589755474966+0.*I	0.+0.001955897093473042*I	-0.000012546313038898946+0.*I	0.+0.0011964677077697064*I	0.000023977022335102034+0.*I	0.+0.0007368381238765806*I	-0.000014077739046719582+0.*I	0.+0.0005258773901883408*I	0.000013938320752969786+0.*I	0.+0.0003507889721473293*I	-2.862687698288466*^-6+0.*I	0.+0.00026098636598708173*I	3.405566148562559*^-6+0.*I	0.+0.00018753636858817257*I	1.3530933889463416*^-6+0.*I	0.+0.000137561260013517*I	1.1936268211236792*^-6+0.*I	0.+0.00009922168094178231*I	9.38285937438166*^-7+0.*I	0.+0.00006877358598214939*I	6.552138184273459*^-7+0.*I	0.+0.00004338921497805003*I	3.882819021008892*^-7+0.*I	0.+0.00002099694653307726*I	1.2791255664333623*^-7+0.*I
-0.49995767649770273+0.*I	0.-0.679013912882004*I	-0.49994106019677204+0.*I	0.+0.19401246493988422*I	0.000028787188259009958+0.*I	0.+0.03232536983702063*I	0.000014759522347366245+0.*I	0.+0.01175204498175651*I	0.000019784224727685827+0.*I	0.+0.005631869785681076*I	4.649276701991279*^-6+0.*I	0.+0.00315236480127946*I	0.00001143070928844657+0.*I	0.+0.0019333058316156064*I	9.89928330336602*^-6+0.*I	0.+0.0012627155140766315*I	-1.3941829161961435*^-7+0.*I	0.+0.0008766663623146747*I	0.00001107563304982802+0.*I	0.+0.0006117753381484536*I	5.42878444587601*^-7+0.*I	0.+0.00044852273458694994*I	4.758659570308045*^-6+0.*I	0.+0.0003250976286193402*I	2.5467201882443682*^-6+0.*I	0.+0.0002367829409261583*I	2.1319127446546387*^-6+0.*I	0.+0.00016799526689408473*I	1.5934997963841173*^-6+0.*I	0.+0.00011216280096923796*I	1.0434957199409715*^-6+0.*I	0.+0.00006438616153399452*I	5.161944468822731*^-7+0.*I	0.+0.000020996946490938847*I
0.+0.16976316739237887*I	-0.49994106019684303+0.*I	0.-0.6547646153345039*I	-0.4999288893093906+0.*I	0.+0.20208853722941048*I	0.00003137582320972385+0.*I	0.+0.036001342529243176*I	0.000031955112148536255+0.*I	0.+0.013707942075191194*I	7.237911679760167*^-6+0.*I	0.+0.006828337493414458*I	0.000028626299072387603+0.*I	0.+0.0038892029251367606*I	-2.647029792687906*^-6+0.*I	0.+0.0024591832218105333*I	0.00002383760407416658+0.*I	0.+0.0016135044861998679*I	-3.002106008847272*^-6+0.*I	0.+0.0011376527283231605*I	0.000014481199229463763+0.*I	0.+0.0007993117067598333*I	1.89597180688546*^-6+0.*I	0.+0.0005860839945796363*I	5.9522863867810975*^-6+0.*I	0.+0.0004243193095497213*I	3.4850061137195275*^-6+0.*I	0.+0.0003055565269018992*I	2.787126595240054*^-6+0.*I	0.+0.00021138448190735452*I	1.981781615969884*^-6+0.*I	0.+0.00013315974748343755*I	1.1714083158417967*^-6+0.*I	0.+0.00006438616152225208*I	3.8828186551378215*^-7+0.*I
0.000016616300870251+0.*I	0.+0.19401246493987848*I	-0.49992888930944646+0.*I	0.-0.6466885430449505*I	-0.49992630067443933+0.*I	0.+0.20576450992160436*I	0.00004857141301334249+0.*I	0.+0.03795723962272387*I	0.00001940879907546404+0.*I	0.+0.0149044097829906*I	0.00003121493405686643+0.*I	0.+0.007565175617343514*I	0.000014548559996067252+0.*I	0.+0.004415080315290448*I	0.000011291290997477312+0.*I	0.+0.0028099721939342202*I	0.000020974916342084574+0.*I	0.+0.0018744908522001916*I	4.03460169812275*^-7+0.*I	0.+0.0013251890969203327*I	0.00001583429258893243+0.*I	0.+0.0009368729667444841*I	3.0895986520161146*^-6+0.*I	0.+0.0006853056755049405*I	6.890572274827869*^-6+0.*I	0.+0.0004930928955188424*I	4.140219974200145*^-6+0.*I	0.+0.0003489457419037358*I	3.175408469559338*^-6+0.*I	0.+0.00023238142842581672*I	2.1096942250997445*^-6+0.*I	0.+0.00013315974748527956*I	1.0434956987364006*^-6+0.*I	0.+0.00004338921502341029*I
0.+0.024249297547570988*I	0.000028787188248430293+0.*I	0.+0.20208853722940337*I	-0.4999263006744218+0.*I	0.-0.6430125703527588*I	-0.4999091050846864+0.*I	0.+0.20772040701506897*I	0.00003602509994396766+0.*I	0.+0.03915370733049196*I	0.00004338582144962024+0.*I	0.+0.015641247906832485*I	0.00001713719499271175+0.*I	0.+0.008091053007506111*I	0.00002848688077281201+0.*I	0.+0.004765869287416732*I	8.428603280778531*^-6+0.*I	0.+0.003070958559978027*I	0.000024380482518814516+0.*I	0.+0.002062027220796003*I	1.7565535439741277*^-6+0.*I	0.+0.0014627503569273645*I	0.000017027919418523694+0.*I	0.+0.0010360946476699387*I	4.0278845686949515*^-6+0.*I	0.+0.0007540792615169198*I	7.54578613003128*^-6+0.*I	0.+0.0005364821104901141*I	4.528501840580615*^-6+0.*I	0.+0.0003699426884140626*I	3.303321005853008*^-6+0.*I	0.+0.00023238142843717063*I	1.98178164914498*^-6+0.*I	0.+0.00011216280095593107*I	6.552138397924984*^-7+0.*I
0.000012170887401318498+0.*I	0.+0.03232536983703711*I	0.000031375823205769316+0.*I	0.+0.2057645099216036*I	-0.49990910508464315+0.*I	0.-0.641056673259282*I	-0.4999216513977659+0.*I	0.+0.20891687472286302*I	0.00006000212233424654+0.*I	0.+0.03989054545436982*I	0.000029308082379879548+0.*I	0.+0.016167125297010754*I	0.000031075515753910604+0.*I	0.+0.008441841979661316*I	0.000025624193057789597+0.*I	0.+0.005026855653410041*I	0.00001183416945040682+0.*I	0.+0.00325849492856117*I	0.00002573357589785473+0.*I	0.+0.0021995884807989676*I	2.9501803546650693*^-6+0.*I	0.+0.0015619720378545975*I	0.000017966205347659128+0.*I	0.+0.0011048682336188896*I	4.683098404507173*^-6+0.*I	0.+0.0007974684765164307*I	7.934068002338143*^-6+0.*I	0.+0.0005574790570324319*I	4.656414422631607*^-6+0.*I	0.+0.00036994268842752224*I	3.175408450738418*^-6+0.*I	0.+0.00021138448190322518*I	1.5934997834211186*^-6+0.*I	0.+0.00006877358599903558*I
0.+0.008076072289511215*I	0.000014759522388398537+0.*I	0.+0.03600134252925804*I	0.00004857141298613097+0.*I	0.+0.20772040701508368*I	-0.49992165139771255+0.*I	0.-0.6398602055515109*I	-0.499897674375398+0.*I	0.+0.20965371284673825*I	0.00004592438324696867+0.*I	0.+0.04041642284457157*I	0.000043246403130445156+0.*I	0.+0.016517914269150225*I	0.00002821282805530688+0.*I	0.+0.008702828345654825*I	0.000029029759216412445+0.*I	0.+0.005214392022034597*I	0.000013187262846463691+0.*I	0.+0.0033960561885623673*I	0.000026927202680285134+0.*I	0.+0.002298810161717603*I	3.888466312975024*^-6+0.*I	0.+0.0016307456238243627*I	0.00001862141916320604+0.*I	0.+0.0011482574486236187*I	5.0713803026409746*^-6+0.*I	0.+0.0008184654230412577*I	8.061980564670317*^-6+0.*I	0.+0.0005574790570347454*I	4.5285018649391816*^-6+0.*I	0.+0.00034894574189897484*I	2.787126568728736*^-6+0.*I	0.+0.00016799526691379976*I	9.382859386263838*^-7+0.*I
2.5886349611563497*^-6+0.*I	0.+0.011752044981701817*I	0.00003195511214995125+0.*I	0.+0.037957239622709214*I	0.000036025099944155485+0.*I	0.+0.20891687472285336*I	-0.4998976743753754+0.*I	0.-0.6391233674276278*I	-0.49991175211443106+0.*I	0.+0.21017959023690028*I	0.000059862704000667844+0.*I	0.+0.040767211816686834*I	0.000040383715420217536+0.*I	0.+0.01677890063517562*I	0.0000316183942104711+0.*I	0.+0.00889036471422642*I	0.000030382852594680344+0.*I	0.+0.005351953282062773*I	0.00001438088966863373+0.*I	0.+0.0034952778694793407*I	0.00002786548862302694+0.*I	0.+0.002367583747696906*I	4.543680142189991*^-6+0.*I	0.+0.0016741348388143288*I	0.000019009701047485573+0.*I	0.+0.0011692543951788799*I	5.199292864554069*^-6+0.*I	0.+0.0008184654230005099*I	7.934068005580948*^-6+0.*I	0.+0.0005364821105167672*I	4.140219967572726*^-6+0.*I	0.+0.0003055565268947644*I	2.131912753253315*^-6+0.*I	0.+0.0000992216809428332*I
0.+0.00367597269219621*I	0.000019784224740515307+0.*I	0.+0.013707942075210443*I	0.00001940879909102701+0.*I	0.+0.03915370733050168*I	0.000060002122304135826+0.*I	0.+0.20965371284675213*I	-0.4999117521144483+0.*I	0.-0.6385974900374616*I	-0.4998978137936955+0.*I	0.+0.21053037920904516*I	0.000057000016287088516+0.*I	0.+0.04102819818269192*I	0.00004378928158679334+0.*I	0.+0.01696643700378019*I	0.00003297148758698128+0.*I	0.+0.009027925974229703*I	0.00003157647942149073+0.*I	0.+0.005451174962966057*I	0.000015319175579501154+0.*I	0.+0.003564051455469129*I	0.00002852070247385966+0.*I	0.+0.0024109729626950395*I	4.931962012435124*^-6+0.*I	0.+0.0016951317853311633*I	0.000019137613635344445+0.*I	0.+0.0011692543951506307*I	5.071380298854236*^-6+0.*I	0.+0.0007974684765180947*I	7.545786153270801*^-6+0.*I	0.+0.0004930928955031291*I	3.4850061208500677*^-6+0.*I	0.+0.0002367829409545769*I	1.1936268092127019*^-6+0.*I
0.000017195589778258322+0.*I	0.+0.005631869785688453*I	7.23791169437364*^-6+0.*I	0.+0.014904409782975157*I	0.000043385821422692546+0.*I	0.+0.03989054545436201*I	0.00004592438325289294+0.*I	0.+0.21017959023688815*I	-0.49989781379366743+0.*I	0.-0.6382467010653095*I	-0.4999006764813975+0.*I	0.+0.21079136557505232*I	0.00006040558244287648+0.*I	0.+0.041215734551293404*I	0.000045142374979697794+0.*I	0.+0.017103998263770077*I	0.000034165114424344+0.*I	0.+0.009127147655194845*I	0.00003251476533097624+0.*I	0.+0.0055199485489206505*I	0.00001597438942633467+0.*I	0.+0.0036074406704733383*I	0.000028908984351526466+0.*I	0.+0.0024319699092012143*I	5.059874575114088*^-6+0.*I	0.+0.0016951317853402298*I	0.000019009701063732336+0.*I	0.+0.0011482574486561157*I	4.683098416382759*^-6+0.*I	0.+0.00075407926151048*I	6.89057228695291*^-6+0.*I	0.+0.00042431930951254763*I	2.5467202077578224*^-6+0.*I	0.+0.00013756126000116314*I
0.+0.001955897093459247*I	4.649276700745727*^-6+0.*I	0.+0.006828337493479444*I	0.0000312149340568846+0.*I	0.+0.015641247906830018*I	0.00002930808235972671+0.*I	0.+0.04041642284457216*I	0.00005986270399067142+0.*I	0.+0.21053037920901244*I	-0.49990067648138364+0.*I	0.-0.6379857146992879*I	-0.4998972709152191+0.*I	0.+0.21097890194362526*I	0.00006175867587086511+0.*I	0.+0.04135329581129246*I	0.0000463360017668854+0.*I	0.+0.017203219944692996*I	0.00003510340035140106+0.*I	0.+0.009195921241166114*I	0.00003316997916305612+0.*I	0.+0.005563337763926244*I	0.000016362671311815765+0.*I	0.+0.003628437616996789*I	0.00002903689691801952+0.*I	0.+0.002431969909191998*I	4.93196202861947*^-6+0.*I	0.+0.0016741348388102095*I	0.00001862141915933232+0.*I	0.+0.0011048682336523353*I	4.027884588285685*^-6+0.*I	0.+0.0006853056755382145*I	5.95228633296572*^-6+0.*I	0.+0.0003250976285954497*I	1.3530933920545324*^-6+0.*I
-0.000012546313058890143+0.*I	0.+0.0031523648012545583*I	0.000028626299050071036+0.*I	0.+0.007565175617319565*I	0.000017137194968875092+0.*I	0.+0.01616712529701808*I	0.000043246403140525986+0.*I	0.+0.040767211816686376*I	0.00005700001628878899+0.*I	0.+0.2107913655750339*I	-0.4998972709152264+0.*I	0.-0.6377981783307229*I	-0.4998959178218435+0.*I	0.+0.21111646320364608*I	0.00006295230267016817+0.*I	0.+0.04145251749224953*I	0.000047274287734976275+0.*I	0.+0.01727199353064874*I	0.00003575861416072639+0.*I	0.+0.009239310456157371*I	0.000033558261073013786+0.*I	0.+0.005584334710453167*I	0.00001649058386982925+0.*I	0.+0.003628437617002159*I	0.000028908984354754786+0.*I	0.+0.0024109729626756614*I	4.54368012537994*^-6+0.*I	0.+0.0016307456238349393*I	0.000017966205341877166+0.*I	0.+0.0010360946476606287*I	3.089598647888597*^-6+0.*I	0.+0.0005860839946090015*I	4.758659551332722*^-6+0.*I	0.+0.0001875363685653602*I
