0.35846127284252505-0.6852100335704688*I	0.32748701048323947+0.3237927017734628*I	-0.1594172530512948+0.1544428151379343*I	-0.09299983267726747-0.03937317128290151*I	-0.011843865246819027-0.06211245694702256*I	0.0330343079041571-0.03329616695425366*I	0.03271023736114239+0.006314008555173769*I	0.009361162302918651+0.02379660983072735*I	-0.015218440094329344+0.020373997614628627*I	-0.018377158418704406+0.0018372802500781866*I	-0.00656257306164413-0.015231237620560304*I	0.008715125475545626-0.014661216065296134*I	0.013328271536147556-0.0014758719559201364*I	0.0029574947506631373+0.00831535064036916*I	-0.005769494055911915+0.010713523015325093*I	-0.00811611734747955+0.004602465695780992*I	-0.0031180118892109926-0.007346275483891199*I	0.004114719383923494-0.008354144705492986*I	0.0071117751442838885-0.002194372879334446*I	0.0023673769754046026+0.0010592753332908096*I	-0.005224042358714351+0.007513961707896187*I	-0.005274215441174294+0.006274298547311878*I	0.000024421870137015208-0.0029296962063969736*I	0.0041428161419339235-0.005655502239325303*I	0.003528373811253094-0.00568118743467983*I
0.3274870104832541+0.3237927017734616*I	0.19904401979120662-0.5307672184325241*I	0.23448717780601408+0.28441953049055424*I	-0.17126111829815013+0.09233035819090595*I	-0.059965524773118464-0.07266933823715052*I	0.020866372114350856-0.0557984483918448*I	0.0423954702070694-0.009499557123524552*I	0.017491797266806358+0.026688006169798533*I	-0.009015996115776557+0.02563389008080005*I	-0.021781013155988054+0.005142759994072652*I	-0.009662032943144678-0.012823935815222667*I	0.006765698474484483-0.01670710957645552*I	0.011672620226224917-0.0063458654249523225*I	0.007558777480254006+0.009237651059397728*I	-0.005158622596862516+0.01291781633617312*I	-0.008887505945086608+0.0033672475314240388*I	-0.004001397963580757-0.0037516790097108146*I	0.003993763255092714-0.009540648363224373*I	0.006482096359328495-0.0072948693721949735*I	0.0018877327855527932+0.005319588828518016*I	-0.002906838465758395+0.007333573880676973*I	-0.005199620488583211+0.0045842655014390115*I	-0.0011313992992282881+0.0006187963080058238*I	0.0035527956813682956-0.008610883641059873*I	0.004142816141953278-0.005655502239351573*I
-0.15941725305131854+0.15444281513791414*I	0.23448717780600295+0.2844195304905688*I	0.18720015454438169-0.5928796753795448*I	0.26752148571015244+0.2511233635363103*I	-0.13855088093697077+0.0986443667460668*I	-0.05060436247021242-0.048872728406424495*I	0.005647932020000418-0.03542445077721038*I	0.02401831178838886-0.007662276873447891*I	0.010929224205148738+0.01145676854923987*I	-0.00030087064022611817+0.010972674015511243*I	-0.00845274161984544+0.003666888038151032*I	-0.006704538192472717-0.00450858517486744*I	0.0009962044185799646-0.005993586561138995*I	0.003556502878718656-0.0017433997291378535*I	0.004440765591056513+0.00189137557551367*I	-0.0010439032129307755+0.004563671630642428*I	-0.0017757308008064215+0.001172874652092236*I	-0.0016340209881747138-0.002692403676399278*I	-0.001230279103638972-0.0020266866553485204*I	0.00120788091817133-0.0010205708248427379*I	0.001912154655690257+0.002389892622089912*I	0.001235977676173443+0.0016780716413276906*I	-0.0016712466773472247-0.0010969219331936398*I	-0.0011313992992070328+0.000618796307984484*I	0.000024421870114700718-0.0029296962063923414*I
-0.09299983267724447-0.03937317128287843*I	-0.17126111829812002+0.09233035819089179*I	0.2675214857101189+0.25112336353630044*I	0.2199103919055432-0.5865656668243722*I	0.27688264801307766+0.274919973367053*I	-0.15376932103131485+0.11901836436069518*I	-0.06898152088889388-0.04703544815634608*I	-0.0009146410416595466-0.050655688397787*I	0.03273343726392023-0.022323492938735978*I	0.024257495741317428+0.009980896593324844*I	0.0026566241104335224+0.019288024655881773*I	-0.014222235675747383+0.014380411053465204*I	-0.014820655539977952+0.00009388052093686973*I	-0.002121807470621451-0.013339862045041792*I	0.007671222262655949-0.010097544434659479*I	0.011552540735324197-0.0003029973037990008*I	0.0013234737624931618+0.005622946963962661*I	-0.006999773159550648+0.008686836359952805*I	-0.006908236429326208+0.0035818948709283654*I	-0.0012058572335013162-0.004956382861751761*I	0.005350697060096464-0.006676073064203337*I	0.0054405284669351165-0.0032912948125221504*I	0.0012359776761931072+0.0016780716413061247*I	-0.005199620488602937+0.004584265501454816*I	-0.005274215441160486+0.006274298547339591*I
-0.011843865246825914-0.06211245694701152*I	-0.05996552477311545-0.07266933823715097*I	-0.13855088093698026+0.09864436674608189*I	0.27688264801308815+0.2749199733670228*I	0.20469195181118555-0.5661916692097511*I	0.25850548959437114+0.27675725361713577*I	-0.1603318940929751+0.10378712674012615*I	-0.060266395413337455-0.061696664221627555*I	0.012413630494514251-0.052131560353692846*I	0.03569093201455559-0.014008142298398685*I	0.018488001685408775+0.02069441960865349*I	-0.005459493237036727+0.0238904903516726*I	-0.01734024756496548+0.007034135569592279*I	-0.010705936156064867-0.008260264184582373*I	0.004989967673698588-0.015534234924387985*I	0.010038599238026224-0.00903826910132392*I	0.00632849837660983+0.00721096440405917*I	-0.00395074167865707+0.011897245511292086*I	-0.006975351289429118+0.005757140153547664*I	-0.0027654202873888603-0.0020736073684002876*I	0.002322516577737351-0.010637570296428563*I	0.005350697060114955-0.006676073064166077*I	0.0019121546556785248+0.002389892622093481*I	-0.0029068384657397915+0.007333573880655484*I	-0.005224042358747473+0.007513961707876811*I
0.03303430790414144-0.03329616695424948*I	0.020866372114320974-0.05579844839186536*I	-0.05060436247017104-0.0488727284064136*I	-0.15376932103131646+0.11901836436072112*I	0.2585054895943571+0.2767572536171062*I	0.19812937874954387-0.5814229068303234*I	0.2672206150699523+0.26209603755183025*I	-0.1470036225568539+0.10231125478423173*I	-0.05730890066268193-0.05338131358129041*I	0.006644136438626043-0.041418037338343*I	0.027574814667072553-0.009405676602610286*I	0.015369989796173806+0.013348144124740939*I	-0.0013447738531010896+0.015536345646173013*I	-0.010228472420662065+0.004839762690265061*I	-0.00833855918068218-0.007200988851267882*I	-0.00023407468501682508-0.008020273216507704*I	0.004764383796868779-0.002763970554013615*I	0.0063529202467273085+0.004281268197646788*I	0.00019207446329430378+0.006241743271974715*I	-0.003446977478195521+0.00007595271888786057*I	-0.00276542028737751-0.0020736073683917393*I	-0.0012058572334999998-0.004956382861787372*I	0.0012078809181614303-0.001020570824845172*I	0.0018877327855326847+0.005319588828528719*I	0.0023673769754411376+0.001059275333323827*I
0.03271023736115728+0.006314008555129983*I	0.04239547020707627-0.009499557123481002*I	0.005647932019996095-0.03542445077722227*I	-0.0689815208889077-0.04703544815637065*I	-0.16033189409296247+0.10378712674015819*I	0.2672206150699314+0.262096037551824*I	0.2114576502856815-0.5828987787862375*I	0.2701781098206086+0.27041138819219235*I	-0.15277311661274762+0.11302477779956836*I	-0.0654250180101814-0.04877884788552406*I	0.003526124549411776-0.048764312822247635*I	0.031689534051004234-0.017759821308071733*I	0.022481764940473357+0.01115377124537613*I	0.0010226031222967872+0.01659562097949705*I	-0.015452514779407818+0.012353724398152733*I	-0.013612774621815284-0.0009266903039765427*I	-0.00020965281490941586-0.010949969422912402*I	0.008907199938825517-0.008419472793308649*I	0.009881294057961168-0.0013999192370342094*I	0.00019207446329423894+0.00624174327196404*I	-0.006975351289418895+0.005757140153579225*I	-0.006908236429341333+0.0035818948708840007*I	-0.0012302791036366033-0.002026686655337398*I	0.006482096359334182-0.0072948693721571495*I	0.007111775144282334-0.002194372879374903*I
0.00936116230291856+0.023796609830748095*I	0.017491797266810643+0.02668800616977578*I	0.024018311788378342-0.00766227687345376*I	-0.0009146410416725728-0.050655688397749796*I	-0.0602663954133127-0.061696664221653194*I	-0.1470036225568264+0.1023112547842154*I	0.27017810982055995+0.27041138819221333*I	0.20568815622980635-0.572185255770928*I	0.26206199247309875+0.27501385388796307*I	-0.15589112850193937+0.10567850231568783*I	-0.06131029862625373-0.057132992591006716*I	0.010637899693684887-0.05095868570158733*I	0.03405691102641472-0.01670054597476484*I	0.01725772258174737+0.01866773295323576*I	-0.004251612318875088+0.0228699195268252*I	-0.015428092909252783+0.009424028191740631*I	-0.009469958479887554-0.006582192543264305*I	0.0033187209963183206-0.016631156857600977*I	0.00890719993884464-0.008419472793313771*I	0.006352920246730517+0.004281268197622716*I	-0.00395074167867563+0.011897245511281686*I	-0.00699977315954899+0.008686836360002753*I	-0.0016340209881602643-0.0026924036763852945*I	0.0039937632550921245-0.009540648363276255*I	0.004114719383909636-0.008354144705486267*I
-0.015218440094324428+0.020373997614658367*I	-0.009015996115770463+0.025633890080803932*I	0.010929224205144267+0.011456768549223883*I	0.032733437263930944-0.02232349293874501*I	0.012413630494483796-0.052131560353697336*I	-0.057308900662669394-0.053381313581265154*I	-0.1527731166127236+0.11302477779955993*I	0.26206199247308004+0.27501385388795807*I	0.20257014434060894-0.5795315312548037*I	0.26617671185698805+0.266659709182484*I	-0.1487793533576436+0.10348412943633555*I	-0.0589429216508208-0.05607371725770799*I	0.005413857334931561-0.04344472399370623*I	0.028782695585257055-0.010426247427434922*I	0.017282144451907757+0.015738036746834064*I	-0.0001087961769788219+0.017214417287507767*I	-0.011899719098003168+0.0037428407570545045*I	-0.009469958479849367-0.00658219254327835*I	-0.00020965281495092841-0.010949969422910226*I	0.004764383796900715-0.002763970553995994*I	0.006328498376608235+0.0072109644040406345*I	0.0013234737624742714+0.005622946963978074*I	-0.0017757308008114188+0.0011728746520808303*I	-0.0040013979635596265-0.0037516790097089536*I	-0.003118011889214578-0.00734627548388706*I
-0.01837715841872008+0.0018372802500447238*I	-0.021781013155988776+0.005142759994068668*I	-0.00030087064021548+0.010972674015540095*I	0.024257495741323708+0.009980896593307996*I	0.03569093201456408-0.014008142298378023*I	0.006644136438578606-0.04141803733835739*I	-0.06542501801014536-0.04877884788552992*I	-0.15589112850193412+0.10567850231569498*I	0.26617671185698577+0.26665970918247495*I	0.2096819194849107-0.5817259041341492*I	0.2685440888323996+0.26771898451579007*I	-0.15400339571637686+0.11099809114419742*I	-0.06421713709197903-0.04979941871035738*I	0.005438279205062517-0.04637442020012403*I	0.03292551172718261-0.0160817496667719*I	0.02081051826314945+0.010056849312186202*I	-0.00010879617693625492+0.01721441728749177*I	-0.015428092909277479+0.009424028191735389*I	-0.013612774621793049-0.0009266903039671147*I	-0.0002340746850768327-0.008020273216492978*I	0.010038599238042931-0.009038269101324594*I	0.011552540735367057-0.0003029973038145682*I	-0.0010439032129298082+0.004563671630618189*I	-0.00888750594511842+0.0033672475314631745*I	-0.00811611734748503+0.004602465695776456*I
