0.-0.8487771460705291*I	-0.49995764206060966+0.*I	0.+0.1697629015476384*I	0.00001676521770652141+0.*I	0.+0.0242482168900433*I	0.000010451349456055522+0.*I	0.+0.0080790733689107*I	9.233185004215667*^-6+0.*I	0.+0.0036641982801961445*I	8.203422753184621*^-7+0.*I	0.+0.0019772973480012834*I	0.000015985551873670952+0.*I	0.+0.0011613400646218672*I	-0.000013447473313622815+0.*I	0.+0.0007738905997552031*I	0.000023263025379633037+0.*I	0.+0.0004901259502365848*I	-0.000014671554625414933+0.*I	0.+0.0003709062909037636*I	0.000013424701940639707+0.*I	0.+0.0002472365240778901*I	-3.322444205699052*^-6+0.*I	0.+0.0001877780972054724*I	2.983042732389921*^-6+0.*I	0.+0.00013282920261770137*I	9.530990157788855*^-7+0.*I	0.+0.00009424929278790961*I	8.092482927322457*^-7+0.*I	0.+0.00006272949597345423*I	5.579839068821427*^-7+0.*I	0.+0.00003591870853419943*I	2.7593576665341785*^-7+0.*I	0.+0.0000116977996139217*I
0.000015985552708034034+0.*I	0.+0.0031386374132046355*I	3.3584234707842133*^-6+0.*I	0.+0.0075767262890709675*I	0.000035854632996067305+0.*I	0.+0.01614592560939002*I	0.00003163443820536892+0.*I	0.+0.04076504879075916*I	0.0000618243543173562+0.*I	0.+0.2107751868620906*I	-0.49989914015068015+0.*I	0.-0.6378141810960947*I	-0.49989615710579405+0.*I	0.+0.21109579416451155*I	0.00006243804834608037+0.*I	0.+0.041427141901952624*I	0.00004648206963833288+0.*I	0.+0.017241654508451335*I	0.00003658870886325245+0.*I	0.+0.009198499839259052*I	0.00002763146054065737+0.*I	0.+0.00554599935851968*I	0.000026811118723898915+0.*I	0.+0.003557004229474236*I	0.000010549629961048499+0.*I	0.+0.002359745441089235*I	0.000023439122412573896+0.*I	0.+0.0015231253530992132*I	-6.331550606416801*^-7+0.*I	0.+0.0009387501143171475*I	0.00001308529026624927+0.*I	0.+0.000435014632048349*I	-3.3224471966963876*^-6+0.*I
0.+0.0011613400631876533*I	2.5380865680434383*^-6+0.*I	0.+0.003912528005690988*I	0.000026621448863415642+0.*I	0.+0.008066852247720871*I	0.000021183081665598333+0.*I	0.+0.01651683189382818*I	0.00004505913987727844+0.*I	0.+0.04101228532092201*I	0.000058501907008972385+0.*I	0.+0.2109629649563714*I	-0.4998961571067232+0.*I	0.-0.6376813518967304*I	-0.4998952040155648+0.*I	0.+0.21119004345769177*I	0.00006324729043468501+0.*I	0.+0.04148987140735354*I	0.00004704006384996836+0.*I	0.+0.017277573207653107*I	0.000036864643859956756+0.*I	0.+0.00921019763425316*I	0.00002763144827433032+0.*I	0.+0.005534301562460216*I	0.000026535185356730967+0.*I	0.+0.0035210855186542864*I	9.991646882083604*^-6+0.*I	0.+0.0022970159522761394*I	0.0000226298600364584+0.*I	0.+0.00142887606172111*I	-1.5862557176467204*^-6+0.*I	0.+0.0008059209145405213*I	0.000010102262496424332+0.*I	0.+0.0002472365304186097*I
-0.000013447467356035662+0.*I	0.+0.00193523067065006*I	0.000025801106264806178+0.*I	0.+0.004402653973782993*I	0.00001194990297185399+0.*I	0.+0.008437758516549636*I	0.000034607782094013916+0.*I	0.+0.016764068419054146*I	0.00004173669026901093+0.*I	0.+0.04120006341892237*I	0.0000614849419491519+0.*I	0.+0.211095794171717*I	-0.4998952040051317+0.*I	0.-0.6375871026072546*I	-0.49989439476656056+0.*I	0.+0.21125277293821043*I	0.00006380528364455807+0.*I	0.+0.04152579010380558*I	0.00004731598455451544+0.*I	0.+0.017289271006447223*I	0.00003686464826271245+0.*I	0.+0.009198499841277283*I	0.000027355522847774236+0.*I	0.+0.005498382868982274*I	0.000025977208965564076+0.*I	0.+0.003458356020927811*I	9.182399349032258*^-6+0.*I	0.+0.00220276667135506*I	0.00002167677563462452+0.*I	0.+0.0012960468652427962*I	-4.569303972247211*^-6+0.*I	0.+0.0006181428011477152*I	0.000013424701091890867+0.*I
0.+0.0007738905952699437*I	9.815559508621281*^-6+0.*I	0.+0.0024253566308182067*I	0.000011129566883088246+0.*I	0.+0.004773560244258512*I	0.000025374594319842547+0.*I	0.+0.008684995052994228*I	0.00003128534059888434+0.*I	0.+0.016951846516755714*I	0.000044719732638620415+0.*I	0.+0.04133289261250173*I	0.00006243804385142621+0.*I	0.+0.21119004344812342*I	-0.49989439475345343+0.*I	0.-0.6375243731018465*I	-0.4998938367833735+0.*I	0.+0.21128869164860103*I	0.00006408121253808095+0.*I	0.+0.04153748790553941*I	0.00004731599375118825+0.*I	0.+0.017277573210714048*I	0.00003658871398363261+0.*I	0.+0.009162581141637392*I	0.00002679753192530371+0.*I	0.+0.005435653361410359*I	0.000025167957897242536+0.*I	0.+0.003364106741961373*I	8.229299359629583*^-6+0.*I	0.+0.002069937462193819*I	0.000018693722119571078+0.*I	0.+0.0011082687568047603*I	-1.246845582221279*^-6+0.*I	0.+0.00037090628230410094*I
0.00002326302318442214+0.*I	0.+0.001264016551102574*I	-4.8559954323013795*^-6+0.*I	0.+0.002796262911265825*I	0.0000245542634639332+0.*I	0.+0.005020796775463292*I	0.000022052156070861284+0.*I	0.+0.008872773156802414*I	0.00003426837456741+0.*I	0.+0.017084675721261395*I	0.00004567282898309924+0.*I	0.+0.0414271419057186*I	0.00006324729485278311+0.*I	0.+0.21125277294998623*I	-0.4998938367788801+0.*I	0.-0.6374884544001276*I	-0.49989356084782394+0.*I	0.+0.21130038944431698*I	0.00006408121965442238+0.*I	0.+0.041525790111805176*I	0.00004704005217504117+0.*I	0.+0.01724165450702195*I	0.00003603073552057758+0.*I	0.+0.00909985164158457*I	0.00002598828818061945+0.*I	0.+0.005341404080128527*I	0.000024214853354444856+0.*I	0.+0.00323127752909691*I	5.246252614113252*^-6+0.*I	0.+0.0018821593636228397*I	0.000022016182607316733+0.*I	0.+0.0008610322364856046*I	-0.000014671556523571105+0.*I
0.+0.0004901259519599702*I	8.591479706704186*^-6+0.*I	0.+0.001634922843035999*I	8.568701429002873*^-6+0.*I	0.+0.0030434994170553606*I	0.00002123181699800013+0.*I	0.+0.005208574888254859*I	0.000025035185198256213+0.*I	0.+0.00900560235086121*I	0.00003522148602670929+0.*I	0.+0.01717892501002003*I	0.00004648207402042669+0.*I	0.+0.04148987139769235*I	0.0000638052817144415+0.*I	0.+0.21128869166056427*I	-0.4998935608484987+0.*I	0.-0.6374767566172311*I	-0.499893560844682+0.*I	0.+0.21128869166448724*I	0.0000638052779924777+0.*I	0.+0.041489871396457455*I	0.00004648208154269456+0.*I	0.+0.017178925012605824*I	0.00003522147656568384+0.*I	0.+0.009005602350751728*I	0.000025035192200962702+0.*I	0.+0.0052085748839986595*I	0.00002123181410246669+0.*I	0.+0.003043499420350232*I	8.568703760216025*^-6+0.*I	0.+0.001634922843254949*I	8.591476685845417*^-6+0.*I	0.+0.0004901259450550144*I
-0.000014671551931904337+0.*I	0.+0.0008610322350774391*I	0.000022016168762941353+0.*I	0.+0.001882159364426468*I	5.246253936406601*^-6+0.*I	0.+0.0032312775372494757*I	0.00002421485549804924+0.*I	0.+0.005341404077385433*I	0.000025988288537455355+0.*I	0.+0.009099851649212901*I	0.00003603073276551414+0.*I	0.+0.017241654500271604*I	0.00004704005515198588+0.*I	0.+0.04152579011037819*I	0.00006408121998823554+0.*I	0.+0.21130038945196383*I	-0.49989356084707753+0.*I	0.-0.6374884544008438*I	-0.4998938367784162+0.*I	0.+0.21125277295488482*I	0.00006324729147388516+0.*I	0.+0.041427141909403414*I	0.00004567282537113683+0.*I	0.+0.017084675718354515*I	0.00003426838343058907+0.*I	0.+0.008872773157717347*I	0.000022052154179270728+0.*I	0.+0.0050207967774776666*I	0.00002455425981979233+0.*I	0.+0.0027962628967362186*I	-4.855996054207952*^-6+0.*I	0.+0.00126401656152034*I	0.000023263018895214316+0.*I
0.+0.00037090629186914414*I	-1.246844674171701*^-6+0.*I	0.+0.0011082687530870328*I	0.00001869372670698094+0.*I	0.+0.002069937455885802*I	8.229304770755842*^-6+0.*I	0.+0.0033641067374553316*I	0.000025167948514488376+0.*I	0.+0.005435653360189183*I	0.00002679754311824421+0.*I	0.+0.009162581136491155*I	0.000036588715673417165+0.*I	0.+0.017277573209286023*I	0.000047315987687930083+0.*I	0.+0.041537487897772445*I	0.00006408120514969783+0.*I	0.+0.21128869166716252*I	-0.4998938367847395+0.*I	0.-0.6375243731104094*I	-0.49989439475950953+0.*I	0.+0.21119004344668446*I	0.00006243805167418658+0.*I	0.+0.04133289261580564*I	0.00004471972783061086+0.*I	0.+0.016951846520859397*I	0.000031285337053392815+0.*I	0.+0.008684995056665534*I	0.000025374600971675075+0.*I	0.+0.004773560243976134*I	0.000011129558792558428+0.*I	0.+0.00242535663187516*I	9.81555635507668*^-6+0.*I	0.+0.0007738906013870367*I
0.000013424706788316105+0.*I	0.+0.000618142808621073*I	-4.569304197285007*^-6+0.*I	0.+0.0012960468598651402*I	0.00002167677002590094+0.*I	0.+0.002202766666097549*I	9.18239443810238*^-6+0.*I	0.+0.0034583560225707704*I	0.00002597719460777572+0.*I	0.+0.005498382852890955*I	0.000027355523712959126+0.*I	0.+0.009198499857811697*I	0.000036864639186660474+0.*I	0.+0.017289271007411223*I	0.00004731598974124612+0.*I	0.+0.04152579010029444*I	0.00006380529085915687+0.*I	0.+0.2112527729569163*I	-0.4998943947665728+0.*I	0.-0.6375871026035804*I	-0.49989520401369614+0.*I	0.+0.21109579416811283*I	0.00006148494913409198+0.*I	0.+0.041200063421072367*I	0.00004173669037216527+0.*I	0.+0.016764068422688103*I	0.000034607790023775324+0.*I	0.+0.008437758525212375*I	0.000011949901403385856+0.*I	0.+0.004402653968625837*I	0.000025801101418193877+0.*I	0.+0.0019352306663954733*I	-0.000013447464207727577+0.*I
0.+0.00024723652822836173*I	0.000010102261189908314+0.*I	0.+0.0008059209072681026*I	-1.5862553485025791*^-6+0.*I	0.+0.0014288760632832492*I	0.000022629870349760717+0.*I	0.+0.0022970159452677594*I	9.991643128248322*^-6+0.*I	0.+0.0035210855122257065*I	0.000026535184982212114+0.*I	0.+0.005534301564843691*I	0.000027631454238493357+0.*I	0.+0.009210197639811506*I	0.000036864639376603574+0.*I	0.+0.017277573204295002*I	0.0000470400568667138+0.*I	0.+0.04148987140852522*I	0.00006324729817801348+0.*I	0.+0.21119004345705147*I	-0.49989520400686577+0.*I	0.-0.6376813518885791*I	-0.4998961571091187+0.*I	0.+0.21096296496033445*I	0.00005850190478007662+0.*I	0.+0.04101228531530859*I	0.000045059134474705056+0.*I	0.+0.01651683188802377*I	0.000021183097697529978+0.*I	0.+0.008066852253475768*I	0.00002662144024499142+0.*I	0.+0.003912528007708298*I	2.538089683920067*^-6+0.*I	0.+0.0011613400653504302*I
-3.3224468696232886*^-6+0.*I	0.+0.0004350146289271232*I	0.0000130852937066534+0.*I	0.+0.0009387501107420164*I	-6.331465647248669*^-7+0.*I	0.+0.0015231253469366792*I	0.00002343911886225354+0.*I	0.+0.002359745451169633*I	0.000010549625115295041+0.*I	0.+0.003557004217558088*I	0.000026811113151998525+0.*I	0.+0.005545999366165206*I	0.000027631464085731646+0.*I	0.+0.00919849984256247*I	0.000036588702390275685+0.*I	0.+0.01724165450450566*I	0.00004648207598591922+0.*I	0.+0.04142714190269772*I	0.00006243805998644661+0.*I	0.+0.2110957941682568*I	-0.4998961571124323+0.*I	0.-0.6378141810911007*I	-0.49989914014835646+0.*I	0.+0.21077518686276542*I	0.00006182434950746419+0.*I	0.+0.04076504878909995*I	0.00003163443276870828+0.*I	0.+0.016145925612796406*I	0.00003585463304593048+0.*I	0.+0.0075767263001182295*I	3.3584195245909876*^-6+0.*I	0.+0.003138637403631131*I	0.00001598555455384343+0.*I
0.+0.0001877780915258906*I	-3.3940951753821425*^-7+0.*I	0.+0.0005678438330008959*I	0.000014038397194525505+0.*I	0.+0.001032999399063518*I	1.760905730729434*^-7+0.*I	0.+0.0015858548423978366*I	0.000023997097394550315+0.*I	0.+0.002395664147591639*I	0.000010825568210081704+0.*I	0.+0.003568702026352226*I	0.000026811113161252488+0.*I	0.+0.00553430156743745*I	0.000027355517506634542+0.*I	0.+0.009162581135572764*I	0.000036030736192789685+0.*I	0.+0.017178925001346386*I	0.00004567282630432415+0.*I	0.+0.04133289262262939*I	0.00006148495227815074+0.*I	0.+0.21096296496535982*I	-0.4998991401559896+0.*I	0.-0.6380019591913667*I	-0.49989581770896235+0.*I	0.+0.2105279503297222*I	0.00004839965443059783+0.*I	0.+0.04039414250799925*I	0.000046305988018543456+0.*I	0.+0.01565579965657033*I	0.000012591607687942581+0.*I	0.+0.006802835691063568*I	0.000016805891791544568+0.*I	0.+0.001977297339457007*I
2.9830396822130023*^-6+0.*I	0.+0.0003206072951204697*I	6.136994032287177*^-7+0.*I	0.+0.0006620931151492088*I	0.00001484764546313425+0.*I	0.+0.0010957288952102462*I	7.340749356254099*^-7+0.*I	0.+0.0016217735470476851*I	0.000024273035877637364+0.*I	0.+0.002407361950682911*I	0.00001082556278784575+0.*I	0.+0.0035570042241764013*I	0.000026535191271737932+0.*I	0.+0.005498382853812719*I	0.000026797543432670325+0.*I	0.+0.00909985164470196*I	0.000035221475365318906+0.*I	0.+0.017084675720636655*I	0.000044719737335732106+0.*I	0.+0.041200063418350114*I	0.00005850189449912936+0.*I	0.+0.21077518686825827*I	-0.49989581769440106+0.*I	0.-0.638249195725163*I	-0.49990924241361706+0.*I	0.+0.21015704404900698*I	0.00006307120372757444+0.*I	0.+0.039904016554890315*I	0.000023042949746127386+0.*I	0.+0.014881909061772978*I	0.000026039092979118368+0.*I	0.+0.005641495619841207*I	8.203283080598922*^-7+0.*I
