0.-0.8487766720379828*I	-0.49995761538925976+0.*I	0.+0.16976434926272987*I	0.00001686299102761681+0.*I	0.+0.024250636725058655*I	0.00001074287372541362+0.*I	0.+0.008081879265742194*I	7.856018359570321*^-6+0.*I	0.+0.003671733688158256*I	6.14462508401771*^-6+0.*I	0.+0.0019750896378486035*I	4.997889516453882*^-6+0.*I	0.+0.0011829189449646745*I	4.167010428796691*^-6+0.*I	0.+0.0007631471558975761*I	3.5276612234329496*^-6+0.*I	0.+0.0005197380471708875*I	3.0155633145581508*^-6+0.*I	0.+0.00036865095566018444*I	2.632253601653252*^-6+0.*I	0.+0.0002697476405619531*I	2.4372159957676895*^-6+0.*I	0.+0.0002027192445524942*I	4.243869283778281*^-7+0.*I	0.+0.0001510394591360089*I	6.81626174828579*^-6+0.*I	0.+0.0001267129004525805*I	-9.774828608276806*^-6+0.*I	0.+0.00007758625724659611*I	0.000018560899175144768+0.*I	0.+0.00009062872476238762*I	-0.000019032019650294457+0.*I	0.+0.00003532401794918794*I	0.00001815938151501694+0.*I	0.+0.000055379902731178044*I	-0.000010589963095837486+0.*I	0.+0.00002117330924506289*I	5.5828411552946705*^-6+0.*I	0.+0.000021717967218432915*I	-1.2516220347457118*^-6+0.*I	0.+8.50836503126009*^-6*I	2.441260887364635*^-7+0.*I
4.997889578286637*^-6+0.*I	0.+0.0031580085827884806*I	0.000015309525017292647+0.*I	0.+0.00759288942684205*I	0.000026693204615179153+0.*I	0.+0.01619450673977357*I	0.000040451641647659446+0.*I	0.+0.04081379442049981*I	0.000059946886365638965+0.*I	0.+0.21084789132378873*I	-0.4998952312869544+0.*I	0.-0.6377260614696298*I	-0.4998948068999761+0.*I	0.+0.21120165002747854*I	0.00006962475095835795+0.*I	0.+0.04156401366519831*I	0.00004298693133996901+0.*I	0.+0.017390963197344227*I	0.00005080495678518683+0.*I	0.+0.009399712656407096*I	0.000023916918794937586+0.*I	0.+0.0057633029861416905*I	0.00003593167518640178+0.*I	0.+0.0038435932510959944*I	0.000020343822587565122+0.*I	0.+0.002681847615330802*I	0.000021759653298353165+0.*I	0.+0.0019404184266761685*I	0.000016980370044446288+0.*I	0.+0.001429188744541002*I	0.000014208932806079177+0.*I	0.+0.0010605377889098691*I	0.000011332553097682123+0.*I	0.+0.0007822817832907694*I	0.000010146959170763711+0.*I	0.+0.0005578445715162089*I	4.139731093130909*^-6+0.*I	0.+0.0003856318031278405*I	7.913432436473447*^-6+0.*I	0.+0.00020353899994608347*I	-4.711204681259604*^-7+0.*I	0.+0.00009062872477566844*I
0.+0.001182918944975235*I	9.164899956016616*^-6+0.*I	0.+0.003921155738673443*I	0.000018837186267184497+0.*I	0.+0.008112627474031504*I	0.00002970876793731014+0.*I	0.+0.016563157695416095*I	0.000043083895285694254+0.*I	0.+0.04108354206104401*I	0.00006238410228239897+0.*I	0.+0.21105061056833357*I	-0.4998948069000162+0.*I	0.-0.6375750220105039*I	-0.4998879906382443+0.*I	0.+0.21132836292790672*I	0.00005984992239219881+0.*I	0.+0.0416415999224809*I	0.0000615478304949084+0.*I	0.+0.017481591922096192*I	0.000031772937111808+0.*I	0.+0.009435036674323827*I	0.000042076300311849175+0.*I	0.+0.0058186828889121266*I	0.000025341712122659845+0.*I	0.+0.003864766560321938*I	0.000025926663738211103+0.*I	0.+0.0027035655825283357*I	0.000020508031245712968+0.*I	0.+0.0019489267917174639*I	0.00001722449611481272+0.*I	0.+0.0014291887445509342*I	0.000013964806742361625+0.*I	0.+0.0010520294238754065*I	0.000012584175152056948+0.*I	0.+0.0007605638160622207*I	4.5641180123750244*^-6+0.*I	0.+0.0005366712622624493*I	0.000014729694161504754+0.*I	0.+0.00033025190040034277*I	-0.00001024594908149011+0.*I	0.+0.00016821498199174996*I	0.000018560899173675308+0.*I
4.167010443645395*^-6+0.*I	0.+0.0019460661008468918*I	0.000012692561169136895+0.*I	0.+0.00444089378583029*I	0.0000218527496178496+0.*I	0.+0.008481278429688493*I	0.00003234102149912574+0.*I	0.+0.016832905336006624*I	0.00004552111125980095+0.*I	0.+0.041286261305579046*I	0.00006280848922582219+0.*I	0.+0.21120165002750196*I	-0.4998879906382421+0.*I	0.-0.6374483091100425*I	-0.4998977654668469+0.*I	0.+0.21140594918517333*I	0.000078410821552717+0.*I	0.+0.04173222864719159*I	0.000042515810835358785+0.*I	0.+0.017516915940076115*I	0.00004993231865074148+0.*I	0.+0.009490416577069456*I	0.000031486337192327835+0.*I	0.+0.005839856198158784*I	0.000030924553284735536+0.*I	0.+0.0038864845275224736*I	0.000024675041682359973+0.*I	0.+0.0027120739476042296*I	0.00002075215735873116+0.*I	0.+0.001948926791691206*I	0.000016980370031714715+0.*I	0.+0.0014206803795198874*I	0.00001521642876590448+0.*I	0.+0.0010303114566326856*I	7.001333995924131*^-6+0.*I	0.+0.0007393905068565254*I	0.000015154081104394232+0.*I	0.+0.0004812913595086434*I	-3.4296873137021683*^-6+0.*I	0.+0.00029492788246423537*I	8.786070556012178*^-6+0.*I	0.+0.0000775862572312312*I
0.+0.000763147155867902*I	7.694671658421227*^-6+0.*I	0.+0.0024658041480311674*I	0.00001570812450077104+0.*I	0.+0.004809544741498831*I	0.000024485003187901996+0.*I	0.+0.008751026070241055*I	0.00003477823754770678+0.*I	0.+0.017035624580553847*I	0.00004594549817233127+0.*I	0.+0.04143730076472061*I	0.00006962475097520616+0.*I	0.+0.21132836292791682*I	-0.49989776546686093+0.*I	0.-0.6373707228528246*I	-0.49987920456768886+0.*I	0.+0.2114965779099415*I	0.00005937880190794734+0.*I	0.+0.04176755266515019*I	0.00006067519234541746+0.*I	0.+0.01757229584279695*I	0.000039342355523442626+0.*I	0.+0.009511589886324036*I	0.000037069178346263776+0.*I	0.+0.0058615741653385*I	0.00002967293123172942+0.*I	0.+0.0038949928925764753*I	0.000024919167780974006+0.*I	0.+0.0027120739475851347*I	0.000020508031290529955+0.*I	0.+0.0019404184266815382*I	0.000018231992075595728+0.*I	0.+0.0013989624122713884*I	9.633587593786433*^-6+0.*I	0.+0.0010091381474170006*I	0.000017591297099614646+0.*I	0.+0.0006840106040793414*I	-3.005300411202129*^-6+0.*I	0.+0.0004459673415830567*I	0.000015602332312632548+0.*I	0.+0.0002042991576992829*I	-9.774828587082117*^-6+0.*I
3.5276612134882407*^-6+0.*I	0.+0.0012828852030577608*I	0.00001071023498736981+0.*I	0.+0.0028344551036743977*I	0.00001834037811627011+0.*I	0.+0.005079292382056485*I	0.00002692221917839845+0.*I	0.+0.008953745314795581*I	0.000035202624439646115+0.*I	0.+0.017186664039663242*I	0.000052761759943028175+0.*I	0.+0.041564013665186264*I	0.00005984992238069278+0.*I	0.+0.21140594918517083*I	-0.4998792045676888+0.*I	0.-0.6372800941280414*I	-0.4998982365873271+0.*I	0.+0.21153190192790142*I	0.0000775381833878582+0.*I	0.+0.04182293256786531*I	0.000050085229281177193+0.*I	0.+0.0175934691520634*I	0.00004492519667938537+0.*I	0.+0.009533307853509775*I	0.00003581755632493664+0.*I	0.+0.005870082530419035*I	0.000029917057326874508+0.*I	0.+0.0038949928925390634*I	0.000024675041709533752+0.*I	0.+0.0027035655825716374*I	0.00002175965328847887+0.*I	0.+0.0019187004594565088*I	0.000012649150934130969+0.*I	0.+0.001377789103073225*I	0.000020223550675374423+0.*I	0.+0.0009537582446436977*I	-5.680844345528251*^-7+0.*I	0.+0.0006486865861668461*I	0.000016026719253598438+0.*I	0.+0.00035533861682170067*I	-2.958566842534915*^-6+0.*I	0.+0.00012671290047215015*I
0.+0.0005197380471461516*I	6.543224544956653*^-6+0.*I	0.+0.0016515361587238601*I	0.000013342488581073357+0.*I	0.+0.0031042027442133658*I	0.000020777594103082764+0.*I	0.+0.005282011626639156*I	0.00002734660613113441+0.*I	0.+0.009104784773934258*I	0.00004201888621096285+0.*I	0.+0.017313376940139933*I	0.000042986931328911226+0.*I	0.+0.041641599922433825*I	0.00007841082150205451+0.*I	0.+0.21149657790994134*I	-0.49989823658732296+0.*I	0.-0.6372447701101065*I	-0.49988007720586325+0.*I	0.+0.21158728183063785*I	0.0000669482203396695+0.*I	0.+0.04184410587712808*I	0.000055668070412393916+0.*I	0.+0.017615187119265217*I	0.0000436735746351758+0.*I	0.+0.009541816218564269*I	0.000036061682401856206+0.*I	0.+0.005870082530388135*I	0.00002967293124300408+0.*I	0.+0.0038864845275169394*I	0.000025926663713997562+0.*I	0.+0.0026818476153396094*I	0.00001617681217239939+0.*I	0.+0.001897527150209334*I	0.000023239113983657594+0.*I	0.+0.001322409200321953*I	2.06416920467089*^-6+0.*I	0.+0.0009184342266944091*I	0.000018463935182998683+0.*I	0.+0.0005580578613881243*I	-2.5341798921621743*^-6+0.*I	0.+0.00027775235959611995*I	6.816261730023773*^-6+0.*I
3.0155633239547006*^-6+0.*I	0.+0.0008883890028254195*I	9.175478168349594*^-6+0.*I	0.+0.0019212837992571442*I	0.000015779704545238583+0.*I	0.+0.003306921988786641*I	0.000021201981032889828+0.*I	0.+0.005433051085748754*I	0.0000341628678389925+0.*I	0.+0.009231497674399047*I	0.00003224405761966429+0.*I	0.+0.01739096319737764*I	0.00006154783048282232+0.*I	0.+0.041732228647190256*I	0.000059378801902618554+0.*I	0.+0.21153190192788596*I	-0.49988007720579647+0.*I	0.-0.637189390207363*I	-0.4998906671689031+0.*I	0.+0.21160845513985257*I	0.00007253106144318087+0.*I	0.+0.04186582384432672*I	0.00005441644839014781+0.*I	0.+0.0176236954842794*I	0.00004391770074926001+0.*I	0.+0.009541816218576495*I	0.00003581755632697096+0.*I	0.+0.005861574165334075*I	0.00003092455327730991+0.*I	0.+0.0038647665603397103*I	0.000020343822567743437+0.*I	0.+0.0026606743061058577*I	0.000026766775229648126+0.*I	0.+0.0018421472475007676*I	5.079732512126197*^-6+0.*I	0.+0.0012870851823528152*I	0.000021096188836926035+0.*I	0.+0.0008278055019814558*I	-9.69639667477342*^-8+0.*I	0.+0.00048047160414456174*I	7.2406486862762145*^-6+0.*I	0.+0.0001510394591326567*I
0.+0.00036865095567731635*I	5.647816931417517*^-6+0.*I	0.+0.0011581366433785452*I	0.000011612694123122883+0.*I	0.+0.0021240030438271678*I	0.000016204091484488458+0.*I	0.+0.0034579614479288224*I	0.00002801824278797562+0.*I	0.+0.005559763986207675*I	0.00002438803928528081+0.*I	0.+0.00930908393164375*I	0.000050804956762343244+0.*I	0.+0.01748159192215017*I	0.000042515810832344635+0.*I	0.+0.04176755266513304*I	0.00007753818343590426+0.*I	0.+0.2115872818306278*I	-0.4998906671689399+0.*I	0.-0.6371682168981413*I	-0.49988508432774686+0.*I	0.+0.21163017310709376*I	0.00007127943945474169+0.*I	0.+0.041874332209378314*I	0.00005466057444719695+0.*I	0.+0.01762369548432473*I	0.00004367357464003544+0.*I	0.+0.009533307853511214*I	0.00003706917833688689+0.*I	0.+0.005839856198135288*I	0.00002534171210333279+0.*I	0.+0.0038435932510594672*I	0.000030933785673565876+0.*I	0.+0.0026052944033764947*I	8.607393725354668*^-6+0.*I	0.+0.0018068232295251603*I	0.00002411175217082137+0.*I	0.+0.0011964564576196113*I	2.535289665420138*^-6+0.*I	0.+0.0007502192447103482*I	9.677864656740815*^-6+0.*I	0.+0.0003537587036895648*I	4.243869096366075*^-7+0.*I
2.6322536132347403*^-6+0.*I	0.+0.0006383985962252047*I	8.085032918548761*^-6+0.*I	0.+0.0013608558879667596*I	0.000012037081043103143+0.*I	0.+0.002275042502947149*I	0.00002302035323803082+0.*I	0.+0.0035846743483849723*I	0.000018243414151171766+0.*I	0.+0.005637350243473081*I	0.00004294893844537304+0.*I	0.+0.009399712656417767*I	0.00003177293708978594+0.*I	0.+0.017516915940042645*I	0.0000606751923638339+0.*I	0.+0.04182293256791007*I	0.00006694822030539689+0.*I	0.+0.21160845513983972*I	-0.4998850843277236+0.*I	0.-0.6371464989308846*I	-0.49988633594982235+0.*I	0.+0.21163868147207845*I	0.0000715235655385927+0.*I	0.+0.041874332209385426*I	0.000054416448386826484+0.*I	0.+0.01761518711923349*I	0.000044925196703210714+0.*I	0.+0.009511589886331164*I	0.00003148633720308785+0.*I	0.+0.00581868288887518*I	0.00003593167520760439+0.*I	0.+0.0037882133483333213*I	0.00001277440416103807+0.*I	0.+0.002569970385409185*I	0.00002763941338649406+0.*I	0.+0.001716194504790091*I	5.550852966092815*^-6+0.*I	0.+0.001118870200357167*I	0.000012310118234945345+0.*I	0.+0.0006235063442942301*I	2.8616029183843828*^-6+0.*I	0.+0.000202719244528225*I
0.+0.00026974764058027787*I	5.069469590855313*^-6+0.*I	0.+0.0008411178407769547*I	8.509419828678177*^-6+0.*I	0.+0.0015118953470971833*I	0.00001885334279575246+0.*I	0.+0.0024017554034200515*I	0.000013245524613450706+0.*I	0.+0.003662260605644272*I	0.00003680431335869338+0.*I	0.+0.005727978968219954*I	0.00002391691877547384+0.*I	0.+0.0094350366743316*I	0.00004993231863627605+0.*I	0.+0.017572295842802142*I	0.00005008522926013651+0.*I	0.+0.04184410587712127*I	0.00007253106147829038+0.*I	0.+0.2116301731070652*I	-0.49988633594979176+0.*I	0.-0.637137990565864*I	-0.4998860918236933+0.*I	0.+0.21163868147209985*I	0.00007127943942403166+0.*I	0.+0.04186582384434483*I	0.000055668070415706363+0.*I	0.+0.017593469152058068*I	0.000039342355511675454+0.*I	0.+0.009490416577059266*I	0.00004207630029228851+0.*I	0.+0.005763302986160046*I	0.0000177722936940302+0.*I	0.+0.0037528893303892708*I	0.000031806423821165256+0.*I	0.+0.0024793416606566274*I	9.078514208429075*^-6+0.*I	0.+0.0016386082475313391*I	0.00001532568158888568+0.*I	0.+0.0009921572999214581*I	5.4938564971033805*^-6+0.*I	0.+0.0004724668851173314*I	2.4372159805811477*^-6+0.*I
