0.-0.8487766720379828*I	-0.49995761538925976+0.*I	0.+0.16976434926272987*I	0.00001686299102761681+0.*I	0.+0.024250636725058655*I	0.00001074287372541362+0.*I	0.+0.008081879265742194*I	7.856018359570321*^-6+0.*I	0.+0.003671733688158256*I	6.14462508401771*^-6+0.*I	0.+0.0019750896378486035*I	4.997889516453882*^-6+0.*I	0.+0.0011829189449646745*I	4.167010428796691*^-6+0.*I	0.+0.0007631471558975761*I	3.5276612234329496*^-6+0.*I	0.+0.0005197380471708875*I	3.0155633145581508*^-6+0.*I	0.+0.00036865095566018444*I	2.632253601653252*^-6+0.*I	0.+0.0002697476405619531*I	2.4372159957676895*^-6+0.*I	0.+0.0002027192445524942*I	4.243869283778281*^-7+0.*I	0.+0.0001510394591360089*I	6.81626174828579*^-6+0.*I	0.+0.0001267129004525805*I	-9.774828608276806*^-6+0.*I	0.+0.00007758625724659611*I	0.000018560899175144768+0.*I	0.+0.00009062872476238762*I	-0.000019032019650294457+0.*I	0.+0.00003532401794918794*I	0.00001815938151501694+0.*I	0.+0.000055379902731178044*I	-0.000010589963095837486+0.*I	0.+0.00002117330924506289*I	5.5828411552946705*^-6+0.*I	0.+0.000021717967218432915*I	-1.2516220347457118*^-6+0.*I	0.+8.50836503126009*^-6*I	2.441260887364635*^-7+0.*I
-0.49995761538923156+0.*I	0.-0.6790123227752608*I	-0.4999407523982021+0.*I	0.+0.19401498598782335*I	0.00002760586482253332+0.*I	0.+0.03233251599080207*I	0.00001859889205493348+0.*I	0.+0.01175361295391436*I	0.000014000643448254076+0.*I	0.+0.005646823325989406*I	0.000011142514621589015+0.*I	0.+0.0031580085828066787*I	9.164899964809187*^-6+0.*I	0.+0.0019460661008532554*I	7.694671629114474*^-6+0.*I	0.+0.0012828852030350787*I	6.543224565168608*^-6+0.*I	0.+0.0008883890028098195*I	5.6478169194478064*^-6+0.*I	0.+0.0006383985962487054*I	5.069469559148479*^-6+0.*I	0.+0.0004724668850821898*I	2.861602912527203*^-6+0.*I	0.+0.0003537587036998975*I	7.2406486921736475*^-6+0.*I	0.+0.00027775235958048077*I	-2.9585668830468263*^-6+0.*I	0.+0.00020429915771766*I	8.786070570866645*^-6+0.*I	0.+0.00016821498199372098*I	-4.7112050013325296*^-7+0.*I	0.+0.00012595274268679474*I	-8.7263810029357*^-7+0.*I	0.+0.00009070392067426944*I	7.56941841362654*^-6+0.*I	0.+0.00007655321197386943*I	-5.007121938374938*^-6+0.*I	0.+0.000042891276454404914*I	4.331219120852029*^-6+0.*I	0.+0.000030226332260977237*I	-1.007495966903318*^-6+0.*I	0.+8.508365024006439*^-6*I
0.+0.1697643492627588*I	-0.49994075239820446+0.*I	0.-0.6547616860501974*I	-0.4999300095244813+0.*I	0.+0.2020968652535814*I	0.00003546188312737874+0.*I	0.+0.036004249678953576*I	0.000024743517182737625+0.*I	0.+0.013728702591749445*I	0.000018998532948613094+0.*I	0.+0.006829742270968725*I	0.00001530952502420953+0.*I	0.+0.003921155738705226*I	0.000012692561201237018+0.*I	0.+0.002465804148007437*I	0.000010710234962824273+0.*I	0.+0.001651536158723824*I	9.17547812809272*^-6+0.*I	0.+0.001158136643393737*I	8.085032937124085*^-6+0.*I	0.+0.0008411178407774926*I	5.493856502655458*^-6+0.*I	0.+0.000623506344250632*I	9.677864648640334*^-6+0.*I	0.+0.0004804716041361945*I	-2.534179910067841*^-6+0.*I	0.+0.0003553386168246428*I	0.000015602332306046142+0.*I	0.+0.0002949278824690436*I	-0.00001024594905995776+0.*I	0.+0.0002035389999347845*I	0.000017688261027666927+0.*I	0.+0.00018133264544247435*I	-0.000011462601250650077+0.*I	0.+0.0001118772299048702*I	0.000013152259559308046+0.*I	0.+0.0000982711792341518*I	-6.2587439759176355*^-6+0.*I	0.+0.00005139964148557772*I	4.57534520258012*^-6+0.*I	0.+0.000030226332251585106*I	-1.2516220270371292*^-6+0.*I
0.000016862991085928646+0.*I	0.+0.19401498598779954*I	-0.499930009524451+0.*I	0.-0.6466798067844327*I	-0.4999221535061052+0.*I	0.+0.20576859894171573*I	0.00004160650822343417+0.*I	0.+0.03797933931682223*I	0.000029741406697806605+0.*I	0.+0.014911621536732363*I	0.0000231655433950428+0.*I	0.+0.0075928894268459755*I	0.00001883718625749161+0.*I	0.+0.004440893785866483*I	0.000015708124516081568+0.*I	0.+0.0028344551036753*I	0.000013342488590310543+0.*I	0.+0.0019212837992508254*I	0.000011612694105009114+0.*I	0.+0.0013608558879485179*I	8.509419853138578*^-6+0.*I	0.+0.000992157299878614*I	0.000012310118265372233+0.*I	0.+0.0007502192447061092*I	-9.696397073353823*^-8+0.*I	0.+0.0005580578613938973*I	0.00001602671926003533+0.*I	0.+0.0004459673416118476*I	-3.429687321304806*^-6+0.*I	0.+0.0003302519004045877*I	7.913432414455766*^-6+0.*I	0.+0.00025891890268143564*I	7.098297949458365*^-6+0.*I	0.+0.00020250595468129657*I	-5.879760058712752*^-6+0.*I	0.+0.00013359519712923375*I	0.000011900637524017511+0.*I	0.+0.00010677954421767494*I	-6.014617880160517*^-6+0.*I	0.+0.000051399641489603774*I	4.3312191196790745*^-6+0.*I	0.+0.00002171796721598905*I
0.+0.024250636725050668*I	0.000027605864801857666+0.*I	0.+0.20209686525354836*I	-0.4999221535061185+0.*I	0.-0.6430080730962503*I	-0.4999160088810408+0.*I	0.+0.20774368857953981*I	0.00004660439775376809+0.*I	0.+0.039162258261762034*I	0.000033908417119758995+0.*I	0.+0.015674768692608067*I	0.000026693204604053193+0.*I	0.+0.008112627474020894*I	0.000021852749594345505+0.*I	0.+0.004809544741504914*I	0.000018340378109778138+0.*I	0.+0.0031042027442140987*I	0.000015779704557933736+0.*I	0.+0.002124003043847704*I	0.000012037081064709002+0.*I	0.+0.0015118953470609345*I	0.000015325681571346785+0.*I	0.+0.001118870200366866*I	2.535289659473533*^-6+0.*I	0.+0.0008278055019543588*I	0.000018463935236393418+0.*I	0.+0.0006486865861425637*I	-3.0053003998566986*^-6+0.*I	0.+0.0004812913595297457*I	0.000014729694170557747+0.*I	0.+0.0003856318031635222*I	-2.6765306633433995*^-6+0.*I	0.+0.0002800922119162315*I	0.000012681139086976673+0.*I	0.+0.00022422392189585876*I	-7.131382121480193*^-6+0.*I	0.+0.00014210356217396727*I	0.000012144763627896686+0.*I	0.+0.00010677954422987388*I	-6.258743982427836*^-6+0.*I	0.+0.0000428912764669933*I	5.582841161786765*^-6+0.*I
0.000010742873765797684+0.*I	0.+0.03233251599081991*I	0.00003546188313961678+0.*I	0.+0.20576859894170588*I	-0.4999160088810083+0.*I	0.-0.6410329834584284*I	-0.4999110109914954+0.*I	0.+0.20892660752452566*I	0.00005077140819614983+0.*I	0.+0.039925405417693065*I	0.00003743607833313786+0.*I	0.+0.01619450673974103*I	0.000029708767934716188+0.*I	0.+0.008481278429670098*I	0.000024485003207596505+0.*I	0.+0.005079292382091157*I	0.000020777594097821195+0.*I	0.+0.0033069219887734017*I	0.00001620409148383531+0.*I	0.+0.0022750425029580868*I	0.000018853342810267285+0.*I	0.+0.0016386082475296434*I	5.550852979132931*^-6+0.*I	0.+0.0011964564576162464*I	0.0000210961887983725+0.*I	0.+0.0009184342267048705*I	-5.680844098593364*^-7+0.*I	0.+0.0006840106041256061*I	0.000015154081109929516+0.*I	0.+0.0005366712622841005*I	4.139731094436423*^-6+0.*I	0.+0.0004068051123808997*I	2.906310480844729*^-6+0.*I	0.+0.00030181017914551457*I	0.00001142951706360984+0.*I	0.+0.00023273228693134693*I	-6.887256026674869*^-6+0.*I	0.+0.00014210356217441098*I	0.000011900637542974762+0.*I	0.+0.00009827117919715159*I	-5.007121948478284*^-6+0.*I	0.+0.000021173309223280562*I
0.+0.00808187926575061*I	0.000018598892091747103+0.*I	0.+0.03600424967896114*I	0.000041606508227625235+0.*I	0.+0.20774368857956865*I	-0.4999110109915279+0.*I	0.-0.6398500645134774*I	-0.49990684398104984+0.*I	0.+0.20968975468038467*I	0.0000542990693988308+0.*I	0.+0.04044514346483142*I	0.00004045164168956832+0.*I	0.+0.016563157695403723*I	0.00003234102151065221+0.*I	0.+0.008751026070243278*I	0.000026922219208537238+0.*I	0.+0.005282011626611602*I	0.00002120198103310881+0.*I	0.+0.003457961447951145*I	0.000023020353235660482+0.*I	0.+0.0024017554033992214*I	9.078514190827527*^-6+0.*I	0.+0.0017161945047632027*I	0.000024111752172984962+0.*I	0.+0.0012870851823860972*I	2.0641691569288606*^-6+0.*I	0.+0.0009537582446498302*I	0.000017591297100496265+0.*I	0.+0.0007393905068398144*I	4.564117980683009*^-6+0.*I	0.+0.0005578445715308974*I	9.722572250855791*^-6+0.*I	0.+0.00042852307958760006*I	1.6546884405354087*^-6+0.*I	0.+0.00031031854417540224*I	0.000011673643157998411+0.*I	0.+0.00023273228693317279*I	-7.131382126506947*^-6+0.*I	0.+0.00013359519712220536*I	0.000013152259571366041+0.*I	0.+0.00007655321199116435*I	-0.000010589963103716342+0.*I
7.85601834759547*^-6+0.*I	0.+0.011753612953932747*I	0.000024743517184442384+0.*I	0.+0.037979339316793065*I	0.00004660439773949446+0.*I	0.+0.20892660752452813*I	-0.4999068439810436+0.*I	0.-0.6390869173576147*I	-0.4999033163198228+0.*I	0.+0.21020949272757475*I	0.00005731463273850679+0.*I	0.+0.04081379442047684*I	0.00004308389527569662+0.*I	0.+0.01683290533600466*I	0.00003477823750582688+0.*I	0.+0.00895374531477095*I	0.00002734660607855161+0.*I	0.+0.0054330510858078395*I	0.000028018242794788203+0.*I	0.+0.003584674348351267*I	0.000013245524603771285+0.*I	0.+0.0024793416606765633*I	0.00002763941339520984+0.*I	0.+0.001806823229518378*I	5.0797324895416634*^-6+0.*I	0.+0.0013224092003343293*I	0.000020223550677365404+0.*I	0.+0.0010091381474165854*I	7.001333989906*^-6+0.*I	0.+0.0007605638160753354*I	0.000010146959178428008+0.*I	0.+0.0005795625387213168*I	8.470950208066265*^-6+0.*I	0.+0.00043703144463373825*I	1.8988145521953002*^-6+0.*I	0.+0.0003103185441580231*I	0.000011429517070796685+0.*I	0.+0.00022422392192030595*I	-5.879760081352179*^-6+0.*I	0.+0.00011187722991876167*I	7.569418414870939*^-6+0.*I	0.+0.00005537990271771954*I
0.+0.0036717336882065937*I	0.000014000643404395014+0.*I	0.+0.013728702591718114*I	0.00002974140668641271+0.*I	0.+0.039162258261832554*I	0.00005077140819142536+0.*I	0.+0.20968975468035217*I	-0.49990331631982615+0.*I	0.-0.6385671793103747*I	-0.49990030075650654+0.*I	0.+0.21057814368320585*I	0.000059946886319632174+0.*I	0.+0.04108354206104817*I	0.000045521111252771664+0.*I	0.+0.017035624580542162*I	0.00003520262443569116+0.*I	0.+0.009104784773963308*I	0.00003416286786305806+0.*I	0.+0.005559763986211209*I	0.000018243414173307122+0.*I	0.+0.003662260605626485*I	0.000031806423788444184+0.*I	0.+0.0025699703854231777*I	8.607393736302494*^-6+0.*I	0.+0.0018421472474731534*I	0.000023239113994185076+0.*I	0.+0.0013777891030721204*I	9.633587620560223*^-6+0.*I	0.+0.001030311456646044*I	0.00001258417516067565+0.*I	0.+0.0007822817832727959*I	8.89533709595399*^-6+0.*I	0.+0.0005880709037583015*I	8.715076304633158*^-6+0.*I	0.+0.000437031444640456*I	1.6546884602833788*^-6+0.*I	0.+0.0003018101791602187*I	0.000012681139128163237+0.*I	0.+0.00020250595465940485*I	-0.000011462601258113833+0.*I	0.+0.00009070392067064221*I	0.000018159381505740438+0.*I
6.1446250701597226*^-6+0.*I	0.+0.005646823325990129*I	0.000018998532988939154+0.*I	0.+0.014911621536708873*I	0.00003390841707006826+0.*I	0.+0.03992540541764181*I	0.00005429906943334651+0.*I	0.+0.210209492727539*I	-0.49990030075650593+0.*I	0.-0.6381985283547486*I	-0.4998976685028764+0.*I	0.+0.21084789132379836*I	0.00006238410227740613+0.*I	0.+0.0412862613056282*I	0.00004594549817950959+0.*I	0.+0.017186664039660474*I	0.00004201888615768186+0.*I	0.+0.009231497674412698*I	0.00002438803930251212+0.*I	0.+0.005637350243431541*I	0.0000368043133217812+0.*I	0.+0.0037528893304050247*I	0.000012774404172418249+0.*I	0.+0.002605294403341863*I	0.000026766775222293962+0.*I	0.+0.0018975271502607754*I	0.000012649150938649748+0.*I	0.+0.0013989624122647672*I	0.000015216428748904216+0.*I	0.+0.0010520294238707778*I	0.000011332553098371812+0.*I	0.+0.0007907901483166495*I	9.13946321994139*^-6+0.*I	0.+0.0005880709037832971*I	8.470950210839144*^-6+0.*I	0.+0.0004285230795564982*I	2.9063105103736324*^-6+0.*I	0.+0.00028009221196311407*I	7.098297934306375*^-6+0.*I	0.+0.00018133264543260925*I	-8.726381239907583*^-7+0.*I	0.+0.000035324017952557026*I
0.+0.0019750896378201797*I	0.000011142514579516499+0.*I	0.+0.006829742270996873*I	0.000023165543396667103+0.*I	0.+0.015674768692597166*I	0.00003743607836681149+0.*I	0.+0.040445143464843805*I	0.00005731463270609409+0.*I	0.+0.21057814368322253*I	-0.49989766850292716+0.*I	0.-0.6379287807141568*I	-0.49989523128694174+0.*I	0.+0.21105061056832966*I	0.00006280848924922377+0.*I	0.+0.04143730076476569*I	0.00005276175992684647+0.*I	0.+0.01731337694011478*I	0.000032244057580803744+0.*I	0.+0.00930908393163861*I	0.000042948938426638036+0.*I	0.+0.0057279789681987875*I	0.000017772293702305266+0.*I	0.+0.0037882133483513477*I	0.00003093378567824979+0.*I	0.+0.002660674306102185*I	0.000016176812148614028+0.*I	0.+0.0019187004594607474*I	0.000018231992089376805+0.*I	0.+0.0014206803795003542*I	0.000013964806711518635+0.*I	0.+0.0010605377889035506*I	0.000011576679195272451+0.*I	0.+0.0007907901483252191*I	8.89533714261404*^-6+0.*I	0.+0.0005795625387424473*I	9.722572251630345*^-6+0.*I	0.+0.0004068051123577453*I	-2.676530648242889*^-6+0.*I	0.+0.00025891890268620065*I	0.000017688261020044064+0.*I	0.+0.00012595274267792974*I	-0.000019032019640930026+0.*I
