0.4465911817381302-0.172958922976487*I	0.1675765766137268-0.24458210017961599*I	0.0387946851524814-0.17293897604345343*I
0.16757657661372677-0.24458210017961596*I	0.4853858668906116-0.3458978990199404*I	0.16757657661372677-0.24458210017961593*I
0.0387946851524814-0.17293897604345346*I	0.16757657661372685-0.244582100179616*I	0.4465911817381302-0.17295892297648696*I
