0.-0.8487888438525153*I	-0.49995791799276545+0.*I	0.+0.16972698284051682*I	0.00001620724128287414+0.*I	0.+0.02418548739954585*I	9.642096536311048*^-6+0.*I	0.+0.00798482408005911*I	8.28009039799857*^-6+0.*I	0.+0.0035313690791685904*I	-2.162703722517563*^-6+0.*I	0.+0.0017895192405029557*I	0.00001930800106616276+0.*I	0.+0.0009141035388930514*I	-0.000026872169399511643+0.*I	0.+0.0004029843250201839*I	0.00003793457386538529+0.*I
-0.49995791799276895+0.*I	0.-0.6790618610119992*I	-0.49994171075143473+0.*I	0.+0.19391247024008762*I	0.00002584933780209306+0.*I	0.+0.03217031147960473*I	0.000017922186935985404+0.*I	0.+0.011516193159226773*I	6.1173866645292465*^-6+0.*I	0.+0.005320888319684166*I	0.000017145297338800994+0.*I	0.+0.0027036227794041455*I	-7.5641683417508724*^-6+0.*I	0.+0.0013170878639244521*I	0.000011062404460558512+0.*I	0.+0.00040298432500677155*I
0.+0.1697269828405206*I	-0.49994171075147453+0.*I	0.-0.6548763736124259*I	-0.49993206865493356+0.*I	0.+0.20189729432010933*I	0.00003412942821448902+0.*I	0.+0.035701680558792005*I	0.00001575948319290071+0.*I	0.+0.013305712399739369*I	0.000025425387760298356+0.*I	0.+0.006234991858561793*I	-9.72687208438607*^-6+0.*I	0.+0.00310660710442577*I	0.000030370405568523405+0.*I	0.+0.0013170878639143227*I	-0.000026872169425121484+0.*I
0.000016207241278260713+0.*I	0.+0.19391247024008365*I	-0.4999320686549233+0.*I	0.-0.6468915495323965*I	-0.4999237885645288+0.*I	0.+0.2054286633993043*I	0.00003196672447907919+0.*I	0.+0.03749119979930148*I	0.00003506748426433756+0.*I	0.+0.014219815938626123*I	-1.4467816516290963*^-6+0.*I	0.+0.006637976183590627*I	0.000028207701811701414+0.*I	0.+0.0031066071044212567*I	-7.564168335090271*^-6+0.*I	0.+0.0009141035389035665*I
0.+0.02418548739956348*I	0.00002584933780015026+0.*I	0.+0.2018972943201356*I	-0.49992378856451714+0.*I	0.-0.6433601804532144*I	-0.49992595126828293+0.*I	0.+0.20721818263980146*I	0.000051274725557467294+0.*I	0.+0.03840530333817599*I	8.195314867706398*^-6+0.*I	0.+0.014622800263643227*I	0.00003648779221681648+0.*I	0.+0.006637976183596314*I	-9.726872075895336*^-6+0.*I	0.+0.0027036227793984283*I	0.00001930800105643107+0.*I
9.642096515563577*^-6+0.*I	0.+0.032170311479602046*I	0.00003412942823179301+0.*I	0.+0.2054286633992877*I	-0.49992595126827305+0.*I	0.-0.6415706612126868*I	-0.4999066432672014+0.*I	0.+0.2081322861786962*I	0.000024402556157269853+0.*I	0.+0.03880828766321793*I	0.00004612988873994822+0.*I	0.+0.014622800263637159*I	-1.4467816562384768*^-6+0.*I	0.+0.006234991858582429*I	0.00001714529732409575+0.*I	0.+0.0017895192405070265*I
0.+0.007984824080063692*I	0.000017922186933693906+0.*I	0.+0.03570168055878864*I	0.00003196672448137662+0.*I	0.+0.2072181826398284*I	-0.4999066432671774+0.*I	0.-0.6406565576738352*I	-0.49993351543662+0.*I	0.+0.20853527050371873*I	0.00006233713003958785+0.*I	0.+0.0388082876631996*I	8.195314842010473*^-6+0.*I	0.+0.014219815938615224*I	0.000025425387744417342+0.*I	0.+0.005320888319684117*I	-2.1627037526608836*^-6+0.*I
8.280090401691282*^-6+0.*I	0.+0.011516193159213598*I	0.00001575948320755918+0.*I	0.+0.03749119979929038*I	0.00005127472557389165+0.*I	0.+0.2081322861786946*I	-0.4999335154366151+0.*I	0.-0.6402535733487922*I	-0.4998955808627204+0.*I	0.+0.20853527050374385*I	0.000024402556150133116+0.*I	0.+0.038405303338163166*I	0.00003506748426373983+0.*I	0.+0.013305712399740462*I	6.1173866788682675*^-6+0.*I	0.+0.003531369079153882*I
0.+0.0035313690791762067*I	6.117386669467317*^-6+0.*I	0.+0.013305712399729587*I	0.00003506748426964464+0.*I	0.+0.038405303338178085*I	0.00002440255615424642+0.*I	0.+0.2085352705037297*I	-0.4998955808627264+0.*I	0.-0.6402535733488001*I	-0.4999335154366125+0.*I	0.+0.20813228617866586*I	0.00005127472556116553+0.*I	0.+0.03749119979928202*I	0.000015759483186653675+0.*I	0.+0.011516193159211537*I	8.280090415472176*^-6+0.*I
-2.1627037427516417*^-6+0.*I	0.+0.005320888319685591*I	0.000025425387744142632+0.*I	0.+0.014219815938621387*I	8.195314854936284*^-6+0.*I	0.+0.038808287663193844*I	0.00006233713003862129+0.*I	0.+0.20853527050371537*I	-0.4999335154366202+0.*I	0.-0.640656557673841*I	-0.4999066432671808+0.*I	0.+0.20721818263983482*I	0.00003196672447206707+0.*I	0.+0.03570168055876164*I	0.000017922186938808162+0.*I	0.+0.007984824080050473*I
0.+0.0017895192405144172*I	0.000017145297334541214+0.*I	0.+0.006234991858555767*I	-1.4467816471667464*^-6+0.*I	0.+0.014622800263634453*I	0.00004612988872809669+0.*I	0.+0.038808287663208936*I	0.000024402556162046106+0.*I	0.+0.20813228617869153*I	-0.49990664326721507+0.*I	0.-0.6415706612126918*I	-0.49992595126824985+0.*I	0.+0.20542866339928978*I	0.00003412942821337803+0.*I	0.+0.032170311479609436*I	9.642096555631092*^-6+0.*I
0.000019308001087278707+0.*I	0.+0.00270362277941811*I	-9.726872084015243*^-6+0.*I	0.+0.0066379761835925685*I	0.00003648779223314846+0.*I	0.+0.014622800263657773*I	8.195314849885582*^-6+0.*I	0.+0.038405303338164325*I	0.00005127472555612241+0.*I	0.+0.20721818263980532*I	-0.4999259512682682+0.*I	0.-0.6433601804532163*I	-0.4999237885645228+0.*I	0.+0.20189729432011505*I	0.000025849337803535662+0.*I	0.+0.02418548739953581*I
0.+0.0009141035388864072*I	-7.564168329638786*^-6+0.*I	0.+0.003106607104424758*I	0.00002820770181782681+0.*I	0.+0.006637976183588468*I	-1.4467816591704475*^-6+0.*I	0.+0.01421981593862523*I	0.00003506748428868325+0.*I	0.+0.03749119979929233*I	0.000031966724467846227+0.*I	0.+0.20542866339931018*I	-0.499923788564509+0.*I	0.-0.6468915495323961*I	-0.499932068654961+0.*I	0.+0.19391247024008046*I	0.000016207241301899485+0.*I
-0.000026872169412772706+0.*I	0.+0.0013170878639148353*I	0.000030370405552204716+0.*I	0.+0.0031066071044277524*I	-9.72687207190237*^-6+0.*I	0.+0.0062349918585831625*I	0.000025425387736977+0.*I	0.+0.013305712399738745*I	0.000015759483190880275+0.*I	0.+0.03570168055878192*I	0.00003412942823094456+0.*I	0.+0.20189729432010786*I	-0.49993206865496004+0.*I	0.-0.6548763736124376*I	-0.4999417107514589+0.*I	0.+0.1697269828405224*I
0.+0.0004029843250318299*I	0.000011062404466500599+0.*I	0.+0.0013170878639111594*I	-7.564168336535843*^-6+0.*I	0.+0.002703622779399284*I	0.000017145297330963655+0.*I	0.+0.005320888319664374*I	6.117386696598607*^-6+0.*I	0.+0.01151619315923258*I	0.000017922186920807956+0.*I	0.+0.03217031147959326*I	0.000025849337808245016+0.*I	0.+0.19391247024006858*I	-0.4999417107514513+0.*I	0.-0.6790618610119902*I	-0.49995791799276507+0.*I
0.000037934573901110547+0.*I	0.+0.00040298432501761417*I	-0.000026872169424208003+0.*I	0.+0.0009141035389002295*I	0.000019308001090956317+0.*I	0.+0.0017895192404933488*I	-2.162703758412654*^-6+0.*I	0.+0.0035313690791806515*I	8.280090422752018*^-6+0.*I	0.+0.007984824080048199*I	9.642096506445874*^-6+0.*I	0.+0.02418548739956529*I	0.00001620724131246032+0.*I	0.+0.16972698284050614*I	-0.4999579179927713+0.*I	0.-0.8487888438524913*I
