0.-0.8487808024716994*I	-0.4999577759307877+0.*I	0.+0.16975179071517493*I	0.00001653884503324505+0.*I	0.+0.024229114326598925*I	0.000010247711546255753+0.*I	0.+0.00805044198667039*I	7.2308398126880706*^-6+0.*I	0.+0.003628976760101585*I	5.5044458600890495*^-6+0.*I	0.+0.0019195620099910493*I	2.429869783774816*^-6+0.*I	0.+0.0011074462224087422*I	7.902181777291109*^-6+0.*I	0.+0.0006787803866176306*I	-7.592478700711979*^-6+0.*I	0.+0.000382887646828603*I	0.00001355492009347321+0.*I	0.+0.00024156790164304998*I	-8.165982182500111*^-6+0.*I	0.+0.0000337334644086168*I
2.4298712975101474*^-6+0.*I	0.+0.00302700823170313*I	0.00001583649980933163+0.*I	0.+0.007334765380012045*I	0.000015474857660729662+0.*I	0.+0.015768095005762265*I	0.000039277501481377966+0.*I	0.+0.04023877723777201*I	0.0000476503485534045+0.*I	0.+0.2100243014104512*I	-0.4999101255762248+0.*I	0.-0.6387902345192094*I	-0.49990195958862854+0.*I	0.+0.20974900004604635*I	0.00004226141459559517+0.*I	0.+0.03961432167576075*I	0.00003331505756867281+0.*I	0.+0.01470642697567261*I	0.000015165155168953446+0.*I	0.+0.005548538769981839*I	5.504457198268753*^-6+0.*I
0.+0.0011074462115990696*I	0.000010332056269487718+0.*I	0.+0.003705788623818998*I	8.244025031145021*^-6+0.*I	0.+0.007717653016073633*I	0.000029029783263790384+0.*I	0.+0.016009662926237636*I	0.000031111517955317106+0.*I	0.+0.040272510690604155*I	0.0000476503463610384+0.*I	0.+0.20999056795105567*I	-0.49990195959481304+0.*I	0.-0.6390318024345852*I	-0.4999155145109615+0.*I	0.+0.20936611240103178*I	0.00004985389282541757+0.*I	0.+0.03893554129528279*I	0.000025412876738114983+0.*I	0.+0.01359898075779388*I	0.000012735291661887102+0.*I	0.+0.0036289767534821715*I
7.90218240097256*^-6+0.*I	0.+0.0017862266029653791*I	2.73957810128844*^-6+0.*I	0.+0.00408867626346173*I	0.00002179893578355964+0.*I	0.+0.007959220929276851*I	0.00002086379941037744+0.*I	0.+0.016043396372049285*I	0.00003111150785441365+0.*I	0.+0.040238777233578084*I	0.00005581634617464126+0.*I	0.+0.20974900004566108*I	-0.4999155145147171+0.*I	0.-0.6394146900745047*I	-0.499907922034272+0.*I	0.+0.20868733200723064*I	0.00004195171425381963+0.*I	0.+0.037828095077452384*I	0.000022983009784623395+0.*I	0.+0.011679418741762466*I	7.230839078276041*^-6+0.*I
0.+0.0006787803904430428*I	3.0970281079344414*^-7+0.*I	0.+0.0021691142488456105*I	0.000016294490731376328+0.*I	0.+0.004330244175320103*I	0.000013632958835571309+0.*I	0.+0.007992954391218027*I	0.00002086380084229767+0.*I	0.+0.016009662909704805*I	0.00003927749648407665+0.*I	0.+0.03999720932757793*I	0.000042261423013441076+0.*I	0.+0.2093661123996008*I	-0.49990792203597634+0.*I	0.-0.6400934704596235*I	-0.49991582420915587+0.*I	0.+0.20757988578948094*I	0.0000395218481225025+0.*I	0.+0.035908533064648196*I	0.00001747855202670935+0.*I	0.+0.008050441983467965*I
-7.592476448512121*^-6+0.*I	0.+0.0010616680406814942*I	0.000013864624084002604+0.*I	0.+0.0024106821572095504*I	8.128508487640022*^-6+0.*I	0.+0.004363977632631595*I	0.000013632955696592957+0.*I	0.+0.007959220925450922*I	0.000029029780638516966+0.*I	0.+0.015768095010020897*I	0.00002572258199100645+0.*I	0.+0.039614321679504634*I	0.00004985389000727873+0.*I	0.+0.20868733201004164*I	-0.49991582421170516+0.*I	0.-0.641200916677572*I	-0.49991825408575946+0.*I	0.+0.20566032377669838*I	0.000034017397929894016+0.*I	0.+0.032279556299710466*I	0.000010247708569277592+0.*I
0.+0.00038288765222962984*I	5.962441933795445*^-6+0.*I	0.+0.0013032359375513142*I	5.6986441482695365*^-6+0.*I	0.+0.0024444156263364464*I	8.128507617963987*^-6+0.*I	0.+0.004330244166764058*I	0.000021798941539758042+0.*I	0.+0.00771765302262617*I	0.00001547486917212648+0.*I	0.+0.0153852073593293*I	0.00003331505162322082+0.*I	0.+0.038935541297795945*I	0.00004195171994715417+0.*I	0.+0.20757988579353168*I	-0.49991825407813434+0.*I	0.-0.6431204786881248*I	-0.49992375853895826+0.*I	0.+0.20203134701906073*I	0.00002678655154697905+0.*I	0.+0.024229114320751116*I
0.000013554917983597814+0.*I	0.+0.000624455554377157*I	-2.203542880351017*^-6+0.*I	0.+0.0013369694037372343*I	5.698644799663477*^-6+0.*I	0.+0.00241068215919045*I	0.000016294492570408103+0.*I	0.+0.004088676264121046*I	8.244024723616517*^-6+0.*I	0.+0.007334765370966245*I	0.000023067333277726476+0.*I	0.+0.014706426977979874*I	0.000025412882774314416+0.*I	0.+0.037828095083860806*I	0.0000395218405932346+0.*I	0.+0.20566032377604188*I	-0.49992375853116133+0.*I	0.-0.6467494554506313*I	-0.4999309893847682+0.*I	0.+0.1939809050371906*I	0.000016538838979118786+0.*I
0.+0.00024156790626414515*I	5.388934696757378*^-6+0.*I	0.+0.0006581890166682536*I	-2.203529595220314*^-6+0.*I	0.+0.0013032359463866633*I	0.000013864620953117953+0.*I	0.+0.0021691142500992466*I	2.739570087841763*^-6+0.*I	0.+0.003705788615767369*I	0.00001583650757890698+0.*I	0.+0.006655984991111447*I	0.00001516515476413395+0.*I	0.+0.013598980754366441*I	0.00002298300787749181+0.*I	0.+0.035908533063369885*I	0.00003401739737341993+0.*I	0.+0.2020313470216511*I	-0.4999309893771543+0.*I	0.-0.6547998974259726*I	-0.49994123709649746+0.*I	0.+0.1697517907132442*I
-8.165988593017426*^-6+0.*I	0.+0.00027530136841499506*I	5.38893531346063*^-6+0.*I	0.+0.0006244555541750037*I	5.962438257262059*^-6+0.*I	0.+0.0010616680263643454*I	3.0971294667780924*^-7+0.*I	0.+0.0017862266115004518*I	0.00001033205157492667+0.*I	0.+0.003027008233693648*I	7.934313437776841*^-6+0.*I	0.+0.005548538778176618*I	0.0000127352916730189+0.*I	0.+0.011679418743746712*I	0.000017478553187191825+0.*I	0.+0.032279556308653125*I	0.000026786548170051883+0.*I	0.+0.19398090504011303*I	-0.49994123708644717+0.*I	0.-0.6790290117530324*I	-0.4999577759322553+0.*I
0.+0.00003373346724327986*I	-8.165978731169649*^-6+0.*I	0.+0.0002415679046733482*I	0.000013554921258574563+0.*I	0.+0.0003828876528354508*I	-7.59247944663008*^-6+0.*I	0.+0.000678780380075697*I	7.902178781228787*^-6+0.*I	0.+0.0011074462170074517*I	2.4298693957939022*^-6+0.*I	0.+0.0019195620185634282*I	5.504448425355273*^-6+0.*I	0.+0.003628976763299527*I	7.2308467122367655*^-6+0.*I	0.+0.008050441975381212*I	0.000010247718386943708+0.*I	0.+0.024229114325617418*I	0.000016538831715916228+0.*I	0.+0.1697517907146035*I	-0.49995777592294977+0.*I	0.-0.8487808024659484*I
