0.4463490548292891-0.18920862277774356*I	0.13891327706617324-0.2675595481947325*I	0.00808654616972554-0.1891848490616488*I
0.13891327706617318-0.2675595481947324*I	0.4544356009990146-0.3783934718393923*I	0.1389132770661732-0.2675595481947324*I
0.00808654616972554-0.1891848490616488*I	0.13891327706617324-0.26755954819473243*I	0.4463490548292891-0.18920862277774353*I
