0.3487073115852368-0.01086535043909816*I	0.14688835644727788-0.020036844804688238*I	0.07207339214759688-0.02617960143851699*I	0.036851578269101126-0.028524195120640066*I	0.016205433358093446-0.0270067680018444*I	0.002730841019333102-0.022251939883651012*I	-0.00581695722666568-0.015413142337199794*I	-0.010281458108214138-0.007910842793807967*I	-0.011307044068265886-0.0011297351054814497*I	-0.009688290955357264+0.003857055146798091*I	-0.006390890492350419+0.006477431570830538*I	-0.0024390946142538454+0.0067262932774399065*I	0.0012358641023493696+0.005100895409402753*I	0.003930533665476124+0.002429101144618481*I	0.005254285398233314-0.0003621222741886725*I	0.005150639788861904-0.0024790258721642177*I	0.003857107670397597-0.003438379015865322*I	0.001818052243626386-0.003150459670789743*I	-0.0004278534160545262-0.0018939603085552845*I	-0.0023624008702135685-0.0001969094061014902*I	-0.0035847232960999247+0.0013390852153206845*I	-0.0038762290615114263+0.0022211315782675396*I	-0.0032268220069415847+0.0022042629251084996*I	-0.0018225137802516042+0.0013513416284742508*I
0.1468883564472779-0.02003684480468824*I	0.4207807037328339-0.03704495187761515*I	0.18373993471637898-0.04856103992532832*I	0.08827882550569031-0.0531863694403614*I	0.039582419288434256-0.0507761350042911*I	0.010388476131427755-0.04241991033904422*I	-0.007550617088881028-0.030162782677459022*I	-0.017124001294931558-0.0165428774426813*I	-0.019969749063571404-0.0040537876470099305*I	-0.017697934560616295+0.005347696465349036*I	-0.012127385569611095+0.01058334842423795*I	-0.005155026390001033+0.011578326980233263*I	0.0014914390512222964+0.009155394422058366*I	0.0064901495005827035+0.004738773135214071*I	0.009081173454338043-0.000049924727545741404*I	0.009111393068630926-0.003800501290053998*I	0.006968692032488298-0.0056294855429539666*I	0.0034292542543430727-0.005332339324420614*I	-0.0005443486265871865-0.003347369076891247*I	-0.004012576712154459-0.0005548750932346197*I	-0.006238629931725007+0.0020242221721660267*I	-0.006811545303041521+0.0035433481404291613*I	-0.005698742841763041+0.0035724732067417735*I	-0.0032268220069415895+0.00220426292510849*I
0.07207339214759692-0.026179601438516997*I	0.1837399347163791-0.04856103992532832*I	0.43698613709092743-0.06405171987945955*I	0.18647077573571214-0.07081297980897935*I	0.0824618682790247-0.06859951177756128*I	0.02930096118022014-0.05868697779809922*I	-0.0009185679368381094-0.0435496454445258*I	-0.017238908044238277-0.02630572753066109*I	-0.02351489178728196-0.010065445871850912*I	-0.022408843677825217+0.002672505630429835*I	-0.0164620704582669+0.010448591874751681*I	-0.008196851904134926+0.013012449568856351*I	0.00009925900823232787+0.011216204706044541*I	0.006642078840084247+0.006676368549894126*I	0.010347257170980343+0.0013003941193487402*I	0.010899225697964466-0.0032003843983354945*I	0.008683539652576415-0.0056944615986093*I	0.004606291162274728-0.005826394949055487*I	-0.00015546904175686957-0.003993254109099976*I	-0.004420577688098643-0.0011262374986237668*I	-0.00723939871909608+0.0016493878318738163*I	-0.008061143711976644+0.0033755638006402206*I	-0.006811545303041546+0.0035433481404291214*I	-0.003876229061511447+0.002221131578267506*I
0.03685157826910116-0.02852419512064007*I	0.08827882550569036-0.053186369440361425*I	0.18647077573571216-0.07081297980897941*I	0.43116917986426156-0.07946486221665945*I	0.176189317627498-0.07872382260278751*I	0.0711548242107588-0.06972924688304295*I	0.01961267022486289-0.054829922651301356*I	-0.007309458429188491-0.037072213873695546*I	-0.019678002658492073-0.019579434253221437*I	-0.02227902768493252-0.004964550462448388*I	-0.018478310012349005+0.005101606775048135*I	-0.011207785060033485+0.010086469600562885*I	-0.003046212115272932+0.010533423696692067*I	0.003956366678630014+0.007777825690179189*I	0.00846013108371071+0.003525908879104372*I	0.009919403754925869-0.0005935661892065589*I	0.008536824827750917-0.0033972938044370166*I	0.0050988163564764785-0.004355376383288675*I	0.0007300621007632613-0.0036052633707880357*I	-0.003382291048698513-0.0017889911839915865*I	-0.006243091468350312+0.00022510412985037219*I	-0.007239398719096136+0.0016493878318737216*I	-0.006238629931725078+0.002024222172165909*I	-0.0035847232960999702+0.0013390852153206075*I
0.01620543335809346-0.027006768001844414*I	0.03958241928843429-0.05077613500429115*I	0.08246186827902473-0.06859951177756128*I	0.17618931762749807-0.07872382260278751*I	0.41986213579599585-0.08059459732214126*I	0.1665010266721409-0.07486676745598976*I	0.06476393371840845-0.06325181531221279*I	0.01717357561060914-0.048103629373861874*I	-0.00607359432683903-0.03197131846429317*I	-0.01574746899301583-0.017150333108603283*I	-0.017024742286699084-0.005326672736637293*I	-0.013327670223486956+0.002622580902883771*I	-0.007350677389635742+0.006648090584697492*I	-0.0012281598716464115+0.0073829640259023025*I	0.003528513262575596+0.005883865381623901*I	0.00609773021349721+0.0033289994730028643*I	0.006334680458825961+0.0007455190261140758*I	0.004660595766239459-0.0011761622261695706*I	0.0018719943495348248-0.002151113458180309*I	-0.001092451679488433-0.002253921742313942*I	-0.003382291048698604-0.001788991183991739*I	-0.004420577688098779-0.0011262374986239975*I	-0.004012576712154591-0.0005548750932348401*I	-0.0023624008702136465-0.00019690940610162246*I
0.002730841019333141-0.022251939883651043*I	0.010388476131427828-0.04241991033904429*I	0.029300961180220228-0.05868697779809926*I	0.07115482421075886-0.06972924688304305*I	0.1665010266721409-0.07486676745598986*I	0.4134712453036456-0.07411716575131112*I	0.16406193205788705-0.06814047417855033*I	0.06599979782075792-0.05815091990281052*I	0.021104109276085393-0.04567452822924381*I	-0.0008193089286055409-0.03233344073848219*I	-0.010596829204153732-0.019629358980767744*I	-0.013167634616301275-0.008765051752502756*I	-0.01150961797986037-0.0005278787679060304*I	-0.007778530805690095+0.004754130276142198*I	-0.0035905607418598518+0.007186054619800816*I	-0.000056210033524259444+0.007222950596944568*I	0.0022215011519857862+0.005550131051270337*I	0.003107858451884319+0.002949781951222449*I	0.0028380819859877564+0.00017517940230450858*I	0.0018719943495347105-0.0021511134581804997*I	0.0007300621007630659-0.003605263370788365*I	-0.00015546904175709232-0.003993254109100356*I	-0.0005443486265873782-0.0033473690768915767*I	-0.0004278534160546358-0.0018939603085554738*I
-0.005816957226665637-0.015413142337199839*I	-0.007550617088880947-0.03016278267745909*I	-0.0009185679368380093-0.04354964544452591*I	0.019612670224862985-0.05482992265130145*I	0.0647639337184085-0.06325181531221287*I	0.1640619320578871-0.06814047417855042*I	0.41470710940599503-0.06901627034190884*I	0.16799246572336332-0.06571137303393233*I	0.07125408321899142-0.058513042176999625*I	0.026254749064947545-0.048153554101408355*I	0.003037798741792327-0.03577181975434774*I	-0.008778776960527075-0.0227798186515576*I	-0.013595488032355545-0.01065901206105807*I	-0.013872018850073733-0.0007247881740075047*I	-0.01136325410178988+0.006093215491462899*I	-0.007466789803371222+0.009407186198068336*I	-0.0032830320404658676+0.009427213522052983*I	0.00039898737173409376+0.006901472679744442*I	0.003107858451884193+0.002949781951222261*I	0.004660595766239226-0.0011761622261699375*I	0.005098816356476183-0.00435537638328916*I	0.004606291162274426-0.00582639494905599*I	0.0034292542543428277-0.005332339324421033*I	0.0018180522436262495-0.003150459670789978*I
-0.010281458108214092-0.007910842793808019*I	-0.01712400129493147-0.01654287744268138*I	-0.017238908044238162-0.026305727530661183*I	-0.00730945842918838-0.037072213873695664*I	0.017173575610609216-0.04810362937386197*I	0.06599979782075795-0.05815091990281061*I	0.16799246572336343-0.0657113730339324*I	0.41996139480422834-0.069378392616098*I	0.17314310551222545-0.06819039890609697*I	0.07511119088938935-0.061951421192865244*I	0.028072801308574234-0.051304013772198266*I	0.0026099453257381034-0.03766578006290309*I	-0.011141177830740374-0.02297672805765906*I	-0.01718021132845527-0.009319926845737328*I	-0.01774824791158505+0.0014963434042600781*I	-0.014590076108731443+0.008297478416571398*I	-0.009289303583622881+0.010758527826542514*I	-0.0032830320404659817+0.009427213522052847*I	0.0022215011519855555+0.0055501310512700176*I	0.006334680458825641+0.0007455190261135957*I	0.008536824827750552-0.0033972938044375934*I	0.008683539652576063-0.005694461598609873*I	0.006968692032488023-0.005629485542954429*I	0.003857107670397446-0.0034383790158655793*I
-0.011307044068265836-0.0011297351054815068*I	-0.019969749063571306-0.004053787647010032*I	-0.02351489178728185-0.01006544587185104*I	-0.01967800265849195-0.01957943425322158*I	-0.006073594326838921-0.03197131846429327*I	0.021104109276085487-0.0456745282292439*I	0.07125408321899149-0.05851304217699971*I	0.1731431055122255-0.06819039890609699*I	0.42381850247462627-0.07281677163196364*I	0.17496115775585222-0.0713408585768869*I	0.07468333747333518-0.0638453815014206*I	0.025710400438361-0.05150092317829977*I	-0.0009747779703615473-0.036326694847582344*I	-0.015017406892251617-0.02075559647939145*I	-0.020407033335396774-0.007115663920628782*I	-0.019570761691836667+0.0028476850327343295*I	-0.014590076108731536+0.008297478416571328*I	-0.007466789803371418+0.009407186198068147*I	-0.000056210033524551644+0.007222950596944217*I	0.006097730213496849+0.0033289994730023704*I	0.009919403754925483-0.0005935661892071317*I	0.010899225697964109-0.0032003843983360535*I	0.009111393068630652-0.003800501290054445*I	0.005150639788861755-0.002479025872164466*I
-0.009688290955357228+0.0038570551467980315*I	-0.017697934560616222+0.005347696465348932*I	-0.02240884367782511+0.0026725056304297006*I	-0.02227902768493242-0.0049645504624485325*I	-0.01574746899301575-0.017150333108603408*I	-0.0008193089286054673-0.03233344073848231*I	0.02625474906494758-0.04815355410140846*I	0.07511119088938935-0.06195142119286528*I	0.17496115775585225-0.07134085857688696*I	0.4233906490585721-0.07471073194051897*I	0.17259875688563905-0.07153776798298841*I	0.07109861417723556-0.06250629628609985*I	0.021834171376849815-0.04927979160003212*I	-0.00420159997730299-0.03412243192247373*I	-0.016839920672503186-0.019404254850917128*I	-0.02040703333539684-0.007115663920628764*I	-0.01774824791158519+0.001496343404260039*I	-0.011363254101790109+0.00609321549146276*I	-0.0035905607418601528+0.00718605461980054*I	0.0035285132625752476+0.0058838653816235065*I	0.008460131083710354+0.0035259088791039107*I	0.010347257170980017+0.0013003941193482859*I	0.009081173454337798-0.0000499247275461043*I	0.005254285398233181-0.00036212227418887434*I
