0.46064998679770924-0.11611066537712803*I	0.19192140660629267-0.17067002345988147*I	0.0267113404503913-0.14306968642268905*I	-0.055918149692664426-0.06410191395707651*I	-0.06415920129857033+0.010236809765412316*I	-0.027265862831874304+0.039744494741153776*I	0.014413376182471193+0.02407369552471237*I	0.03175033053781144-0.006104706039227932*I	0.01999451426356041-0.01952044743166245*I	-0.004978631487489735-0.009130301584251077*I	-0.02180082074317952+0.008004643358622254*I	-0.018734022862870223+0.011879307632988655*I
0.1919214066062926-0.17067002345988155*I	0.48736132724810033-0.25918035179981724*I	0.13600325691362772-0.23477193741695795*I	-0.03744786084817975-0.13283287665727678*I	-0.08318401252453947-0.024357419215922757*I	-0.0497458251160997+0.034310505290124624*I	0.0044844677059368305+0.03363978870192568*I	0.034407890446031465+0.00455324809304952*I	0.02677169905032154-0.015235007623479657*I	-0.0018063064796194-0.011515804073041029*I	-0.02371265435036031+0.002749006048736781*I	-0.02180082074317978+0.008004643358621766*I
0.026711340450390947-0.14306968642268936*I	0.13600325691362736-0.23477193741695837*I	0.4232021259495286-0.248943542034405*I	0.10873739408175165-0.19502744267580424*I	-0.023034484665710227-0.10875918113256443*I	-0.05143368198672915-0.030462125255150786*I	-0.02975131085253979+0.014790057858461702*I	-0.0004941637815531172+0.024509487117673565*I	0.012607069702851552+0.012557891451670196*I	0.008037676187450615-0.0033556999904927956*I	-0.0018063064796201937-0.01151580407304248*I	-0.004978631487490502-0.009130301584252466*I
-0.05591814969266493-0.06410191395707672*I	-0.037447860848180525-0.13283287665727708*I	0.10873739408175113-0.19502744267580446*I	0.4376155021319975-0.22486984650969258*I	0.14048772461956122-0.20113214871503207*I	-0.003039970402150832-0.12827962856422706*I	-0.05641231347421914-0.03959242683940262*I	-0.051552131595719426+0.02279470121708252*I	-0.01922818664442384+0.036388794750660314*I	0.012607069702850643+0.012557891451668383*I	0.026771699050320036-0.015235007623482504*I	0.01999451426355925-0.019520447431664565*I
-0.06415920129857078+0.010236809765412481*I	-0.08318401252454014-0.0243574192159225*I	-0.02303448466571077-0.10875918113256422*I	0.14048772461956102-0.2011321487150321*I	0.4576100163955568-0.24439029394135492*I	0.13550909313207118-0.21026245029928364*I	-0.024840791145330134-0.12027498520560564*I	-0.07514633633708923-0.02771311920641514*I	-0.05155213159571976+0.02279470121708137*I	-0.0004941637815542165+0.024509487117671074*I	0.03440789044602993+0.00455324809304652*I	0.03175033053781032-0.006104706039229973*I
-0.027265862831874297+0.03974449474115457*I	-0.04974582511609973+0.03431050529012579*I	-0.051433681986729214-0.030462125255149828*I	-0.003039970402150915-0.12827962856422664*I	0.13550909313207118-0.2102624502992836*I	0.4358091956523778-0.2363856505827333*I	0.11677507026920166-0.1983831426662955*I	-0.024840791145329732-0.12027498520560595*I	-0.056412313474218864-0.03959242683940348*I	-0.02975131085254008+0.014790057858460208*I	0.004484467705936105+0.033639788701923995*I	0.01441337618247059+0.024073695524711235*I
0.014413376182471675+0.024073695524713563*I	0.004484467705937548+0.03363978870192752*I	-0.029751310852539174+0.014790057858463336*I	-0.056412313474218864-0.039592426839401715*I	-0.024840791145330134-0.1202749852056055*I	0.11677507026920145-0.19838314266629567*I	0.4358091956523782-0.23638565058273334*I	0.13550909313207257-0.2102624502992834*I	-0.003039970402149356-0.12827962856422662*I	-0.051433681986728215-0.03046212525515047*I	-0.04974582511609944+0.03431050529012472*I	-0.027265862831874352+0.039744494741153734*I
0.03175033053781213-0.006104706039226769*I	0.03440789044603247+0.0045532480930513125*I	-0.0004941637815522316+0.024509487117675248*I	-0.05155213159571897+0.022794701217083484*I	-0.07514633633708914-0.027713119206415095*I	-0.02484079114532976-0.12027498520560644*I	0.13550909313207263-0.21026245029928387*I	0.4576100163955591-0.2443902939413541*I	0.1404877246195636-0.2011321487150305*I	-0.023034484665708677-0.10875918113256287*I	-0.08318401252453887-0.024357419215921737*I	-0.06415920129857026+0.010236809765412727*I
0.01999451426356087-0.019520447431661928*I	0.026771699050322232-0.015235007623478791*I	0.01260706970285214+0.012557891451671114*I	-0.019228186644423537+0.03638879475066091*I	-0.05155213159571969+0.022794701217081343*I	-0.05641231347421883-0.03959242683940414*I	-0.0030399704021492296-0.1282796285642276*I	0.14048772461956377-0.2011321487150312*I	0.43761550213199996-0.22486984650969086*I	0.10873739408175284-0.19502744267580313*I	-0.03744786084817988-0.13283287665727647*I	-0.05591814969266487-0.06410191395707661*I
-0.004978631487489722-0.009130301584251422*I	-0.0018063064796194185-0.011515804073041449*I	0.008037676187450538-0.003355699990492995*I	0.012607069702850533+0.012557891451668406*I	-0.0004941637815542723+0.024509487117670984*I	-0.029751310852539972+0.014790057858459656*I	-0.051433681986727944-0.030462125255151497*I	-0.023034484665708326-0.10875918113256407*I	0.10873739408175305-0.1950274426758039*I	0.42320212594952866-0.24894354203440539*I	0.13600325691362636-0.2347719374169593*I	0.026711340450390003-0.1430696864226902*I
-0.021800820743179853+0.008004643358621392*I	-0.023712654350360865+0.002749006048735577*I	-0.0018063064796207695-0.011515804073043414*I	0.02677169905031962-0.015235007623482892*I	0.03440789044602977+0.004553248093046428*I	0.004484467705936236+0.033639788701923676*I	-0.04974582511609911+0.03431050529012388*I	-0.08318401252453851-0.02435741921592295*I	-0.037447860848179616-0.1328328766572775*I	0.1360032569136265-0.23477193741695976*I	0.4873613272480982-0.25918035179981935*I	0.191921406606291-0.17067002345988308*I
